geo,time,st_int_arvl
arm,2005,319000
arm,2006,382000
arm,2007,511000
arm,2008,558000
arm,2009,575000
arm,2010,684000
arm,2011,758000
arm,2012,963000
arm,2013,1084000
arm,2014,1204000
arm,2015,1192000
arm,2016,1260000
arm,2017,1495000
arm,2018,1652000
arm,2019,1894000
arm,2020,375000
asm,1995,34000
asm,1996,35000
asm,1997,26000
asm,1998,36000
asm,1999,41000
asm,2000,44000
asm,2001,36000
asm,2005,24500
asm,2006,25299.99924
asm,2007,24100.00038
asm,2008,24299.99924
asm,2009,23500
asm,2010,23100.00038
asm,2011,22600.00038
asm,2012,22600.00038
asm,2013,20799.99924
asm,2014,21600.00038
asm,2015,20299.99924
asm,2016,20100.00038
asm,2017,20000
asm,2018,20200.00076
asm,2019,19200.00076
asm,2020,899.99998
atg,1995,447000
atg,1996,498000
atg,1997,526000
atg,1998,570000
atg,1999,560000
atg,2000,634000
atg,2001,624000
atg,2002,528000
atg,2003,623000
atg,2004,769000
atg,2005,712000
atg,2006,838000
atg,2007,935000
atg,2008,863000
atg,2009,944000
atg,2010,788000
atg,2011,848000
atg,2012,819000
atg,2013,777000
atg,2014,771000
atg,2015,894000
atg,2016,874000
atg,2017,1040000
atg,2018,1064000
atg,2019,1035000
atg,2020,384500
aus,1995,3726000
aus,1996,4165000
aus,1997,4318000
aus,1998,4167000
aus,1999,4459000
aus,2000,4931000
aus,2001,4856000
aus,2002,4841000
aus,2003,4746000
aus,2004,5215000
aus,2005,5499000
aus,2006,5532000
aus,2007,5644000
aus,2008,5586000
aus,2009,5490000
aus,2010,5790000
aus,2011,5771000
aus,2012,6032000
aus,2013,6482000
aus,2014,6922000
aus,2015,7449000
aus,2016,8269000
aus,2017,8815000
aus,2018,9246000
aus,2019,9466000
aus,2020,1828000
aut,1995,17173000
aut,1996,17090000
aut,1997,16647000
aut,1998,17352000
aut,1999,17467000
aut,2000,17982000
aut,2001,18180000
aut,2002,18611000
aut,2003,19078000
aut,2004,19374000
aut,2005,19952000
aut,2006,20269000
aut,2007,20773000
aut,2008,21935000
aut,2009,21355000
aut,2010,22004000
aut,2011,23012000
aut,2012,24151000
aut,2013,24813000
aut,2014,25291000
aut,2015,26728000
aut,2016,28121000
aut,2017,29460000
aut,2018,30816000
aut,2019,31884000
aut,2020,15091000
aze,1995,93000
aze,1996,210000
aze,1997,306000
aze,1998,483000
aze,1999,602000
aze,2000,681000
aze,2001,767000
aze,2002,834000
aze,2003,1038000
aze,2004,1279000
aze,2005,1177000
aze,2006,1194000
aze,2007,1333000
aze,2008,1899000
aze,2009,1830000
aze,2010,1963000
aze,2011,2239000
aze,2012,2484000
aze,2013,2509000
aze,2014,2298000
aze,2015,2006000
aze,2016,2249000
aze,2017,2697000
aze,2018,2850000
aze,2019,3170000
aze,2020,796000
bdi,1995,34000
bdi,1996,27000
bdi,1997,11000
bdi,1998,15000
bdi,1999,26000
bdi,2000,29000
bdi,2001,36000
bdi,2002,74000
bdi,2003,74000
bdi,2004,133000
bdi,2005,148000
bdi,2006,214000
bdi,2007,192000
bdi,2008,202000
bdi,2009,212000
bdi,2010,142000
bdi,2011,144000
bdi,2012,147000
bdi,2013,234000
bdi,2014,235000
bdi,2015,131000
bdi,2016,187000
bdi,2017,299000
bel,1995,5560000
bel,1996,5829000
bel,1997,6037000
bel,1998,6179000
bel,1999,6369000
bel,2000,6457000
bel,2001,6452000
bel,2002,6720000
bel,2003,6690000
bel,2004,6710000
bel,2005,6747000
bel,2006,6995000
bel,2007,7045000
bel,2008,7165000
bel,2009,6815000
bel,2010,7186000
bel,2011,7494000
bel,2012,7560000
bel,2013,7684000
bel,2014,7887000
bel,2015,8355000
bel,2016,7481000
bel,2017,8385000
bel,2018,9119000
bel,2019,9343000
bel,2020,2584000
ben,1995,580000
ben,1996,516000
ben,1997,541000
ben,1998,575000
ben,1999,941000
ben,2000,1068000
ben,2001,1155000
ben,2002,853000
ben,2003,850000
ben,2004,845000
ben,2005,960000
ben,2006,975000
ben,2007,1010000
ben,2008,1027000
ben,2011,222000
ben,2012,232000
ben,2013,252000
ben,2014,265000
ben,2015,279000
ben,2016,292000
ben,2017,307000
ben,2018,322000
ben,2019,337000
bfa,1995,124000
bfa,1996,131000
bfa,1997,138000
bfa,1998,160000
bfa,1999,117000
bfa,2000,126000
bfa,2001,128000
bfa,2002,150000
bfa,2003,163000
bfa,2004,222000
bfa,2005,245000
bfa,2006,264000
bfa,2007,289000
bfa,2008,272000
bfa,2009,269000
bfa,2010,274000
bfa,2011,238000
bfa,2012,237000
bfa,2013,218000
bfa,2014,191000
bfa,2015,163000
bfa,2016,152000
bfa,2017,143000
bfa,2018,144000
bfa,2019,143000
bfa,2020,67000
bgd,1995,156000
bgd,1996,166000
bgd,1997,182000
bgd,1998,172000
bgd,1999,173000
bgd,2000,199000
bgd,2001,207000
bgd,2002,207000
bgd,2003,245000
bgd,2004,271000
bgd,2005,208000
bgd,2006,200000
bgd,2007,289000
bgd,2008,467000
bgd,2009,267000
bgd,2010,139000
bgd,2011,157000
bgd,2012,160000
bgd,2013,104000
bgd,2014,134000
bgd,2015,126000
bgd,2016,182000
bgd,2017,237000
bgd,2018,267000
bgd,2019,323000
bgr,1995,8005000
bgr,1996,6811000
bgr,1997,7543000
bgr,1998,5240000
bgr,1999,5056000
bgr,2000,4922000
bgr,2001,5104000
bgr,2002,5563000
bgr,2003,6241000
bgr,2004,6982000
bgr,2005,7282000
bgr,2006,7499000
bgr,2007,7726000
bgr,2008,8533000
bgr,2009,7873000
bgr,2010,8374000
bgr,2011,8713000
bgr,2012,8867000
bgr,2013,9192000
bgr,2014,9409000
bgr,2015,9317000
bgr,2016,10604000
bgr,2017,11596000
bgr,2018,12368000
bgr,2019,12552000
bgr,2020,4973000
bhr,1995,2311000
bhr,1996,1988000
bhr,1997,2600000
bhr,1998,2898000
bhr,1999,3280000
bhr,2000,3869000
bhr,2001,4388000
bhr,2002,4831000
bhr,2003,4844000
bhr,2004,5667000
bhr,2005,6313000
bhr,2006,7289000
bhr,2007,7833000
bhr,2008,8631000
bhr,2009,8861000
bhr,2010,11952000
bhr,2011,6732000
bhr,2012,8062000
bhr,2013,9163000
bhr,2014,10452000
bhr,2015,9670000
bhr,2016,10158000
bhr,2017,11374000
bhr,2018,12045000
bhr,2019,11061000
bhr,2020,1909000
bhs,1995,3239000
bhs,1996,3416000
bhs,1997,3446000
bhs,1998,3348000
bhs,1999,3648000
bhs,2000,4204000
bhs,2001,4183000
bhs,2002,4406000
bhs,2003,4594000
bhs,2004,5004000
bhs,2005,4779000
bhs,2006,4731000
bhs,2007,4601000
bhs,2008,4394000
bhs,2009,4645000
bhs,2010,5255000
bhs,2011,5588000
bhs,2012,5940000
bhs,2013,6151000
bhs,2014,6320000
bhs,2015,6112000
bhs,2016,6265000
bhs,2017,6136000
bhs,2018,6622000
bhs,2019,7250000
bhs,2020,1794500
bih,1997,115000
bih,1998,148000
bih,1999,147000
bih,2000,171000
bih,2001,139000
bih,2002,160000
bih,2003,165000
bih,2004,190000
bih,2005,217000
bih,2006,256000
bih,2007,306000
bih,2008,322000
bih,2009,311000
bih,2010,365000
bih,2011,392000
bih,2012,439000
bih,2013,529000
bih,2014,536000
bih,2015,678000
bih,2016,778000
bih,2017,923000
bih,2018,1053000
bih,2019,1198000
bih,2020,197000
blr,2000,2030000
blr,2001,1852000
blr,2002,1907000
blr,2003,1729000
blr,2004,1816000
blr,2005,4738000
blr,2006,5276000
blr,2007,5283000
blr,2008,5262000
blr,2009,4872000
blr,2010,5674000
blr,2011,5877000
blr,2012,6130000
blr,2013,6242000
blr,2014,5375000
blr,2015,4386000
blr,2016,10935000
blr,2017,11060000
blr,2018,11502000
blr,2019,11832000
blr,2020,3598000
blz,1995,342000
blz,1996,349000
blz,1997,305000
blz,1998,300000
blz,1999,340000
blz,2000,374000
blz,2001,385000
blz,2002,694000
blz,2003,999000
blz,2004,1329000
blz,2005,1037000
blz,2006,903000
blz,2007,880000
blz,2008,846000
blz,2009,941000
blz,2010,1054000
blz,2011,1106000
blz,2012,1028000
blz,2013,1022000
blz,2014,1289000
blz,2015,1299000
blz,2016,1391000
blz,2017,1441000
blz,2018,1697000
blz,2019,1674000
blz,2020,487000
bmu,1995,557000
bmu,1996,570000
bmu,1997,562000
bmu,1998,558000
bmu,1999,549000
bmu,2000,539000
bmu,2001,458000
bmu,2002,484000
bmu,2003,483000
bmu,2004,478000
bmu,2005,517000
bmu,2006,635000
bmu,2007,660000
bmu,2008,550000
bmu,2009,554000
bmu,2010,580000
bmu,2011,652000
bmu,2012,610000
bmu,2013,576000
bmu,2014,580000
bmu,2015,597000
bmu,2016,642000
bmu,2017,688000
bmu,2018,766000
bmu,2019,805000
bmu,2020,51400.00153
bol,1995,284000
bol,1996,313000
bol,1997,355000
bol,1998,387000
bol,1999,342000
bol,2000,319000
bol,2001,316000
bol,2002,334000
bol,2003,427000
bol,2004,480000
bol,2005,524000
bol,2006,521000
bol,2007,573000
bol,2008,594000
bol,2009,599000
bol,2010,679000
bol,2011,711000
bol,2012,798000
bol,2013,798000
bol,2014,871000
bol,2015,882000
bol,2016,961000
bol,2017,1109000
bol,2018,1142000
bol,2019,1239000
bol,2020,323299.98779
bra,1995,1991000
bra,1996,2666000
bra,1997,2850000
bra,1998,4818000
bra,1999,5107000
bra,2000,5313000
bra,2001,4773000
bra,2002,3785000
bra,2003,4133000
bra,2004,4794000
bra,2005,5358000
bra,2006,5017000
bra,2007,5026000
bra,2008,5050000
bra,2009,4802000
bra,2010,5161000
bra,2011,5433000
bra,2012,5677000
bra,2013,5813000
bra,2014,6430000
bra,2015,6306000
bra,2016,6547000
bra,2017,6589000
bra,2018,6621000
bra,2019,6353000
brb,1995,927000
brb,1996,957000
brb,1997,990000
brb,1998,1019000
brb,1999,947000
brb,2000,1078000
brb,2001,1035000
brb,2002,1021000
brb,2003,1090000
brb,2004,1273000
brb,2005,1111000
brb,2006,1102000
brb,2007,1191000
brb,2008,1165000
brb,2009,1154000
brb,2010,1197000
brb,2011,1187000
brb,2012,1053000
brb,2013,1079000
brb,2014,1079000
brb,2015,1179000
brb,2016,1227000
brb,2017,1345000
brb,2018,1356000
brb,2019,966000
brn,1995,498000
brn,1996,837000
brn,1997,643000
brn,1998,964000
brn,1999,967000
brn,2000,984000
brn,2001,840000
brn,2002,891000
brn,2003,944000
brn,2005,815000
brn,2006,836000
brn,2007,877000
brn,2016,4257000
brn,2017,4316000
brn,2018,4521000
brn,2019,4449000
brn,2020,1071000
btn,1995,4800.00019
btn,1996,5199.99981
btn,1997,5400.0001
btn,1998,6199.99981
btn,1999,7199.99981
btn,2000,7599.9999
btn,2001,6400.0001
btn,2002,5599.9999
btn,2003,6300.00019
btn,2004,9199.99981
btn,2005,13600.00038
btn,2006,17299.99924
btn,2007,21000
btn,2008,28000
btn,2009,23000
btn,2010,41000
btn,2011,66000
btn,2012,105000
btn,2013,116000
btn,2014,133000
btn,2015,155000
btn,2016,210000
btn,2017,255000
btn,2018,274000
btn,2019,316000
btn,2020,29799.99924
bwa,1995,636000
bwa,1996,656000
bwa,1997,765000
bwa,1998,940000
bwa,1999,1039000
bwa,2000,1306000
bwa,2001,1451000
bwa,2002,1485000
bwa,2003,1592000
bwa,2004,1727000
bwa,2005,1684000
bwa,2006,1642000
bwa,2007,1965000
bwa,2008,2344000
bwa,2015,1660000
bwa,2016,1712000
bwa,2017,1775000
bwa,2018,1830000
caf,1995,26000
caf,1996,21000
caf,1997,17000
caf,1998,7500
caf,1999,10000
caf,2000,11199.99981
caf,2001,9899.99962
caf,2002,2900.0001
caf,2003,5699.99981
caf,2004,8199.99981
caf,2005,12000
caf,2006,13800.00019
caf,2007,17100.00038
caf,2008,30600.00038
caf,2009,52400.00153
caf,2010,53799.99924
caf,2011,65400.00153
caf,2012,70800.00305
caf,2013,83500
caf,2014,95699.99695
caf,2015,120500
caf,2016,82000
caf,2017,107000
caf,2018,109000
caf,2019,87000
can,1995,41657000
can,1996,43256000
can,1997,45076000
can,1998,48064000
can,1999,49055000
can,2000,48638000
can,2001,47147000
can,2002,44896000
can,2003,38903000
can,2004,38845000
can,2005,36160000
can,2006,33390000
can,2007,30373000
can,2008,27370000
can,2009,24696000
can,2010,25621000
can,2011,25066000
can,2012,25318000
can,2013,25167000
can,2014,25558000
can,2015,27555000
can,2016,30142000
can,2017,31081000
can,2018,31274000
can,2019,32430000
che,1995,6946000
che,1996,6730000
che,1997,7039000
che,1998,7185000
che,1999,7154000
che,2000,7821000
che,2001,7455000
che,2002,6868000
che,2003,6530000
che,2005,7229000
che,2006,7863000
che,2007,8448000
che,2008,8608000
che,2009,8294000
che,2010,8628000
che,2011,8534000
che,2012,8566000
che,2013,8967000
che,2014,9158000
che,2015,9305000
che,2016,10402000
che,2017,11133000
che,2018,11715000
che,2019,11818000
chl,2008,3713000
chl,2009,3657000
chl,2010,3584000
chl,2011,3963000
chl,2012,4397000
chl,2013,4457000
chl,2014,4601000
chl,2015,5487000
chl,2016,6712000
chl,2017,7621000
chl,2018,6603000
chl,2019,5431000
chn,1995,46387000
chn,1996,51128000
chn,1997,57588000
chn,1998,63478000
chn,1999,72796000
chn,2000,83444000
chn,2001,89013000
chn,2002,97908000
chn,2003,91662000
chn,2004,109038000
chn,2005,120292000
chn,2006,124942000
chn,2007,131873000
chn,2008,130027000
chn,2009,126476000
chn,2010,133762000
chn,2011,135423000
chn,2012,132405000
chn,2013,129078000
chn,2014,128499000
chn,2015,133820000
chn,2016,141774000
chn,2017,153260000
chn,2018,158606000
chn,2019,162538000
chn,2020,30402000
civ,1995,188000
civ,1996,237000
civ,1997,274000
civ,1998,301000
civ,2007,182000
civ,2008,205000
civ,2009,231000
civ,2010,252000
civ,2011,270000
civ,2012,289000
civ,2013,380000
civ,2014,471000
civ,2015,1441000
civ,2016,1583000
civ,2017,1800000
civ,2018,1965000
civ,2019,2070000
civ,2020,668000
cmr,2006,451000
cmr,2007,477000
cmr,2008,487000
cmr,2009,498000
cmr,2010,573000
cmr,2011,604000
cmr,2012,817000
cmr,2013,783000
cmr,2014,822000
cmr,2015,897000
cmr,2016,994000
cmr,2017,1081000
cmr,2018,997000
cmr,2019,1021000
cod,1995,35000
cod,1996,37000
cod,1997,30000
cod,1998,53000
cod,1999,80000
cod,2000,103000
cod,2001,55000
cod,2002,28000
cod,2003,35000
cod,2004,36000
cod,2005,61000
cod,2006,55000
cod,2007,47000
cod,2008,50000
cod,2009,53000
cod,2010,81000
cod,2011,186000
cod,2012,167000
cod,2013,191000
cod,2014,334000
cod,2015,354000
cod,2016,351000
cog,2010,199000
cog,2011,224000
cog,2012,259000
cog,2013,345000
cog,2014,229000
cog,2015,224000
cog,2016,213000
cog,2017,151000
cog,2018,158000
col,1995,1433000
col,1996,751000
col,1997,758000
col,1998,823000
col,1999,725000
col,2000,707000
col,2001,788000
col,2002,661000
col,2003,668000
col,2004,840000
col,2005,981000
col,2006,2096000
col,2007,2381000
col,2008,2545000
col,2009,2649000
col,2010,1701000
col,2011,2356000
col,2012,2434000
col,2013,2595000
col,2014,2866000
col,2015,3371000
col,2016,3675000
col,2017,4056000
col,2018,4397000
col,2019,4531000
col,2020,1396000
com,1995,23000
com,1996,24000
com,1997,26000
com,1998,27000
com,1999,24000
com,2000,24000
com,2001,19399.99962
com,2002,18899.99962
com,2003,20600.00038
com,2004,23299.99924
com,2005,25899.99962
com,2006,28500
com,2007,15199.99981
com,2008,14800.00019
com,2009,11300.00019
com,2010,15300.00019
com,2011,18799.99924
com,2012,22799.99924
com,2013,21899.99962
com,2014,22799.99924
com,2015,23600.00038
com,2016,26799.99924
com,2017,28000
com,2018,35900.00153
com,2019,45099.99847
com,2020,7000
cpv,1995,28000
cpv,1996,37000
cpv,1997,45000
cpv,1998,52000
cpv,1999,67000
cpv,2000,115000
cpv,2001,134000
cpv,2002,126000
cpv,2003,150000
cpv,2004,157000
cpv,2005,198000
cpv,2006,242000
cpv,2007,267000
cpv,2008,285000
cpv,2009,287000
cpv,2010,336000
cpv,2011,428000
cpv,2012,482000
cpv,2013,503000
cpv,2014,494000
cpv,2015,520000
cpv,2016,598000
cpv,2017,668000
cpv,2018,710000
cpv,2019,758000
cpv,2020,180000
cri,1995,924000
cri,1996,940000
cri,1997,1013000
cri,1998,1167000
cri,1999,1267000
cri,2000,1278000
cri,2001,1320000
cri,2002,1335000
cri,2003,1514000
cri,2004,1771000
cri,2005,1959000
cri,2006,2071000
cri,2007,2302000
cri,2008,2409000
cri,2009,2309000
cri,2010,2495000
cri,2011,2526000
cri,2012,2542000
cri,2013,2641000
cri,2014,2760000
cri,2015,2899000
cri,2016,3204000
cri,2017,3231000
cri,2018,3313000
cri,2019,3366000
cri,2020,1146500
cub,1995,745000
cub,1996,1004000
cub,1997,1170000
cub,1998,1416000
cub,1999,1603000
cub,2000,1774000
cub,2001,1775000
cub,2002,1686000
cub,2003,1906000
cub,2004,2049000
cub,2005,2319000
cub,2006,2221000
cub,2007,2152000
cub,2008,2348000
cub,2009,2430000
cub,2010,2532000
cub,2011,2716000
cub,2012,2847000
cub,2013,2862000
cub,2014,3014000
cub,2015,3540000
cub,2016,4009000
cub,2017,4654000
cub,2018,4712000
cub,2019,4276000
cub,2020,1086000
cym,1995,1044000
cym,1996,1173000
cym,1997,1248000
cym,1998,1275000
cym,1999,1431000
cym,2000,1385000
cym,2001,1549000
cym,2002,1878000
cym,2003,2113000
cym,2004,1953000
cym,2005,1967000
cym,2006,2197000
cym,2007,2008000
cym,2008,1856000
cym,2009,1792000
cym,2010,1886000
cym,2011,1710000
cym,2012,1829000
cym,2013,1721000
cym,2014,1993000
cym,2015,2102000
cym,2016,2097000
cym,2017,2147000
cym,2018,2384000
cym,2019,2334000
cym,2020,660000
cyp,1995,2253000
cyp,1996,2089000
cyp,1997,2194000
cyp,1998,2357000
cyp,1999,2578000
cyp,2000,2912000
cyp,2001,2841000
cyp,2002,2495000
cyp,2003,2416000
cyp,2004,2478000
cyp,2005,2657000
cyp,2006,2629000
cyp,2007,2671000
cyp,2008,2631000
cyp,2009,2370000
cyp,2010,2450000
cyp,2011,2626000
cyp,2012,2635000
cyp,2013,2626000
cyp,2014,2558000
cyp,2015,2780000
cyp,2016,3286000
cyp,2017,3750000
cyp,2018,4024000
cyp,2019,4117000
cze,2003,20108000
cze,2004,23808000
cze,2005,24747000
cze,2006,25102000
cze,2007,22625000
cze,2008,21850000
cze,2009,23285000
cze,2010,21941000
cze,2011,22810000
cze,2012,25750000
cze,2013,26332000
cze,2014,27166000
cze,2015,29604000
cze,2016,32519000
cze,2017,34701000
cze,2018,36268000
cze,2019,37202000
deu,1995,14847000
deu,1996,15205000
deu,1997,15837000
deu,1998,16511000
deu,1999,17116000
deu,2000,18983000
deu,2001,17861000
deu,2002,17969000
deu,2003,18399000
deu,2004,20137000
deu,2005,21500000
deu,2006,23569000
deu,2007,24421000
deu,2008,24884000
deu,2009,24220000
deu,2010,26875000
deu,2011,28374000
deu,2012,30411000
deu,2013,31545000
deu,2014,32999000
deu,2015,34970000
deu,2016,35555000
deu,2017,37452000
deu,2018,38881000
deu,2019,39563000
deu,2020,12449000
dji,1995,21000
dji,1996,20000
dji,1997,20000
dji,1998,21000
dji,1999,21000
dji,2000,20100.00038
dji,2001,21600.00038
dji,2002,22500
dji,2003,23200.00076
dji,2004,26299.99924
dji,2005,30200.00076
dji,2006,39500
dji,2007,40000
dji,2008,54000
dji,2009,58000
dji,2010,51000
dji,2011,56000
dji,2012,60000
dji,2013,63000
dma,1995,203000
dma,1996,261000
dma,1997,299000
dma,1998,312000
dma,1999,280000
dma,2000,312000
dma,2001,276000
dma,2002,208000
dma,2003,254000
dma,2004,466000
dma,2005,381000
dma,2006,465000
dma,2007,437000
dma,2008,468000
dma,2009,608000
dma,2010,595000
dma,2011,418000
dma,2012,348000
dma,2013,311000
dma,2014,370000
dma,2015,358000
dma,2016,356000
dma,2017,230000
dma,2018,199000
dma,2019,322000
dma,2020,140000
dnk,2003,21119000
dnk,2004,22054000
dnk,2005,26927000
dnk,2006,26936000
dnk,2007,27138000
dnk,2008,26870000
dnk,2009,26571000
dnk,2010,26730000
dnk,2011,25811000
dnk,2012,26402000
dnk,2013,26516000
dnk,2014,28070000
dnk,2015,28209000
dnk,2016,28692000
dnk,2017,30736000
dnk,2018,30801000
dnk,2019,33093000
dnk,2020,15595000
dom,1995,1806000
dom,1996,2037000
dom,1997,2482000
dom,1998,2702000
dom,1999,2932000
dom,2000,3161000
dom,2001,3090000
dom,2002,3058000
dom,2003,3680000
dom,2004,3907000
dom,2005,3981000
dom,2006,4268000
dom,2007,4365000
dom,2008,4455000
dom,2009,4489000
dom,2010,4478000
dom,2011,4654000
dom,2012,4901000
dom,2013,5114000
dom,2014,5576000
dom,2015,6129000
dom,2016,6769000
dom,2017,7296000
dom,2018,7551000
dom,2019,7550000
dom,2020,2748000
dza,1995,520000
dza,1996,605000
dza,1997,635000
dza,1998,678000
dza,1999,749000
dza,2000,866000
dza,2001,901000
dza,2002,988000
dza,2003,1166000
dza,2004,1234000
dza,2005,1443000
dza,2006,1638000
dza,2007,1743000
dza,2008,1772000
dza,2009,1912000
dza,2010,2070000
dza,2011,2395000
dza,2012,2634000
dza,2013,2733000
dza,2014,2301000
dza,2015,1710000
dza,2016,2039000
dza,2017,2451000
dza,2018,2657000
dza,2019,2371000
dza,2020,591000
ecu,1995,440000
ecu,1996,494000
ecu,1997,529000
ecu,1998,511000
ecu,1999,518000
ecu,2000,627000
ecu,2001,641000
ecu,2002,683000
ecu,2003,761000
ecu,2004,819000
ecu,2005,860000
ecu,2006,841000
ecu,2007,937000
ecu,2008,1005000
ecu,2009,968000
ecu,2010,1047000
ecu,2011,1141000
ecu,2012,1272000
ecu,2013,1364000
ecu,2014,1695000
ecu,2015,1676000
ecu,2016,1569000
ecu,2017,1806000
ecu,2018,2535000
ecu,2019,2108000
egy,1995,3133000
egy,1996,3896000
egy,1997,3961000
egy,1998,3454000
egy,1999,4797000
egy,2000,5506000
egy,2001,4648000
egy,2002,5192000
egy,2003,6044000
egy,2004,8104000
egy,2005,8608000
egy,2006,9083000
egy,2007,11091000
egy,2008,12835000
egy,2009,12536000
egy,2010,14731000
egy,2011,9845000
egy,2012,11532000
egy,2013,9464000
egy,2014,9878000
egy,2015,9328000
egy,2016,5399000
egy,2017,8292000
egy,2018,11346000
egy,2019,13026000
eri,1995,315000
eri,1996,417000
eri,1997,410000
eri,1998,188000
eri,1999,57000
eri,2000,70000
eri,2001,113000
eri,2002,101000
eri,2003,80000
eri,2004,87000
eri,2005,83000
eri,2006,78000
eri,2007,81000
eri,2008,70000
eri,2009,79000
eri,2010,84000
eri,2011,107000
eri,2012,129000
eri,2013,141000
eri,2014,119000
eri,2015,114000
eri,2016,142000
esp,1995,52460000
esp,1996,55077000
esp,1997,62415000
esp,1998,68068000
esp,1999,72040000
esp,2000,74580000
esp,2001,75564000
esp,2002,79313000
esp,2003,82326000
esp,2004,85981000
esp,2005,92563000
esp,2006,96152000
esp,2007,98907000
esp,2008,97670000
esp,2009,91899000
esp,2010,93744000
esp,2011,99187000
esp,2012,98128000
esp,2013,103231000
esp,2014,107144000
esp,2015,109834000
esp,2016,115561000
esp,2017,121717000
esp,2018,124456000
esp,2019,126170000
esp,2020,36410000
est,1995,2111000
est,1996,2444000
est,1997,2618000
est,1998,2909000
est,1999,3181000
est,2000,3310000
est,2001,3230000
est,2002,3253000
est,2003,3378000
est,2008,3828000
est,2009,3834000
est,2010,4369000
est,2011,4907000
est,2012,5007000
est,2013,5737000
est,2014,5804000
est,2015,5696000
est,2016,5942000
est,2017,6145000
est,2018,6033000
est,2019,6103000
est,2020,1695000
eth,1995,103000
eth,1996,109000
eth,1997,139000
eth,1998,112000
eth,1999,115000
eth,2000,136000
eth,2001,148000
eth,2002,156000
eth,2003,180000
eth,2004,184000
eth,2005,227000
eth,2006,330000
eth,2007,358000
eth,2008,383000
eth,2009,427000
eth,2010,468000
eth,2011,523000
eth,2012,597000
eth,2013,681000
eth,2014,770000
eth,2015,864000
eth,2016,871000
eth,2017,933000
eth,2018,849000
eth,2019,812000
eth,2020,518000
fin,1995,1779000
fin,1996,1724000
fin,1997,1832000
fin,1998,2644000
fin,1999,2454000
fin,2000,2714000
fin,2001,2826000
fin,2002,2875000
fin,2003,2601000
fin,2004,2840000
fin,2005,3140000
fin,2006,3375000
fin,2007,3519000
fin,2008,3583000
fin,2009,3423000
fin,2010,3670000
fin,2011,4192000
fin,2012,4226000
fin,2013,2797000
fin,2014,2731000
fin,2015,2622000
fin,2016,2789000
fin,2017,3180000
fin,2018,3224000
fin,2019,3290000
fin,2020,896000
fji,1995,476000
fji,1996,534000
fji,1997,547000
fji,1998,499000
fji,1999,544000
fji,2000,434000
fji,2001,446000
fji,2002,461000
fji,2003,451000
fji,2004,513000
fji,2005,547000
fji,2007,542000
fji,2008,627000
fji,2009,605000
fji,2010,692000
fji,2011,734000
fji,2012,741000
fji,2013,769000
fji,2014,781000
fji,2015,869000
fji,2016,963000
fji,2017,1027000
