geo,time,hd_hci_ovrl_ub
zaf,2017,0.417
zaf,2018,0.43347
zaf,2020,0.43671
zmb,2017,0.417
zmb,2018,0.40382
zmb,2020,0.41032
zwe,2010,0.42486
zwe,2017,0.463
zwe,2018,0.48229
zwe,2020,0.48826
