geo,time,sl_emp_mpyr_fe_zs
chanisl,2000,5.02
chanisl,2001,4.97
chanisl,2002,4.92
chanisl,2003,4.88
chanisl,2004,4.86
chanisl,2005,4.86
chanisl,2006,4.86
chanisl,2007,4.85
chanisl,2008,4.8
chanisl,2009,4.74
chanisl,2010,4.72
chanisl,2011,4.7
chanisl,2012,4.68
chanisl,2013,4.66
chanisl,2014,4.64
chanisl,2015,4.62
chanisl,2016,4.59
chanisl,2017,4.55
chanisl,2018,4.51
chanisl,2019,4.47
che,1991,3.44
che,1992,3.49
che,1993,3.52
che,1994,3.58
che,1995,3.63
che,1996,3.71
che,1997,4
che,1998,3.93
che,1999,3.76
che,2000,3.7
che,2001,3.69
che,2002,3.63
che,2003,3.57
che,2004,3.25
che,2005,3.26
che,2006,3.12
che,2007,3.32
che,2008,3.28
che,2009,3.19
che,2010,3.5
che,2011,3.21
che,2012,3.3
che,2013,3.43
che,2014,3.36
che,2015,3.33
che,2016,3.45
che,2017,3.34
che,2018,3.12
che,2019,3.06
chl,1991,1.55
chl,1992,1.6
chl,1993,1.62
chl,1994,1.64
chl,1995,1.69
chl,1996,1.78
chl,1997,1.59
chl,1998,1.62
chl,1999,1.9
chl,2000,2.06
chl,2001,1.91
chl,2002,1.55
chl,2003,1.76
chl,2004,1.92
chl,2005,1.69
chl,2006,1.73
chl,2007,1.71
chl,2008,1.85
chl,2009,2.29
chl,2010,2.85
chl,2011,2.85
chl,2012,2.29
chl,2013,2.53
chl,2014,2.35
chl,2015,2.43
chl,2016,2.33
chl,2017,2.69
chl,2018,2.49
chl,2019,2.47
chn,1991,0.51
chn,1992,0.5
chn,1993,0.49
chn,1994,0.48
chn,1995,0.47
chn,1996,0.46
chn,1997,0.47
chn,1998,0.47
chn,1999,0.49
chn,2000,0.5
chn,2001,0.52
chn,2002,0.54
chn,2003,0.55
chn,2004,0.57
chn,2005,0.6
chn,2006,0.62
chn,2007,0.64
chn,2008,0.67
chn,2009,0.7
chn,2010,0.73
chn,2011,0.77
chn,2012,0.81
chn,2013,0.85
chn,2014,0.9
chn,2015,0.95
chn,2016,0.99
chn,2017,1.04
chn,2018,1.07
chn,2019,1.1
civ,1991,0.15
civ,1992,0.15
civ,1993,0.15
civ,1994,0.16
civ,1995,0.17
civ,1996,0.18
civ,1997,0.18
civ,1998,0.19
civ,1999,0.2
civ,2000,0.2
civ,2001,0.21
civ,2002,0.22
civ,2003,0.23
civ,2004,0.25
civ,2005,0.27
civ,2006,0.28
civ,2007,0.3
civ,2008,0.32
civ,2009,0.35
civ,2010,0.37
civ,2011,0.4
civ,2012,0.44
civ,2013,0.51
civ,2014,0.66
civ,2015,0.88
civ,2016,1.13
civ,2017,0.63
civ,2018,0.73
civ,2019,0.74
cmr,1991,1.63
cmr,1992,1.68
cmr,1993,1.7
cmr,1994,1.75
cmr,1995,1.74
cmr,1996,1.67
cmr,1997,1.57
cmr,1998,1.46
cmr,1999,1.34
cmr,2000,1.24
cmr,2001,1.14
cmr,2002,1.1
cmr,2003,1.05
cmr,2004,1
cmr,2005,0.96
cmr,2006,0.92
cmr,2007,0.87
cmr,2008,1.01
cmr,2009,1.16
cmr,2010,1.34
cmr,2011,1.54
cmr,2012,1.77
cmr,2013,2.03
cmr,2014,2.3
cmr,2015,2.27
cmr,2016,2.29
cmr,2017,2.32
cmr,2018,2.34
cmr,2019,2.34
cod,1991,0.41
cod,1992,0.4
cod,1993,0.42
cod,1994,0.47
cod,1995,0.48
cod,1996,0.52
cod,1997,0.48
cod,1998,0.48
cod,1999,0.49
cod,2000,0.53
cod,2001,0.56
cod,2002,0.57
cod,2003,0.58
cod,2004,0.6
cod,2005,0.6
cod,2006,0.65
cod,2007,0.69
cod,2008,0.75
cod,2009,0.82
cod,2010,0.91
cod,2011,0.98
cod,2012,1.06
cod,2013,1.08
cod,2014,1.11
cod,2015,1.11
cod,2016,1.12
cod,2017,1.19
cod,2018,1.21
cod,2019,1.21
cog,1991,0.35
cog,1992,0.36
cog,1993,0.37
cog,1994,0.38
cog,1995,0.41
cog,1996,0.42
cog,1997,0.41
cog,1998,0.42
cog,1999,0.45
cog,2000,0.46
cog,2001,0.48
cog,2002,0.48
cog,2003,0.5
cog,2004,0.52
cog,2005,0.53
cog,2006,0.51
cog,2007,0.5
cog,2008,0.5
cog,2009,0.51
cog,2010,0.48
cog,2011,0.48
cog,2012,0.45
cog,2013,0.46
cog,2014,0.46
cog,2015,0.47
cog,2016,0.48
cog,2017,0.5
cog,2018,0.51
cog,2019,0.5
col,1991,1.72
col,1992,1.74
col,1993,1.77
col,1994,1.78
col,1995,1.81
col,1996,1.8
col,1997,1.8
col,1998,1.81
col,1999,1.83
col,2000,1.95
col,2001,2.02
col,2002,2
col,2003,2.13
col,2004,2.23
col,2005,2.36
col,2006,2.47
col,2007,2.56
col,2008,2.67
col,2009,2.82
col,2010,2.96
col,2011,2.94
col,2012,3.03
col,2013,2.88
col,2014,2.62
col,2015,2.6
col,2016,2.42
col,2017,2.46
col,2018,2.58
col,2019,2.39
com,1991,4.83
com,1992,4.87
com,1993,4.9
com,1994,4.88
com,1995,4.92
com,1996,4.93
com,1997,4.97
com,1998,4.98
com,1999,4.98
com,2000,5.05
com,2001,4.98
com,2002,4.86
com,2003,4.67
com,2004,4.51
com,2005,3.75
com,2006,3.11
com,2007,2.54
com,2008,2.09
com,2009,1.7
com,2010,1.4
com,2011,1.15
com,2012,0.94
com,2013,0.77
com,2014,0.62
com,2015,0.59
com,2016,0.57
com,2017,0.55
com,2018,0.55
com,2019,0.55
cpv,1991,1.61
cpv,1992,1.62
cpv,1993,1.64
cpv,1994,1.66
cpv,1995,1.67
cpv,1996,1.69
cpv,1997,1.69
cpv,1998,1.72
cpv,1999,1.75
cpv,2000,1.8
cpv,2001,1.83
cpv,2002,1.84
cpv,2003,1.81
cpv,2004,1.82
cpv,2005,1.85
cpv,2006,1.93
cpv,2007,1.97
cpv,2008,2
cpv,2009,2
cpv,2010,2.04
cpv,2011,2.11
cpv,2012,2.2
cpv,2013,2.27
cpv,2014,2.32
cpv,2015,2.38
cpv,2016,2.78
cpv,2017,2.93
cpv,2018,2.34
cpv,2019,2.55
cri,1991,2.12
cri,1992,1.76
cri,1993,2.27
cri,1994,3.67
cri,1995,3.23
cri,1996,4.39
cri,1997,3.58
cri,1998,4.02
cri,1999,4.44
cri,2000,2.88
cri,2001,4.91
cri,2002,4.65
cri,2003,4.89
cri,2004,4.38
cri,2005,4.25
cri,2006,4.66
cri,2007,3.99
cri,2008,4.26
cri,2009,4.04
cri,2010,1.7
cri,2011,1.8
cri,2012,1.41
cri,2013,1.87
cri,2014,1.91
cri,2015,1.86
cri,2016,2.31
cri,2017,2.3
cri,2018,2.06
cri,2019,2.07
cub,1991,1.13
cub,1992,0.96
cub,1993,0.74
cub,1994,0.66
cub,1995,0.61
cub,1996,0.53
cub,1997,0.6
cub,1998,0.68
cub,1999,0.81
cub,2000,0.8
cub,2001,0.86
cub,2002,0.81
cub,2003,0.98
cub,2004,1.01
cub,2005,1.04
cub,2006,0.93
cub,2007,0.87
cub,2008,0.99
cub,2009,0.86
cub,2010,0.85
cub,2011,2.01
cub,2012,1.69
cub,2013,2.05
cub,2014,2.68
cub,2015,2.67
cub,2016,2.67
cub,2017,2.66
cub,2018,2.61
cub,2019,2.55
cyp,1991,1.51
cyp,1992,1.53
cyp,1993,1.51
cyp,1994,1.53
cyp,1995,1.52
cyp,1996,1.53
cyp,1997,1.56
cyp,1998,1.55
cyp,1999,1.54
cyp,2000,1.56
cyp,2001,1.78
cyp,2002,1.25
cyp,2003,1.14
cyp,2004,1.68
cyp,2005,2.01
cyp,2006,1.66
cyp,2007,1.75
cyp,2008,1.32
cyp,2009,1.56
cyp,2010,1.37
cyp,2011,1.51
cyp,2012,1.37
cyp,2013,1.26
cyp,2014,0.96
cyp,2015,0.93
cyp,2016,0.7
cyp,2017,0.78
cyp,2018,0.86
cyp,2019,1.14
cze,1991,2.22
cze,1992,2.19
cze,1993,2.18
cze,1994,2.19
cze,1995,2.16
cze,1996,2.14
cze,1997,2.17
cze,1998,2.23
cze,1999,2.13
cze,2000,2.19
cze,2001,2.14
cze,2002,2.1
cze,2003,2.12
cze,2004,2.08
cze,2005,2
cze,2006,2.21
cze,2007,1.86
cze,2008,1.89
cze,2009,1.97
cze,2010,1.79
cze,2011,1.83
cze,2012,1.79
cze,2013,1.9
cze,2014,1.66
cze,2015,1.86
cze,2016,1.62
cze,2017,1.58
cze,2018,1.64
cze,2019,1.79
deu,1991,2.26
deu,1992,2.35
deu,1993,2.48
deu,1994,2.75
deu,1995,2.58
deu,1996,2.52
deu,1997,2.56
deu,1998,2.61
deu,1999,2.57
deu,2000,2.58
deu,2001,2.66
deu,2002,2.6
deu,2003,2.54
deu,2004,2.67
deu,2005,2.62
deu,2006,2.6
deu,2007,2.52
deu,2008,2.5
deu,2009,2.53
deu,2010,2.57
deu,2011,2.49
deu,2012,2.48
deu,2013,2.49
deu,2014,2.51
deu,2015,2.51
deu,2016,2.43
deu,2017,2.39
deu,2018,2.3
deu,2019,2.31
dji,1991,0.41
dji,1992,0.41
dji,1993,0.41
dji,1994,0.42
dji,1995,0.43
dji,1996,0.45
dji,1997,0.45
dji,1998,0.47
dji,1999,0.47
dji,2000,0.47
dji,2001,0.49
dji,2002,0.48
dji,2003,0.48
dji,2004,0.48
dji,2005,0.5
dji,2006,0.49
dji,2007,0.48
dji,2008,0.47
dji,2009,0.47
dji,2010,0.49
dji,2011,0.5
dji,2012,0.49
dji,2013,0.54
dji,2014,0.54
dji,2015,0.53
dji,2016,0.52
dji,2017,0.51
dji,2018,0.52
dji,2019,0.52
dnk,1991,1.3
dnk,1992,1.31
dnk,1993,1.24
dnk,1994,1.58
dnk,1995,1.81
dnk,1996,1.49
dnk,1997,1.61
dnk,1998,1.77
dnk,1999,1.7
dnk,2000,1.47
dnk,2001,1.21
dnk,2002,1.77
dnk,2003,2.02
dnk,2004,1.3
dnk,2005,1.3
dnk,2006,1.79
dnk,2007,1.66
dnk,2008,1.75
dnk,2009,1.76
dnk,2010,1.62
dnk,2011,1.71
dnk,2012,1.58
dnk,2013,1.73
dnk,2014,1.7
dnk,2015,1.79
dnk,2016,1.82
dnk,2017,1.51
dnk,2018,1.56
dnk,2019,1.7
dom,1991,1.08
dom,1992,1.55
dom,1993,1.65
dom,1994,1.12
dom,1995,1.67
dom,1996,1.68
