geo,time,ic_frm_femo_zs
hrv,2007,33.5
hrv,2013,36.3
hrv,2019,31.7
hun,2005,36.5
hun,2009,42.4
hun,2013,48.7
hun,2019,51.9
idn,2009,42.8
idn,2015,22.1
ind,2006,9.1
ind,2014,10.7
irl,2005,41.6
irl,2020,54.9
irq,2011,6.8
isr,2013,27.3
ita,2019,24
jam,2010,38.2
jor,2006,13.1
jor,2013,15.7
jor,2019,22.6
kaz,2005,29.4
kaz,2009,34.4
kaz,2013,29.6
kaz,2019,30.5
ken,2007,37.1
ken,2013,48.7
ken,2018,47.5
kgz,2005,26.3
kgz,2009,60.4
kgz,2013,51.2
kgz,2019,45
khm,2016,46.2
kna,2010,57.8
kor,2005,19.1
kos,2009,10.9
kos,2013,13.2
kos,2019,7.3
lao,2009,39.3
lao,2012,41.9
lao,2016,43.1
lao,2018,36.5
lbn,2009,33.5
lbn,2013,43.5
lbn,2019,9.9
lbr,2009,53
lbr,2017,37.4
lca,2010,32.1
lka,2011,26.1
lso,2009,18.4
lso,2016,39.1
ltu,2004,33.3
ltu,2005,26.1
ltu,2009,38.7
ltu,2013,35.7
ltu,2019,43.1
lux,2020,40.5
lva,2005,36.3
lva,2009,46.3
lva,2013,41.6
lva,2019,46.6
mar,2007,13.1
mar,2013,31.3
mar,2019,16.1
mda,2005,24.5
mda,2009,53.1
mda,2013,54.1
mda,2019,39.9
mdg,2009,50
mdg,2013,41.6
mex,2006,24.8
mex,2010,25.7
mkd,2005,18.6
mkd,2009,36.4
mkd,2013,27.7
mkd,2019,29.3
mli,2007,18.3
mli,2010,58.3
mli,2016,15.3
mlt,2019,46
mmr,2014,27.3
mmr,2016,35.1
mne,2009,26
mne,2013,25.6
mne,2019,24
mng,2009,52
mng,2013,36.1
mng,2019,43.7
moz,2007,24.4
moz,2018,28.3
mrt,2006,17.3
mrt,2014,15
mus,2009,16.9
mwi,2009,23.9
mwi,2014,28.1
mys,2007,13.1
mys,2015,25.4
nam,2006,33.4
nam,2014,41
ner,2006,10
ner,2009,17.6
ner,2017,14.5
nga,2007,20
nga,2014,16.2
nic,2006,41.4
nic,2010,61.9
nic,2016,35.8
nld,2020,35
npl,2009,27.3
npl,2013,21.8
pak,2007,6.7
pak,2013,11.8
pan,2006,37.1
pan,2010,24.7
per,2006,32.8
per,2010,28.7
per,2017,56.6
phl,2009,69.4
phl,2015,69.2
png,2015,46.5
pol,2005,30.7
pol,2009,47.9
pol,2013,40.2
pol,2019,37
prt,2005,50.8
prt,2019,37.8
pry,2006,44.8
pry,2010,51.6
pry,2017,66.2
pse,2006,18
pse,2013,10.7
pse,2019,6
rou,2005,26.1
rou,2009,47.9
rou,2013,47.2
rou,2019,32.4
rus,2005,23.9
rus,2009,33.1
rus,2012,28.5
rus,2019,34
rwa,2006,41
rwa,2011,42.7
rwa,2019,26.5
sdn,2014,8.2
sen,2007,26.3
sen,2014,22.9
slb,2015,47.4
sle,2009,7.9
sle,2017,18.8
slv,2006,39.6
slv,2010,40.2
slv,2016,38.4
srb,2005,23
srb,2009,28.8
srb,2013,34.9
srb,2019,28.5
ssd,2014,21.9
sur,2010,18.3
sur,2018,32.7
svk,2005,11.8
svk,2009,29.6
svk,2013,29.7
svk,2019,28.9
svn,2005,29.1
svn,2009,42.2
svn,2013,38.5
svn,2019,34.1
swe,2014,52.5
swe,2020,37.3
swz,2006,28.6
swz,2016,36
syr,2009,14.4
tcd,2009,40.1
tcd,2018,13.1
tgo,2009,31.8
tgo,2016,25.3
tha,2016,64.4
tjk,2005,14.4
tjk,2008,34.4
tjk,2013,32.5
tjk,2019,22.7
tls,2009,42.9
tls,2015,64.4
ton,2009,65.3
tto,2010,45.1
tun,2013,49.5
tun,2020,40.1
tur,2004,9
tur,2005,11.4
tur,2008,40.7
tur,2013,25.1
tur,2019,11.3
tza,2006,30.9
tza,2013,24.7
uga,2006,34.7
uga,2013,26.6
ukr,2005,27.1
ukr,2008,47.1
ukr,2013,32.2
ukr,2019,38.6
ury,2006,41.6
ury,2010,23.1
ury,2017,37
uzb,2005,14.5
uzb,2008,39.8
uzb,2013,29
uzb,2019,25.9
vct,2010,76
ven,2010,30.7
vnm,2009,59.2
vnm,2015,51.1
vut,2009,51.4
wsm,2009,79.8
yem,2010,6.4
yem,2013,6.6
zaf,2007,22.6
zaf,2020,10.6
zmb,2007,37.2
zmb,2013,43.7
zmb,2019,41.5
zwe,2011,56.2
zwe,2016,42.5
