geo,time,iq_sci_srce
bfa,2012,80
bfa,2013,80
bfa,2014,80
bfa,2015,70
bfa,2016,80
bfa,2017,80
bfa,2018,60
bfa,2019,40
bfa,2020,60
bgd,2004,80
bgd,2005,80
bgd,2006,80
bgd,2007,80
bgd,2008,80
bgd,2009,80
bgd,2010,80
bgd,2011,80
bgd,2012,80
bgd,2013,80
bgd,2014,80
bgd,2015,80
bgd,2016,80
bgd,2017,70
bgd,2018,80
bgd,2019,80
bgd,2020,80
bgr,2004,80
bgr,2005,80
bgr,2006,100
bgr,2007,100
bgr,2008,100
bgr,2009,90
bgr,2010,90
bgr,2011,90
bgr,2012,90
bgr,2013,80
bgr,2014,80
bgr,2015,80
bgr,2016,80
bgr,2017,80
bgr,2018,80
bgr,2019,80
bgr,2020,80
bih,2004,60
bih,2005,60
bih,2006,60
bih,2007,60
bih,2008,60
bih,2009,60
bih,2010,60
bih,2011,60
bih,2012,60
bih,2013,60
bih,2014,80
bih,2015,70
bih,2016,70
bih,2017,70
bih,2018,60
bih,2019,50
bih,2020,50
blr,2004,80
blr,2005,80
blr,2006,70
blr,2007,80
blr,2008,80
blr,2009,80
blr,2010,80
blr,2011,80
blr,2012,80
blr,2013,80
blr,2014,80
blr,2015,80
blr,2016,80
blr,2017,80
blr,2018,60
blr,2019,80
blr,2020,70
blz,2005,60
blz,2006,60
blz,2007,50
blz,2008,50
blz,2009,50
blz,2010,50
blz,2011,40
blz,2012,60
blz,2013,60
blz,2014,40
blz,2015,40
blz,2016,60
blz,2017,60
blz,2018,60
blz,2019,60
blz,2020,60
bol,2004,60
bol,2005,60
bol,2006,60
bol,2007,60
bol,2008,60
bol,2009,60
bol,2010,60
bol,2011,60
bol,2012,60
bol,2013,60
bol,2014,80
bol,2015,80
bol,2016,80
bol,2017,80
bol,2018,60
bol,2019,60
bol,2020,60
bra,2004,80
bra,2005,80
bra,2006,80
bra,2007,80
bra,2008,80
bra,2009,80
bra,2010,80
bra,2011,80
bra,2012,80
bra,2013,70
bra,2014,60
bra,2015,60
bra,2016,60
bra,2017,60
bra,2018,80
bra,2019,80
bra,2020,80
btn,2005,60
btn,2006,80
btn,2007,60
btn,2008,80
btn,2009,80
btn,2010,80
btn,2011,80
btn,2012,80
btn,2013,80
btn,2014,80
btn,2015,70
btn,2016,70
btn,2017,70
btn,2018,60
btn,2019,60
btn,2020,60
bwa,2004,80
bwa,2005,80
bwa,2006,70
bwa,2007,70
bwa,2008,70
bwa,2009,70
bwa,2010,70
bwa,2011,80
bwa,2012,70
bwa,2013,60
bwa,2014,50
bwa,2015,40
bwa,2016,40
bwa,2017,40
bwa,2018,60
bwa,2019,60
bwa,2020,60
caf,2004,50
caf,2005,50
caf,2006,50
caf,2007,50
caf,2008,50
caf,2009,60
caf,2010,60
caf,2011,60
caf,2012,60
caf,2013,60
caf,2014,60
caf,2015,40
caf,2016,20
caf,2017,20
caf,2018,0
caf,2019,10
caf,2020,10
chl,2004,100
chl,2005,100
chl,2006,100
chl,2007,100
chl,2008,100
chl,2009,100
chl,2010,100
chl,2011,100
chl,2012,100
chl,2013,100
chl,2014,100
chl,2015,100
chl,2016,100
chl,2017,100
chl,2018,80
chl,2019,80
chl,2020,60
chn,2004,70
chn,2005,70
chn,2006,70
chn,2007,60
chn,2008,60
chn,2009,60
chn,2010,60
chn,2011,60
chn,2012,60
chn,2013,60
chn,2014,60
chn,2015,60
chn,2016,60
chn,2017,50
chn,2018,60
chn,2019,60
chn,2020,60
civ,2004,80
civ,2005,80
civ,2006,80
civ,2007,70
civ,2008,70
civ,2009,70
civ,2010,50
civ,2011,50
civ,2012,50
civ,2013,30
civ,2014,20
civ,2015,40
civ,2016,60
civ,2017,50
civ,2018,60
civ,2019,60
civ,2020,60
cmr,2004,30
cmr,2005,30
cmr,2006,50
cmr,2007,50
cmr,2008,50
cmr,2009,50
cmr,2010,50
cmr,2011,50
cmr,2012,50
cmr,2013,40
cmr,2014,40
cmr,2015,40
cmr,2016,70
cmr,2017,70
cmr,2018,40
cmr,2019,40
cmr,2020,20
cod,2004,10
cod,2005,20
cod,2006,20
cod,2007,20
cod,2008,30
cod,2009,30
cod,2010,30
cod,2011,30
cod,2012,30
cod,2013,30
cod,2014,30
cod,2015,30
cod,2016,20
cod,2017,20
cod,2018,20
cod,2019,20
cod,2020,20
cog,2004,30
cog,2005,30
cog,2006,40
cog,2007,40
cog,2008,40
cog,2009,40
cog,2010,40
cog,2011,40
cog,2012,40
cog,2013,40
cog,2014,40
cog,2015,40
cog,2016,60
cog,2017,40
cog,2018,50
cog,2019,50
cog,2020,30
col,2004,80
col,2005,60
col,2006,60
col,2007,80
col,2008,80
col,2009,80
col,2010,80
col,2011,80
col,2012,80
col,2013,60
col,2014,60
col,2015,80
col,2016,80
col,2017,80
col,2018,70
col,2019,70
col,2020,70
com,2005,70
com,2006,70
com,2007,60
com,2008,60
com,2009,60
com,2010,60
com,2011,60
com,2012,50
com,2013,50
com,2014,50
com,2015,50
com,2016,20
com,2017,0
com,2018,30
com,2019,50
com,2020,40
cpv,2005,90
cpv,2006,100
cpv,2007,100
cpv,2008,100
cpv,2009,100
cpv,2010,100
cpv,2011,80
cpv,2012,80
cpv,2013,80
cpv,2014,70
cpv,2015,70
cpv,2016,70
cpv,2017,60
cpv,2018,70
cpv,2019,60
cpv,2020,60
cri,2004,70
cri,2005,60
cri,2006,60
cri,2007,60
cri,2008,60
cri,2009,60
cri,2010,60
cri,2011,60
cri,2012,60
cri,2013,60
cri,2014,60
cri,2015,80
cri,2016,80
cri,2017,80
cri,2018,80
cri,2019,90
cri,2020,90
dji,2005,40
dji,2006,40
dji,2007,20
dji,2008,10
dji,2009,10
dji,2010,30
dji,2011,20
dji,2012,20
dji,2013,20
dji,2014,20
dji,2015,20
dji,2016,40
dji,2017,40
dji,2018,40
dji,2019,40
dji,2020,40
dma,2005,60
dma,2006,60
dma,2007,40
dma,2008,40
dma,2009,40
dma,2010,40
dma,2011,40
dma,2012,40
dma,2013,40
dma,2014,40
dma,2015,40
dma,2016,60
dma,2017,60
dma,2018,40
dma,2019,40
dma,2020,40
dom,2004,60
dom,2005,60
dom,2006,60
dom,2007,60
dom,2008,60
dom,2009,60
dom,2010,60
dom,2011,60
dom,2012,60
dom,2013,80
dom,2014,80
dom,2015,80
dom,2016,80
dom,2017,80
dom,2018,60
dom,2019,50
dom,2020,60
dza,2004,60
dza,2005,60
dza,2006,60
dza,2007,50
dza,2008,50
dza,2009,50
dza,2010,50
dza,2011,50
dza,2012,40
dza,2013,30
dza,2014,30
dza,2015,30
dza,2016,40
dza,2017,40
dza,2018,20
dza,2019,30
dza,2020,30
ecu,2004,80
ecu,2005,80
ecu,2006,80
ecu,2007,80
ecu,2008,80
ecu,2009,80
ecu,2010,80
ecu,2011,80
ecu,2012,60
ecu,2013,60
ecu,2014,50
ecu,2015,50
ecu,2016,40
ecu,2017,40
ecu,2018,40
ecu,2019,40
ecu,2020,40
egy,2004,100
egy,2005,100
egy,2006,100
egy,2007,100
egy,2008,100
egy,2009,100
egy,2010,100
egy,2011,100
egy,2012,100
egy,2013,100
egy,2014,100
egy,2015,100
egy,2016,100
egy,2017,90
egy,2018,90
egy,2019,90
egy,2020,80
eri,2004,20
eri,2005,20
eri,2006,20
eri,2007,10
eri,2008,10
eri,2009,0
eri,2010,0
eri,2011,0
eri,2012,0
eri,2013,0
eri,2014,0
eri,2015,0
eri,2016,0
eri,2017,0
eri,2018,0
eri,2019,0
eri,2020,0
est,2016,80
eth,2004,80
eth,2005,80
eth,2006,60
eth,2007,60
eth,2008,80
eth,2009,80
eth,2010,80
eth,2011,70
eth,2012,70
eth,2013,70
eth,2014,70
eth,2015,80
eth,2016,80
eth,2017,80
eth,2018,70
eth,2019,70
eth,2020,30
fji,2005,40
fji,2006,40
fji,2007,40
fji,2008,40
fji,2009,50
fji,2010,60
fji,2011,80
fji,2012,80
fji,2013,80
fji,2014,80
fji,2015,70
fji,2016,70
fji,2017,80
fji,2018,80
fji,2019,80
fji,2020,70
fsm,2005,20
fsm,2006,20
fsm,2007,20
fsm,2008,20
fsm,2009,20
fsm,2010,20
fsm,2011,20
fsm,2012,20
fsm,2013,20
fsm,2014,20
fsm,2015,20
fsm,2016,30
fsm,2017,30
fsm,2018,50
fsm,2019,50
fsm,2020,60
gab,2004,50
gab,2005,50
gab,2006,40
gab,2007,40
gab,2008,40
gab,2009,40
gab,2010,40
gab,2011,40
gab,2012,20
gab,2013,30
gab,2014,30
gab,2015,30
gab,2016,30
gab,2017,20
gab,2018,20
gab,2019,40
gab,2020,30
geo,2004,80
geo,2005,100
geo,2006,100
geo,2007,100
geo,2008,100
geo,2009,100
geo,2010,100
geo,2011,100
geo,2012,100
geo,2013,100
geo,2014,70
geo,2015,90
geo,2016,90
geo,2017,80
geo,2018,80
geo,2019,80
geo,2020,80
gha,2004,40
gha,2005,40
gha,2006,50
gha,2007,50
gha,2008,50
gha,2009,50
gha,2010,50
gha,2011,40
gha,2012,40
gha,2013,40
gha,2014,40
gha,2015,50
gha,2016,60
gha,2017,50
gha,2018,80
gha,2019,80
gha,2020,80
gin,2004,70
gin,2005,70
gin,2006,60
gin,2007,60
gin,2008,50
gin,2009,50
gin,2010,50
gin,2011,50
gin,2012,50
gin,2013,30
gin,2014,30
gin,2015,50
gin,2016,50
gin,2017,40
gin,2018,40
gin,2019,60
gin,2020,40
gmb,2004,80
gmb,2005,80
gmb,2006,80
gmb,2007,80
gmb,2008,80
gmb,2009,80
gmb,2010,70
gmb,2011,70
gmb,2012,70
gmb,2013,70
gmb,2014,70
gmb,2015,60
gmb,2016,60
gmb,2017,60
gmb,2018,60
gmb,2019,70
gmb,2020,80
gnb,2004,30
gnb,2005,20
gnb,2006,20
gnb,2007,20
gnb,2008,20
gnb,2009,20
gnb,2010,50
gnb,2011,50
gnb,2012,50
gnb,2013,50
gnb,2014,30
gnb,2015,30
gnb,2016,30
gnb,2017,40
gnb,2018,40
gnb,2019,70
gnb,2020,60
gnq,2005,20
gnq,2006,20
gnq,2007,20
gnq,2008,20
gnq,2009,20
gnq,2010,20
gnq,2011,20
gnq,2012,20
gnq,2013,20
gnq,2014,20
gnq,2015,20
gnq,2016,40
gnq,2017,40
gnq,2018,40
gnq,2019,40
gnq,2020,40
grd,2005,60
grd,2006,60
grd,2007,40
grd,2008,40
grd,2009,40
grd,2010,40
grd,2011,40
grd,2012,40
grd,2013,40
grd,2014,40
grd,2015,60
grd,2016,60
grd,2017,60
grd,2018,60
grd,2019,60
grd,2020,60
gtm,2004,100
gtm,2005,100
gtm,2006,100
gtm,2007,100
gtm,2008,100
gtm,2009,100
gtm,2010,100
gtm,2011,100
gtm,2012,90
gtm,2013,90
gtm,2014,80
gtm,2015,80
gtm,2016,80
gtm,2017,90
gtm,2018,60
gtm,2019,60
gtm,2020,60
guy,2005,30
guy,2006,30
guy,2007,40
guy,2008,50
guy,2009,50
guy,2010,40
guy,2011,40
guy,2012,30
guy,2013,30
guy,2014,30
guy,2015,30
guy,2016,40
guy,2017,40
guy,2018,60
guy,2019,50
guy,2020,30
hnd,2004,80
hnd,2005,60
hnd,2006,60
hnd,2007,80
hnd,2008,80
hnd,2009,80
hnd,2010,80
hnd,2011,80
hnd,2012,80
hnd,2013,60
hnd,2014,80
hnd,2015,80
hnd,2016,80
hnd,2017,80
hnd,2018,60
hnd,2019,40
hnd,2020,50
hrv,2004,100
hrv,2005,100
hrv,2006,100
hrv,2007,90
hrv,2008,90
hrv,2009,90
hrv,2010,90
hrv,2011,90
hrv,2012,90
hrv,2013,90
hrv,2014,80
hrv,2015,80
hrv,2016,80
hrv,2017,80
hrv,2018,80
hrv,2019,80
hrv,2020,80
hti,2004,30
hti,2005,30
hti,2006,30
hti,2007,30
hti,2008,30
hti,2009,30
hti,2010,30
hti,2011,30
hti,2012,20
hti,2013,30
hti,2014,50
hti,2015,50
hti,2016,30
hti,2017,20
hti,2018,50
hti,2019,50
hti,2020,50
hun,2004,80
hun,2005,80
hun,2006,80
hun,2007,80
hun,2008,80
hun,2009,80
hun,2010,80
hun,2011,80
hun,2012,80
hun,2013,80
hun,2014,80
hun,2015,80
hun,2016,80
idn,2004,80
idn,2005,80
idn,2006,80
idn,2007,80
idn,2008,80
idn,2009,80
idn,2010,80
idn,2011,80
idn,2012,80
idn,2013,80
idn,2014,80
idn,2015,80
idn,2016,80
idn,2017,80
idn,2018,80
idn,2019,80
idn,2020,70
ind,2004,80
ind,2005,80
ind,2006,80
ind,2007,80
ind,2008,80
ind,2009,80
ind,2010,80
ind,2011,80
ind,2012,80
ind,2013,80
ind,2014,80
ind,2015,80
ind,2016,80
ind,2017,80
ind,2018,60
ind,2019,60
ind,2020,70
irn,2004,50
irn,2005,70
irn,2006,70
irn,2007,80
irn,2008,80
irn,2009,80
irn,2010,70
irn,2011,80
irn,2012,80
irn,2013,80
irn,2014,80
irn,2015,80
irn,2016,80
irn,2017,80
irn,2018,80
irn,2019,80
irn,2020,80
irq,2004,40
irq,2005,50
irq,2006,50
irq,2007,60
irq,2008,70
irq,2009,50
irq,2010,50
irq,2011,50
irq,2012,60
irq,2013,60
irq,2014,60
irq,2015,60
irq,2016,60
irq,2017,60
irq,2018,10
irq,2019,20
irq,2020,30
jam,2004,80
jam,2005,80
jam,2006,80
jam,2007,80
jam,2008,80
jam,2009,80
jam,2010,80
jam,2011,100
jam,2012,80
jam,2013,80
jam,2014,80
jam,2015,80
jam,2016,80
jam,2017,80
jam,2018,60
jam,2019,60
jam,2020,40
jor,2004,70
jor,2005,70
jor,2006,70
jor,2007,70
jor,2008,70
jor,2009,70
jor,2010,70
jor,2011,70
jor,2012,70
jor,2013,70
jor,2014,70
jor,2015,70
jor,2016,70
jor,2017,80
jor,2018,70
jor,2019,70
jor,2020,60
kaz,2004,80
kaz,2005,80
kaz,2006,80
kaz,2007,100
kaz,2008,100
kaz,2009,100
kaz,2010,100
kaz,2011,90
kaz,2012,100
kaz,2013,100
kaz,2014,90
kaz,2015,90
kaz,2016,90
kaz,2017,100
kaz,2018,90
kaz,2019,70
kaz,2020,50
ken,2004,50
ken,2005,50
ken,2006,50
ken,2007,60
ken,2008,60
ken,2009,50
ken,2010,50
ken,2011,50
ken,2012,50
ken,2013,50
ken,2014,50
ken,2015,50
ken,2016,50
ken,2017,40
ken,2018,30
ken,2019,50
ken,2020,60
kgz,2004,100
kgz,2005,100
kgz,2006,100
kgz,2007,100
kgz,2008,100
kgz,2009,90
kgz,2010,80
kgz,2011,80
kgz,2012,80
kgz,2013,80
kgz,2014,90
kgz,2015,70
kgz,2016,80
kgz,2017,80
kgz,2018,90
kgz,2019,100
kgz,2020,80
khm,2004,60
khm,2005,60
khm,2006,60
khm,2007,60
khm,2008,60
khm,2009,60
khm,2010,60
khm,2011,60
khm,2012,60
khm,2013,60
khm,2014,80
khm,2015,80
khm,2016,80
khm,2017,80
khm,2018,70
khm,2019,70
khm,2020,70
kir,2005,20
kir,2006,20
kir,2007,20
kir,2008,20
kir,2009,20
kir,2010,20
kir,2011,20
kir,2012,20
kir,2013,20
kir,2014,20
kir,2015,20
kir,2016,20
kir,2017,20
kir,2018,20
kir,2019,20
kir,2020,30
kna,2005,60
kna,2006,60
kna,2007,60
kna,2008,60
kna,2009,60
kna,2010,60
kna,2011,60
kna,2012,40
kna,2013,40
kna,2014,40
kna,2015,40
kna,2016,40
kna,2017,40
kna,2018,40
kna,2019,40
kna,2020,40
kos,2013,40
kos,2014,40
kos,2015,60
kos,2016,60
kos,2017,60
kos,2018,40
kos,2019,50
kos,2020,50
lao,2004,70
lao,2005,70
lao,2006,70
lao,2007,70
lao,2008,70
lao,2009,80
lao,2010,80
lao,2011,60
lao,2012,70
lao,2013,70
lao,2014,70
lao,2015,70
lao,2016,60
lao,2017,60
lao,2018,70
lao,2019,60
lao,2020,50
lbn,2004,20
lbn,2005,30
lbn,2006,30
lbn,2007,40
lbn,2008,40
lbn,2009,40
lbn,2010,40
lbn,2011,60
lbn,2012,70
lbn,2013,70
lbn,2014,70
lbn,2015,70
lbn,2016,70
lbn,2017,70
lbn,2018,50
lbn,2019,40
lbn,2020,40
lbr,2004,0
lbr,2005,0
lbr,2006,0
lbr,2007,0
lbr,2008,10
lbr,2009,30
lbr,2010,30
lbr,2011,40
lbr,2012,40
lbr,2013,40
lbr,2014,50
lbr,2015,50
lbr,2016,60
lbr,2017,60
lbr,2018,50
lbr,2019,40
lbr,2020,50
lby,2004,0
lby,2005,40
lby,2006,40
lby,2007,40
lby,2008,40
lby,2009,40
lby,2010,40
lby,2011,40
lby,2012,40
lby,2013,20
lby,2014,20
lby,2015,20
lby,2016,20
lby,2017,20
lby,2018,20
lby,2019,0
lby,2020,0
lca,2005,60
lca,2006,60
lca,2007,60
lca,2008,60
lca,2009,60
lca,2010,60
lca,2011,60
lca,2012,60
lca,2013,70
lca,2014,70
lca,2015,80
lca,2016,80
lca,2017,60
lca,2018,70
lca,2019,70
lca,2020,50
lka,2004,100
lka,2005,100
lka,2006,90
lka,2007,100
lka,2008,100
lka,2009,100
lka,2010,100
lka,2011,90
lka,2012,90
lka,2013,90
lka,2014,80
lka,2015,80
lka,2016,80
lka,2017,80
lka,2018,80
lka,2019,80
lka,2020,80
lso,2004,70
lso,2005,70
lso,2006,70
lso,2007,60
lso,2008,60
lso,2009,60
lso,2010,60
lso,2011,60
lso,2012,70
lso,2013,70
lso,2014,70
lso,2015,60
lso,2016,60
lso,2017,60
lso,2018,70
lso,2019,80
lso,2020,80
ltu,2016,80
lva,2016,80
mar,2004,80
mar,2005,80
mar,2006,80
mar,2007,80
mar,2008,60
mar,2009,60
mar,2010,60
mar,2011,60
mar,2012,50
mar,2013,70
mar,2014,70
mar,2015,80
mar,2016,80
mar,2017,70
mar,2018,60
mar,2019,60
mar,2020,60
mda,2004,70
mda,2005,90
mda,2006,80
mda,2007,80
mda,2008,80
mda,2009,70
mda,2010,70
mda,2011,70
mda,2012,80
mda,2013,90
mda,2014,90
mda,2015,90
mda,2016,90
mda,2017,80
mda,2018,80
mda,2019,80
mda,2020,80
mdg,2004,60
mdg,2005,60
mdg,2006,60
mdg,2007,60
mdg,2008,60
mdg,2009,60
mdg,2010,60
mdg,2011,60
mdg,2012,60
mdg,2013,50
mdg,2014,50
mdg,2015,40
mdg,2016,50
mdg,2017,30
mdg,2018,20
mdg,2019,50
mdg,2020,50
mdv,2005,70
mdv,2006,70
mdv,2007,70
mdv,2008,70
mdv,2009,50
mdv,2010,60
mdv,2011,70
mdv,2012,70
mdv,2013,60
mdv,2014,60
mdv,2015,60
mdv,2016,40
mdv,2017,40
mdv,2018,60
mdv,2019,60
mdv,2020,60
mex,2004,50
mex,2005,50
mex,2006,50
mex,2007,50
mex,2008,70
mex,2009,70
mex,2010,70
mex,2011,70
mex,2012,70
mex,2013,70
mex,2014,60
mex,2015,80
mex,2016,100
mex,2017,100
mex,2018,80
mex,2019,80
mex,2020,60
mhl,2005,30
mhl,2006,30
mhl,2007,40
mhl,2008,50
mhl,2009,50
mhl,2010,50
mhl,2011,50
mhl,2012,50
mhl,2013,50
mhl,2014,40
mhl,2015,40
mhl,2016,30
mhl,2017,30
mhl,2018,20
mhl,2019,20
mhl,2020,20
mkd,2004,80
mkd,2005,80
mkd,2006,70
mkd,2007,70
mkd,2008,90
mkd,2009,90
mkd,2010,90
mkd,2011,90
mkd,2012,90
mkd,2013,90
mkd,2014,90
mkd,2015,90
mkd,2016,90
mkd,2017,80
mkd,2018,80
mkd,2019,80
mkd,2020,50
mli,2004,60
mli,2005,60
mli,2006,80
mli,2007,80
mli,2008,80
mli,2009,80
mli,2010,80
mli,2011,80
mli,2012,80
mli,2013,80
mli,2014,80
mli,2015,80
mli,2016,80
mli,2017,80
mli,2018,60
mli,2019,80
mli,2020,60
mmr,2004,50
mmr,2005,50
mmr,2006,50
mmr,2007,40
mmr,2008,40
mmr,2009,30
mmr,2010,40
mmr,2011,40
mmr,2012,30
mmr,2013,30
mmr,2014,20
mmr,2015,50
mmr,2016,50
mmr,2017,80
mmr,2018,70
mmr,2019,70
mmr,2020,70
mne,2004,70
mne,2005,80
mne,2006,80
mne,2007,80
mne,2008,80
mne,2009,80
mne,2010,80
mne,2011,100
mne,2012,90
mne,2013,90
mne,2014,90
mne,2015,90
mne,2016,90
mne,2017,80
mne,2018,80
mne,2019,90
mne,2020,90
mng,2004,60
mng,2005,80
mng,2006,80
mng,2007,80
mng,2008,80
mng,2009,80
mng,2010,80
mng,2011,80
mng,2012,80
mng,2013,100
mng,2014,100
mng,2015,100
mng,2016,100
mng,2017,100
mng,2018,90
mng,2019,100
mng,2020,100
moz,2004,80
moz,2005,80
moz,2006,80
moz,2007,80
moz,2008,80
moz,2009,80
moz,2010,80
moz,2011,80
moz,2012,80
moz,2013,80
moz,2014,70
moz,2015,50
moz,2016,60
moz,2017,70
moz,2018,70
moz,2019,70
moz,2020,60
mrt,2004,60
mrt,2005,60
mrt,2006,60
mrt,2007,60
mrt,2008,50
mrt,2009,60
mrt,2010,60
mrt,2011,60
mrt,2012,30
mrt,2013,30
mrt,2014,50
mrt,2015,50
mrt,2016,40
mrt,2017,40
mrt,2018,50
mrt,2019,40
mrt,2020,50
mus,2004,60
mus,2005,60
mus,2006,60
mus,2007,60
mus,2008,70
mus,2009,70
mus,2010,70
mus,2011,80
mus,2012,80
mus,2013,70
mus,2014,80
mus,2015,100
mus,2016,90
mus,2017,80
mus,2018,80
mus,2019,80
mus,2020,80
mwi,2004,60
mwi,2005,50
mwi,2006,60
mwi,2007,80
mwi,2008,80
mwi,2009,80
mwi,2010,80
mwi,2011,80
mwi,2012,80
mwi,2013,80
mwi,2014,80
mwi,2015,80
mwi,2016,80
mwi,2017,80
mwi,2018,80
mwi,2019,80
mwi,2020,60
mys,2004,60
mys,2005,60
mys,2006,80
mys,2007,80
mys,2008,80
mys,2009,80
mys,2010,80
mys,2011,80
mys,2012,80
mys,2013,80
mys,2014,80
mys,2015,80
mys,2016,80
mys,2017,80
mys,2018,60
mys,2019,60
mys,2020,60
nam,2004,50
nam,2005,50
nam,2006,50
nam,2007,60
nam,2008,60
nam,2009,40
nam,2010,40
nam,2011,50
nam,2012,50
nam,2013,50
nam,2014,40
nam,2015,40
nam,2016,60
nam,2017,60
nam,2018,60
nam,2019,50
nam,2020,50
ner,2004,60
ner,2005,60
ner,2006,70
ner,2007,70
ner,2008,70
ner,2009,70
ner,2010,80
ner,2011,80
ner,2012,80
ner,2013,80
ner,2014,80
ner,2015,80
ner,2016,80
ner,2017,80
ner,2018,70
ner,2019,70
ner,2020,70
nga,2004,40
nga,2005,40
nga,2006,40
nga,2007,60
nga,2008,80
nga,2009,80
nga,2010,80
nga,2011,80
nga,2012,80
nga,2013,80
nga,2014,80
nga,2015,80
nga,2016,80
nga,2017,80
nga,2018,80
nga,2019,60
nga,2020,40
nic,2004,80
nic,2005,80
nic,2006,80
nic,2007,80
nic,2008,80
nic,2009,80
nic,2010,80
nic,2011,80
nic,2012,80
nic,2013,60
nic,2014,60
nic,2015,70
nic,2016,70
nic,2017,70
nic,2018,40
nic,2019,30
nic,2020,30
npl,2004,80
npl,2005,80
npl,2006,80
npl,2007,80
npl,2008,70
npl,2009,70
npl,2010,70
npl,2011,80
npl,2012,80
npl,2013,80
npl,2014,80
npl,2015,80
npl,2016,70
npl,2017,80
npl,2018,80
npl,2019,80
npl,2020,80
nru,2017,40
nru,2018,40
nru,2019,40
nru,2020,40
pak,2004,80
pak,2005,80
pak,2006,80
pak,2007,80
pak,2008,80
pak,2009,80
pak,2010,60
pak,2011,60
pak,2012,60
pak,2013,60
pak,2014,60
pak,2015,60
pak,2016,60
pak,2017,60
pak,2018,70
pak,2019,70
pak,2020,70
pan,2004,80
pan,2005,80
pan,2006,80
pan,2007,80
pan,2008,80
pan,2009,80
pan,2010,80
pan,2011,80
pan,2012,80
pan,2013,80
pan,2014,80
pan,2015,80
pan,2016,80
pan,2017,80
pan,2018,80
pan,2019,80
pan,2020,80
per,2004,80
per,2005,60
per,2006,60
per,2007,60
per,2008,60
per,2009,60
per,2010,60
per,2011,60
per,2012,60
per,2013,80
per,2014,100
per,2015,80
per,2016,80
per,2017,80
per,2018,60
per,2019,60
per,2020,60
phl,2004,80
phl,2005,100
phl,2006,100
phl,2007,100
phl,2008,100
phl,2009,100
phl,2010,100
phl,2011,100
phl,2012,100
phl,2013,100
phl,2014,100
phl,2015,100
phl,2016,100
phl,2017,100
phl,2018,100
phl,2019,100
phl,2020,90
plw,2005,40
plw,2006,40
plw,2007,40
plw,2008,40
plw,2009,40
plw,2010,40
plw,2011,40
plw,2012,40
plw,2013,40
plw,2014,40
plw,2015,40
plw,2016,50
plw,2017,50
plw,2018,60
plw,2019,60
plw,2020,60
png,2004,20
png,2005,20
png,2006,30
png,2007,30
png,2008,20
png,2009,20
png,2010,20
png,2011,20
png,2012,20
png,2013,20
png,2014,30
png,2015,30
png,2016,40
png,2017,30
png,2018,40
png,2019,40
png,2020,40
pol,2004,80
pol,2005,80
pol,2006,80
pol,2007,80
pol,2008,80
pol,2009,80
pol,2010,80
