geo,time,sp_pop_totl_fe_zs
lao,1979,50.36562
lao,1980,50.33275
lao,1981,50.30037
lao,1982,50.26916
lao,1983,50.23688
lao,1984,50.20117
lao,1985,50.16119
lao,1986,50.1152
lao,1987,50.06637
lao,1988,50.02277
lao,1989,49.99395
lao,1990,49.98541
lao,1991,49.99927
lao,1992,50.03086
lao,1993,50.07149
lao,1994,50.10979
lao,1995,50.13898
lao,1996,50.15541
lao,1997,50.16276
lao,1998,50.16968
lao,1999,50.18789
lao,2000,50.22405
lao,2001,50.27949
lao,2002,50.34805
lao,2003,50.41934
lao,2004,50.47991
lao,2005,50.51982
lao,2006,50.53952
lao,2007,50.54128
lao,2008,50.52108
lao,2009,50.47519
lao,2010,50.4025
lao,2011,50.30046
lao,2012,50.17479
lao,2013,50.04314
lao,2014,49.92835
lao,2015,49.84523
lao,2016,49.79921
lao,2017,49.78403
lao,2018,49.78936
lao,2019,49.80054
lao,2020,49.80735
lbn,1960,49.71503
lbn,1961,49.70114
lbn,1962,49.6822
lbn,1963,49.65977
lbn,1964,49.635
lbn,1965,49.60992
lbn,1966,49.58689
lbn,1967,49.56689
lbn,1968,49.54728
lbn,1969,49.52481
lbn,1970,49.49888
lbn,1971,49.46424
lbn,1972,49.42637
lbn,1973,49.40617
lbn,1974,49.4301
lbn,1975,49.51226
lbn,1976,49.66194
lbn,1977,49.86913
lbn,1978,50.10311
lbn,1979,50.3191
lbn,1980,50.48209
lbn,1981,50.5779
lbn,1982,50.61608
lbn,1983,50.61524
lbn,1984,50.6051
lbn,1985,50.60634
lbn,1986,50.62474
lbn,1987,50.65243
lbn,1988,50.67613
lbn,1989,50.67777
lbn,1990,50.64659
lbn,1991,50.57764
lbn,1992,50.48384
lbn,1993,50.3886
lbn,1994,50.31567
lbn,1995,50.27476
lbn,1996,50.27351
lbn,1997,50.30074
lbn,1998,50.32097
lbn,1999,50.28748
lbn,2000,50.17373
lbn,2001,49.97508
lbn,2002,49.72449
lbn,2003,49.47081
lbn,2004,49.26284
lbn,2005,49.12369
lbn,2006,49.05094
lbn,2007,49.03079
lbn,2008,49.05805
lbn,2009,49.12219
lbn,2010,49.20974
lbn,2011,49.31505
lbn,2012,49.42885
lbn,2013,49.53337
lbn,2014,49.61545
lbn,2015,49.6712
lbn,2016,49.70205
lbn,2017,49.71222
lbn,2018,49.70581
lbn,2019,49.68798
lbn,2020,49.66266
lbr,1960,49.40916
lbr,1961,49.5151
lbr,1962,49.61492
lbr,1963,49.70775
lbr,1964,49.7914
lbr,1965,49.86748
lbr,1966,49.93404
lbr,1967,49.99233
lbr,1968,50.0437
lbr,1969,50.08957
lbr,1970,50.12993
lbr,1971,50.16586
lbr,1972,50.19785
lbr,1973,50.22504
lbr,1974,50.24828
lbr,1975,50.26749
lbr,1976,50.28311
lbr,1977,50.29516
lbr,1978,50.30406
lbr,1979,50.31041
lbr,1980,50.31336
lbr,1981,50.31446
lbr,1982,50.31337
lbr,1983,50.31095
lbr,1984,50.30803
lbr,1985,50.30577
lbr,1986,50.30309
lbr,1987,50.30019
lbr,1988,50.29767
lbr,1989,50.29555
lbr,1990,50.29464
lbr,1991,50.2954
lbr,1992,50.29636
lbr,1993,50.29562
lbr,1994,50.28867
lbr,1995,50.27386
lbr,1996,50.25217
lbr,1997,50.22629
lbr,1998,50.19937
lbr,1999,50.17272
lbr,2000,50.14585
lbr,2001,50.11727
lbr,2002,50.0869
lbr,2003,50.05559
lbr,2004,50.0265
lbr,2005,50.00196
lbr,2006,49.9831
lbr,2007,49.9687
lbr,2008,49.95677
lbr,2009,49.94469
lbr,2010,49.93019
lbr,2011,49.9131
lbr,2012,49.89429
lbr,2013,49.87394
lbr,2014,49.85292
lbr,2015,49.83173
lbr,2016,49.81056
lbr,2017,49.78925
lbr,2018,49.76829
lbr,2019,49.74827
lbr,2020,49.72911
lby,1960,48.68905
lby,1961,48.66896
lby,1962,48.65364
lby,1963,48.64047
lby,1964,48.62587
lby,1965,48.60587
lby,1966,48.58249
lby,1967,48.55559
lby,1968,48.52175
lby,1969,48.47751
