geo,time,en_atm_co2e_gf_kt
atg,1978,0
atg,1979,0
atg,1980,0
atg,1981,0
atg,1982,0
atg,1983,0
atg,1984,0
atg,1985,0
atg,1986,0
atg,1987,0
atg,1988,0
atg,1989,0
atg,1990,0
atg,1991,0
atg,1992,0
atg,1993,0
atg,1994,0
atg,1995,0
atg,1996,0
atg,1997,0
atg,1998,0
atg,1999,0
atg,2000,0
atg,2001,0
atg,2002,0
atg,2003,0
atg,2004,0
atg,2005,0
atg,2006,0
atg,2007,0
atg,2008,0
atg,2009,0
atg,2010,0
atg,2011,0
atg,2012,0
atg,2013,0
atg,2014,0
atg,2015,0
atg,2016,0
aus,1960,0
aus,1961,0
aus,1962,3.667
aus,1963,7.334
aus,1964,7.334
aus,1965,7.334
aus,1966,7.334
aus,1967,7.334
aus,1968,11.001
aus,1969,487.711
aus,1970,2757.584
aus,1971,4103.373
aus,1972,5848.865
aus,1973,6490.59
aus,1974,7715.368
aus,1975,8375.428
aus,1976,9266.509
aus,1977,11059.672
aus,1978,13813.589
aus,1979,15298.724
aus,1980,17685.941
aus,1981,20377.519
aus,1982,22548.383
aus,1983,22808.74
aus,1984,24070.188
aus,1985,30172.076
aus,1986,28114.889
aus,1987,28994.969
aus,1988,29710.034
aus,1989,30370.094
aus,1990,33875.746
aus,1991,31719.55
aus,1992,32848.986
aus,1993,34180.107
aus,1994,35712.913
aus,1995,38345.819
aus,1996,38496.166
aus,1997,38767.524
aus,1998,40344.334
aus,1999,42049.489
aus,2000,44147.013
aus,2001,46519.562
aus,2002,49134.133
aus,2003,46985.271
aus,2004,47080.613
aus,2005,43453.95
aus,2006,52951.48
aus,2007,60696.184
aus,2008,65488.953
aus,2009,67172.106
aus,2010,65136.921
aus,2011,68525.229
aus,2012,65430.281
aus,2013,69313.634
aus,2014,72606.6
aus,2015,73809.376
aus,2016,79122.859
aut,1960,2922.599
aut,1961,3091.281
aut,1962,3241.628
aut,1963,3380.974
aut,1964,3523.987
aut,1965,3424.978
aut,1966,3674.334
aut,1967,3520.32
aut,1968,3747.674
aut,1969,4675.425
aut,1970,5676.516
aut,1971,6563.93
aut,1972,7088.311
aut,1973,7627.36
aut,1974,8280.086
aut,1975,8115.071
aut,1976,9270.176
aut,1977,9424.19
aut,1978,9809.225
aut,1979,9768.888
aut,1980,9292.178
aut,1981,8826.469
aut,1982,8551.444
aut,1983,8690.79
aut,1984,9728.551
aut,1985,10410.613
aut,1986,9255.508
aut,1987,9640.543
aut,1988,9237.173
aut,1989,10058.581
aut,1990,11994.757
aut,1991,12680.486
aut,1992,12449.465
aut,1993,13131.527
aut,1994,13505.561
aut,1995,14748.674
aut,1996,15698.427
aut,1997,15130.042
aut,1998,15529.745
aut,1999,15801.103
aut,2000,15082.371
aut,2001,15984.453
aut,2002,15911.113
aut,2003,17176.228
aut,2004,17590.599
aut,2005,18518.35
aut,2006,17337.576
aut,2007,16336.485
aut,2008,17297.239
aut,2009,16879.201
aut,2010,18602.691
aut,2011,17557.596
aut,2012,16780.192
aut,2013,16171.47
aut,2014,14759.675
aut,2015,15749.765
aut,2016,16450.162
aze,1992,22618.056
aze,1993,17297.239
aze,1994,16684.85
aze,1995,13318.544
aze,1996,11745.401
aze,1997,11070.673
aze,1998,10608.631
aze,1999,11697.73
aze,2000,11430.039
aze,2001,16589.508
aze,2002,16633.512
aze,2003,17066.218
aze,2004,18639.361
aze,2005,18547.686
aze,2006,20483.862
aze,2007,17594.266
aze,2008,20755.22
aze,2009,18804.376
aze,2010,17982.968
aze,2011,19039.064
aze,2012,19849.471
aze,2013,19933.812
aze,2014,21202.594
aze,2015,21950.662
aze,2016,21525.29
bdi,1962,0
bdi,1963,0
bdi,1964,0
bdi,1965,0
bdi,1966,0
bdi,1967,0
bdi,1968,0
bdi,1969,0
bdi,1970,0
bdi,1971,0
bdi,1972,0
bdi,1973,0
bdi,1974,0
bdi,1975,0
bdi,1976,0
bdi,1977,0
bdi,1978,0
bdi,1979,0
bdi,1980,0
bdi,1981,0
bdi,1982,0
bdi,1983,0
bdi,1984,0
bdi,1985,0
bdi,1986,0
bdi,1987,0
bdi,1988,0
bdi,1989,0
bdi,1990,0
bdi,1991,0
bdi,1992,0
bdi,1993,0
bdi,1994,0
bdi,1995,0
bdi,1996,0
bdi,1997,0
bdi,1998,0
bdi,1999,0
bdi,2000,0
bdi,2001,0
bdi,2002,0
bdi,2003,0
bdi,2004,0
bdi,2005,0
bdi,2006,0
bdi,2007,0
bdi,2008,0
bdi,2009,0
bdi,2010,0
bdi,2011,0
bdi,2012,0
bdi,2013,0
bdi,2014,0
bdi,2015,0
bdi,2016,0
bel,1960,62.339
bel,1961,69.673
