geo,time,en_pop_slum_ur_zs
nga,2005,65.8
nga,2010,62.7
nga,2014,50.2
nga,2016,53.9
nga,2018,53.9
nic,1990,89.1
nic,1995,74.5
nic,2000,60
nic,2005,45.5
nic,2014,45.5
nic,2016,43.2
nic,2018,42.2
nor,2016,0.001
nor,2018,0.001
npl,1990,70.6
npl,1995,67.3
npl,2000,64
npl,2005,60.7
npl,2010,58.1
npl,2014,54.3
npl,2016,51
npl,2018,49.3
pak,1990,51
pak,1995,49.8
pak,2000,48.7
pak,2005,47.5
pak,2010,46.6
pak,2014,45.5
pak,2016,40.8
pak,2018,40.1
pan,2005,23
pan,2014,25.8
pan,2016,22.1
pan,2018,22.1
per,1990,66.4
per,1995,56.3
per,2000,46.2
per,2005,36.1
per,2014,34.2
per,2016,33.8
per,2018,33.1
phl,1990,54.3
phl,1995,50.8
phl,2000,47.2
phl,2005,43.7
phl,2010,40.9
phl,2014,38.3
phl,2016,43.5
phl,2018,42.9
pol,2016,0.01
pol,2018,0.01
prt,2016,3.6
prt,2018,3.6
pry,2005,17.6
pry,2014,17.6
pry,2018,17.1
rou,2016,14.4
rou,2018,12.1
rwa,1990,96
rwa,1995,87.9
rwa,2000,79.7
rwa,2005,71.6
rwa,2010,65.1
rwa,2014,53.2
rwa,2016,45.5
rwa,2018,42.1
sau,2005,18
sau,2014,18
sau,2018,16.2
sdn,2014,91.6
sdn,2016,93.6
sdn,2018,88.4
sen,1990,70.6
sen,1995,59.8
sen,2000,48.9
sen,2005,43.3
sen,2010,38.8
sen,2014,38.8
sen,2016,29.5
sen,2018,29.5
sle,2005,97
sle,2014,75.6
sle,2016,59.8
sle,2018,59.1
slv,2005,28.9
slv,2014,28.9
slv,2016,22.4
slv,2018,22.4
som,2005,73.5
som,2010,73.6
som,2014,73.6
som,2016,73.6
som,2018,72.1
srb,2016,3.6
srb,2018,3.6
ssd,2014,95.6
ssd,2016,97.3
ssd,2018,91.4
stp,2014,86.6
stp,2016,86.6
stp,2018,85.7
sur,2005,3.9
sur,2014,7.3
sur,2016,5.9
sur,2018,5.9
svn,2016,3.7
svn,2018,3.7
swe,2016,0.001
swe,2018,0.001
swz,2014,32.7
swz,2016,32.7
swz,2018,32.1
syr,2005,10.5
syr,2014,19.3
syr,2016,15.3
syr,2018,37.9
tcd,1990,98.9
tcd,1995,96.4
tcd,2000,93.9
tcd,2005,91.3
tcd,2010,89.3
tcd,2014,88.2
tcd,2016,87
tcd,2018,86.9
tgo,2005,62.1
tgo,2014,51.2
tgo,2016,53
tgo,2018,54.3
tha,2005,26
tha,2010,27
tha,2014,25
tha,2016,24.6
tha,2018,23.7
tjk,2016,26
tjk,2018,26
tls,2016,34
tls,2018,33.4
tto,2005,24.7
tto,2014,24.7
tto,2016,5.4
tto,2018,5.4
tun,2014,8
tun,2016,8
tun,2018,8.2
tur,1990,23.4
tur,1995,20.7
tur,2000,17.9
tur,2005,15.5
tur,2010,13
tur,2014,11.9
tur,2016,8.1
tur,2018,8.6
tza,1990,77.4
tza,1995,73.7
tza,2000,70.1
tza,2005,66.4
tza,2010,63.5
tza,2014,50.7
tza,2016,41.7
tza,2018,40.1
uga,1990,75
uga,1995,75
uga,2000,75
uga,2005,66.7
uga,2010,60.1
uga,2014,53.6
uga,2016,47.5
uga,2018,48.3
ukr,2016,19
ukr,2018,19
uzb,2016,52.2
uzb,2018,52.2
ven,2005,32
ven,2014,32
ven,2016,34.9
ven,2018,44.1
vnm,1990,60.5
vnm,1995,54.6
vnm,2000,48.8
vnm,2005,41.3
vnm,2010,35.2
vnm,2014,27.2
vnm,2016,14.4
vnm,2018,13.8
yem,2005,67.2
yem,2014,60.8
yem,2016,56.4
yem,2018,66.2
zaf,1990,46.2
zaf,1995,39.7
zaf,2000,33.2
zaf,2005,28.7
zaf,2010,23
zaf,2014,23
zaf,2016,26.3
zaf,2018,25.6
zmb,1990,57
zmb,1995,57.1
zmb,2000,57.2
zmb,2005,57.2
zmb,2010,57.3
zmb,2014,54
zmb,2016,63.3
zmb,2018,54.6
zwe,1990,4
zwe,1995,3.7
zwe,2000,3.3
zwe,2005,17.9
zwe,2010,24.1
zwe,2014,25.1
zwe,2016,28.3
zwe,2018,33.5
