geo,time,sl_uem_neet_fe_zs
bgr,2008,19.32
bgr,2009,20.87
bgr,2010,21.81
bgr,2011,21.87
bgr,2012,21.49
bgr,2013,21.1
bgr,2014,21.35
bgr,2015,19.98
bgr,2016,19.4
bgr,2017,17.16
bgr,2018,16.83
bgr,2019,14.76
bgr,2020,15.21
bih,2006,35.33
bih,2007,31.47
bih,2008,27.93
bih,2009,25.76
bih,2010,28.15
bih,2011,26.39
bih,2012,26.44
bih,2013,24.35
bih,2014,24.39
bih,2015,26.35
bih,2016,25.24
bih,2017,24.33
bih,2018,21.65
bih,2019,21.68
bih,2020,23.27
blr,2009,13.76
blr,2020,8.32
blz,2012,13.72
blz,2013,41.49
blz,2014,40.39
blz,2015,40.58
blz,2016,39.35
blz,2017,39.44
blz,2019,34.82
bmu,2010,5.48
bol,1999,1.01
bol,2000,2.21
bol,2001,30.68
bol,2002,10.25
bol,2004,20.44
bol,2005,18.34
bol,2006,17.71
bol,2007,17.58
bol,2008,14.88
bol,2009,14.87
bol,2011,17.47
bol,2012,17.01
bol,2013,16.4
bol,2014,18.27
bol,2015,22.18
bol,2016,16.48
bol,2017,18.08
bol,2018,17.55
bol,2019,16.15
bol,2020,17.89
bra,1995,30.32
bra,1996,30.07
bra,1997,29.96
bra,1998,29.54
bra,1999,28.44
bra,2001,27.82
bra,2002,26.55
bra,2003,26.79
bra,2004,26.33
bra,2005,26.42
bra,2006,26.43
bra,2007,26.38
bra,2008,25.01
bra,2009,25.3
bra,2011,25.89
bra,2012,27.19
bra,2013,27.38
bra,2014,27.15
bra,2015,28.59
bra,2016,29.64
bra,2017,30.55
bra,2018,30.1
bra,2019,29.54
bra,2020,31.45
brn,2014,19.28
brn,2017,19.95
brn,2018,23.26
brn,2019,21.97
brn,2020,9.7
bwa,1996,47.77
bwa,2006,48.03
bwa,2009,42.11
bwa,2019,35.26
bwa,2020,40.05
can,1976,24.82
can,1977,24.86
can,1978,24.27
can,1979,23.03
can,1980,22.3
can,1981,21.49
can,1982,23.95
can,1983,23.28
can,1984,22.1
can,1985,20.25
can,1986,18.92
can,1987,17.85
can,1988,16.49
can,1989,15.81
can,1990,16.63
can,1991,17.28
can,1992,17.92
can,1993,17.91
can,1994,17.63
can,1995,17.17
can,1996,17.32
can,1997,17.4
can,1998,16.23
can,1999,15.03
can,2000,14.68
can,2001,13.77
can,2002,13.48
can,2003,12.92
can,2004,13.04
can,2005,12.77
can,2006,12.25
can,2007,12.78
can,2008,12.75
can,2009,13.32
can,2010,13.51
can,2011,13.41
can,2012,13.5
can,2013,13.4
can,2014,13.39
can,2015,13.33
can,2016,12.89
can,2017,12.11
can,2018,12.27
can,2019,11.67
can,2020,16.67
can,2021,11.52
che,2003,7.65
che,2004,6.53
che,2005,7.21
che,2006,7.1
che,2007,6.06
che,2008,6.18
che,2009,7.69
che,2010,6.98
che,2011,5.71
che,2012,6.32
che,2013,6.67
che,2014,6.56
che,2015,6.74
che,2016,6.39
che,2017,5.47
che,2018,4.75
che,2019,4.47
che,2020,4.94
chl,1990,40.13
chl,1992,35.53
chl,1994,35.46
chl,1996,30.16
chl,1998,30.66
chl,2000,30.62
chl,2003,27.31
chl,2006,25.43
chl,2009,27.72
chl,2010,24.49
chl,2011,24.77
chl,2012,22.84
chl,2013,22.87
chl,2014,23.65
chl,2015,23.59
chl,2016,20.9
chl,2017,19.71
chl,2018,18.92
chl,2019,19.36
chl,2020,22.48
civ,2012,13.49
civ,2013,12.96
civ,2016,46.45
civ,2017,44.16
cmr,2007,15.95
cmr,2010,16.05
cmr,2014,23.07
cod,2005,23.07
cod,2012,25.79
cog,2005,29.07
cog,2009,22.39
col,2002,39.85
col,2003,37.83
col,2004,38.77
col,2005,38.4
col,2007,36.36
col,2008,35.2
col,2009,34.51
col,2010,32.78
col,2011,32.71
col,2012,31.52
col,2013,30.89
col,2014,29.51
col,2015,29.87
col,2016,29.24
col,2017,30.28
col,2018,31.07
col,2019,32.37
com,2004,32.61
com,2014,33.13
cpv,2017,33
cpv,2018,32.83
cpv,2019,29
cri,2001,32.16
cri,2002,30.22
cri,2003,31.07
cri,2004,30.23
cri,2005,28.24
cri,2006,26.95
cri,2007,26.31
cri,2008,25.56
cri,2009,27.06
cri,2010,24.44
cri,2011,27.54
cri,2012,23.06
cri,2013,24.23
cri,2014,23.73
cri,2015,25.02
cri,2016,26.18
cri,2017,25.13
cri,2018,23.89
cri,2019,21.64
cri,2020,24.25
cyp,2003,11.29
cyp,2004,12.17
cyp,2005,21.52
cyp,2006,11.25
cyp,2007,9.58
cyp,2008,10.92
cyp,2009,11.08
cyp,2010,12.83
cyp,2011,14.2
cyp,2012,14.39
cyp,2013,16.99
cyp,2014,15.26
cyp,2015,14.73
cyp,2016,16.92
cyp,2017,16.04
cyp,2018,11.69
cyp,2019,13.15
cyp,2020,13.53
cze,2003,14.56
cze,2004,14.22
cze,2005,15.41
cze,2006,11.1
cze,2007,9.11
cze,2008,8.75
cze,2009,9.89
cze,2010,10.27
cze,2011,9.5
cze,2012,9.77
cze,2013,10.81
cze,2014,9.85
cze,2015,9.52
cze,2016,8.56
cze,2017,8.26
cze,2018,7.8
cze,2019,8.16
cze,2020,9.09
deu,2003,10.33
deu,2004,10.28
deu,2005,12.11
deu,2006,10.87
deu,2007,10.21
deu,2008,9.46
deu,2009,9.4
deu,2010,9.04
deu,2011,8.34
deu,2012,7.93
deu,2013,7
deu,2014,7.23
deu,2015,6.99
deu,2016,7.35
deu,2017,6.72
deu,2018,6.47
deu,2019,6.2
deu,2020,7.21
dji,2017,24.05
dnk,2003,5.41
dnk,2004,6.52
dnk,2005,5.07
dnk,2006,3.81
dnk,2007,3.84
dnk,2008,5.12
dnk,2009,5.91
dnk,2010,6.21
dnk,2011,7.18
dnk,2012,7.33
dnk,2013,6.36
dnk,2014,5.97
dnk,2015,6.93
dnk,2016,5.91
dnk,2017,7.63
dnk,2018,7.6
dnk,2019,7.45
dnk,2020,7.18
dom,2000,28.22
dom,2001,29.4
dom,2002,28.5
dom,2003,29.39
dom,2004,28.99
dom,2005,27.18
dom,2006,26.15
dom,2007,25.65
dom,2008,25.76
dom,2009,27.64
dom,2010,27.43
dom,2011,25.27
dom,2012,25.22
dom,2013,27.23
dom,2014,26.52
dom,2015,31.07
dom,2016,31.62
dom,2017,30.54
dom,2018,30.96
dom,2019,30.49
dom,2020,44.16
dza,2009,39.93
dza,2010,39.06
dza,2011,37.4
dza,2012,34.8
dza,2013,34.6
dza,2014,34.7
dza,2015,32.1
dza,2017,31.69
ecu,2000,30.53
ecu,2001,27.32
ecu,2003,30.69
ecu,2004,27.67
ecu,2005,27.61
ecu,2006,27.04
ecu,2007,25.51
ecu,2008,24.92
ecu,2009,24.72
ecu,2010,23.61
ecu,2011,24.9
ecu,2012,24.46
ecu,2013,26.01
ecu,2014,30.01
ecu,2015,29.26
ecu,2016,26.68
ecu,2017,25.98
ecu,2018,26.05
ecu,2019,25.81
egy,2008,46.93
egy,2009,47.01
egy,2010,52.01
egy,2011,48.47
egy,2012,45.67
egy,2013,41.11
egy,2015,35.81
egy,2016,35.69
egy,2017,35
egy,2018,36.6
egy,2019,40.34
egy,2020,43.97
esp,2003,13.5
esp,2004,13.28
esp,2005,14.9
esp,2006,13.46
esp,2007,13.71
esp,2008,14.6
esp,2009,16.72
esp,2010,16.78
esp,2011,17.26
esp,2012,17.59
esp,2013,17.79
esp,2014,16.24
esp,2015,14.87
esp,2016,14.13
esp,2017,12.84
esp,2018,11.86
esp,2019,11.72
esp,2020,12.93
est,2003,13.76
est,2004,16.77
est,2005,14.14
est,2006,11.36
est,2007,10.06
est,2008,9.71
est,2009,14.5
est,2010,13.45
est,2011,11.36
est,2012,13.2
est,2013,11.82
est,2014,11.57
est,2015,12.77
est,2016,11.56
est,2017,10.52
est,2018,8.86
est,2019,7.28
est,2020,9.76
eth,2013,15.13
fin,2003,11.62
fin,2004,10.33
fin,2005,8.21
fin,2006,8.5
fin,2007,7.86
fin,2008,8.09
fin,2009,9.18
fin,2010,8.63
fin,2011,8.15
fin,2012,8.57
fin,2013,8.06
fin,2014,8.51
fin,2015,9.6
fin,2016,9.16
fin,2017,8.83
fin,2018,8.37
fin,2019,7.84
fin,2020,8.16
fji,2005,32.85
fji,2011,27.67
fji,2014,27.32
fji,2016,29.59
fra,2003,10.34
fra,2004,11.09
fra,2005,11.97
fra,2006,12.28
fra,2007,11.29
fra,2008,10.72
fra,2009,12.15
fra,2010,12.62
fra,2011,12.57
fra,2012,12.09
fra,2013,11.42
fra,2014,10.83
fra,2015,11.41
fra,2016,11.72
fra,2017,10.86
fra,2018,10.38
fra,2019,10.26
fra,2020,11.1
fsm,2014,29.13
gbr,2004,6.71
gbr,2005,9.55
gbr,2006,9.62
gbr,2007,13.7
gbr,2008,14.08
gbr,2009,14.53
gbr,2010,15.14
gbr,2011,15.36
gbr,2012,14.95
gbr,2013,14.35
gbr,2014,13.08
gbr,2015,12.4
gbr,2016,11.49
gbr,2017,10.4
gbr,2018,11.22
gbr,2019,10.57
geo,2012,39.16
geo,2013,36
geo,2014,32.96
geo,2015,33.52
geo,2016,31.69
geo,2017,28.67
geo,2018,30.99
geo,2019,29.06
geo,2020,28.32
gha,1991,17.92
gha,2000,33.2
gha,2006,27.47
gha,2010,23.55
gha,2013,13.26
gha,2015,31.23
gha,2017,33.27
gin,2002,5.88
gin,2019,13.49
gmb,2012,42.61
gmb,2018,53.46
gnb,2018,29.85
grc,2003,17.29
grc,2004,19.3
grc,2005,24.18
grc,2006,15.26
grc,2007,14.54
grc,2008,14.1
grc,2009,15.23
grc,2010,16.88
grc,2011,18.65
grc,2012,21.3
grc,2013,19.95
grc,2014,19.61
grc,2015,17.2
grc,2016,15.71
grc,2017,15.54
grc,2018,14.01
grc,2019,12.42
grc,2020,13.32
gtm,2003,39.17
gtm,2004,47.25
gtm,2006,41
gtm,2010,42.14
gtm,2011,42.3
gtm,2012,38.6
gtm,2013,43.74
gtm,2014,44.03
gtm,2015,46.83
gtm,2016,45.81
gtm,2017,46.74
gtm,2018,45.39
gtm,2019,45.75
guy,2018,46.85
guy,2019,45.27
hkg,2009,6.97
hkg,2010,6.59
hkg,2011,5.81
hkg,2012,5.76
hkg,2013,6.19
hkg,2014,6.37
hkg,2015,6.77
hkg,2016,5.91
hkg,2017,6.17
hkg,2018,6.12
hkg,2019,6.17
hkg,2020,8.43
hnd,2005,42.97
hnd,2006,43.28
hnd,2007,42.96
hnd,2008,42
hnd,2009,42.74
hnd,2010,42.79
hnd,2011,42.98
hnd,2012,45.23
hnd,2013,42.69
hnd,2015,41.98
hnd,2016,42.16
hnd,2017,42.61
hnd,2018,42.22
hnd,2019,43.42
hrv,2005,16.03
hrv,2006,14.48
hrv,2007,13.34
hrv,2008,12.01
hrv,2009,13.49
hrv,2010,14.13
hrv,2011,14.61
hrv,2012,15.2
hrv,2013,18.61
hrv,2014,16.65
hrv,2015,15.59
hrv,2016,14.64
hrv,2017,15.26
hrv,2018,13.99
hrv,2019,12.13
hrv,2020,12.3
hti,2012,23.67
hun,2004,14.45
hun,2005,20.82
hun,2006,13.86
hun,2007,13.03
hun,2008,12.91
hun,2009,14.52
hun,2010,13.43
hun,2011,14.33
hun,2012,15.98
hun,2013,17.41
hun,2014,15.31
hun,2015,12.79
hun,2016,13.35
hun,2017,14.33
hun,2018,14.02
hun,2019,13.19
hun,2020,14.09
idn,2000,38.47
idn,2001,39.46
idn,2002,40.7
idn,2003,41.21
idn,2004,41.23
idn,2005,40.64
idn,2006,39.49
idn,2007,39.37
idn,2008,36.83
idn,2009,35.95
idn,2010,34.72
idn,2011,33.75
idn,2012,31.01
idn,2013,30.37
idn,2014,29.52
idn,2015,29.41
idn,2016,29.1
idn,2017,28.03
idn,2018,27.86
idn,2019,26.12
idn,2020,26.81
ind,1994,58.76
ind,2000,56.41
ind,2004,46.24
ind,2005,54.07
ind,2010,50.43
ind,2012,49.29
ind,2018,48.25
ind,2019,47.04
ind,2020,44.5
irl,2003,9.87
irl,2004,11.56
irl,2005,16.48
irl,2006,15.97
irl,2007,10.31
irl,2008,11.42
irl,2009,15.05
irl,2010,16.67
irl,2011,16.55
irl,2012,16.44
irl,2013,15.14
irl,2014,14.71
irl,2015,12.87
irl,2016,11.6
irl,2017,10.49
irl,2018,9.89
irl,2019,9.89
irl,2020,11.31
irn,2005,50.29
irn,2006,50.11
irn,2007,48.26
irn,2008,47.62
irn,2009,47.91
irn,2010,47.56
irn,2011,46.13
irn,2012,45.17
irn,2013,48.9
irn,2014,48.63
irn,2015,47.46
irn,2016,46.13
irn,2017,45.97
irn,2018,45.68
irn,2019,43.62
irn,2020,41.49
irq,2007,70.47
irq,2012,65.49
isl,2003,6.09
isl,2004,8.99
isl,2005,5
isl,2006,5.7
isl,2007,4.99
isl,2008,4.95
isl,2009,5.77
isl,2010,7.17
isl,2011,5.74
isl,2012,4.71
isl,2013,4.06
isl,2014,5.28
isl,2015,3.19
isl,2016,3.65
isl,2017,3.83
isl,2018,5.32
isl,2019,3.33
isl,2020,5.84
isr,2012,17.06
isr,2013,16.03
isr,2014,16.55
isr,2015,16.01
isr,2016,15
isr,2017,15.01
isr,2018,15
isr,2019,15.51
isr,2020,17.12
ita,2004,18.7
ita,2005,18.83
ita,2006,18.24
ita,2007,17.17
ita,2008,17.99
ita,2009,18.13
ita,2010,19.02
ita,2011,19.9
ita,2012,20.82
ita,2013,21.43
ita,2014,21.36
ita,2015,20.8
ita,2016,19.54
ita,2017,19.73
ita,2018,19.36
ita,2019,17.91
ita,2020,18.75
jam,2008,33.68
jam,2009,34.92
jam,2010,35.5
jam,2011,35.46
jam,2012,36.11
jam,2013,38.05
jam,2014,37.03
jam,2016,32.34
jam,2017,31
jam,2018,28.29
jam,2019,24.64
jam,2020,31.42
jor,2017,48.26
jor,2018,43.83
jor,2019,43.78
jor,2020,41.08
jpn,2009,6.18
jpn,2010,5.98
jpn,2012,5.69
jpn,2013,5.21
jpn,2014,5.1
jpn,2015,4.77
jpn,2016,4.56
jpn,2017,4.43
jpn,2018,3.54
jpn,2019,3.71
ken,1999,36.6
ken,2006,29.98
ken,2016,18.24
ken,2019,24.29
kgz,2009,23.45
kgz,2010,25.49
kgz,2011,76.59
kgz,2012,79.11
kgz,2013,29.54
kgz,2014,29.18
kgz,2015,29.49
kgz,2016,29.02
kgz,2017,30.06
kgz,2018,29.42
kgz,2019,29.61
kgz,2020,30.31
khm,1998,25.23
khm,2000,13.47
khm,2001,8.27
khm,2007,0.44
khm,2009,10.7
khm,2010,0.3
khm,2011,0.36
khm,2012,15.19
khm,2014,0.1
khm,2017,9.29
khm,2019,13.79
kir,2015,47.6
kir,2019,48.89
kos,2012,40.11
kos,2013,40.93
kos,2014,34.05
kos,2015,35.28
kos,2016,34.1
kos,2017,31.38
kos,2018,29.93
kos,2019,33.93
kos,2020,33.09
lao,2010,5.89
lao,2017,44.92
lbn,2007,27.3
lbn,2019,28.91
lbr,2010,28.95
lbr,2014,20
lbr,2016,16.69
lbr,2017,47.22
lca,2017,32.27
lca,2018,30.91
lca,2019,27.35
lka,2010,35.05
lka,2011,36.38
lka,2013,36.2
lka,2014,38.07
lka,2015,35.24
lka,2016,35.4
lka,2017,32.16
lka,2018,31.06
lka,2019,28.97
lso,2019,43.46
ltu,2004,10.43
ltu,2005,9.32
ltu,2006,8.48
ltu,2007,7.88
ltu,2008,9.14
ltu,2009,10.54
ltu,2010,11.6
ltu,2011,10.45
ltu,2012,9.5
ltu,2013,10.62
ltu,2014,10.34
ltu,2015,9.32
ltu,2016,8.78
ltu,2017,9.23
ltu,2018,7.61
ltu,2019,7.53
ltu,2020,9.19
lux,2003,5.82
lux,2004,7.93
lux,2005,6.74
lux,2006,7.31
lux,2007,6.58
lux,2008,7.83
lux,2009,5.54
lux,2010,4.67
lux,2011,4.88
lux,2012,5.49
lux,2013,4.01
lux,2014,4.64
lux,2015,5.68
lux,2016,5.7
lux,2017,5.67
lux,2018,5.96
lux,2019,5.48
lux,2020,4.75
lva,2003,16.62
lva,2004,16.43
lva,2005,12.97
lva,2006,15.11
lva,2007,14.43
lva,2008,13.52
lva,2009,16.32
lva,2010,16.9
lva,2011,16
lva,2012,14.64
lva,2013,13.45
lva,2014,12.78
lva,2015,11.73
lva,2016,9.71
lva,2017,9.47
lva,2018,7.57
lva,2019,6.86
lva,2020,7.19
mac,2009,5.71
mac,2010,5.47
mac,2011,6.3
mac,2012,5.94
mac,2013,4.96
mac,2014,5.13
mac,2015,5.36
mac,2016,4.32
mda,2010,23.91
mda,2011,26.25
mda,2012,25.85
mda,2013,25.55
mda,2014,34.77
mda,2015,32.24
mda,2018,24.27
mdg,2012,4.27
mdv,2009,35.4
mdv,2014,25.34
mdv,2016,25.3
mdv,2019,30.03
mex,2005,33.41
mex,2006,32.86
mex,2007,32.46
mex,2008,33.58
mex,2009,33.12
mex,2010,32.96
mex,2011,32.76
mex,2012,32.32
mex,2013,31.36
mex,2014,31.45
mex,2015,30.8
mex,2016,30.54
mex,2017,29.45
mex,2018,28.61
mex,2019,27.71
mex,2020,29.07
mhl,2019,45.19
mkd,2006,43.79
mkd,2007,34.61
mkd,2008,33.49
mkd,2009,30.05
mkd,2010,25.94
mkd,2011,25.47
mkd,2012,24.24
mkd,2013,25.25
mkd,2014,26.79
mkd,2015,24.92
mkd,2016,25.11
mkd,2017,25.89
mkd,2018,25.07
mkd,2019,19.24
mkd,2020,19.96
mli,2010,15.75
mli,2013,26.48
mli,2014,31.73
mli,2015,33.83
mli,2016,43.42
mli,2017,38.18
mli,2018,36.85
mlt,2004,13.97
mlt,2005,12.69
mlt,2006,10.94
mlt,2007,11.18
mlt,2008,9.8
mlt,2009,10.4
mlt,2010,10.92
mlt,2011,10.67
mlt,2012,11.46
mlt,2013,10.1
mlt,2014,11.87
mlt,2015,11.87
mlt,2016,10.8
mlt,2017,8.77
mlt,2018,7.76
mlt,2019,8.97
mlt,2020,7.98
mmr,2015,25.22
mmr,2017,23.62
mmr,2018,18.59
mmr,2019,20.39
mne,2011,15.58
mne,2012,16.62
mne,2013,16.32
mne,2014,16.44
mne,2015,18.28
mne,2016,18.03
mne,2017,17.05
mne,2018,13.74
mne,2019,15.77
mne,2020,20.65
mng,2006,20.25
mng,2008,17.92
mng,2009,20.68
mng,2010,19.25
mng,2011,18.03
mng,2012,19.38
mng,2013,21.49
mng,2014,19.2
mng,2015,19.79
mng,2016,22.35
mng,2017,22.08
mng,2018,21.53
mng,2019,21.05
mng,2020,21.67
mrt,2012,52.42
mrt,2017,45.21
mus,2001,46.35
mus,2002,41.3
mus,2003,41.08
mus,2004,39.5
mus,2005,40.92
mus,2006,31.53
mus,2007,27.72
mus,2008,29.69
mus,2009,29.07
mus,2010,27.93
mus,2011,27.74
mus,2012,27.1
mus,2013,27.39
mus,2014,26.36
mus,2015,24.54
mus,2016,25.61
mus,2017,25.1
mus,2018,23.92
mus,2019,21.25
mus,2020,47.65
mwi,2005,13.82
mwi,2011,19.07
mwi,2017,40.27
mwi,2020,37.19
mys,2011,19.36
mys,2012,18.65
mys,2013,18.52
mys,2014,17.27
mys,2016,15.25
mys,2017,15.09
mys,2018,16.08
mys,2019,15.04
mys,2020,14.75
nam,2010,32.56
nam,2012,35.16
nam,2013,36.5
nam,2014,33.05
nam,2016,38.61
nam,2018,34.2
ncl,2014,12.22
ner,2011,30.57
ner,2014,36.55
ner,2017,77.1
nga,2011,30.08
nga,2013,25.13
nga,2016,24.52
nga,2019,30.99
nic,2001,39.44
nic,2005,35.63
nic,2012,23.16
nic,2014,40.07
nld,2003,5.43
nld,2004,5.07
nld,2005,6.52
nld,2006,5.01
nld,2007,4.63
nld,2008,4.18
nld,2009,4.89
nld,2010,4.51
nld,2011,4.19
nld,2012,5.09
nld,2013,5.72
nld,2014,5.89
nld,2015,4.7
nld,2016,4.45
nld,2017,3.77
nld,2018,4.15
nld,2019,3.86
nld,2020,4.38
nld_curacao,2018,5.62
nld_curacao,2020,16.08
nor,2003,9.72
nor,2004,9.19
nor,2005,10.96
nor,2006,4.74
nor,2007,4.47
nor,2008,3.98
nor,2009,4.5
nor,2010,4.35
nor,2011,5.29
nor,2012,4.95
nor,2013,5.45
nor,2014,5.39
nor,2015,4.73
nor,2016,4.88
nor,2017,4.47
nor,2018,4.57
nor,2019,4.78
nor,2020,4.37
npl,2008,24.11
npl,2017,46.57
nru,2013,51.3
nzl,2004,14.5
nzl,2005,14.72
nzl,2006,13.56
nzl,2007,14.02
nzl,2008,13.96
nzl,2009,16.91
nzl,2010,16.14
nzl,2011,15.1
nzl,2012,16.22
nzl,2013,15.24
nzl,2014,14
nzl,2015,13.54
nzl,2016,13.44
nzl,2017,13.41
nzl,2018,12.75
nzl,2019,12.44
nzl,2020,13.87
pak,2006,64.24
pak,2007,62.73
pak,2008,60.43
pak,2009,57.5
pak,2010,56.92
pak,2011,56.71
pak,2013,55.52
pak,2014,54.78
pak,2015,53.63
pak,2018,54.94
pak,2019,52.54
pan,1997,34.08
pan,2003,30.67
pan,2008,32.44
pan,2009,29.79
pan,2010,30.91
pan,2011,29.92
pan,2012,26.25
pan,2013,25.45
pan,2014,26.99
pan,2015,27.15
pan,2016,24.06
pan,2017,23.91
pan,2018,23.08
pan,2019,22.79
pan,2020,22.16
pan,2021,22.96
per,2002,18.06
per,2003,15.96
per,2004,23.03
per,2005,26.9
per,2006,23.31
per,2007,21.58
per,2008,21.17
per,2009,20.09
per,2010,18.31
per,2011,19.34
per,2012,18.76
per,2013,19.44
per,2014,20.18
per,2015,21.3
per,2016,19.87
per,2017,20.51
per,2018,21.04
per,2019,20.18
per,2020,28.82
phl,2006,31.4
phl,2007,31.67
phl,2008,31.82
phl,2009,31.74
phl,2010,32.04
phl,2011,31.55
phl,2012,32.15
phl,2013,31.21
phl,2014,30.05
phl,2015,28.76
phl,2016,29.26
phl,2017,28.49
phl,2018,25.74
phl,2019,24.1
phl,2020,21.49
plw,2000,27.61
plw,2014,14.39
png,2010,28.98
pol,2004,14.45
pol,2005,14.46
pol,2006,13.11
pol,2007,11.94
pol,2008,10.82
pol,2009,10.83
pol,2010,11.01
pol,2011,11.84
pol,2012,12.19
pol,2013,12.31
pol,2014,11.96
pol,2015,10.81
pol,2016,11.08
pol,2017,10.7
pol,2018,10.1
pol,2019,9.5
pol,2020,9.52
prt,2004,10.8
prt,2005,12.02
prt,2006,11.38
prt,2007,12.61
prt,2008,11.58
prt,2009,11.78
prt,2010,12.5
prt,2011,12.92
prt,2012,13.23
prt,2013,13.94
prt,2014,12.28
prt,2015,12.16
prt,2016,10.28
prt,2017,9.5
prt,2018,8.39
prt,2019,8.62
prt,2020,8.77
pry,1998,34.68
pry,1999,34.9
pry,2001,32.25
pry,2002,37.08
pry,2003,31.91
pry,2004,31.53
pry,2005,29.1
pry,2006,29.26
pry,2007,29.35
pry,2008,28.02
pry,2009,27.02
pry,2010,28.32
pry,2011,23.1
pry,2012,23
pry,2013,20.83
pry,2014,23.59
pry,2015,23.47
pry,2016,27.01
pry,2017,27.32
pse,2000,47.22
pse,2001,46.68
pse,2002,43.31
pse,2003,39.26
pse,2004,37.19
pse,2005,37.43
pse,2006,35.57
pse,2007,34.74
pse,2008,33.16
pse,2009,33.01
pse,2010,34.45
pse,2011,34.03
pse,2012,37.46
pse,2013,38.95
pse,2014,38.3
pse,2015,38.16
pse,2016,38.9
pse,2017,39.01
pse,2018,39.18
pse,2019,40.4
pse,2020,39.08
rou,2003,21.32
rou,2004,19.8
rou,2005,18.78
rou,2006,16.63
rou,2007,15.13
rou,2008,14.46
rou,2009,16.76
rou,2010,19.19
rou,2011,18.71
rou,2012,18.53
rou,2013,18.72
rou,2014,18.79
rou,2015,21.39
rou,2016,20.84
rou,2017,18.41
rou,2018,17.84
rou,2019,17.94
rou,2020,18.11
rus,2009,17.76
rus,2010,18.18
rus,2011,15.12
rus,2012,14.36
rus,2013,14.44
rus,2014,14.66
rus,2015,14.52
rus,2016,14.59
rwa,2014,5.48
rwa,2017,36.2
rwa,2018,36.17
rwa,2019,37.8
rwa,2020,35.32
sau,2009,28.52
sau,2011,30.01
sau,2012,29.51
sau,2013,29.38
sau,2014,29
sau,2015,25.91
sau,2019,25.19
sau,2020,28.75
sdn,2011,46.42
sen,2015,42.77
sen,2016,39.26
sen,2017,43.57
sen,2018,48.69
sen,2019,44.22
sgp,2013,4.8
sgp,2014,4.9
sgp,2015,4.7
sgp,2016,5.2
sgp,2017,5.5
sgp,2018,5.6
sgp,2019,5.17
sgp,2020,5.58
slb,2013,8.94
sle,2014,10.65
sle,2018,9.04
slv,2009,41.73
slv,2010,40.09
slv,2011,38.98
slv,2012,39.62
slv,2013,37.87
slv,2014,40.24
slv,2015,41.24
slv,2016,40.26
slv,2017,40.95
slv,2018,39.14
slv,2019,39.82
slv,2020,37.87
som,2019,50.56
srb,2008,21.29
srb,2009,21.66
srb,2010,19.45
srb,2011,19.99
srb,2012,21.23
srb,2013,19.8
srb,2014,20.47
srb,2015,20.06
srb,2016,18.67
srb,2017,17.66
srb,2018,17.51
srb,2019,16.19
srb,2020,15.09
sur,2016,18.82
svk,2003,17.11
svk,2004,17.99
svk,2005,17.33
svk,2006,16.03
svk,2007,14.11
svk,2008,12.54
svk,2009,12.92
svk,2010,14.42
svk,2011,13.74
svk,2012,13.07
svk,2013,13.12
svk,2014,12.84
svk,2015,14.17
svk,2016,13.7
svk,2017,13.83
svk,2018,12.05
svk,2019,11.58
svk,2020,11.65
svn,2003,7.46
svn,2004,7.6
svn,2005,9.71
svn,2006,8.63
