geo,time,dc_dac_nldl_cd
arg,1994,1570000.05245
arg,1995,2049999.95232
arg,1996,1320000.05245
arg,1997,720000.02861
arg,1998,189999.99762
arg,1999,50000.00075
arg,2000,209999.99344
arg,2001,449999.98808
arg,2002,259999.99046
arg,2003,200000.00298
arg,2004,1029999.97139
arg,2005,310000.00238
arg,2006,129999.99523
arg,2007,29999.99933
arg,2008,250000
arg,2009,219999.99881
arg,2010,519999.98093
arg,2011,50000.00075
arg,2012,29999.99933
arg,2016,100000.00149
arg,2017,109999.9994
arg,2018,109999.9994
arg,2019,180000.00715
arm,1992,600000.02384
arm,1993,540000.02146
arm,1994,819999.99285
arm,1995,12989999.77112
arm,1996,7519999.98093
arm,1997,5050000.19073
arm,1998,8289999.96185
arm,1999,5230000.01907
arm,2000,4699999.80927
arm,2001,7860000.13351
arm,2002,7179999.82834
arm,2003,9909999.84741
arm,2004,9220000.26703
arm,2005,11640000.34332
arm,2006,8489999.77112
arm,2007,5800000.19073
arm,2008,170000.00179
arm,2009,3009999.99046
arm,2010,1559999.94278
arm,2011,860000.01431
arm,2012,259999.99046
arm,2013,180000.00715
arm,2014,209999.99344
arm,2015,70000.0003
arm,2016,219999.99881
arm,2017,100000.00149
arm,2018,239999.99464
arm,2019,500000
atg,1982,50000.00075
atg,1983,70000.0003
atg,1984,59999.99866
atg,1985,59999.99866
atg,1991,9999.99978
atg,1995,19999.99955
atg,1998,50000.00075
atg,2001,70000.0003
atg,2003,140000.0006
aze,1993,689999.99762
aze,1994,1389999.98569
aze,1995,4599999.90463
aze,1996,4409999.84741
aze,1997,1259999.99046
aze,1998,2710000.03815
aze,1999,1100000.02384
aze,2000,800000.01192
aze,2001,2589999.91417
aze,2002,4059999.94278
aze,2003,3859999.8951
aze,2004,3500000
aze,2005,5469999.79019
aze,2006,50000.00075
aze,2007,59999.99866
aze,2013,59999.99866
aze,2015,39999.99911
aze,2016,29999.99933
aze,2017,219999.99881
aze,2018,419999.98689
aze,2019,140000.0006
bdi,1972,90000.00358
bdi,1973,79999.99821
bdi,1974,79999.99821
bdi,1975,109999.9994
bdi,1976,230000.00417
bdi,1977,509999.99046
bdi,1978,300000.01192
bdi,1979,910000.02623
bdi,1980,689999.99762
bdi,1981,1590000.03338
bdi,1982,899999.97616
bdi,1983,670000.01669
bdi,1984,600000.02384
bdi,1985,1799999.95232
bdi,1986,2799999.95232
bdi,1987,1610000.01431
bdi,1988,1179999.94755
bdi,1989,1240000.00954
bdi,1990,1259999.99046
bdi,1991,180000.00715
bdi,1992,180000.00715
bdi,1993,2170000.07629
bdi,1994,1600000.02384
bdi,1995,2789999.96185
bdi,1996,3259999.99046
bdi,1997,4019999.98093
bdi,1998,4039999.96185
bdi,1999,4269999.98093
bdi,2000,4389999.86649
bdi,2001,11680000.30518
bdi,2002,9590000.15259
bdi,2003,12670000.07629
bdi,2004,23329999.92371
bdi,2005,22870000.83923
bdi,2006,16979999.54224
bdi,2007,23139999.38965
bdi,2008,32319999.69482
bdi,2009,18309999.46594
bdi,2010,19069999.69482
bdi,2011,19639999.38965
bdi,2012,17190000.53406
bdi,2013,32650001.52588
bdi,2014,27639999.38965
bdi,2015,27030000.68665
bdi,2016,33900001.52588
bdi,2017,30969999.31335
bdi,2018,37060001.37329
bdi,2019,30819999.69482
ben,1970,29999.99933
ben,1971,79999.99821
ben,1972,29999.99933
ben,1973,180000.00715
ben,1974,340000.00358
ben,1975,360000.01431
ben,1976,370000.00477
ben,1977,670000.01669
ben,1978,649999.97616
ben,1979,1000000
ben,1980,1009999.99046
ben,1981,2220000.02861
ben,1982,3269999.98093
ben,1983,2720000.02861
ben,1984,1429999.94755
ben,1985,2089999.91417
ben,1986,3380000.11444
ben,1987,5349999.90463
ben,1988,5679999.82834
ben,1989,5599999.90463
ben,1990,6800000.19073
ben,1991,13109999.65668
ben,1992,5639999.86649
ben,1993,4670000.07629
ben,1994,8270000.45776
ben,1995,4940000.05722
ben,1996,8439999.58038
ben,1997,11060000.41962
ben,1998,10079999.92371
ben,1999,4639999.86649
ben,2000,4380000.11444
ben,2001,8010000.22888
ben,2002,2400000.09537
ben,2003,19770000.45776
ben,2004,10399999.61853
ben,2005,22700000.76294
ben,2006,24489999.77112
ben,2007,34720001.2207
ben,2008,35330001.83105
ben,2009,41970001.2207
ben,2010,31260000.22888
ben,2011,27809999.46594
ben,2012,20639999.38965
ben,2013,37779998.7793
ben,2014,42580001.83105
ben,2015,17750000
ben,2016,29729999.54224
ben,2017,31729999.54224
ben,2018,26329999.92371
ben,2019,31600000.38147
bfa,1970,79999.99821
bfa,1971,39999.99911
bfa,1972,389999.98569
bfa,1973,150000.00596
bfa,1974,59999.99866
bfa,1975,1929999.94755
bfa,1976,4590000.15259
bfa,1977,7739999.77112
bfa,1978,18360000.61035
bfa,1979,24799999.23706
bfa,1980,18049999.23706
bfa,1981,19159999.84741
bfa,1982,26530000.68665
bfa,1983,25549999.23706
bfa,1984,17680000.30518
bfa,1985,13729999.54224
bfa,1986,16430000.30518
bfa,1987,27610000.61035
bfa,1988,28190000.53406
bfa,1989,31329999.92371
bfa,1990,34540000.91553
bfa,1991,28500000
bfa,1992,32479999.54224
bfa,1993,27209999.08447
bfa,1994,28629999.16077
bfa,1995,39139999.38965
bfa,1996,37599998.47412
bfa,1997,36549999.23706
bfa,1998,34159999.84741
bfa,1999,21049999.23706
bfa,2000,16129999.16077
bfa,2001,44419998.16895
bfa,2002,37279998.7793
bfa,2003,39380001.06812
bfa,2004,55000000
bfa,2005,53750000
bfa,2006,55139999.38965
bfa,2007,65699996.94824
bfa,2008,88900001.52588
bfa,2009,65980003.35693
bfa,2010,54360000.61035
bfa,2011,53880001.06812
bfa,2012,41229999.54224
bfa,2013,42830001.83105
bfa,2019,2289999.96185
bgd,1971,2569999.93324
bgd,1972,5579999.92371
bgd,1973,2450000.04768
bgd,1974,18149999.61853
bgd,1975,26739999.77112
bgd,1976,11770000.45776
bgd,1977,27059999.46594
bgd,1978,63610000.61035
bgd,1979,45860000.61035
bgd,1980,53159999.84741
bgd,1981,54659999.84741
bgd,1982,72160003.66211
bgd,1983,30850000.38147
bgd,1984,61029998.7793
bgd,1985,41770000.45776
bgd,1986,40919998.16895
bgd,1987,66970001.2207
bgd,1988,71800003.05176
bgd,1989,65889999.38965
bgd,1990,71519996.64307
bgd,1991,57270000.45776
bgd,1992,72120002.74658
bgd,1993,53169998.16895
bgd,1994,54529998.7793
bgd,1995,57500000
bgd,1996,67150001.52588
bgd,1997,63659999.84741
bgd,1998,57889999.38965
bgd,1999,36139999.38965
bgd,2000,32630001.06812
bgd,2001,43229999.54224
bgd,2002,44310001.37329
bgd,2003,57450000.76294
bgd,2004,65230003.35693
bgd,2005,60680000.30518
bgd,2006,67449996.94824
bgd,2007,99449996.94824
bgd,2008,84739997.86377
bgd,2009,70349998.47412
bgd,2010,78569999.69482
bgd,2011,77750000
bgd,2012,66540000.91553
bgd,2013,72010002.13623
bgd,2014,70220001.2207
bgd,2015,46599998.47412
bgd,2016,38240001.67847
bgd,2017,49630001.06812
bgd,2018,47580001.83105
bgd,2019,43830001.83105
bgr,1990,3500000
bgr,1991,899999.97616
bgr,1992,699999.98808
bgr,1993,3079999.92371
bgr,1995,649999.97616
bgr,1996,1850000.02384
bgr,1997,1139999.98569
bgr,1998,10250000
bgr,1999,1940000.05722
bgr,2000,670000.01669
bgr,2001,4309999.94278
bgr,2002,7920000.07629
bgr,2003,5960000.03815
bgr,2004,3500000
bhr,1975,29999.99933
bhr,1976,9999.99978
bhr,1980,19999.99955
bhr,1986,19999.99955
bhr,1987,19999.99955
bhr,1988,19999.99955
bhr,1989,29999.99933
bhr,1990,59999.99866
bhr,2003,19999.99955
bhr,2004,39999.99911
bhs,1972,19999.99955
bhs,1973,19999.99955
bhs,1974,19999.99955
bhs,1975,19999.99955
bhs,1976,50000.00075
bhs,1977,50000.00075
bhs,1978,59999.99866
bhs,1979,100000.00149
bhs,1980,9999.99978
bhs,1981,29999.99933
bhs,1985,100000.00149
bhs,1986,70000.0003
bhs,1987,90000.00358
bhs,1988,100000.00149
bhs,1989,100000.00149
bhs,1990,219999.99881
bhs,1991,9999.99978
bhs,1992,19999.99955
bhs,1996,29999.99933
bih,1994,43750000
bih,1995,77669998.16895
bih,1996,88349998.47412
bih,1997,84129997.25342
bih,1998,77169998.16895
bih,1999,77010002.13623
bih,2000,43299999.23706
bih,2001,52909999.84741
bih,2002,37340000.15259
bih,2003,25159999.84741
bih,2004,24819999.69482
bih,2005,21090000.15259
bih,2006,18920000.07629
bih,2007,21100000.38147
bih,2008,31270000.45776
bih,2009,21750000
bih,2010,14800000.19073
bih,2011,10720000.26703
bih,2012,7780000.20981
bih,2013,6059999.94278
bih,2014,5480000.01907
bih,2015,3289999.96185
bih,2016,2299999.95232
bih,2017,2309999.94278
bih,2018,560000.00238
bih,2019,119999.99732
blr,1991,2900000.09537
blr,1992,2900000.09537
blr,1995,340000.00358
blr,1999,39999.99911
blr,2001,1720000.02861
blr,2002,1009999.99046
blr,2003,1820000.05245
blr,2004,1539999.96185
blr,2005,230000.00417
blr,2006,29999.99933
blr,2008,39999.99911
blr,2012,330000.01311
blr,2013,90000.00358
blr,2014,9999.99978
blr,2018,649999.97616
blr,2019,839999.97377
blz,1971,9999.99978
blz,1981,59999.99866
blz,1982,209999.99344
blz,1983,209999.99344
blz,1984,19999.99955
blz,1985,50000.00075
blz,1986,9999.99978
blz,1987,19999.99955
blz,1988,250000
blz,1989,239999.99464
blz,1990,310000.00238
blz,1991,419999.98689
blz,1992,310000.00238
blz,1993,200000.00298
blz,1994,379999.99523
blz,1995,200000.00298
blz,1996,319999.99285
blz,1997,300000.01192
blz,1998,189999.99762
blz,1999,19999.99955
blz,2000,29999.99933
blz,2001,419999.98689
blz,2002,289999.99166
blz,2003,400000.00596
blz,2005,349999.99404
bol,1970,79999.99821
bol,1971,109999.9994
bol,1972,310000.00238
bol,1973,349999.99404
bol,1974,579999.98331
bol,1975,1000000
bol,1976,1110000.01431
bol,1977,2200000.04768
bol,1978,1529999.97139
bol,1979,2000000
bol,1980,3150000.09537
bol,1981,2650000.09537
bol,1982,1649999.97616
bol,1983,9020000.45776
bol,1984,7480000.01907
bol,1985,4829999.92371
bol,1986,11500000
bol,1987,13680000.30518
bol,1988,22350000.38147
bol,1989,36369998.93188
bol,1990,30889999.38965
bol,1991,35930000.30518
bol,1992,28360000.61035
bol,1993,34669998.16895
bol,1994,33069999.69482
bol,1995,57000000
bol,1996,57049999.23706
bol,1997,59759998.32153
bol,1998,67550003.05176
bol,1999,27219999.31335
bol,2000,33250000
bol,2001,73309997.55859
bol,2002,62590000.15259
bol,2003,50319999.69482
bol,2004,48060001.37329
bol,2005,46680000.30518
bol,2006,34409999.84741
bol,2007,48259998.32153
bol,2008,41430000.30518
bol,2009,45560001.37329
bol,2010,47540000.91553
bol,2011,53650001.52588
bol,2012,37509998.32153
bol,2013,21229999.54224
bol,2014,6400000.09537
bol,2015,1769999.98093
bol,2016,150000.00596
bra,1965,1129999.99523
bra,1967,509999.99046
bra,1968,479999.98927
bra,1969,9999.99978
bra,1970,699999.98808
bra,1971,239999.99464
bra,1972,850000.02384
bra,1973,1409999.96662
bra,1974,1860000.01431
bra,1975,1960000.03815
bra,1976,3660000.08583
bra,1977,2220000.02861
bra,1978,3240000.00954
bra,1979,2779999.97139
bra,1980,6969999.79019
bra,1981,8260000.22888
bra,1982,4510000.22888
bra,1983,3910000.08583
bra,1984,6619999.88556
bra,1985,5690000.05722
bra,1986,4289999.96185
bra,1987,6210000.03815
bra,1988,10350000.38147
bra,1989,9869999.88556
bra,1990,10960000.03815
bra,1991,14770000.45776
bra,1992,16270000.45776
bra,1993,18139999.38965
bra,1994,16420000.07629
bra,1995,19930000.30518
bra,1996,21340000.15259
bra,1997,18000000
bra,1998,18899999.61853
bra,1999,200000.00298
bra,2000,2000000
bra,2001,15149999.61853
bra,2002,14720000.26703
bra,2003,13529999.73297
bra,2004,16299999.23706
bra,2005,15439999.58038
bra,2006,1950000.04768
bra,2007,219999.99881
bra,2008,479999.98927
bra,2009,639999.98569
bra,2010,409999.99642
bra,2011,239999.99464
bra,2012,239999.99464
bra,2013,289999.99166
bra,2014,119999.99732
bra,2015,150000.00596
bra,2016,159999.99642
bra,2017,219999.99881
bra,2018,289999.99166
bra,2019,319999.99285
brb,1971,9999.99978
brb,1972,9999.99978
brb,1973,9999.99978
brb,1974,9999.99978
brb,1975,19999.99955
brb,1976,79999.99821
brb,1977,129999.99523
brb,1978,70000.0003
brb,1979,39999.99911
brb,1980,109999.9994
brb,1981,19999.99955
brb,1982,289999.99166
brb,1983,159999.99642
brb,1984,219999.99881
brb,1985,409999.99642
brb,1986,230000.00417
brb,1987,699999.98808
brb,1988,759999.99046
brb,1989,589999.97377
brb,1990,850000.02384
brb,1991,1019999.98093
brb,1992,409999.99642
brb,1993,389999.98569
brb,1994,270000.01073
brb,1995,189999.99762
brb,1996,189999.99762
brb,1997,330000.01311
brb,1998,119999.99732
brb,2001,150000.00596
brb,2002,19999.99955
brb,2003,19999.99955
brb,2004,19999.99955
brb,2005,9999.99978
brn,2002,39999.99911
btn,1979,70000.0003
btn,1981,70000.0003
btn,1983,349999.99404
btn,1984,319999.99285
btn,1985,170000.00179
btn,1986,129999.99523
btn,1987,159999.99642
btn,1988,360000.01431
btn,1989,740000.00954
btn,1990,1179999.94755
btn,1991,119999.99732
btn,1992,1419999.95708
btn,1993,1009999.99046
btn,1994,3740000.00954
btn,1995,5539999.96185
btn,1996,6340000.15259
btn,1997,4280000.20981
btn,1998,2910000.08583
btn,1999,2119999.88556
btn,2000,3190000.05722
btn,2001,6489999.77112
btn,2002,3750000
btn,2003,5670000.07629
btn,2004,12300000.19073
btn,2005,8369999.88556
btn,2006,4690000.05722
btn,2007,310000.00238
btn,2008,3089999.91417
btn,2009,3779999.97139
btn,2010,2660000.08583
btn,2011,2779999.97139
btn,2012,2569999.93324
bwa,1970,39999.99911
bwa,1971,300000.01192
bwa,1972,50000.00075
bwa,1973,59999.99866
bwa,1974,460000.00834
bwa,1975,280000.00119
bwa,1976,1110000.01431
bwa,1977,1350000.02384
bwa,1978,1899999.97616
bwa,1979,2799999.95232
bwa,1980,3380000.11444
bwa,1981,4210000.03815
bwa,1982,2740000.00954
bwa,1983,3259999.99046
bwa,1984,1919999.95708
bwa,1985,2099999.90463
bwa,1986,4619999.88556
bwa,1987,5389999.86649
bwa,1988,4329999.92371
bwa,1989,3859999.8951
bwa,1990,4360000.13351
bwa,1991,1929999.94755
bwa,1992,3619999.88556
bwa,1993,3369999.88556
bwa,1994,5409999.84741
bwa,1995,3549999.95232
bwa,1996,4230000.01907
bwa,1997,4500000
bwa,1998,4559999.94278
bwa,1999,289999.99166
bwa,2000,109999.9994
bwa,2001,2799999.95232
bwa,2002,1850000.02384
bwa,2003,639999.98569
bwa,2004,1179999.94755
bwa,2005,1029999.97139
bwa,2006,610000.01431
bwa,2007,100000.00149
bwa,2014,170000.00179
bwa,2015,0
caf,1972,19999.99955
caf,1973,29999.99933
caf,1974,9999.99978
caf,1975,129999.99523
caf,1976,109999.9994
caf,1977,119999.99732
caf,1978,170000.00179
caf,1979,259999.99046
caf,1980,579999.98331
caf,1981,740000.00954
caf,1982,460000.00834
caf,1983,100000.00149
caf,1984,270000.01073
caf,1985,29999.99933
caf,1986,310000.00238
caf,1987,439999.99762
caf,1988,209999.99344
caf,1989,209999.99344
caf,1990,340000.00358
caf,1991,109999.9994
caf,1992,219999.99881
caf,1993,439999.99762
caf,1994,400000.00596
caf,1995,920000.01669
caf,1996,920000.01669
caf,1997,449999.98808
caf,1998,779999.97139
caf,2001,319999.99285
caf,2002,349999.99404
caf,2003,589999.97377
caf,2004,550000.01192
caf,2005,349999.99404
caf,2007,6340000.15259
caf,2008,2880000.11444
caf,2009,2789999.96185
caf,2010,1990000.00954
caf,2013,2660000.08583
caf,2014,17500000
caf,2015,11859999.65668
caf,2016,11859999.65668
caf,2017,6139999.86649
caf,2018,5969999.79019
caf,2019,4969999.79019
chl,1960,200000.00298
chl,1965,540000.02146
chl,1967,129999.99523
chl,1968,560000.00238
chl,1969,730000.01907
chl,1970,2279999.97139
chl,1971,1419999.95708
chl,1972,620000.00477
chl,1973,3769999.98093
chl,1974,3849999.90463
chl,1975,1139999.98569
chl,1976,1759999.99046
chl,1977,2990000.00954
chl,1978,2460000.03815
chl,1979,2950000.04768
chl,1980,5869999.88556
chl,1981,4269999.98093
chl,1982,4230000.01907
chl,1983,4019999.98093
chl,1984,3099999.90463
chl,1985,4699999.80927
chl,1986,4500000
chl,1987,6960000.03815
chl,1988,8600000.38147
chl,1989,8890000.34332
chl,1990,14050000.19073
chl,1991,19350000.38147
chl,1992,16290000.91553
chl,1993,13760000.22888
chl,1994,15869999.88556
chl,1995,10930000.30518
chl,1996,8340000.15259
chl,1997,8479999.54224
chl,1998,5590000.15259
chl,1999,699999.98808
chl,2000,579999.98331
chl,2001,3990000.00954
chl,2002,3329999.92371
chl,2003,1289999.96185
chl,2004,1350000.02384
chl,2005,779999.97139
chl,2006,100000.00149
chl,2007,59999.99866
chl,2008,189999.99762
chl,2009,200000.00298
chl,2010,280000.00119
chl,2011,129999.99523
chl,2012,19999.99955
chn,1985,419999.98689
chn,1986,2400000.09537
chn,1987,3150000.09537
chn,1988,36799999.23706
chn,1989,40159999.84741
chn,1990,16989999.77112
chn,1991,7039999.96185
chn,1992,3670000.07629
chn,1993,12770000.45776
chn,1994,10079999.92371
chn,1995,15869999.88556
chn,1996,2710000.03815
chn,1997,7739999.77112
chn,1998,13180000.30518
chn,1999,34200000.76294
chn,2000,24899999.61853
chn,2001,26450000.76294
chn,2002,17899999.61853
chn,2003,16760000.22888
chn,2004,25639999.38965
chn,2005,27750000
chn,2006,30510000.22888
chn,2007,24809999.46594
chn,2008,16709999.08447
chn,2009,5280000.20981
chn,2010,3950000.04768
chn,2011,2150000.09537
chn,2012,589999.97377
chn,2013,689999.99762
chn,2014,389999.98569
chn,2015,379999.99523
chn,2016,479999.98927
chn,2017,920000.01669
chn,2018,1419999.95708
chn,2019,2410000.08583
civ,1970,560000.00238
civ,1971,819999.99285
civ,1972,920000.01669
civ,1973,2119999.88556
civ,1974,1279999.97139
civ,1975,1019999.98093
civ,1976,1409999.96662
civ,1977,1580000.04292
civ,1978,1340000.03338
civ,1979,1860000.01431
civ,1980,2119999.88556
civ,1981,769999.98093
civ,1982,379999.99523
civ,1983,3819999.93324
civ,1984,519999.98093
civ,1985,430000.00715
civ,1986,469999.99881
civ,1987,1000000
civ,1988,649999.97616
civ,1989,490000.00954
civ,1990,1169999.95708
civ,1991,1450000.04768
civ,1992,620000.00477
civ,1993,529999.97139
civ,1994,219999.99881
civ,1995,19999.99955
civ,1996,379999.99523
civ,1997,5500000
civ,1998,23319999.69482
civ,1999,10210000.03815
civ,2000,10300000.19073
civ,2001,7599999.90463
civ,2002,24329999.92371
civ,2003,14890000.34332
civ,2004,1929999.94755
civ,2005,2420000.07629
civ,2006,1000000
civ,2007,1509999.99046
civ,2008,100000.00149
civ,2009,36540000.91553
civ,2010,5460000.03815
civ,2011,8920000.07629
civ,2018,9999.99978
civ,2019,29999.99933
cmr,1970,1259999.99046
cmr,1971,1340000.03338
cmr,1972,1820000.05245
cmr,1973,2130000.11444
cmr,1974,1759999.99046
cmr,1975,3480000.01907
cmr,1976,3910000.08583
cmr,1977,3869999.88556
cmr,1978,3220000.02861
cmr,1979,4349999.90463
cmr,1980,4090000.15259
cmr,1981,2220000.02861
cmr,1982,9909999.84741
cmr,1983,2869999.88556
cmr,1984,3119999.88556
cmr,1985,2880000.11444
cmr,1986,3759999.99046
cmr,1987,4690000.05722
cmr,1988,17389999.38965
cmr,1989,13109999.65668
cmr,1990,15000000
cmr,1991,4969999.79019
cmr,1992,3869999.88556
cmr,1993,5659999.84741
cmr,1994,8770000.45776
cmr,1995,1769999.98093
cmr,1996,11960000.03815
cmr,1997,7980000.01907
cmr,1998,10359999.65668
cmr,1999,7010000.22888
cmr,2000,4309999.94278
cmr,2001,13199999.80927
cmr,2002,7489999.77112
cmr,2003,10850000.38147
cmr,2004,11560000.41962
cmr,2005,17540000.91553
cmr,2006,18959999.08447
cmr,2007,2579999.92371
cmr,2008,579999.98331
cmr,2009,119999.99732
cmr,2010,170000.00179
cod,1970,500000
cod,1971,19999.99955
cod,1972,109999.9994
cod,1973,829999.98331
cod,1974,1000000
cod,1975,419999.98689
cod,1976,460000.00834
cod,1977,1269999.98093
cod,1978,1639999.98569
cod,1979,3099999.90463
cod,1980,1899999.97616
cod,1981,2329999.92371
cod,1982,2089999.91417
cod,1983,1889999.98569
cod,1984,1429999.94755
cod,1985,1690000.05722
cod,1986,1190000.05722
cod,1987,1370000.00477
cod,1988,3349999.90463
cod,1989,3190000.05722
cod,1990,3890000.1049
cod,1991,5739999.77112
cod,1992,7139999.86649
cod,1993,6489999.77112
cod,1994,5170000.07629
cod,1995,7829999.92371
cod,1996,4699999.80927
cod,1997,7309999.94278
cod,1998,8100000.38147
cod,1999,2460000.03815
cod,2000,4670000.07629
cod,2001,12000000
cod,2002,135029998.7793
cod,2003,220550003.05176
cod,2004,58750000
cod,2005,46229999.54224
cod,2006,29879999.16077
cod,2007,50740001.67847
cod,2008,47790000.91553
cod,2009,43360000.61035
cod,2010,422160003.66211
cod,2011,18280000.68665
cod,2012,22159999.84741
cod,2013,11479999.54224
cod,2014,9939999.58038
cod,2015,7090000.15259
cod,2016,13289999.96185
cod,2017,22280000.68665
cod,2018,24430000.30518
cod,2019,17270000.45776
cog,1971,850000.02384
cog,1972,39999.99911
cog,1973,39999.99911
cog,1974,29999.99933
cog,1975,59999.99866
cog,1976,79999.99821
cog,1977,1500000
cog,1978,400000.00596
cog,1979,319999.99285
cog,1980,490000.00954
cog,1981,109999.9994
cog,1982,170000.00179
cog,1983,629999.99523
cog,1984,140000.0006
cog,1985,39999.99911
cog,1986,370000.00477
cog,1987,250000
cog,1988,2980000.01907
cog,1989,370000.00477
cog,1990,400000.00596
cog,1991,170000.00179
cog,1992,59999.99866
cog,1993,39999.99911
cog,1994,59999.99866
cog,1995,50000.00075
cog,1996,2319999.93324
cog,1997,239999.99464
cog,1998,70000.0003
cog,1999,2900000.09537
cog,2001,1429999.94755
cog,2002,180000.00715
cog,2003,2740000.00954
cog,2004,1279999.97139
cog,2005,6079999.92371
cog,2006,140000.0006
cog,2017,19999.99955
cog,2018,219999.99881
cog,2019,239999.99464
col,1964,1399999.97616
col,1965,180000.00715
col,1967,990000.00954
col,1968,330000.01311
col,1969,-250000
col,1970,1429999.94755
col,1971,1029999.97139
col,1972,1539999.96185
col,1973,3109999.8951
col,1974,5260000.22888
col,1975,7659999.84741
col,1976,10199999.80927
col,1977,9920000.07629
col,1978,7500000
col,1979,8380000.11444
col,1980,10770000.45776
col,1981,12710000.03815
col,1982,14260000.22888
col,1983,9399999.61853
col,1984,10039999.96185
col,1985,8460000.03815
col,1986,11380000.11444
col,1987,13369999.88556
col,1988,12039999.96185
col,1989,13409999.84741
col,1990,11289999.96185
col,1991,11840000.15259
col,1992,16579999.92371
col,1993,10239999.77112
col,1994,11609999.65668
col,1995,10880000.11444
col,1996,8520000.45776
col,1997,8859999.65668
col,1998,9680000.30518
col,1999,7239999.77112
col,2000,9020000.45776
col,2001,15470000.26703
col,2002,15239999.77112
col,2003,12279999.73297
col,2004,25959999.08447
