geo,time,dt_oda_oatl_cd
ncl,2001,294149993.89648
ncl,2002,323829986.57227
ncl,2003,453899993.89648
ncl,2004,524340026.85547
pol,1990,1320280029.29688
pol,1991,2507260009.76563
pol,1992,1435530029.29688
pol,1993,1071560058.59375
pol,1994,1809520019.53125
pol,1995,3788879882.8125
pol,1996,1164369995.11719
pol,1997,860479980.46875
pol,1998,875330017.08984
pol,1999,1179150024.41406
pol,2000,1393410034.17969
pol,2001,958489990.23438
pol,2002,876440002.44141
pol,2003,1185640014.64844
pol,2004,1520160034.17969
pyf,2000,402589996.33789
pyf,2001,388329986.57227
pyf,2002,418390014.64844
pyf,2003,518539978.02734
pyf,2004,579750000
qat,1996,3279999.97139
qat,1997,2059999.94278
qat,1998,2660000.08583
qat,1999,6340000.15259
qat,2000,1940000.05722
qat,2001,3910000.08583
qat,2002,5019999.98093
qat,2003,4820000.17166
qat,2004,3630000.11444
rou,1990,243399993.89648
rou,1991,320750000
rou,1992,258190002.44141
rou,1993,166679992.67578
rou,1994,154389999.38965
rou,1995,297850006.10352
rou,1996,230919998.16895
rou,1997,218419998.16895
rou,1998,366119995.11719
rou,1999,386390014.64844
rou,2000,430769989.01367
rou,2001,646580017.08984
rou,2002,418149993.89648
rou,2003,597729980.46875
rou,2004,910950012.20703
rus,1990,254020004.27246
rus,1991,563710021.97266
rus,1992,1935099975.58594
rus,1993,2419399902.34375
rus,1994,1846890014.64844
rus,1995,1916780029.29688
rus,1996,1403150024.41406
rus,1997,903010009.76562
rus,1998,1183119995.11719
rus,1999,1937319946.28906
rus,2000,1553719970.70313
rus,2001,1089810058.59375
rus,2002,1284520019.53125
rus,2003,1244479980.46875
rus,2004,1319550048.82813
sau,2008,709999.97854
sau,2009,289999.99166
sgp,1996,14880000.11444
sgp,1997,2809999.94278
sgp,1998,1620000.00477
sgp,1999,-1110000.01431
sgp,2000,1090000.03338
sgp,2001,850000.02384
sgp,2002,7190000.05722
sgp,2003,7070000.17166
sgp,2004,9140000.34332
svk,1990,6840000.15259
svk,1991,114699996.94824
svk,1992,63360000.61035
svk,1993,50520000.45776
svk,1994,78389999.38965
svk,1995,97959999.08447
svk,1996,97589996.33789
svk,1997,70419998.16895
svk,1998,154820007.32422
svk,1999,318709991.45508
svk,2000,112989997.86377
svk,2001,164039993.28613
svk,2002,152649993.89648
svk,2003,161869995.11719
svk,2004,234789993.28613
svn,2003,56209999.08447
svn,2004,62220001.2207
ukr,1990,289000000
ukr,1991,368299987.79297
ukr,1992,557700012.20703
ukr,1993,328440002.44141
ukr,1994,290350006.10352
ukr,1995,319619995.11719
ukr,1996,398059997.55859
ukr,1997,272579986.57227
ukr,1998,468399993.89648
ukr,1999,573159973.14453
ukr,2000,543320007.32422
ukr,2001,514830017.08984
ukr,2002,476209991.45508
ukr,2003,328359985.35156
ukr,2004,376390014.64844
vgb,2000,4840000.15259
vgb,2001,2059999.94278
vgb,2002,-79999.99821
vgb,2003,-529999.97139
vgb,2004,-1220000.02861
