geo,time,sl_uem_neet_ma_zs
bih,2015,29.72
bih,2016,28.5
bih,2017,24.71
bih,2018,22.56
bih,2019,20.76
bih,2020,20.41
blr,2009,10.5
blr,2020,9.99
blz,2012,10.14
blz,2013,14.08
blz,2014,14.7
blz,2015,13.87
blz,2016,15.03
blz,2017,14.85
blz,2019,14.7
bmu,2010,8.18
bol,1999,2.27
bol,2000,1.19
bol,2001,14.87
bol,2002,8.14
bol,2004,5.43
bol,2005,5.46
bol,2006,3.85
bol,2007,4.11
bol,2008,4
bol,2009,3.3
bol,2011,4.12
bol,2012,3.42
bol,2013,4.12
bol,2014,3.76
bol,2015,6.76
bol,2016,4.7
bol,2017,5.01
bol,2018,4.11
bol,2019,4.31
bol,2020,9.43
bra,1995,10.84
bra,1996,12.04
bra,1997,11.43
bra,1998,11.46
bra,1999,11.43
bra,2001,11.42
bra,2002,12
bra,2003,11.95
bra,2004,11.7
bra,2005,11.84
bra,2006,12.08
bra,2007,12.21
bra,2008,11.93
bra,2009,12.39
bra,2011,13.06
bra,2012,13.97
bra,2013,14.48
bra,2014,14.32
bra,2015,15.78
bra,2016,18.24
bra,2017,19.46
bra,2018,19.41
bra,2019,18.77
bra,2020,21.11
brn,2014,15.44
brn,2017,19.99
brn,2018,18.63
brn,2019,18.6
brn,2020,7.95
bwa,1996,38.31
bwa,2006,36.08
bwa,2009,28.52
bwa,2019,31.15
bwa,2020,38.5
can,1976,14.62
can,1977,15.55
can,1978,15.32
can,1979,14.15
can,1980,14.67
can,1981,14.65
can,1982,20
can,1983,20.26
can,1984,18.11
can,1985,16.51
can,1986,15.67
can,1987,14.03
can,1988,12.82
can,1989,12.3
can,1990,13.76
can,1991,16.53
can,1992,16.87
can,1993,16.64
can,1994,15.8
can,1995,14.97
can,1996,15.22
can,1997,14.44
can,1998,14.4
can,1999,13.47
can,2000,13.15
can,2001,12.92
can,2002,12.97
can,2003,13.44
can,2004,13.13
can,2005,12.79
can,2006,12.48
can,2007,11.87
can,2008,12.74
can,2009,15.37
can,2010,14.68
can,2011,13.82
can,2012,14.06
can,2013,13.55
can,2014,14.38
can,2015,14.29
can,2016,14.07
can,2017,13.03
can,2018,13.37
can,2019,13
can,2020,19.11
can,2021,14.27
che,2003,6.92
che,2004,6.64
che,2005,7.2
che,2006,7.26
che,2007,6.4
che,2008,6.39
che,2009,8.39
che,2010,6.52
che,2011,7.94
che,2012,7.29
che,2013,7.98
che,2014,8.21
che,2015,7.98
che,2016,7.65
che,2017,7.49
che,2018,7.26
che,2019,7.85
che,2020,7.71
chl,1990,15.71
chl,1992,12.34
chl,1994,13.51
chl,1996,11.6
chl,1998,15.74
chl,2000,17.55
chl,2003,14.02
chl,2006,14.43
chl,2009,18.68
chl,2010,14.44
chl,2011,14.08
chl,2012,13.42
chl,2013,14.13
chl,2014,14.21
chl,2015,15.36
chl,2016,13.82
chl,2017,13.78
chl,2018,13.26
chl,2019,13.99
chl,2020,19.31
civ,2012,11.75
civ,2013,7.22
civ,2016,23.69
civ,2017,25.36
cmr,2007,5.75
cmr,2010,4.68
cmr,2014,10.54
cod,2005,13.5
cod,2012,16.43
cog,2005,23.67
cog,2009,21.21
col,2002,19.69
col,2003,18.15
col,2004,18.52
col,2005,16.91
col,2007,16.89
col,2008,15.76
col,2009,15.42
col,2010,14.44
col,2011,14.15
col,2012,13.55
col,2013,13.35
col,2014,13.21
col,2015,12.03
col,2016,12.75
col,2017,13.3
col,2018,14.14
col,2019,15.55
com,2004,22.73
com,2014,21.35
cpv,2017,29.9
cpv,2018,27.68
cpv,2019,27.1
cri,2001,11.77
cri,2002,11.44
cri,2003,12.45
cri,2004,10.59
cri,2005,9.35
cri,2006,10.13
cri,2007,8.63
cri,2008,9.59
cri,2009,12.75
cri,2010,13.68
cri,2011,15.78
cri,2012,12.89
cri,2013,13
cri,2014,14.19
cri,2015,13.46
cri,2016,16.06
cri,2017,15.54
cri,2018,14.71
cri,2019,14.66
cri,2020,16.58
cyp,2003,6.27
cyp,2004,6.26
cyp,2005,17.28
cyp,2006,10.16
cyp,2007,8.33
cyp,2008,8.19
cyp,2009,8.59
cyp,2010,10.39
cyp,2011,15.14
cyp,2012,17.79
cyp,2013,20.59
cyp,2014,18.99
cyp,2015,15.93
cyp,2016,15.02
cyp,2017,16.15
cyp,2018,14.81
cyp,2019,14.22
cyp,2020,15.3
cze,2003,8.67
cze,2004,10.98
cze,2005,11.19
cze,2006,7.32
cze,2007,4.87
cze,2008,4.77
cze,2009,7.21
cze,2010,7.47
cze,2011,7.13
cze,2012,8.05
cze,2013,7.52
cze,2014,6.45
cze,2015,5.52
cze,2016,5.51
cze,2017,4.42
cze,2018,3.57
cze,2019,3.3
cze,2020,4.27
deu,2003,9.74
deu,2004,9.89
deu,2005,10.48
deu,2006,9.28
deu,2007,8.43
deu,2008,7.45
deu,2009,8.22
deu,2010,7.58
deu,2011,6.66
deu,2012,6.31
deu,2013,5.54
deu,2014,5.54
deu,2015,5.41
deu,2016,6.08
deu,2017,5.84
deu,2018,5.38
deu,2019,5.16
deu,2020,7.63
dji,2017,14.51
dnk,2003,5.46
dnk,2004,4.37
dnk,2005,3.57
dnk,2006,3.42
dnk,2007,4.73
dnk,2008,5.23
dnk,2009,7.03
dnk,2010,7.48
dnk,2011,7.19
dnk,2012,7.36
dnk,2013,6.89
dnk,2014,6.8
dnk,2015,7.13
dnk,2016,7.5
dnk,2017,7.53
dnk,2018,7.76
dnk,2019,7.99
dnk,2020,7.7
dom,2000,10.96
dom,2001,12.36
dom,2002,12.49
dom,2003,12.94
dom,2004,12.28
dom,2005,14.26
dom,2006,12.81
dom,2007,12.76
dom,2008,12.46
dom,2009,15.41
dom,2010,14.44
dom,2011,14.84
dom,2012,15.36
dom,2013,14.94
dom,2014,12.68
dom,2015,19.54
dom,2016,19.2
dom,2017,18.27
dom,2018,18.1
dom,2019,18.86
dom,2020,31.09
dza,2009,11.23
dza,2010,10.76
dza,2011,15
dza,2012,10.8
dza,2013,8.8
dza,2014,11.4
dza,2015,10.8
dza,2017,10.94
ecu,2000,9.62
ecu,2001,8.8
ecu,2003,11.88
ecu,2004,9.49
ecu,2005,7.91
ecu,2006,7.57
ecu,2007,7.67
ecu,2008,7.85
ecu,2009,8.6
ecu,2010,8.2
ecu,2011,8.32
ecu,2012,9.13
ecu,2013,9.38
ecu,2014,10.81
ecu,2015,10.5
ecu,2016,10.24
ecu,2017,9.27
ecu,2018,9.83
ecu,2019,9.96
egy,2008,15.68
egy,2009,16.2
egy,2010,15.8
egy,2011,17.95
egy,2012,19.61
egy,2013,17.92
egy,2015,19.76
egy,2016,19.88
egy,2017,19.58
egy,2018,18.6
egy,2019,16.44
egy,2020,17.2
esp,2003,9.95
esp,2004,10.3
esp,2005,11.12
esp,2006,10.27
esp,2007,10.44
esp,2008,13.92
esp,2009,19.4
esp,2010,18.8
esp,2011,19.2
esp,2012,19.57
esp,2013,19.44
esp,2014,18
esp,2015,16.37
esp,2016,15.07
esp,2017,13.77
esp,2018,13.01
esp,2019,12.52
esp,2020,14.77
est,2003,10.52
est,2004,13.56
est,2005,7.86
est,2006,6.56
est,2007,8.75
est,2008,8.5
est,2009,14.44
est,2010,14.58
est,2011,11.76
est,2012,11.22
est,2013,10.83
est,2014,11.75
est,2015,8.96
est,2016,6.77
est,2017,8.35
est,2018,10.81
est,2019,6.59
est,2020,7.97
eth,2013,5.66
fin,2003,10.29
fin,2004,9.22
fin,2005,7.96
fin,2006,7.21
fin,2007,6.3
fin,2008,7.8
fin,2009,10.52
fin,2010,9.41
fin,2011,8.71
fin,2012,8.54
fin,2013,10.55
fin,2014,11.84
fin,2015,11.53
fin,2016,10.68
fin,2017,9.96
fin,2018,8.67
fin,2019,8.48
fin,2020,10.34
fji,2005,8.96
fji,2011,10.03
fji,2014,11.43
fji,2016,10.83
fra,2003,8.7
fra,2004,10.28
fra,2005,10.4
fra,2006,10.39
fra,2007,10.02
fra,2008,10.38
fra,2009,13.27
fra,2010,12.68
fra,2011,12
fra,2012,12.91
fra,2013,11.03
fra,2014,11.53
fra,2015,12.4
fra,2016,11.93
fra,2017,11.9
fra,2018,11.69
fra,2019,10.82
fra,2020,11.66
fsm,2014,18.3
gbr,2004,4.21
gbr,2005,7.3
gbr,2006,7.49
gbr,2007,10.11
gbr,2008,10.11
gbr,2009,11.93
gbr,2010,12.12
gbr,2011,13.14
gbr,2012,12.82
gbr,2013,12.15
gbr,2014,10.68
gbr,2015,9.75
gbr,2016,10.3
gbr,2017,10.22
gbr,2018,9.71
gbr,2019,10.48
geo,2012,25.78
geo,2013,25.91
geo,2014,24.85
geo,2015,21.94
geo,2016,22.46
geo,2017,21.23
geo,2018,23.23
geo,2019,23.33
geo,2020,28.71
gha,1991,14.89
gha,2000,27.48
gha,2006,19.69
gha,2010,16.81
gha,2013,8.71
gha,2015,18.51
gha,2017,27.67
gin,2002,6.56
gin,2019,7.16
gmb,2012,23.82
gmb,2018,45.28
gnb,2018,18.3
grc,2003,10.1
grc,2004,10.58
grc,2005,17.41
grc,2006,8.69
grc,2007,8.12
grc,2008,8.77
grc,2009,9.5
grc,2010,12.65
grc,2011,16.09
grc,2012,19.02
grc,2013,20.86
grc,2014,18.68
grc,2015,17.12
grc,2016,15.91
grc,2017,15.03
grc,2018,14.18
grc,2019,12.66
grc,2020,13.11
gtm,2003,5.46
gtm,2004,6.72
gtm,2006,4.79
gtm,2010,6.29
gtm,2011,7.17
gtm,2012,5.39
gtm,2013,8.93
gtm,2014,7.97
gtm,2015,6.39
gtm,2016,8.19
gtm,2017,7.09
gtm,2018,8.81
gtm,2019,9.51
guy,2018,24.82
guy,2019,25.7
hkg,2009,7.87
hkg,2010,7.32
hkg,2011,6.5
hkg,2012,6.52
hkg,2013,7.15
hkg,2014,6.87
hkg,2015,6.44
hkg,2016,6.29
hkg,2017,6.6
hkg,2018,6.8
hkg,2019,7.42
hkg,2020,9.8
hnd,2005,10.18
hnd,2006,9.36
hnd,2007,11.32
hnd,2008,9.15
hnd,2009,9.93
hnd,2010,10.17
hnd,2011,12.22
hnd,2012,12.57
hnd,2013,11.14
hnd,2015,11.6
hnd,2016,12.67
hnd,2017,12.11
hnd,2018,11.56
hnd,2019,12.33
hrv,2005,17.36
hrv,2006,13.9
hrv,2007,12.4
hrv,2008,11.25
hrv,2009,13.36
hrv,2010,17.14
hrv,2011,17.76
hrv,2012,17.92
hrv,2013,20.61
hrv,2014,21.89
hrv,2015,20.53
hrv,2016,19.05
hrv,2017,15.44
hrv,2018,13.18
hrv,2019,11.44
hrv,2020,12.19
hti,2012,12.68
hun,2004,10.33
hun,2005,16.8
hun,2006,11.03
hun,2007,9.92
hun,2008,10.06
hun,2009,12.72
hun,2010,11.71
hun,2011,12.14
hun,2012,13.65
hun,2013,13.61
hun,2014,12.01
hun,2015,10.42
hun,2016,8.86
hun,2017,7.91
hun,2018,7.6
hun,2019,8.92
hun,2020,9.46
idn,2000,19.96
idn,2001,19.73
idn,2002,21.31
idn,2003,21.52
idn,2004,21.56
idn,2005,23.04
idn,2006,21.7
idn,2007,21.05
idn,2008,19.71
idn,2009,19.61
idn,2010,18.74
idn,2011,18.19
idn,2012,15.08
idn,2013,15.59
idn,2014,15.38
idn,2015,16.63
idn,2016,16.08
idn,2017,15.27
idn,2018,15.8
idn,2019,15.08
idn,2020,16.89
ind,1994,8.69
ind,2000,9.89
ind,2004,7.58
ind,2005,8.62
ind,2010,7.83
ind,2012,7.96
ind,2018,14.26
ind,2019,13.54
ind,2020,13.55
irl,2003,7.84
irl,2004,9.19
irl,2005,13.81
irl,2006,12.93
irl,2007,9.81
irl,2008,13.61
irl,2009,21.54
irl,2010,22.16
irl,2011,21.68
irl,2012,21.85
irl,2013,17.66
irl,2014,15.75
irl,2015,15.57
irl,2016,13.5
irl,2017,11.36
irl,2018,10.24
irl,2019,10.29
irl,2020,12.7
irn,2005,21.92
irn,2006,21.85
irn,2007,21.07
irn,2008,21.44
irn,2009,22.2
irn,2010,22.1
irn,2011,21.03
irn,2012,20.27
irn,2013,18.35
irn,2014,18.39
irn,2015,18.55
irn,2016,19.38
irn,2017,19.33
irn,2018,19.06
irn,2019,18
irn,2020,18.26
irq,2007,21.59
irq,2012,16.88
isl,2005,4.35
isl,2006,3.97
isl,2007,3.28
isl,2008,3.75
isl,2009,8.8
isl,2010,7.51
isl,2011,7.59
isl,2012,6.97
isl,2013,6.77
isl,2014,6.15
isl,2015,5.87
isl,2016,4.55
isl,2017,3.9
isl,2018,4.47
isl,2019,5.98
isl,2020,6.21
isr,2012,13.65
isr,2013,12.79
isr,2014,12.35
isr,2015,12.58
isr,2016,12.34
isr,2017,12.14
isr,2018,14.36
isr,2019,15.4
isr,2020,17.4
ita,2004,13.86
ita,2005,15.31
ita,2006,15.36
ita,2007,15.15
ita,2008,15.18
ita,2009,16.99
ita,2010,18.92
ita,2011,19.4
ita,2012,21.06
ita,2013,22.8
ita,2014,22.68
ita,2015,21.83
ita,2016,20.05
ita,2017,20.23
ita,2018,19.02
ita,2019,18.18
ita,2020,19.09
jam,2008,21.17
jam,2009,25.69
jam,2010,27.3
jam,2011,27.04
jam,2012,27.84
jam,2013,28.64
jam,2014,28.4
jam,2016,26.54
jam,2017,24.18
jam,2018,23.07
jam,2019,20.67
jam,2020,27.77
jor,2017,28.8
jor,2018,30.19
jor,2019,29.32
jor,2020,30.6
jpn,2009,2.74
jpn,2010,2.62
jpn,2012,2.89
jpn,2013,2.75
jpn,2014,2.43
jpn,2015,2.6
jpn,2016,2.58
jpn,2017,2.42
jpn,2018,2.23
jpn,2019,2.7
ken,1999,28.08
ken,2006,15.36
ken,2016,9.2
ken,2019,14.97
kgz,2009,12.24
kgz,2010,11.55
kgz,2011,44.77
kgz,2012,46.17
kgz,2013,13.17
kgz,2014,12.53
kgz,2015,13.64
kgz,2016,12.09
kgz,2017,12.32
kgz,2018,11.99
kgz,2019,12.63
kgz,2020,13.36
khm,1998,16.71
khm,2000,7.05
khm,2001,3.93
khm,2007,0.26
khm,2009,3.67
khm,2010,0.15
khm,2012,10.26
khm,2017,3.06
khm,2019,11.44
kir,2015,46.19
kir,2019,50.6
kos,2012,30.7
kos,2013,30
kos,2014,26.62
kos,2015,28.23
kos,2016,26.18
kos,2017,23.43
kos,2018,30.6
kos,2019,31.43
kos,2020,34.22
lao,2010,4.34
lao,2017,39.07
lbn,2007,15.98
lbn,2019,17.94
lbr,2010,19.08
lbr,2014,9.59
lbr,2016,8.92
lbr,2017,41.22
lca,2017,34.9
lca,2018,33.85
lca,2019,32.12
lka,2010,17.52
lka,2011,15.99
lka,2013,17.98
lka,2014,18.93
lka,2015,17.41
lka,2016,18.07
lka,2017,16.78
lka,2018,17.05
lka,2019,13.34
lso,2019,41.15
ltu,2004,9.34
ltu,2005,8.23
ltu,2006,8.16
ltu,2007,6.28
ltu,2008,8.57
ltu,2009,13.65
ltu,2010,14.69
ltu,2011,13.14
ltu,2012,12.76
ltu,2013,11.64
ltu,2014,9.51
ltu,2015,9.08
ltu,2016,10
ltu,2017,9.07
ltu,2018,8.45
ltu,2019,9.71
ltu,2020,12.25
lux,2003,4.46
lux,2004,4.63
lux,2005,4.27
lux,2006,6.08
lux,2007,4.74
lux,2008,4.61
lux,2009,6.03
lux,2010,5.57
lux,2011,4.61
lux,2012,6.27
lux,2013,5.93
lux,2014,7.83
lux,2015,6.63
lux,2016,5.06
lux,2017,6.14
lux,2018,4.63
lux,2019,5.72
lux,2020,8.27
lva,2003,8.93
lva,2004,8.35
lva,2005,8.86
lva,2006,7.93
lva,2007,9.54
lva,2008,10.18
lva,2009,18.62
lva,2010,18.7
lva,2011,16.07
lva,2012,15.14
lva,2013,12.64
lva,2014,11.28
lva,2015,9.37
lva,2016,12.63
lva,2017,11.03
lva,2018,8.08
lva,2019,8.81
lva,2020,6.94
mac,2009,8.42
mac,2010,6.91
mac,2011,6.28
mac,2012,5.57
mac,2013,5.59
mac,2014,4.89
mac,2015,5.25
mac,2016,5.56
mda,2010,32.22
mda,2011,31.96
mda,2012,32.38
mda,2013,31.42
mda,2014,42.69
mda,2015,38.85
mda,2018,31.87
mdg,2012,3.31
mdv,2009,29.33
mdv,2014,11.84
mdv,2016,21.52
mdv,2019,25.21
mex,2005,8.62
mex,2006,8.7
mex,2007,8.86
mex,2008,9.51
mex,2009,10.9
mex,2010,11.12
mex,2011,10.69
mex,2012,9.88
mex,2013,9.46
mex,2014,9.3
mex,2015,8.8
mex,2016,8.6
mex,2017,8.07
mex,2018,8.29
mex,2019,8.88
mex,2020,11.81
mhl,2019,37.14
mkd,2006,38.92
mkd,2007,31.59
mkd,2008,28.06
mkd,2009,25.39
mkd,2010,25.12
mkd,2011,24.9
mkd,2012,25.33
mkd,2013,23.26
mkd,2014,23.63
mkd,2015,24.53
mkd,2016,23.58
mkd,2017,23.88
mkd,2018,23.27
mkd,2019,17.1
mkd,2020,19.67
mli,2010,10.7
mli,2013,9.07
mli,2014,9.98
mli,2015,14.9
mli,2016,21.88
mli,2017,17.22
mli,2018,14.97
mlt,2004,10.51
mlt,2005,11.16
mlt,2006,9.76
mlt,2007,11.88
mlt,2008,6.82
mlt,2009,9.39
mlt,2010,8.22
mlt,2011,9.71
mlt,2012,10.21
mlt,2013,9.74
mlt,2014,8.77
mlt,2015,9.3
mlt,2016,6.85
mlt,2017,8.41
mlt,2018,6.85
mlt,2019,8.19
mlt,2020,10.37
mmr,2015,11.19
mmr,2017,10.54
mmr,2018,8.21
mmr,2019,9.01
mne,2011,17.01
mne,2012,17.24
mne,2013,19.33
mne,2014,18.92
mne,2015,19.98
mne,2016,18.74
mne,2017,16.35
mne,2018,18.68
mne,2019,18.8
mne,2020,21.51
mng,2006,16.72
mng,2008,17.76
mng,2009,16.71
mng,2010,16.03
mng,2011,15.03
mng,2012,15.85
mng,2013,15.21
mng,2014,15.78
mng,2015,13.95
mng,2016,18.68
mng,2017,17.73
mng,2018,16.29
mng,2019,18.37
mng,2020,17.75
mrt,2012,23.29
mrt,2017,22.69
mus,2001,21.68
mus,2002,19.46
mus,2003,14.1
mus,2004,16.92
mus,2005,16.56
mus,2006,13.19
mus,2007,13.67
mus,2008,13.12
mus,2009,14.7
mus,2010,15.19
mus,2011,15.44
mus,2012,16.19
mus,2013,15.04
mus,2014,15.42
mus,2015,15.69
mus,2016,15.09
mus,2017,14.84
mus,2018,17.05
mus,2019,14.95
mus,2020,36.14
mwi,2005,6.61
mwi,2011,11.19
mwi,2017,22.02
mwi,2020,21.6
mys,2011,9.68
mys,2012,9.56
mys,2013,9.14
mys,2014,8.62
mys,2016,8.42
mys,2017,8.8
mys,2018,9.14
mys,2019,8.1
mys,2020,12.6
nam,2010,25.86
nam,2012,26.99
nam,2013,27.21
nam,2014,27.81
nam,2016,27.91
nam,2018,29.27
ncl,2014,11.48
ner,2011,6.27
ner,2014,13.85
ner,2017,56.86
nga,2011,19.94
nga,2013,17.9
nga,2016,18.28
nga,2019,25.33
nic,2001,11.87
nic,2005,10.16
nic,2012,7.35
nic,2014,8.49
nld,2003,4.16
nld,2004,4.65
nld,2005,6.35
nld,2006,4.79
nld,2007,3.93
nld,2008,3.65
nld,2009,5.03
nld,2010,5.14
nld,2011,4.42
nld,2012,4.62
nld,2013,5.58
nld,2014,5.19
nld,2015,4.64
nld,2016,4.7
nld,2017,4.23
nld,2018,4.2
nld,2019,4.64
nld,2020,4.66
nld_curacao,2018,4.52
nld_curacao,2020,18.81
nor,2003,10.3
nor,2004,9.17
nor,2005,11.63
nor,2006,4.38
nor,2007,4.36
nor,2008,4.27
nor,2009,5.49
nor,2010,5.43
nor,2011,4.81
nor,2012,5.36
nor,2013,5.79
nor,2014,5.55
nor,2015,5.32
nor,2016,5.83
nor,2017,4.7
nor,2018,5.11
nor,2019,4.72
nor,2020,5.4
npl,2008,21.9
npl,2015,86.79
npl,2017,21.54
nru,2013,22.05
nzl,2004,7.13
nzl,2005,7.56
nzl,2006,7.92
nzl,2007,7.97
nzl,2008,8.55
nzl,2009,11.62
nzl,2010,11.18
nzl,2011,11.85
nzl,2012,11.38
nzl,2013,9.29
nzl,2014,9.41
nzl,2015,9.67
nzl,2016,11.02
nzl,2017,10.52
nzl,2018,11.38
nzl,2019,10.85
nzl,2020,12.08
pak,2006,9.17
pak,2007,8.03
pak,2008,7.64
pak,2009,7.27
pak,2010,7.61
pak,2011,8.3
pak,2013,8.09
pak,2014,7.55
pak,2015,7.41
pak,2018,7.55
pak,2019,7.6
pan,1997,14.72
pan,2003,13.82
pan,2008,11.98
pan,2009,10.47
pan,2010,10.74
pan,2011,11.92
pan,2012,8.89
pan,2013,8.68
pan,2014,10.24
pan,2015,9.96
pan,2016,10.3
pan,2017,10.63
pan,2018,9.9
pan,2019,10.95
pan,2020,15.18
pan,2021,15.72
per,2002,9.51
per,2003,8.98
per,2004,14.91
per,2005,18.28
per,2006,13.12
per,2007,12.16
per,2008,11.96
per,2009,11.89
per,2010,11.77
per,2011,11.91
per,2012,11.59
per,2013,13.14
per,2014,13.07
per,2015,15.15
per,2016,13.39
per,2017,14.24
per,2018,14.4
per,2019,13.58
per,2020,23.03
phl,2006,18.11
phl,2007,18.56
phl,2008,17.89
phl,2009,18.11
phl,2010,18.85
phl,2011,17.55
phl,2012,17.77
phl,2013,17.63
phl,2014,16.87
phl,2015,17.12
phl,2016,15.5
phl,2017,15.28
phl,2018,14.38
phl,2019,13.75
phl,2020,15.88
plw,2000,26.91
plw,2014,11.13
png,2010,26.44
pol,2004,14.52
pol,2005,13.38
pol,2006,12.13
pol,2007,9.26
pol,2008,7.29
pol,2009,9.4
pol,2010,10.54
pol,2011,11.19
pol,2012,11.47
pol,2013,12.13
pol,2014,11.99
pol,2015,11.15
pol,2016,10
pol,2017,8.32
pol,2018,7.3
pol,2019,6.83
pol,2020,7.79
prt,2004,9.71
prt,2005,10.19
prt,2006,9.86
prt,2007,9.76
prt,2008,8.92
prt,2009,10.64
prt,2010,10.41
prt,2011,12.19
prt,2012,14.57
prt,2013,14.2
prt,2014,12.29
prt,2015,10.4
prt,2016,10.82
prt,2017,9.18
prt,2018,8.35
prt,2019,7.44
prt,2020,9.35
pry,1998,10.78
pry,1999,12.67
pry,2001,11.08
pry,2002,12.46
pry,2003,11.37
pry,2004,9.37
pry,2005,9.07
pry,2006,9.17
pry,2007,9.79
pry,2008,7.24
pry,2009,7.67
pry,2010,9.98
pry,2011,9.68
pry,2012,7.95
pry,2013,7.87
pry,2014,8.99
pry,2015,10.32
pry,2016,9.65
pry,2017,9.61
pse,2000,19.26
pse,2001,27.38
pse,2002,29.12
pse,2003,25.34
pse,2004,24.68
pse,2005,22.32
pse,2006,22.91
pse,2007,23.71
pse,2008,24.62
pse,2009,23.64
pse,2010,24.32
pse,2011,21.18
pse,2012,22.89
pse,2013,24.28
pse,2014,26.46
pse,2015,26.59
pse,2016,26.26
pse,2017,27.74
pse,2018,27.99
pse,2019,26.73
pse,2020,30.03
rou,2003,17.37
rou,2004,17.89
rou,2005,14.87
rou,2006,12.96
rou,2007,11.58
rou,2008,8.81
rou,2009,11.24
rou,2010,14.18
rou,2011,16.3
rou,2012,15.18
rou,2013,15.31
rou,2014,15.34
rou,2015,14.98
rou,2016,14.11
rou,2017,12.06
rou,2018,11.35
rou,2019,11.52
rou,2020,11.57
rus,2009,10.49
rus,2010,10.34
rus,2011,10.33
rus,2012,9.71
rus,2013,9.3
rus,2014,9.5
rus,2015,9.65
rus,2016,10.32
rwa,2014,3.78
rwa,2017,25
rwa,2018,24.59
rwa,2019,27.49
rwa,2020,26.56
sau,2009,9.05
sau,2011,11.36
sau,2012,8.35
sau,2013,7.69
sau,2014,7.98
sau,2015,6.58
sau,2019,10.28
sau,2020,16.41
sdn,2011,19.98
sen,2015,28.71
sen,2016,18.94
sen,2017,26.2
sen,2018,28.53
sen,2019,21.61
sgp,2013,2.8
sgp,2014,2.5
sgp,2015,2.7
sgp,2016,2.9
sgp,2017,3.6
sgp,2018,3.1
sgp,2019,3.19
sgp,2020,3.41
slb,2013,5.1
sle,2014,9.48
sle,2018,8.74
slv,2009,15.45
slv,2010,13.59
slv,2011,12.88
slv,2012,12.28
slv,2013,12.76
slv,2014,16.13
slv,2015,15.55
slv,2016,15.39
slv,2017,14.91
slv,2018,14.52
slv,2019,14.9
slv,2020,15.33
som,2019,38.42
srb,2008,19.39
srb,2009,21.57
srb,2010,22.81
srb,2011,23.04
srb,2012,22.03
srb,2013,19.77
srb,2014,21.5
srb,2015,20.64
srb,2016,17.51
srb,2017,17.51
srb,2018,16.48
srb,2019,15.17
srb,2020,17.2
sur,2016,10.71
svk,2003,16.85
svk,2004,16.17
svk,2005,14.42
svk,2006,12.76
svk,2007,11.05
svk,2008,9.64
svk,2009,12.19
svk,2010,13.78
svk,2011,13.88
svk,2012,14.52
svk,2013,14.24
svk,2014,12.77
svk,2015,13.3
svk,2016,10.87
svk,2017,10.45
svk,2018,8.42
svk,2019,9.08
svk,2020,9.71
svn,2003,7.08
svn,2004,5.57
svn,2005,8.19
svn,2006,8.41
svn,2007,6.8
svn,2008,6.73
