geo,time,ic_tax_othr_cp_zs
btn,2009,4.3
btn,2010,4.3
btn,2011,4.3
btn,2012,4.3
btn,2013,1.4
btn,2014,1.4
btn,2015,1.4
btn,2016,1.4
btn,2017,1.4
btn,2018,1.4
btn,2019,1.4
bwa,2005,0.1
bwa,2006,0.1
bwa,2007,0.1
bwa,2008,0.1
bwa,2009,1
bwa,2010,3.6
bwa,2011,3.6
bwa,2012,3.6
bwa,2013,3.6
bwa,2014,3.6
bwa,2015,3.6
bwa,2016,3.6
bwa,2017,3.6
bwa,2018,3.6
bwa,2019,3.6
caf,2005,54.2
caf,2006,195.7
caf,2007,195.7
caf,2008,195.7
caf,2009,195.7
caf,2010,195.7
caf,2011,34.8
caf,2012,47.7
caf,2013,53.6
caf,2014,53.6
caf,2015,53.6
caf,2016,53.6
caf,2017,53.6
caf,2018,53.6
caf,2019,53.6
can,2005,7.9
can,2006,7.6
can,2007,6.6
can,2008,6.7
can,2009,6.6
can,2010,6.2
can,2011,6.2
can,2012,5.2
can,2013,4.9
can,2014,4.7
can,2015,4.5
can,2016,4.3
can,2017,4.2
can,2018,4
can,2019,3.8
che,2005,2.8
che,2006,2.1
che,2007,2.1
che,2008,1.9
che,2009,2.1
che,2010,2
che,2011,2
che,2012,2.1
che,2013,1.8
che,2014,1.8
che,2015,1.8
che,2016,1.8
che,2017,1.8
che,2018,1.8
che,2019,1.8
chl,2005,3
chl,2006,3
chl,2007,3
chl,2008,3
chl,2009,3
chl,2010,2.7
chl,2011,2.7
chl,2012,2.7
chl,2013,2.6
chl,2014,2.6
chl,2015,2.6
chl,2016,2.6
chl,2017,2.6
chl,2018,2.6
chl,2019,2.6
chn,2013,8.5
chn,2014,8.5
chn,2015,8.5
chn,2016,8.5
chn,2017,7
chn,2018,6.8
chn,2019,6.8
civ,2005,21.6
civ,2006,21.6
civ,2007,21.5
civ,2008,21.5
civ,2009,21.5
civ,2010,21.3
civ,2011,21.2
civ,2012,15.5
civ,2013,21.6
civ,2014,19.7
civ,2015,19.7
civ,2016,19.1
civ,2017,17.9
civ,2018,17.9
civ,2019,17.9
cmr,2005,4.5
cmr,2006,4.7
cmr,2007,4.7
cmr,2008,4.7
cmr,2009,0.6
cmr,2010,0.6
cmr,2011,0.6
cmr,2012,0.6
cmr,2013,0.5
cmr,2014,0.5
cmr,2015,0.5
cmr,2016,0.5
cmr,2017,0.5
cmr,2018,0.5
cmr,2019,0.5
cod,2005,221.3
cod,2006,221.3
cod,2007,221.3
cod,2008,196.4
cod,2009,225.9
cod,2010,272.3
cod,2011,272.3
cod,2012,272.3
cod,2013,14.5
cod,2014,14.5
cod,2015,14.5
cod,2016,14.5
cod,2017,14.5
cod,2018,14.5
cod,2019,14.5
cog,2005,32
cog,2006,32
cog,2007,32
cog,2008,32
cog,2009,32
cog,2010,32
cog,2011,30.6
cog,2012,32
cog,2013,6
cog,2014,23.6
cog,2015,24.7
cog,2016,22.9
cog,2017,22.9
cog,2018,22.9
cog,2019,22.9
col,2005,33.1
col,2006,33.1
col,2007,33.1
col,2008,30.6
col,2009,32.1
col,2010,32.1
col,2011,32.1
col,2012,31.4
col,2013,31.5
col,2014,31.5
col,2015,31.5
col,2016,31.9
col,2017,31.8
col,2018,31.6
col,2019,26.6
com,2005,186.5
com,2006,186.5
com,2007,186.5
com,2008,186.5
com,2009,186.5
com,2010,186.5
com,2011,186.5
com,2012,186.5
com,2013,184.5
com,2014,184.5
com,2015,184.5
com,2016,184.5
com,2017,184.5
com,2018,189.2
com,2019,189.2
cpv,2005,12.6
cpv,2006,12.6
cpv,2007,12.6
cpv,2008,12.6
cpv,2009,13
cpv,2010,0.2
cpv,2011,0.8
cpv,2012,0.8
cpv,2013,0.7
cpv,2014,0.7
cpv,2015,0.4
cpv,2016,0.4
cpv,2017,0.4
cpv,2018,0.4
cpv,2019,0.4
cri,2005,6.6
cri,2006,6.6
cri,2007,6.6
cri,2008,6.6
cri,2009,6.6
cri,2010,6.6
cri,2011,6.6
cri,2012,6.6
cri,2013,6.4
cri,2014,6.4
cri,2015,6.4
cri,2016,6.4
cri,2017,6.4
cri,2018,6.4
cri,2019,6.4
cyp,2008,1.3
cyp,2009,1.3
cyp,2010,0.5
cyp,2011,0.5
cyp,2012,0.6
cyp,2013,0.7
cyp,2014,1.1
cyp,2015,1.2
cyp,2016,1.2
cyp,2017,1.1
cyp,2018,1.1
cyp,2019,1.1
cze,2005,2
cze,2006,2
cze,2007,2
cze,2008,2
cze,2009,2
cze,2010,2
cze,2011,2
cze,2012,2
cze,2013,1.9
cze,2014,2.6
cze,2015,2.6
cze,2016,2.6
cze,2017,2.6
cze,2018,2.6
cze,2019,2.6
deu,2005,4
deu,2006,4
deu,2007,4
deu,2008,4.4
deu,2009,4.4
deu,2010,1.8
deu,2011,4.6
deu,2012,4.6
deu,2013,4.3
deu,2014,4.3
deu,2015,4.3
deu,2016,4.3
deu,2017,4.3
deu,2018,4.3
deu,2019,4.1
dji,2005,2.4
dji,2006,2.4
dji,2007,2.4
dji,2008,2.4
dji,2009,2.4
dji,2010,2.7
dji,2011,2.7
dji,2012,2.7
dji,2013,2.2
dji,2014,2.2
dji,2015,2.2
dji,2016,2.3
dji,2017,2.6
dji,2018,2.6
dji,2019,2.6
dma,2005,3.2
dma,2006,3.2
dma,2007,3.2
dma,2008,3.2
dma,2009,3.2
dma,2010,3.2
dma,2011,3.2
dma,2012,3.2
dma,2013,3
dma,2014,3
dma,2015,3
dma,2016,3
dma,2017,3
dma,2018,3
dma,2019,3
dnk,2005,3.3
dnk,2006,3
dnk,2007,3
dnk,2008,3
dnk,2009,2.3
dnk,2010,2.3
dnk,2011,2.3
dnk,2012,3.1
dnk,2013,3
dnk,2014,2.8
dnk,2015,2.8
dnk,2016,2.8
dnk,2017,2.8
dnk,2018,2.8
dnk,2019,2.8
dom,2005,1.6
dom,2006,1.6
dom,2007,1.1
dom,2008,1.1
dom,2009,1.1
dom,2010,1.1
dom,2011,1.1
dom,2012,1.2
dom,2013,1.1
dom,2014,1.1
dom,2015,1.1
dom,2016,1.1
dom,2017,1.1
dom,2018,1.1
dom,2019,1.1
dza,2005,35.7
dza,2006,35.7
dza,2007,35.7
dza,2008,35.7
dza,2009,35.7
dza,2010,35.7
dza,2011,35.7
dza,2012,35.7
dza,2013,35.7
dza,2014,35.6
dza,2015,35.6
dza,2016,26.7
dza,2017,26.9
dza,2018,26.9
dza,2019,26.9
ecu,2005,2.6
ecu,2006,2.6
ecu,2007,2.6
ecu,2008,2.6
ecu,2009,2.6
ecu,2010,3.1
ecu,2011,3.1
ecu,2012,3.1
ecu,2013,2.9
ecu,2014,2.9
ecu,2015,2.9
ecu,2016,2.5
ecu,2017,2.5
ecu,2018,2.5
ecu,2019,2.5
egy,2005,7.4
egy,2006,7.4
egy,2007,5.8
egy,2008,3.6
egy,2009,3.5
egy,2010,3.5
egy,2011,3.5
egy,2012,3.5
egy,2013,3.5
egy,2014,4.4
egy,2015,4.4
egy,2016,4.4
egy,2017,4.4
egy,2018,4.4
egy,2019,4.4
eri,2005,75.8
eri,2006,75.8
eri,2007,75.8
eri,2008,75.8
eri,2009,76.8
eri,2010,75.8
eri,2011,75.8
eri,2012,75.8
eri,2013,74.6
eri,2014,74.6
eri,2015,74.6
eri,2016,74.6
eri,2017,74.6
eri,2018,74.6
eri,2019,74.6
esp,2005,0.6
esp,2006,0.6
esp,2007,0.7
esp,2008,0.7
esp,2009,0.8
esp,2010,0.9
esp,2011,0.9
esp,2012,0.9
esp,2013,0.9
esp,2014,0.9
esp,2015,0.8
esp,2016,0.7
esp,2017,0.7
esp,2018,0.7
esp,2019,0.7
est,2005,0.7
est,2006,0.7
est,2007,0.7
est,2008,0.7
est,2009,1.6
est,2010,1.2
est,2011,10
est,2012,19
est,2013,2
est,2014,2
est,2015,2
est,2016,2
est,2017,2
est,2018,2
est,2019,2.1
eth,2005,2.7
eth,2006,2.7
eth,2007,2.7
eth,2008,2.7
eth,2009,2.7
eth,2010,2.7
eth,2011,2.7
eth,2012,2.7
eth,2013,0.7
eth,2014,0.7
eth,2015,0.7
eth,2016,0.7
eth,2017,0.7
eth,2018,0.7
eth,2019,0.7
fin,2005,1
fin,2006,1
fin,2007,1
fin,2008,1
fin,2009,1
fin,2010,1
fin,2011,1.2
fin,2012,1.2
fin,2013,1.2
fin,2014,1.3
fin,2015,1.3
fin,2016,1.3
fin,2017,1.3
fin,2018,1.5
fin,2019,1.5
fji,2005,0.2
fji,2006,0.2
fji,2007,0.2
fji,2008,0.2
fji,2009,0.2
fji,2010,0.2
fji,2011,0.2
fji,2012,0.2
fji,2013,0.1
fji,2014,0.1
fji,2015,0.1
fji,2016,0.1
fji,2017,0.1
fji,2018,0.1
fji,2019,0.1
fra,2005,9.7
fra,2006,9.7
fra,2007,9.7
fra,2008,9.7
fra,2009,9.7
fra,2010,9.7
fra,2011,9.6
fra,2012,12.2
fra,2013,11.9
fra,2014,11.9
fra,2015,11.7
fra,2016,10.4
fra,2017,10.5
fra,2018,10.5
fra,2019,10.5
fsm,2005,52.9
fsm,2006,52.9
fsm,2007,52
fsm,2008,52
fsm,2009,52
fsm,2010,52
fsm,2011,52
fsm,2012,52
fsm,2013,52.1
fsm,2014,52.1
fsm,2015,52.1
fsm,2016,52.1
fsm,2017,52.1
fsm,2018,52.1
fsm,2019,52.1
gab,2005,1.6
gab,2006,1.6
gab,2007,1.6
gab,2008,1.6
gab,2009,1.6
gab,2010,1.6
gab,2011,1.6
gab,2012,1.6
gab,2013,1.4
gab,2014,1.4
gab,2015,1.4
gab,2016,1.4
gab,2017,1.4
gab,2018,1.4
gab,2019,1.4
gbr,2005,1.5
gbr,2006,1.5
gbr,2007,1.5
gbr,2008,1.5
gbr,2009,1.6
gbr,2010,1.7
gbr,2011,1.6
gbr,2012,1.7
gbr,2013,1.5
gbr,2014,1.6
gbr,2015,1.6
gbr,2016,1.6
gbr,2017,1.7
gbr,2018,1.9
gbr,2019,2
geo,2005,12.3
geo,2006,2
geo,2007,2
geo,2008,2
geo,2009,2
geo,2010,2
geo,2011,2.2
geo,2012,2.2
geo,2013,2.1
geo,2014,2.1
geo,2015,2.1
geo,2016,2.1
geo,2017,2.1
geo,2018,2.1
geo,2019,2.1
gha,2005,0.2
gha,2006,0.2
gha,2007,0.2
gha,2008,0.3
gha,2009,0.3
gha,2010,0.3
gha,2011,0.3
gha,2012,0.2
gha,2013,0
gha,2014,0
gha,2015,0
gha,2016,0
gha,2017,0
gha,2018,0
gha,2019,30.7
gin,2005,54.3
gin,2006,54.3
gin,2007,54.3
gin,2008,54.3
gin,2009,54.3
gin,2010,54.3
gin,2011,54.3
gin,2012,54.4
gin,2013,32.8
gin,2014,32.8
gin,2015,32.8
gin,2016,32.8
gin,2017,32.8
gin,2018,32.8
gin,2019,40.7
gmb,2005,261
gmb,2006,267.1
gmb,2007,267.1
gmb,2008,267.1
gmb,2009,267.5
gmb,2010,266.9
gmb,2011,258.2
gmb,2012,258.2
gmb,2013,253.3
gmb,2014,41.3
gmb,2015,32.5
gmb,2016,32.5
gmb,2017,32.5
gmb,2018,37.9
gmb,2019,11.3
gnb,2005,6.1
gnb,2006,6.1
gnb,2007,6.1
gnb,2008,6.1
gnb,2009,6.1
gnb,2010,6.1
gnb,2011,6.1
gnb,2012,6.1
gnb,2013,5.6
gnb,2014,5.6
gnb,2015,5.6
gnb,2016,5.6
gnb,2017,5.6
gnb,2018,5.6
gnb,2019,5.6
gnq,2005,1
gnq,2006,1
gnq,2007,1
gnq,2008,1
gnq,2009,1
gnq,2010,1
gnq,2011,1
gnq,2012,1
gnq,2013,1
gnq,2014,1
gnq,2015,1
gnq,2016,1
gnq,2017,1
gnq,2018,1
gnq,2019,1
grc,2005,0.9
grc,2006,0.9
grc,2007,0.9
grc,2008,0.9
grc,2009,0.9
grc,2010,0.9
grc,2011,0.7
grc,2012,0.7
grc,2013,0.7
grc,2014,0.7
grc,2015,0.6
grc,2016,0.6
grc,2017,0.6
grc,2018,0.6
grc,2019,0.6
grd,2005,12.1
grd,2006,12.1
grd,2007,12.1
grd,2008,12.1
grd,2009,12.1
grd,2010,12.1
grd,2011,12.1
grd,2012,12.1
grd,2013,12.1
grd,2014,12.1
grd,2015,12.1
grd,2016,12.1
grd,2017,16.5
grd,2018,15.6
grd,2019,15.6
gtm,2005,0.7
gtm,2006,0.7
gtm,2007,0.7
gtm,2008,0.7
gtm,2009,0.7
gtm,2010,0.7
gtm,2011,0.7
gtm,2012,0.7
gtm,2013,0.7
gtm,2014,0.7
gtm,2015,0.7
gtm,2016,0.7
gtm,2017,0.7
gtm,2018,0.7
gtm,2019,0.7
guy,2005,2.6
guy,2006,2.6
guy,2007,2.6
guy,2008,2.6
guy,2009,2.6
guy,2010,2.6
guy,2011,2.5
guy,2012,2.5
guy,2013,1.7
guy,2014,1.7
guy,2015,1.7
guy,2016,1.7
guy,2017,1.7
guy,2018,1.7
guy,2019,1.7
hkg,2005,0.2
hkg,2006,0.2
hkg,2007,0.2
hkg,2008,0.2
hkg,2009,0.2
hkg,2010,0.1
hkg,2011,0.1
hkg,2012,0.1
hkg,2013,0.1
hkg,2014,0.1
hkg,2015,0.1
hkg,2016,0.1
hkg,2017,0.1
hkg,2018,0.1
hkg,2019,0.1
hnd,2005,1.3
hnd,2006,1.3
hnd,2007,1.3
hnd,2008,1.3
hnd,2009,1.3
hnd,2010,1.3
hnd,2011,1.3
hnd,2012,1.3
hnd,2013,1.1
hnd,2014,1.1
hnd,2015,1.1
hnd,2016,1.1
hnd,2017,1.1
hnd,2018,1.1
hnd,2019,1.1
hrv,2005,1.4
hrv,2006,1.4
hrv,2007,1.4
hrv,2008,1.4
hrv,2009,1.4
hrv,2010,2.1
hrv,2011,1.9
hrv,2012,1.8
hrv,2013,1.4
