geo,time,er_h2o_fwtl_k3
cod,2002,0.6239
cod,2007,0.6836
cod,2012,0.6836
cod,2017,0.6836
cog,1987,0.04
cog,1992,0.042
cog,1997,0.044
cog,2002,0.046
cog,2007,0.046
cog,2012,0.046
cog,2017,0.046
col,2002,8.75125
col,2007,11.26437
col,2012,12.68245
col,2017,13.60191
com,2002,0.01
com,2007,0.01
com,2012,0.01
com,2017,0.01
cpv,2002,0.0228
cpv,2007,0.0253
cpv,2012,0.0253
cpv,2017,0.0253
cri,2012,2.339
cri,2017,3.194
cub,1997,5.22113
cub,2002,5.24606
cub,2007,4.9363
cub,2012,6.64538
cub,2017,6.958
cyp,1977,0.1638
cyp,1982,0.1862
cyp,1987,0.2104
cyp,1992,0.213
cyp,1997,0.18114
cyp,2002,0.1707
cyp,2007,0.1641
cyp,2012,0.2553
cyp,2017,0.216
cze,1997,2.4925
cze,2002,1.9081
cze,2007,1.9696
cze,2012,1.8404
cze,2017,1.63
deu,1992,46.004
deu,1997,42.6552
deu,2002,36.95714
deu,2007,32.26
deu,2012,27.88067
deu,2017,24.443
dji,1987,0.00947
dji,1992,0.01313
dji,1997,0.0168
dji,2002,0.019
dji,2007,0.019
dji,2012,0.019
dji,2017,0.019
dma,1997,0.0166
dma,2002,0.0166
dma,2007,0.0183
dma,2012,0.02
dma,2017,0.02
dnk,1972,0.914
dnk,1977,1.205
dnk,1982,1.405
dnk,1987,1.33833
dnk,1992,1.18936
dnk,1997,0.9175
dnk,2002,0.6534
dnk,2007,0.5554
dnk,2012,0.7285
dnk,2017,0.7411
dom,2002,5.107
dom,2007,6.1444
dom,2012,7.92476
dom,2017,9.0779
dza,1972,2.2
dza,1977,2.7
dza,1982,3.2
dza,1987,3.9
dza,1992,4.67542
dza,1997,5.27396
dza,2002,6.04361
dza,2007,6.9268
dza,2012,7.8
dza,2017,9.802
ecu,2002,9.5861
ecu,2007,9.9158
ecu,2012,9.9158
ecu,2017,9.9158
egy,1977,48.96667
egy,1982,50.88333
egy,1987,52.8
egy,1992,54.69167
egy,1997,62.09294
egy,2002,69.31
egy,2007,73.6275
egy,2012,63.7
egy,2017,64.2
eri,2002,0.4977
eri,2007,0.582
eri,2012,0.582
eri,2017,0.582
esp,1977,37.616
esp,1982,42.052
esp,1987,44.0416
esp,1992,36.41667
esp,1997,34.5
esp,2002,35.507
esp,2007,34.976
esp,2012,36.75
esp,2017,31.224
est,1992,2.63
est,1997,1.37383
est,2002,1.4134
est,2007,1.8339
est,2012,1.631
est,2017,1.784
eth,2002,5.558
eth,2007,8.34999
eth,2012,9.57101
eth,2017,10.5481
fin,1972,3.4
fin,1977,3.61
fin,1982,3.82
fin,1987,3.3308
fin,1992,2.4306
fin,1997,2.45685
fin,2002,4.15127
fin,2007,6.562
fin,2012,6.562
fin,2017,6.562
fji,1987,0.03
fji,1992,0.04988
fji,1997,0.06977
fji,2002,0.08298
fji,2007,0.0849
fji,2012,0.0849
fji,2017,0.0849
fra,1982,32.5316
fra,1987,36.0022
fra,1992,39.219
fra,1997,30.331
fra,2002,32.354
fra,2007,30.992
fra,2012,28.063
fra,2017,26.436
gab,1987,0.06
gab,1992,0.08319
gab,1997,0.10638
gab,2002,0.12782
gab,2007,0.1391
gab,2012,0.1391
gab,2017,0.1391
gbr,1982,12.688
gbr,1987,11.708
gbr,1992,12.048
gbr,1997,12.24758
gbr,2002,12.64154
gbr,2007,8.513
gbr,2012,8.017
gbr,2017,8.419
geo,1992,3.15751
geo,1997,2.38127
geo,2002,1.87452
geo,2007,1.81967
geo,2012,1.823
geo,2017,1.823
gha,1972,0.34547
gha,1977,0.45913
gha,1982,0.5728
gha,1987,0.68647
gha,1992,0.80013
gha,1997,0.9138
gha,2002,1.03625
gha,2007,1.17188
gha,2012,1.3155
gha,2017,1.4486
gin,1987,0.74
gin,1992,0.67769
gin,1997,0.61538
gin,2002,0.56125
gin,2007,0.574
gin,2012,0.574
gin,2017,0.574
gmb,1982,0.02
gmb,1987,0.03993
gmb,1992,0.05985
gmb,1997,0.07978
gmb,2002,0.09494
gmb,2007,0.1016
gmb,2012,0.1016
gmb,2017,0.1016
gnb,1992,0.04828
gnb,1997,0.175
gnb,2002,0.175
gnb,2007,0.175
gnb,2012,0.175
gnb,2017,0.175
gnq,1987,0.01
gnq,1992,0.01285
gnq,1997,0.01569
gnq,2002,0.01836
gnq,2007,0.0198
gnq,2012,0.0198
gnq,2017,0.0198
grc,1972,4.26272
grc,1977,4.57748
grc,1982,5.2124
grc,1987,6.4324
grc,1992,8.038
grc,1997,8.685
grc,2002,9.236
grc,2007,9.6197
grc,2012,9.935
grc,2017,11.24
grd,2005,0.01
grd,2014,0.0141
gtm,2002,2.60674
gtm,2007,3.3241
gtm,2012,3.3241
gtm,2017,3.3241
guy,1992,1.46
guy,1997,1.5725
guy,2002,1.60928
guy,2007,1.5158
guy,2012,1.4447
guy,2017,1.4447
hnd,2007,1.607
hnd,2012,1.607
hnd,2017,1.607
hrv,2002,0.5735
hrv,2007,0.65097
hrv,2012,0.661
hrv,2017,0.6729
hti,1992,1.05608
hti,1997,1.30823
hti,2002,1.3673
hti,2007,1.42637
hti,2012,1.45
hti,2017,1.45
hun,1972,3.37456
hun,1977,4.30148
hun,1982,5.4232
hun,1987,6.57521
hun,1992,7.137
hun,1997,5.96883
hun,2002,5.76
hun,2007,5.48667
hun,2012,5.051
hun,2017,4.499
idn,1992,82.11504
idn,1997,101.58619
idn,2002,126.94062
idn,2007,161.11719
idn,2012,195.29375
idn,2017,222.635
ind,1977,403.34
ind,1982,461.69
ind,1987,498.02
ind,1992,522.0799
ind,1997,577.2795
ind,2002,640.51948
ind,2007,715.81943
ind,2012,647.5
ind,2017,647.5
irl,1982,1.08514
irl,1987,1.123
irl,1992,1.16086
irl,1997,1.07318
irl,2002,0.90182
irl,2007,0.73
irl,2012,0.757
irl,2017,0.757
irn,1977,47.78178
irn,1982,54.73739
irn,1987,61.69267
irn,1992,68.64511
irn,1997,85.197
irn,2002,90.7985
irn,2007,92.95
irn,2012,92.95
irn,2017,92.95
irq,1977,40.654
irq,1982,40.885
irq,1987,41.732
irq,1992,47.44
irq,1997,59.0326
irq,2002,62.27766
irq,2007,52.9903
irq,2012,43.69794
irq,2017,38.538
isl,1982,0.1096
isl,1987,0.134
isl,1992,0.167
isl,1997,0.1645
isl,2002,0.165
isl,2007,0.21407
isl,2012,0.294
isl,2017,0.29
isr,1972,1.5662
isr,1977,1.6192
isr,1982,1.7098
isr,1987,1.696
isr,1992,1.5516
isr,1997,1.5648
isr,2002,1.5435
isr,2007,1.3795
isr,2012,1.2624
isr,2017,1.198
ita,1972,42.67174
ita,1977,45.3471
ita,1982,45.80526
ita,1987,42.89261
ita,1992,42.12449
ita,1997,44.62541
ita,2002,41.73438
ita,2007,33.45632
ita,2012,33.98447
ita,2017,34.0457
jam,1997,1.04607
jam,2002,1.19429
jam,2007,1.3425
jam,2012,1.49071
jam,2017,1.35
jor,1977,0.4846
jor,1982,0.5686
jor,1987,0.7242
jor,1992,0.93614
jor,1997,0.82503
jor,2002,0.73866
jor,2007,0.932
jor,2012,0.849
jor,2017,0.9036
jpn,1982,88.75933
jpn,1987,90.15767
jpn,1992,91.4
jpn,1997,89.19
jpn,2002,84.45
jpn,2007,82.75
jpn,2012,81.222
jpn,2017,81.222
kaz,1997,27.0054
kaz,2002,22.26
kaz,2007,22.81
kaz,2012,21.39
kaz,2017,22.45
ken,1992,1.95118
ken,1997,1.70665
ken,2002,2.06664
ken,2007,2.83314
ken,2012,3.2188
ken,2017,4.032
kgz,1997,9.935
kgz,2002,9.289
kgz,2007,7.707
kgz,2012,7.707
kgz,2017,7.707
khm,2007,2.184
khm,2012,2.184
khm,2017,2.184
kna,2012,0.0122
kna,2017,0.0122
kor,1992,21.96143
kor,1997,25.44
kor,2002,29.168
kor,2007,29.197
kor,2012,29.197
kor,2017,29.197
kwt,1997,0.31322
kwt,2002,0.415
kwt,2007,0.51685
kwt,2012,0.61869
kwt,2017,0.7701
lao,2007,4.399
lao,2012,6.664
lao,2017,7.32
lbn,1977,0.80784
lbn,1982,0.95068
lbn,1987,1.09332
lbn,1992,1.23416
lbn,1997,1.361
lbn,2002,1.2168
lbn,2007,1.2392
lbn,2012,1.5972
lbn,2017,1.812
lbr,1987,0.13
lbr,1992,0.13031
lbr,1997,0.13062
lbr,2002,0.13684
lbr,2007,0.1459
lbr,2012,0.1459
lbr,2017,0.1459
lby,1977,1.308
lby,1982,2.128
lby,1987,3.773
lby,1992,4.68
lby,1997,4.46284
lby,2002,4.5394
lby,2007,5.12464
lby,2012,5.72
lby,2017,5.72
lca,2007,0.0429
lca,2012,0.0429
lca,2017,0.0429
lka,1992,10.41732
lka,1997,12.03812
lka,2002,12.98476
lka,2007,12.946
lka,2012,12.946
lka,2017,12.946
lso,1987,0.05
lso,1992,0.04684
lso,1997,0.04368
lso,2002,0.0438
lso,2007,0.0438
lso,2012,0.0438
lso,2017,0.0438
ltu,1997,3.80897
ltu,2002,2.58976
ltu,2007,2.264
ltu,2012,0.5368
ltu,2017,0.259
lux,1972,0.03788
lux,1977,0.04138
lux,1982,0.05062
lux,1987,0.065
lux,1992,0.06
lux,1997,0.0589
lux,2002,0.05666
lux,2007,0.04976
lux,2012,0.0446
lux,2017,0.0456
lva,1997,0.35996
lva,2002,0.2445
lva,2007,0.2066
lva,2012,0.2482
lva,2017,0.1811
mar,1977,9.42
mar,1982,10.43
mar,1987,10.592
mar,1992,11.0416
mar,1997,11.65206
mar,2002,14.813
mar,2007,12.163
mar,2012,10.573
mar,2017,10.573
mco,1992,0.0065
mco,1997,0.006
mco,2002,0.0058
mco,2007,0.0055
mco,2012,0.005
mco,2017,0.005
mda,1992,1.963
mda,1997,1.48895
mda,2002,0.866
mda,2007,0.854
mda,2012,0.85
mda,2017,0.84
mdg,1987,15.75299
mdg,1992,14.8363
mdg,1997,13.91961
mdg,2002,13.40476
mdg,2007,13.5569
mdg,2012,13.5569
mdg,2017,13.5569
mdv,1987,0.0034
mdv,1992,0.00371
mdv,1997,0.00493
mdv,2002,0.00507
mdv,2007,0.00464
mdv,2012,0.0047
mdv,2017,0.0047
mex,1982,57.19009
mex,1987,60.2403
mex,1992,63.29051
mex,1997,66.34073
mex,2002,72.3
mex,2007,78.65
mex,2012,82.73
mex,2017,87.84
mkd,1997,1.33925
mkd,2002,0.6332
mkd,2007,0.5512
mkd,2012,0.6328
mkd,2017,1.044
mli,1987,1.36
mli,1992,2.71509
mli,1997,4.05584
mli,2002,5.10326
mli,2007,5.186
mli,2012,5.186
mli,2017,5.186
mlt,1982,0.0248
mlt,1987,0.02618
mlt,1992,0.02438
mlt,1997,0.02636
mlt,2002,0.034
mlt,2007,0.0368
mlt,2012,0.0401
mlt,2017,0.043
mmr,1987,28.256
mmr,1992,30.16727
mmr,1997,32.07854
mmr,2002,33.231
mmr,2007,33.231
mmr,2012,33.231
mmr,2017,33.231
mne,2007,0.16943
mne,2012,0.1609
mne,2017,0.1609
mng,1997,0.46246
mng,2002,0.50554
mng,2007,0.54367
mng,2012,0.4903
mng,2017,0.4624
moz,1992,0.65811
moz,1997,0.79089
moz,2002,0.95005
moz,2007,1.16675
moz,2012,1.35816
moz,2017,1.473
mrt,1982,1.08923
mrt,1987,1.62449
mrt,1992,1.61353
mrt,1997,1.60458
mrt,2002,1.4711
mrt,2007,1.3482
mrt,2012,1.3482
mrt,2017,1.3482
mus,1977,0.38747
mus,1982,0.45613
mus,1987,0.5248
mus,1992,0.5856
mus,1997,0.613
mus,2002,0.68667
mus,2007,0.63
mus,2012,0.582
mus,2017,0.61
mwi,1997,1.08613
mwi,2002,1.33802
mwi,2007,1.3568
mwi,2012,1.3568
mwi,2017,1.3568
mys,1992,8.64743
mys,1997,5.52305
mys,2002,5.71832
mys,2007,5.91358
mys,2012,6.10884
mys,2017,6.707
nam,1987,0.1762
nam,1992,0.2547
nam,1997,0.2749
nam,2002,0.2819
nam,2007,0.2819
nam,2012,0.2819
nam,2017,0.2819
ner,1992,0.61379
ner,1997,0.75602
ner,2002,0.89826
ner,2007,1.10091
ner,2012,1.39419
ner,2017,1.7472
nga,1987,5.59
nga,1992,7.40085
nga,1997,9.21538
nga,2002,10.8102
nga,2007,11.9314
nga,2012,12.472
nga,2017,12.472
nic,2002,1.45583
nic,2007,1.5308
nic,2012,1.5433
nic,2017,1.5433
nld,1982,9.2584
nld,1987,8.8026
nld,1992,7.6878
nld,1997,6.9885
nld,2002,9.57357
nld,2007,10.94
nld,2012,10.72
nld,2017,7.9884
nor,1982,2.0525
nor,1987,2.18371
nor,1992,2.31493
nor,1997,2.39603
nor,2002,2.55404
nor,2007,3.026
nor,2012,2.7318
nor,2017,2.6911
npl,2002,9.53634
npl,2007,9.4971
npl,2012,9.4971
npl,2017,9.4971
nzl,1982,1.48
nzl,1987,2.07714
nzl,1992,2.52
nzl,1997,2.96286
nzl,2002,3.89771
nzl,2007,4.98125
nzl,2012,7.538
nzl,2017,9.875
omn,1992,1.21063
omn,1997,1.24479
omn,2002,1.2565
omn,2007,1.3652
omn,2012,1.5892
omn,2017,1.634
pak,1977,153.647
pak,1982,154.3445
pak,1987,155.042
pak,1992,157.48444
pak,1997,166.90667
pak,2002,175.1115
pak,2007,181.94625
pak,2012,187.88
pak,2017,200
pan,2012,1.15553
pan,2017,1.2114
per,2012,14.83727
per,2017,16.10954
phl,2007,81.496
phl,2012,84.248
phl,2017,92.75
png,2002,0.31968
png,2007,0.3921
png,2012,0.3921
png,2017,0.3921
pol,1972,11.4806
pol,1977,14.1716
pol,1982,15.6438
pol,1987,15.9146
pol,1992,13.38
pol,1997,12.793
pol,2002,11.719
pol,2007,12.02
pol,2012,11.47
pol,2017,10.08
pri,1992,0.80936
pri,1997,0.83876
pri,2002,0.9132
pri,2007,1.00584
pri,2012,0.9602
pri,2017,0.875
prk,2002,8.59648
prk,2007,8.6578
prk,2012,8.6578
prk,2017,8.6578
prt,1992,10.07016
prt,1997,11.70697
prt,2002,11.25369
prt,2007,9.146
prt,2012,9.146
prt,2017,9.146
pry,1987,0.43
pry,1992,0.45308
pry,1997,0.47615
pry,2002,0.82397
pry,2007,1.65889
pry,2012,2.413
pry,2017,2.413
pse,2001,0.269
pse,2005,0.408
qat,1977,0.1642
qat,1982,0.1997
qat,1987,0.2352
qat,1992,0.1887
qat,1997,0.1623
qat,2002,0.18674
qat,2007,0.2253
qat,2012,0.24605
qat,2017,0.2508
rou,1972,11.514
rou,1977,16.16
rou,1982,19.48
rou,1987,20.464
rou,1992,20.09667
rou,1997,12.46
rou,2002,9.222
rou,2007,6.884
rou,2012,6.482
rou,2017,6.773
rus,1992,99.6
rus,1997,72.49857
rus,2002,65.76667
rus,2007,63.6
rus,2012,64
rus,2017,64.41
rwa,2002,0.16356
rwa,2007,0.1839
rwa,2012,0.1839
rwa,2017,0.1839
sau,1992,16.12
sau,1997,18.36863
sau,2002,20.34672
sau,2007,22.46708
sau,2012,21.6025
sau,2017,21.2
sdn,2012,26.935
sdn,2017,26.935
sen,1987,1.36
sen,1992,1.44844
sen,1997,1.53688
sen,2002,2.22095
sen,2007,2.22095
sen,2012,2.22095
sen,2017,2.22095
sgp,1977,0.32604
sgp,1982,0.66616
sgp,1987,1.00627
sgp,1992,1.33918
sgp,1997,1.67929
sgp,2002,2.02947
sgp,2007,1.89037
sgp,2012,0.9602
sgp,2017,0.4921
sle,1987,0.37
sle,1992,0.12601
sle,1997,0.16532
sle,2002,0.19822
sle,2007,0.2122
sle,2012,0.2122
sle,2017,0.2122
slv,1992,0.7289
slv,1997,1.13321
slv,2002,1.67268
slv,2007,2.118
slv,2012,2.118
slv,2017,2.118
som,1987,0.81
som,1992,1.76381
som,1997,2.71762
som,2002,3.2953
som,2007,3.298
som,2012,3.298
som,2017,3.298
srb,2007,3.9578
srb,2012,4.403
srb,2017,5.377
ssd,2012,0.658
ssd,2017,0.658
stp,1997,0.0129
stp,2002,0.02027
stp,2007,0.02763
stp,2012,0.035
stp,2017,0.0409
sur,1987,0.46
sur,1992,0.54077
sur,1997,0.62154
sur,2002,0.65197
sur,2007,0.6159
sur,2012,0.6159
sur,2017,0.6159
svk,1997,1.31
svk,2002,1.0944
svk,2007,0.6879
svk,2012,0.6653
svk,2017,0.5563
svn,2002,0.8992
svn,2007,0.9354
svn,2012,0.928
svn,2017,0.9314
swe,1972,4.0978
swe,1977,4.1234
swe,1982,3.6516
swe,1987,2.9715
swe,1992,2.973
swe,1997,2.711
swe,2002,2.676
swe,2007,2.63
swe,2012,2.5634
swe,2017,2.375
swz,1982,0.6955
swz,1987,0.79175
swz,1992,0.888
swz,1997,0.98425
swz,2002,1.0524
swz,2007,1.068
swz,2012,1.068
swz,2017,1.068
syc,1992,0.01177
syc,1997,0.01155
syc,2002,0.01134
syc,2007,0.01129
syc,2012,0.01129
syc,2017,0.01129
syr,1977,4.38756
syr,1982,7.00644
syr,1987,9.62533
syr,1992,12.24422
syr,1997,14.427
syr,2002,16.359
syr,2007,14.1444
syr,2012,13.9644
syr,2017,13.9644
tcd,1987,0.181
tcd,1992,0.41112
tcd,1997,0.64124
tcd,2002,0.86136
tcd,2007,0.8796
tcd,2012,0.8796
tcd,2017,0.8796
tgo,1987,0.091
tgo,1992,0.12126
tgo,1997,0.15151
tgo,2002,0.169
tgo,2007,0.223
tgo,2012,0.223
tgo,2017,0.223
tha,2007,57.307
tha,2012,57.307
tha,2017,57.307
tjk,1997,11.59
tjk,2002,11.50493
tjk,2007,11.10869
tjk,2012,10.67813
tjk,2017,10.4198
tkm,1997,24.26255
tkm,2002,26.00237
tkm,2007,27.865
tkm,2012,27.865
tkm,2017,27.865
tls,2007,1.172
tls,2012,1.172
tls,2017,1.172
tto,1997,0.297
tto,2002,0.3264
tto,2007,0.31807
tto,2012,0.3362
tto,2017,0.3362
tun,1977,1.402
tun,1982,2.06
tun,1987,2.61
tun,1992,2.9798
tun,1997,2.7602
tun,2002,2.824
tun,2007,2.899
tun,2012,3.4755
tun,2017,4.768
tur,1992,31.5995
tur,1997,34.97361
tur,2002,39.87833
tur,2007,41.46963
tur,2012,50.51
tur,2017,60.01
tza,1997,2.87228
tza,2002,5.184
tza,2007,5.184
tza,2012,5.184
tza,2017,5.184
uga,1972,0.20864
uga,1977,0.23024
uga,1982,0.25184
uga,1987,0.27344
uga,1992,0.29504
uga,1997,0.31664
uga,2002,0.36155
uga,2007,0.59109
uga,2012,0.637
uga,2017,0.637
ukr,1992,26
ukr,1997,21.177
ukr,2002,17.0024
ukr,2007,14.988
ukr,2012,12.8745
ukr,2017,8.635
ury,1967,0.822
ury,1972,1.252
ury,1977,1.682
ury,1982,2.112
ury,1987,2.542
ury,1992,2.972
ury,1997,3.402
ury,2002,3.66
ury,2007,3.66
ury,2012,3.66
ury,2017,3.66
usa,1982,507.1
usa,1987,480.85
usa,1992,466.8
usa,1997,471.05
usa,2002,475.6
usa,2007,454.68
usa,2012,429.03844
usa,2017,444.39611
uzb,1997,53.57114
uzb,2002,52.595
uzb,2007,49.44889
uzb,2012,50.17111
uzb,2017,58.9
vct,1997,0.0099
vct,2002,0.00942
vct,2007,0.0091
vct,2012,0.0081
vct,2017,0.0079
ven,1972,4.43059
ven,1977,5.25829
ven,1982,6.08564
ven,1987,6.91299
ven,1992,7.73514
ven,1997,8.56249
ven,2002,13.02778
ven,2007,22.6211
ven,2012,22.6211
ven,2017,22.6211
vnm,1982,40.824
vnm,1987,47.7692
vnm,1992,55.5772
vnm,1997,65.7252
vnm,2002,75.9004
vnm,2007,81.862
vnm,2012,81.862
vnm,2017,81.862
yem,1992,3.0156
yem,1997,3.2496
yem,2002,3.4564
yem,2007,3.565
yem,2012,3.565
yem,2017,3.565
zaf,1992,13.1282
zaf,1997,12.84
zaf,2002,12.80095
zaf,2007,12.97082
zaf,2012,13.66369
zaf,2017,19.38
zmb,1992,1.747
zmb,1997,1.65575
zmb,2002,1.572
zmb,2007,1.572
zmb,2012,1.572
zmb,2017,1.572
zwe,1987,1.22
zwe,1992,2.215
zwe,1997,3.21
zwe,2002,4.205
zwe,2007,3.57
zwe,2012,3.46062
zwe,2017,3.339
