geo,time,ic_elc_durs
svk,2005,7.4
svk,2009,25
svk,2013,39.1
svk,2019,21.5
svn,2002,9.6
svn,2005,12.7
svn,2009,60.8
svn,2013,53.3
svn,2019,56.9
swe,2014,24.3
swe,2020,17.5
swz,2006,16.9
swz,2016,11.3
syr,2009,118.4
tcd,2009,10.6
tcd,2018,69.6
tgo,2009,53.9
tgo,2016,71.9
tha,2006,27.9
tjk,2002,12.5
tjk,2003,11.6
tjk,2005,5.3
tjk,2008,28.3
tjk,2013,18.2
tjk,2019,8.9
tls,2009,9.1
tls,2015,9.5
ton,2009,8.3
tto,2010,18.8
tun,2020,128.3
tur,2002,2.7
tur,2004,6.4
tur,2005,11.1
tur,2008,7.4
tur,2013,7.1
tur,2019,6.9
tza,2006,44.3
tza,2013,52.6
uga,2006,33
uga,2013,18.1
ukr,2002,23.9
ukr,2005,33.5
ukr,2008,47.8
ukr,2013,8.4
ukr,2019,51.5
ury,2006,38.6
ury,2010,15.5
ury,2017,34.2
uzb,2002,7.7
uzb,2005,8.3
uzb,2008,28
uzb,2013,6
uzb,2019,9.3
vct,2010,9.2
ven,2006,25.4
ven,2010,13.9
vnm,2009,29.6
vnm,2015,18.5
vut,2009,15.3
wsm,2009,9.8
yem,2010,68.2
zaf,2007,15.8
zaf,2020,11.9
zmb,2007,97
zmb,2013,20.5
zmb,2019,61.7
zwe,2011,30
zwe,2016,22.2
