geo,time,se_sec_cuat_up_zs
hnd,2018,23.06662
hnd,2019,29.94292
hrv,2001,59.60198
hrv,2011,70.70597
hti,1971,2.26097
hti,1982,0.64525
hun,1970,15.88926
hun,1980,30.56588
hun,1990,40.8641
hun,2001,55.074
hun,2005,63.55242
hun,2009,74.53801
hun,2010,75.69111
hun,2011,76.65756
hun,2012,77.63198
hun,2013,78.48742
hun,2014,74.12236
hun,2015,75.09918
hun,2016,76.05978
hun,2020,80.0115
idn,1980,5.75835
idn,2006,26.40831
idn,2007,26.00787
idn,2008,26.20051
idn,2009,27.84471
idn,2011,28.93486
idn,2014,31.09284
idn,2015,32.26202
idn,2016,33.73175
idn,2018,34.60136
idn,2020,38.10226
ind,2011,26.88855
irl,1991,41.67169
irl,2007,60.54349
irl,2010,66.58547
irl,2011,66.3703
irl,2017,70.77677
irn,2006,43.35366
irn,2008,39.13467
irn,2010,42.48559
irn,2012,44.23712
irn,2013,46.31185
irn,2014,46.95283
irn,2016,48.38577
irq,2013,29.72406
isl,2005,60.74126
isl,2019,73.86715
isl,2020,74.14498
isr,2004,51.74616
isr,2007,76.76325
isr,2009,77.34143
isr,2010,77.59003
isr,2011,78.53988
isr,2012,80.29424
isr,2013,80.65508
isr,2014,81.23329
isr,2015,81.44175
ita,1981,15.3
ita,2001,35.44435
ita,2005,40.49738
ita,2006,41.40566
ita,2007,43.08965
ita,2008,43.99956
ita,2009,44.72695
ita,2010,45.50069
ita,2011,46.16074
ita,2012,47.284
ita,2014,48.64048
ita,2015,49.15258
ita,2020,52.45603
jor,2008,41.04938
jor,2010,41.35471
jor,2018,43.73172
jor,2020,50.24364
jpn,1970,38.57977
jpn,1980,54.012
jpn,1990,65.6371
jpn,2010,80.33936
kaz,1999,70.51832
kaz,2007,96.30823
kaz,2009,85.23374
kaz,2018,97.39979
ken,2009,27.05629
ken,2010,22.02861
kgz,1999,76.97304
kgz,2009,88.37019
khm,2007,6.42406
khm,2008,3.00848
khm,2009,6.26352
khm,2014,10.07129
khm,2015,9.29681
kor,1970,15.66034
kor,1980,27.61752
kor,1985,56.96377
kor,1990,48.4
kor,1995,56.46121
kor,2000,63.7146
kor,2005,69.2535
kor,2009,66.03619
kor,2010,72.7248
kor,2015,76.4499
kwt,1975,16.8
kwt,1980,24.92353
kwt,1985,31.71997
kwt,1988,31.50116
kwt,2005,25.36317
kwt,2006,25.56171
kwt,2007,25.62124
kwt,2008,26.53352
kwt,2012,32.69662
kwt,2013,28.33675
kwt,2015,29.90127
kwt,2017,30.60307
kwt,2018,31.19643
lbn,1970,8
lbn,2007,32.92844
lbr,1974,5.5007
lby,1984,11.2
lca,1970,1
lca,1980,1.29572
lca,2010,38.29705
lca,2013,40.14284
lca,2019,41.25254
lie,2000,71.49406
lka,1971,11.64674
lka,2001,56.10404
lka,2016,61.67864
lka,2017,62.50391
lka,2018,63.03447
lka,2019,62.30459
lso,2008,13.80993
ltu,2005,74.17682
ltu,2006,75.85506
ltu,2007,76.53515
ltu,2008,78.35047
ltu,2009,79.4271
ltu,2010,80.54962
ltu,2011,81.66578
ltu,2012,81.55287
ltu,2013,82.31009
ltu,2014,83.32887
ltu,2015,84.3143
ltu,2016,86.22185
ltu,2017,87.30721
ltu,2020,89.86581
lux,2001,39.94764
lux,2003,50.52935
lux,2007,61.72164
lux,2009,75.26008
lux,2010,75.52083
lux,2011,74.91494
lux,2012,76.24888
lux,2013,78.298
lux,2014,79.56585
lux,2015,69.07166
lva,2004,79.05493
lva,2005,80.07761
lva,2006,79.83437
lva,2007,80.32662
lva,2008,82.15969
lva,2009,83.68279
lva,2010,85.21156
