geo,time,sh_uhc_nop2_cg
jam,1992,5.26066
jam,1993,4.92715
jam,1994,1.47252
jam,1995,0.9891
jam,1996,1.16793
jam,1997,0.64215
jam,2002,1.37699
jam,2003,1.39516
jam,2004,1.35906
jor,2002,0.23176
jpn,2009,0.39348
jpn,2010,0.72994
jpn,2011,0.17265
jpn,2012,0.39314
jpn,2013,0.6888
jpn,2014,0.37104
jpn,2015,0.34595
kaz,1996,0.2181
kaz,2001,1.03623
kaz,2002,0.88939
kaz,2003,0.82126
kaz,2004,0.70142
kaz,2005,0.04724
kaz,2006,0.23712
kaz,2007,0.17465
kaz,2008,0.12008
kaz,2009,0.07234
kaz,2010,0.06792
kaz,2011,0.0131
kaz,2012,0.00886
kaz,2013,0.00999
kaz,2014,0.00258
kaz,2015,0.00651
ken,1997,3.30144
ken,2005,3.24869
ken,2015,3.64569
kgz,2005,2.09147
kgz,2006,1.32954
kgz,2007,1.52436
kgz,2008,0.68773
kgz,2009,1.00556
kgz,2010,1.04601
kgz,2011,1.004
kgz,2012,0.4163
kgz,2013,0.68513
kgz,2014,0.55917
kgz,2015,0.86155
kgz,2016,0.64473
khm,2009,9.18021
kor,2003,0.00569
kor,2004,0.00514
kor,2005,0.00006
kor,2006,0.01539
kor,2007,0.00903
kor,2008,0.00072
kor,2009,0.00923
kor,2010,0.00511
kor,2011,0.00839
kor,2012,0.00353
kor,2013,0.00348
kor,2014,0.00744
kor,2015,0.00454
kos,2003,0.87034
kos,2005,1.44746
kos,2006,1.49506
kos,2009,1.1384
kos,2010,1.43706
kos,2011,0.82349
kos,2016,0.42053
lao,2002,1.78095
lao,2007,1.30906
lbn,1999,0.03697
lka,1995,1.91894
lka,2012,0.53622
lka,2016,0.35799
lso,2002,0.85139
lso,2010,1.68136
ltu,1998,0.16581
ltu,1999,0.22918
ltu,2000,0.31997
ltu,2001,0.34717
ltu,2002,0.42113
ltu,2003,0.15974
ltu,2004,0.08608
ltu,2008,0.03155
ltu,2010,0.00311
lux,1998,0
lux,2010,0
lva,2000,0.31937
lva,2002,0.86563
lva,2003,0.72863
lva,2004,0.74009
lva,2005,0.28337
lva,2007,0.25905
lva,2008,0.277
lva,2009,0.51566
mar,1998,1.08775
mar,2000,1.79851
mar,2006,2.50091
mda,1999,3.7606
mda,2000,3.69452
mda,2001,3.24797
mda,2002,2.92438
mda,2003,2.4561
mda,2004,1.84455
mda,2005,2.92238
mda,2006,1.89871
mda,2007,0.96259
mda,2008,1.02941
mda,2009,0.86408
mda,2010,0.98621
mda,2011,0.51539
mda,2012,0.44208
mda,2013,0.31254
mda,2014,0.21393
mda,2015,0.17474
mda,2016,0.264
mdg,2001,1.19957
mdg,2005,0.77854
mdg,2010,1.12196
mdv,2004,0.85429
mdv,2009,2.70149
mex,2008,0.52846
mex,2010,0.44926
mex,2012,0.28737
mex,2014,0.41713
mex,2016,0.10066
mkd,1996,0.57811
mkd,1997,0.48161
mkd,1998,0.50206
mkd,1999,0.63132
mkd,2000,1.55135
mkd,2002,0.62933
mkd,2003,0.6949
mkd,2004,0.67503
mkd,2005,0.61076
mkd,2006,0.68259
mkd,2008,0.4119
mli,1994,2.66735
mli,2000,3.89966
mli,2001,2.72533
mli,2009,3.70086
mli,2011,4.13796
mli,2013,0.0053
mli,2014,4.73346
mli,2015,4.6644
mli,2016,4.64326
mlt,2010,0
mmr,2015,2.54455
mne,2005,0.08165
mne,2006,0.03273
mne,2007,0.17716
mne,2008,0.00639
mne,2009,0.02171
mne,2010,0.05835
mne,2011,0.1324
mne,2012,0.09656
mne,2013,0.06982
mne,2014,0.04545
mne,2015,0.13546
mng,2002,0.93897
mng,2007,0.48763
mng,2010,0.27654
mng,2011,0.2047
mng,2012,0.11374
mng,2014,0.36216
moz,2002,1.35948
moz,2008,0.72023
mrt,2004,1.639
mrt,2008,2.39425
mus,2006,0.16625
mus,2012,0.20622
mwi,2004,1.8103
mwi,2010,1.94735
mwi,2016,2.95177
mys,1993,0.30499
mys,1998,0.21017
mys,2004,0.1469
ner,2005,2.18515
ner,2007,3.12616
ner,2011,4.76942
nga,2003,5.6094
nga,2010,6.66171
nga,2012,7.51498
nic,1993,2.65813
nic,1998,3.84344
nic,2001,4.48739
nic,2009,3.61435
nic,2014,2.2704
nor,1996,0
nor,1997,0
nor,1998,0
npl,1995,3.42197
npl,2003,5.73185
npl,2010,6.68996
npl,2014,4.78949
pak,2001,5.73389
pak,2004,4.92896
pak,2007,3.82086
pak,2010,3.12582
pak,2011,3.53267
pak,2013,3.67166
pak,2015,2.90071
pan,1997,1.40907
pan,2003,2.88846
pan,2007,0.02206
per,2000,3.73968
per,2006,1.6037
per,2007,1.36016
per,2008,1.15973
per,2009,1.0514
per,2010,0.83247
per,2011,0.77191
per,2012,0.66914
per,2013,0.55098
per,2014,0.45361
per,2015,0.37566
per,2016,0.3389
per,2017,0.26518
per,2018,0.20939
phl,1997,0.9305
phl,2000,0.99603
phl,2003,1.20607
phl,2006,1.33805
phl,2009,1.21457
phl,2012,1.66295
phl,2015,1.51357
pol,1998,0.07387
pol,1999,0.08903
pol,2000,0.10334
pol,2001,0.11146
pol,2002,0.10973
pol,2003,0.09059
pol,2004,0.1011
pol,2005,0.09852
pol,2006,0.05081
pol,2007,0.04475
pol,2008,0.02344
pol,2009,0.02268
pol,2011,0.0337
pol,2012,0.03842
pol,2013,0.02607
pol,2014,0.01645
pol,2015,0.01788
pol,2016,0.00977
prt,1990,0.06252
prt,1994,0.07243
prt,2010,0.00053
pry,2000,3.53277
pry,2014,3.33337
pse,2004,0.36249
pse,2005,0.39076
pse,2006,0.38004
pse,2007,0.61831
pse,2009,0.42443
pse,2010,0.27705
pse,2016,0.32271
rou,1998,0.78165
rou,1999,1.18647
rou,2000,1.15903
rou,2001,0.87337
rou,2002,0.94489
rou,2003,0.89223
rou,2004,0.81909
rou,2005,0.66264
rou,2006,0.61543
rou,2007,0.44914
rou,2008,0.19255
rou,2009,0.19262
rou,2010,0.32016
rou,2011,0.20908
rou,2012,0.16675
rou,2013,0.16678
rou,2016,0.24712
rus,1993,0.20817
rus,1997,0.12813
rus,1998,0.14994
rus,1999,0.29477
rus,2000,0.23004
rus,2001,0.10931
rus,2002,0.0746
rus,2003,0.07792
rus,2004,0.06838
rus,2010,0.01129
rus,2011,0.05585
rus,2012,0.01586
rus,2013,0.03147
rus,2014,0.00629
rwa,2005,1.62131
rwa,2013,1.38307
rwa,2016,1.30139
sen,2001,2.53209
sen,2005,2.48527
sen,2011,3.16213
sle,2003,5.90188
sle,2011,27.72886
slv,2014,0.09858
srb,2003,0.20407
srb,2004,0.39227
srb,2005,0.46922
srb,2006,0.16021
srb,2007,0.18696
srb,2008,0.20751
srb,2009,0.20778
srb,2010,0.16082
srb,2013,0.20404
srb,2015,0.10901
ssd,2009,3.71898
stp,2000,2.72014
sur,2016,0.0484
svk,2004,0.0677
svk,2005,0.02162
svk,2006,0
svk,2007,0.00173
svk,2008,0.0164
svk,2009,0.00595
svk,2010,0.00515
svn,1999,0
svn,2007,0
svn,2012,0
swe,1996,0
swz,2009,3.90412
syr,2003,0.87023
syr,2007,0.58188
tcd,2003,3.53808
tgo,2006,5.21771
tha,1994,1.23173
tha,1996,0.97552
tha,1998,0.64986
tha,2002,0.43175
tha,2006,0.15121
tha,2009,0.03198
tha,2017,0.0042
tjk,1999,7.17073
tjk,2003,7.63038
tjk,2007,4.08815
tjk,2009,5.45265
tls,2001,1.91479
tls,2007,0.45678
tls,2011,0.01235
tls,2014,1.7284
tto,2005,1.79814
tun,1995,2.67086
tun,2010,1.06697
tun,2015,0.46759
tur,2002,0.55964
tur,2003,0.50165
tur,2004,0.41236
tur,2005,0.36566
tur,2006,0.36184
tur,2007,0.35658
tur,2008,0.25972
tur,2009,0.24436
tur,2010,0.27974
tur,2011,0.25443
tur,2012,0.14582
tur,2013,0.18718
tur,2014,0.10113
tur,2015,0.12269
tur,2016,0.0971
tza,2000,1.09444
tza,2007,2.2094
tza,2011,2.21395
uga,1996,6.27528
uga,1999,6.08794
uga,2002,5.89227
uga,2009,8.52239
uga,2012,6.79799
uga,2016,7.02002
ukr,2002,1.43575
ukr,2003,0.72136
ukr,2004,0.52324
ukr,2005,0.19962
ukr,2006,0.11886
ukr,2007,0.05205
ukr,2008,0.06231
ukr,2009,0.07326
ukr,2010,0.05172
ukr,2011,0.02864
ukr,2012,0.02129
ukr,2013,0.02295
ukr,2014,0.02604
ury,1995,0.11521
ury,2005,0.1607
usa,1995,0.07315
usa,1996,0.07056
usa,1997,0.08666
usa,1998,0.07846
usa,2000,0.00421
usa,2001,0.00205
usa,2002,0
usa,2003,0
usa,2004,0.00091
usa,2005,0.00288
usa,2006,0
usa,2007,0.00247
usa,2008,0.00151
usa,2009,0.00214
usa,2010,0.0032
usa,2011,0.00195
usa,2012,0.17015
usa,2013,0
uzb,2000,4.02593
uzb,2002,3.16024
uzb,2003,3.29122
vnm,1992,9.74513
vnm,1997,8.34355
vnm,1998,8.35073
vnm,2002,7.29207
vnm,2004,7.49362
vnm,2006,6.44603
vnm,2008,5.04738
vnm,2010,1.61268
vnm,2012,1.15857
vnm,2014,1.13223
vnm,2016,0.93393
yem,2005,8.14312
yem,2014,8.12312
zaf,1995,0.63588
zaf,2000,0.70127
zaf,2005,1.38736
zaf,2010,1.01218
zmb,2004,1.46275
zmb,2006,1.12173
zmb,2010,0.29091
zwe,2007,0.30008
