geo,time,sl_uem_intm_zs
bih,2012,29.74
bih,2013,29.24
bih,2014,28.07
bih,2015,29.2
bih,2016,26.18
bih,2017,21.69
bih,2018,18.9
bih,2019,16.38
bih,2020,16.22
blr,2016,8.16
blr,2017,7.54
blr,2018,6.39
blr,2019,5.81
blr,2020,4.56
blz,2005,11.74
blz,2012,13.65
blz,2013,10.67
blz,2014,9.8
blz,2015,9.77
blz,2016,9.39
blz,2017,9.6
blz,2019,10.1
bmu,2000,3.13
bmu,2009,5.42
bmu,2010,5.01
bmu,2012,5.63
bol,1999,6.13
bol,2001,8.99
bol,2002,7.21
bol,2004,8.45
bol,2005,8.24
bol,2006,8.81
bol,2007,10.45
bol,2008,4.49
bol,2009,3.77
bol,2011,3.65
bol,2012,2.99
bol,2013,2.87
bol,2014,3.1
bol,2015,4.59
bol,2016,4.85
bol,2017,5.01
bol,2018,5.03
bol,2019,5.18
bol,2020,10.7
bra,1995,6.19
bra,1996,6.72
bra,1997,8.18
bra,1998,9.38
bra,1999,10.83
bra,2001,10.05
bra,2002,10.66
bra,2003,11.09
bra,2004,10.47
bra,2005,10.82
bra,2006,9.93
bra,2007,9.87
bra,2008,8.73
bra,2009,9.97
bra,2011,7.91
bra,2012,4.15
bra,2013,4.27
bra,2014,4.03
bra,2015,7.45
bra,2016,13.46
bra,2017,14.54
bra,2018,14.1
bra,2019,13.66
bra,2020,16.08
brb,2015,10.63
brb,2016,10.86
brb,2017,10.07
brb,2018,9.01
brb,2019,9.79
brn,2014,7.59
brn,2017,9.86
brn,2018,8.71
brn,2019,6.87
btn,2009,13.01
btn,2010,8.81
btn,2012,7.27
btn,2013,7.29
btn,2015,7.07
bwa,2009,10.64
bwa,2010,24.95
bwa,2019,26.06
bwa,2020,30.78
can,1990,7.76
can,1991,10.22
can,1992,10.89
can,1993,11.56
can,1994,10.18
can,1995,9.6
can,1996,9.76
can,1997,9.17
can,1998,8.58
can,1999,7.78
can,2000,7.01
can,2001,7.22
can,2002,7.83
can,2003,7.74
can,2004,7.44
can,2005,7.13
can,2006,6.53
can,2007,6.36
can,2008,6.57
can,2009,9.41
can,2010,9.06
can,2011,8.47
can,2012,8.22
can,2013,8.24
can,2014,8.07
can,2015,8.33
can,2016,8.29
can,2017,7.44
can,2018,6.96
can,2019,7.16
can,2020,12.83
can,2021,9.83
che,1991,1.84
che,1992,2.54
che,1993,3.89
che,1994,3.72
che,1995,3
che,1998,3.16
che,1999,2.7
che,2000,2.41
che,2001,2.05
che,2002,2.68
che,2003,3.73
che,2004,3.98
che,2005,4.02
che,2006,3.82
che,2007,3.44
che,2008,3.35
che,2009,3.89
che,2010,4.78
che,2011,4.1
che,2012,4.37
che,2013,4.58
che,2014,4.67
che,2015,4.49
che,2016,4.83
che,2017,4.62
che,2018,4.71
che,2019,4.36
che,2020,5.01
chl,1998,9.62
chl,2000,10.49
chl,2003,10.84
chl,2006,7.13
chl,2007,8.51
chl,2009,12.08
chl,2010,9.47
chl,2011,8.43
chl,2012,7.58
chl,2013,7.01
chl,2014,7.45
chl,2015,7.34
chl,2016,7.64
chl,2017,7.6
chl,2018,7.84
chl,2019,8.16
chl,2020,11.99
civ,2012,17.86
civ,2013,12.16
civ,2016,5.74
civ,2017,6.4
cmr,2007,8.21
cmr,2014,7.45
cod,2005,6.53
cod,2012,6.67
cog,2005,23.44
cog,2009,30.24
col,2002,19.7
col,2003,19.36
col,2004,18.04
col,2005,15.67
col,2007,13.9
col,2008,13.88
col,2009,14.72
col,2010,13.89
col,2011,13.02
col,2012,12.01
col,2013,11.26
col,2014,10.43
col,2015,9.83
col,2016,9.99
col,2017,10.69
col,2018,10.75
col,2019,11.63
com,2004,10.56
com,2014,9.07
cpv,2015,38.18
cpv,2017,15.82
cpv,2018,16.53
cpv,2019,13.63
cri,1996,6.14
cri,1997,5.66
cri,1998,2.98
cri,1999,4.94
cri,2000,4.72
cri,2001,5.87
cri,2002,6.72
cri,2003,5.63
cri,2004,8.37
cri,2005,7.66
cri,2006,6.82
cri,2007,5.25
cri,2008,4.82
cri,2010,6.25
cri,2011,10.31
cri,2012,10.34
cri,2013,9.48
cri,2014,10.23
cri,2015,11.18
cri,2016,9.17
cri,2017,9.72
cri,2018,12.71
cri,2019,14.11
cri,2020,21.6
cub,2006,1.86
cub,2007,1.87
cub,2008,1.52
cub,2009,1.61
cub,2010,2.55
cym,2011,8.52
cym,2012,7.48
cym,2013,8.61
cym,2014,5.88
cym,2015,4.82
cyp,2000,5.41
cyp,2001,3.99
cyp,2002,3.64
cyp,2003,3.9
cyp,2004,3.77
cyp,2005,5.49
cyp,2006,4.54
cyp,2007,3.9
cyp,2008,3.63
cyp,2009,5.7
cyp,2010,6.41
cyp,2011,8.81
cyp,2012,12.75
cyp,2013,17.15
cyp,2014,18.19
cyp,2015,16.53
cyp,2016,14.26
cyp,2017,11.38
cyp,2018,8.82
cyp,2019,8.01
cyp,2020,8.48
cze,1996,3.13
cze,1997,4
cze,1998,5.2
cze,1999,7.68
cze,2000,7.8
cze,2001,7.06
cze,2002,6.37
cze,2003,6.93
cze,2004,7.45
cze,2005,7.2
cze,2006,6.41
cze,2007,4.67
cze,2008,3.65
cze,2009,6.09
cze,2010,6.92
cze,2011,6.4
cze,2012,6.48
cze,2013,6.84
cze,2014,6.02
cze,2015,4.7
cze,2016,3.5
cze,2017,2.69
cze,2018,2.06
cze,2019,1.75
cze,2020,2.39
deu,1998,9.95
deu,1999,8.65
deu,2000,7.89
deu,2001,8.04
deu,2002,8.66
deu,2003,10.02
deu,2004,11.15
deu,2005,11.13
deu,2006,9.9
deu,2007,8.25
deu,2008,7.22
deu,2009,7.6
deu,2010,6.83
deu,2011,5.7
deu,2012,5.23
deu,2013,5.09
deu,2014,4.63
deu,2015,4.24
deu,2016,3.69
deu,2017,3.29
deu,2018,2.88
deu,2019,2.71
deu,2020,3.13
dji,2017,27.47
dnk,1998,4.74
dnk,1999,4.91
dnk,2000,4.39
dnk,2001,3.88
dnk,2002,3.65
dnk,2003,4.41
dnk,2004,5.06
dnk,2005,4.47
dnk,2006,3.14
dnk,2007,3
dnk,2008,2.96
dnk,2009,5.91
dnk,2010,7.07
dnk,2011,6.79
dnk,2012,6.91
dnk,2013,6.55
dnk,2014,6.13
dnk,2015,5.38
dnk,2016,5.13
dnk,2017,4.68
dnk,2018,4.08
dnk,2019,4.12
dnk,2020,4.77
dom,2000,9.15
dom,2001,10.22
dom,2002,9.65
dom,2003,10.45
dom,2004,9.64
dom,2005,10.17
dom,2006,8.62
dom,2007,7.53
dom,2008,8.56
dom,2009,8.58
dom,2010,7.43
dom,2011,8.98
dom,2012,9.83
dom,2013,11.31
dom,2014,10.09
dom,2015,11.51
dom,2016,10.98
dom,2017,8.91
dom,2018,8.84
dom,2019,9.23
dom,2020,8.5
dza,2004,22.43
dza,2017,11.26
ecu,2000,8.37
ecu,2001,6.67
ecu,2003,10.81
ecu,2004,9.5
ecu,2005,6.98
ecu,2006,8.32
ecu,2007,5.51
ecu,2008,7.12
ecu,2009,7.36
ecu,2010,6.9
ecu,2011,6.22
ecu,2012,5.68
ecu,2013,5.47
ecu,2014,5.99
ecu,2015,5.87
ecu,2016,7.3
ecu,2017,5.96
ecu,2018,5.65
ecu,2019,6.23
egy,2008,14.31
egy,2009,13.87
egy,2010,12.5
egy,2011,15.89
egy,2012,17.21
egy,2013,16.5
egy,2014,15.84
egy,2015,16.67
egy,2016,15.91
egy,2017,15.67
egy,2018,10.48
egy,2019,11.14
egy,2020,7.17
esp,1998,19.35
esp,1999,16.74
esp,2000,13.79
esp,2001,10.5
esp,2002,11.4
esp,2003,11.69
esp,2004,10.97
esp,2005,8.71
esp,2006,8.03
esp,2007,8.14
esp,2008,10.45
esp,2009,16.83
esp,2010,18.97
esp,2011,21.17
esp,2012,24.1
esp,2013,25.85
esp,2014,24.16
esp,2015,21.57
esp,2016,19.16
esp,2017,16.97
esp,2018,15.48
esp,2019,14.49
esp,2020,16.5
est,1995,8.94
est,1998,10.45
est,1999,12.58
est,2000,15.04
est,2001,14.41
est,2002,10.06
est,2003,12.52
est,2004,10.56
est,2005,9.28
est,2006,6.28
est,2007,4.76
est,2008,5.7
est,2009,15.68
est,2010,19.06
est,2011,12.74
est,2012,10.51
est,2013,9.61
est,2014,8.1
est,2015,6.76
est,2016,7.76
est,2017,6.68
est,2018,5.79
est,2019,4.77
est,2020,7.39
eth,1999,23.9
eth,2005,17.14
eth,2013,7.94
fin,1998,14.27
fin,1999,11.99
fin,2000,11.08
fin,2001,10.58
fin,2002,10.39
fin,2003,10.86
fin,2004,10.09
fin,2005,8.75
fin,2006,8.15
fin,2007,7.04
fin,2008,6.38
fin,2009,9.15
fin,2010,8.92
fin,2011,8.18
fin,2012,8.2
fin,2013,8.76
fin,2014,9.4
fin,2015,10.24
fin,2016,9.51
fin,2017,9.42
fin,2018,8.28
fin,2019,7.2
fin,2020,8.91
fji,2005,5.45
fji,2011,5.38
fji,2014,8.56
fji,2016,5.55
fra,1998,11.13
fra,1999,10.95
fra,2000,9.1
fra,2001,7.59
fra,2002,7.73
fra,2003,7.61
fra,2004,8.15
fra,2005,7.69
fra,2006,7.74
fra,2007,6.87
fra,2008,6.63
fra,2009,8.43
fra,2010,8.37
fra,2011,8.51
fra,2012,9.41
fra,2013,10.12
fra,2014,10.64
fra,2015,10.78
fra,2016,10.64
fra,2017,10.07
fra,2018,9.65
fra,2019,9.15
fra,2020,8.85
fsm,2014,10.24
gbr,1998,5.63
gbr,1999,5.32
gbr,2000,4.98
gbr,2001,4.05
gbr,2002,4.25
gbr,2003,4.29
gbr,2004,4.23
gbr,2005,4.43
gbr,2006,5.14
gbr,2007,5.07
gbr,2008,5.48
gbr,2009,7.74
gbr,2010,8.18
gbr,2011,8.53
gbr,2012,8.57
gbr,2013,8.24
gbr,2014,6.85
gbr,2015,5.97
gbr,2016,5.34
gbr,2017,4.77
gbr,2018,4.62
gbr,2019,4
geo,2002,34.1
geo,2009,22.99
geo,2010,22.33
geo,2011,17.94
geo,2012,18.53
geo,2013,17.85
geo,2014,16.35
geo,2015,15.6
geo,2016,15.19
geo,2017,13.49
geo,2018,12.83
geo,2019,11.8
geo,2020,20.54
gha,1991,8.1
gha,2000,13.34
gha,2006,13.15
gha,2010,10.44
gha,2013,5.24
gha,2015,14.22
gha,2017,7.61
gin,2002,18.11
gin,2019,18.25
gmb,2012,14.76
gmb,2018,16.92
gnb,2018,8.21
grc,1998,15.13
grc,1999,15.72
grc,2000,15.06
grc,2001,13.56
grc,2002,13.02
grc,2003,12.27
grc,2004,12.48
grc,2005,11.99
grc,2006,10.84
grc,2007,9.93
grc,2008,8.91
grc,2009,11.08
grc,2010,14.63
grc,2011,20.32
grc,2012,27.69
grc,2013,31.15
grc,2014,30.2
grc,2015,27.62
grc,2016,26.18
grc,2017,23.9
grc,2018,21.81
grc,2019,19.67
grc,2020,18.52
gtm,2003,8.38
gtm,2004,8.95
gtm,2006,3.72
gtm,2010,4.65
gtm,2011,7.87
gtm,2012,7.07
gtm,2013,6.05
gtm,2014,5.9
gtm,2015,6.38
gtm,2016,5.96
gtm,2017,5.47
gtm,2018,5.18
gtm,2019,4.57
guy,2018,16.38
guy,2019,16.23
hkg,2002,6.66
hkg,2004,6.05
hkg,2005,4.95
hkg,2006,4.46
hkg,2007,3.75
hkg,2008,3.52
hkg,2009,5.33
hkg,2010,4.46
hkg,2011,3.52
hkg,2012,3.33
hkg,2013,3.41
hkg,2014,3.43
hkg,2015,3.37
hkg,2016,3.51
hkg,2017,3.29
hkg,2018,2.96
hkg,2019,2.89
hkg,2020,6.13
hnd,2005,10.72
hnd,2006,8.07
hnd,2007,6.14
hnd,2008,5.9
hnd,2009,7.59
hnd,2010,9.76
hnd,2011,10.19
hnd,2012,8.19
hnd,2013,11.68
hnd,2014,12.46
hnd,2015,12.4
hnd,2016,12.49
hnd,2017,10.99
hnd,2018,10.34
hnd,2019,10.58
hrv,2002,17.1
hrv,2003,15.84
hrv,2004,15.41
hrv,2005,14.87
hrv,2006,12.27
hrv,2007,10.13
hrv,2008,9.17
hrv,2009,9.95
hrv,2010,12.37
hrv,2011,14.18
hrv,2012,17.25
hrv,2013,18.65
hrv,2014,18.68
hrv,2015,18.04
hrv,2016,14.59
hrv,2017,11.69
hrv,2018,9.14
hrv,2019,6.91
hrv,2020,8.2
hti,2012,19.7
hun,1998,8.41
hun,1999,6.7
hun,2000,6.45
hun,2001,5.24
hun,2002,5.06
hun,2003,5.4
hun,2004,5.37
hun,2005,6.93
hun,2006,6.94
hun,2007,6.69
hun,2008,7.12
hun,2009,9.41
hun,2010,10.56
hun,2011,10.66
hun,2012,10.75
hun,2013,10
hun,2014,7.38
hun,2015,6.4
hun,2016,4.76
hun,2017,3.74
hun,2018,3.35
hun,2019,3.02
hun,2020,4.12
idn,1990,11.34
idn,1991,10.54
idn,1992,11
idn,1993,10.24
idn,1994,14.36
idn,1996,13.45
idn,1997,13.01
idn,1998,14.57
idn,1999,15.92
idn,2000,13.7
idn,2001,14.12
idn,2002,14.99
idn,2003,13.8
idn,2004,15.18
idn,2005,17.5
idn,2006,15.69
idn,2007,17.13
idn,2008,13.96
idn,2009,11.81
idn,2010,10.49
idn,2011,9.57
idn,2012,8.34
idn,2013,7.99
idn,2014,7.64
idn,2015,8.48
idn,2016,7.54
idn,2017,6.95
idn,2018,7.71
idn,2019,6.21
idn,2020,7.27
ind,1994,9.42
ind,2000,9.25
ind,2005,7.93
ind,2010,6.9
ind,2012,6.34
ind,2018,10.79
ind,2019,10
ind,2020,8.95
irl,1998,5.45
irl,1999,4.29
irl,2000,2.99
irl,2001,3.01
irl,2002,3.64
irl,2003,3.85
irl,2004,3.9
irl,2005,3.86
irl,2006,4.17
irl,2007,4.89
irl,2008,7.06
irl,2009,14.7
irl,2010,17.27
irl,2011,18.59
irl,2012,18.95
irl,2013,17.24
irl,2014,14.72
irl,2015,12.4
irl,2016,10.07
irl,2017,8.43
irl,2018,6.92
irl,2019,5.95
irl,2020,6.9
irn,2005,17.79
irn,2006,16.71
irn,2007,15.4
irn,2008,14.77
irn,2009,15.76
irn,2010,17.48
irn,2011,15.07
irn,2012,15.51
irn,2013,11.71
irn,2014,11.24
irn,2015,11.77
irn,2016,13.43
irn,2018,12.68
irn,2019,11.26
irn,2020,10.29
irq,2007,7.24
irq,2012,5.78
isl,1995,4.03
isl,1996,3.05
isl,1997,3.23
isl,1998,2.06
isl,2002,2.1
isl,2003,3.59
isl,2004,4.65
isl,2005,1.61
isl,2006,2.31
isl,2007,1.63
isl,2008,1.84
isl,2009,6.44
isl,2010,7.46
isl,2011,6.04
isl,2012,4.77
isl,2013,4.35
isl,2014,4.27
isl,2015,3.35
isl,2016,3.07
isl,2017,2.42
isl,2018,2.28
isl,2019,3.33
isl,2020,5.53
isr,1996,8.22
isr,1998,9.86
isr,1999,10.59
isr,2000,9.93
isr,2001,11.05
isr,2002,12.14
isr,2003,12.69
isr,2004,12.52
isr,2005,11.02
isr,2006,10.45
isr,2007,8.78
isr,2008,7.17
isr,2009,8.98
isr,2010,7.88
isr,2011,6.62
isr,2012,7.11
isr,2013,6.57
isr,2014,6.25
isr,2015,5.58
isr,2016,5.04
isr,2017,4.6
isr,2018,4.87
isr,2019,4.45
isr,2020,5.23
ita,1998,12.26
ita,1999,11.81
ita,2000,10.64
ita,2001,9.21
ita,2002,8.72
ita,2003,8.13
ita,2004,7.03
ita,2005,6.94
ita,2006,6.19
ita,2007,5.59
ita,2008,6.12
ita,2009,7.24
ita,2010,7.88
ita,2011,7.81
ita,2012,10.01
ita,2013,11.42
ita,2014,11.91
ita,2015,11.39
ita,2016,11.08
ita,2017,10.47
ita,2018,10.12
ita,2019,9.44
ita,2020,8.74
jam,2008,9.33
jam,2009,10.7
jam,2010,10.61
jam,2011,11.61
jam,2012,12.19
jam,2013,13.95
jam,2014,13.03
jam,2016,11.99
jam,2017,9.79
jam,2018,7.4
jam,2019,6.71
jam,2020,6.38
jor,2017,13.98
jor,2018,11.85
jor,2019,8.1
jor,2020,10.61
jpn,2009,6.03
jpn,2010,5.91
jpn,2012,5.08
jpn,2013,4.71
jpn,2015,4.02
jpn,2016,3.7
jpn,2017,3.39
jpn,2018,3.1
jpn,2019,2.87
jpn,2020,3.21
kaz,2009,6.22
kaz,2010,5.29
kaz,2011,4.89
kaz,2012,4.98
kaz,2013,5.37
kaz,2017,5.3
kaz,2020,6.05
ken,1999,12.55
ken,2006,12.34
ken,2016,4.17
ken,2019,8.14
kgz,2004,8.94
kgz,2005,10.86
kgz,2006,11.56
kgz,2011,8.79
kgz,2012,8.36
kgz,2013,7.83
kgz,2014,7.69
kgz,2015,7.33
kgz,2016,7.27
kgz,2017,6.86
kgz,2018,6.2
khm,2000,3.1
khm,2001,3.39
khm,2007,1.56
khm,2008,1.77
khm,2009,0.67
khm,2010,1.56
khm,2011,1.16
khm,2012,1.36
khm,2014,0.52
khm,2015,0.97
khm,2016,1.26
khm,2019,2.47
kir,2015,9.84
kir,2019,9.26
kor,1991,3.22
kor,1992,3.34
kor,1993,3.6
kor,1994,2.96
kor,1995,3.06
kor,1996,3.05
kor,1997,3.92
kor,1998,9.66
kor,1999,9.01
kor,2000,4.84
kor,2001,4.36
kor,2002,3.61
kor,2003,3.66
kor,2004,3.78
kor,2005,4.04
kor,2006,3.58
kor,2007,3.21
kor,2008,3.21
kor,2009,3.68
kor,2010,3.32
kor,2011,3.11
kor,2012,2.9
kor,2013,2.6
kor,2014,2.9
kor,2015,3.3
kor,2016,3.36
kor,2017,3.12
kor,2018,3.73
kor,2019,3.62
kor,2020,3.95
kos,2012,31
kos,2013,30.59
kos,2014,37.02
kos,2015,33.67
kos,2016,29.56
kos,2017,31.22
kos,2018,31.11
kos,2019,25.21
kos,2020,26.48
kwt,2016,6.08
lao,2010,1.15
lao,2017,6.47
lbn,2007,9.71
lbn,2019,12.36
lbr,2010,4.48
lbr,2014,4.91
lbr,2016,8.5
lbr,2017,18.5
lca,2017,21.86
lca,2018,26.73
lca,2019,16.12
lka,2009,10.18
lka,2010,8.71
lka,2011,6.98
lka,2012,6.03
lka,2013,7.55
lka,2014,7.18
lka,2015,7.83
lka,2016,7.06
lka,2017,6.74
lka,2018,6.9
lka,2019,7.29
lso,2019,11.38
ltu,1997,27.82
ltu,1998,17.15
ltu,1999,16.31
ltu,2000,20.2
ltu,2001,19.43
ltu,2002,14.44
ltu,2003,13.74
ltu,2004,11.93
ltu,2005,9.47
ltu,2006,6.57
ltu,2007,4.97
ltu,2008,6.7
ltu,2009,16.36
ltu,2010,21.77
ltu,2011,19.01
ltu,2012,16.42
ltu,2013,14.34
ltu,2014,13.46
ltu,2015,11.67
ltu,2016,10.38
ltu,2017,9.31
ltu,2018,7.99
ltu,2019,8.3
ltu,2020,11.36
lux,1999,1.76
lux,2000,1.91
lux,2001,1.43
lux,2002,1.54
lux,2003,3.25
lux,2004,4.44
lux,2005,3.79
lux,2006,4.43
lux,2007,3.36
lux,2008,5.89
lux,2009,4.32
lux,2010,4.03
lux,2011,4.39
lux,2012,5.15
lux,2013,5.85
lux,2014,6.3
lux,2015,6.25
lux,2016,6.73
lux,2017,5.33
lux,2018,5.57
lux,2019,6.24
lux,2020,6.88
lva,1998,15.2
lva,1999,15.05
lva,2000,14.79
lva,2001,13.69
lva,2002,13.79
lva,2003,11.37
lva,2004,12.47
lva,2005,10.4
lva,2006,6.25
lva,2007,5.78
lva,2008,7.75
lva,2009,18.91
lva,2010,21.09
lva,2011,18.25
lva,2012,17.58
lva,2013,13.08
lva,2014,11.67
lva,2015,10.84
lva,2016,11.3
lva,2017,10.2
lva,2018,8.49
lva,2019,7.09
lva,2020,8.76
mac,1996,3.57
mac,1997,2.33
mac,1998,4.15
mac,1999,4.26
mac,2000,4.69
mac,2001,5.49
mac,2002,5.33
mac,2003,4.8
mac,2005,3.09
mac,2006,3.08
mac,2007,2.79
mac,2008,2.42
mac,2009,2.78
mac,2010,2.38
mac,2011,2.19
mac,2012,1.47
mac,2013,1.44
mac,2014,1.37
mac,2015,1.82
mac,2016,1.82
mar,2002,21.85
mar,2003,23.95
mar,2011,18.45
mar,2012,18.07
mco,2016,6.46
mda,2010,7.07
mda,2011,6.38
mda,2012,5.35
mda,2013,5.08
mda,2014,3.48
mda,2015,4.38
mda,2016,3.79
mda,2017,4.13
mda,2018,3.01
mda,2019,5.01
mda,2020,3.98
mdg,2012,1.62
mdg,2015,4.93
mdv,2009,15.7
mdv,2014,4.56
mdv,2016,5.95
mdv,2019,5.35
mex,1996,7.49
mex,1997,6.6
mex,1998,4.81
mex,2001,3.61
mex,2002,4.36
mex,2003,5.04
mex,2004,5.67
mex,2005,4.61
mex,2006,4.56
mex,2007,4.6
mex,2008,4.94
mex,2009,6.48
mex,2010,6.17
mex,2011,6.12
mex,2012,5.95
mex,2013,5.86
mex,2014,5.89
mex,2015,5.35
mex,2016,4.82
mex,2017,4.19
mex,2018,4.01
mex,2019,4.09
mex,2020,5.28
mhl,2019,5.89
mkd,2006,36.93
mkd,2007,35.11
mkd,2008,33.07
mkd,2009,32.3
mkd,2010,32.07
mkd,2011,31.57
mkd,2012,31.36
mkd,2013,28.73
mkd,2014,28.27
mkd,2015,26.61
mkd,2016,23.69
mkd,2017,22.58
mkd,2018,20.99
mkd,2019,16.56
mkd,2020,16.27
mli,2013,8.75
mli,2014,11.89
mli,2015,12.58
mli,2016,13.21
mli,2017,17.24
mli,2018,10.85
mlt,2001,8.38
mlt,2003,7.2
mlt,2004,5.62
mlt,2005,4.39
mlt,2006,4.23
mlt,2007,5.06
mlt,2008,4.19
mlt,2009,5.63
mlt,2010,5.46
mlt,2011,5.19
mlt,2012,3.99
mlt,2013,4.03
mlt,2014,3.59
mlt,2015,3.71
mlt,2016,3.68
mlt,2017,3.29
mlt,2018,3.42
mlt,2019,3.4
mlt,2020,3.68
mmr,2015,2.54
mmr,2017,2.97
mmr,2018,1.88
mmr,2019,0.18
mne,2011,20.53
mne,2012,20.99
mne,2013,20.72
mne,2014,19.79
mne,2015,19.26
mne,2016,19.52
mne,2017,17.51
mne,2018,16.63
mne,2019,15.37
mne,2020,18.05
mng,2008,6.49
mng,2009,7.07
mng,2010,7.44
mng,2011,5.4
mng,2012,4.14
mng,2013,4.19
mng,2014,5.32
mng,2015,5.01
mng,2016,8.35
mng,2017,7.14
mng,2018,6.2
mng,2019,13.34
mng,2020,9.08
moz,2015,16.43
mrt,2012,11.5
mrt,2017,10
mus,2001,10.49
mus,2002,9.56
mus,2003,6.8
mus,2004,9.97
mus,2005,10.31
mus,2006,10.11
mus,2007,9.69
mus,2008,8.19
mus,2009,8.27
mus,2010,8.74
mus,2012,8.65
mus,2013,8.27
mus,2014,8.78
mus,2015,8.68
mus,2016,7.99
mus,2017,8.65
mus,2018,8.23
mus,2019,7.83
mus,2020,9.82
mwi,2005,5.66
mwi,2011,5.03
mwi,2013,8.46
mwi,2017,6.4
mwi,2020,3.35
mys,2009,4.71
mys,2010,4.01
mys,2015,3.72
mys,2016,4.1
mys,2018,3.57
mys,2019,3.53
mys,2020,4.62
nam,2010,26.31
nam,2012,4.37
nam,2013,10.21
nam,2014,4.82
nam,2016,23.75
nam,2018,23.94
ncl,2014,12.65
ner,2011,5.38
ner,2014,3.51
ner,2017,7.83
nga,2016,11.54
nga,2019,14.09
nic,1995,13.45
nic,2001,8.23
nic,2005,7.01
nic,2012,8.57
nic,2014,7.01
nld,1995,5.66
nld,1998,3.42
nld,1999,2.74
nld,2000,2.02
nld,2001,1.65
nld,2002,2.09
nld,2003,2.87
nld,2004,4.15
nld,2005,5.48
nld,2006,4.65
nld,2007,3.85
nld,2008,3.3
nld,2009,3.9
nld,2010,4.48
nld,2011,4.56
nld,2012,5.51
nld,2013,7.26
nld,2014,7.48
nld,2015,6.99
nld,2016,6.04
nld,2017,4.75
nld,2018,3.64
nld,2019,3.19
nld,2020,3.68
nld_curacao,2018,14.34
nld_curacao,2020,22.53
nor,1998,3.21
nor,1999,2.91
nor,2000,2.94
nor,2001,3.33
nor,2002,3.44
nor,2003,3.76
nor,2004,4.06
nor,2005,4.19
nor,2006,2.76
nor,2007,1.69
nor,2008,1.76
