geo,time,se_sec_cuat_po_zs
mdv,2006,4.1581
mex,2016,15.15323
mex,2017,15.82328
mex,2018,16.44959
mex,2020,18.77146
mhl,2011,17.4415
mkd,1994,7.16578
mkd,2002,12.23061
mkd,2020,21.95744
mli,1976,0.21076
mli,2006,1.91383
mli,2011,3.22351
mli,2015,7.42905
mli,2016,4.94879
mli,2018,6.18122
mli,2020,2.91933
mlt,2000,7.91397
mlt,2005,11.14288
mlt,2007,17.48351
mlt,2010,19.34235
mlt,2011,19.92107
mlt,2012,22.43576
mlt,2013,23.43691
mlt,2014,23.71312
mlt,2015,24.06512
mlt,2016,24.6766
mlt,2018,30.13697
mlt,2020,32.73063
mmr,2019,10.60023
mng,2000,30.57196
mng,2010,35.52566
mng,2020,40.35349
mrt,1988,1.3
mus,1972,1.24243
mus,1983,3.5808
mus,1990,1.9
mus,2000,7.91397
mus,2011,12.65666
mwi,1977,0.21255
mwi,1987,0.37663
mwi,1998,0.488
mys,1980,1.89258
mys,1996,6.84682
mys,2000,11.39797
mys,2005,5.11517
mys,2009,15.61159
mys,2010,16.36954
mys,2016,20.88304
mys,2019,22.55148
nam,1991,4.08056
nam,2001,5.48546
ner,2012,1.70499
nld,1971,7.2
nld,2005,29.30522
nld,2007,31.51249
nld,2008,31.15923
nld,2009,31.69651
nld,2010,32.18877
nld,2011,31.62738
nld,2012,32.05775
nld,2013,30.28775
nld,2014,30.56058
nld,2015,31.20981
nld,2016,31.78831
nld,2018,33.29138
nld,2020,36.96299
nor,1970,7.4
nor,1975,9.1
nor,1980,11.93626
nor,1990,18.37782
nor,2004,29.62873
nor,2005,30.49546
nor,2006,31.15382
nor,2007,31.82454
nor,2008,32.84052
nor,2009,33.40395
nor,2010,34.20618
nor,2011,35.20596
nor,2014,37.53755
nor,2015,38.02254
nor,2016,38.77576
nor,2017,39.59907
nor,2019,40.83856
npl,1971,0.27113
npl,1981,1.10976
npl,2001,6.69436
npl,2011,9.34093
nzl,1981,30.35989
nzl,1991,39.08486
nzl,2001,34.94228
nzl,2006,42.42159
nzl,2011,48.1067
nzl,2012,47.0175
nzl,2014,45.79953
nzl,2015,44.09868
nzl,2016,46.10203
nzl,2020,51.05107
omn,2003,14.4464
omn,2008,19.93983
omn,2010,18.70463
omn,2015,21.28899
omn,2020,23.11832
pak,2005,3.91674
pak,2006,6.29512
pak,2008,5.97695
pak,2009,6.67146
pak,2010,6.97446
pak,2011,7.36819
pak,2012,7.54165
pak,2013,7.99135
pak,2014,8.75331
pak,2016,8.75331
pak,2017,8.65033
pak,2018,3.17433
pak,2019,4.14663
pan,1970,4.2
pan,1980,8.26622
pan,1990,13.73644
pan,2000,11.16731
pan,2010,22.73995
per,1972,4.5
per,1981,10.52886
per,1993,20.74899
per,2004,12.51344
per,2005,16.06016
per,2006,16.94343
per,2007,18.21692
per,2008,18.20955
per,2009,18.75256
per,2010,20.87359
per,2011,21.24498
per,2012,22.15469
per,2013,21.33951
per,2014,21.88958
per,2015,20.87703
per,2018,21.90983
phl,1970,9.56816
phl,1975,11.82993
phl,1980,15.21522
phl,1990,18.79397
phl,2000,15.52385
phl,2004,27.26649
phl,2008,29.73615
phl,2010,31.21431
phl,2013,32.85084
phl,2017,20.07135
phl,2019,30.37619
pol,2002,16.05973
pol,2008,20.66749
pol,2009,22.10037
pol,2010,23.54792
pol,2011,24.40259
pol,2012,25.12131
pol,2013,25.99724
pol,2014,27.12287
pol,2016,28.17192
pol,2020,31.48024
pri,1970,12.05775
pri,1980,18.45195
pri,1990,28.66309
pri,2000,37.60961
pri,2005,42.25229
pri,2006,40.89992
pri,2007,40.67508
pri,2008,42.7991
pri,2011,43.88299
pri,2017,50.04971
prt,2004,10.66074
prt,2005,10.93767
prt,2006,11.67609
prt,2007,11.80918
prt,2008,12.12802
prt,2009,12.49617
prt,2010,13.15509
prt,2011,14.45053
prt,2012,15.55972
prt,2013,16.31377
prt,2014,17.97671
prt,2015,18.74139
prt,2016,19.56435
prt,2017,19.78422
prt,2018,19.23109
prt,2019,21.43582
prt,2020,23.11148
pry,2005,14.148
pry,2006,11.25508
pyf,2007,17.48378
qat,1986,13.3
qat,2004,25.54902
qat,2007,29.79345
qat,2008,26.40331
qat,2009,25.10189
qat,2010,20.27447
qat,2011,22.14429
qat,2012,25.30079
qat,2013,25.01865
qat,2014,24.57543
qat,2016,23.91656
qat,2017,24.20265
rou,1977,4.6
rou,1992,6.93041
rou,2002,12.64611
rou,2007,14.67351
rou,2008,15.26452
rou,2009,15.54006
rou,2010,15.90557
rou,2011,16.68376
rou,2012,17.09805
rou,2013,17.37306
rou,2014,17.22698
rou,2015,17.76323
rou,2016,17.74193
rou,2017,17.73858
rou,2019,18.37229
rus,1989,14.07821
rus,2002,55.96883
rus,2010,63.05938
rwa,1978,0.28917
sau,2000,12.04128
sau,2004,19.50328
sau,2013,25.88804
sau,2017,31.47765
sau,2020,37.92296
sen,2006,3.24771
sen,2011,2.9813
sen,2013,4.26378
sen,2017,9.95411
sgp,2005,38.25606
sgp,2006,36.75579
sgp,2007,37.7844
sgp,2008,40.40714
sgp,2009,40.72915
sgp,2010,46.47558
sgp,2011,46.93517
sgp,2012,48.68261
sgp,2013,50.00187
sgp,2014,51.15258
sgp,2015,52.041
sgp,2016,52.78652
sgp,2017,54.23211
sgp,2018,55.76061
sgp,2019,57.2499
sle,2004,5.46509
smr,2018,15.76002
srb,2002,13.20084
srb,2008,14.84572
srb,2009,15.35999
srb,2010,15.72136
srb,2011,19.16871
srb,2013,18.21503
srb,2014,20.34675
srb,2015,21.74
srb,2016,22.58227
srb,2017,22.58361
srb,2019,23.25347
ssd,2008,10.24896
sur,2004,3.91474
svk,2001,12.53328
svk,2011,20.65293
svk,2014,19.49539
svk,2015,20.62616
svk,2016,21.51653
svk,2017,22.79827
svk,2018,24.14
svk,2019,25.23787
svn,1991,10.54767
svn,2004,18.31381
swe,1970,8.31536
swe,1974,11.74492
swe,1979,15.4058
swe,1986,16.58482
swe,1987,17.1945
swe,1988,17.64668
swe,1989,18.07434
swe,1990,18.96869
swe,1991,19.33462
swe,1992,20.98676
swe,1993,21.65851
swe,1994,22.33071
swe,1995,23.33546
swe,2004,31.86759
swe,2005,32.72049
swe,2006,33.49066
swe,2007,34.27714
swe,2008,32.28782
swe,2009,33.04579
swe,2010,33.80397
swe,2011,34.5562
swe,2012,35.24118
swe,2013,35.92054
swe,2014,36.57744
swe,2015,37.21942
swe,2016,37.89827
swe,2017,38.55639
swe,2019,40.0031
swz,1976,1.74413
swz,1986,3.28036
syc,1971,2.56362
syc,1987,4.71673
syr,2002,5.29554
syr,2007,12.95612
syr,2008,12.40052
syr,2009,12.43899
tca,1970,4.90768
tca,1980,7.65734
tgo,1970,0.15112
tgo,2009,2.94945
tgo,2011,5.43935
tha,1970,1.1
tha,1980,2.98509
tha,2004,12.99327
tha,2006,12.86897
tha,2010,12.90123
tkm,1995,32.21165
ton,1986,2.86169
ton,2006,23.35876
ton,2011,16.78023
tto,2008,22.74446
tto,2009,22.4057
tto,2011,23.91432
tun,2008,11.29507
tun,2010,12.50063
tun,2011,13.2653
tun,2012,12.35314
tun,2016,15.15784
tuv,1991,7.31819
tza,2012,2.55564
ukr,1970,5.96438
ukr,2001,38.14171
ury,2006,9.60366
ury,2008,14.75269
ury,2009,14.91313
ury,2010,14.71582
ury,2011,10.94071
ury,2012,10.88215
ury,2013,11.78742
usa,2018,45.16791
vct,1970,0.8
vct,1980,1.4
vct,2017,3.54091
ven,2011,24.86441
ven,2015,30.78096
ven,2016,35.40283
vgb,1980,8.51188
vgb,1991,13.75691
vnm,1989,2.63297
vnm,2009,12.0781
wsm,2001,12.55734
wsm,2011,15.26387
zaf,2001,8.88712
zaf,2002,10.26114
zaf,2003,10.41286
zaf,2004,10.87958
zaf,2005,10.97431
zaf,2006,10.31973
zaf,2007,10.85196
zaf,2008,11.99391
zaf,2009,12.24942
zaf,2010,12.41316
zaf,2011,12.72683
zaf,2012,13.60197
zaf,2014,14.61518
zaf,2015,15.19576
zaf,2017,13.69382
zaf,2019,44.85265
zwe,1992,4.87666
zwe,2002,9.09917
