geo,time,bx_gsr_gnfs_cd
pol,2000,46301000000
pol,2001,51416000000
pol,2002,56779000000
pol,2003,72181000000
pol,2004,87851000000
pol,2005,105800000000
pol,2006,130431000000
pol,2007,166136000000
pol,2008,204226000000
pol,2009,164365000000
pol,2010,191303000000
pol,2011,224240000000
pol,2012,220503000000
pol,2013,239595000000
pol,2014,256051000000
pol,2015,234279000000
pol,2016,245095000000
pol,2017,286082000000
pol,2018,324351000000
pol,2019,330934000000
pol,2020,336317000000
prt,1975,2882637468.69558
prt,1976,2580898523.61036
prt,1977,3404282984.61538
prt,1978,3857550083.52046
prt,1979,5200073231.12728
prt,1980,6673709957.36109
prt,1981,6130820207.27454
prt,1982,5729993541.60358
prt,1983,6124295533.83222
prt,1984,6902578663.67857
prt,1985,7679808729.93993
prt,1986,9689345241.0786
prt,1987,12499061249.8258
prt,1988,14433160217.7898
prt,1989,16631359052.013
prt,1990,21553661628.664
prt,1991,21621905018.8339
prt,1992,23845526045.2963
prt,1993,22757706722.1442
prt,1994,25374486174.79449
prt,1995,32228506620.1336
prt,1996,32849509789.9859
prt,1997,31866442214.2797
prt,1998,33984489954.2002
prt,1999,33801493519.414
prt,2000,33555319518.9567
prt,2001,33572587196.0222
prt,2002,36676050712.8246
prt,2003,45418655708.3003
prt,2004,52728538717.9294
prt,2005,53742604454.4554
prt,2006,63628211224.0908
prt,2007,75745235190.90259
prt,2008,83378528554.1468
prt,2009,66994825834.97089
prt,2010,72002887874.4588
prt,2011,85829617545.50861
prt,2012,82495185182.12801
prt,2013,90970766831.43481
prt,2014,93435640449.3812
prt,2015,81913894195.7003
prt,2016,83782079092.17238
prt,2017,95260470351.08809
prt,2018,105761494739.75301
prt,2019,104845695090.20599
prt,2020,85127944137.66089
prt,2021,105295416456.06
pry,1975,222100000
pry,1976,242000000
pry,1977,390000000
pry,1978,434300000
pry,1979,513600000
pry,1980,564300000
pry,1981,554700000
pry,1982,516600000
pry,1983,464000000
pry,1984,572100000
pry,1985,618300000
pry,1986,759600000
pry,1987,769500000
pry,1988,1166900000
pry,1989,1574900000
pry,1990,2514400000
pry,1991,2430400000
pry,1992,2361700000
pry,1993,3297600000
pry,1994,3786300000
pry,1995,5611784199.43358
pry,1996,5177172021.10821
pry,1997,4845856547.49801
pry,1998,5094336121.87912
pry,1999,3815722161.21112
pry,2000,3849941489.20888
pry,2001,3464360232.38667
pry,2002,3431839891.38509
pry,2003,3648344307.09974
pry,2004,4396642288.51981
pry,2005,5109060804.08548
pry,2006,6299058247.50084
pry,2007,7801578704.69001
pry,2008,10138083186.3931
pry,2009,8307738047.48667
