geo,time,sh_mmr_risk
cog,2003,27
cog,2004,28
cog,2005,30
cog,2006,33
cog,2007,35
cog,2008,37
cog,2009,39
cog,2010,41
cog,2011,43
cog,2012,44
cog,2013,47
cog,2014,49
cog,2015,51
cog,2016,54
cog,2017,58
col,2000,380
col,2001,390
col,2002,410
col,2003,440
col,2004,470
col,2005,500
col,2006,520
col,2007,530
col,2008,540
col,2009,540
col,2010,560
col,2011,580
col,2012,580
col,2013,590
col,2014,590
col,2015,600
col,2016,620
col,2017,630
com,2000,42
com,2001,44
com,2002,45
com,2003,46
com,2004,48
com,2005,49
com,2006,51
com,2007,53
com,2008,55
com,2009,58
com,2010,61
com,2011,64
com,2012,67
com,2013,71
com,2014,74
com,2015,77
com,2016,80
com,2017,83
cpv,2000,220
cpv,2001,250
cpv,2002,280
cpv,2003,310
cpv,2004,330
cpv,2005,360
cpv,2006,390
cpv,2007,420
cpv,2008,450
cpv,2009,470
cpv,2010,500
cpv,2011,520
cpv,2012,550
cpv,2013,570
cpv,2014,590
cpv,2015,620
cpv,2016,640
cpv,2017,670
cri,2000,1000
cri,2001,1100
cri,2002,1100
cri,2003,1200
cri,2004,1300
cri,2005,1400
cri,2006,1400
cri,2007,1700
cri,2008,1700
cri,2009,1700
cri,2010,1600
cri,2011,1700
cri,2012,1800
cri,2013,1800
cri,2014,1800
cri,2015,1900
cri,2016,1900
cri,2017,1900
cub,2000,1300
cub,2001,1400
cub,2002,1500
cub,2003,1600
cub,2004,1700
cub,2005,1700
cub,2006,1800
cub,2007,1800
cub,2008,1700
cub,2009,1700
cub,2010,1700
cub,2011,1800
cub,2012,1700
cub,2013,1700
cub,2014,1700
cub,2015,1700
cub,2016,1800
cub,2017,1800
cyp,2000,3900
cyp,2001,6700
cyp,2002,6300
cyp,2003,6600
cyp,2004,6800
cyp,2005,5100
cyp,2006,6900
cyp,2007,7600
cyp,2008,7600
cyp,2009,8100
cyp,2010,8800
cyp,2011,8400
cyp,2012,9800
cyp,2013,10800
cyp,2014,8800
cyp,2015,10400
cyp,2016,10700
cyp,2017,11000
cze,2000,12500
cze,2001,12700
cze,2002,13200
cze,2003,13000
cze,2004,13400
cze,2005,13000
cze,2006,13700
cze,2007,14500
cze,2008,14500
cze,2009,14500
cze,2010,15500
cze,2011,15400
cze,2012,15900
cze,2013,16700
cze,2014,17300
cze,2015,17400
cze,2016,16600
cze,2017,17900
deu,2000,10500
deu,2001,11200
deu,2002,11600
deu,2003,12200
deu,2004,12900
deu,2005,13200
deu,2006,13700
deu,2007,14000
deu,2008,13900
deu,2009,13700
deu,2010,13800
deu,2011,13800
deu,2012,14100
deu,2013,13700
deu,2014,14000
deu,2015,13200
deu,2016,13500
deu,2017,9400
dji,2000,48
dji,2001,51
dji,2002,55
dji,2003,59
dji,2004,64
dji,2005,71
dji,2006,80
dji,2007,88
dji,2008,94
dji,2009,100
dji,2010,110
dji,2011,120
dji,2012,120
dji,2013,130
dji,2014,130
dji,2015,140
dji,2016,140
dji,2017,140
dnk,2000,7200
dnk,2001,7200
dnk,2002,6800
dnk,2003,7600
dnk,2004,7900
dnk,2005,8600
dnk,2006,9100
dnk,2007,8900
dnk,2008,9400
dnk,2009,10000
dnk,2010,10800
dnk,2011,11600
dnk,2012,12900
dnk,2013,14100
dnk,2014,14000
dnk,2015,14900
dnk,2016,14800
dnk,2017,16200
dom,2000,390
dom,2001,420
dom,2002,430
dom,2003,430
dom,2004,410
dom,2005,410
dom,2006,400
dom,2007,390
dom,2008,380
dom,2009,380
dom,2010,380
dom,2011,380
dom,2012,390
dom,2013,400
dom,2014,400
dom,2015,400
dom,2016,410
dom,2017,410
dza,2000,250
dza,2001,260
dza,2002,280
dza,2003,280
dza,2004,300
dza,2005,310
dza,2006,310
dza,2007,310
dza,2008,300
dza,2009,300
dza,2010,290
dza,2011,280
dza,2012,280
dza,2013,270
dza,2014,270
dza,2015,270
dza,2016,270
dza,2017,270
ecu,2000,240
ecu,2001,260
ecu,2002,280
ecu,2003,310
ecu,2004,340
ecu,2005,350
ecu,2006,370
ecu,2007,400
ecu,2008,420
ecu,2009,440
ecu,2010,450
ecu,2011,470
ecu,2012,510
ecu,2013,540
ecu,2014,560
ecu,2015,580
ecu,2016,610
ecu,2017,640
egy,2000,430
egy,2001,440
egy,2002,480
egy,2003,510
egy,2004,560
egy,2005,580
egy,2006,600
egy,2007,630
egy,2008,640
egy,2009,630
egy,2010,610
egy,2011,640
egy,2012,630
egy,2013,660
egy,2014,670
egy,2015,670
egy,2016,700
egy,2017,730
eri,2000,16
eri,2001,17
eri,2002,18
eri,2003,20
eri,2004,23
eri,2005,26
eri,2006,29
eri,2007,32
eri,2008,34
eri,2009,35
eri,2010,36
eri,2011,37
eri,2012,38
eri,2013,39
eri,2014,40
eri,2015,41
eri,2016,44
eri,2017,46
esp,2000,16300
esp,2001,16100
esp,2002,15900
esp,2003,14800
esp,2004,15100
esp,2005,14900
esp,2006,14800
esp,2007,14900
esp,2008,14900
esp,2009,15600
esp,2010,17000
esp,2011,17000
