geo,time,sl_tlf_totl_in
arg,2008,17796615
arg,2009,18144303
arg,2010,18158593
arg,2011,18563047
arg,2012,18728448
arg,2013,18849614
arg,2014,18928695
arg,2015,19106351
arg,2016,19274835
arg,2017,19446034
arg,2018,19952439
arg,2019,20429749
arg,2020,19208592
arg,2021,20941285
arm,1990,1320228
arm,1991,1308264
arm,1992,1286672
arm,1993,1259961
arm,1994,1234262
arm,1995,1214017
arm,1996,1204607
arm,1997,1201570
arm,1998,1203778
arm,1999,1208860
arm,2000,1214690
arm,2001,1223514
arm,2002,1231891
arm,2003,1239287
arm,2004,1245098
arm,2005,1248900
arm,2006,1247702
arm,2007,1244998
arm,2008,1234269
arm,2009,1246646
arm,2010,1304215
arm,2011,1335948
arm,2012,1344874
arm,2013,1355000
arm,2014,1342620
arm,2015,1329447
arm,2016,1304794
arm,2017,1298421
arm,2018,1245611
arm,2019,1267732
arm,2020,1202591
arm,2021,1220498
aus,1990,8475893
aus,1991,8524976
aus,1992,8601726
aus,1993,8634061
aus,1994,8799677
aus,1995,9006036
aus,1996,9132954
aus,1997,9193437
aus,1998,9291229
aus,1999,9380756
aus,2000,9567850
aus,2001,9750034
aus,2002,9906614
aus,2003,10093366
aus,2004,10217131
aus,2005,10531732
aus,2006,10778084
aus,2007,10941713
aus,2008,11234490
aus,2009,11475961
aus,2010,11664656
aus,2011,11832782
aus,2012,11998883
aus,2013,12177653
aus,2014,12320637
aus,2015,12556562
aus,2016,12718524
aus,2017,12976329
aus,2018,13249617
aus,2019,13504175
aus,2020,13484888
aus,2021,13776836
aut,1990,3535944
aut,1991,3596234
aut,1992,3676557
aut,1993,3702601
aut,1994,3861784
aut,1995,3886752
aut,1996,3853787
aut,1997,3840046
aut,1998,3883217
aut,1999,3912038
aut,2000,3912110
aut,2001,3906172
aut,2002,3981298
aut,2003,4019254
aut,2004,3921984
aut,2005,4048663
aut,2006,4115134
aut,2007,4201792
aut,2008,4245798
aut,2009,4290315
aut,2010,4308084
aut,2011,4338951
aut,2012,4386197
aut,2013,4429550
aut,2014,4451602
aut,2015,4506852
aut,2016,4589908
aut,2017,4619411
aut,2018,4649702
aut,2019,4666182
aut,2020,4637815
aut,2021,4647774
aze,1990,3483013
aze,1991,3522081
aze,1992,3650669
aze,1993,3803199
aze,1994,3950444
aze,1995,4062570
aze,1996,4119397
aze,1997,4161330
aze,1998,4192532
aze,1999,4239175
aze,2000,4274824
aze,2001,4256140
aze,2002,4237050
aze,2003,4221419
aze,2004,4206541
aze,2005,4234446
aze,2006,4237901
aze,2007,4335205
aze,2008,4424004
aze,2009,4466497
aze,2010,4528109
aze,2011,4572791
aze,2012,4627324
aze,2013,4702401
aze,2014,4791071
aze,2015,4876104
aze,2016,4969576
aze,2017,5033710
aze,2018,5091128
aze,2019,5103475
aze,2020,4846887
aze,2021,4970609
bdi,1990,2558769
bdi,1991,2564818
bdi,1992,2573412
bdi,1993,2583083
bdi,1994,2592338
bdi,1995,2601482
bdi,1996,2607017
bdi,1997,2611642
bdi,1998,2620582
bdi,1999,2651693
bdi,2000,2697055
bdi,2001,2782275
bdi,2002,2882004
bdi,2003,2993327
bdi,2004,3111691
bdi,2005,3233143
bdi,2006,3352425
bdi,2007,3476102
bdi,2008,3601032
bdi,2009,3723694
bdi,2010,3842129
bdi,2011,3943624
bdi,2012,4042457
bdi,2013,4140069
bdi,2014,4239621
bdi,2015,4370030
bdi,2016,4508039
bdi,2017,4654229
bdi,2018,4808244
bdi,2019,4969385
bdi,2020,5089758
bdi,2021,5266055
bel,1990,3954511
bel,1991,4049505
bel,1992,4096527
bel,1993,4119495
bel,1994,4180545
bel,1995,4206654
bel,1996,4204821
bel,1997,4227334
bel,1998,4268779
bel,1999,4372475
bel,2000,4418785
bel,2001,4321924
bel,2002,4371677
bel,2003,4407165
bel,2004,4488316
bel,2005,4627254
bel,2006,4644197
bel,2007,4724271
bel,2008,4773360
bel,2009,4796084
bel,2010,4896640
bel,2011,4878828
bel,2012,4912649
bel,2013,4963617
bel,2014,4979700
bel,2015,4988278
bel,2016,4994033
bel,2017,5081005
bel,2018,5136194
bel,2019,5182914
bel,2020,5155729
bel,2021,5217353
ben,1990,1947748
ben,1991,2014551
ben,1992,2087438
ben,1993,2164152
ben,1994,2243407
ben,1995,2323886
ben,1996,2394635
ben,1997,2467343
ben,1998,2542712
ben,1999,2621882
ben,2000,2705727
ben,2001,2790770
ben,2002,2881278
ben,2003,2978736
ben,2004,3079953
ben,2005,3184049
ben,2006,3282301
ben,2007,3383679
ben,2008,3488763
ben,2009,3598159
ben,2010,3712416
ben,2011,3825604
ben,2012,3942161
ben,2013,4063769
ben,2014,4189856
ben,2015,4320200
ben,2016,4451938
ben,2017,4588876
ben,2018,4730774
ben,2019,4877483
ben,2020,4985420
ben,2021,5147914
bfa,1990,3899748
bfa,1991,3999978
bfa,1992,4077387
bfa,1993,4160309
bfa,1994,4248494
bfa,1995,4341483
bfa,1996,4423530
bfa,1997,4512176
bfa,1998,4605787
bfa,1999,4702685
bfa,2000,4802017
bfa,2001,4890006
bfa,2002,4982834
bfa,2003,5079908
bfa,2004,5180735
bfa,2005,5284777
bfa,2006,5378297
bfa,2007,5481494
bfa,2008,5588842
bfa,2009,5699835
bfa,2010,5813865
bfa,2011,5918602
bfa,2012,6028928
bfa,2013,6142819
bfa,2014,6258435
bfa,2015,6464546
bfa,2016,6674993
bfa,2017,6892699
bfa,2018,7118594
bfa,2019,7354219
bfa,2020,7534642
bfa,2021,7796846
bgd,1990,35272754
bgd,1991,36309530
bgd,1992,37387956
bgd,1993,38509688
bgd,1994,39678222
bgd,1995,40895568
bgd,1996,42090789
bgd,1997,43331123
bgd,1998,44603763
bgd,1999,45894258
bgd,2000,47188245
bgd,2001,48387234
bgd,2002,49600849
bgd,2003,50809260
bgd,2004,51987835
bgd,2005,53123178
bgd,2006,54083636
bgd,2007,54954286
bgd,2008,55799460
bgd,2009,56639145
bgd,2010,57493263
bgd,2011,58436990
bgd,2012,59377977
bgd,2013,60318372
bgd,2014,61262254
bgd,2015,62203550
bgd,2016,63131472
bgd,2017,66854855
bgd,2018,68073235
bgd,2019,69229775
bgd,2020,68412678
bgd,2021,69816252
bgr,1990,3925779
bgr,1991,3925951
bgr,1992,3927394
bgr,1993,3864080
bgr,1994,3818194
bgr,1995,3765406
bgr,1996,3709701
bgr,1997,3647423
bgr,1998,3580834
bgr,1999,3517873
bgr,2000,3457765
bgr,2001,3489983
bgr,2002,3396423
bgr,2003,3326236
bgr,2004,3357527
bgr,2005,3287540
bgr,2006,3371784
bgr,2007,3435586
bgr,2008,3491243
bgr,2009,3416993
bgr,2010,3415607
bgr,2011,3331408
bgr,2012,3342744
bgr,2013,3370130
bgr,2014,3359825
bgr,2015,3327156
bgr,2016,3257063
bgr,2017,3350804
bgr,2018,3319034
bgr,2019,3367271
bgr,2020,3286415
bgr,2021,3267032
bhr,1990,219088
bhr,1991,224625
bhr,1992,233759
bhr,1993,241664
bhr,1994,249892
bhr,1995,258333
bhr,1996,266164
bhr,1997,274414
bhr,1998,283328
bhr,1999,293433
bhr,2000,305968
bhr,2001,325132
bhr,2002,351479
bhr,2003,381101
bhr,2004,414881
bhr,2005,453429
bhr,2006,503707
bhr,2007,559025
bhr,2008,615491
bhr,2009,667900
bhr,2010,712547
bhr,2011,723172
bhr,2012,736418
bhr,2013,745354
bhr,2014,757129
bhr,2015,777126
bhr,2016,813315
bhr,2017,859683
bhr,2018,912981
bhr,2019,964133
bhr,2020,972372
bhr,2021,1007485
bhs,1990,123950
bhs,1991,128129
bhs,1992,131866
bhs,1993,135339
bhs,1994,138933
bhs,1995,142077
bhs,1996,143955
bhs,1997,148963
bhs,1998,153871
bhs,1999,158835
bhs,2000,161185
bhs,2001,163923
bhs,2002,167729
bhs,2003,170367
bhs,2004,173097
bhs,2005,175701
bhs,2006,178645
bhs,2007,181402
bhs,2008,184093
bhs,2009,186729
bhs,2010,189247
bhs,2011,191668
bhs,2012,200871
bhs,2013,199676
bhs,2014,203253
bhs,2015,206732
bhs,2016,210492
bhs,2017,213870
bhs,2018,217185
bhs,2019,220584
bhs,2020,204715
bhs,2021,214211
bih,1990,1561018
bih,1991,1552843
bih,1992,1520766
bih,1993,1475132
bih,1994,1423038
bih,1995,1379507
bih,1996,1352810
bih,1997,1340612
bih,1998,1334851
bih,1999,1323952
bih,2000,1322494
bih,2001,1323475
bih,2002,1325853
bih,2003,1331864
bih,2004,1333769
bih,2005,1330097
bih,2006,1332053
bih,2007,1361025
bih,2008,1360610
bih,2009,1353225
bih,2010,1378828
bih,2011,1347010
bih,2012,1332635
bih,2013,1299140
bih,2014,1281952
bih,2015,1275739
bih,2016,1240267
bih,2017,1207654
bih,2018,1187357
bih,2019,1177070
bih,2020,1193956
bih,2021,1175552
blr,1990,4552490
blr,1991,4564944
blr,1992,4625977
blr,1993,4686367
blr,1994,4756729
blr,1995,4816711
blr,1996,4823129
blr,1997,4784285
blr,1998,4759220
blr,1999,4759530
blr,2000,4805884
blr,2001,4845294
blr,2002,4880260
blr,2003,4911193
blr,2004,4938089
blr,2005,4957620
blr,2006,4972235
blr,2007,4989757
blr,2008,5007600
blr,2009,5025124
blr,2010,5038739
blr,2011,5043129
blr,2012,5046715
blr,2013,5052578
blr,2014,5061572
blr,2015,5074277
blr,2016,5088830
blr,2017,5076176
blr,2018,5063569
blr,2019,5028781
blr,2020,4971927
blr,2021,4940660
blz,1990,58666
blz,1991,60325
blz,1992,61835
blz,1993,63193
blz,1994,64607
blz,1995,67671
blz,1996,71570
blz,1997,76053
blz,1998,79333
blz,1999,83632
blz,2000,87259
blz,2001,90856
blz,2002,94349
blz,2003,97837
blz,2004,101476
blz,2005,105320
blz,2006,109682
blz,2007,114214
blz,2008,118892
blz,2009,123687
blz,2010,128573
blz,2011,133680
blz,2012,138797
blz,2013,143961
blz,2014,150728
blz,2015,156522
blz,2016,162081
blz,2017,166252
blz,2018,171026
blz,2019,175539
blz,2020,170828
blz,2021,178056
bol,1990,2862326
bol,1991,2940954
bol,1992,3010061
bol,1993,3094277
bol,1994,3182837
bol,1995,3273301
bol,1996,3360311
bol,1997,3452409
bol,1998,3528153
bol,1999,3606370
bol,2000,3687215
bol,2001,3793707
bol,2002,3903550
bol,2003,4016609
bol,2004,4132754
bol,2005,4252111
bol,2006,4371661
bol,2007,4420346
bol,2008,4518001
bol,2009,4641844
bol,2010,4742968
bol,2011,4846370
bol,2012,4723397
bol,2013,4875374
bol,2014,5131268
bol,2015,4928636
bol,2016,5054335
bol,2017,5259275
bol,2018,5618578
bol,2019,5645342
bol,2020,5251670
bol,2021,6311729
bra,1990,59178068
bra,1991,60632288
bra,1992,62503270
bra,1993,64406417
bra,1994,66380999
bra,1995,68438752
bra,1996,68225692
bra,1997,70787349
bra,1998,72687381
bra,1999,75014919
bra,2000,77377185
bra,2001,79670542
bra,2002,82226244
bra,2003,83821485
bra,2004,86393585
bra,2005,88870707
bra,2006,89980224
bra,2007,91126146
bra,2008,92409809
bra,2009,94205652
bra,2010,94040209
bra,2011,93794015
bra,2012,94871140
bra,2013,96095664
bra,2014,97184947
bra,2015,98729764
bra,2016,99749646
bra,2017,101501800
bra,2018,102576163
bra,2019,104376954
bra,2020,96539743
bra,2021,99427940
brb,1990,133495
brb,1991,130468
brb,1992,133310
brb,1993,135490
brb,1994,137681
brb,1995,139999
brb,1996,138513
brb,1997,140989
brb,1998,142106
brb,1999,143174
brb,2000,145844
brb,2001,148868
brb,2002,147600
brb,2003,150135
brb,2004,151979
brb,2005,152684
brb,2006,149927
brb,2007,150785
brb,2008,151391
brb,2009,150815
brb,2010,150802
brb,2011,154038
brb,2012,151737
brb,2013,153789
brb,2014,148096
brb,2015,149130
brb,2016,153451
brb,2017,151745
brb,2018,150615
brb,2019,148325
brb,2020,141940
brb,2021,143364
brn,1990,110733
brn,1991,114482
brn,1992,118677
brn,1993,123004
brn,1994,127468
brn,1995,132107
brn,1996,136606
brn,1997,141331
brn,1998,146230
brn,1999,151281
brn,2000,156443
brn,2001,161470
brn,2002,165720
brn,2003,169839
brn,2004,173727
brn,2005,177426
brn,2006,180333
brn,2007,183243
brn,2008,186068
brn,2009,188796
brn,2010,191517
brn,2011,194832
brn,2012,196639
brn,2013,198270
brn,2014,199879
brn,2015,201490
brn,2016,202432
brn,2017,203713
brn,2018,215909
brn,2019,215967
brn,2020,216798
brn,2021,218653
btn,1990,212372
btn,1991,213536
btn,1992,213346
btn,1993,212627
btn,1994,212450
btn,1995,213555
btn,1996,217875
btn,1997,224028
btn,1998,231585
btn,1999,239952
btn,2000,248668
btn,2001,257763
btn,2002,267252
btn,2003,276905
btn,2004,286409
btn,2005,295544
btn,2006,302619
btn,2007,309201
btn,2008,315468
btn,2009,321753
btn,2010,321541
btn,2011,325395
btn,2012,318153
btn,2013,330423
btn,2014,324016
btn,2015,333757
btn,2016,339920
btn,2017,345577
btn,2018,350831
btn,2019,355850
btn,2020,344741
btn,2021,353617
bwa,1990,418801
bwa,1991,434760
bwa,1992,449977
bwa,1993,464895
bwa,1994,480197
bwa,1995,496274
bwa,1996,512062
bwa,1997,528778
bwa,1998,545996
bwa,1999,562952
bwa,2000,579053
bwa,2001,597765
bwa,2002,615328
bwa,2003,632478
bwa,2004,650297
bwa,2005,669405
bwa,2006,689223
bwa,2007,721438
bwa,2008,754673
bwa,2009,787142
bwa,2010,764106
bwa,2011,777636
bwa,2012,788714
bwa,2013,798872
bwa,2014,810392
bwa,2015,824731
bwa,2016,844352
bwa,2017,867433
bwa,2018,892954
bwa,2019,919329
bwa,2020,950933
bwa,2021,971469
caf,1990,1130533
caf,1991,1158951
caf,1992,1191898
caf,1993,1228091
caf,1994,1265878
caf,1995,1304011
caf,1996,1338026
caf,1997,1372044
caf,1998,1406301
caf,1999,1441240
caf,2000,1477085
caf,2001,1507068
caf,2002,1537870
caf,2003,1569302
caf,2004,1601151
caf,2005,1633259
caf,2006,1660600
caf,2007,1688541
caf,2008,1715553
caf,2009,1739671
caf,2010,1759855
caf,2011,1763094
caf,2012,1762364
caf,2013,1761090
caf,2014,1763378
caf,2015,1772055
caf,2016,1796334
caf,2017,1827814
caf,2018,1865485
caf,2019,1907420
caf,2020,1933193
caf,2021,1996913
can,1990,14746930
can,1991,14812002
can,1992,14793920
can,1993,14881272
can,1994,15018804
can,1995,15123399
can,1996,15269856
can,1997,15511971
can,1998,15759602
can,1999,16045919
can,2000,16311911
can,2001,16594438
can,2002,17078583
can,2003,17472797
can,2004,17680867
can,2005,17821886
can,2006,18030705
can,2007,18379605
can,2008,18667574
can,2009,18799155
can,2010,19001081
can,2011,19147395
can,2012,19322866
can,2013,19546552
can,2014,19629145
can,2015,19747709
can,2016,19955331
can,2017,20218237
can,2018,20396646
can,2019,20792599
can,2020,20509919
can,2021,21072276
chanisl,1990,67990
chanisl,1991,68352
chanisl,1992,68381
chanisl,1993,68251
chanisl,1994,68274
chanisl,1995,68651
chanisl,1996,69183
chanisl,1997,69686
chanisl,1998,70384
chanisl,1999,71101
chanisl,2000,71541
chanisl,2001,73029
chanisl,2002,73866
chanisl,2003,74664
chanisl,2004,74887
chanisl,2005,75400
chanisl,2006,75825
chanisl,2007,76636
chanisl,2008,78324
chanisl,2009,79658
chanisl,2010,80069
chanisl,2011,80507
chanisl,2012,81122
chanisl,2013,81695
chanisl,2014,82369
chanisl,2015,83245
chanisl,2016,84258
chanisl,2017,85406
chanisl,2018,86631
chanisl,2019,87761
chanisl,2020,87828
chanisl,2021,88378
che,1990,3804025
che,1991,3858884
che,1992,3887739
che,1993,3910705
che,1994,3883991
che,1995,3887882
che,1996,3936506
che,1997,3932483
che,1998,3980566
che,1999,3996681
che,2000,3995758
che,2001,4056516
che,2002,4093004
che,2003,4142863
che,2004,4148223
che,2005,4169947
che,2006,4233097
che,2007,4302621
che,2008,4407074
che,2009,4478038
che,2010,4453227
che,2011,4538630
che,2012,4596661
che,2013,4654480
che,2014,4738681
che,2015,4809451
che,2016,4889972
che,2017,4924149
che,2018,4961213
che,2019,4976748
che,2020,4984814
che,2021,4960001
chl,1990,4872976
chl,1991,5030431
chl,1992,5229319
chl,1993,5386454
chl,1994,5529098
chl,1995,5716603
chl,1996,5882318
chl,1997,5987243
chl,1998,6108428
chl,1999,6206083
chl,2000,6233433
chl,2001,6247071
chl,2002,6301163
chl,2003,6473698
chl,2004,6633642
chl,2005,6795422
chl,2006,7058723
chl,2007,7245422
chl,2008,7529103
chl,2009,7632661
chl,2010,7797414
chl,2011,8086638
chl,2012,8164043
chl,2013,8281662
chl,2014,8432818
chl,2015,8542744
chl,2016,8652497
chl,2017,8846878
chl,2018,8993608
chl,2019,9090403
chl,2020,8537487
chl,2021,8500659
chn,1990,641782741
chn,1991,649068045
chn,1992,658342808
chn,1993,668573040
chn,1994,678096100
chn,1995,685900377
chn,1996,697793533
chn,1997,705825497
chn,1998,711992116
chn,1999,719407536
chn,2000,729522246
chn,2001,735178551
chn,2002,743789442
chn,2003,753781845
chn,2004,762411145
chn,2005,768361191
chn,2006,772580688
chn,2007,774309415
chn,2008,774161889
chn,2009,773219748
chn,2010,772108526
chn,2011,778977720
chn,2012,782865417
chn,2013,786673270
chn,2014,791323527
chn,2015,795251107
chn,2016,797667977
chn,2017,799175185
chn,2018,799480075
chn,2019,800020955
chn,2020,792401719
chn,2021,793776685
civ,1990,4289363
civ,1991,4452334
civ,1992,4625664
civ,1993,4807146
civ,1994,4993584
civ,1995,5182341
civ,1996,5353165
civ,1997,5526529
civ,1998,5699997
civ,1999,5832501
civ,2000,5959271
civ,2001,6039616
civ,2002,6114727
civ,2003,6188135
civ,2004,6264536
civ,2005,6348017
civ,2006,6438218
civ,2007,6538199
civ,2008,6647473
civ,2009,6764522
civ,2010,6887868
civ,2011,7020913
civ,2012,7159386
civ,2013,7303594
civ,2014,7454225
civ,2015,7610929
civ,2016,7763092
civ,2017,7922954
civ,2018,8151479
civ,2019,8385280
civ,2020,8549394
civ,2021,8806026
cmr,1990,5252929
cmr,1991,5404613
cmr,1992,5563331
cmr,1993,5729432
cmr,1994,5903404
cmr,1995,6086090
cmr,1996,6264294
cmr,1997,6451990
cmr,1998,6649491
cmr,1999,6856146
cmr,2000,7071237
cmr,2001,7280342
cmr,2002,7497332
cmr,2003,7722587
cmr,2004,7956562
cmr,2005,8199428
cmr,2006,8434331
cmr,2007,8681907
cmr,2008,8724528
cmr,2009,8742253
cmr,2010,8731386
cmr,2011,8980552
cmr,2012,9238356
cmr,2013,9505237
cmr,2014,9783304
cmr,2015,10073542
cmr,2016,10369372
cmr,2017,10678160
cmr,2018,10999787
cmr,2019,11333454
cmr,2020,11575786
cmr,2021,11954982
cod,1990,13740480
cod,1991,14225481
cod,1992,14765980
cod,1993,15333028
cod,1994,15893188
cod,1995,16428194
cod,1996,16862627
cod,1997,17270671
cod,1998,17675817
cod,1999,18107727
cod,2000,18585329
cod,2001,19081718
cod,2002,19631914
cod,2003,20229901
cod,2004,20867142
cod,2005,21537892
cod,2006,21917041
cod,2007,22324099
cod,2008,22750370
cod,2009,23187587
cod,2010,23631512
cod,2011,24034512
cod,2012,24452870
cod,2013,25264789
cod,2014,26117301
cod,2015,27012688
cod,2016,27913180
cod,2017,28865228
cod,2018,29864531
cod,2019,30907455
cod,2020,31465473
cod,2021,32706537
cog,1990,895459
cog,1991,923876
cog,1992,953723
cog,1993,984888
cog,1994,1017094
cog,1995,1050184
cog,1996,1084112
cog,1997,1119164
cog,1998,1155196
cog,1999,1192141
cog,2000,1229930
cog,2001,1266724
cog,2002,1304575
cog,2003,1344079
cog,2004,1386007
cog,2005,1430845
cog,2006,1480403
cog,2007,1532907
cog,2008,1586919
cog,2009,1640604
cog,2010,1692836
cog,2011,1735808
cog,2012,1777719
cog,2013,1819718
cog,2014,1863400
cog,2015,1910047
cog,2016,1961279
cog,2017,2015938
cog,2018,2073695
cog,2019,2134000
cog,2020,2129699
cog,2021,2215222
col,1990,14125114
col,1991,14471080
col,1992,14869031
col,1993,15307185
col,1994,15768345
col,1995,16229382
col,1996,16605692
col,1997,17038063
col,1998,17408972
col,1999,17643499
col,2000,18071395
col,2001,18485766
col,2002,18594245
col,2003,19221667
col,2004,19187151
col,2005,19416752
col,2006,19720231
col,2007,19577933
col,2008,20142417
col,2009,21482206
col,2010,22287035
col,2011,22936897
col,2012,23642905
col,2013,23895273
col,2014,24346029
col,2015,24918312
col,2016,25273396
col,2017,25756727
col,2018,26125205
col,2019,26284990
col,2020,24826218
col,2021,25913119
com,1990,94101
com,1991,96886
com,1992,99808
com,1993,102853
com,1994,106024
com,1995,109305
com,1996,112644
com,1997,116069
com,1998,119592
com,1999,123193
com,2000,126872
com,2001,130496
com,2002,134196
com,2003,137978
com,2004,141840
com,2005,147190
com,2006,152556
com,2007,158095
com,2008,163804
com,2009,169695
com,2010,175768
com,2011,181875
com,2012,188198
com,2013,194726
com,2014,201455
com,2015,206665
com,2016,211843
com,2017,217152
com,2018,222586
com,2019,228115
com,2020,228922
com,2021,235884
cpv,1990,110687
cpv,1991,113260
cpv,1992,116304
cpv,1993,119709
cpv,1994,123348
cpv,1995,127121
cpv,1996,130595
cpv,1997,134265
cpv,1998,138093
cpv,1999,141997
cpv,2000,145952
cpv,2001,150755
cpv,2002,155350
cpv,2003,159892
cpv,2004,164596
cpv,2005,169530
cpv,2006,174644
cpv,2007,179996
cpv,2008,185435
cpv,2009,190676
cpv,2010,195560
cpv,2011,199978
cpv,2012,204123
cpv,2013,208080
cpv,2014,212043
cpv,2015,216075
cpv,2016,220104
cpv,2017,224342
cpv,2018,214658
cpv,2019,225349
cpv,2020,211873
cpv,2021,221054
cri,1990,1151801
cri,1991,1166714
cri,1992,1183921
cri,1993,1240398
cri,1994,1290807
cri,1995,1355530
cri,1996,1349489
cri,1997,1446286
cri,1998,1531957
cri,1999,1579730
cri,2000,1605783
cri,2001,1711510
cri,2002,1747203
cri,2003,1804626
cri,2004,1814560
cri,2005,1930209
cri,2006,1965286
cri,2007,2037762
cri,2008,2067066
cri,2009,2088453
cri,2010,2051461
cri,2011,2077942
cri,2012,2245872
cri,2013,2261015
cri,2014,2308993
cri,2015,2295745
cri,2016,2212664
cri,2017,2259645
cri,2018,2369041
cri,2019,2482184
cri,2020,2368243
cri,2021,2418503
cub,1990,4334477
cub,1991,4343117
cub,1992,4341280
cub,1993,4319692
cub,1994,4346920
cub,1995,4376572
cub,1996,4436937
cub,1997,4469835
cub,1998,4489586
cub,1999,4533598
cub,2000,4585373
cub,2001,4626660
cub,2002,4673864
cub,2003,4734276
cub,2004,4795837
cub,2005,4864091
cub,2006,4929715
cub,2007,4969380
cub,2008,4992279
cub,2009,5118805
cub,2010,5078837
cub,2011,5152741
cub,2012,5185962
cub,2013,5219536
cub,2014,5246243
cub,2015,5282677
cub,2016,5295539
cub,2017,5314631
cub,2018,5334777
cub,2019,5345330
cub,2020,5099652
cub,2021,5166765
cyp,1990,338393
cyp,1991,349467
cyp,1992,355050
cyp,1993,364793
cyp,1994,375057
cyp,1995,385818
cyp,1996,395692
cyp,1997,406495
cyp,1998,417870
cyp,1999,429480
cyp,2000,441245
cyp,2001,462162
cyp,2002,474225
cyp,2003,495521
cyp,2004,506173
cyp,2005,519600
cyp,2006,534263
cyp,2007,553842
cyp,2008,564611
cyp,2009,571993
cyp,2010,587534
cyp,2011,590673
cyp,2012,594715
cyp,2013,599510
cyp,2014,609418
cyp,2015,600993
cyp,2016,595904
cyp,2017,604631
cyp,2018,617517
cyp,2019,628547
cyp,2020,631523
cyp,2021,636100
cze,1990,4972210
cze,1991,4991595
cze,1992,5035129
cze,1993,5084682
cze,1994,5144853
cze,1995,5167710
cze,1996,5172547
cze,1997,5150843
cze,1998,5165368
cze,1999,5185955
cze,2000,5147681
cze,2001,5123490
cze,2002,5120244
cze,2003,5115954
cze,2004,5111149
cze,2005,5170177
cze,2006,5181892
cze,2007,5178135
cze,2008,5206347
cze,2009,5256635
cze,2010,5249490
cze,2011,5235777
cze,2012,5268185
cze,2013,5316855
cze,2014,5312842
cze,2015,5319342
cze,2016,5368589
cze,2017,5398388
cze,2018,5434099
cze,2019,5430539
cze,2020,5388485
cze,2021,5381852
deu,1990,38750231
deu,1991,39906285
deu,1992,39705995
deu,1993,39658638
deu,1994,39676486
deu,1995,39479387
deu,1996,39579720
deu,1997,39718192
deu,1998,39766710
deu,1999,39979495
deu,2000,39835215
deu,2001,40000504
deu,2002,40045540
deu,2003,40245929
deu,2004,40052833
deu,2005,41232898
deu,2006,41686001
deu,2007,41856167
deu,2008,41910272
deu,2009,41974586
deu,2010,41963382
deu,2011,41720726
deu,2012,41825064
deu,2013,42181439
deu,2014,42438398
deu,2015,42654597
deu,2016,43551192
deu,2017,43789062
deu,2018,43884544
deu,2019,44351163
deu,2020,44078049
deu,2021,43838139
dji,1990,117540
dji,1991,120742
