geo,time,sh_sta_maln_ma_zs
kwt,2003,2.8
kwt,2004,2.9
kwt,2005,2.9
kwt,2006,2.1
kwt,2007,3.1
kwt,2008,2.8
kwt,2009,2
kwt,2010,1.9
kwt,2011,2.4
kwt,2012,2.1
kwt,2013,3.1
kwt,2014,3.5
lao,2000,37.2
lao,2006,32.7
lao,2011,26.8
lao,2015,27.1
lao,2017,21.6
lbn,1996,3.8
lbn,2004,5.4
lbr,2000,27.6
lbr,2007,21.7
lbr,2010,17.7
lbr,2013,16.8
lbr,2016,15
lbr,2019,11.4
lby,1995,4.6
lby,2007,6.3
lby,2014,13
lca,2012,4
lka,1993,29
lka,2000,21.6
lka,2007,22.6
lka,2009,21.6
lka,2012,25.6
lka,2016,20.6
lso,2004,17.1
lso,2009,15.9
lso,2014,12.8
lso,2018,12
mar,1987,10.4
mar,1992,8.4
mar,1997,8.2
mar,2003,10.5
mar,2011,2.7
mar,2017,2.6
mda,2005,3
mda,2012,2.1
mdg,1992,38.1
mdg,2004,39.1
mdg,2012,35.3
mdg,2018,28.4
mdv,1994,33.2
mdv,2001,25.5
mdv,2009,18.5
mdv,2017,14.2
mex,1988,10.8
mex,1998,6.2
mex,2006,4.3
mex,2012,2.9
mex,2015,4.2
mex,2016,5.2
mex,2019,4.2
mhl,2017,14.1
mkd,1999,2.1
mkd,2005,1.7
mkd,2011,1.5
mkd,2019,0.7
mli,2001,31.7
mli,2006,29.8
mli,2010,20.3
mli,2011,23.1
mli,2014,24.8
mli,2015,27.3
mli,2016,21.6
mli,2017,19.4
mli,2018,19.6
mli,2019,20.2
mmr,2000,31.6
mmr,2003,29.5
mmr,2009,23
mmr,2016,19.1
mmr,2018,18.7
mne,2005,2.8
mne,2013,1.1
mne,2018,3.8
mng,1999,11.3
mng,2000,12.6
mng,2004,5.3
mng,2005,5.3
mng,2010,3.6
mng,2013,1.4
mng,2016,1
mng,2018,2
moz,2001,26.7
moz,2003,22.5
moz,2008,20.5
moz,2011,17.6
moz,2015,16.7
mrt,2000,31.4
mrt,2007,26.4
mrt,2008,18.3
mrt,2011,25.8
mrt,2012,22.8
mrt,2015,27
mrt,2018,21.2
mwi,1992,26.4
mwi,1998,26.5
mwi,2000,22.9
mwi,2002,23
mwi,2004,19.7
mwi,2006,17.3
mwi,2009,12.9
mwi,2010,15
mwi,2014,17.6
mwi,2015,13.1
mwi,2016,16
mwi,2017,14.2
mwi,2018,11.8
mwi,2019,9.8
mys,2006,13
mys,2015,13.2
mys,2016,14.9
mys,2019,15.5
nam,1992,23.1
nam,2000,21.1
nam,2007,18.5
nam,2013,15
ner,1992,39.9
ner,2000,44.2
ner,2006,36.2
ner,2007,39.3
ner,2008,35.4
ner,2009,34.9
ner,2010,41.6
ner,2011,40.2
ner,2012,33.8
ner,2013,34.9
ner,2014,36.1
ner,2015,37.4
ner,2016,33
ner,2018,38.3
ner,2019,33.4
nga,1990,34.5
nga,2003,28.5
nga,2011,24.4
nga,2014,22.1
nga,2015,20.5
nga,2016,33.1
nga,2018,23.1
nga,2020,21.8
nic,1993,10.4
nic,1998,11.2
nic,2001,8.4
nic,2004,5.3
nic,2007,5.6
nic,2012,5
nld,1996,1.2
nld,2009,1.3
npl,1998,38.8
npl,2001,42.1
npl,2006,37.6
npl,2011,29.6
npl,2014,28.4
npl,2016,27.1
npl,2019,25
nru,2007,6.9
omn,1999,13.8
omn,2009,8.9
omn,2014,11
omn,2017,11.1
pak,1991,39.8
pak,1992,34.2
pak,2001,31.4
pak,2011,31.9
pak,2013,34.2
pak,2018,24
pan,1997,5.4
pan,2003,6.1
pan,2008,2.8
pan,2019,3.3
per,1991,9.7
per,1996,6.4
per,2000,5.2
per,2005,6
per,2007,4.2
per,2009,4.9
per,2010,4.8
per,2011,4.1
per,2012,3.7
per,2013,4.3
per,2014,3.4
per,2015,3.5
per,2016,3.3
per,2017,3.6
per,2018,2.6
per,2019,2.6
phl,2003,20.3
phl,2008,20.7
phl,2011,20
phl,2013,19.3
phl,2015,21.5
png,2005,21
png,2010,28.9
pol,2011,0.8
prk,2002,19.2
prk,2009,18.8
prk,2012,15.5
prk,2017,9.6
prt,2016,0.2
pry,1990,2.2
pry,2012,2.8
pry,2016,1.4
pse,1996,2.5
pse,2000,2.1
pse,2004,3.6
pse,2006,2.5
pse,2010,4
pse,2014,1.6
pse,2020,2.6
rou,1999,4
rou,2000,4.5
rou,2001,4.5
rou,2002,4
rwa,1992,25.4
rwa,2000,22.4
rwa,2005,18.8
rwa,2010,13
rwa,2012,12.8
rwa,2015,10.4
rwa,2018,14
rwa,2020,9
sau,2004,6.1
sdn,2006,28.1
sdn,2010,31
sdn,2014,34.6
sen,1993,19.7
sen,2000,19.6
sen,2005,14.7
sen,2011,19.5
sen,2012,15.5
sen,2013,17.9
sen,2014,13.7
sen,2015,17.3
sen,2016,15.4
sen,2017,14.9
sen,2018,16.8
sen,2019,16.1
slb,1989,18.1
slb,2007,10.4
slb,2015,16.2
sle,2000,27.3
sle,2005,29.9
sle,2010,20.6
sle,2014,14.7
sle,2017,15.7
sle,2019,14.3
slv,1988,11.6
slv,1993,9.3
slv,1998,9.9
slv,2003,6.9
slv,2008,6.6
slv,2014,5.4
som,2006,34.3
som,2009,24
srb,2005,2.2
srb,2010,1.5
srb,2014,1.8
srb,2019,1.6
ssd,2006,35.9
ssd,2010,30.7
stp,2014,10.6
stp,2019,6.2
sur,2000,12.3
sur,2006,8
sur,2010,6.2
sur,2018,7.7
swz,2000,9.4
swz,2006,6.3
swz,2010,6.8
swz,2014,7.3
syc,2012,4.1
syr,1993,12.5
syr,2001,13.1
syr,2006,11.6
syr,2010,11.8
tcd,1997,35.9
tcd,2000,30.2
tcd,2004,34.9
tcd,2010,32.5
tcd,2015,31
tcd,2017,27
tcd,2018,26.4
tcd,2019,31.4
tgo,2008,20.5
tgo,2009,17.2
tgo,2010,16.3
tgo,2012,18.2
tgo,2014,17.1
tgo,2017,16.1
tha,2006,6.9
tha,2012,9.9
tha,2016,7.6
tha,2019,8.7
tjk,2005,16.4
tjk,2007,16
tjk,2009,9
tjk,2012,13.5
tjk,2016,6.6
tjk,2017,8.1
tkm,2006,10.9
tkm,2015,3.2
tkm,2019,3.5
tls,2002,43
tls,2007,48.5
tls,2009,46.3
tls,2013,38.7
ton,2012,2.1
ton,2019,1
tto,2000,4.3
tto,2011,6.1
tun,2006,3.7
tun,2012,3.2
tun,2018,1.8
tur,1993,9.5
tur,1998,6.9
tur,2004,3.1
tur,2008,1.7
tur,2013,2.3
tur,2018,1.3
tuv,2007,1.9
tza,1991,26.6
tza,1996,28.4
tza,1999,23.8
tza,2004,18
tza,2009,17.2
tza,2010,17.8
tza,2011,15.1
tza,2013,13.1
tza,2014,14.6
tza,2015,14.1
tza,2018,15.7
uga,1988,20.4
uga,2000,21.3
uga,2006,18.1
uga,2009,16.3
uga,2011,15.4
uga,2012,12.9
uga,2014,12.7
uga,2016,11.3
ukr,2000,4.8
ury,2002,5.9
ury,2004,6.7
ury,2013,1.1
ury,2016,2.4
ury,2018,2.3
usa,1991,0.5
usa,2000,1.3
usa,2002,1.4
usa,2004,1.5
usa,2006,1
usa,2008,0.9
usa,2010,1.1
usa,2012,0.5
usa,2014,0.8
usa,2016,1.6
usa,2018,0.5
uzb,2002,8.4
uzb,2006,4.6
uzb,2017,3.1
vnm,1993,37.8
vnm,2000,26.7
vnm,2009,18.4
vnm,2010,12.1
vut,2008,13.8
vut,2013,13
wsm,2014,3.3
wsm,2019,3.3
yem,1991,31.8
yem,1997,44.9
yem,2003,46.9
yem,2005,39.6
yem,2011,37.1
yem,2013,40.9
zaf,2008,9.1
zaf,2015,5.1
zaf,2016,6.7
zaf,2017,6.7
zmb,1992,22.3
zmb,1996,21.1
zmb,1999,22.2
zmb,2002,24.3
zmb,2007,16.9
zmb,2013,16.3
zmb,2018,13.5
zwe,1988,8.7
zwe,1999,12.7
zwe,2005,15.1
zwe,2009,13
zwe,2010,11.6
zwe,2014,12.5
zwe,2015,8.8
zwe,2019,10.3
