geo,time,dc_oda_totl_gn_zs
cze,2004,0.107
cze,2005,0.114
cze,2006,0.12
cze,2007,0.11
cze,2008,0.124
cze,2009,0.12
cze,2010,0.127
cze,2011,0.125
cze,2012,0.121
cze,2013,0.114
cze,2014,0.112
cze,2015,0.118
cze,2016,0.142
deu,1960,0.31
deu,1961,0.446
deu,1962,0.449
deu,1963,0.407
deu,1964,0.437
deu,1965,0.398
deu,1966,0.344
deu,1967,0.412
deu,1968,0.417
deu,1969,0.38
deu,1970,0.324
deu,1971,0.341
deu,1972,0.316
deu,1973,0.32
deu,1974,0.377
deu,1975,0.404
deu,1976,0.356
deu,1977,0.332
deu,1978,0.365
deu,1979,0.445
deu,1980,0.438
deu,1981,0.465
deu,1982,0.479
deu,1983,0.484
deu,1984,0.449
deu,1985,0.472
deu,1986,0.427
deu,1987,0.391
deu,1988,0.392
deu,1989,0.412
deu,1990,0.421
deu,1991,0.387
deu,1992,0.373
deu,1993,0.354
deu,1994,0.327
deu,1995,0.308
deu,1996,0.32
deu,1997,0.278
deu,1998,0.261
deu,1999,0.264
deu,2000,0.27
deu,2001,0.271
deu,2002,0.268
deu,2003,0.284
deu,2004,0.276
deu,2005,0.36
deu,2006,0.356
deu,2007,0.367
deu,2008,0.383
deu,2009,0.355
deu,2010,0.387
deu,2011,0.387
deu,2012,0.372
deu,2013,0.381
deu,2014,0.419
deu,2015,0.523
deu,2016,0.699
dnk,1960,0.089
dnk,1961,0.123
dnk,1962,0.101
dnk,1963,0.11
dnk,1964,0.112
dnk,1965,0.128
dnk,1966,0.189
dnk,1967,0.215
dnk,1968,0.232
dnk,1969,0.383
dnk,1970,0.375
dnk,1971,0.422
dnk,1972,0.443
dnk,1973,0.463
dnk,1974,0.533
dnk,1975,0.55
dnk,1976,0.52
dnk,1977,0.56
dnk,1978,0.697
dnk,1979,0.712
dnk,1980,0.743
dnk,1981,0.727
dnk,1982,0.769
dnk,1983,0.726
dnk,1984,0.851
dnk,1985,0.802
dnk,1986,0.885
dnk,1987,0.876
dnk,1988,0.892
dnk,1989,0.934
dnk,1990,0.944
dnk,1991,0.961
dnk,1992,1.024
dnk,1993,1.034
dnk,1994,1.028
dnk,1995,0.963
dnk,1996,1.044
dnk,1997,0.974
dnk,1998,0.995
dnk,1999,1.009
dnk,2000,1.061
dnk,2001,1.03
dnk,2002,0.964
dnk,2003,0.838
dnk,2004,0.847
dnk,2005,0.812
dnk,2006,0.798
dnk,2007,0.808
dnk,2008,0.817
dnk,2009,0.88
dnk,2010,0.909
dnk,2011,0.852
dnk,2012,0.83
dnk,2013,0.852
dnk,2014,0.856
dnk,2015,0.847
dnk,2016,0.752
esp,1980,0.077
esp,1981,0.13
esp,1982,0.133
esp,1983,0.044
esp,1984,0.085
esp,1985,0.103
esp,1986,0.089
esp,1987,0.081
esp,1988,0.072
esp,1989,0.142
esp,1990,0.199
esp,1991,0.242
esp,1992,0.268
esp,1993,0.275
esp,1994,0.277
esp,1995,0.243
esp,1996,0.218
esp,1997,0.235
esp,1998,0.244
esp,1999,0.23
esp,2000,0.216
esp,2001,0.303
esp,2002,0.263
esp,2003,0.234
esp,2004,0.239
esp,2005,0.272
esp,2006,0.315
esp,2007,0.367
esp,2008,0.447
esp,2009,0.459
esp,2010,0.428
esp,2011,0.286
esp,2012,0.156
esp,2013,0.174
esp,2014,0.134
esp,2015,0.117
esp,2016,0.347
fin,1961,0.035
fin,1962,0.037
fin,1963,0.044
fin,1964,0.035
fin,1965,0.025
fin,1966,0.039
fin,1967,0.047
fin,1968,0.057
fin,1969,0.144
fin,1970,0.063
fin,1971,0.112
fin,1972,0.146
fin,1973,0.152
fin,1974,0.161
fin,1975,0.172
fin,1976,0.169
fin,1977,0.154
fin,1978,0.16
fin,1979,0.213
fin,1980,0.218
fin,1981,0.271
fin,1982,0.29
fin,1983,0.317
fin,1984,0.355
fin,1985,0.403
fin,1986,0.456
fin,1987,0.503
fin,1988,0.596
fin,1989,0.639
fin,1990,0.647
fin,1991,0.798
fin,1992,0.639
fin,1993,0.451
fin,1994,0.309
fin,1995,0.312
fin,1996,0.329
fin,1997,0.316
fin,1998,0.315
fin,1999,0.33
fin,2000,0.311
fin,2001,0.324
fin,2002,0.352
fin,2003,0.348
fin,2004,0.367
fin,2005,0.461
fin,2006,0.396
fin,2007,0.394
fin,2008,0.438
fin,2009,0.542
fin,2010,0.55
fin,2011,0.531
fin,2012,0.534
fin,2013,0.535
fin,2014,0.594
fin,2015,0.55
fin,2016,0.44
fra,1960,1.348
fra,1961,1.358
fra,1962,1.271
fra,1963,0.983
fra,1964,0.895
fra,1965,0.758
fra,1966,0.691
fra,1967,0.709
fra,1968,0.669
fra,1969,0.674
fra,1970,0.519
fra,1971,0.51
fra,1972,0.493
fra,1973,0.425
fra,1974,0.441
fra,1975,0.44
fra,1976,0.406
fra,1977,0.384
fra,1978,0.385
fra,1979,0.423
fra,1980,0.438
fra,1981,0.515
fra,1982,0.56
fra,1983,0.561
fra,1984,0.618
fra,1985,0.614
fra,1986,0.558
fra,1987,0.597
fra,1988,0.575
fra,1989,0.606
fra,1990,0.602
fra,1991,0.616
fra,1992,0.627
fra,1993,0.632
fra,1994,0.617
fra,1995,0.546
fra,1996,0.482
fra,1997,0.437
fra,1998,0.384
fra,1999,0.382
fra,2000,0.305
fra,2001,0.309
fra,2002,0.375
fra,2003,0.403
fra,2004,0.412
fra,2005,0.474
fra,2006,0.468
fra,2007,0.38
fra,2008,0.385
fra,2009,0.471
fra,2010,0.495
fra,2011,0.46
fra,2012,0.453
fra,2013,0.406
fra,2014,0.368
fra,2015,0.368
fra,2016,0.384
gbr,1960,0.563
gbr,1961,0.592
gbr,1962,0.519
gbr,1963,0.48
gbr,1964,0.527
gbr,1965,0.469
gbr,1966,0.453
gbr,1967,0.44
gbr,1968,0.401
gbr,1969,0.428
gbr,1970,0.389
gbr,1971,0.441
gbr,1972,0.419
gbr,1973,0.355
gbr,1974,0.397
gbr,1975,0.384
gbr,1976,0.388
gbr,1977,0.44
gbr,1978,0.455
gbr,1979,0.515
gbr,1980,0.347
gbr,1981,0.426
gbr,1982,0.371
gbr,1983,0.352
gbr,1984,0.334
gbr,1985,0.334
gbr,1986,0.313
gbr,1987,0.275
gbr,1988,0.321
gbr,1989,0.312
gbr,1990,0.274
gbr,1991,0.319
gbr,1992,0.312
gbr,1993,0.312
gbr,1994,0.307
gbr,1995,0.286
gbr,1996,0.274
gbr,1997,0.262
gbr,1998,0.274
gbr,1999,0.236
gbr,2000,0.317
gbr,2001,0.319
gbr,2002,0.309
gbr,2003,0.342
gbr,2004,0.363
gbr,2005,0.473
gbr,2006,0.514
gbr,2007,0.355
gbr,2008,0.43
gbr,2009,0.508
gbr,2010,0.573
gbr,2011,0.562
gbr,2012,0.562
gbr,2013,0.705
gbr,2014,0.702
gbr,2015,0.704
gbr,2016,0.7
grc,1996,0.149
grc,1997,0.144
grc,1998,0.149
grc,1999,0.155
grc,2000,0.202
grc,2001,0.172
grc,2002,0.207
grc,2003,0.209
grc,2004,0.157
grc,2005,0.172
grc,2006,0.173
grc,2007,0.162
grc,2008,0.211
grc,2009,0.189
grc,2010,0.171
grc,2011,0.147
grc,2012,0.131
grc,2013,0.099
grc,2014,0.105
grc,2015,0.122
grc,2016,0.189
hun,2003,0.027
hun,2004,0.074
hun,2005,0.107
hun,2006,0.13
hun,2007,0.077
hun,2008,0.075
hun,2009,0.095
hun,2010,0.092
hun,2011,0.108
hun,2012,0.099
hun,2013,0.103
hun,2014,0.109
hun,2015,0.134
hun,2016,0.166
irl,1974,0.086
irl,1975,0.09
irl,1976,0.101
irl,1977,0.087
irl,1978,0.203
irl,1979,0.188
irl,1980,0.163
irl,1981,0.161
irl,1982,0.266
irl,1983,0.196
irl,1984,0.217
irl,1985,0.241
irl,1986,0.283
irl,1987,0.194
irl,1988,0.2
irl,1989,0.169
irl,1990,0.16
irl,1991,0.189
irl,1992,0.164
irl,1993,0.202
irl,1994,0.253
irl,1995,0.285
irl,1996,0.306
irl,1997,0.315
irl,1998,0.296
irl,1999,0.312
irl,2000,0.295
irl,2001,0.331
irl,2002,0.402
irl,2003,0.395
irl,2004,0.389
irl,2005,0.42
irl,2006,0.541
irl,2007,0.552
irl,2008,0.59
irl,2009,0.545
irl,2010,0.523
irl,2011,0.512
irl,2012,0.47
irl,2013,0.462
irl,2014,0.375
irl,2015,0.318
irl,2016,0.319
isl,1997,0.002
isl,1998,0.001
isl,1999,0.09
isl,2000,0.104
isl,2001,0.132
isl,2002,0.152
isl,2003,0.167
isl,2004,0.177
isl,2005,0.175
isl,2006,0.269
isl,2007,0.265
isl,2008,0.356
isl,2009,0.325
isl,2010,0.259
isl,2011,0.199
isl,2012,0.203
isl,2013,0.228
isl,2014,0.221
isl,2015,0.24
isl,2016,0.284
ita,1960,0.219
ita,1961,0.153
ita,1962,0.183
ita,1963,0.141
ita,1964,0.087
ita,1965,0.102
ita,1966,0.123
ita,1967,0.221
ita,1968,0.193
ita,1969,0.155
ita,1970,0.146
ita,1971,0.165
ita,1972,0.079
ita,1973,0.124
ita,1974,0.127
ita,1975,0.095
ita,1976,0.121
ita,1977,0.092
ita,1978,0.144
ita,1979,0.084
ita,1980,0.15
ita,1981,0.162
ita,1982,0.201
ita,1983,0.2
ita,1984,0.276
ita,1985,0.26
ita,1986,0.4
ita,1987,0.348
ita,1988,0.386
ita,1989,0.421
ita,1990,0.314
ita,1991,0.295
ita,1992,0.343
ita,1993,0.312
ita,1994,0.268
ita,1995,0.15
ita,1996,0.199
ita,1997,0.11
ita,1998,0.195
ita,1999,0.154
ita,2000,0.128
ita,2001,0.15
ita,2002,0.199
ita,2003,0.167
ita,2004,0.147
ita,2005,0.29
ita,2006,0.197
ita,2007,0.19
ita,2008,0.218
ita,2009,0.158
ita,2010,0.148
ita,2011,0.198
ita,2012,0.137
ita,2013,0.167
ita,2014,0.187
ita,2015,0.221
ita,2016,0.275
jpn,1960,0.244
jpn,1961,0.203
jpn,1962,0.145
jpn,1963,0.202
jpn,1964,0.144
jpn,1965,0.275
jpn,1966,0.279
jpn,1967,0.318
jpn,1968,0.248
jpn,1969,0.26
jpn,1970,0.225
jpn,1971,0.223
jpn,1972,0.204
jpn,1973,0.245
jpn,1974,0.245
jpn,1975,0.231
jpn,1976,0.198
jpn,1977,0.207
jpn,1978,0.23
jpn,1979,0.269
jpn,1980,0.322
jpn,1981,0.277
jpn,1982,0.284
jpn,1983,0.325
jpn,1984,0.344
jpn,1985,0.285
jpn,1986,0.287
jpn,1987,0.308
jpn,1988,0.319
jpn,1989,0.31
jpn,1990,0.306
jpn,1991,0.323
jpn,1992,0.302
jpn,1993,0.266
jpn,1994,0.286
jpn,1995,0.272
jpn,1996,0.199
jpn,1997,0.214
jpn,1998,0.266
jpn,1999,0.267
jpn,2000,0.281
jpn,2001,0.232
jpn,2002,0.228
jpn,2003,0.203
jpn,2004,0.187
jpn,2005,0.281
jpn,2006,0.248
jpn,2007,0.17
jpn,2008,0.19
jpn,2009,0.183
jpn,2010,0.196
jpn,2011,0.182
jpn,2012,0.173
jpn,2013,0.225
jpn,2014,0.198
jpn,2015,0.202
jpn,2016,0.204
kor,1987,0.018
kor,1988,0.019
kor,1989,0.015
kor,1990,0.023
kor,1991,0.019
kor,1992,0.023
kor,1993,0.031
kor,1994,0.033
kor,1995,0.023
kor,1996,0.029
kor,1997,0.036
kor,1998,0.054
kor,1999,0.072
kor,2000,0.042
kor,2001,0.055
kor,2002,0.051
kor,2003,0.06
kor,2004,0.062
kor,2005,0.095
kor,2006,0.051
kor,2007,0.072
kor,2008,0.086
kor,2009,0.097
kor,2010,0.116
kor,2011,0.119
kor,2012,0.141
kor,2013,0.134
kor,2014,0.131
kor,2015,0.138
kor,2016,0.159
lux,1980,0.111
lux,1981,0.132
lux,1982,0.098
lux,1983,0.091
lux,1984,0.157
lux,1985,0.171
lux,1986,0.165
lux,1987,0.173
lux,1988,0.203
lux,1989,0.191
lux,1990,0.213
lux,1991,0.328
lux,1992,0.261
lux,1993,0.354
lux,1994,0.402
lux,1995,0.365
lux,1996,0.437
lux,1997,0.546
lux,1998,0.648
lux,1999,0.659
lux,2000,0.696
lux,2001,0.774
lux,2002,0.783
lux,2003,0.857
lux,2004,0.791
lux,2005,0.793
lux,2006,0.89
lux,2007,0.924
lux,2008,0.968
lux,2009,1.043
lux,2010,1.047
lux,2011,0.973
lux,2012,1.004
lux,2013,1.002
lux,2014,1.064
lux,2015,0.952
lux,2016,1.001
nld,1960,0.314
nld,1961,0.451
nld,1962,0.485
nld,1963,0.259
nld,1964,0.287
nld,1965,0.363
nld,1966,0.451
nld,1967,0.495
nld,1968,0.487
nld,1969,0.499
nld,1970,0.618
nld,1971,0.582
nld,1972,0.668
nld,1973,0.532
nld,1974,0.611
nld,1975,0.736
nld,1976,0.801
nld,1977,0.809
nld,1978,0.783
nld,1979,0.936
nld,1980,0.965
nld,1981,1.071
nld,1982,1.073
nld,1983,0.907
nld,1984,1.025
nld,1985,0.911
nld,1986,1.006
nld,1987,0.976
nld,1988,0.984
nld,1989,0.936
nld,1990,0.917
nld,1991,0.877
nld,1992,0.857
nld,1993,0.817
nld,1994,0.76
nld,1995,0.813
nld,1996,0.814
nld,1997,0.806
nld,1998,0.8
nld,1999,0.791
nld,2000,0.837
nld,2001,0.822
nld,2002,0.811
nld,2003,0.795
nld,2004,0.733
nld,2005,0.819
nld,2006,0.806
nld,2007,0.808
nld,2008,0.805
nld,2009,0.821
nld,2010,0.815
nld,2011,0.753
nld,2012,0.71
nld,2013,0.669
nld,2014,0.635
nld,2015,0.749
nld,2016,0.649
nor,1960,0.115
nor,1961,0.138
nor,1962,0.137
nor,1963,0.172
nor,1964,0.151
nor,1965,0.161
nor,1966,0.183
nor,1967,0.172
nor,1968,0.293
nor,1969,0.301
nor,1970,0.332
nor,1971,0.337
nor,1972,0.428
nor,1973,0.451
nor,1974,0.569
nor,1975,0.654
nor,1976,0.71
nor,1977,0.842
nor,1978,0.903
nor,1979,0.948
nor,1980,0.871
nor,1981,0.846
nor,1982,1.028
nor,1983,1.096
nor,1984,1.027
nor,1985,1.01
nor,1986,1.168
nor,1987,1.095
nor,1988,1.127
nor,1989,1.046
nor,1990,1.168
nor,1991,1.133
nor,1992,1.164
nor,1993,1.01
nor,1994,1.052
nor,1995,0.86
nor,1996,0.834
nor,1997,0.84
nor,1998,0.888
nor,1999,0.877
nor,2000,0.764
nor,2001,0.797
nor,2002,0.888
nor,2003,0.919
nor,2004,0.874
nor,2005,0.94
nor,2006,0.885
nor,2007,0.952
nor,2008,0.889
nor,2009,1.059
nor,2010,1.051
nor,2011,0.964
nor,2012,0.929
nor,2013,1.075
nor,2014,1
nor,2015,1.046
nor,2016,1.122
nzl,1961,0.234
nzl,1962,0.183
nzl,1963,0.18
nzl,1964,0.185
nzl,1965,0.179
nzl,1966,0.167
nzl,1967,0.167
nzl,1968,0.208
nzl,1969,0.218
nzl,1970,0.225
nzl,1971,0.229
nzl,1972,0.251
nzl,1973,0.222
nzl,1974,0.315
nzl,1975,0.524
nzl,1976,0.411
nzl,1977,0.389
nzl,1978,0.338
nzl,1979,0.34
nzl,1980,0.325
nzl,1981,0.29
nzl,1982,0.278
nzl,1983,0.279
nzl,1984,0.248
nzl,1985,0.253
nzl,1986,0.296
nzl,1987,0.261
nzl,1988,0.269
nzl,1989,0.218
nzl,1990,0.231
nzl,1991,0.249
nzl,1992,0.258
nzl,1993,0.247
nzl,1994,0.239
nzl,1995,0.228
nzl,1996,0.207
nzl,1997,0.264
nzl,1998,0.266
nzl,1999,0.269
nzl,2000,0.252
nzl,2001,0.254
nzl,2002,0.222
nzl,2003,0.226
nzl,2004,0.234
nzl,2005,0.271
nzl,2006,0.268
nzl,2007,0.266
nzl,2008,0.304
nzl,2009,0.278
nzl,2010,0.255
nzl,2011,0.276
nzl,2012,0.277
nzl,2013,0.262
nzl,2014,0.269
nzl,2015,0.265
nzl,2016,0.25
pol,1998,0.012
pol,1999,0.013
pol,2000,0.018
pol,2001,0.02
pol,2003,0.013
pol,2004,0.049
pol,2005,0.068
pol,2006,0.089
pol,2007,0.101
pol,2008,0.075
pol,2009,0.089
pol,2010,0.084
pol,2011,0.084
pol,2012,0.09
pol,2013,0.096
pol,2014,0.086
pol,2015,0.096
pol,2016,0.147
prt,1980,0.017
prt,1981,0.026
prt,1982,0.018
prt,1983,0.062
prt,1984,0.043
prt,1985,0.048
prt,1986,0.076
prt,1987,0.112
prt,1988,0.206
prt,1989,0.247
prt,1990,0.239
prt,1991,0.298
prt,1992,0.346
prt,1993,0.277
prt,1994,0.344
prt,1995,0.25
prt,1996,0.206
prt,1997,0.248
prt,1998,0.242
prt,1999,0.256
prt,2000,0.261
prt,2001,0.251
prt,2002,0.272
prt,2003,0.22
prt,2004,0.627
prt,2005,0.211
prt,2006,0.212
prt,2007,0.22
prt,2008,0.27
prt,2009,0.234
prt,2010,0.294
prt,2011,0.309
prt,2012,0.281
prt,2013,0.227
prt,2014,0.19
prt,2015,0.158
prt,2016,0.171
svk,1999,0.038
svk,2000,0.031
svk,2001,0.041
svk,2002,0.024
svk,2003,0.046
svk,2004,0.072
svk,2006,0.103
svk,2007,0.093
svk,2008,0.1
svk,2009,0.087
svk,2010,0.085
svk,2011,0.091
svk,2012,0.089
svk,2013,0.093
svk,2014,0.086
svk,2015,0.101
svk,2016,0.121
svn,2005,0.106
svn,2006,0.119
svn,2007,0.12
svn,2008,0.129
svn,2009,0.149
svn,2010,0.127
svn,2011,0.129
svn,2012,0.13
svn,2013,0.13
svn,2014,0.125
svn,2015,0.149
svn,2016,0.187
swe,1960,0.051
swe,1961,0.059
swe,1962,0.12
swe,1963,0.137
swe,1964,0.176
swe,1965,0.185
swe,1966,0.253
swe,1967,0.248
swe,1968,0.279
swe,1969,0.433
swe,1970,0.352
swe,1971,0.436
swe,1972,0.461
swe,1973,0.528
swe,1974,0.694
swe,1975,0.779
swe,1976,0.777
swe,1977,0.946
swe,1978,0.86
swe,1979,0.918
swe,1980,0.781
swe,1981,0.827
swe,1982,1.017
swe,1983,0.841
swe,1984,0.804
swe,1985,0.862
swe,1986,0.847
swe,1987,0.882
swe,1988,0.86
swe,1989,0.96
swe,1990,0.907
swe,1991,0.895
swe,1992,1.03
swe,1993,0.985
swe,1994,0.965
swe,1995,0.766
swe,1996,0.835
swe,1997,0.791
swe,1998,0.715
swe,1999,0.698
swe,2000,0.801
swe,2001,0.766
swe,2002,0.836
swe,2003,0.795
swe,2004,0.777
swe,2005,0.942
swe,2006,1.025
swe,2007,0.935
swe,2008,0.98
swe,2009,1.121
swe,2010,0.97
swe,2011,1.019
swe,2012,0.974
swe,2013,1.014
swe,2014,1.094
swe,2015,1.405
swe,2016,0.941
tha,2006,0.036
tha,2007,0.036
tha,2008,0.09
tha,2009,0.019
tha,2010,0.001
tha,2011,0.007
tha,2012,0.003
tha,2013,0.01
tha,2014,0.018
tha,2015,0.017
tha,2016,0.046
tur,1991,0.078
tur,1992,0.054
tur,1993,0.036
tur,1994,0.044
tur,1995,0.062
tur,1996,0.048
tur,1997,0.04
tur,1998,0.033
tur,1999,0.065
tur,2000,0.041
tur,2001,0.043
tur,2002,0.041
tur,2003,0.038
tur,2004,0.113
tur,2005,0.166
tur,2006,0.179
tur,2007,0.091
tur,2008,0.105
tur,2009,0.115
tur,2010,0.131
tur,2011,0.165
tur,2012,0.322
tur,2013,0.403
tur,2014,0.449
tur,2015,0.501
tur,2016,0.755
usa,1960,0.54
usa,1961,0.572
usa,1962,0.583
usa,1963,0.597
usa,1964,0.56
usa,1965,0.578
usa,1966,0.501
usa,1967,0.408
usa,1968,0.436
usa,1969,0.357
usa,1970,0.316
usa,1971,0.287
usa,1972,0.332
usa,1973,0.199
usa,1974,0.255
usa,1975,0.267
usa,1976,0.252
usa,1977,0.242
usa,1978,0.26
usa,1979,0.193
usa,1980,0.269
usa,1981,0.194
usa,1982,0.265
usa,1983,0.243
usa,1984,0.237
usa,1985,0.236
usa,1986,0.227
usa,1987,0.202
usa,1988,0.209
usa,1989,0.15
usa,1990,0.209
usa,1991,0.2
usa,1992,0.196
usa,1993,0.154
usa,1994,0.143
usa,1995,0.102
usa,1996,0.123
usa,1997,0.085
usa,1998,0.1
usa,1999,0.098
usa,2000,0.1
usa,2001,0.113
usa,2002,0.127
usa,2003,0.149
usa,2004,0.169
usa,2005,0.226
usa,2006,0.177
usa,2007,0.156
usa,2008,0.183
usa,2009,0.206
usa,2010,0.203
usa,2011,0.204
usa,2012,0.186
usa,2013,0.182
usa,2014,0.186
usa,2015,0.168
usa,2016,0.186
