geo,time,ip_tmk_nres
arm,2012,3391
arm,2013,3370
arm,2014,3164
arm,2015,3021
arm,2016,2754
arm,2017,3066
arm,2018,3155
arm,2019,3310
atg,2011,814
atg,2012,806
atg,2013,755
atg,2014,770
atg,2015,865
atg,2016,835
atg,2017,810
atg,2018,735
aus,1980,5570
aus,1981,6147
aus,1982,6056
aus,1983,5782
aus,1984,6164
aus,1985,7062
aus,1986,6830
aus,1987,7341
aus,1988,7185
aus,1989,9579
aus,1990,9189
aus,1991,9186
aus,1992,8604
aus,1993,16087
aus,1994,17567
aus,1995,17807
aus,1996,10154
aus,1997,10975
aus,1998,11243
aus,1999,12875
aus,2000,15589
aus,2001,12871
aus,2002,13156
aus,2003,13804
aus,2004,16507
aus,2005,17715
aus,2006,19041
aus,2007,20312
aus,2008,19450
aus,2009,17177
aus,2010,19272
aus,2011,20459
aus,2012,21578
aus,2013,22055
aus,2014,22971
aus,2015,23672
aus,2016,25266
aus,2017,28265
aus,2018,30852
aus,2019,29457
aut,1980,2396
aut,1981,2405
aut,1982,2802
aut,1983,2393
aut,1984,2639
aut,1985,9067
aut,1986,8239
aut,1987,9229
aut,1988,11641
aut,1989,12617
aut,1990,13366
aut,1991,12363
aut,1992,12141
aut,1993,12437
aut,1994,13788
aut,1995,15512
aut,1996,12164
aut,1997,12218
aut,1998,12071
aut,1999,11780
aut,2000,12826
aut,2001,11538
aut,2002,9687
aut,2003,9599
aut,2004,9275
aut,2005,7698
aut,2006,6963
aut,2007,6292
aut,2008,6081
aut,2009,4866
aut,2010,4249
aut,2011,3672
aut,2012,3620
aut,2013,3218
aut,2014,3062
aut,2015,2859
aut,2016,3067
aut,2017,3136
aut,2018,3249
aut,2019,3167
aze,1995,1048
aze,1996,1964
aze,2001,3836
aze,2002,1893
aze,2003,2126
aze,2004,2456
aze,2005,2605
aze,2006,2986
aze,2007,2960
aze,2008,4005
aze,2009,2702
aze,2010,2880
aze,2011,3190
aze,2012,4326
aze,2013,4602
aze,2014,4286
aze,2015,4096
aze,2016,3672
aze,2017,3753
aze,2018,3733
aze,2019,3883
bdi,1980,110
bdi,1981,66
bdi,1982,95
bdi,1983,82
bdi,1984,102
bdi,1986,32
bdi,1989,61
bdi,1990,87
bdi,1991,84
bdi,1992,63
bdi,1993,135
bdi,1994,93
bdi,1995,110
bdi,1996,72
bdi,2002,132
bel,1980,3099
bel,1981,3266
bel,1982,3316
bel,1983,3715
bel,1984,3675
bel,1985,10379
bel,1986,10925
bel,1987,14422
bel,1988,15493
bel,1989,17198
bel,1990,18635
bel,1991,16518
bel,1992,16384
bel,1993,16492
bel,1994,17901
bel,1995,18630
bel,1996,14539
bel,1997,13799
bel,1998,13580
bel,1999,13294
bel,2000,14145
bel,2001,12281
bel,2002,10484
bel,2003,10272
bel,2004,10288
bel,2005,10865
bel,2006,9303
bel,2007,7372
bel,2008,6690
bel,2009,5059
bel,2010,4821
bel,2011,4616
bel,2012,4293
bel,2013,4065
bel,2014,4041
bel,2015,3957
bel,2016,4216
bel,2017,4240
bel,2018,4276
bel,2019,4175
bgd,1980,412
bgd,1981,326
bgd,1982,417
bgd,1983,410
bgd,1984,272
bgd,1985,317
bgd,1986,299
bgd,1987,521
bgd,1988,593
bgd,1989,492
bgd,1990,466
bgd,1991,436
bgd,1992,368
bgd,1993,577
bgd,1994,735
bgd,1995,1015
bgd,1996,1529
bgd,1997,891
bgd,1998,1458
bgd,1999,1408
bgd,2000,1531
bgd,2001,1287
bgd,2002,1277
bgd,2003,1381
bgd,2004,1992
bgd,2005,1332
bgd,2006,1374
bgd,2007,3341
bgd,2008,3388
bgd,2009,1859
bgd,2010,2374
bgd,2011,3013
bgd,2012,3135
bgd,2013,3580
bgd,2014,3611
bgd,2015,3487
bgd,2016,3795
bgd,2017,3843
bgd,2018,4120
bgd,2019,4392
bgr,1980,453
bgr,1981,399
bgr,1982,414
bgr,1983,381
bgr,1984,337
bgr,1985,835
bgr,1986,1660
bgr,1987,1868
bgr,1988,2205
bgr,1989,2711
bgr,1990,4448
bgr,1991,4328
bgr,1992,4415
bgr,1993,4185
bgr,1994,4800
bgr,1995,5107
bgr,1996,5042
bgr,1997,5305
bgr,1998,5244
bgr,1999,5084
bgr,2000,5726
bgr,2001,5312
bgr,2002,5250
bgr,2003,5972
bgr,2004,6536
bgr,2005,6830
bgr,2006,7229
bgr,2007,4480
bgr,2008,3967
bgr,2009,2813
bgr,2010,2613
bgr,2011,2316
bgr,2012,2284
bgr,2013,2188
bgr,2014,1973
bgr,2015,1740
bgr,2016,1731
bgr,2017,1839
bgr,2018,1846
bgr,2019,1666
bhr,1980,744
bhr,1981,721
bhr,1982,746
bhr,1983,676
bhr,1984,776
bhr,1985,780
bhr,1986,735
bhr,1990,817
bhr,1991,759
bhr,1992,1130
bhr,1993,1222
bhr,1994,1396
bhr,1995,1471
bhr,1996,1949
bhr,1997,1959
bhr,1998,2055
bhr,1999,2011
bhr,2000,2783
bhr,2001,2165
bhr,2002,2089
bhr,2003,2176
bhr,2004,2493
bhr,2005,3035
bhr,2006,4545
bhr,2007,5529
bhr,2008,4949
bhr,2009,8017
bhr,2011,6469
bhr,2012,6280
bhr,2013,7078
bhr,2014,6813
bhr,2015,7262
bhr,2016,7539
bhr,2017,6641
bhr,2018,7122
bhr,2019,6710
bhs,1980,415
bhs,1981,292
bhs,1982,316
bhs,1984,315
bhs,1985,326
bhs,1986,353
bhs,1988,399
bhs,1990,540
bhs,1991,649
bhs,1992,540
bhs,2012,1151
bhs,2013,948
bhs,2014,957
bhs,2015,973
bhs,2016,981
bhs,2017,803
bih,1999,3470
bih,2000,4007
bih,2001,3887
bih,2003,3912
bih,2004,3886
bih,2005,4065
bih,2006,4178
bih,2007,4517
bih,2008,4498
bih,2010,3945
bih,2011,3828
bih,2012,3593
bih,2013,3656
bih,2014,3518
bih,2015,3411
bih,2016,3473
bih,2017,3383
bih,2018,3424
bih,2019,3202
blr,1993,2509
blr,1994,4388
blr,1995,4273
blr,1996,4218
blr,1997,4635
blr,1998,4554
blr,1999,3926
blr,2000,4503
blr,2001,4426
blr,2002,4347
blr,2003,4944
blr,2004,5587
blr,2005,5665
blr,2006,6452
blr,2007,7076
blr,2008,6930
blr,2009,5607
blr,2010,6425
blr,2011,6730
blr,2012,6790
blr,2013,7072
blr,2014,6259
blr,2015,5689
blr,2016,5464
blr,2017,5638
blr,2018,5946
blr,2019,5970
blz,1988,28
blz,1989,38
blz,2001,277
blz,2002,1002
blz,2003,573
blz,2004,732
blz,2005,693
blz,2006,709
blz,2007,728
blz,2008,770
blz,2011,842
blz,2012,872
blz,2013,952
blz,2014,914
blz,2015,913
blz,2016,759
blz,2017,789
blz,2018,760
blz,2019,732
bol,1980,2015
bol,1981,1591
bol,1982,1174
bol,1983,696
bol,1984,723
bol,1985,723
bol,1986,974
bol,1987,1237
bol,1988,1143
bol,1989,1275
bol,1990,1151
bol,1991,2015
bol,1992,2852
bol,1993,2604
bol,1994,3181
bol,1995,3838
bol,1996,4007
bol,1997,4751
bol,1998,4405
bol,1999,3952
bol,2000,4709
bol,2001,3618
bol,2002,3208
bol,2003,3232
bol,2004,3105
bol,2005,3732
bol,2006,3677
bol,2007,4208
bol,2010,4315
bol,2011,4924
bol,2012,4324
bol,2013,5637
bol,2014,5565
bol,2016,4923
bol,2017,4713
bra,1980,4279
bra,1981,2995
bra,1982,4117
bra,1983,3492
bra,1984,3135
bra,1985,3691
bra,1986,3971
bra,1987,5119
bra,1988,5137
bra,1989,5337
bra,1990,6111
bra,1991,6138
bra,1992,6627
bra,1993,7236
bra,1994,8599
bra,1995,11994
bra,1996,12910
bra,1998,17584
bra,1999,17396
bra,2000,21269
bra,2001,16972
bra,2002,13529
bra,2003,13748
bra,2004,13871
bra,2005,16219
bra,2006,18197
bra,2007,20275
bra,2008,22342
bra,2009,18450
bra,2010,23524
bra,2011,30028
bra,2012,31181
bra,2013,31092
bra,2014,29091
bra,2015,27989
bra,2016,28490
bra,2017,26911
bra,2018,28356
bra,2019,28393
brb,1980,304
brb,1981,298
brb,1984,291
brb,1985,355
brb,1999,1123
brb,2001,1020
brb,2002,1032
brb,2003,960
brb,2004,981
brb,2005,909
brb,2006,966
brb,2007,1223
brb,2008,1079
brb,2009,808
brb,2010,1061
brb,2011,1229
brb,2012,1202
brb,2013,959
brb,2014,1337
brb,2015,1178
brb,2016,892
brb,2017,840
brb,2019,799
brn,1986,467
brn,1988,774
brn,1989,979
brn,1990,871
brn,1991,987
brn,1992,955
brn,1993,1060
brn,1994,1008
brn,1995,1159
brn,1996,1470
brn,1997,1609
brn,1998,1112
brn,1999,1081
brn,2000,1392
brn,2001,730
brn,2002,572
brn,2003,777
brn,2004,742
brn,2005,790
brn,2006,661
brn,2007,808
brn,2008,904
brn,2009,614
brn,2010,692
brn,2011,838
brn,2012,1075
brn,2013,1094
brn,2014,1075
brn,2016,1066
brn,2017,1530
brn,2018,1837
brn,2019,1820
btn,1997,1138
btn,1998,407
btn,1999,223
btn,2000,437
btn,2001,659
btn,2002,586
btn,2003,613
btn,2004,996
btn,2005,966
btn,2006,847
btn,2007,902
btn,2011,741
btn,2012,759
btn,2013,740
btn,2015,882
btn,2016,897
btn,2017,921
bwa,1980,573
bwa,1981,262
bwa,1982,566
bwa,2011,1283
bwa,2012,1479
bwa,2013,1363
bwa,2014,1465
bwa,2015,1545
bwa,2016,1440
bwa,2017,1466
bwa,2018,1382
bwa,2019,1326
can,1980,6113
can,1981,6306
can,1982,6630
can,1983,7041
can,1984,7648
can,1985,8578
can,1986,8556
can,1987,7430
can,1988,9572
can,1989,11103
can,1990,11733
can,1991,11260
can,1992,11302
can,1993,11869
can,1994,13339
can,1995,13766
can,1996,15446
can,1997,14237
can,1998,17201
can,1999,19863
can,2000,24172
can,2001,21778
can,2002,19664
can,2003,20640
can,2004,22169
can,2005,23055
can,2006,25082
can,2007,26657
can,2008,25579
can,2009,22293
can,2010,24771
can,2011,27135
can,2012,28369
can,2013,28370
can,2014,29680
can,2015,29872
can,2016,31013
can,2017,33060
can,2018,35738
can,2019,39669
che,1980,1862
che,1981,1962
che,1982,1993
che,1983,2167
che,1984,2256
che,1985,8335
che,1986,8826
che,1987,9880
che,1988,12064
che,1989,13110
che,1990,13629
che,1991,12581
che,1992,12423
che,1993,13659
che,1994,13857
che,1995,14888
che,1996,14005
che,1997,14620
che,1998,14926
che,1999,15555
che,2000,19611
che,2001,16533
che,2004,15953
che,2005,16778
che,2006,17607
che,2007,18732
che,2008,18831
che,2009,16017
che,2010,16677
che,2011,17363
che,2012,17066
che,2013,17436
che,2014,17346
che,2015,17601
che,2016,18658
che,2017,18572
che,2018,19225
che,2019,19897
chl,1980,6609
chl,1983,6035
chl,1984,4911
chl,1986,13075
chl,1989,7828
chl,1990,3200
chl,1991,3638
chl,1992,5138
chl,1993,6006
chl,1994,6520
chl,1995,7441
chl,1996,8364
chl,1997,9048
chl,1998,9149
chl,1999,8865
chl,2000,10731
chl,2001,8494
chl,2002,6730
chl,2003,6716
chl,2004,6576
chl,2005,7374
chl,2006,8177
chl,2007,8627
chl,2008,9519
chl,2009,12656
chl,2010,14971
chl,2011,10479
chl,2012,10254
chl,2013,9688
chl,2014,8963
chl,2015,8862
chl,2016,8698
chl,2017,11584
chl,2018,8677
chl,2019,8685
chn,1982,1565
chn,1983,1687
chn,1984,3077
chn,1985,5798
chn,1986,5939
chn,1987,4055
chn,1988,5866
chn,1989,5535
chn,1990,6611
chn,1991,8482
chn,1992,10981
chn,1993,24464
chn,1994,24502
chn,1995,26420
chn,1996,27353
chn,1997,26900
chn,1998,23855
chn,1999,24076
chn,2000,31054
chn,2001,29633
chn,2002,43295
chn,2003,41014
chn,2004,55142
chn,2005,64215
chn,2006,70061
chn,2007,74957
chn,2008,76480
chn,2009,65121
chn,2010,83049
chn,2011,112917
chn,2012,115850
chn,2013,114551
chn,2014,107356
cod,1980,243
cod,1981,221
cod,1982,246
cod,1983,243
cod,1984,267
cod,1986,334
cod,1988,250
cod,1994,274
cod,1995,289
cod,1996,397
col,1980,3537
col,1981,2896
col,1984,2304
col,1986,1377
col,1987,3263
col,1988,3454
col,1989,5225
col,1990,3884
col,1991,4058
col,1992,4697
col,1993,4933
col,1994,5837
col,1995,6332
col,1996,6991
col,1997,7623
col,1998,6926
col,1999,6955
col,2000,9645
col,2001,7100
col,2002,7116
col,2003,7485
col,2004,6251
col,2005,8060
col,2006,8400
col,2007,9876
col,2008,9579
col,2009,8418
col,2010,10218
col,2011,12108
col,2012,13439
col,2013,10386
col,2014,10302
col,2015,10022
col,2016,9806
col,2017,9654
col,2018,10120
col,2019,10289
cpv,2016,254
cpv,2017,162
cpv,2018,211
cpv,2019,193
cri,1980,1040
cri,1981,1119
cri,1982,940
cri,1983,794
cri,1986,833
cri,1987,918
cri,1988,1005
cri,1989,1328
cri,1990,3299
cri,1991,2870
cri,1992,2976
cri,1993,5192
cri,1994,4305
cri,1995,5007
cri,1996,5501
cri,1997,5584
cri,1998,5346
cri,1999,5603
cri,2000,5961
cri,2001,5143
cri,2002,5093
cri,2003,4905
cri,2004,5006
cri,2005,5428
cri,2006,6620
cri,2007,5882
cri,2010,5498
cri,2011,7365
cri,2012,5961
cri,2014,7241
cri,2015,7615
cri,2016,7376
cri,2017,6503
cri,2018,4878
cri,2019,4681
cub,1980,522
cub,1981,223
cub,1982,354
cub,1983,281
cub,1984,348
cub,1985,352
cub,1987,237
cub,1988,269
cub,1989,325
cub,1990,1585
cub,1991,1898
cub,1992,1992
cub,1993,2272
cub,1994,2289
cub,1995,3265
cub,1996,3142
cub,1999,3324
cub,2000,3179
cub,2001,2404
cub,2002,2005
cub,2003,1936
cub,2004,2013
cub,2005,2124
cub,2006,2138
cub,2007,1954
cub,2008,1962
cub,2009,1638
cub,2011,1618
cub,2012,1825
cub,2013,1533
cub,2014,1551
cub,2015,3393
cub,2016,3410
cub,2017,2335
cub,2018,2151
cub,2019,1742
cyp,1980,636
cyp,1981,687
cyp,1982,677
cyp,1983,682
cyp,1984,786
cyp,1985,754
cyp,1986,714
cyp,1990,1046
cyp,1991,1503
cyp,1992,1513
cyp,2004,2741
cyp,2005,2271
cyp,2006,2459
cyp,2007,2197
cyp,2008,2372
cyp,2010,1484
cyp,2011,1433
cyp,2012,1380
cyp,2013,1204
cyp,2014,1177
cyp,2015,873
cyp,2016,1026
cyp,2018,1270
cze,1993,7483
cze,1994,8351
cze,1995,8992
cze,1996,8955
cze,1997,10018
cze,1998,10038
cze,1999,9831
cze,2000,11573
cze,2001,10119
cze,2002,9275
cze,2003,9342
cze,2004,7422
cze,2005,5717
cze,2006,5317
cze,2007,4987
cze,2008,4400
cze,2009,3210
cze,2010,3098
cze,2011,2942
cze,2012,2826
cze,2013,2593
cze,2014,2481
cze,2015,2129
cze,2016,2327
cze,2017,2398
cze,2018,2450
cze,2019,2152
deu,1980,4938
deu,1981,4661
deu,1982,4556
deu,1983,5130
deu,1984,5557
deu,1985,11454
deu,1986,11842
deu,1987,13678
deu,1988,16812
deu,1989,18117
deu,1994,20525
deu,1995,21602
deu,1996,17668
deu,1997,15031
deu,1998,15029
deu,1999,14147
deu,2000,15913
deu,2001,14328
deu,2002,12816
deu,2003,12071
deu,2004,13021
deu,2005,12000
deu,2006,10925
deu,2007,10394
deu,2008,10759
deu,2009,8647
deu,2010,8713
deu,2011,8127
deu,2012,7879
deu,2013,7447
deu,2014,7855
deu,2015,7544
deu,2016,8122
deu,2017,9237
deu,2018,9566
deu,2019,10013
dji,2013,213
dma,1986,19
dma,1987,21
dma,1988,19
dma,1989,10
dma,1990,14
dma,1991,15
dma,1992,8
dma,1993,21
dma,1994,70
dma,1995,32
dma,1996,26
dma,1997,73
dma,1998,60
dma,1999,54
dma,2000,52
dma,2001,45
dma,2002,31
dma,2003,47
dma,2004,37
dma,2005,34
dma,2006,59
dma,2007,76
dma,2016,254
dma,2017,162
dma,2018,170
dma,2019,149
dnk,1980,3932
dnk,1981,3391
dnk,1982,3436
dnk,1983,3698
dnk,1984,3998
dnk,1985,4199
dnk,1986,4401
dnk,1987,4907
dnk,1988,5792
dnk,1989,6403
dnk,1990,6745
dnk,1991,6143
dnk,1992,6144
dnk,1993,5618
dnk,1994,6179
dnk,1995,6701
dnk,1996,5306
dnk,1997,6318
dnk,1998,7033
dnk,1999,7569
dnk,2000,8400
dnk,2001,7465
dnk,2002,6225
dnk,2003,6001
dnk,2004,5946
dnk,2005,4972
dnk,2006,4289
dnk,2007,3684
dnk,2008,3404
dnk,2009,2507
dnk,2010,2163
dnk,2011,2288
dnk,2012,2049
dnk,2013,1921
dnk,2014,1786
dnk,2015,1588
dnk,2016,1679
dnk,2017,1746
dnk,2018,1708
dnk,2019,1786
dom,1983,722
dom,2002,5645
dom,2003,3474
dom,2004,3728
dom,2005,3205
dom,2006,3542
dom,2007,3507
dom,2008,3682
dom,2009,3035
dom,2010,3768
dom,2011,4148
dom,2012,4345
dom,2013,4165
dom,2014,4114
dom,2015,3927
dom,2016,3995
dom,2017,3764
dom,2018,3916
dom,2019,4015
dza,1980,648
dza,1981,646
dza,1982,1134
dza,1983,599
dza,1984,678
dza,1985,2934
dza,1986,3668
dza,1987,3018
dza,1988,3214
dza,1989,3328
dza,1990,3262
dza,1991,3239
dza,1992,3494
dza,1993,2960
dza,1994,2848
dza,1995,3181
dza,1996,3523
dza,1997,3220
dza,1998,3193
dza,1999,3087
dza,2000,3239
dza,2001,3046
dza,2002,2924
dza,2003,2674
dza,2004,3289
dza,2005,3585
dza,2006,3465
dza,2010,3188
dza,2011,3464
dza,2012,3533
dza,2013,2173
dza,2014,4888
dza,2015,3750
dza,2016,3014
dza,2017,4176
dza,2018,4028
dza,2019,6720
ecu,1980,1565
ecu,1981,1747
ecu,1986,1560
ecu,1987,958
ecu,1988,2239
ecu,1989,1160
ecu,1990,3563
ecu,1991,2392
ecu,1992,2476
ecu,1993,3660
ecu,1994,7717
ecu,1995,5657
ecu,1996,5874
ecu,1997,5713
ecu,1998,6379
ecu,1999,6256
ecu,2000,5892
ecu,2001,5155
ecu,2002,4878
ecu,2003,4576
ecu,2004,4769
ecu,2005,2224
ecu,2006,2387
ecu,2007,6527
ecu,2008,7872
ecu,2009,6592
ecu,2010,7445
ecu,2013,8371
ecu,2014,10383
ecu,2015,7276
ecu,2016,6636
ecu,2017,6289
ecu,2018,6534
ecu,2019,7080
egy,1980,996
egy,1981,1038
egy,1982,1149
egy,1983,902
egy,1984,1141
egy,2000,6363
egy,2001,6053
egy,2002,4629
egy,2003,4689
egy,2004,5376
egy,2005,6206
egy,2006,6956
egy,2007,8149
egy,2008,6657
egy,2009,6933
egy,2010,7781
egy,2011,7586
egy,2012,7275
egy,2013,7489
egy,2014,7870
egy,2015,7824
egy,2016,8002
egy,2017,7302
egy,2018,8316
egy,2019,8226
esp,1980,3798
esp,1981,3387
esp,1982,3740
esp,1983,3261
esp,1984,3544
esp,1985,10076
esp,1986,11149
esp,1987,12709
esp,1988,17191
esp,1989,20061
esp,1990,20037
esp,1991,18546
esp,1992,18149
esp,1993,17798
esp,1994,18360
esp,1995,19929
esp,1996,15505
esp,1997,15020
esp,1998,15016
esp,1999,14489
esp,2000,16672
esp,2001,14758
esp,2002,11889
esp,2003,10875
esp,2004,10569
esp,2005,9100
esp,2006,9343
esp,2007,7808
esp,2008,7260
esp,2009,5481
esp,2010,5107
esp,2011,4582
esp,2012,4314
esp,2013,4162
esp,2014,4179
esp,2015,3685
esp,2016,4166
esp,2017,4427
esp,2018,4540
esp,2019,4585
est,1992,981
est,1993,10411
est,1994,2190
est,1995,2241
est,1996,2146
est,1997,2435
est,1998,2496
est,1999,3842
est,2000,5019
est,2001,4879
est,2002,4592
est,2003,5307
est,2004,4375
est,2005,3196
est,2006,3082
est,2007,3118
est,2008,2719
est,2009,1797
est,2010,1883
est,2011,1892
est,2012,1674
est,2013,1733
est,2014,1446
est,2015,1273
est,2016,1177
est,2017,1321
est,2018,1328
est,2019,1340
eth,1981,195
eth,1984,62
eth,1985,249
eth,1986,103
eth,1988,282
eth,1989,378
eth,1990,289
eth,1991,296
eth,1993,238
eth,1994,72
eth,1995,103
eth,1998,368
eth,1999,377
eth,2000,313
eth,2001,305
eth,2002,398
eth,2003,293
eth,2004,189
eth,2005,363
eth,2006,319
eth,2007,293
eth,2011,600
eth,2012,960
eth,2013,2800
eth,2014,2931
eth,2015,983
eth,2016,1177
eth,2017,1087
eth,2018,485
fin,1980,2622
fin,1981,2318
fin,1982,2439
fin,1983,2501
fin,1984,2751
fin,1985,2974
fin,1986,3308
fin,1987,3617
fin,1988,4085
fin,1989,5341
fin,1990,4685
fin,1991,4595
fin,1992,4591
fin,1993,4208
fin,1994,4869
fin,1995,5617
fin,1996,4634
fin,1997,5412
fin,1998,6164
fin,1999,6367
fin,2000,7371
fin,2001,6585
fin,2002,5602
fin,2003,5263
fin,2004,5295
fin,2005,3980
fin,2006,3653
fin,2007,3442
fin,2008,3001
fin,2009,2071
fin,2010,1946
fin,2011,1917
fin,2012,1827
fin,2013,1664
fin,2014,1501
fin,2015,1314
fin,2016,1387
fin,2017,1405
fin,2018,1352
fin,2019,1500
fji,1980,326
fji,1981,284
fji,1985,552
fji,1986,680
fra,1980,8149
fra,1981,6222
fra,1982,6326
fra,1983,7017
fra,1984,7175
fra,1985,13422
fra,1986,14987
fra,1987,16277
fra,1988,22929
fra,1989,20529
fra,1990,23639
fra,1991,20891
fra,1992,20349
fra,1993,21366
fra,1994,22301
fra,1995,24847
fra,1996,15339
fra,1997,14731
fra,1998,22616
fra,1999,20327
fra,2000,22463
fra,2001,14138
fra,2002,12533
fra,2003,11903
fra,2004,12363
fra,2005,10774
fra,2006,9861
fra,2007,9386
fra,2008,8910
fra,2009,7361
fra,2010,7503
fra,2011,7326
fra,2012,7153
fra,2013,6782
fra,2014,8494
fra,2015,7953
fra,2016,7761
fra,2017,7859
fra,2018,7718
fra,2019,7413
gbr,1980,10169
gbr,1981,9666
gbr,1982,9844
gbr,1983,10092
gbr,1984,11035
gbr,1985,11695
gbr,1986,14998
gbr,1987,14654
gbr,1988,17849
gbr,1989,19022
gbr,1990,19618
gbr,1991,18969
gbr,1992,19154
gbr,1993,17813
gbr,1994,21168
gbr,1995,17269
gbr,1996,12646
gbr,1997,13990
gbr,1998,15737
gbr,1999,15892
gbr,2000,17112
gbr,2001,15864
gbr,2002,13601
gbr,2003,12921
gbr,2004,13722
gbr,2005,11316
gbr,2006,11291
gbr,2007,11041
gbr,2008,9580
gbr,2009,8664
gbr,2010,9441
gbr,2011,7840
gbr,2012,7674
gbr,2013,7838
gbr,2014,8408
gbr,2015,8669
gbr,2016,12980
gbr,2017,20598
gbr,2018,28120
gbr,2019,36892
geo,1992,1010
geo,1993,7824
geo,1994,1493
geo,1995,929
geo,1996,898
geo,1997,1054
geo,1998,1620
geo,1999,2126
geo,2000,2724
geo,2001,2736
geo,2002,2186
geo,2003,2411
geo,2004,2928
geo,2005,2983
geo,2006,3497
geo,2007,4009
geo,2008,3938
geo,2009,3165
geo,2010,3261
geo,2011,3578
geo,2012,3557
geo,2013,3806
geo,2014,3530
geo,2015,3386
geo,2016,3160
geo,2017,3464
geo,2018,3325
geo,2019,3337
gha,1980,353
gha,1981,419
gha,1982,230
gha,1985,250
gha,1987,205
gha,1989,212
gha,1990,232
gha,1991,346
gha,1992,356
gha,1993,308
gha,1994,358
gha,2015,2582
gha,2016,2702
gha,2017,2426
gha,2018,2591
gmb,1981,119
gmb,1982,97
gmb,1984,113
gmb,1985,205
gmb,1988,92
gmb,1998,269
gmb,1999,273
gmb,2000,391
gmb,2001,412
gmb,2002,395
gmb,2003,291
gmb,2004,530
gmb,2005,399
gmb,2006,297
gmb,2007,285
gmb,2008,510
gmb,2009,358
gmb,2010,500
gmb,2011,377
gmb,2012,418
gmb,2013,350
gmb,2014,517
gmb,2015,382
gmb,2016,677
gmb,2017,917
gmb,2018,1078
gmb,2019,947
grc,1980,2528
grc,1981,2808
grc,1982,3002
grc,1983,2497
grc,1984,2561
grc,1985,2729
grc,1987,3052
grc,1993,5112
grc,1994,5695
grc,1995,6136
grc,1996,4023
grc,1997,3892
grc,1998,3630
grc,1999,3500
grc,2000,4523
grc,2001,5889
grc,2002,5539
grc,2005,4652
grc,2007,4092
grc,2008,3695
grc,2010,2231
grc,2011,2068
grd,1980,52
grd,1984,34
grd,2012,175
grd,2013,417
grd,2014,357
grd,2015,288
grd,2016,249
grd,2017,269
grd,2018,417
gtm,1982,1143
gtm,1986,3570
gtm,1987,1430
gtm,1988,5166
gtm,1989,4912
gtm,1990,1396
gtm,1991,1594
gtm,1992,2147
gtm,1993,2261
gtm,1994,3026
gtm,1995,3281
gtm,1996,3849
gtm,1997,4278
gtm,1998,4262
gtm,1999,4415
gtm,2000,5163
gtm,2001,5040
gtm,2002,5258
gtm,2003,4883
gtm,2004,3779
gtm,2005,4399
gtm,2006,5227
gtm,2007,5048
gtm,2008,5350
gtm,2009,4429
gtm,2010,5397
gtm,2017,5797
gtm,2018,5808
gtm,2019,5644
guy,1982,231
guy,1983,151
guy,1984,169
guy,1985,166
guy,1987,155
guy,1988,152
guy,1989,160
guy,1990,129
guy,2012,662
guy,2013,772
guy,2014,728
guy,2016,440
guy,2017,489
guy,2018,540
hkg,1983,4231
hkg,1984,3944
hkg,1985,4481
hkg,1986,5115
hkg,1987,5572
hkg,1988,5867
hkg,1989,7432
hkg,1990,7316
hkg,1991,6122
hkg,1992,10479
hkg,1993,9363
hkg,1994,10738
hkg,1995,12053
hkg,1996,12201
hkg,1997,14179
hkg,1998,13425
hkg,1999,14819
hkg,2000,20516
