geo,time,ag_lnd_totl_ur_k2
mco,1990,1.92058
mco,2000,1.92058
mco,2010,1.92058
mda,1990,2607.52222
mda,2000,2607.52222
mda,2010,2607.52222
mdg,1990,2272.4148
mdg,2000,2272.4148
mdg,2010,2272.4148
mdv,1990,0
mdv,2000,0
mdv,2010,0
mex,1990,102418.1094
mex,2000,102418.1094
mex,2010,102418.1094
mhl,1990,0
mhl,2000,0
mhl,2010,0
mkd,1990,2667.35107
mkd,2000,2667.35107
mkd,2010,2667.35107
mli,1990,2910.42749
mli,2000,2910.42749
mli,2010,2910.42749
mlt,1990,293.34091
mlt,2000,293.34091
mlt,2010,293.34091
mmr,1990,6960.02344
mmr,2000,6960.02344
mmr,2010,6960.02344
mnp,1990,108.51256
mnp,2000,108.51256
mnp,2010,108.51256
moz,1990,2739.14502
moz,2000,2739.14502
moz,2010,2739.14502
mrt,1990,771.60144
mrt,2000,771.60144
mrt,2010,771.60144
mus,1990,1276.01587
mus,2000,1276.01587
mus,2010,1276.01587
mwi,1990,1815.10339
mwi,2000,1815.10339
mwi,2010,1815.10339
mys,1990,15564.95215
mys,2000,15564.95215
mys,2010,15564.95215
nam,1990,2467.77905
nam,2000,2467.77905
nam,2010,2467.77905
ncl,1990,208.43346
ncl,2000,208.43346
ncl,2010,208.43346
nga,1990,17196.23438
nga,2000,17196.23438
nga,2010,17196.23438
nic,1990,2882.37866
nic,2000,2882.37866
nic,2010,2882.37866
nld,1990,12802.99316
nld,2000,12802.99316
nld,2010,12802.99316
nor,1990,20282.20508
nor,2000,20282.20508
nor,2010,20282.20508
nru,1990,11.987
nru,2000,11.987
nru,2010,11.987
nzl,1990,8116.2998
nzl,2000,8116.2998
nzl,2010,8116.2998
omn,1990,5651.354
omn,2000,5651.354
omn,2010,5651.354
pak,1990,35871.94141
pak,2000,35871.94141
pak,2010,35871.94141
pan,1990,2892.14404
pan,2000,2892.14404
pan,2010,2892.14404
per,1990,16425.76758
per,2000,16425.76758
per,2010,16425.76758
phl,1990,10817.37305
phl,2000,10817.37305
phl,2010,10817.37305
plw,1990,30.74202
plw,2000,30.74202
plw,2010,30.74202
png,1990,2003.6106
png,2000,2003.6106
png,2010,2003.6106
pol,1990,30501.3418
pol,2000,30501.3418
pol,2010,30501.3418
pri,1990,8511.40137
pri,2000,8511.40137
pri,2010,8511.40137
prk,1990,2343.61377
prk,2000,2343.61377
prk,2010,2343.61377
prt,1990,12764.67676
prt,2000,12764.67676
prt,2010,12764.67676
pse,1990,2496.45825
pse,2000,2496.45825
pse,2010,2496.45825
pyf,1990,238.14998
pyf,2000,238.14998
pyf,2010,238.14998
qat,1990,1495.14929
qat,2000,1495.14929
qat,2010,1495.14929
rou,1990,15594.78906
rou,2000,15594.78906
rou,2010,15594.78906
rus,1990,187538.1445
rus,2000,187538.1445
rus,2010,187538.1445
sau,1990,41223.73828
sau,2000,41223.73828
sau,2010,41223.73828
sdn,1990,6517.51367
sdn,2000,6517.51367
sdn,2010,6517.51367
sen,1990,1796.19263
sen,2000,1796.19263
sen,2010,1796.19263
sgp,1990,565.55975
sgp,2000,565.55975
sgp,2010,565.55975
slb,1990,72.10933
slb,2000,72.10933
slb,2010,72.10933
sle,1990,710.48328
sle,2000,710.48328
sle,2010,710.48328
slv,1990,3598.26929
slv,2000,3598.26929
slv,2010,3598.26929
smr,1990,57.78162
smr,2000,57.78162
smr,2010,57.78162
som,1990,398.71606
som,2000,398.71606
som,2010,398.71606
stp,1990,68.23683
stp,2000,68.23683
stp,2010,68.23683
sur,1990,692.70349
sur,2000,692.70349
sur,2010,692.70349
svn,1990,2509.15625
svn,2000,2509.15625
svn,2010,2509.15625
swe,1990,31152.32031
swe,2000,31152.32031
swe,2010,31152.32031
swz,1990,802.27112
swz,2000,802.27112
swz,2010,802.27112
syc,1990,122.51048
syc,2000,122.51048
syc,2010,122.51048
syr,1990,11955.19727
syr,2000,11955.19727
syr,2010,11955.19727
tca,1990,17.49214
tca,2000,17.49214
tca,2010,17.49214
tgo,1990,1663.07361
tgo,2000,1663.07361
tgo,2010,1663.07361
tha,1990,36597.01563
tha,2000,36597.01563
tha,2010,36597.01563
tls,1990,359.41907
tls,2000,359.41907
tls,2010,359.41907
ton,1990,181.82703
ton,2000,181.82703
ton,2010,181.82703
tto,1990,2286.74805
tto,2000,2286.74805
tto,2010,2286.74805
tun,1990,9897.88184
tun,2000,9897.88184
tun,2010,9897.88184
tur,1990,44090.15625
tur,2000,44090.15625
tur,2010,44090.15625
tuv,1990,0
tuv,2000,0
tuv,2010,0
tza,1990,3405.80542
tza,2000,3405.80542
tza,2010,3405.80542
ukr,1990,32160.1582
ukr,2000,32160.1582
ukr,2010,32160.1582
ury,1990,4689.67969
ury,2000,4689.67969
ury,2010,4689.67969
usa,1990,802053.5923
usa,2000,802053.5923
usa,2010,802053.5923
vct,1990,111.68115
vct,2000,111.68115
vct,2010,111.68115
ven,1990,34403.92578
ven,2000,34403.92578
ven,2010,34403.92578
vgb,1990,51.47078
vgb,2000,51.47078
vgb,2010,51.47078
vir,1990,302.01321
vir,2000,302.01321
vir,2010,302.01321
vnm,1990,7589.0415
vnm,2000,7589.0415
vnm,2010,7589.0415
vut,1990,97.80546
vut,2000,97.80546
vut,2010,97.80546
wsm,1990,108.13276
wsm,2000,108.13276
wsm,2010,108.13276
yem,1990,4703.3999
yem,2000,4703.3999
yem,2010,4703.3999
zaf,1990,53460.3125
zaf,2000,53460.3125
zaf,2010,53460.3125
