geo,time,per_allsp_adq_pop_tot
per,2016,18.88793
per,2017,19.397
per,2018,19.16547
per,2019,19.50295
phl,2006,18.97236
phl,2013,23.87554
phl,2015,7.74827
plw,2006,27.98678
png,2009,0.4552
pol,2005,56.98559
pol,2006,57.08659
pol,2007,54.99932
pol,2008,54.65288
pol,2009,56.5647
pol,2010,58.50979
pol,2011,59.28238
pol,2012,60.55527
pol,2015,66.85264
pry,2007,35.71896
pry,2008,32.0475
pry,2009,32.57242
pry,2010,32.53792
pry,2011,29.22944
pry,2012,8.58101
pry,2013,27.33741
pry,2014,23.17176
pry,2015,24.8562
pry,2016,26.82853
pry,2017,25.07477
pry,2018,25.59001
pry,2019,26.12084
pse,2009,20.66953
pse,2016,8.74591
rou,2008,44.27897
rou,2011,51.58786
rou,2012,49.18468
rou,2016,53.63083
rus,2014,26.10746
rus,2015,25.49973
rus,2016,25.58163
rus,2017,26.65249
rwa,2005,8.32015
rwa,2010,3.02968
rwa,2013,4.92533
sdn,2009,1.05139
sen,2011,11.7939
slb,2005,24.64381
sle,2018,2.57274
slv,2007,28.67648
slv,2008,28.36751
slv,2009,27.31146
slv,2010,26.56443
slv,2011,24.0541
slv,2012,26.26933
slv,2014,25.86274
slv,2015,32.26852
slv,2016,32.05134
slv,2017,30.25431
slv,2018,30.56951
slv,2019,31.18352
srb,2007,46.32108
srb,2010,56.45195
srb,2013,54.95722
srb,2015,54.89701
ssd,2009,1.525
svk,2009,32.29743
swz,2009,15.69536
swz,2016,13.59005
syr,2003,811.5479
tcd,2011,24.51605
tgo,2011,28.50449
tha,2006,0.67796
tha,2009,10.43781
tha,2011,17.98674
tha,2013,16.76414
tha,2017,17.67018
tjk,2011,7.6
tls,2007,9.81442
tls,2011,20.619
ton,2009,29.12213
tun,2010,3.80321
tur,2004,29.58606
tur,2005,30.82047
tur,2006,28.52679
tur,2007,29.53249
tur,2008,27.8962
tur,2009,34.80594
tur,2010,37.29829
tur,2011,36.81624
tur,2012,38.09492
tur,2013,37.70021
tur,2014,37.93475
tur,2015,38.02105
tur,2016,39.38844
tur,2018,40.63528
tur,2019,44.78186
tza,2008,22.01699
tza,2010,14.56768
tza,2012,17.685
tza,2014,13.34934
uga,2005,23.15584
uga,2009,12.77716
uga,2012,13.50951
uga,2016,19.97506
ukr,2006,39.5289
ukr,2011,45.46144
ukr,2012,50.16306
ukr,2013,51.16287
ukr,2015,38.61464
ukr,2016,30.44802
ukr,2018,35.04275
ury,2008,36.16574
ury,2009,44.4539
ury,2010,45.53214
ury,2011,44.26299
ury,2012,32.91998
ury,2015,32.27863
ury,2016,33.19552
ury,2017,33.33478
ury,2018,34.74732
ury,2019,35.24974
uzb,2018,28.10071
vnm,2006,26.32878
vnm,2010,16.74642
vnm,2012,19.88043
vnm,2014,22.52419
wsm,2008,18.65104
yem,2005,9.21246
zaf,2005,36.62076
zaf,2010,23.86702
zaf,2014,34.39755
zmb,2010,32.62157
zmb,2015,3.01675
zwe,2017,50.08406
zwe,2019,22.7028
