geo,time,eg_elc_hyro_zs
aus,1995,9.19244
aus,1996,8.69158
aus,1997,9.04277
aus,1998,7.88795
aus,1999,7.9572
aus,2000,7.79552
aus,2001,7.38546
aus,2002,6.98265
aus,2003,7.37762
aus,2004,7.05919
aus,2005,6.70427
aus,2006,6.84321
aus,2007,5.90133
aus,2008,4.89935
aus,2009,4.75705
aus,2010,5.34413
aus,2011,6.59927
aus,2012,5.58564
aus,2013,7.27944
aus,2014,7.40583
aus,2015,5.29618
aut,1960,73.55912
aut,1961,69.29358
aut,1962,67.09917
aut,1963,63.6715
aut,1964,63.89224
aut,1965,71.81951
aut,1966,72.43167
aut,1967,72.06565
aut,1968,70.31737
aut,1969,62.87356
aut,1970,70.21939
aut,1971,57.50301
aut,1972,57.99481
aut,1973,60.64821
aut,1974,66.4182
aut,1975,67.19434
aut,1976,57.46971
aut,1977,65.67456
aut,1978,65.02641
aut,1979,68.65935
aut,1980,69.05048
aut,1981,73.01756
aut,1982,73.1526
aut,1983,72.92004
aut,1984,69.2917
aut,1985,70.73065
aut,1986,70.75744
aut,1987,72.51449
aut,1988,74.36499
aut,1989,71.7872
aut,1990,63.91796
aut,1991,62.65917
aut,1992,69.78113
aut,1993,71.45277
aut,1994,68.52296
aut,1995,67.17714
aut,1996,63.8668
aut,1997,64.83793
aut,1998,66.46933
aut,1999,67.92676
aut,2000,69.8734
aut,2001,66.24691
aut,2002,66.26528
aut,2003,57.17163
aut,2004,59.34332
aut,2005,57.52322
aut,2006,57.24561
aut,2007,58.79254
aut,2008,59.39965
aut,2009,61.66838
aut,2010,56.47099
aut,2011,54.9894
aut,2012,63.75346
aut,2013,65.13246
aut,2014,66.55739
aut,2015,59.99709
aze,1990,7.16137
aze,1991,7.4968
aze,1992,8.83975
aze,1993,12.73424
aze,1994,10.4092
aze,1995,9.12931
aze,1996,9.00099
aze,1997,10.16869
aze,1998,10.84009
aze,1999,8.28565
aze,2000,8.20365
aze,2001,6.8582
aze,2002,10.80156
aze,2003,11.59917
aze,2004,12.67016
aze,2005,13.15582
aze,2006,10.25954
aze,2007,10.82071
aze,2008,10.3128
aze,2009,12.23235
aze,2010,18.41796
aze,2011,13.18616
aze,2012,7.92152
aze,2013,6.37578
aze,2014,5.2572
aze,2015,6.63075
bel,1960,1.13516
bel,1961,1.17911
bel,1962,0.92904
bel,1963,0.76547
bel,1964,0.55958
bel,1965,1.26907
bel,1966,1.3202
bel,1967,1.0046
bel,1968,0.92215
bel,1969,0.78862
bel,1970,0.80595
bel,1971,0.40317
bel,1972,0.4857
bel,1973,0.42103
bel,1974,0.56719
bel,1975,0.44833
bel,1976,0.23131
bel,1977,0.47793
bel,1978,0.44107
bel,1979,0.45082
bel,1980,0.52363
bel,1981,0.76122
bel,1982,0.66629
bel,1983,0.64779
bel,1984,0.65375
bel,1985,0.51014
bel,1986,0.59527
bel,1987,0.68831
bel,1988,0.55624
bel,1989,0.45606
bel,1990,0.37842
bel,1991,0.32169
bel,1992,0.47752
bel,1993,0.3625
bel,1994,0.48499
bel,1995,0.45976
bel,1996,0.31808
bel,1997,0.39172
bel,1998,0.47396
bel,1999,0.40904
bel,2000,0.55574
bel,2001,0.56094
bel,2002,0.44478
bel,2003,0.29559
bel,2004,0.3758
bel,2005,0.33602
bel,2006,0.42562
bel,2007,0.44443
bel,2008,0.49053
bel,2009,0.36523
bel,2010,0.33251
bel,2011,0.22019
bel,2012,0.43739
bel,2013,0.46249
bel,2014,0.40838
bel,2015,0.45724
ben,1973,0
ben,1974,0
ben,1975,0
ben,1976,0
ben,1977,0
ben,1978,0
ben,1979,0
ben,1980,0
ben,1981,0
ben,1982,0
ben,1983,0
ben,1984,0
ben,1985,0
ben,1986,0
ben,1987,0
ben,1988,0
ben,1989,0
ben,1990,0
ben,1991,0
ben,1992,0
ben,1993,0
ben,1994,0
ben,1995,0
ben,1996,0
ben,1997,3.38983
ben,1998,2.53165
ben,1999,2.77778
ben,2000,2.38095
ben,2001,3.0303
ben,2002,3.1746
ben,2003,2.5
ben,2004,1.23457
ben,2005,0.93458
ben,2006,0
ben,2007,0
ben,2008,0
ben,2009,0
ben,2010,0
ben,2011,0
ben,2012,0
ben,2013,0
ben,2014,0
ben,2015,4.09357
bgd,1971,16.99029
bgd,1972,16.99029
bgd,1973,23.5755
bgd,1974,15.68754
bgd,1975,26.79779
bgd,1976,27.92538
bgd,1977,22.59566
bgd,1978,22.80306
bgd,1979,24.43797
bgd,1980,24.77688
bgd,1981,23.47859
bgd,1982,17.22661
bgd,1983,19.28343
bgd,1984,22.61725
bgd,1985,16.32067
bgd,1986,9.375
bgd,1987,9.25362
bgd,1988,10.31952
bgd,1989,12.93043
bgd,1990,11.43301
bgd,1991,10.13301
bgd,1992,8.94985
bgd,1993,6.60439
bgd,1994,8.65699
bgd,1995,3.44253
bgd,1996,6.44065
bgd,1997,6.06342
bgd,1998,6.7148
bgd,1999,5.76471
bgd,2000,4.74922
bgd,2001,5.70952
bgd,2002,4.01286
bgd,2003,3.79972
bgd,2004,3.03448
bgd,2005,2.83208
bgd,2006,2.53632
bgd,2007,2.41574
bgd,2008,2.77632
bgd,2009,1.12166
bgd,2010,1.7872
bgd,2011,1.97495
bgd,2012,1.60002
bgd,2013,1.68298
bgd,2014,1.05291
bgd,2015,0.95914
bgr,1971,10.32547
bgr,1972,9.40685
bgr,1973,11.70523
bgr,1974,9.12041
bgr,1975,9.71986
bgr,1976,10.6462
bgr,1977,11.87816
bgr,1978,9.23727
bgr,1979,10.22924
bgr,1980,10.65882
bgr,1981,9.78578
bgr,1982,7.5385
bgr,1983,7.85734
bgr,1984,7.29764
bgr,1985,5.37087
bgr,1986,5.56193
bgr,1987,5.83811
bgr,1988,5.7662
bgr,1989,6.07066
bgr,1990,4.45647
bgr,1991,5.97377
bgr,1992,5.79332
bgr,1993,5.11093
bgr,1994,3.84968
bgr,1995,5.53734
bgr,1996,6.83351
bgr,1997,6.4616
bgr,1998,7.46571
bgr,1999,7.24112
bgr,2000,6.57629
bgr,2001,3.98998
bgr,2002,5.20287
bgr,2003,7.15602
bgr,2004,7.64737
bgr,2005,9.86309
bgr,2006,9.31388
bgr,2007,6.69353
bgr,2008,6.33411
bgr,2009,8.18763
bgr,2010,10.98942
bgr,2011,5.83132
bgr,2012,6.92587
bgr,2013,9.47317
bgr,2014,9.81311
bgr,2015,11.61421
bhr,1971,0
bhr,1972,0
bhr,1973,0
bhr,1974,0
bhr,1975,0
bhr,1976,0
bhr,1977,0
bhr,1978,0
bhr,1979,0
bhr,1980,0
bhr,1981,0
bhr,1982,0
bhr,1983,0
bhr,1984,0
bhr,1985,0
bhr,1986,0
bhr,1987,0
bhr,1988,0
bhr,1989,0
bhr,1990,0
bhr,1991,0
bhr,1992,0
bhr,1993,0
bhr,1994,0
bhr,1995,0
bhr,1996,0
bhr,1997,0
bhr,1998,0
bhr,1999,0
bhr,2000,0
bhr,2001,0
bhr,2002,0
bhr,2003,0
bhr,2004,0
bhr,2005,0
bhr,2006,0
bhr,2007,0
bhr,2008,0
bhr,2009,0
bhr,2010,0
bhr,2011,0
bhr,2012,0
bhr,2013,0
bhr,2014,0
bhr,2015,0
bih,1990,20.8994
bih,1991,37.2724
bih,1992,52.22989
bih,1993,71.14518
bih,1994,81.5033
bih,1995,82.77664
bih,1996,70.24523
bih,1997,53.10896
bih,1998,50.20381
bih,1999,54.48099
bih,2000,48.84457
bih,2001,48.70276
bih,2002,48.84562
bih,2003,39.95207
bih,2004,46.97517
bih,2005,47.59562
bih,2006,44.00781
bih,2007,33.95282
bih,2008,32.83411
bih,2009,39.82002
bih,2010,46.86989
bih,2011,28.71073
bih,2012,29.93183
bih,2013,41.46467
bih,2014,36.72649
bih,2015,35.51731
blr,1990,0.0506
blr,1991,0.04647
blr,1992,0.04522
blr,1993,0.05694
blr,1994,0.06052
blr,1995,0.08026
blr,1996,0.06743
blr,1997,0.08059
blr,1998,0.11919
blr,1999,0.07165
blr,2000,0.10344
blr,2001,0.1197
blr,2002,0.10962
blr,2003,0.10516
blr,2004,0.10574
blr,2005,0.11628
blr,2006,0.11002
blr,2007,0.10996
blr,2008,0.11128
blr,2009,0.14485
blr,2010,0.12896
blr,2011,0.13043
blr,2012,0.22728
blr,2013,0.438
blr,2014,0.34835
blr,2015,0.31395
bol,1971,86.34615
bol,1972,83.75993
bol,1973,83.00598
bol,1974,81.22545
bol,1975,79.73274
bol,1976,78.41226
bol,1977,74.77987
bol,1978,73.15514
bol,1979,70.58178
bol,1980,65.65781
bol,1981,64.15094
bol,1982,67.35294
bol,1983,65.05407
bol,1984,64.52328
bol,1985,64.3018
bol,1986,60.60936
bol,1987,57.72579
bol,1988,59.73292
bol,1989,55.67748
bol,1990,51.06015
bol,1991,57.24956
bol,1992,52.4461
bol,1993,56.65786
bol,1994,46.60057
bol,1995,41.83504
bol,1996,44.00865
bol,1997,45.07488
bol,1998,41.9407
bol,1999,46.01907
bol,2000,50.12887
bol,2001,53.49246
bol,2002,52.65296
bol,2003,45.86796
bol,2004,47.51271
bol,2005,40.11438
bol,2006,40.73585
bol,2007,40.44297
bol,2008,39.71119
bol,2009,37.51021
bol,2010,32.19714
bol,2011,32.50693
bol,2012,30.70095
bol,2013,31.43211
bol,2014,25.71102
bol,2015,28.88133
bra,1971,83.7547
bra,1972,88.67136
bra,1973,89.43856
bra,1974,91.60379
bra,1975,91.57788
bra,1976,92.09179
bra,1977,92.54346
bra,1978,91.14425
bra,1979,91.95892
bra,1980,92.48601
bra,1981,91.96692
bra,1982,92.79567
bra,1983,93.21883
bra,1984,92.86638
bra,1985,92.09684
bra,1986,90.24925
bra,1987,91.27974
bra,1988,92.62423
bra,1989,92.40124
bra,1990,92.76863
bra,1991,92.91953
bra,1992,92.39282
bra,1993,93.28865
bra,1994,93.33336
bra,1995,92.12775
bra,1996,91.24239
bra,1997,90.58062
bra,1998,90.58922
bra,1999,87.5369
bra,2000,87.24399
bra,2001,81.54322
bra,2002,82.76425
bra,2003,83.88232
bra,2004,82.79636
bra,2005,83.72937
bra,2006,83.18012
bra,2007,84.02056
bra,2008,79.80616
bra,2009,83.88122
bra,2010,78.19543
bra,2011,80.55051
bra,2012,75.15815
bra,2013,68.46345
bra,2014,63.22498
bra,2015,61.84849
brn,1971,0
brn,1972,0
brn,1973,0
brn,1974,0
brn,1975,0
brn,1976,0
brn,1977,0
brn,1978,0
brn,1979,0
brn,1980,0
brn,1981,0
brn,1982,0
brn,1983,0
brn,1984,0
brn,1985,0
brn,1986,0
brn,1987,0
brn,1988,0
brn,1989,0
brn,1990,0
brn,1991,0
brn,1992,0
brn,1993,0
brn,1994,0
brn,1995,0
brn,1996,0
brn,1997,0
brn,1998,0
brn,1999,0
brn,2000,0
brn,2001,0
