geo,time,sl_ind_empl_fe_zs
arm,2011,6.38
arm,2012,7.51
arm,2013,6.5
arm,2014,8.06
arm,2015,7.53
arm,2016,7.86
arm,2017,8.8
arm,2018,10.91
arm,2019,11.4
aus,1991,12.08
aus,1992,11.73
aus,1993,11.87
aus,1994,11.58
aus,1995,11.17
aus,1996,10.89
aus,1997,10.66
aus,1998,10.18
aus,1999,9.91
aus,2000,10.23
aus,2001,9.51
aus,2002,9.53
aus,2003,9.54
aus,2004,9.36
aus,2005,9.31
aus,2006,9.07
aus,2007,8.86
aus,2008,9.31
aus,2009,8.9
aus,2010,8.61
aus,2011,8.53
aus,2012,8.36
aus,2013,8.3
aus,2014,8.11
aus,2015,7.66
aus,2016,7.9
aus,2017,7.63
aus,2018,8.15
aus,2019,7.45
aut,1991,18.24
aut,1992,17.95
aut,1993,17.41
aut,1994,17.19
aut,1995,17.51
aut,1996,15.58
aut,1997,14.6
aut,1998,14.23
aut,1999,14
aut,2000,14.16
aut,2001,13.8
aut,2002,12.96
aut,2003,13.07
aut,2004,13.29
aut,2005,12.9
aut,2006,13.41
aut,2007,12.98
aut,2008,12.26
aut,2009,11.42
aut,2010,11.47
aut,2011,12.45
aut,2012,12.66
aut,2013,13.01
aut,2014,12.7
aut,2015,12.14
aut,2016,11.98
aut,2017,11.4
aut,2018,11.86
aut,2019,11.76
aze,1991,10.4
aze,1992,9.97
aze,1993,9.57
aze,1994,9.3
aze,1995,8.85
aze,1996,8.61
aze,1997,8.14
aze,1998,7.83
aze,1999,7.81
aze,2000,7.52
aze,2001,7.22
aze,2002,7.48
aze,2003,7.84
aze,2004,8.28
aze,2005,8.67
aze,2006,4.04
aze,2007,3.73
aze,2008,6.05
aze,2009,5.54
aze,2010,6.1
aze,2011,6.17
aze,2012,6.19
aze,2013,6.01
aze,2014,6.16
aze,2015,5.88
aze,2016,6.02
aze,2017,5.98
aze,2018,5.95
aze,2019,5.91
bdi,1991,0.78
bdi,1992,0.77
bdi,1993,0.76
bdi,1994,0.75
bdi,1995,0.73
bdi,1996,0.73
bdi,1997,0.72
bdi,1998,0.7
bdi,1999,0.7
bdi,2000,0.7
bdi,2001,0.7
bdi,2002,0.72
bdi,2003,0.71
bdi,2004,0.77
bdi,2005,0.77
bdi,2006,0.77
bdi,2007,0.78
bdi,2008,0.8
bdi,2009,0.82
bdi,2010,0.84
bdi,2011,0.86
bdi,2012,0.87
bdi,2013,0.91
bdi,2014,0.93
bdi,2015,0.92
bdi,2016,0.93
bdi,2017,0.93
bdi,2018,0.92
bdi,2019,0.91
bel,1991,15.85
bel,1992,15.46
bel,1993,14.12
bel,1994,14.2
bel,1995,13.58
bel,1996,13.28
bel,1997,13.24
bel,1998,12.76
bel,1999,11.47
bel,2000,11.66
bel,2001,11.8
bel,2002,12.47
bel,2003,11.59
bel,2004,10.85
bel,2005,11.32
bel,2006,10.74
bel,2007,11.01
bel,2008,10.28
bel,2009,9.71
bel,2010,10.07
bel,2011,9.67
bel,2012,8.63
bel,2013,8.57
bel,2014,8.32
bel,2015,8.36
bel,2016,8.17
bel,2017,8.57
bel,2018,8.55
bel,2019,8.41
ben,1991,20.71
ben,1992,20.64
ben,1993,20.5
ben,1994,20.84
ben,1995,20.6
ben,1996,20.53
ben,1997,20.36
ben,1998,20.16
ben,1999,19.98
ben,2000,19.72
ben,2001,19.45
ben,2002,19.29
ben,2003,19.05
ben,2004,18.83
ben,2005,18.71
ben,2006,18.5
ben,2007,18.14
ben,2008,17.8
ben,2009,17.64
ben,2010,17.45
ben,2011,17.27
ben,2012,17.07
ben,2013,16.88
ben,2014,16.7
ben,2015,16.71
ben,2016,16.51
ben,2017,16.41
ben,2018,16.27
ben,2019,16.16
bfa,1991,3.91
bfa,1992,3.98
bfa,1993,4.05
bfa,1994,4.18
bfa,1995,4.6
bfa,1996,5.07
bfa,1997,5.63
bfa,1998,6.26
bfa,1999,6.94
bfa,2000,7.68
bfa,2001,8.61
bfa,2002,9.64
bfa,2003,10.83
bfa,2004,12.09
bfa,2005,13.54
bfa,2006,15.15
bfa,2007,16.8
bfa,2008,18.72
bfa,2009,20.67
bfa,2010,22.7
bfa,2011,24.87
bfa,2012,27.12
bfa,2013,29.61
bfa,2014,32.43
bfa,2015,30.38
bfa,2016,28.42
bfa,2017,26.66
bfa,2018,25.12
bfa,2019,25.16
bgd,1991,7.75
bgd,1992,7.77
bgd,1993,7.77
bgd,1994,7.71
bgd,1995,7.62
bgd,1996,7.46
bgd,1997,7.55
bgd,1998,7.75
bgd,1999,8.06
bgd,2000,8.64
bgd,2001,8.92
bgd,2002,9.35
bgd,2003,9.92
bgd,2004,10.64
bgd,2005,11.52
bgd,2006,12.48
bgd,2007,12.64
bgd,2008,12.77
bgd,2009,12.87
bgd,2010,13.02
bgd,2011,13.46
bgd,2012,13.92
bgd,2013,14.39
bgd,2014,14.87
bgd,2015,15.38
bgd,2016,15.92
bgd,2017,16.76
bgd,2018,17.18
bgd,2019,17.66
bgr,1991,36.09
bgr,1992,35.01
bgr,1993,33.91
bgr,1994,33.15
bgr,1995,32.17
bgr,1996,31.62
bgr,1997,30.5
bgr,1998,29.85
bgr,1999,28.43
bgr,2000,27.26
bgr,2001,28.84
bgr,2002,28.81
bgr,2003,27.98
bgr,2004,28.53
bgr,2005,28.84
bgr,2006,28.02
bgr,2007,28.49
bgr,2008,28.63
bgr,2009,26.82
bgr,2010,24.07
bgr,2011,23.91
bgr,2012,25.09
bgr,2013,23.83
bgr,2014,23.21
bgr,2015,22.74
bgr,2016,22.37
bgr,2017,22.54
bgr,2018,22.4
bgr,2019,22.23
bhr,1991,7.28
bhr,1992,7.74
bhr,1993,8.32
bhr,1994,8.84
bhr,1995,9.45
bhr,1996,10
bhr,1997,10.63
bhr,1998,11.28
bhr,1999,11.98
bhr,2000,12.67
bhr,2001,13.42
bhr,2002,12.41
bhr,2003,11.54
bhr,2004,10.81
bhr,2005,10.22
bhr,2006,9.76
bhr,2007,9.45
bhr,2008,9.24
bhr,2009,8.96
bhr,2010,9.04
bhr,2011,8.93
bhr,2012,8.96
bhr,2013,9.07
bhr,2014,9.17
bhr,2015,9.2
bhr,2016,9.1
bhr,2017,8.96
bhr,2018,8.77
bhr,2019,8.57
bhs,1991,5.14
bhs,1992,5.09
bhs,1993,4.81
bhs,1994,5.25
bhs,1995,5.32
bhs,1996,5.71
bhs,1997,5.88
bhs,1998,5.32
bhs,1999,5.45
bhs,2000,5.77
bhs,2001,6.12
bhs,2002,4.28
bhs,2003,5.49
bhs,2004,5.11
bhs,2005,5.05
bhs,2006,5.06
bhs,2007,5.38
bhs,2008,4.16
bhs,2009,3.63
bhs,2010,3.58
bhs,2011,3.43
bhs,2012,3.37
bhs,2013,3.25
bhs,2014,3.16
bhs,2015,3.05
bhs,2016,2.97
bhs,2017,2.97
bhs,2018,2.95
bhs,2019,2.91
bih,1991,17.87
bih,1992,17.8
bih,1993,17.8
bih,1994,17.82
bih,1995,17.91
bih,1996,18.48
bih,1997,18.51
bih,1998,18.62
bih,1999,18.31
bih,2000,17.93
bih,2001,17.73
bih,2002,17.74
bih,2003,17.63
bih,2004,17.52
bih,2005,17.63
bih,2006,17.85
bih,2007,18.06
bih,2008,18.52
bih,2009,16.39
bih,2010,16.3
bih,2011,16.3
bih,2012,16.73
bih,2013,16.28
bih,2014,16.14
bih,2015,17.07
bih,2016,17.88
bih,2017,17.99
bih,2018,17.93
bih,2019,16.85
blr,1991,30.81
blr,1992,30.53
blr,1993,29.88
blr,1994,29.27
blr,1995,28.83
blr,1996,28.22
blr,1997,27.52
blr,1998,26.86
blr,1999,26.28
blr,2000,25.68
blr,2001,24.94
blr,2002,24.44
blr,2003,23.92
blr,2004,23.54
blr,2005,23.19
blr,2006,22.95
blr,2007,22.71
blr,2008,22.54
blr,2009,22.33
blr,2010,22.11
blr,2011,21.87
blr,2012,21.51
blr,2013,21.15
blr,2014,20.87
blr,2015,20.39
blr,2016,19.86
blr,2017,19.71
blr,2018,19.06
blr,2019,18.75
blz,1991,12.85
blz,1992,12.62
blz,1993,12.87
blz,1994,11.86
blz,1995,9.14
blz,1996,10.25
blz,1997,15
blz,1998,10.59
blz,1999,11.69
blz,2000,11.59
blz,2001,11.3
blz,2002,11.04
blz,2003,10.79
blz,2004,10.52
blz,2005,10.27
blz,2006,10.08
blz,2007,9.82
blz,2008,9.61
blz,2009,9.29
blz,2010,9.06
blz,2011,8.85
blz,2012,8.61
blz,2013,8.36
blz,2014,8.13
blz,2015,7.99
blz,2016,9.32
blz,2017,9.24
blz,2018,9.24
blz,2019,9.26
bol,1991,12.11
bol,1992,12.05
bol,1993,11.95
bol,1994,11.86
bol,1995,11.8
bol,1996,11.61
bol,1997,11.26
bol,1998,11.21
bol,1999,11.21
bol,2000,9.68
bol,2001,8.98
bol,2002,10.71
bol,2003,10.9
bol,2004,10.91
bol,2005,10.68
bol,2006,10.01
bol,2007,9.08
bol,2008,10.9
bol,2009,10.57
bol,2010,10.6
bol,2011,10.7
bol,2012,10.78
bol,2013,10.01
bol,2014,9.67
bol,2015,10.99
bol,2016,10.27
bol,2017,9.78
bol,2018,10.2
bol,2019,10.24
bra,1991,15.39
bra,1992,15.05
bra,1993,14.91
bra,1994,14.78
bra,1995,14.52
bra,1996,14.46
bra,1997,14.34
bra,1998,13.97
bra,1999,13.87
bra,2000,13.41
bra,2001,12.99
bra,2002,12.81
bra,2003,12.9
bra,2004,13.02
bra,2005,13.39
bra,2006,13.13
bra,2007,13.3
bra,2008,13.69
bra,2009,13.31
bra,2010,12.61
bra,2011,11.9
bra,2012,12.62
bra,2013,12.22
bra,2014,11.94
bra,2015,11.66
bra,2016,10.77
bra,2017,10.69
bra,2018,10.75
bra,2019,10.57
brb,1991,12.52
brb,1992,12.45
brb,1993,12.25
brb,1994,11.24
brb,1995,12.52
brb,1996,11.09
brb,1997,11.3
brb,1998,11.52
brb,1999,11.09
brb,2000,10.43
brb,2001,9.82
brb,2002,9.86
brb,2003,8.88
brb,2004,8.21
brb,2005,7.58
brb,2006,6.78
brb,2007,7.12
brb,2008,7.18
brb,2009,7.75
brb,2010,8.73
brb,2011,8.53
brb,2012,9.05
brb,2013,9.56
brb,2014,9.88
brb,2015,9.69
brb,2016,9.36
brb,2017,9.28
brb,2018,9.18
brb,2019,9.01
brn,1991,8.88
brn,1992,9.1
brn,1993,9.46
brn,1994,9.66
brn,1995,9.9
brn,1996,9.95
brn,1997,10.19
brn,1998,10.72
brn,1999,10.6
brn,2000,10.54
brn,2001,10.88
brn,2002,10.73
brn,2003,10.55
brn,2004,10.49
brn,2005,10.29
brn,2006,10.25
brn,2007,10.6
brn,2008,10.33
brn,2009,10.82
brn,2010,10.72
brn,2011,10.51
brn,2012,10.57
brn,2013,10.81
brn,2014,10.91
brn,2015,10.42
brn,2016,9.77
brn,2017,9.17
brn,2018,9.01
brn,2019,9.42
btn,1991,4.98
btn,1992,4.98
btn,1993,4.97
btn,1994,4.97
btn,1995,4.97
btn,1996,5.01
btn,1997,5.01
btn,1998,5
btn,1999,5.03
btn,2000,5.14
btn,2001,5.25
btn,2002,5.37
btn,2003,5.45
btn,2004,5.56
btn,2005,5.64
btn,2006,5.63
btn,2007,5.93
btn,2008,6.13
btn,2009,6.41
btn,2010,6.72
btn,2011,8.61
btn,2012,9.27
btn,2013,10.26
btn,2014,8.41
btn,2015,9.24
btn,2016,9.38
btn,2017,9.44
btn,2018,9.57
btn,2019,9.57
bwa,1991,19.22
bwa,1992,19.3
bwa,1993,19.36
bwa,1994,19.41
bwa,1995,19.49
bwa,1996,19.62
bwa,1997,16.91
bwa,1998,15.93
bwa,1999,15.04
bwa,2000,14.28
bwa,2001,14.94
bwa,2002,15.61
bwa,2003,16.41
bwa,2004,15.18
bwa,2005,13.99
bwa,2006,12.91
bwa,2007,12.06
bwa,2008,11.23
bwa,2009,10.41
bwa,2010,10.22
bwa,2011,10.11
bwa,2012,10.03
bwa,2013,9.88
bwa,2014,9.8
bwa,2015,9.79
bwa,2016,9.64
bwa,2017,9.53
bwa,2018,9.39
bwa,2019,9.24
caf,1991,6.83
caf,1992,6.78
caf,1993,6.71
caf,1994,6.6
caf,1995,6.55
caf,1996,6.47
caf,1997,6.35
caf,1998,6.27
caf,1999,6.1
caf,2000,6.04
caf,2001,5.94
caf,2002,5.85
caf,2003,5.86
caf,2004,5.73
caf,2005,5.66
caf,2006,5.62
caf,2007,5.57
caf,2008,5.59
caf,2009,5.47
caf,2010,5.36
caf,2011,5.26
caf,2012,5.11
caf,2013,5.11
caf,2014,4.92
caf,2015,4.77
caf,2016,4.71
caf,2017,4.63
caf,2018,4.58
caf,2019,4.57
can,1991,11.82
can,1992,11.64
can,1993,10.9
can,1994,10.88
can,1995,11.25
can,1996,11.09
can,1997,11.42
can,1998,11.44
can,1999,11.49
can,2000,11.45
can,2001,11.3
can,2002,11.5
can,2003,11.33
can,2004,11.32
can,2005,10.8
can,2006,10.46
can,2007,10.21
can,2008,9.71
can,2009,8.94
can,2010,8.54
can,2011,8.98
can,2012,9
can,2013,8.73
can,2014,8.61
can,2015,8.55
can,2016,8.51
can,2017,8.48
can,2018,8.46
can,2019,8.35
chanisl,1991,22.14
chanisl,1992,21.94
chanisl,1993,21.76
chanisl,1994,21.67
chanisl,1995,21.41
chanisl,1996,21.08
chanisl,1997,20.78
chanisl,1998,20.44
chanisl,1999,20.16
chanisl,2000,19.9
chanisl,2001,19.23
chanisl,2002,18.68
chanisl,2003,18.09
chanisl,2004,17.57
chanisl,2005,17.16
chanisl,2006,16.85
chanisl,2007,16.5
chanisl,2008,15.9
chanisl,2009,15.1
chanisl,2010,14.73
chanisl,2011,14.21
chanisl,2012,13.84
chanisl,2013,13.51
chanisl,2014,13.2
chanisl,2015,12.88
chanisl,2016,12.54
chanisl,2017,12.19
chanisl,2018,11.82
chanisl,2019,11.46
che,1991,16.53
che,1992,14.88
che,1993,14.42
che,1994,15.16
che,1995,15.36
che,1996,15.05
che,1997,13.9
che,1998,12.87
che,1999,12.61
che,2000,12.41
che,2001,12.34
che,2002,11.67
che,2003,11.23
che,2004,11.3
che,2005,11.01
che,2006,11.19
che,2007,10.73
che,2008,11.41
che,2009,10.77
che,2010,10.71
che,2011,10.4
che,2012,10.3
che,2013,10.65
che,2014,10.58
che,2015,10.1
che,2016,9.89
che,2017,10.14
che,2018,9.86
che,2019,10.13
chl,1991,14.9
chl,1992,15.12
chl,1993,16.15
chl,1994,14.92
chl,1995,14.63
chl,1996,15
chl,1997,14.47
chl,1998,13.9
chl,1999,12.66
chl,2000,12.35
chl,2001,12.99
chl,2002,12.11
chl,2003,11.86
chl,2004,12.3
chl,2005,11.6
chl,2006,11.39
chl,2007,10.99
chl,2008,11.46
chl,2009,10.79
chl,2010,10.27
chl,2011,10.49
chl,2012,10.78
chl,2013,10.65
chl,2014,10.75
chl,2015,11.23
chl,2016,11.13
chl,2017,10.84
chl,2018,10.22
chl,2019,10.16
chn,1991,23.36
chn,1992,23.47
chn,1993,24.02
chn,1994,24.27
chn,1995,24.52
chn,1996,24.95
chn,1997,24.94
chn,1998,24.51
chn,1999,23.67
chn,2000,22.79
chn,2001,22.3
chn,2002,21.02
chn,2003,20.95
chn,2004,21.87
chn,2005,22.95
chn,2006,24.14
chn,2007,25.56
chn,2008,25.71
chn,2009,25.99
chn,2010,26.62
chn,2011,27.18
chn,2012,27.76
chn,2013,27.32
chn,2014,26.86
chn,2015,25.88
chn,2016,25.24
chn,2017,24.25
chn,2018,24.18
chn,2019,23.06
civ,1991,11.91
civ,1992,11.91
civ,1993,11.9
civ,1994,11.83
civ,1995,11.77
civ,1996,11.7
civ,1997,11.84
civ,1998,11.66
civ,1999,11.61
civ,2000,11.63
civ,2001,11.24
civ,2002,11.19
civ,2003,11.13
civ,2004,11.1
civ,2005,11
civ,2006,10.88
civ,2007,10.92
civ,2008,10.84
civ,2009,10.95
civ,2010,10.82
civ,2011,10.98
civ,2012,11.06
civ,2013,11.38
civ,2014,10.95
civ,2015,10.57
civ,2016,10.35
civ,2017,10.34
civ,2018,10.43
civ,2019,10.47
cmr,1991,7.22
cmr,1992,7.2
cmr,1993,7.21
cmr,1994,7.2
cmr,1995,7.15
cmr,1996,7.13
cmr,1997,7.1
cmr,1998,7.17
cmr,1999,7.24
cmr,2000,7.41
cmr,2001,7.82
cmr,2002,7.6
cmr,2003,7.65
cmr,2004,7.86
cmr,2005,8.32
cmr,2006,8.88
cmr,2007,9.48
cmr,2008,9.57
cmr,2009,9.81
cmr,2010,9.91
cmr,2011,10.07
cmr,2012,10.26
cmr,2013,10.41
cmr,2014,10.61
cmr,2015,10.75
cmr,2016,10.85
cmr,2017,10.96
cmr,2018,10.96
cmr,2019,10.98
cod,1991,4.03
cod,1992,4
cod,1993,3.98
cod,1994,3.92
cod,1995,3.86
cod,1996,3.67
cod,1997,3.7
cod,1998,3.63
cod,1999,3.61
cod,2000,3.42
cod,2001,3.57
cod,2002,3.48
cod,2003,3.4
cod,2004,3.35
cod,2005,3.29
cod,2006,3.27
cod,2007,3.31
cod,2008,3.29
cod,2009,3.38
cod,2010,3.32
cod,2011,3.32
cod,2012,3.33
cod,2013,3.34
cod,2014,3.35
cod,2015,3.39
cod,2016,3.45
cod,2017,3.48
cod,2018,3.45
cod,2019,3.48
cog,1991,25.34
cog,1992,25.18
cog,1993,25.11
cog,1994,25.14
cog,1995,25.04
cog,1996,24.8
cog,1997,24.6
cog,1998,24.6
cog,1999,24.51
cog,2000,24.03
cog,2001,24.04
cog,2002,24.01
cog,2003,24.09
cog,2004,23.88
cog,2005,23.58
cog,2006,23.4
cog,2007,23.54
cog,2008,23.4
cog,2009,23.51
cog,2010,22.96
cog,2011,22.95
cog,2012,22.75
cog,2013,22.67
cog,2014,22.53
cog,2015,22.67
cog,2016,22.75
cog,2017,22.69
cog,2018,22.38
cog,2019,22.23
col,1991,19.49
col,1992,19.33
col,1993,19.2
col,1994,19.05
col,1995,18.91
col,1996,18.67
col,1997,18.46
col,1998,18.16
col,1999,17.72
col,2000,17.42
col,2001,17.22
col,2002,16.97
col,2003,16.76
col,2004,16.58
col,2005,16.39
col,2006,16.27
col,2007,16.17
col,2008,16
col,2009,15.88
col,2010,15.86
col,2011,16.07
col,2012,15.96
col,2013,14.73
col,2014,14.34
col,2015,14
col,2016,13.32
col,2017,13.96
col,2018,14.86
col,2019,14.4
com,1991,13.49
com,1992,13.38
com,1993,13.25
com,1994,13.14
com,1995,13.01
com,1996,12.88
com,1997,12.73
com,1998,12.6
com,1999,12.47
com,2000,12.44
com,2001,12.35
com,2002,12.3
com,2003,12.25
com,2004,12.21
com,2005,12.68
com,2006,13.14
com,2007,13.62
com,2008,14.04
com,2009,14.57
com,2010,15.04
com,2011,15.51
com,2012,15.94
com,2013,16.41
com,2014,16.82
com,2015,16.79
com,2016,16.74
com,2017,16.71
com,2018,16.53
com,2019,16.39
cpv,1991,14.54
cpv,1992,14.49
cpv,1993,14.42
cpv,1994,14.32
cpv,1995,14.21
cpv,1996,14.2
cpv,1997,14.11
cpv,1998,14.04
cpv,1999,13.92
cpv,2000,13.81
cpv,2001,13.76
cpv,2002,13.82
cpv,2003,13.77
cpv,2004,13.62
cpv,2005,13.56
cpv,2006,13.4
cpv,2007,13.17
cpv,2008,13.07
cpv,2009,13.05
cpv,2010,12.99
cpv,2011,12.81
cpv,2012,12.67
cpv,2013,12.53
cpv,2014,12.43
cpv,2015,12.3
cpv,2016,12.04
cpv,2017,11.88
cpv,2018,11.14
cpv,2019,11.41
cri,1991,24.52
cri,1992,23.27
cri,1993,21.53
cri,1994,21.59
cri,1995,20.04
cri,1996,18.09
cri,1997,17.2
cri,1998,17.59
cri,1999,17.25
cri,2000,16.37
cri,2001,17.15
cri,2002,14.98
cri,2003,14.44
cri,2004,13.12
cri,2005,12.6
cri,2006,12.76
cri,2007,12.89
cri,2008,13
cri,2009,11.59
cri,2010,10.97
cri,2011,10.42
cri,2012,9.53
cri,2013,8.07
cri,2014,9.64
cri,2015,9.63
cri,2016,9.11
cri,2017,9.91
cri,2018,11
cri,2019,10.03
cub,1991,22.32
cub,1992,21.89
cub,1993,20.67
cub,1994,18.88
cub,1995,15.99
cub,1996,16
cub,1997,16.02
cub,1998,14.83
cub,1999,13.79
cub,2000,13.81
cub,2001,13.5
cub,2002,13.17
cub,2003,12.87
cub,2004,12.69
cub,2005,12.61
cub,2006,12.55
cub,2007,12.38
cub,2008,11.9
cub,2009,11.71
cub,2010,11.55
cub,2011,12.08
cub,2012,13.54
cub,2013,11.38
cub,2014,10.89
cub,2015,10.97
cub,2016,10.82
cub,2017,10.62
cub,2018,10.54
cub,2019,10.42
cyp,1991,24.71
cyp,1992,23.28
cyp,1993,20.44
cyp,1994,18.65
cyp,1995,17.84
cyp,1996,16.76
cyp,1997,15.7
cyp,1998,14.74
cyp,1999,13.85
cyp,2000,12.99
cyp,2001,12.34
cyp,2002,11.94
cyp,2003,11.12
cyp,2004,10.48
cyp,2005,10.35
cyp,2006,10.03
cyp,2007,9.48
cyp,2008,9.62
cyp,2009,9.47
cyp,2010,9.2
cyp,2011,8.42
cyp,2012,8.35
cyp,2013,7.31
cyp,2014,7.05
cyp,2015,6.32
cyp,2016,6.41
cyp,2017,6.9
cyp,2018,6.37
cyp,2019,7.07
cze,1991,34.3
cze,1992,33.42
cze,1993,32.52
cze,1994,31.4
cze,1995,30.73
cze,1996,30.29
cze,1997,29.32
cze,1998,29.01
cze,1999,28.03
cze,2000,27.22
cze,2001,28.36
cze,2002,27.84
cze,2003,27.28
cze,2004,26.79
cze,2005,26.49
cze,2006,27.02
cze,2007,26.81
cze,2008,26.74
cze,2009,24.06
cze,2010,23.2
cze,2011,23.89
cze,2012,23.34
cze,2013,22.91
cze,2014,23.6
cze,2015,23.75
cze,2016,24.14
cze,2017,24.22
cze,2018,23.93
cze,2019,23.64
deu,1991,21.93
deu,1992,21.48
deu,1993,20.92
deu,1994,20.62
deu,1995,20.2
deu,1996,19.42
deu,1997,18.89
deu,1998,18.89
deu,1999,18.49
deu,2000,18.27
deu,2001,17.88
deu,2002,17.61
deu,2003,16.92
deu,2004,17.01
deu,2005,16.01
deu,2006,16.01
deu,2007,15.95
deu,2008,15.01
deu,2009,14.56
deu,2010,14.27
deu,2011,14.19
deu,2012,14.16
deu,2013,14.01
deu,2014,14.16
deu,2015,13.86
deu,2016,13.8
deu,2017,13.86
deu,2018,13.95
deu,2019,13.9
dji,1991,9.68
dji,1992,9.58
dji,1993,9.53
dji,1994,9.41
dji,1995,9.33
dji,1996,9.27
dji,1997,9.19
dji,1998,9.08
dji,1999,8.94
dji,2000,8.85
dji,2001,8.75
dji,2002,8.61
dji,2003,8.48
dji,2004,8.35
dji,2005,8.23
dji,2006,8.1
dji,2007,7.97
dji,2008,7.82
dji,2009,7.76
dji,2010,7.66
dji,2011,7.53
dji,2012,7.44
dji,2013,7.35
dji,2014,7.29
dji,2015,7.19
dji,2016,7.1
dji,2017,7.04
dji,2018,6.9
dji,2019,6.8
dnk,1991,15.24
dnk,1992,15.01
dnk,1993,14.57
dnk,1994,15.07
dnk,1995,14.95
dnk,1996,15.07
dnk,1997,14.47
dnk,1998,14.65
dnk,1999,15.38
dnk,2000,13.5
dnk,2001,14.4
dnk,2002,12.25
dnk,2003,11.64
dnk,2004,12.01
dnk,2005,12.41
dnk,2006,11.63
dnk,2007,12.64
dnk,2008,12.28
dnk,2009,10.23
dnk,2010,9.23
dnk,2011,9.33
dnk,2012,9.41
dnk,2013,9.11
dnk,2014,9.22
dnk,2015,9.62
dnk,2016,9.3
dnk,2017,8.89
dnk,2018,8.72
dnk,2019,8.79
dom,1991,22.79
dom,1992,22.64
dom,1993,22.37
dom,1994,22.01
dom,1995,21.64
dom,1996,21.17
dom,1997,21.42
dom,1998,22.27
dom,1999,20.77
dom,2000,20.32
dom,2001,17.17
dom,2002,15.5
dom,2003,15.37
dom,2004,15.19
dom,2005,15.11
dom,2006,14.3
dom,2007,13.84
dom,2008,14.43
dom,2009,9.46
dom,2010,9.68
dom,2011,9.63
dom,2012,10.47
dom,2013,8.85
dom,2014,9.67
dom,2015,8.87
dom,2016,9.07
dom,2017,9.59
dom,2018,9.45
dom,2019,9.28
dza,1991,33.8
dza,1992,33.62
dza,1993,33.27
dza,1994,32.94
dza,1995,32.68
dza,1996,32.46
dza,1997,32.02
dza,1998,31.78
dza,1999,31.06
dza,2000,30.27
dza,2001,29.79
dza,2002,28.03
dza,2003,26.39
