geo,time,sl_tlf_cact_zs
btn,2008,69.823
btn,2009,69.7
btn,2010,68.15
btn,2011,67.39
btn,2012,64.36
btn,2013,65.3
btn,2014,62.61
btn,2015,63.14
btn,2016,62.984
btn,2017,62.823
btn,2018,62.651
btn,2019,62.46
btn,2020,59.487
btn,2021,60.139
bwa,1990,59.14
bwa,1991,59.002
bwa,1992,58.869
bwa,1993,58.732
bwa,1994,58.576
bwa,1995,58.395
bwa,1996,58.239
bwa,1997,58.054
bwa,1998,57.85
bwa,1999,57.645
bwa,2000,57.44
bwa,2001,57.676
bwa,2002,57.911
bwa,2003,58.147
bwa,2004,58.381
bwa,2005,58.616
bwa,2006,58.85
bwa,2007,59.974
bwa,2008,61.088
bwa,2009,62.19
bwa,2010,59.13
bwa,2011,59.255
bwa,2012,59.38
bwa,2013,59.504
bwa,2014,59.629
bwa,2015,59.753
bwa,2016,59.878
bwa,2017,60.002
bwa,2018,60.126
bwa,2019,60.25
bwa,2020,60.72
bwa,2021,60.49
caf,1990,71.646
caf,1991,71.652
caf,1992,71.647
caf,1993,71.631
caf,1994,71.606
caf,1995,71.573
caf,1996,71.58
caf,1997,71.581
caf,1998,71.573
caf,1999,71.555
caf,2000,71.529
caf,2001,71.562
caf,2002,71.579
caf,2003,71.584
caf,2004,71.584
caf,2005,71.581
caf,2006,71.628
caf,2007,71.668
caf,2008,71.699
caf,2009,71.714
caf,2010,71.71
caf,2011,71.795
caf,2012,71.864
caf,2013,71.915
caf,2014,71.951
caf,2015,71.975
caf,2016,71.917
caf,2017,71.846
caf,2018,71.765
caf,2019,71.678
caf,2020,70.896
caf,2021,71.242
can,1990,67.15
can,1991,66.58
can,1992,65.7
can,1993,65.34
can,1994,65.16
can,1995,64.82
can,1996,64.67
can,1997,64.87
can,1998,65.13
can,1999,65.53
can,2000,65.76
can,2001,65.91
can,2002,66.86
can,2003,67.56
can,2004,67.49
can,2005,67.14
can,2006,67.02
can,2007,67.44
can,2008,67.56
can,2009,67.09
can,2010,66.91
can,2011,66.71
can,2012,66.5
can,2013,66.46
can,2014,65.99
can,2015,65.84
can,2016,65.71
can,2017,65.76
can,2018,65.41
can,2019,65.71
can,2020,64.02
can,2021,65.213
chanisl,1990,57.622
chanisl,1991,57.725
chanisl,1992,57.636
chanisl,1993,57.474
chanisl,1994,57.43
chanisl,1995,57.623
chanisl,1996,57.771
chanisl,1997,57.814
chanisl,1998,57.969
chanisl,1999,58.132
chanisl,2000,58.101
chanisl,2001,58.918
chanisl,2002,59.262
chanisl,2003,59.596
chanisl,2004,59.424
chanisl,2005,59.377
chanisl,2006,59.14
chanisl,2007,59.054
chanisl,2008,59.553
chanisl,2009,59.77
chanisl,2010,59.358
chanisl,2011,59.267
chanisl,2012,59.338
chanisl,2013,59.376
chanisl,2014,59.441
chanisl,2015,59.563
chanisl,2016,59.697
chanisl,2017,59.802
chanisl,2018,59.911
chanisl,2019,59.984
chanisl,2020,59.414
chanisl,2021,59.314
che,1990,68.28
che,1991,68.43
che,1992,68.29
che,1993,68.22
che,1994,67.35
che,1995,67.05
che,1996,67.65
che,1997,67.42
che,1998,67.99
che,1999,67.86
che,2000,67.37
che,2001,67.8
che,2002,67.72
che,2003,67.85
che,2004,67.27
che,2005,66.98
che,2006,67.35
che,2007,67.63
che,2008,68.19
che,2009,68.24
che,2010,67
che,2011,67.45
che,2012,67.52
che,2013,67.54
che,2014,67.91
che,2015,68.15
che,2016,68.57
che,2017,68.44
che,2018,68.48
che,2019,68.23
che,2020,67.87
che,2021,67.145
chl,1990,52.531
chl,1991,53.218
chl,1992,54.263
chl,1993,54.818
chl,1994,55.207
chl,1995,56.03
chl,1996,56.63
chl,1997,56.62
chl,1998,56.75
chl,1999,56.65
chl,2000,55.91
chl,2001,55.01
chl,2002,54.51
chl,2003,55.03
chl,2004,55.4
chl,2005,55.74
chl,2006,56.88
chl,2007,57.35
chl,2008,58.55
chl,2009,58.35
chl,2010,58.65
chl,2011,59.95
chl,2012,59.69
chl,2013,59.73
chl,2014,59.97
chl,2015,59.85
chl,2016,59.62
chl,2017,59.89
chl,2018,59.84
chl,2019,59.58
chl,2020,55.3
chl,2021,54.635
chn,1990,79.17
chn,1991,78.943
chn,1992,78.714
chn,1993,78.484
chn,1994,78.252
chn,1995,78.018
chn,1996,77.782
chn,1997,77.544
chn,1998,77.304
chn,1999,77.063
chn,2000,76.82
chn,2001,76.273
chn,2002,75.717
chn,2003,75.152
chn,2004,74.579
chn,2005,73.997
chn,2006,73.406
chn,2007,72.807
chn,2008,72.2
chn,2009,71.584
chn,2010,70.96
chn,2011,71.07
chn,2012,70.82
chn,2013,70.58
chn,2014,70.46
chn,2015,70.33
chn,2016,70.09
chn,2017,69.75
chn,2018,69.4
chn,2019,69.14
chn,2020,68.25
chn,2021,68.057
civ,1990,65.53
civ,1991,65.503
civ,1992,65.45
civ,1993,65.378
civ,1994,65.297
civ,1995,65.212
civ,1996,65.207
civ,1997,65.193
civ,1998,65.17
civ,1999,64.711
civ,2000,64.25
civ,2001,63.785
civ,2002,63.318
civ,2003,62.849
civ,2004,62.377
civ,2005,61.903
civ,2006,61.427
civ,2007,60.948
civ,2008,60.467
civ,2009,59.985
civ,2010,59.5
civ,2011,59.013
civ,2012,58.525
civ,2013,58.035
civ,2014,57.543
civ,2015,57.05
civ,2016,56.556
civ,2017,56.06
civ,2018,56.001
civ,2019,55.943
civ,2020,55.411
civ,2021,55.499
cmr,1990,83.271
cmr,1991,83.288
cmr,1992,83.292
cmr,1993,83.285
cmr,1994,83.263
cmr,1995,83.229
cmr,1996,83.205
cmr,1997,83.168
cmr,1998,83.12
cmr,1999,83.065
cmr,2000,83.008
cmr,2001,82.975
cmr,2002,82.94
cmr,2003,82.905
cmr,2004,82.868
cmr,2005,82.831
cmr,2006,82.819
cmr,2007,82.8
cmr,2008,80.785
cmr,2009,78.596
cmr,2010,76.23
cmr,2011,76.221
cmr,2012,76.21
cmr,2013,76.194
cmr,2014,76.173
cmr,2015,76.144
cmr,2016,76.117
cmr,2017,76.081
cmr,2018,76.038
cmr,2019,75.989
cmr,2020,75.267
cmr,2021,75.421
cod,1990,72.338
cod,1991,72.375
cod,1992,72.404
cod,1993,72.426
cod,1994,72.434
cod,1995,72.421
cod,1996,72.454
cod,1997,72.469
cod,1998,72.466
cod,1999,72.456
cod,2000,72.447
cod,2001,72.471
cod,2002,72.487
cod,2003,72.499
cod,2004,72.506
cod,2005,72.51
cod,2006,71.632
cod,2007,70.738
cod,2008,69.827
cod,2009,68.9
cod,2010,67.958
cod,2011,67.001
cod,2012,66.03
cod,2013,66.04
cod,2014,66.04
cod,2015,66.03
cod,2016,66.03
cod,2017,66.016
cod,2018,65.988
cod,2019,65.949
cod,2020,64.815
cod,2021,65.098
cog,1990,68.621
cog,1991,68.555
cog,1992,68.479
cog,1993,68.4
cog,1994,68.324
cog,1995,68.254
cog,1996,68.194
cog,1997,68.14
cog,1998,68.09
cog,1999,68.044
cog,2000,68
cog,2001,67.982
cog,2002,67.961
cog,2003,67.941
cog,2004,67.926
cog,2005,67.92
cog,2006,67.905
cog,2007,67.895
cog,2008,67.89
cog,2009,67.881
cog,2010,67.866
cog,2011,67.92
cog,2012,67.958
cog,2013,67.982
cog,2014,67.995
cog,2015,67.997
cog,2016,67.977
cog,2017,67.944
cog,2018,67.898
cog,2019,67.841
cog,2020,65.716
cog,2021,66.324
col,1990,66.718
col,1991,66.72
col,1992,66.938
col,1993,67.295
col,1994,67.698
col,1995,68.043
col,1996,68.07
col,1997,68.244
col,1998,68.126
col,1999,67.493
col,2000,67.63
col,2001,67.64
col,2002,66.6
col,2003,67.44
col,2004,65.94
col,2005,65.34
col,2006,65.02
col,2007,63.21
col,2008,63.68
col,2009,66.56
col,2010,67.76
col,2011,68.47
col,2012,69.41
col,2013,69.03
col,2014,69.15
col,2015,69.48
col,2016,69.07
col,2017,68.89
col,2018,68.39
col,2019,67.48
col,2020,62.7
col,2021,64.71
com,1990,42.295
com,1991,42.299
com,1992,42.289
com,1993,42.263
com,1994,42.222
com,1995,42.164
com,1996,42.103
com,1997,42.031
com,1998,41.949
com,1999,41.856
com,2000,41.755
com,2001,41.67
com,2002,41.575
com,2003,41.477
com,2004,41.38
com,2005,41.686
com,2006,41.993
com,2007,42.301
com,2008,42.609
com,2009,42.918
com,2010,43.227
com,2011,43.537
com,2012,43.848
com,2013,44.159
com,2014,44.47
com,2015,44.41
com,2016,44.361
com,2017,44.3
com,2018,44.231
com,2019,44.156
com,2020,43.17
com,2021,43.361
cpv,1990,60.762
cpv,1991,60.74
cpv,1992,60.718
cpv,1993,60.691
cpv,1994,60.65
cpv,1995,60.589
cpv,1996,60.478
cpv,1997,60.34
cpv,1998,60.174
cpv,1999,59.981
cpv,2000,59.763
cpv,2001,59.567
cpv,2002,59.352
cpv,2003,59.127
cpv,2004,58.909
cpv,2005,58.711
cpv,2006,58.673
cpv,2007,58.659
cpv,2008,58.655
cpv,2009,58.652
cpv,2010,58.647
cpv,2011,58.589
cpv,2012,58.582
cpv,2013,58.62
cpv,2014,58.691
cpv,2015,58.775
cpv,2016,58.845
cpv,2017,58.938
cpv,2018,55.427
cpv,2019,57.236
cpv,2020,52.987
cpv,2021,54.313
cri,1990,57.35
cri,1991,56.5
cri,1992,55.66
cri,1993,56.54
cri,1994,57.02
cri,1995,58.03
cri,1996,55.97
cri,1997,58.13
cri,1998,59.69
cri,1999,59.69
cri,2000,58.87
cri,2001,61.04
cri,2002,60.65
cri,2003,61.01
cri,2004,59.8
cri,2005,62.07
cri,2006,61.72
cri,2007,62.58
cri,2008,62.14
cri,2009,61.5
cri,2010,59.21
cri,2011,58.89
cri,2012,62.52
cri,2013,61.86
cri,2014,62.14
cri,2015,60.83
cri,2016,57.79
