geo,time,sh_prv_smok_ma
cog,2005,19.9
cog,2010,22.2
cog,2015,24.3
cog,2018,25.8
cog,2019,26.4
cog,2020,26.8
col,2000,22.1
col,2005,19.4
col,2010,16.6
col,2015,14.4
col,2018,13.2
col,2019,12.8
col,2020,12.4
com,2000,41.1
com,2005,37.8
com,2010,34.8
com,2015,32
com,2018,30.5
com,2019,29.9
com,2020,29.5
cpv,2000,27.9
cpv,2005,24.9
cpv,2010,21.9
cpv,2015,19.5
cpv,2018,18.2
cpv,2019,17.7
cpv,2020,17.3
cri,2000,26.1
cri,2005,21.8
cri,2010,18.4
cri,2015,15.4
cri,2018,13.8
cri,2019,13.4
cri,2020,12.9
cub,2000,51.3
cub,2005,43.2
cub,2010,36.3
cub,2015,30.5
cub,2018,27.4
cub,2019,26.4
cub,2020,25.5
cyp,2000,60.6
cyp,2005,56.7
cyp,2010,53.2
cyp,2015,50.1
cyp,2018,48.3
cyp,2019,47.7
cyp,2020,47
cze,2000,40.1
cze,2005,38.8
cze,2010,37.3
cze,2015,35.8
cze,2018,35.4
cze,2019,35.2
cze,2020,35
deu,2000,41.1
deu,2005,35.9
deu,2010,31.4
deu,2015,27.5
deu,2018,25.5
deu,2019,24.6
deu,2020,24.1
dnk,2000,40.4
dnk,2005,32.9
dnk,2010,26.8
dnk,2015,21.9
dnk,2018,19.4
dnk,2019,18.4
dnk,2020,17.8
dom,2000,21.1
dom,2005,19.2
dom,2010,17.6
dom,2015,16.1
dom,2018,15.3
dom,2019,15
dom,2020,14.6
dza,2000,42.5
dza,2005,42.1
dza,2010,41.7
dza,2015,41.2
dza,2018,41.2
dza,2019,41.3
dza,2020,41.3
ecu,2000,29.1
ecu,2005,25.9
ecu,2010,23.3
ecu,2015,20.7
ecu,2018,19.3
ecu,2019,18.9
ecu,2020,18.4
egy,2000,47.5
egy,2005,47.4
egy,2010,47.9
egy,2015,48.1
egy,2018,48.2
egy,2019,48.3
egy,2020,48.1
eri,2000,26
eri,2005,22.6
eri,2010,19.6
eri,2015,17
eri,2018,15.5
eri,2019,15.1
eri,2020,14.7
esp,2000,44.5
esp,2005,40.1
esp,2010,35.8
esp,2015,32
esp,2018,30
esp,2019,29.3
esp,2020,28.6
est,2000,61.9
est,2005,54.9
est,2010,47.9
est,2015,41.8
est,2018,38.5
est,2019,37.4
est,2020,36.3
eth,2000,11.6
eth,2005,10.8
eth,2010,10.1
eth,2015,9.4
eth,2018,9
eth,2019,9
eth,2020,8.8
fin,2000,46.7
fin,2005,40.5
fin,2010,35.5
fin,2015,30.9
fin,2018,28.3
fin,2019,27.7
fin,2020,26.9
fji,2000,49.4
fji,2005,45.5
fji,2010,42.2
fji,2015,38.7
fji,2018,36.8
fji,2019,36.2
fji,2020,35.6
fra,2000,38.5
fra,2005,37.7
fra,2010,36.7
fra,2015,35.9
fra,2018,35.3
fra,2019,35.2
fra,2020,34.9
gbr,2000,39.2
gbr,2005,31.9
gbr,2010,25.9
gbr,2015,21.2
gbr,2018,18.7
gbr,2019,17.9
gbr,2020,17.3
geo,2000,60.2
geo,2005,59.3
geo,2010,58.1
geo,2015,57.3
geo,2018,56.7
geo,2019,56.3
geo,2020,56.3
gha,2000,12.8
gha,2005,10.9
gha,2010,9.2
gha,2015,7.8
gha,2018,7.1
gha,2019,6.8
gha,2020,6.6
gmb,2000,41.4
gmb,2005,35.1
gmb,2010,29.8
gmb,2015,25.4
gmb,2018,22.9
gmb,2019,22.2
gmb,2020,21.4
gnb,2000,34
gnb,2005,28.4
gnb,2010,23.9
gnb,2015,20.2
gnb,2018,18.2
gnb,2019,17.6
gnb,2020,17
grc,2000,65.9
grc,2005,57
grc,2010,49.1
grc,2015,42.3
grc,2018,38.8
grc,2019,37.7
grc,2020,36.5
gtm,2000,25.2
gtm,2005,23.9
gtm,2010,22.6
gtm,2015,21.2
gtm,2018,20.5
gtm,2019,20.4
gtm,2020,20.1
guy,2000,54.9
guy,2005,43.6
guy,2010,34.6
guy,2015,27.3
guy,2018,23.8
guy,2019,22.7
guy,2020,21.7
hrv,2000,41.7
hrv,2005,40.5
hrv,2010,39.5
hrv,2015,38.5
hrv,2018,38
hrv,2019,37.8
hrv,2020,37.6
hti,2000,18.3
hti,2005,16.5
hti,2010,15
hti,2015,13.5
hti,2018,12.7
hti,2019,12.5
hti,2020,12.2
hun,2000,43.1
hun,2005,41.3
hun,2010,39.4
hun,2015,37.6
hun,2018,36.5
hun,2019,36.4
hun,2020,35.8
idn,2000,63.8
idn,2005,65.6
idn,2010,67.4
idn,2015,69.1
idn,2018,70.3
idn,2019,70.6
idn,2020,71.4
ind,2000,69.9
ind,2005,61
ind,2010,53.5
ind,2015,47.2
ind,2018,43.6
ind,2019,42.4
ind,2020,41.3
irl,2000,35.2
irl,2005,31.5
irl,2010,28.1
irl,2015,25.2
irl,2018,23.7
irl,2019,23.1
irl,2020,22.5
irn,2000,34.8
irn,2005,31.6
irn,2010,29
irn,2015,26.5
irn,2018,25.2
irn,2019,24.7
irn,2020,24.1
irq,2000,36.9
irq,2005,36.1
irq,2010,36.1
irq,2015,35.5
irq,2018,35.5
irq,2019,35.5
irq,2020,35.1
isl,2000,32.8
isl,2005,25.5
isl,2010,19.9
isl,2015,15.4
isl,2018,13.3
isl,2019,12.6
isl,2020,11.9
isr,2000,39.1
isr,2005,36.3
isr,2010,33.7
isr,2015,31.4
isr,2018,30.2
isr,2019,29.3
isr,2020,28.9
ita,2000,32.6
ita,2005,30.9
ita,2010,29.4
ita,2015,27.9
ita,2018,27.1
ita,2019,26.9
ita,2020,26.6
jam,2000,26.7
jam,2005,23.1
jam,2010,20.1
jam,2015,17.4
jam,2018,15.9
jam,2019,15.5
jam,2020,15
jor,2000,51.2
jor,2005,52.5
jor,2010,53.7
jor,2015,55.2
jor,2018,55.6
jor,2019,56.5
jor,2020,56.8
jpn,2000,52
jpn,2005,45.5
jpn,2010,39.5
jpn,2015,34.5
jpn,2018,31.8
jpn,2019,30.8
jpn,2020,30.1
kaz,2000,57.1
kaz,2005,52
kaz,2010,47.5
kaz,2015,43.2
kaz,2018,41
kaz,2019,40.1
kaz,2020,39.6
ken,2000,32.4
ken,2005,28.6
ken,2010,25.2
ken,2015,22.2
ken,2018,20.6
ken,2019,20.1
ken,2020,19.5
kgz,2000,57.8
kgz,2005,56.2
kgz,2010,54.8
kgz,2015,53.1
kgz,2018,52.6
kgz,2019,51.8
kgz,2020,48
khm,2000,65.2
khm,2005,57.5
khm,2010,49.4
khm,2015,42.4
khm,2018,38.7
khm,2019,37.4
khm,2020,36.1
kir,2000,83.1
kir,2005,74.8
kir,2010,66.9
kir,2015,60.4
kir,2018,56.2
kir,2019,55.2
kir,2020,53.9
kor,2000,62.8
kor,2005,54.6
kor,2010,47.6
kor,2015,41.3
kor,2018,37.9
kor,2019,36.8
kor,2020,35.7
kwt,2000,35.8
kwt,2005,35.4
kwt,2010,34.6
kwt,2015,33.9
kwt,2018,33.6
kwt,2019,33.5
kwt,2020,33.5
lao,2000,76
lao,2005,70.1
lao,2010,63.6
lao,2015,58.2
lao,2018,55.1
lao,2019,54.1
lao,2020,53.3
lbn,2000,45.7
lbn,2005,46.2
lbn,2010,46.5
lbn,2015,47.1
lbn,2018,47.3
lbn,2019,47.6
lbn,2020,47.5
lbr,2000,26.4
lbr,2005,22.6
lbr,2010,19.5
lbr,2015,16.6
lbr,2018,15.1
lbr,2019,14.7
lbr,2020,14.3
lka,2000,48.3
lka,2005,46.6
lka,2010,44.8
lka,2015,43
lka,2018,42.2
lka,2019,41.9
lka,2020,41.4
lso,2000,47
lso,2005,46
lso,2010,45.2
lso,2015,44.1
lso,2018,43.6
lso,2019,43.1
lso,2020,43.1
ltu,2000,58
ltu,2005,53.6
ltu,2010,49.5
ltu,2015,45.5
ltu,2018,43.4
ltu,2019,42.8
ltu,2020,42.1
lux,2000,36.5
lux,2005,32.5
lux,2010,28.6
lux,2015,25.3
lux,2018,23.5
lux,2019,23
lux,2020,22.4
lva,2000,61.3
lva,2005,58
lva,2010,55.1
lva,2015,52.5
lva,2018,51.1
lva,2019,50.6
lva,2020,50.3
mar,2000,42.8
mar,2005,38.5
mar,2010,34.8
mar,2015,31.3
mar,2018,29.4
mar,2019,28.8
mar,2020,28.2
mda,2000,45.2
mda,2005,46.5
mda,2010,48
mda,2015,49.8
mda,2018,50.7
mda,2019,51.2
mda,2020,51.7
mdg,2000,58.2
mdg,2005,53.9
mdg,2010,49.5
mdg,2015,46
mdg,2018,43.9
mdg,2019,43.3
mdg,2020,42.7
mdv,2000,57.2
mdv,2005,53.7
mdv,2010,50.4
mdv,2015,47.2
mdv,2018,45.5
mdv,2019,45.3
mdv,2020,44.4
mex,2000,35.2
mex,2005,30.5
mex,2010,26.4
mex,2015,22.9
mex,2018,21.1
mex,2019,20.4
mex,2020,19.9
mhl,2000,47.1
mhl,2005,47.3
mhl,2010,47.7
mhl,2015,48.2
mhl,2018,48.3
mhl,2019,48.5
mhl,2020,48.7
mli,2000,28.4
mli,2005,24.5
mli,2010,21.1
mli,2015,18.2
mli,2018,16.6
mli,2019,16.1
mli,2020,15.6
mlt,2000,42.2
mlt,2005,37.5
mlt,2010,33.3
mlt,2015,29.8
mlt,2018,27.7
mlt,2019,27.1
mlt,2020,26.4
mmr,2000,83.8
mmr,2005,79.4
mmr,2010,76
mmr,2015,72
mmr,2018,70.2
mmr,2019,69.4
mmr,2020,68.5
mne,2000,43.4
mne,2005,40
mne,2010,37.1
mne,2015,34.3
mne,2018,32.8
mne,2019,32.3
mne,2020,31.6
mng,2000,59.2
mng,2005,57.3
mng,2010,55.2
mng,2015,53.6
mng,2018,52.3
mng,2019,52
mng,2020,51.7
moz,2000,43.8
moz,2005,37.1
moz,2010,31.7
moz,2015,26.7
moz,2018,24.3
moz,2019,23.7
moz,2020,23
mrt,2000,35.6
mrt,2005,30.7
mrt,2010,26.3
mrt,2015,22.4
mrt,2018,20.6
mrt,2019,19.9
mrt,2020,19.3
mus,2000,46.1
mus,2005,43.9
mus,2010,41.5
mus,2015,39.4
mus,2018,38.3
mus,2019,37.9
mus,2020,37.3
mwi,2000,35.3
mwi,2005,29.5
mwi,2010,24.7
mwi,2015,20.8
mwi,2018,18.9
mwi,2019,18.2
mwi,2020,17.5
mys,2000,54.8
mys,2005,51.9
mys,2010,49
mys,2015,46.1
mys,2018,44.7
mys,2019,44.3
mys,2020,43.8
nam,2000,33.1
nam,2005,30.8
nam,2010,28.5
nam,2015,26.2
nam,2018,25
nam,2019,24.6
nam,2020,24.2
ner,2000,16.4
ner,2005,15.6
ner,2010,14.9
ner,2015,14.4
ner,2018,14
ner,2019,13.9
ner,2020,13.7
nga,2000,16.7
nga,2005,13.4
nga,2010,10.7
nga,2015,8.6
nga,2018,7.5
nga,2019,7.2
nga,2020,6.9
nld,2000,36.8
nld,2005,33
nld,2010,30
nld,2015,26.9
nld,2018,25.5
nld,2019,24.8
nld,2020,24.4
nor,2000,44.7
nor,2005,35.1
nor,2010,27.6
nor,2015,21.6
nor,2018,18.8
nor,2019,17.9
nor,2020,17
npl,2000,74.1
npl,2005,66.2
npl,2010,59.5
npl,2015,53.2
npl,2018,50
npl,2019,49.1
npl,2020,47.9
nru,2000,57.3
nru,2005,54.8
nru,2010,52.6
nru,2015,49.9
nru,2018,48.8
nru,2019,48.4
nru,2020,47.8
nzl,2000,30
nzl,2005,25.1
nzl,2010,21.3
nzl,2015,17.8
nzl,2018,16.1
nzl,2019,15.5
nzl,2020,15
omn,2000,14.5
omn,2005,14.7
omn,2010,14.9
omn,2015,15.2
omn,2018,15.4
omn,2019,15.4
omn,2020,15.5
pak,2000,54.1
pak,2005,47.7
pak,2010,42.4
pak,2015,37.7
pak,2018,34.8
pak,2019,33.9
pak,2020,33
pan,2000,21.9
pan,2005,17
pan,2010,13
pan,2015,10.1
pan,2018,8.6
pan,2019,8.2
pan,2020,7.7
per,2000,52.8
per,2005,37.2
per,2010,26.4
per,2015,18.6
per,2018,15.1
per,2019,14.1
per,2020,13.2
phl,2000,56.8
phl,2005,52.2
phl,2010,47.4
phl,2015,43.1
phl,2018,40.9
phl,2019,40
phl,2020,39.3
plw,2000,38.5
plw,2005,35.3
plw,2010,32.2
plw,2015,29.6
plw,2018,28.3
plw,2019,27.6
plw,2020,27.3
png,2000,71.5
png,2005,66.2
png,2010,61.5
png,2015,57.4
png,2018,55
png,2019,54.2
png,2020,53.5
pol,2000,45.6
pol,2005,40.4
pol,2010,35.7
pol,2015,31.6
pol,2018,29.4
pol,2019,28.6
pol,2020,27.9
prk,2000,56.9
prk,2005,50.4
prk,2010,44.5
prk,2015,39.2
prk,2018,36.5
prk,2019,35.5
prk,2020,34.8
prt,2000,36.4
prt,2005,34.5
prt,2010,33.1
prt,2015,31.7
prt,2018,30.9
prt,2019,30.6
prt,2020,30.5
pry,2000,44
pry,2005,35.4
pry,2010,28.4
pry,2015,23.1
pry,2018,20.4
pry,2019,19.5
pry,2020,18.6
qat,2000,23.5
qat,2005,23.1
qat,2010,22.6
qat,2015,22.2
qat,2018,22
qat,2019,21.9
qat,2020,21.7
rou,2000,46.7
rou,2005,43.9
rou,2010,41.2
rou,2015,38.5
rou,2018,36.9
rou,2019,36.5
rou,2020,35.9
rus,2000,54.1
rus,2005,50.1
rus,2010,46.9
rus,2015,43.9
rus,2018,42.1
rus,2019,41.5
rus,2020,40.8
rwa,2000,34.6
rwa,2005,30.2
rwa,2010,26.6
rwa,2015,23.2
rwa,2018,21.3
rwa,2019,20.8
rwa,2020,20.1
sau,2000,24.9
sau,2005,25.3
sau,2010,25.6
sau,2015,26.1
sau,2018,26.3
sau,2019,26.3
sau,2020,26.5
sen,2000,26.8
sen,2005,22.4
sen,2010,18.7
sen,2015,15.6
sen,2018,14
sen,2019,13.5
sen,2020,13.1
sgp,2000,27
sgp,2005,27.3
sgp,2010,27.5
sgp,2015,27.8
sgp,2018,27.9
sgp,2019,28.1
sgp,2020,28
slb,2000,60.3
slb,2005,58
slb,2010,56.6
slb,2015,54.9
slb,2018,54.1
slb,2019,53.9
slb,2020,53.8
sle,2000,64.4
sle,2005,48.4
sle,2010,36.3
sle,2015,27.3
sle,2018,22.9
sle,2019,21.7
sle,2020,20.5
slv,2000,27.9
slv,2005,23.5
slv,2010,19.9
slv,2015,16.9
slv,2018,15.2
slv,2019,14.7
slv,2020,14.1
srb,2000,51
srb,2005,48
srb,2010,45.4
srb,2015,42.7
srb,2018,41.4
srb,2019,41.1
srb,2020,40.5
stp,2000,11.7
stp,2005,11.3
stp,2010,10.8
stp,2015,10.5
stp,2018,10.2
stp,2019,10.1
stp,2020,10.1
svk,2000,43.2
svk,2005,41.6
svk,2010,40.3
svk,2015,38.6
svk,2018,38
svk,2019,37.6
svk,2020,37.4
svn,2000,27
svn,2005,26.2
svn,2010,25.7
svn,2015,25
svn,2018,24.7
svn,2019,24.7
svn,2020,24.4
swe,2000,48.6
swe,2005,42.9
swe,2010,37.9
swe,2015,33.7
swe,2018,31.3
swe,2019,30.5
swe,2020,29.8
swz,2000,19.5
swz,2005,18.8
swz,2010,18
swz,2015,17.3
swz,2018,16.8
swz,2019,16.7
swz,2020,16.5
syc,2000,43.2
syc,2005,40.7
syc,2010,38.4
syc,2015,36.3
syc,2018,34.6
syc,2019,34.6
syc,2020,34
tcd,2000,21.4
tcd,2005,19.3
tcd,2010,17.2
tcd,2015,15.4
tcd,2018,14.5
tcd,2019,14.2
tcd,2020,13.8
tgo,2000,23.9
tgo,2005,20.3
tgo,2010,17.2
tgo,2015,14.6
tgo,2018,13.2
tgo,2019,12.8
tgo,2020,12.3
tha,2000,57.3
tha,2005,52.5
tha,2010,48.3
tha,2015,44.7
tha,2018,42.9
tha,2019,41.9
tha,2020,41.3
tkm,2000,23.3
tkm,2005,19.1
tkm,2010,15.8
tkm,2015,12.9
tkm,2018,11.5
tkm,2019,11.1
tkm,2020,10.6
tls,2000,86.7
tls,2005,81.6
tls,2010,77.1
tls,2015,72.3
tls,2018,69.1
tls,2019,68.4
tls,2020,67.6
ton,2000,53
ton,2005,51.1
ton,2010,49.6
ton,2015,48.2
ton,2018,47.3
ton,2019,47
ton,2020,46.7
tun,2000,63.4
tun,2005,59.2
tun,2010,54.7
tun,2015,50.6
tun,2018,48.7
tun,2019,47.8
tun,2020,47.2
tur,2000,51.2
tur,2005,48.7
tur,2010,46.6
tur,2015,44.3
tur,2018,43
tur,2019,42.9
tur,2020,42.1
tuv,2000,68.2
tuv,2005,63.3
tuv,2010,58.5
tuv,2015,53.7
tuv,2018,51.2
tuv,2019,50.3
tuv,2020,49.8
tza,2000,48.1
tza,2005,35.3
tza,2010,26
tza,2015,19
tza,2018,15.9
tza,2019,14.9
tza,2020,14
uga,2000,35.7
uga,2005,27.8
uga,2010,21.5
uga,2015,16.7
uga,2018,14.3
uga,2019,13.7
uga,2020,13
ukr,2000,61.3
ukr,2005,55.2
ukr,2010,49.4
ukr,2015,44.6
ukr,2018,41.7
ukr,2019,40.7
ukr,2020,40
ury,2000,41.2
ury,2005,36.3
ury,2010,31.7
ury,2015,27.9
ury,2018,25.7
ury,2019,25.1
ury,2020,24.4
usa,2000,40.6
usa,2005,37
usa,2010,34.1
usa,2015,31
usa,2018,29.5
usa,2019,28.9
usa,2020,28.4
uzb,2000,48.4
uzb,2005,44.1
uzb,2010,40.5
uzb,2015,37
uzb,2018,35.3
uzb,2019,34.5
uzb,2020,34
vnm,2000,54.8
vnm,2005,52.7
vnm,2010,50.8
vnm,2015,49.4
vnm,2018,48.3
vnm,2019,47.8
vnm,2020,47.4
vut,2000,47.1
vut,2005,42.9
vut,2010,39.3
vut,2015,35.9
vut,2018,34.2
vut,2019,33.7
vut,2020,33
wsm,2000,54.9
wsm,2005,49.5
wsm,2010,44.5
wsm,2015,39.9
wsm,2018,37.6
wsm,2019,36.8
wsm,2020,36.1
yem,2000,39
yem,2005,37.4
yem,2010,35.7
yem,2015,34.1
yem,2018,33
yem,2019,32.6
yem,2020,32.5
zaf,2000,35.2
zaf,2005,34.9
zaf,2010,34.4
zaf,2015,34.4
zaf,2018,33.9
zaf,2019,34
zaf,2020,34
zmb,2000,31.3
zmb,2005,29.3
zmb,2010,27.8
zmb,2015,26.4
zmb,2018,25.5
zmb,2019,25.3
zmb,2020,25.1
zwe,2000,37.3
zwe,2005,32.7
zwe,2010,28.6
zwe,2015,25.1
zwe,2018,23
zwe,2019,22.5
zwe,2020,21.8
