geo,time,se_prm_uner_zs
aze,1995,15.33698
aze,1996,6.49164
aze,1997,9.87306
aze,1998,11.27399
aze,1999,4.81186
aze,2000,8.49331
aze,2001,11.27719
aze,2002,11.74764
aze,2003,13.43152
aze,2004,12.51805
aze,2005,13.01972
aze,2006,12.84241
aze,2007,13.18632
aze,2008,13.3261
aze,2009,11.97428
aze,2010,12.47442
aze,2011,9.8982
aze,2012,7.67552
aze,2013,1.72343
aze,2014,0.74526
aze,2015,1.15667
aze,2016,0.79463
aze,2017,2.06897
aze,2018,3.89419
aze,2019,8.45025
aze,2020,10.46286
bdi,1973,81.40918
bdi,1978,82.85446
bdi,1980,81.29948
bdi,1981,79.42954
bdi,1982,76.14349
bdi,1983,70.01071
bdi,1984,65.29116
bdi,1985,61.03054
bdi,1986,58.53087
bdi,1987,53.4367
bdi,1988,50.83683
bdi,1993,50.93877
bdi,2000,58.55842
bdi,2001,49.72394
bdi,2002,50.46273
bdi,2003,47.01916
bdi,2004,45.37348
bdi,2005,42.14048
bdi,2006,25.48461
bdi,2007,18.16029
bdi,2008,7.55137
bdi,2009,9.24043
bdi,2010,4.4356
bdi,2015,1.74836
bdi,2017,4.32751
bdi,2018,6.39089
bdi,2019,7.57963
bdi,2021,10.11094
bel,1977,3.70221
bel,1979,2.37957
bel,1980,1.84502
bel,1981,2.95976
bel,1982,2.87733
bel,1983,6.01842
bel,1984,6.70706
bel,1985,7.12743
bel,1986,5.69585
bel,1987,4.31487
bel,1988,3.10972
bel,1991,3.46595
bel,1992,4.90602
bel,1993,2.33363
bel,1994,2.95833
bel,1995,2.92172
bel,1996,2.4603
bel,1999,0.05805
bel,2000,0
bel,2001,0.0225
bel,2002,0.26135
bel,2003,1.19369
bel,2004,2.75048
bel,2005,3.10577
bel,2006,2.75229
bel,2007,1.81342
bel,2008,1.19891
bel,2009,1.3563
bel,2010,1.5972
bel,2011,1.44666
bel,2012,1.16649
bel,2013,1.20746
bel,2014,1.31388
bel,2015,0.97579
bel,2016,0.70629
bel,2017,0.2759
bel,2018,0.51988
bel,2019,0.89266
ben,1984,49.89529
ben,1985,49.16003
ben,1986,51.09972
ben,1988,51.55624
ben,1989,51.07284
ben,1990,60.49393
ben,1992,50.78702
ben,1993,46.78645
ben,1994,45.51959
ben,1995,43.1081
ben,1996,40.88155
ben,1997,37.52114
ben,2003,15.39521
ben,2004,12.26851
ben,2005,16.24396
ben,2006,13.18551
ben,2008,9.8643
ben,2009,5.7679
ben,2010,5.07722
ben,2011,5.05904
ben,2012,4.34115
ben,2014,3.63942
ben,2017,2.96648
ben,2018,2.78897
ben,2019,6.4736
ben,2020,6.72457
bfa,1971,89.9454
bfa,1972,89.51221
bfa,1977,87.44205
bfa,1978,86.97318
bfa,1979,86.4811
bfa,1980,85.69155
bfa,1981,84.67562
bfa,1982,83.1859
bfa,1983,81.91998
bfa,1984,80.57095
bfa,1985,78.51538
bfa,1986,76.51454
bfa,1987,74.86181
bfa,1988,74.37803
bfa,1989,74.08528
bfa,1991,72.81773
bfa,1992,72.29648
bfa,1993,71.31294
bfa,1994,70.08697
bfa,1995,68.46485
bfa,1998,65.01966
bfa,1999,64.48543
bfa,2000,63.2537
bfa,2001,62.22814
bfa,2002,63.27858
bfa,2003,60.95145
bfa,2004,58.85108
bfa,2005,54.02714
bfa,2006,50.37657
bfa,2007,45.04639
bfa,2008,38.99696
bfa,2009,36.10548
bfa,2010,39.72641
bfa,2011,34.99713
bfa,2012,33.92586
bfa,2013,32.83834
bfa,2014,31.57842
bfa,2015,29.94701
bfa,2016,24.14707
bfa,2017,22.99493
bfa,2018,20.65832
bfa,2019,21.8749
bfa,2020,24.50434
bgd,1970,48.37415
bgd,1973,27.96691
bgd,1976,23.2177
bgd,1977,26.81687
bgd,1978,27.85217
bgd,1981,31.44043
bgd,1983,34.41696
bgd,1984,35.53481
bgd,1985,37.10047
bgd,1986,37.91188
bgd,1987,38.79107
bgd,1988,28.06831
bgd,1989,28.09656
bgd,1990,25.07712
bgd,2005,2.75577
bgd,2006,3.25934
bgd,2008,4.27589
bgd,2009,4.11322
bgd,2010,5.01436
bgr,1996,6.06484
bgr,1997,4.9961
bgr,1998,2.53959
bgr,1999,1.92493
bgr,2000,2.36834
bgr,2001,2.3665
bgr,2002,3.46735
bgr,2003,3.31984
bgr,2004,2.73907
bgr,2005,3.978
bgr,2006,2.9884
bgr,2007,0.23498
bgr,2008,0.06286
bgr,2009,0.37237
bgr,2010,0.18746
bgr,2011,0.20879
bgr,2012,2.53991
bgr,2013,4.41735
bgr,2014,5.77605
bgr,2015,7.81204
bgr,2016,10.25259
bgr,2017,11.69972
bgr,2018,13.30496
bgr,2019,14.60927
bhr,1971,23.66032
bhr,1972,20.79521
bhr,1973,19.73092
bhr,1974,18.13789
bhr,1975,14.71399
bhr,1976,17.87513
bhr,1977,17.88612
bhr,1978,19.94429
bhr,1979,19.30858
bhr,1980,17.6017
bhr,1981,18.00397
bhr,1982,19.3912
bhr,1983,16.74145
bhr,1984,13.3894
bhr,1985,8.94877
bhr,1986,3.85627
bhr,1987,4.48415
bhr,1988,1.72634
bhr,1989,0.9386
bhr,1991,0.5889
bhr,1992,2.98995
bhr,1993,1.97718
bhr,1994,2.06623
bhr,1995,0.886
bhr,1996,0.142
bhr,1997,0.39947
bhr,1998,0.05775
bhr,1999,0.26032
bhr,2000,1.87897
bhr,2001,4.97382
bhr,2002,5.24111
bhr,2003,6.61361
bhr,2004,7.12043
bhr,2005,9.39655
bhr,2006,7.69821
bhr,2011,7.62415
bhr,2012,6.83501
bhr,2013,5.58603
bhr,2014,3.62866
bhr,2015,1.31748
bhr,2016,1.21659
bhr,2017,0.52137
bhr,2018,1.03658
bhr,2019,2.3445
bhs,1971,0
bhs,1972,0.09005
bhs,1973,3.64914
bhs,1974,0.65093
bhs,1975,0
bhs,1976,1.14689
bhs,1980,2.77875
bhs,1981,0
bhs,1984,4.06101
bhs,1992,11.47151
bhs,1993,11.1333
bhs,1994,7.39438
bhs,1999,8.93016
bhs,2004,10.59384
bhs,2005,9.33528
bih,2014,6.06281
bih,2015,8.24233
bih,2016,12.59033
bih,2017,11.80515
bih,2018,13.28474
blr,1995,11.83591
blr,2001,0
blr,2002,0.66554
blr,2003,0.53174
blr,2004,1.84542
blr,2005,1.85464
blr,2006,1.35019
blr,2007,1.08137
blr,2010,0.67019
blr,2011,0.71096
blr,2012,0.57379
blr,2013,1.72647
blr,2014,2.0568
blr,2015,1.50754
blr,2016,0.51882
blr,2017,0.85716
blr,2018,1.30256
blz,1999,0.61178
blz,2000,3.40321
blz,2001,6.31506
blz,2003,5.9878
blz,2004,4.21964
blz,2005,4.85798
blz,2006,4.10173
blz,2007,4.61857
blz,2008,3.54967
blz,2009,2.76406
blz,2010,1.74253
blz,2011,2.22969
blz,2012,0.24441
blz,2013,0.92849
blz,2014,0.62841
blz,2015,0.41269
blz,2016,0.52571
blz,2017,0.32475
blz,2018,0.66481
blz,2019,0.48495
blz,2020,0.15125
bmu,1978,20.58463
bmu,1979,22.61831
bmu,1984,13.30268
bmu,1985,11.27476
bmu,2005,2.53741
bmu,2011,3.71125
bmu,2012,7.26309
bol,1998,0.24727
bol,1999,0.02649
bol,2000,0.13594
bol,2001,0.32589
bol,2002,0.33721
bol,2003,0.50865
bol,2004,0.74016
bol,2005,0.59683
bol,2006,0.54889
bol,2007,0.48503
bol,2008,0.25296
bol,2009,2.22463
bol,2010,5.14038
bol,2011,7.71414
bol,2012,10.65108
bol,2013,11.25537
bol,2014,11.43547
bol,2015,11.03696
bol,2016,10.01542
bol,2017,8.43425
bol,2018,6.78709
bol,2019,5.3231
bra,2003,1.35578
bra,2004,2.02312
bra,2005,0.53959
bra,2007,0.7538
bra,2009,2.36486
bra,2011,4.99311
bra,2012,2.19181
bra,2013,0.45904
bra,2014,0.13608
bra,2015,0.71881
bra,2016,0.83841
bra,2017,0.39079
bra,2018,0.51906
bra,2019,0.57306
brb,1971,13.55523
brb,1972,11.93611
brb,1973,11.26632
brb,1976,1.17085
brb,1977,1.67383
brb,1978,1.77265
brb,1979,1.12386
brb,1981,5.39433
brb,1982,5.5028
brb,1983,3.68397
brb,1989,0.30687
brb,1990,2.41249
brb,1992,10.27706
brb,1999,0.53516
brb,2000,2.29067
brb,2001,2.73338
brb,2002,6.04732
brb,2003,6.23272
brb,2004,7.12797
brb,2005,7.88075
brb,2006,4.81585
brb,2007,2.53706
brb,2008,1.24862
brb,2009,2.76268
brb,2010,2.19771
brb,2011,4.28347
brb,2014,6.51529
brb,2015,4.15157
brb,2016,1.96152
brb,2017,3.44861
brb,2018,1.61179
brb,2019,1.06818
brb,2020,2.65161
brn,1977,10.36635
brn,1978,10.24083
brn,1979,19.95466
brn,1980,20.10511
brn,1981,23.90921
brn,1982,25.45717
brn,1983,24.14084
brn,1984,23.15995
brn,1986,19.91041
brn,1991,10.14125
brn,1992,8.33053
brn,1993,5.69379
brn,1994,5.57593
brn,1995,2.01734
brn,2009,0.37548
brn,2010,0.46667
brn,2011,1.24959
brn,2012,0.26156
brn,2013,0.42033
brn,2014,0.1599
brn,2015,0.68014
brn,2016,0.15732
brn,2017,0.383
brn,2018,0.77021
brn,2019,0.57278
brn,2020,1.68117
btn,1978,77.96712
btn,1979,75.16468
btn,1998,46.05445
btn,1999,45.14158
btn,2000,42.35875
btn,2001,39.68942
btn,2005,29.77029
btn,2006,25.69119
btn,2008,19.62267
btn,2009,14.83281
btn,2010,12.46973
btn,2011,11.04751
btn,2012,8.52502
btn,2013,9.05177
btn,2015,9.86584
btn,2016,10.28901
btn,2017,10.30083
btn,2018,8.13619
btn,2020,3.65422
bwa,1970,51.02345
bwa,1971,54.52617
bwa,1972,53.16743
bwa,1973,50.07995
bwa,1974,45.72035
bwa,1975,38.97246
bwa,1976,34.40429
bwa,1977,30.20762
bwa,1978,29.52221
bwa,1979,28.06692
bwa,1980,23.89492
bwa,1981,19.3211
bwa,1983,14.37983
bwa,1984,13.62385
bwa,1985,11.3297
bwa,1986,10.14443
bwa,1987,9.23143
bwa,1988,8.75394
bwa,1989,8.10691
bwa,1990,8.43617
bwa,1991,6.26118
bwa,1992,6.90566
bwa,1993,7.30865
bwa,1994,7.33007
bwa,1995,16.87359
bwa,1996,16.38179
bwa,1998,13.81948
bwa,1999,14.78988
bwa,2000,13.91239
bwa,2001,12.55195
bwa,2002,12.42896
bwa,2003,12.33966
bwa,2004,11.39595
bwa,2005,10.82952
bwa,2006,9.96545
bwa,2007,11.54981
bwa,2008,12.91258
bwa,2009,13.47471
bwa,2012,11.05096
bwa,2013,11.00606
bwa,2014,11.04576
bwa,2015,11.5135
bwa,2017,8.94308
caf,1971,49.78302
caf,1972,47.21062
caf,1973,44.91874
caf,1977,48.52077
caf,1978,48.58011
caf,1981,43.38649
caf,1982,41.57838
caf,1983,39.70384
caf,1986,36.45218
caf,1987,47.16614
caf,1988,49.51984
caf,1989,49.50979
caf,1990,40.43488
caf,1991,45.20268
caf,2005,52.37824
caf,2006,52.15562
caf,2007,44.42169
caf,2008,35.72273
caf,2009,35.72935
caf,2010,33.46356
caf,2011,35.82937
caf,2012,33.43935
can,1982,3.90784
can,1983,4.17287
can,1984,4.74127
can,1985,4.89557
can,1986,4.58225
can,1987,4.51574
can,1988,4.51728
can,1989,4.27606
can,1990,4.26755
can,1991,1.69097
can,1992,1.93498
can,1993,3.56016
can,1994,4.11103
can,1995,5.24056
can,1996,4.30702
can,1998,0.84709
can,1999,0.07192
can,2000,0.07949
can,2012,0.54833
can,2013,0.56769
can,2014,0.60887
can,2015,0.41093
can,2016,0.04413
can,2017,0.1175
can,2018,0.21191
can,2019,0.27903
che,1977,24.04585
che,1978,23.54914
che,1981,22.66448
che,1982,22.71407
che,1983,23.09519
che,1984,23.62605
che,1985,23.68659
che,1986,23.27052
che,1987,22.07366
che,1988,20.2722
che,1989,18.19724
che,1990,16.46234
che,1991,15.64171
che,1992,15.58883
che,1993,16.37712
che,1994,17.25261
che,1995,10.79075
che,1996,8.84865
che,1999,0.13169
che,2000,0.33687
che,2001,0.47204
che,2002,0.49253
che,2003,0.52746
che,2004,0.59895
che,2009,0.52834
che,2010,0.4755
che,2011,0.35159
che,2012,0.38832
che,2013,0.21238
che,2014,0.19298
che,2015,0.16862
che,2016,0.01341
che,2017,0.14638
che,2018,0.08248
che,2019,0.08485
chl,2007,3.11209
chl,2008,2.62959
chl,2009,4.14711
chl,2010,2.8306
chl,2011,3.36331
chl,2012,3.508
chl,2013,3.94693
chl,2014,3.8999
chl,2015,3.70606
chl,2016,3.06315
chl,2017,2.26992
chl,2018,1.28387
chl,2019,0.46204
chn,1987,7.1548
chn,1988,5.4198
chn,1989,3.86453
chn,1990,3.12447
chn,1991,3.17567
chn,1992,4.1306
chn,1993,5.26672
chn,1994,6.89325
chn,1995,8.69897
chn,1996,9.95601
chn,1997,10.65111
civ,1977,49.14071
civ,1991,50.89654
civ,1992,50.6117
civ,1996,45.31563
civ,1997,44.30042
civ,1999,42.4805
civ,2000,43.49161
civ,2001,39.39151
civ,2002,39.33714
civ,2003,43.9171
civ,2009,44.11224
civ,2013,31.6069
civ,2014,26.99378
civ,2015,23.26405
civ,2016,12.98358
civ,2017,11.22821
civ,2018,6.18147
civ,2019,4.99482
civ,2020,3.63337
cmr,1971,35.7412
cmr,1972,36.78756
cmr,1973,38.51922
cmr,1974,40.61808
cmr,1975,34.02814
cmr,1976,32.55854
cmr,1977,33.83974
cmr,1978,32.48253
cmr,1979,31.53848
cmr,1980,31.32347
cmr,1988,25.89845
cmr,1990,26.82099
cmr,1991,28.7572
cmr,2008,15.29281
cmr,2009,12.58966
cmr,2011,10.86392
cmr,2012,5.43571
cmr,2014,4.77108
cmr,2015,4.3657
cmr,2016,4.97845
cmr,2017,6.53192
cmr,2019,8.32815
cod,1971,30.68556
cod,1972,32.43937
cod,1975,29.77953
cod,1979,26.80505
cod,1983,24.31784
cod,1984,23.70051
cod,1988,35.44841
cod,1991,38.56668
cod,1992,40.25716
cod,1993,41.30046
cod,1994,40.1123
cod,1995,32.13056
cod,1999,63.19589
cog,1972,17.24127
cog,1974,10.97736
cog,1976,8.28636
cog,1978,4.83295
cog,1979,4.57307
cog,1980,12.69106
cog,1981,13.70371
cog,1982,13.08085
cog,1983,12.58885
cog,1984,11.32076
cog,2005,48.17525
cog,2006,44.72363
cog,2010,13.755
cog,2012,10.70578
cog,2018,15.62949
col,1982,27.131
col,1984,28.83149
col,1985,29.95927
col,1986,31.9428
col,1987,31.15681
col,1988,31.25252
col,1989,31.13018
col,1991,28.06151
col,1992,20.03735
col,1993,19.36932
col,1994,18.63732
col,1995,15.53328
col,1996,10.72331
col,1998,2.34005
col,1999,1.2641
col,2000,0.79112
col,2001,2.80587
col,2002,1.70774
col,2004,3.05715
col,2005,0.13429
col,2006,0.14303
col,2007,0.28075
col,2008,0.1063
col,2009,0.67787
col,2010,2.18616
col,2011,2.68389
col,2012,4.75615
col,2015,3.61876
col,2016,4.57531
col,2017,2.65404
col,2018,2.28298
col,2019,0.93789
com,1983,12.66951
com,1986,16.51772
com,1987,24.37148
com,1994,30.77781
com,1999,38.95681
com,2000,32.50527
com,2007,20.82587
com,2013,12.07855
com,2014,13.38118
com,2017,14.67772
com,2018,18.15451
cpv,1981,10.40058
cpv,1982,11.84566
cpv,1983,14.88647
cpv,1984,8.31523
cpv,1985,5.43474
cpv,1986,4.12518
cpv,1987,2.91583
cpv,1988,0.44632
cpv,1990,0.79722
cpv,1994,0.85218
cpv,1998,0.17101
cpv,2000,0.43771
cpv,2001,2.4622
cpv,2002,3.02127
cpv,2003,3.30526
cpv,2004,4.61526
cpv,2005,3.43294
cpv,2006,2.17939
cpv,2007,2.60907
cpv,2008,3.25107
cpv,2009,4.24587
cpv,2010,5.24055
cpv,2011,6.53017
cpv,2012,6.1913
cpv,2013,6.78591
cpv,2014,6.72565
cpv,2015,6.61165
cpv,2016,7.13974
cpv,2017,6.99469
cpv,2018,6.44507
cpv,2019,7.72343
cri,1970,14.52857
cri,1972,12.00323
cri,1973,10.61932
cri,1975,9.54554
cri,1976,7.36541
cri,1978,8.41482
cri,1979,9.88527
cri,1980,9.9933
cri,1981,9.61173
cri,1982,11.49474
cri,1985,14.37226
cri,1986,13.53689
cri,1987,13.4315
cri,1989,13.15258
cri,1990,13.20078
cri,1991,12.73448
cri,1992,10.96738
cri,1993,10.61762
cri,1994,11.55862
cri,1995,10.45813
cri,1996,8.52956
cri,2011,0.03803
cri,2012,0.05708
cri,2013,0.48616
cri,2014,2.34339
cri,2015,1.88182
cri,2016,1.45387
cri,2017,3.24837
cri,2018,0.11923
cri,2019,0.12979
cri,2020,0.07377
cub,1972,6.13749
cub,1973,4.85802
cub,1974,4.02227
cub,1979,1.33962
cub,1980,2.22838
cub,1981,4.92563
cub,1982,6.43225
cub,1983,6.62336
cub,1984,8.23728
cub,1985,9.95006
cub,1986,9.53973
cub,1987,7.90245
cub,1988,7.98617
cub,1989,7.76659
cub,1990,8.0706
cub,1991,8.37223
cub,1992,6.07199
cub,1993,5.20385
cub,1994,2.93471
cub,1995,3.10582
cub,1996,1.19522
cub,1997,1.40653
cub,1998,1.35921
cub,1999,0.61996
cub,2000,0.43713
cub,2001,0.42741
cub,2002,0.17415
cub,2003,1.46706
cub,2004,1.85179
cub,2005,2.81789
cub,2006,3.76661
cub,2007,2.90429
cub,2008,2.99029
cub,2009,1.45951
cub,2010,0.8337
cub,2011,1.25685
cub,2012,2.00375
cub,2013,2.01584
cub,2014,4.92989
cub,2015,5.91589
cub,2016,5.46626
cub,2017,4.31471
cub,2018,2.15558
cub,2019,0.78161
cub,2020,0.19751
cym,1999,5.05051
cym,2000,3.9521
cym,2001,4.72727
cym,2002,12.04691
cym,2004,15.39463
cym,2005,19.73719
cym,2006,13.23491
cym,2007,7.27889
cym,2008,10.62628
cym,2011,11.32785
cym,2012,11.36415
cym,2013,13.25061
cym,2014,9.84848
cym,2015,6.9141
cym,2016,11.07872
cym,2017,11.16355
cym,2018,10.41582
cym,2019,12.19661
cym,2020,8.22368
cyp,1971,20.26624
cyp,1972,21.62003
cyp,1973,21.72352
cyp,1974,22.35361
cyp,1975,28.78115
cyp,1976,31.00208
cyp,1977,31.92153
cyp,1978,31.14754
cyp,1979,30.42779
cyp,1980,31.26758
cyp,1981,28.78756
cyp,1982,32.06379
cyp,1983,31.90211
cyp,1984,31.62618
cyp,1985,30.83481
cyp,1986,26.19681
cyp,1987,22.14406
cyp,1988,20.66514
cyp,1989,20.54033
cyp,1990,21.17897
cyp,1991,20.84755
cyp,1992,22.63873
cyp,1993,2.37055
cyp,1994,3.08337
cyp,1995,3.787
cyp,1996,3.88272
cyp,1997,3.71523
cyp,1999,0.09531
cyp,2000,1.93003
cyp,2001,2.04578
cyp,2002,1.11097
cyp,2003,0.80271
cyp,2004,0.7632
cyp,2005,0.02514
cyp,2006,0.06309
cyp,2007,0.2021
cyp,2008,0.41479
cyp,2009,0.37279
cyp,2010,0.03455
cyp,2011,0.15324
cyp,2012,1.31052
cyp,2013,1.79527
cyp,2014,2.27124
cyp,2015,1.39976
cyp,2016,1.73635
cyp,2017,1.3404
cyp,2018,0.57522
cyp,2019,0.50737
cze,1999,0.72288
cze,2007,0.04501
cze,2008,0.65275
cze,2009,0.05749
cze,2010,0.00364
cze,2011,0.69265
cze,2012,0.43209
cze,2013,1.01346
cze,2014,0.67845
cze,2015,0.19085
cze,2016,0.33079
cze,2017,0.32281
cze,2018,0.41093
cze,2019,0.86192
deu,1999,0.08459
deu,2000,0.08326
deu,2001,0.63864
deu,2002,4.48693
deu,2003,3.61075
deu,2004,2.70148
deu,2005,2.04134
deu,2006,1.96939
deu,2007,1.62444
deu,2008,2.53014
deu,2009,2.93107
deu,2010,2.35302
deu,2011,2.45141
deu,2012,3.29518
deu,2013,3.58947
deu,2014,3.23601
deu,2015,1.85685
deu,2016,0.51429
deu,2017,0.5293
deu,2018,0.68894
deu,2019,0.98669
dji,1985,74.86109
dji,1986,73.28964
dji,1987,73.10621
dji,1988,73.22954
dji,1989,73.26614
dji,1990,72.80281
dji,1991,72.7381
dji,1992,71.53886
dji,1993,73.78929
dji,1994,72.91417
dji,1995,71.85734
dji,1996,71.88729
dji,1997,72.96167
dji,1999,73.13741
dji,2000,72.96437
dji,2001,70.28645
dji,2002,68.65785
dji,2004,64.69321
dji,2005,63.13492
dji,2006,60.11035
dji,2007,56.0585
dji,2008,51.98138
dji,2009,52.01048
dji,2011,41.28783
dji,2013,41.12311
dji,2014,32.471
dji,2015,39.2813
dji,2016,42.61848
dji,2017,40.03421
dji,2018,37.89304
dji,2019,32.97498
dji,2020,33.00397
dji,2021,33.48467
dma,1975,1.47988
dma,1976,7.12082
dma,1977,7.48269
dma,1979,13.18258
dma,1980,14.04811
dma,1981,15.65194
dma,1982,12.27162
dma,2000,1.6549
dma,2001,7.19238
dma,2002,5.55707
dma,2003,7.8856
dma,2004,9.63709
dma,2005,12.08216
dma,2006,13.17237
dma,2007,16.91003
dma,2008,16.06617
dma,2009,8.6374
dma,2011,1.17336
dma,2016,0.95625
dma,2019,3.72488
dma,2020,0.89315
dnk,1981,4.52597
dnk,1982,3.70365
dnk,1983,1.99906
dnk,1984,1.03472
dnk,1985,1.22274
dnk,1986,1.31738
dnk,1987,1.13997
dnk,1988,1.02452
dnk,1989,2.20123
dnk,1990,2.31492
dnk,1991,1.74582
dnk,1992,2.56849
dnk,1993,3.03997
dnk,1994,1.31158
dnk,1995,1.72185
dnk,1996,1.85124
dnk,1998,0.55716
dnk,1999,0.21246
dnk,2000,0.07048
dnk,2001,0.15307
dnk,2002,0.13935
dnk,2004,1.74155
dnk,2005,1.4334
dnk,2006,1.10313
dnk,2007,0.49263
dnk,2008,0.64905
dnk,2009,0.9263
dnk,2010,1.20359
dnk,2011,0.8952
dnk,2012,0.56609
dnk,2013,0.25345
dnk,2014,0.50161
dnk,2015,0.05955
dnk,2016,0.01017
dnk,2017,0.20221
dnk,2018,0.60375
dnk,2019,0.68426
dom,1972,23.97719
dom,1999,13.59944
dom,2000,12.23975
dom,2002,5.71569
dom,2003,9.12224
dom,2004,14.37802
dom,2005,13.16922
dom,2006,14.32787
dom,2007,8.21416
dom,2008,11.86836
dom,2009,4.09323
dom,2010,4.55366
dom,2011,4.70056
dom,2012,5.92933
dom,2013,6.17265
dom,2014,7.95542
dom,2015,4.46507
dom,2016,4.57933
dom,2017,5.31317
dom,2018,5.67314
dom,2019,3.95359
dom,2020,4.10988
dza,1973,32.12939
dza,1974,28.21948
dza,1975,25.81022
dza,1976,23.8401
dza,1977,22.27392
dza,1978,21.22141
dza,1979,21.12965
dza,1980,20.01279
dza,1981,19.74608
dza,1982,20.07232
dza,1983,20.73699
dza,1984,19.70566
dza,1985,19.34931
dza,1986,18.18176
dza,1987,16.85893
dza,1988,15.74309
dza,1989,14.66475
dza,1990,14.12993
dza,1991,12.39205
dza,1992,11.29261
dza,1993,11.77702
dza,1994,11.83123
dza,1995,11.60768
dza,1996,12.0811
dza,1997,12.63609
dza,1999,9.94695
dza,2000,9.25226
dza,2001,7.25103
dza,2002,6.09787
dza,2003,5.64178
dza,2004,4.91569
dza,2005,4.60183
dza,2006,4.35603
dza,2007,4.10927
dza,2008,2.73105
