geo,time,sl_srv_empl_fe_zs
bhs,2012,96.17
bhs,2013,96.31
bhs,2014,96.43
bhs,2015,96.55
bhs,2016,96.65
bhs,2017,96.67
bhs,2018,96.7
bhs,2019,96.75
bih,1991,44.31
bih,1992,44.64
bih,1993,45.4
bih,1994,46.73
bih,1995,48.28
bih,1996,50.41
bih,1997,51.41
bih,1998,52.5
bih,1999,53.39
bih,2000,54.02
bih,2001,55.3
bih,2002,56.57
bih,2003,57.54
bih,2004,58.61
bih,2005,59.38
bih,2006,60.16
bih,2007,60.6
bih,2008,59.21
bih,2009,57.83
bih,2010,60.94
bih,2011,62.73
bih,2012,60.6
bih,2013,64.52
bih,2014,66.32
bih,2015,65.24
bih,2016,64.35
bih,2017,65.01
bih,2018,66.01
bih,2019,62.68
blr,1991,58.53
blr,1992,58.73
blr,1993,59.05
blr,1994,59.49
blr,1995,60.06
blr,1996,60.72
blr,1997,61.41
blr,1998,62.08
blr,1999,62.85
blr,2000,63.63
blr,2001,64.49
blr,2002,65.24
blr,2003,65.96
blr,2004,66.7
blr,2005,67.43
blr,2006,67.99
blr,2007,68.57
blr,2008,69.08
blr,2009,69.55
blr,2010,70.19
blr,2011,70.6
blr,2012,71.25
blr,2013,71.68
blr,2014,72.26
blr,2015,72.95
blr,2016,73.48
blr,2017,73.02
blr,2018,73.25
blr,2019,73.74
blz,1991,82.59
blz,1992,82.81
blz,1993,82.68
blz,1994,83.79
blz,1995,84.97
blz,1996,84.79
blz,1997,79.17
blz,1998,84.36
blz,1999,82.18
blz,2000,82.84
blz,2001,83.66
blz,2002,84.4
blz,2003,85.15
blz,2004,85.85
blz,2005,86.5
blz,2006,86.55
blz,2007,86.67
blz,2008,86.76
blz,2009,86.96
blz,2010,87.07
blz,2011,87.14
blz,2012,87.25
blz,2013,87.37
blz,2014,87.52
blz,2015,87.43
blz,2016,86.07
blz,2017,85.51
blz,2018,85.86
blz,2019,86.05
bol,1991,44.65
bol,1992,44.93
bol,1993,45.28
bol,1994,45.68
bol,1995,46.15
bol,1996,46.74
bol,1997,47.18
bol,1998,47.83
bol,1999,48.83
bol,2000,53.1
bol,2001,48.77
bol,2002,50.19
bol,2003,54.68
bol,2004,54.66
bol,2005,50.27
bol,2006,50.66
bol,2007,52.74
bol,2008,57.78
bol,2009,58.69
bol,2010,58.79
bol,2011,58.91
bol,2012,61.95
bol,2013,60.81
bol,2014,58.97
bol,2015,60.72
bol,2016,60.55
bol,2017,59.61
bol,2018,58.71
bol,2019,59.45
bra,1991,74.99
bra,1992,74.83
bra,1993,75.1
bra,1994,75.82
bra,1995,75.99
bra,1996,77.28
bra,1997,77.31
bra,1998,77.81
bra,1999,77.44
bra,2000,76.89
bra,2001,76.14
bra,2002,75.85
bra,2003,76.11
bra,2004,75.89
bra,2005,75.53
bra,2006,76.69
bra,2007,77.48
bra,2008,77.85
bra,2009,79.1
bra,2010,80.39
bra,2011,81.65
bra,2012,81.51
bra,2013,82.14
bra,2014,82.88
bra,2015,83.32
bra,2016,84.5
bra,2017,85.05
bra,2018,85.11
bra,2019,85.41
brb,1991,83.17
brb,1992,83.42
brb,1993,83.32
brb,1994,84.54
brb,1995,83.99
brb,1996,84.73
brb,1997,84.84
brb,1998,84.89
brb,1999,85.62
brb,2000,86.18
brb,2001,86.66
brb,2002,87.07
brb,2003,87.58
brb,2004,89.31
brb,2005,89.87
brb,2006,90.57
brb,2007,90.42
brb,2008,90.39
brb,2009,90.23
brb,2010,89.38
brb,2011,89.28
brb,2012,88.89
brb,2013,88.52
brb,2014,88.79
brb,2015,88.75
brb,2016,88.81
brb,2017,89.01
brb,2018,89.19
brb,2019,89.41
brn,1991,89.49
brn,1992,89.36
brn,1993,89.09
brn,1994,88.97
brn,1995,88.81
brn,1996,88.83
brn,1997,88.65
brn,1998,88.18
brn,1999,88.36
brn,2000,88.47
brn,2001,88.18
brn,2002,88.39
brn,2003,88.62
brn,2004,88.73
brn,2005,88.96
brn,2006,89.05
brn,2007,88.74
brn,2008,89.04
brn,2009,88.59
brn,2010,88.72
brn,2011,88.97
brn,2012,88.94
brn,2013,88.72
brn,2014,88.65
brn,2015,89.13
brn,2016,89.77
brn,2017,90.39
brn,2018,90.45
brn,2019,89.86
btn,1991,16.57
btn,1992,16.72
btn,1993,16.89
btn,1994,17.06
btn,1995,17.2
btn,1996,17.55
btn,1997,17.88
btn,1998,18.21
btn,1999,18.55
btn,2000,19.06
btn,2001,19.51
btn,2002,19.97
btn,2003,20.51
btn,2004,21.15
btn,2005,21.81
btn,2006,22.34
btn,2007,23.29
btn,2008,24.56
btn,2009,26
btn,2010,27.42
btn,2011,23.15
btn,2012,23.8
btn,2013,23.53
btn,2014,24.81
btn,2015,24.46
btn,2016,24.78
btn,2017,25.51
btn,2018,26.05
btn,2019,26.43
bwa,1991,70.04
bwa,1992,70.14
bwa,1993,70.13
bwa,1994,70.02
bwa,1995,70.24
bwa,1996,70.02
bwa,1997,71.31
bwa,1998,71.07
bwa,1999,69.84
bwa,2000,68.46
bwa,2001,69.47
bwa,2002,70.39
bwa,2003,71.09
bwa,2004,71.04
bwa,2005,70.91
bwa,2006,70.78
bwa,2007,70.44
bwa,2008,70.04
bwa,2009,69.5
bwa,2010,70.16
bwa,2011,70.75
bwa,2012,71.25
bwa,2013,71.8
bwa,2014,72.37
bwa,2015,72.91
bwa,2016,73.58
bwa,2017,74.19
bwa,2018,74.84
bwa,2019,75.48
caf,1991,12.31
caf,1992,12.3
caf,1993,12.38
caf,1994,12.56
caf,1995,12.85
caf,1996,13.02
caf,1997,13.38
caf,1998,13.72
caf,1999,13.89
caf,2000,14.04
caf,2001,14.55
caf,2002,15
caf,2003,15.17
caf,2004,15.68
caf,2005,15.98
caf,2006,16.45
caf,2007,16.96
caf,2008,17.35
caf,2009,18.11
caf,2010,18.75
caf,2011,19.5
caf,2012,20.24
caf,2013,18.86
caf,2014,19.18
caf,2015,19.97
caf,2016,20.75
caf,2017,21.43
caf,2018,22.13
caf,2019,22.82
can,1991,85.8
can,1992,86.07
can,1993,86.73
can,1994,86.82
can,1995,86.63
can,1996,86.82
can,1997,86.55
can,1998,86.5
can,1999,86.57
can,2000,86.9
can,2001,87.35
can,2002,87.14
can,2003,87.35
can,2004,87.4
can,2005,87.85
can,2006,88.15
can,2007,88.49
can,2008,89.08
can,2009,89.87
can,2010,90.35
can,2011,89.93
can,2012,89.89
can,2013,90.19
can,2014,90.34
can,2015,90.43
can,2016,90.5
can,2017,90.56
can,2018,90.61
can,2019,90.64
chanisl,1991,73.35
chanisl,1992,73.62
chanisl,1993,73.89
chanisl,1994,74.06
chanisl,1995,74.43
chanisl,1996,74.88
chanisl,1997,75.3
chanisl,1998,75.76
chanisl,1999,76.17
chanisl,2000,76.59
chanisl,2001,77.37
chanisl,2002,78.04
chanisl,2003,78.73
chanisl,2004,79.38
chanisl,2005,79.91
chanisl,2006,80.35
chanisl,2007,80.84
chanisl,2008,81.54
chanisl,2009,82.42
chanisl,2010,82.88
chanisl,2011,83.51
chanisl,2012,83.98
chanisl,2013,84.4
chanisl,2014,84.8
chanisl,2015,85.21
chanisl,2016,85.62
chanisl,2017,86.05
chanisl,2018,86.5
chanisl,2019,86.93
che,1991,79.51
che,1992,81.11
che,1993,81.38
che,1994,80.75
che,1995,80.89
che,1996,81.61
che,1997,82.39
che,1998,83.36
che,1999,83.73
che,2000,83.58
che,2001,84.28
che,2002,84.98
che,2003,85.51
che,2004,85.82
che,2005,86.16
che,2006,86.1
che,2007,86.48
che,2008,85.92
che,2009,86.79
che,2010,86.61
che,2011,86.74
che,2012,86.74
che,2013,86.59
che,2014,86.72
che,2015,87.03
che,2016,87.26
che,2017,87.27
che,2018,87.59
che,2019,87.89
chl,1991,78.97
chl,1992,78.82
chl,1993,77.77
chl,1994,79.57
chl,1995,79.96
chl,1996,79.66
chl,1997,81
chl,1998,81.51
chl,1999,82.67
chl,2000,82.99
chl,2001,82.31
chl,2002,83.1
chl,2003,83.19
chl,2004,82.18
chl,2005,82.55
chl,2006,82.76
chl,2007,83.34
chl,2008,83.03
chl,2009,83.88
chl,2010,84.59
chl,2011,84.41
chl,2012,84.24
chl,2013,84.64
chl,2014,84.72
chl,2015,84.24
chl,2016,83.95
chl,2017,83.81
chl,2018,84.59
chl,2019,85.1
chn,1991,21.76
chn,1992,22.69
chn,1993,24.2
chn,1994,26.27
chn,1995,28.34
chn,1996,29.73
chn,1997,30.12
chn,1998,30.47
chn,1999,30.65
chn,2000,31.21
chn,2001,31.44
chn,2002,32.41
chn,2003,33.19
chn,2004,34.93
chn,2005,35.85
chn,2006,36.8
chn,2007,37.16
chn,2008,38.2
chn,2009,39.32
chn,2010,40.01
chn,2011,41.4
chn,2012,42.02
chn,2013,44.8
chn,2014,47.24
chn,2015,49.09
chn,2016,50.57
chn,2017,52.14
chn,2018,53.04
chn,2019,54.92
civ,1991,35.21
civ,1992,35.39
civ,1993,35.61
civ,1994,35.88
civ,1995,36.27
civ,1996,36.72
civ,1997,37.07
civ,1998,37.66
civ,1999,38.18
civ,2000,38.69
civ,2001,39.55
civ,2002,40.21
civ,2003,40.9
civ,2004,41.59
civ,2005,42.36
civ,2006,43.16
civ,2007,43.9
civ,2008,44.74
civ,2009,45.51
civ,2010,46.45
civ,2011,47.04
civ,2012,48
civ,2013,48.64
civ,2014,50.86
civ,2015,53.05
civ,2016,55.06
civ,2017,56.97
civ,2018,57.62
civ,2019,58.49
cmr,1991,20.41
cmr,1992,20.51
cmr,1993,20.58
cmr,1994,20.77
cmr,1995,20.99
cmr,1996,21.26
cmr,1997,21.57
cmr,1998,21.89
cmr,1999,22.24
cmr,2000,22.63
cmr,2001,23.15
cmr,2002,23.45
cmr,2003,23.72
cmr,2004,23.99
cmr,2005,24.14
cmr,2006,24.29
cmr,2007,24.5
cmr,2008,25.95
cmr,2009,27.4
cmr,2010,28.97
cmr,2011,30.66
cmr,2012,32.4
cmr,2013,34.25
cmr,2014,36.1
cmr,2015,37.39
cmr,2016,38.46
cmr,2017,39.44
cmr,2018,40.43
cmr,2019,41.32
cod,1991,16.25
cod,1992,16.24
cod,1993,16.09
cod,1994,16.13
cod,1995,16.22
cod,1996,15.74
cod,1997,16.05
cod,1998,16.12
cod,1999,16.26
cod,2000,15.34
cod,2001,15.4
cod,2002,15.47
cod,2003,15.93
cod,2004,16.39
cod,2005,16.8
cod,2006,17.28
cod,2007,17.83
cod,2008,18.43
cod,2009,18.81
cod,2010,19.32
cod,2011,19.92
cod,2012,20.56
cod,2013,21.28
cod,2014,22.08
cod,2015,22.78
cod,2016,23.22
cod,2017,23.74
cod,2018,24.38
cod,2019,25.01
cog,1991,28.49
cog,1992,28.75
cog,1993,28.94
cog,1994,29.04
cog,1995,29.37
cog,1996,29.8
cog,1997,30.14
cog,1998,30.59
cog,1999,30.88
cog,2000,31.7
cog,2001,32.35
cog,2002,33.05
cog,2003,33.56
cog,2004,34.28
cog,2005,35.19
cog,2006,35.99
cog,2007,36.38
cog,2008,37.14
cog,2009,37.95
cog,2010,39.06
cog,2011,39.78
cog,2012,40.64
cog,2013,41.47
cog,2014,42.45
cog,2015,43.17
cog,2016,43.65
cog,2017,44.22
cog,2018,45.08
cog,2019,45.73
col,1991,73.48
col,1992,73.65
col,1993,73.74
col,1994,74
col,1995,74.08
col,1996,74.4
col,1997,74.72
col,1998,75.14
col,1999,75.64
col,2000,75.96
col,2001,76.29
col,2002,76.53
col,2003,76.69
col,2004,76.97
col,2005,77.18
col,2006,77.42
col,2007,77.66
col,2008,77.83
col,2009,77.92
col,2010,77.14
col,2011,76.87
col,2012,76.46
col,2013,78.23
col,2014,78.69
col,2015,78.78
col,2016,79.43
col,2017,78.3
col,2018,77.33
col,2019,79.01
com,1991,17.8
com,1992,18.08
com,1993,18.31
com,1994,18.38
com,1995,18.74
com,1996,18.96
com,1997,19.38
com,1998,19.77
com,1999,20.24
com,2000,21.47
com,2001,22.18
com,2002,22.96
com,2003,23.78
com,2004,24.66
com,2005,26.68
com,2006,28.75
com,2007,30.22
com,2008,32.49
com,2009,34.85
com,2010,37.24
com,2011,39.65
com,2012,41.99
com,2013,44.47
com,2014,46.77
com,2015,47.78
com,2016,48.86
com,2017,50.08
com,2018,51.1
com,2019,52.05
cpv,1991,65.97
cpv,1992,66.24
cpv,1993,66.57
cpv,1994,66.94
cpv,1995,67.36
cpv,1996,67.72
cpv,1997,68.19
cpv,1998,68.72
cpv,1999,69.38
cpv,2000,70.06
cpv,2001,70.69
cpv,2002,71.25
cpv,2003,71.88
cpv,2004,72.63
cpv,2005,73.28
cpv,2006,74.05
cpv,2007,74.89
cpv,2008,75.55
cpv,2009,76.03
cpv,2010,76.56
cpv,2011,77.16
cpv,2012,77.67
cpv,2013,78.17
cpv,2014,78.61
cpv,2015,79.09
cpv,2016,79.7
cpv,2017,80.19
cpv,2018,82.34
cpv,2019,83.12
cri,1991,71.62
cri,1992,72.82
cri,1993,74.45
cri,1994,74.42
cri,1995,75.92
cri,1996,77.87
cri,1997,78.64
cri,1998,78.3
cri,1999,78.74
cri,2000,79.76
cri,2001,79.13
cri,2002,80.93
cri,2003,81.5
cri,2004,82.89
cri,2005,82.64
cri,2006,82.9
cri,2007,82.08
cri,2008,82.86
cri,2009,85.01
cri,2010,85.66
cri,2011,86.22
cri,2012,87.51
cri,2013,89.02
cri,2014,86.44
cri,2015,86.17
cri,2016,86.7
cri,2017,85.57
cri,2018,84.63
cri,2019,85.92
cub,1991,64.25
cub,1992,64.6
cub,1993,65.66
cub,1994,67.95
cub,1995,71.06
cub,1996,71.05
cub,1997,71.01
cub,1998,71.61
cub,1999,72.24
cub,2000,72.2
cub,2001,73.45
cub,2002,74.76
cub,2003,75.88
cub,2004,76.86
cub,2005,77.57
cub,2006,78.22
cub,2007,79.02
cub,2008,79.52
cub,2009,79.94
cub,2010,79.94
cub,2011,79.02
cub,2012,78.22
cub,2013,80.75
cub,2014,80.94
cub,2015,80.94
cub,2016,81.33
cub,2017,81.73
cub,2018,81.99
cub,2019,82.31
cyp,1991,61.14
cyp,1992,63.55
cyp,1993,67.05
cyp,1994,70.48
cyp,1995,71.67
cyp,1996,74.2
cyp,1997,76.55
cyp,1998,78.72
cyp,1999,80.66
cyp,2000,82.4
cyp,2001,83.73
cyp,2002,83.85
cyp,2003,85
cyp,2004,85.53
cyp,2005,86.2
cyp,2006,87.09
cyp,2007,88.16
cyp,2008,87.71
cyp,2009,87.57
cyp,2010,88.31
cyp,2011,89.22
cyp,2012,89.8
cyp,2013,91.01
cyp,2014,90.89
cyp,2015,91.61
cyp,2016,91.95
cyp,2017,92.02
cyp,2018,92.61
cyp,2019,91.64
cze,1991,58.92
cze,1992,60
cze,1993,61.23
cze,1994,62.91
cze,1995,63.82
cze,1996,64.87
cze,1997,66.36
cze,1998,66.84
cze,1999,68.07
cze,2000,68.99
cze,2001,68.26
cze,2002,68.7
cze,2003,69.51
cze,2004,70.02
cze,2005,70.69
cze,2006,70.18
cze,2007,70.66
cze,2008,70.96
cze,2009,73.72
cze,2010,74.88
cze,2011,74.24
cze,2012,74.74
cze,2013,75.02
cze,2014,74.77
cze,2015,74.62
cze,2016,74.14
cze,2017,73.99
cze,2018,74.3
cze,2019,74.62
deu,1991,74.68
deu,1992,75.24
deu,1993,75.88
deu,1994,76.28
deu,1995,76.77
deu,1996,77.98
deu,1997,78.56
deu,1998,78.77
deu,1999,79.16
deu,2000,79.62
deu,2001,80.06
deu,2002,80.43
deu,2003,81.25
deu,2004,81.29
deu,2005,82.25
deu,2006,82.38
deu,2007,82.44
deu,2008,83.67
deu,2009,84.19
deu,2010,84.54
deu,2011,84.63
deu,2012,84.75
deu,2013,84.99
deu,2014,84.83
deu,2015,85.19
deu,2016,85.31
deu,2017,85.26
deu,2018,85.21
deu,2019,85.27
dji,1991,45.53
dji,1992,45.9
dji,1993,46.22
dji,1994,46.68
dji,1995,47.11
dji,1996,47.55
dji,1997,48.08
dji,1998,48.69
dji,1999,49.45
dji,2000,50.25
dji,2001,51.21
dji,2002,52.24
dji,2003,53.3
dji,2004,54.37
dji,2005,55.45
dji,2006,56.6
dji,2007,57.78
dji,2008,58.98
dji,2009,60.02
dji,2010,61.12
dji,2011,62.33
dji,2012,63.42
dji,2013,64.49
dji,2014,65.6
dji,2015,66.74
dji,2016,67.83
dji,2017,68.85
dji,2018,69.99
dji,2019,71.06
dnk,1991,81.89
dnk,1992,82.25
dnk,1993,82.83
dnk,1994,82.36
dnk,1995,82.53
dnk,1996,82.85
dnk,1997,83.87
dnk,1998,83.57
dnk,1999,83.17
dnk,2000,84.54
dnk,2001,83.89
dnk,2002,86.12
dnk,2003,86.6
dnk,2004,86.12
dnk,2005,85.99
dnk,2006,86.91
dnk,2007,85.78
dnk,2008,86.49
dnk,2009,88.55
dnk,2010,89.85
dnk,2011,89.81
dnk,2012,89.52
dnk,2013,89.88
dnk,2014,89.91
dnk,2015,89.38
dnk,2016,89.78
dnk,2017,90.18
dnk,2018,90.32
dnk,2019,90.1
dom,1991,73.62
dom,1992,73.77
dom,1993,74.06
dom,1994,74.52
dom,1995,74.89
dom,1996,75.26
dom,1997,76.27
dom,1998,75.31
dom,1999,76.36
dom,2000,77.21
dom,2001,81.11
dom,2002,82.75
dom,2003,83.15
dom,2004,83.02
dom,2005,82.31
dom,2006,83.74
dom,2007,84.37
dom,2008,82.92
dom,2009,88.74
dom,2010,88.16
dom,2011,88.41
dom,2012,87.91
dom,2013,89.59
dom,2014,88.02
dom,2015,89.66
dom,2016,89.79
dom,2017,89.11
dom,2018,89.03
dom,2019,89.33
dza,1991,51.32
dza,1992,51.73
dza,1993,52.19
dza,1994,52.6
dza,1995,53
dza,1996,53.51
dza,1997,53.97
dza,1998,54.83
dza,1999,55.65
dza,2000,56.18
dza,2001,57.17
dza,2002,59.63
