geo,time,ny_adj_dngy_cd
mrt,1980,0
mrt,1981,0
mrt,1982,0
mrt,1983,0
mrt,1984,0
mrt,1985,0
mrt,1986,0
mrt,1987,0
mrt,1988,0
mrt,1989,0
mrt,1990,0
mrt,1991,0
mrt,1992,0
mrt,1993,0
mrt,1994,0
mrt,1995,0
mrt,1996,0
mrt,1997,0
mrt,1998,0
mrt,1999,0
mrt,2000,0
mrt,2001,0
mrt,2002,0
mrt,2003,0
mrt,2004,0
mrt,2005,0
mrt,2006,399032496.22851
mrt,2007,193989468.82822
mrt,2008,204295169.92229
mrt,2009,84882107.1008
mrt,2010,79414105.8254
mrt,2011,105014134.44704
mrt,2012,143225757.99948
mrt,2013,126668842.82293
mrt,2014,92110410.71399
mrt,2015,28293223.63576
mrt,2016,22133425.28622
mrt,2017,31107535.19765
mrt,2018,0
mrt,2019,0
mus,1971,0
mus,1972,0
mus,1973,0
mus,1974,0
mus,1975,0
mus,1976,0
mus,1977,0
mus,1978,0
mus,1979,0
mus,1980,0
mus,1981,0
mus,1982,0
mus,1983,0
mus,1984,0
mus,1985,0
mus,1986,0
mus,1987,0
mus,1988,0
mus,1989,0
mus,1990,0
mus,1991,0
mus,1992,0
mus,1993,0
mus,1994,0
mus,1995,0
mus,1996,0
mus,1997,0
mus,1998,0
mus,1999,0
mus,2000,0
mus,2001,0
mus,2002,0
mus,2003,0
mus,2004,0
mus,2005,0
mus,2006,0
mus,2007,0
mus,2008,0
mus,2009,0
mus,2010,0
mus,2011,0
mus,2012,0
mus,2013,0
mus,2014,0
mus,2015,0
mus,2016,0
mus,2017,0
mus,2018,0
mus,2019,0
mwi,1980,0
mwi,1981,0
mwi,1982,0
mwi,1983,158545.53815
mwi,1984,139437.61071
mwi,1985,405452.9898
mwi,1986,341079.64514
mwi,1987,255336.08345
mwi,1988,465453.95764
mwi,1989,636916.14532
mwi,1990,639773.0257
mwi,1991,633586.82845
mwi,1992,576179.69981
mwi,1993,415482.27712
mwi,1994,428441.85911
mwi,1995,593007.3629
mwi,1996,560604.52859
mwi,1997,467948.7446
mwi,1998,352404.25148
mwi,1999,268808.63788
mwi,2000,482536.50569
mwi,2001,511769.83922
mwi,2002,436131.91702
mwi,2003,648747.17398
mwi,2004,1253787.0247
mwi,2005,1001853.32305
mwi,2006,1268016.94379
mwi,2007,1741067.46527
mwi,2008,3896422.55932
mwi,2009,1309134.77691
mwi,2010,3069734.25934
mwi,2011,3806847.18352
mwi,2012,2365744.44314
mwi,2013,1797732.50973
mwi,2014,1243395.32954
