geo,time,se_sec_cuat_po_ma_zs
fin,2013,30.78043
fin,2014,31.10883
fin,2015,31.2385
fin,2017,32.06696
fin,2019,33.18592
fji,1996,10.24214
fji,2007,17.20267
fra,1990,12.73967
fra,2004,20.08583
fra,2005,20.61539
fra,2007,22.5297
fra,2008,22.64586
fra,2009,20.15296
fra,2010,24.2591
fra,2011,24.90458
fra,2012,25.68296
fra,2013,26.85585
fra,2014,27.98101
fra,2015,29.61975
fra,2016,28.89303
fra,2017,29.39597
fra,2019,31.3805
gbr,2009,31.68546
gbr,2010,33.59637
gbr,2011,34.3094
gbr,2012,36.59523
geo,2002,48.21754
geo,2012,47.84168
geo,2014,45.44057
geo,2016,46.78155
geo,2017,56.39293
geo,2019,53.29542
gha,1970,0.72931
gha,2010,15.0497
gin,1996,6.47701
gin,2010,8.49571
gin,2014,8.7933
gin,2018,10.62276
gmb,1973,0.32918
grc,1981,10.54678
grc,2005,24.76425
grc,2006,26.45081
grc,2007,26.87462
grc,2008,27.15365
grc,2010,27.75597
grc,2014,30.89233
grc,2015,30.89127
grc,2016,27.04035
grc,2020,35.42941
grd,1970,1.75993
grd,1981,2.51844
grl,2012,11.37888
grl,2014,11.51312
grl,2015,11.09025
grl,2018,11.48464
grl,2019,10.98957
gtm,2002,5.32368
gtm,2006,4.68472
gtm,2012,3.55752
gtm,2013,3.33204
gtm,2014,11.95107
gum,1970,22.62623
gum,1980,37.55498
gum,1990,41.75941
guy,1970,1.48296
guy,1980,2.73523
guy,2002,2.1027
hkg,1971,4.8191
hkg,1976,5.5483
hkg,1981,9.11068
hkg,1986,9.51787
hkg,1991,12.89104
hkg,1996,16.85284
hkg,2006,24.41412
hkg,2008,25.17967
hkg,2009,25.8374
hkg,2010,25.90374
hkg,2011,27.74148
hkg,2014,30.363
hkg,2015,31.79087
hkg,2017,32.7792
hkg,2019,34.66001
hti,1971,0.37552
hti,1982,0.85251
hun,2001,14.89439
hun,2005,17.13685
hun,2011,20.28337
hun,2012,21.03784
hun,2013,27.38903
hun,2014,27.58777
hun,2015,28.36625
hun,2016,28.06688
hun,2020,30.44498
idn,2007,7.99045
idn,2008,7.27369
ind,1971,1.81276
ind,1981,3.83458
ind,2011,12.78052
irl,1971,5.69555
irl,1981,9.2686
irl,1991,14.43
irl,2007,29.98676
irl,2010,42.92502
irl,2011,37.28849
irl,2017,41.94733
irn,2006,18.03181
irn,2008,17.00612
irn,2010,19.40558
irn,2012,21.06612
irn,2013,21.95487
irn,2014,22.26551
irn,2016,23.21621
irq,2013,22.69718
isl,2005,30.15467
isl,2019,44.284
isl,2020,44.38608
ita,2001,9.64612
ita,2005,10.97829
ita,2006,11.30244
ita,2007,11.6511
ita,2008,12.0968
ita,2009,12.05037
ita,2010,12.2433
ita,2011,12.25948
ita,2012,12.82215
ita,2014,13.67667
ita,2015,13.99936
ita,2020,15.74673
jam,1970,1.49477
jam,1982,2.21627
jam,1991,2.8456
jam,2011,9.9216
jor,2003,17.06826
jor,2008,28.29978
jor,2010,28.41425
jor,2018,32.59616
jor,2020,31.21519
jpn,1970,14.56759
jpn,1980,19.48983
kaz,1989,13.21567
kaz,1999,36.35127
kaz,2007,52.47452
kaz,2009,52.43871
kaz,2018,78.99347
ken,1979,2.0196
ken,2009,9.1938
ken,2010,8.99004
kgz,1999,25.32282
kgz,2009,23.00112
khm,2007,2.84139
khm,2008,2.96554
khm,2009,3.32505
khm,2014,9.13839
khm,2015,9.92219
kir,1978,1.43206
kna,1970,1.78799
kna,1980,3.45452
kwt,1988,16.76171
kwt,2005,11.34033
kwt,2006,10.86709
kwt,2007,10.6414
kwt,2008,10.81915
kwt,2012,14.36101
kwt,2013,11.6332
kwt,2015,12.14164
kwt,2017,13.82776
kwt,2018,14.96943
lbr,1974,2.24106
lby,1984,0.09626
lca,1970,1.79619
lca,1980,1.94066
lca,2010,14.48432
lca,2013,12.7081
lca,2019,13.00216
lie,1970,10.11766
lie,2000,13.36716
lka,2001,34.84245
lka,2008,28.73484
lka,2009,29.01866
lso,2006,2.0712
lso,2008,5.04465
ltu,2005,41.8932
ltu,2006,42.54616
ltu,2007,44.66899
ltu,2008,44.89994
ltu,2009,43.88781
ltu,2010,43.94465
ltu,2011,44.63448
ltu,2012,44.32361
ltu,2013,43.77808
ltu,2014,45.16138
ltu,2015,46.48656
ltu,2016,47.65323
ltu,2017,49.86384
ltu,2020,53.21794
lux,1991,15.17161
lux,2001,26.33699
lux,2007,30.56113
lva,1989,13.82647
lva,2004,25.5249
lva,2005,24.95463
lva,2006,22.90099
lva,2007,22.5403
lva,2008,23.81383
lva,2009,24.15242
lva,2010,25.68437
lva,2011,26.53571
lva,2012,27.56272
lva,2013,29.46714
lva,2014,28.80952
lva,2015,27.60559
lva,2016,29.11956
lva,2018,34.80529
lva,2019,39.9752
mac,1970,1.90472
mac,2006,15.13366
mac,2011,20.54233
mac,2016,26.66988
mco,1975,25.51364
mda,1989,12.13974
mda,2007,26.97335
mda,2008,27.07538
mda,2009,27.27602
mda,2010,27.28414
mda,2011,28.49346
mda,2012,59.01223
mdv,2006,4.99788
mex,2016,16.46355
mex,2017,17.3587
mex,2018,17.71336
mex,2020,19.30744
mhl,2011,20.66087
mkd,2002,13.76783
mkd,2020,21.3801
mli,1976,0.38144
mli,2006,1.1922
mli,2011,5.16983
mli,2015,8.33886
mli,2016,7.09568
mli,2018,9.02646
mli,2020,4.44641
mlt,2000,9.74288
mlt,2005,13.38221
mlt,2007,21.99413
mlt,2010,23.04419
mlt,2011,24.05685
mlt,2012,26.45631
mlt,2013,27.04759
mlt,2014,27.10264
mlt,2015,26.73755
mlt,2016,27.39972
mlt,2018,32.53895
mlt,2020,33.63223
mmr,2019,9.47854
mng,2000,28.71485
mng,2010,30.67613
mng,2020,33.7726
mrt,1988,2.37975
mus,1972,2.0217
mus,1983,5.38402
mus,1990,2.93135
mus,2000,9.74288
mus,2011,14.85447
mwi,1977,0.36282
mwi,1987,0.61312
mwi,1998,0.73001
mys,1980,2.77798
mys,1996,8.13686
mys,2000,12.87261
mys,2005,5.37081
mys,2009,16.3132
mys,2010,17.0313
mys,2016,20.0954
mys,2019,21.70491
nam,1991,4.41522
nam,2001,5.95521
ner,2012,2.69681
nld,1971,9.62054
nld,2005,33.14328
nld,2007,34.78579
nld,2008,34.54744
nld,2009,34.67464
nld,2010,35.55755
nld,2011,34.71874
nld,2012,35.0871
nld,2013,33.04379
nld,2014,32.90606
nld,2015,33.33333
nld,2016,33.57715
nld,2018,34.7417
nld,2020,38.30645
nor,1970,10.25298
nor,1975,12.15805
nor,1980,15.1982
nor,1990,20.6009
nor,2004,30.22735
nor,2005,30.86285
nor,2006,31.29815
nor,2007,31.74124
nor,2008,32.44892
nor,2009,32.80725
nor,2010,33.36828
nor,2011,34.00652
nor,2014,35.57526
nor,2015,35.79336
nor,2016,36.30134
nor,2017,36.85921
nor,2019,37.52717
npl,1971,0.50708
npl,1981,1.87905
npl,2001,10.75507
npl,2011,14.04991
nzl,1981,33.84991
nzl,1991,45.71531
nzl,2001,37.36021
nzl,2006,45.95884
nzl,2011,52.54317
nzl,2012,50.98884
nzl,2014,50.92532
nzl,2015,48.71704
nzl,2016,50.75867
nzl,2020,54.10976
omn,2003,14.94388
omn,2008,21.2117
omn,2010,17.96205
omn,2015,18.9693
omn,2020,18.84296
pak,2005,5.81881
pak,2006,8.85767
pak,2008,8.35774
pak,2009,8.65886
pak,2010,9.00116
pak,2011,9.94178
pak,2012,10.05668
pak,2013,10.64691
pak,2014,11.30536
pak,2016,11.30536
pak,2017,11.23523
pak,2018,3.68221
pak,2019,4.52012
pan,1980,8.77311
pan,1990,13.19342
pan,2000,10.11315
pan,2010,19.66045
per,1972,6.1449
per,1981,12.82003
per,1993,23.15614
per,2004,13.29265
per,2005,17.02532
per,2006,17.97847
per,2007,19.47168
per,2008,19.28094
per,2009,19.76344
per,2010,21.85272
per,2011,21.57835
per,2012,22.59164
per,2013,22.13121
per,2014,22.80737
per,2015,20.91365
per,2018,22.69314
phl,1970,10.36289
phl,1975,12.40413
phl,1980,15.36014
phl,1990,18.58997
phl,2000,14.79172
phl,2004,25.53996
phl,2008,28.47293
phl,2010,30.30906
phl,2013,31.41596
phl,2017,16.93583
phl,2019,27.58157
pol,2002,13.99402
pol,2008,17.61752
pol,2009,18.8071
pol,2010,20.03962
pol,2011,20.63928
pol,2012,21.31058
pol,2013,22.02854
pol,2014,22.97071
pol,2016,23.34322
pol,2020,26.20118
pri,1970,12.89305
pri,1980,18.62157
pri,1990,26.92453
pri,2000,34.73649
pri,2005,38.88003
pri,2006,36.85371
pri,2007,36.31164
pri,2008,38.70436
pri,2011,39.19288
pri,2017,43.52419
prt,2004,9.30254
prt,2005,9.54634
prt,2006,10.36171
prt,2007,10.19147
prt,2008,10.35199
prt,2009,10.80324
prt,2010,11.1522
prt,2011,12.79814
prt,2012,13.79956
prt,2013,13.91077
prt,2014,15.25191
prt,2015,16.01249
prt,2016,16.6967
prt,2017,16.72882
prt,2018,16.00928
prt,2019,18.6908
prt,2020,19.93044
pry,2005,13.28718
pry,2006,10.57802
pyf,2007,17.10635
qat,1986,12.66979
qat,2004,22.03402
qat,2007,27.63639
qat,2008,23.24314
qat,2009,21.51286
qat,2010,16.44868
qat,2011,18.96852
qat,2012,22.4414
qat,2013,21.69256
qat,2014,20.9474
qat,2016,20.15487
qat,2017,20.23745
rou,1992,8.5183
rou,2002,14.56111
rou,2007,16.18084
rou,2008,16.49541
rou,2009,16.47334
rou,2010,16.8049
rou,2011,17.47194
rou,2012,17.70517
rou,2013,17.60914
rou,2014,17.58249
rou,2015,17.9622
rou,2016,17.88691
rou,2017,17.66435
rou,2019,18.06072
rus,1989,14.41444
rus,2002,51.13827
rus,2010,60.94242
rwa,1978,0.51299
sau,2000,13.81919
sau,2004,19.5569
sau,2013,26.75655
sau,2017,31.90284
sau,2020,38.85051
sen,2006,5.20879
sen,2011,4.76656
sen,2013,6.0943
sen,2017,15.85729
sgp,2005,42.35964
sgp,2006,40.88293
sgp,2007,41.73382
sgp,2008,44.84632
sgp,2009,44.54996
sgp,2010,50.82647
sgp,2011,51.60413
sgp,2012,53.45882
sgp,2013,54.5056
sgp,2014,55.69466
sgp,2015,56.50357
sgp,2016,57.44362
sgp,2017,58.49223
sgp,2018,60.37037
sgp,2019,61.28154
sle,2004,8.0311
smr,2018,13.89898
srb,2002,15.02422
srb,2008,16.04561
srb,2009,16.42237
srb,2010,16.33326
srb,2011,20.29954
srb,2013,18.90928
srb,2014,21.31576
srb,2015,22.76806
srb,2016,23.49415
srb,2017,23.34469
srb,2019,23.63447
ssd,2008,11.54539
sur,2004,4.4883
svk,2001,14.54129
svk,2011,20.05639
svk,2014,18.6957
svk,2015,19.36565
svk,2016,19.76481
svk,2017,20.89224
svk,2018,22.02948
svk,2019,22.97927
svn,1991,11.91739
svn,2004,17.83977
swe,1970,8.96812
swe,1974,12.52557
swe,1979,16.6905
swe,1986,16.77237
swe,1987,17.29577
swe,1988,17.70411
swe,1989,18.08265
swe,1990,19.05443
swe,1991,19.40468
swe,1992,20.75323
swe,1993,21.35556
swe,1994,21.95892
swe,1995,22.88095
swe,2004,29.4335
swe,2005,30.06886
swe,2006,30.61973
swe,2007,31.21438
swe,2008,30.14375
swe,2009,30.71621
swe,2010,31.29985
swe,2011,31.88464
swe,2012,32.37456
swe,2013,32.86607
swe,2014,33.35724
swe,2015,33.8188
swe,2016,34.32108
swe,2017,34.79688
swe,2019,35.90107
swz,1976,2.28762
swz,1986,2.49156
syc,1971,3.5343
syr,2002,8.08715
syr,2007,16.36633
syr,2008,14.70453
syr,2009,14.49673
tca,1970,8.08656
tca,1980,10.65449
tgo,1970,0.34017
tgo,2009,4.96496
tgo,2011,10.55183
tha,1970,1.52399
tha,1980,3.6608
tha,2004,12.5597
tha,2006,12.49111
tha,2010,12.30961
tkm,1995,37.78602
ton,1986,3.8061
ton,2006,24.89192
ton,2011,17.69269
tto,2008,19.95581
tto,2009,19.91182
tto,2011,22.36899
tun,2008,13.22932
tun,2010,14.244
tun,2011,15.1931
tun,2012,13.9353
tun,2016,15.53762
tuv,1991,10.20085
tza,2012,3.36677
ukr,1970,8.04328
ukr,2001,35.93732
ury,2006,7.58905
ury,2008,12.65602
ury,2009,12.83644
ury,2010,12.74966
ury,2011,8.62216
ury,2012,8.50369
ury,2013,9.33058
usa,2018,43.79341
vct,1970,1.50294
vct,2017,3.66257
ven,2011,20.53624
ven,2015,25.92022
ven,2016,30.90046
vgb,1980,9.49203
vgb,1991,13.22957
vnm,1989,3.70257
vnm,2009,14.28404
wsm,2001,13.92525
wsm,2011,15.31138
zaf,2001,9.42284
zaf,2002,10.93001
zaf,2003,10.87131
zaf,2004,11.34496
zaf,2005,11.78268
zaf,2006,10.61561
zaf,2007,11.71258
zaf,2008,12.49341
zaf,2009,12.62088
zaf,2010,13.11013
zaf,2011,13.20155
zaf,2012,14.25434
zaf,2014,14.84059
zaf,2015,15.45631
zaf,2017,13.69966
zaf,2019,51.89629
zwe,1992,6.51475
zwe,2002,12.74435
