geo,time,st_int_xpnd_mp_zs
dom,2002,5.68152
dom,2003,6.4605
dom,2004,6.8072
dom,2005,5.7776
dom,2006,4.44312
dom,2007,4.12597
dom,2008,3.42047
dom,2009,4.43104
dom,2010,3.71964
dom,2011,3.41079
dom,2012,3.3476
dom,2013,3.46791
dom,2014,3.54198
dom,2015,3.9989
dom,2016,4.24688
dom,2017,4.4674
dom,2018,4.17178
dom,2019,4.32194
dom,2020,2.19925
dza,2005,2.67857
dza,2006,1.63269
dza,2007,1.51188
dza,2008,1.24928
dza,2009,1.17097
dza,2010,1.41377
dza,2011,1.0019
dza,2012,0.95861
dza,2013,0.80863
dza,2014,0.95278
dza,2015,1.20398
dza,2016,0.92364
dza,2017,1.05187
dza,2018,0.902
dza,2019,1.23482
dza,2020,0.64158
ecu,1995,5.79902
ecu,1996,6.11501
ecu,1997,5.42748
ecu,1998,4.85121
ecu,1999,9.148
ecu,2000,8.44381
ecu,2001,7.03306
ecu,2002,6.53389
ecu,2003,6.25719
ecu,2004,5.97846
ecu,2005,5.434
ecu,2006,5.13494
ecu,2007,4.69309
ecu,2008,3.77537
ecu,2009,4.77297
ecu,2010,3.81255
ecu,2011,3.4558
ecu,2012,3.40582
ecu,2013,3.3439
ecu,2014,3.28065
ecu,2015,4.15985
ecu,2016,7.45661
ecu,2017,6.35506
ecu,2018,5.79209
ecu,2019,6.3726
ecu,2020,2.68303
egy,1995,7.99883
egy,1996,7.57136
egy,1997,6.83819
egy,1998,6.02113
egy,1999,5.63464
egy,2000,5.26753
egy,2001,5.94396
egy,2002,6.70993
egy,2003,7.45077
egy,2004,5.7328
egy,2005,5.62834
egy,2006,5.31654
egy,2007,5.37463
egy,2008,5.04293
egy,2009,5.46227
egy,2010,4.50368
egy,2011,4.1951
egy,2012,4.41419
egy,2013,4.9919
egy,2014,4.71107
egy,2015,5.35188
egy,2016,6.37029
egy,2017,3.44469
egy,2018,3.79546
egy,2019,4.70926
egy,2020,3.55673
esp,1995,4.31554
esp,1996,4.38399
esp,1997,4.19149
esp,1998,4.40556
est,1995,4.8395
est,1996,4.62688
est,1997,4.46264
est,1998,4.91199
est,1999,7.22674
est,2000,6.86514
est,2001,6.22781
est,2002,6.3355
est,2003,6.20941
est,2004,5.79922
est,2005,5.35014
est,2006,5.63262
est,2007,5.00623
est,2008,5.45826
est,2013,6.01086
est,2014,6.45035
est,2015,6.94942
est,2016,7.35309
est,2017,7.2117
est,2018,7.52401
est,2019,8.33432
est,2020,3.10457
eth,1995,2.07522
eth,1996,2.21802
eth,1997,3.43874
eth,1998,2.80938
eth,1999,3.0753
eth,2000,4.93528
eth,2001,2.32847
eth,2002,2.70438
eth,2003,2.41963
eth,2004,1.58314
eth,2009,1.53713
eth,2016,2.30537
eth,2017,1.8824
eth,2018,3.07443
eth,2019,3.43784
eth,2020,1.87831
fin,1995,7.73096
fin,1996,7.37115
fin,1997,6.84581
fin,1998,6.98854
fin,1999,6.88467
fin,2000,5.76026
fin,2001,6.45923
fin,2002,5.93598
fin,2003,5.79784
fin,2004,5.46714
fin,2005,4.98589
fin,2006,4.8418
fin,2007,4.79836
fin,2008,4.71777
fin,2009,6.05687
fin,2010,5.68074
fin,2011,5.48773
fin,2012,5.55777
fin,2013,6.0226
fin,2014,6.1166
fin,2015,6.85825
fin,2016,7.13858
fin,2017,7.02409
fin,2018,6.59976
fin,2019,6.41361
fin,2020,2.01036
fji,1995,7.06873
fji,1996,7.02408
fji,1997,7.10486
fji,1998,6.93208
fji,1999,7.86124
fji,2000,8.71709
fji,2001,7.9124
fji,2002,7.3316
fji,2003,6.06937
fji,2004,6.74367
fji,2005,6.96575
fji,2006,5.40169
fji,2007,5.06213
fji,2008,4.14398
fji,2009,6.31503
fji,2010,5.08231
fji,2011,4.70355
fji,2012,4.31535
fji,2013,3.6122
fji,2014,3.48486
fji,2015,4.69956
fji,2016,4.76747
fji,2017,5.05088
fji,2018,5.17293
fji,2019,5.42716
fji,2020,3.90299
fra,1995,6.20202
fra,1996,6.59782
fra,1999,8.65963
fra,2000,7.69006
fra,2001,7.69689
fra,2002,7.73975
fra,2003,7.75768
fra,2004,6.70576
fra,2005,6.51296
fra,2006,5.96922
fra,2007,6.06124
fra,2008,5.79482
fra,2009,6.45928
fra,2010,6.20228
fra,2011,6.30516
fra,2012,6.00999
fra,2013,6.04768
fra,2014,6.57097
fra,2015,6.05973
fra,2016,6.1779
fra,2017,6.26744
fra,2018,6.23824
fra,2019,6.50092
fra,2020,3.8597
fsm,2009,10.83038
