geo,time,sl_tlf_0714_sw_zs
tha,2005,95.8
tha,2006,95.8
tjk,1999,88.8
tjk,2005,91
tls,2001,73.24
tls,2007,63.4
tto,2000,87.17949
tto,2006,97.4
tun,2012,84.6
tur,1999,33.19496
tur,2006,61.2
tza,2001,60.02447
tza,2006,71.8
tza,2011,73.55486
tza,2014,70.78284
uga,2006,92.26758
uga,2012,93.38104
ukr,2005,99.9
ukr,2012,98.7
ury,2009,89.34214
uzb,2000,95.90383
uzb,2005,99
uzb,2006,99
ven,2003,82.41758
ven,2005,75.3
ven,2006,80.15522
ven,2013,68.86538
vnm,2006,88.1
vnm,2011,84.1
vnm,2012,81
yem,1999,35.65863
yem,2006,69.1
yem,2010,64.02989
zaf,1999,94.9
zmb,2005,74.07717
zmb,2008,81.42461
zwe,1999,88
