geo,time,sp_reg_brth_ru_zs
jam,2005,87.9
jam,2008,98.9
jam,2010,98
jam,2012,99.3
jor,2012,99.5
jor,2018,98.7
kaz,2006,99.2
kaz,2011,99.6
kaz,2015,99.5
ken,2003,44
ken,2009,56.7
ken,2014,61
kgz,2006,94.7
kgz,2012,98.1
kgz,2014,97.4
kgz,2018,98.9
khm,2005,65.7
khm,2010,59.9
khm,2014,71.6
kir,2009,92.8
kir,2019,91
lao,2006,68.4
lao,2012,71.3
lao,2017,67
lbr,2007,2.8
lbr,2013,20.1
lbr,2020,62.7
lca,2012,92.2
lka,2007,97.6
lso,2004,24.1
lso,2009,45.5
lso,2014,40.1
lso,2018,39.6
mar,2000,79.9
mar,2011,91.3
mar,2018,96
mda,2000,97.8
mda,2012,99.5
mdg,2004,72
mdg,2009,78.3
mdg,2013,80.9
mdg,2018,75.7
mdv,2009,92.4
mdv,2017,99.2
mex,2009,82.4
mex,2015,93.5
mhl,2007,95.5
mhl,2017,69.2
mkd,2005,92.9
mkd,2011,99.6
mkd,2019,99.5
mli,2006,44.8
mli,2010,77.1
mli,2013,81.7
mli,2015,85
mli,2018,84.2
mmr,2003,58.7
mmr,2010,63.5
mmr,2016,77.7
mne,2006,98.8
mne,2013,99.7
mng,2005,98.7
mng,2010,99.1
mng,2013,99.1
mng,2018,99.4
moz,2008,27.8
moz,2011,46.8
moz,2015,51.9
mrt,2007,42.3
mrt,2011,48.6
mrt,2015,53.7
mwi,2014,4.8
mwi,2016,66
nam,2007,59.3
nam,2013,54.9
nam,2016,72.1
ner,2006,24.7
ner,2012,59.7
nga,2008,21.7
nga,2011,32.2
nga,2013,19.3
nga,2018,31.5
nic,2001,72.6
npl,2006,34
npl,2011,42.1
npl,2014,58.3
npl,2016,57.8
npl,2019,79.3
pak,2007,24.2
pak,2013,22.8
pak,2018,33.6
pan,2013,92.6
pan,2019,95.6
per,2006,92.5
per,2008,93.9
per,2012,94.2
per,2014,95.4
per,2016,96.3
per,2020,96.1
phl,2000,78.1
phl,2017,90.4
png,2018,12.1
prk,2000,98.5
prk,2009,100
pry,2011,68.7
pry,2014,80.4
pry,2017,45.6
pry,2018,47.6
pse,2006,96
pse,2010,99.4
pse,2014,99.6
pse,2020,99.1
rwa,2005,83
rwa,2010,63.6
rwa,2015,56.1
rwa,2020,85.7
sdn,2006,22
sdn,2010,49.7
sdn,2014,59.2
sen,2005,43.5
sen,2011,65.9
sen,2013,63.7
sen,2014,62.5
sen,2015,57.8
sen,2016,60.5
sen,2017,69.7
sen,2018,68.2
sen,2019,70.7
slb,2015,87.9
sle,2005,44
sle,2008,47.8
sle,2010,78.2
sle,2013,75.8
sle,2017,79.4
sle,2019,89.1
slv,2008,98.7
slv,2014,98.7
som,2006,1.5
som,2020,4.9
srb,2006,98.8
srb,2010,99.3
srb,2014,99.2
srb,2019,99.8
ssd,2010,32.3
stp,2006,67.1
stp,2009,73.8
stp,2014,93
stp,2019,98.5
sur,2006,95
sur,2010,97.8
sur,2018,98.8
swz,2007,28.1
swz,2010,46.5
swz,2014,50.6
syr,2006,95.4
tca,2020,100
tcd,2004,2.9
tcd,2010,8.7
tcd,2015,6.4
tcd,2019,21.1
tgo,2006,69.3
tgo,2010,70.6
tgo,2014,68.7
tgo,2017,76.1
tha,2006,99.4
tha,2012,99.7
tha,2016,99.9
tha,2019,99.6
tjk,2005,89.5
tjk,2012,81.4
tjk,2017,95.6
tkm,2006,95.3
tkm,2016,99.7
tkm,2019,99.8
tls,2009,56.8
tls,2010,56.8
tls,2016,58.3
ton,2012,93.8
ton,2019,97.7
tto,2011,98.3
tun,2012,98.3
tun,2018,99.8
tur,2003,79
tur,2008,91.6
tur,2013,97.7
tur,2018,98
tuv,2007,38.2
tuv,2020,87.2
tza,2005,4
tza,2008,16.4
tza,2010,9.7
tza,2012,12.5
tza,2016,17.7
uga,2006,20.7
uga,2011,28.7
uga,2016,31.2
ukr,2005,100
ukr,2012,100
ury,2013,99.9
uzb,2006,99.9
vnm,2005,91.9
vnm,2006,85.6
vnm,2011,94.2
vnm,2014,95.8
vut,2007,40.6
vut,2013,36.7
wsm,2009,44.4
wsm,2014,56.7
wsm,2020,66.2
yem,2006,16.4
yem,2012,10.5
yem,2013,24.1
zmb,2000,6
zmb,2007,8.6
zmb,2014,6.7
zmb,2018,8.2
zwe,2006,70.7
zwe,2011,42.7
zwe,2014,23.4
zwe,2015,34.3
zwe,2019,40.3
