geo,time,sl_fam_work_zs
bhr,2013,0.51
bhr,2014,0.49
bhr,2015,0.44
bhr,2016,0.43
bhr,2017,0.44
bhr,2018,0.45
bhr,2019,0.45
bhs,1991,0.47
bhs,1992,0.37
bhs,1993,0.44
bhs,1994,0.4
bhs,1995,0.58
bhs,1996,0.69
bhs,1997,0.2
bhs,1998,0.24
bhs,1999,0.22
bhs,2000,0.15
bhs,2001,0.1
bhs,2002,0.37
bhs,2003,0.18
bhs,2004,0.25
bhs,2005,0.23
bhs,2006,0.21
bhs,2007,0.18
bhs,2008,0.16
bhs,2009,0.28
bhs,2010,0.29
bhs,2011,0.3
bhs,2012,0.31
bhs,2013,0.3
bhs,2014,0.29
bhs,2015,0.28
bhs,2016,0.28
bhs,2017,0.28
bhs,2018,0.27
bhs,2019,0.26
bih,1991,16.14
bih,1992,17.69
bih,1993,18.59
bih,1994,17.64
bih,1995,16.01
bih,1996,12.04
bih,1997,9.83
bih,1998,8.46
bih,1999,7.51
bih,2000,7.04
bih,2001,6.77
bih,2002,6.59
bih,2003,6.54
bih,2004,6.24
bih,2005,5.97
bih,2006,5.73
bih,2007,4.36
bih,2008,5.41
bih,2009,6.76
bih,2010,5.67
bih,2011,5.25
bih,2012,4.67
bih,2013,4.3
bih,2014,3.98
bih,2015,3.98
bih,2016,3.96
bih,2017,3.94
bih,2018,3.73
bih,2019,3.02
blr,1991,0.07
blr,1992,0.07
blr,1993,0.07
blr,1994,0.07
blr,1995,0.07
blr,1996,0.07
blr,1997,0.06
blr,1998,0.06
blr,1999,0.06
blr,2000,0.06
blr,2001,0.06
blr,2002,0.05
blr,2003,0.05
blr,2004,0.05
blr,2005,0.05
blr,2006,0.04
blr,2007,0.04
blr,2008,0.04
blr,2009,0.04
blr,2010,0.03
blr,2011,0.03
blr,2012,0.03
blr,2013,0.03
blr,2014,0.03
blr,2015,0.03
blr,2016,0.03
blr,2017,0.03
blr,2018,0.03
blr,2019,0.03
blz,1991,4.61
blz,1992,4.43
blz,1993,4.26
blz,1994,4.06
blz,1995,3.88
blz,1996,4.03
blz,1997,4
blz,1998,3.97
blz,1999,3.94
blz,2000,3.89
blz,2001,3.89
blz,2002,3.9
blz,2003,3.9
blz,2004,3.91
blz,2005,3.93
