geo,time,eg_fec_rnew_zs
aze,2003,2.9441
aze,2004,3.07
aze,2005,3.3644
aze,2006,2.861
aze,2007,3.7882
aze,2008,3.0858
aze,2009,3.2686
aze,2010,4.449
aze,2011,3.5558
aze,2012,2.8453
aze,2013,2.5259
aze,2014,2.1166
aze,2015,2.3122
aze,2016,1.9268
aze,2017,1.9088
aze,2018,1.9713
bdi,1990,95.20067
bdi,1991,94.23866
bdi,1992,94.99578
bdi,1993,94.90709
bdi,1994,95.11796
bdi,1995,95.11184
bdi,1996,95.18933
bdi,1997,95.24279
bdi,1998,95.2617
bdi,1999,93.7496
bdi,2000,93.2257
bdi,2001,94.8407
bdi,2002,94.6488
bdi,2003,95.7584
bdi,2004,96.0411
bdi,2005,96.0104
bdi,2006,95.305
bdi,2007,95.2916
bdi,2008,95.1455
bdi,2009,95.176
bdi,2010,92.5705
bdi,2011,91.6534
bdi,2012,91.4469
bdi,2013,91.0798
bdi,2014,91.3522
bdi,2015,91.1682
bdi,2016,89.542
bdi,2017,88.1415
bdi,2018,85.5269
bel,1990,1.26946
bel,1991,1.21508
bel,1992,1.19433
bel,1993,0.95647
bel,1994,0.93957
bel,1995,1.26039
bel,1996,1.18441
bel,1997,1.14848
bel,1998,1.29196
bel,1999,1.40065
bel,2000,1.4438
bel,2001,1.5805
bel,2002,1.6813
bel,2003,1.8887
bel,2004,2.022
bel,2005,2.4588
bel,2006,2.8223
bel,2007,3.3379
bel,2008,3.9053
bel,2009,4.8273
bel,2010,5.8248
bel,2011,6.6301
bel,2012,7.759
bel,2013,8.0929
bel,2014,9.1248
bel,2015,9.3761
bel,2016,9.2069
bel,2017,9.638
bel,2018,10.6627
ben,1990,93.70324
ben,1991,94.96485
ben,1992,94.85184
ben,1993,94.9888
ben,1994,94.97504
ben,1995,94.77199
ben,1996,84.14597
ben,1997,80.62643
ben,1998,79.56843
ben,1999,76.90542
ben,2000,70.2928
ben,2001,66.8577
ben,2002,64.0419
ben,2003,61.7344
ben,2004,60.6949
ben,2005,59.1952
ben,2006,57.3073
ben,2007,54.4906
ben,2008,54.7621
ben,2009,52.8324
ben,2010,47.1929
ben,2011,48.6964
ben,2012,50.3296
ben,2013,51.9665
ben,2014,51.0489
ben,2015,49.9432
ben,2016,45.4241
ben,2017,45.3801
ben,2018,43.9723
bfa,1990,93.15806
bfa,1991,93.25382
bfa,1992,93.2901
bfa,1993,93.47999
bfa,1994,93.60809
bfa,1995,93.1402
bfa,1996,92.15659
bfa,1997,91.39095
bfa,1998,91.01255
bfa,1999,86.85492
bfa,2000,85.405
bfa,2001,83.6759
bfa,2002,79.3414
bfa,2003,79.079
bfa,2004,83.5281
bfa,2005,86.5437
bfa,2006,84.6157
bfa,2007,82.4288
bfa,2008,82.9399
bfa,2009,83.5972
bfa,2010,81.4541
bfa,2011,80.5722
bfa,2012,77.175
bfa,2013,75.427
bfa,2014,75.2426
bfa,2015,72.714
bfa,2016,72.2665
bfa,2017,69.0807
bfa,2018,66.9662
bgd,1990,71.66497
bgd,1991,73.15967
bgd,1992,71.6607
bgd,1993,70.55712
bgd,1994,68.97991
bgd,1995,63.80281
bgd,1996,62.12408
bgd,1997,59.97286
bgd,1998,60.23397
bgd,1999,60.5344
bgd,2000,59.0218
bgd,2001,55.7986
bgd,2002,54.3365
bgd,2003,52.6531
bgd,2004,52.1413
bgd,2005,50.7972
bgd,2006,48.928
bgd,2007,47.5135
bgd,2008,45.6303
bgd,2009,43.7252
bgd,2010,41.0747
bgd,2011,39.4741
bgd,2012,38.636
bgd,2013,38.6996
bgd,2014,37.2865
bgd,2015,34.2163
bgd,2016,33.5362
bgd,2017,31.6032
bgd,2018,30.7062
bgr,1990,1.91685
bgr,1991,2.25055
bgr,1992,2.68107
bgr,1993,2.46783
bgr,1994,2.38094
bgr,1995,3.10671
bgr,1996,3.54634
bgr,1997,3.80966
bgr,1998,5.88974
bgr,1999,6.62751
bgr,2000,7.9653
bgr,2001,7.2435
bgr,2002,8.6973
bgr,2003,9.1616
bgr,2004,9.5871
bgr,2005,9.8735
bgr,2006,9.9704
bgr,2007,8.8374
bgr,2008,9.9205
bgr,2009,11.5978
bgr,2010,14.2406
bgr,2011,13.2032
bgr,2012,15.6032
bgr,2013,18.2064
bgr,2014,17.1172
bgr,2015,17.8199
bgr,2016,17.673
bgr,2017,17.08
bgr,2018,19.5275
bhr,1990,0
bhr,1991,0
bhr,1992,0
bhr,1993,0
bhr,1994,0
bhr,1995,0
bhr,1996,0
bhr,1997,0
bhr,1998,0
bhr,1999,0
bhr,2000,0
bhr,2001,0
bhr,2002,0
bhr,2003,0
bhr,2004,0
bhr,2005,0
bhr,2006,0
bhr,2007,0
bhr,2008,0
bhr,2009,0
bhr,2010,0
bhr,2011,0
bhr,2012,0
bhr,2013,0
bhr,2014,0
bhr,2015,0
bhr,2016,0
bhr,2017,0
bhr,2018,0
bhs,1990,0
bhs,1991,0
bhs,1992,0
bhs,1993,0
bhs,1994,0
bhs,1995,0
bhs,1996,0
bhs,1997,0
bhs,1998,0
bhs,1999,0
bhs,2000,0
bhs,2001,0.4216
bhs,2002,0.3808
bhs,2003,1.5408
bhs,2004,1.5915
bhs,2005,1.7115
bhs,2006,2.0108
bhs,2007,3.5407
bhs,2008,1.9691
bhs,2009,1.8312
bhs,2010,1.653
bhs,2011,1.4246
bhs,2012,1.1821
bhs,2013,0.9554
bhs,2014,1.1415
bhs,2015,1.5406
bhs,2016,1.5346
bhs,2017,1.4438
bhs,2018,1.0193
bih,1990,7.3001
bih,1991,8.75951
bih,1992,11.57374
bih,1993,14.60942
bih,1994,33.38614
bih,1995,33.22297
bih,1996,32.85267
bih,1997,27.59826
bih,1998,26.73915
bih,1999,28.43108
bih,2000,19.3526
bih,2001,20.2738
bih,2002,21.2143
bih,2003,20.1405
bih,2004,20.0996
bih,2005,19.7347
bih,2006,18.124
bih,2007,14.8404
bih,2008,14.2776
bih,2009,17.4342
bih,2010,19.5678
bih,2011,14.158
bih,2012,15.2788
bih,2013,19.4765
bih,2014,23.6759
bih,2015,25.2754
bih,2016,23.0282
bih,2017,18.5199
bih,2018,35.4009
blr,1990,0.81736
blr,1991,0.89869
blr,1992,1.04787
blr,1993,1.25114
blr,1994,2.07032
blr,1995,2.52782
blr,1996,3.10131
blr,1997,3.39337
blr,1998,3.64044
blr,1999,3.97586
blr,2000,5.6437
blr,2001,6.2539
blr,2002,6.5189
blr,2003,6.2463
blr,2004,6.2712
blr,2005,6.8252
blr,2006,7.1931
blr,2007,7.2736
blr,2008,7.0802
blr,2009,7.3876
blr,2010,7.2957
blr,2011,7.5185
blr,2012,7.2416
blr,2013,6.97
blr,2014,6.692
blr,2015,6.824
blr,2016,6.7345
blr,2017,7.2886
blr,2018,7.2198
blz,1990,38.01163
blz,1991,32.44136
blz,1992,36.28914
blz,1993,35.59518
blz,1994,34.08095
blz,1995,34.92029
blz,1996,42.68215
blz,1997,36.65768
blz,1998,35.32469
blz,1999,35.03215
blz,2000,34.5526
blz,2001,29.6084
blz,2002,31.193
blz,2003,30.175
blz,2004,32.0177
blz,2005,31.0128
blz,2006,36.8016
blz,2007,32.3107
blz,2008,34.0629
blz,2009,29.1802
blz,2010,32.9287
blz,2011,44.356
blz,2012,50.0745
blz,2013,40.99
blz,2014,40.2377
blz,2015,32.7264
blz,2016,35.41
blz,2017,41.2034
blz,2018,40.1163
bmu,1990,0
bmu,1991,0
bmu,1992,0
bmu,1993,0
bmu,1994,0
bmu,1995,0
bmu,1996,0
bmu,1997,0
bmu,1998,0
bmu,1999,0
bmu,2000,0
bmu,2001,0
bmu,2002,0
bmu,2003,0
bmu,2004,0
bmu,2005,0
bmu,2006,0
bmu,2007,0.4397
bmu,2008,0.3959
bmu,2009,0.3926
bmu,2010,0.4189
bmu,2011,0.4218
bmu,2012,0.4362
bmu,2013,0.4773
bmu,2014,0.4253
bmu,2015,0.4869
bmu,2016,0.4629
bmu,2017,0.482
bmu,2018,0.3803
bol,1990,37.359
bol,1991,38.28154
bol,1992,37.05265
bol,1993,37.23544
bol,1994,35.51943
bol,1995,33.53601
bol,1996,33.13727
bol,1997,32.76116
bol,1998,31.40214
bol,1999,31.54482
bol,2000,29.7438
bol,2001,29.9116
bol,2002,28.2842
bol,2003,26.3125
bol,2004,25.2252
bol,2005,23.1348
bol,2006,21.79
bol,2007,20.5973
bol,2008,18.1715
bol,2009,16.5166
bol,2010,15.6389
bol,2011,13.8063
bol,2012,13.0593
bol,2013,12.3094
bol,2014,10.7698
bol,2015,8.1986
bol,2016,8.1416
bol,2017,7.4608
bol,2018,7.5725
bra,1990,49.86467
bra,1991,48.93817
bra,1992,48.70118
bra,1993,48.19909
bra,1994,48.35001
bra,1995,46.13436
bra,1996,44.53288
bra,1997,43.72511
bra,1998,43.86158
bra,1999,44.09728
bra,2000,42.764
bra,2001,41.4361
bra,2002,42.9715
bra,2003,45.2484
bra,2004,45.3203
bra,2005,46.2706
bra,2006,46.824
bra,2007,47.3349
bra,2008,47.1814
bra,2009,49.0385
bra,2010,46.9242
bra,2011,45.3433
bra,2012,43.5511
bra,2013,42.4313
bra,2014,41.8292
bra,2015,43.7406
bra,2016,45.5767
bra,2017,45.4364
bra,2018,47.0617
brb,1990,18.94218
brb,1991,18.48373
brb,1992,16.98044
brb,1993,15.11609
brb,1994,15.11255
brb,1995,16.03426
brb,1996,16.80691
brb,1997,16.40233
brb,1998,12.13986
brb,1999,12.81091
brb,2000,14.3188
brb,2001,12.5648
brb,2002,11.2987
brb,2003,9.9478
brb,2004,9.9299
brb,2005,9.9071
brb,2006,9.9031
brb,2007,9.7106
brb,2008,8.6286
brb,2009,9.402
brb,2010,9.0775
brb,2011,4.6589
brb,2012,4.2095
brb,2013,3.5087
brb,2014,3.4336
brb,2015,3.1783
brb,2016,3.5017
brb,2017,5.1611
brb,2018,5.8356
brn,1990,0.67176
brn,1991,0.43217
brn,1992,0.20576
brn,1993,0
brn,1994,0
brn,1995,0
brn,1996,0
brn,1997,0
brn,1998,0
brn,1999,0
brn,2000,0
brn,2001,0
brn,2002,0
brn,2003,0
brn,2004,0
brn,2005,0
brn,2006,0
brn,2007,0
brn,2008,0
brn,2009,0
brn,2010,0
brn,2011,0.0158
brn,2012,0.0148
brn,2013,0.0135
brn,2014,0.014
brn,2015,0.0149
brn,2016,0.0074
brn,2017,0.0109
brn,2018,0.0109
btn,1990,95.89885
btn,1991,95.91994
btn,1992,95.28749
btn,1993,95.85807
btn,1994,95.29096
btn,1995,94.37175
btn,1996,93.24002
btn,1997,91.35006
btn,1998,91.53147
btn,1999,91.56562
btn,2000,91.3981
btn,2001,91.7485
btn,2002,91.2008
btn,2003,91.9167
btn,2004,93.4565
btn,2005,91.667
btn,2006,91.9231
btn,2007,92.0722
btn,2008,91.8091
btn,2009,92.3829
btn,2010,90.7986
btn,2011,89.0147
btn,2012,87.3157
btn,2013,86.6953
btn,2014,86.5425
btn,2015,86.681
btn,2016,84.9517
btn,2017,83.5552
btn,2018,81.0936
bwa,1990,47.58464
bwa,1991,48.08275
bwa,1992,44.70827
bwa,1993,45.88543
bwa,1994,48.27315
bwa,1995,47.17404
bwa,1996,44.68881
bwa,1997,43.999
bwa,1998,37.3976
bwa,1999,39.83467
bwa,2000,36.5604
bwa,2001,35.6714
bwa,2002,34.2549
bwa,2003,34.2341
bwa,2004,32.1279
bwa,2005,30.7692
bwa,2006,29.4414
bwa,2007,27.8027
bwa,2008,27.3377
bwa,2009,28.4479
bwa,2010,30.3014
bwa,2011,29.9791
bwa,2012,29.6081
bwa,2013,28.7818
bwa,2014,28.1472
bwa,2015,28.228
bwa,2016,28.113
bwa,2017,28.3668
bwa,2018,28.1989
caf,1990,93.49428
caf,1991,93.75225
caf,1992,94.10785
caf,1993,93.81462
caf,1994,93.18764
caf,1995,93.04623
caf,1996,91.66483
caf,1997,91.85804
caf,1998,89.01756
caf,1999,85.40948
caf,2000,85.0734
caf,2001,84.8603
caf,2002,85.0376
caf,2003,86.0739
caf,2004,86.368
caf,2005,86.5563
caf,2006,86.039
caf,2007,82.3228
caf,2008,86.8857
caf,2009,87.1194
caf,2010,86.5514
caf,2011,85.1565
caf,2012,84.8882
caf,2013,89.2267
caf,2014,88.3933
caf,2015,84.2346
caf,2016,82.5599
caf,2017,81.3794
caf,2018,80.9485
can,1990,22.02075
can,1991,22.19784
can,1992,21.92998
can,1993,21.80306
can,1994,21.69269
can,1995,21.92358
can,1996,21.57924
can,1997,21.31115
can,1998,21.52404
can,1999,21.70508
can,2000,22.0381
can,2001,21.5272
can,2002,21.7673
can,2003,21.1806
can,2004,21.5791
can,2005,21.9923
can,2006,21.915
can,2007,21.8415
can,2008,21.9082
can,2009,22.5
can,2010,21.8761
can,2011,21.8441
can,2012,22.1692
can,2013,22.398
can,2014,22.4168
can,2015,22.6422
can,2016,22.333
can,2017,22.7699
can,2018,22.1829
che,1990,17.12391
che,1991,17.47275
che,1992,17.29863
che,1993,18.35542
che,1994,18.69457
che,1995,18.06595
che,1996,17.11698
che,1997,17.82312
che,1998,17.50425
che,1999,18.80687
che,2000,18.1917
che,2001,18.7232
che,2002,18.1872
che,2003,18.0296
che,2004,18.1001
che,2005,18.7295
che,2006,18.0667
che,2007,19.309
che,2008,19.5492
che,2009,19.9731
che,2010,20.5642
che,2011,20.5661
che,2012,21.8887
che,2013,21.8384
che,2014,22.2118
che,2015,23.9574
che,2016,24.1104
che,2017,25.0038
che,2018,24.2031
chl,1990,34.02687
chl,1991,37.27278
chl,1992,38.61766
chl,1993,35.7704
chl,1994,34.81768
chl,1995,34.16753
chl,1996,32.23066
chl,1997,29.95356
chl,1998,29.74521
chl,1999,29.0542
chl,2000,31.3633
chl,2001,32.1474
chl,2002,33.0706
chl,2003,31.6151
chl,2004,31.4356
chl,2005,32.2632
chl,2006,32.9083
chl,2007,30.4648
chl,2008,30.8293
chl,2009,31.527
chl,2010,27.0442
chl,2011,28.7918
chl,2012,30.305
chl,2013,30.2297
chl,2014,26.9461
chl,2015,25.0651
chl,2016,24.5544
chl,2017,24.1074
chl,2018,25.4607
chn,1990,34.08361
chn,1991,33.25847
chn,1992,32.93128
chn,1993,31.67779
chn,1994,31.24948
chn,1995,29.47211
chn,1996,30.53718
chn,1997,30.18348
chn,1998,29.7399
chn,1999,30.50605
chn,2000,29.603
chn,2001,28.335
chn,2002,26.9784
chn,2003,23.8415
chn,2004,20.1608
chn,2005,17.4408
chn,2006,16.3851
chn,2007,14.8837
chn,2008,14.1378
chn,2009,13.4319
chn,2010,12.2613
chn,2011,11.3382
chn,2012,11.5367
chn,2013,11.522
chn,2014,12.0614
chn,2015,12.2453
chn,2016,12.5897
chn,2017,12.8636
chn,2018,13.1238
civ,1990,73.58235
civ,1991,74.01566
civ,1992,74.55874
civ,1993,75.12672
civ,1994,75.60652
civ,1995,74.8826
civ,1996,74.04173
civ,1997,72.13514
civ,1998,73.4473
civ,1999,61.93085
civ,2000,63.7176
civ,2001,64.7279
civ,2002,65.3228
civ,2003,70.3217
civ,2004,75.4001
civ,2005,77.9194
civ,2006,74.7872
civ,2007,76.3304
civ,2008,74.21
