geo,time,se_ter_cuat_st_fe_zs
bra,2013,13.993
bra,2014,14.70135
bra,2015,15.061
bra,2016,16.91928
bra,2017,17.54056
bra,2018,18.29206
brn,2011,13.49655
btn,2012,2.56905
btn,2017,7.38643
can,1986,16.96465
can,1991,19.63125
can,2001,47.094
can,2006,45.79662
can,2011,50.62332
can,2016,53.78897
che,2009,22.37751
che,2010,23.26143
che,2011,23.53503
che,2012,24.54357
che,2014,28.27284
che,2015,30.01735
che,2016,29.81272
che,2018,32.84711
che,2019,33.97987
chl,1970,2.5
chl,1982,5.94714
chl,2004,12.61329
chl,2007,13.87173
chl,2008,20.18368
chl,2010,17.93283
chl,2011,14.76551
chl,2013,17.44789
chl,2015,19.33456
chl,2017,21.91807
chn,2010,7.59915
cmr,2010,0.72061
cod,1984,0.31213
cod,2013,2.59018
cod,2016,4.99281
col,2004,14.58372
col,2005,15.21265
col,2006,10.88249
col,2007,14.68397
col,2008,15.48067
col,2009,15.14544
col,2010,16.15649
col,2011,16.87239
col,2012,17.91467
col,2013,19.67238
col,2014,20.91326
col,2015,20.74789
col,2016,21.48782
col,2018,22.73015
col,2019,23.18593
col,2020,24.26947
cpv,2015,10.45231
cri,1973,5.41774
cri,2007,17.36586
cri,2008,20.29798
cri,2009,21.09288
cri,2010,20.12018
cri,2011,20.82062
cri,2012,21.21015
cri,2014,23.57891
cri,2015,22.5894
cri,2016,22.39538
cri,2018,23.42993
cri,2020,23.28254
cub,2002,9.52335
cub,2012,16.95053
cym,2004,24.98622
cym,2005,25.63291
cym,2006,25.18721
cym,2007,38.16798
cym,2008,40.81094
cym,2014,44.36094
cym,2015,42.307
cyp,2004,23.58522
cyp,2005,23.43621
cyp,2006,25.29423
cyp,2007,27.98474
cyp,2008,29.29307
cyp,2009,28.7936
cyp,2010,30.44525
cyp,2011,29.35168
cyp,2012,34.5025
cyp,2013,34.55273
cyp,2014,36.31771
cyp,2015,35.95504
cyp,2016,38.29728
cyp,2018,40.01672
cyp,2020,41.01531
cze,2006,10.487
cze,2007,10.70861
cze,2008,11.679
cze,2009,12.74526
cze,2010,13.8208
cze,2011,15.24009
cze,2012,16.41178
cze,2013,17.3943
cze,2014,18.27626
cze,2015,19.24109
cze,2016,19.749
cze,2017,20.55248
cze,2019,21.06841
deu,2004,16.7976
deu,2005,16.53995
deu,2006,16.37923
deu,2007,16.94872
deu,2008,17.86737
deu,2009,18.92211
deu,2010,19.23873
deu,2011,20.4853
deu,2012,21.22122
deu,2013,21.82041
deu,2014,19.59429
deu,2015,20.291
deu,2016,21.13801
deu,2018,21.55035
dma,2001,4.83364
dnk,1991,19.55649
dnk,1994,19.05928
dnk,1995,19.90881
dnk,2003,34.86937
dnk,2004,36.05263
dnk,2007,33.4
dnk,2008,36.57066
dnk,2009,34.44181
dnk,2010,32.63889
dnk,2011,33.42956
dnk,2012,36.0119
dnk,2013,36.88281
dnk,2014,29.36047
dnk,2015,38.64679
dnk,2016,38.97229
dnk,2018,41.9004
dnk,2020,42.09641
dom,1970,1.3
dom,2007,21.23832
dom,2010,12.25082
dom,2011,11.73175
dom,2012,12.50558
dom,2013,11.93818
dom,2014,13.64389
dom,2015,14.49662
dom,2016,25.23045
dza,1971,0.05883
dza,2006,6.65209
dza,2008,7.39357
ecu,1974,1.65966
ecu,1982,5.56166
ecu,1990,11.30346
ecu,2007,10.77567
ecu,2008,10.65037
ecu,2009,10.76865
ecu,2010,11.02515
ecu,2011,10.83154
ecu,2012,12.08219
ecu,2013,12.70057
ecu,2014,11.88884
ecu,2015,14.16985
ecu,2016,14.01107
ecu,2017,15.06707
ecu,2020,14.91341
egy,2006,10.12157
egy,2017,5.90439
esp,1970,2.21712
esp,1981,5.45984
esp,1986,5.8
esp,1991,7.25482
esp,2004,20.53453
esp,2005,22.20112
esp,2006,22.63548
esp,2007,23.26145
esp,2008,23.61928
esp,2009,24.3477
esp,2010,25.17203
esp,2011,25.99388
esp,2012,26.5921
esp,2014,28.86132
esp,2015,29.56356
esp,2016,30.24233
esp,2018,31.42506
esp,2020,33.99417
est,1989,13.15234
est,2000,30.96318
est,2006,36.71635
est,2007,37.16542
est,2008,39.07314
est,2009,41.68163
est,2010,40.91762
est,2011,42.21719
est,2012,42.51447
est,2013,44.32225
est,2014,45.00315
est,2015,46.12386
est,2016,45.53984
est,2017,46.8514
est,2018,49.06362
est,2020,44.98658
eth,2007,0.18112
eth,2011,0.39435
fin,1985,11.7
fin,1990,13.32668
fin,2003,30.26177
fin,2005,31.54466
fin,2006,32.2386
fin,2007,32.87879
fin,2008,33.79642
fin,2009,34.3903
fin,2010,35.04476
fin,2011,35.68476
fin,2012,36.32046
fin,2013,37.09539
fin,2014,37.65811
fin,2015,38.05323
fin,2017,39.25025
fin,2019,40.75688
fji,1976,2.52249
fji,1986,3.36335
fji,1996,6.90427
fji,2007,11.17942
fji,2017,4.96838
fra,2004,19.64108
fra,2005,20.55278
fra,2007,22.56786
fra,2008,23.25848
fra,2009,24.52744
fra,2010,24.65625
fra,2011,25.37321
fra,2012,26.26377
fra,2013,27.59563
fra,2014,29.15102
fra,2015,31.19133
fra,2016,30.15886
fra,2017,30.88094
fra,2019,32.99706
gbr,1971,6.59898
gbr,2009,31.33534
gbr,2010,33.88406
gbr,2011,31.8825
gbr,2012,37.2988
gbr,2013,38.54038
gbr,2014,40.13948
gbr,2017,45.12802
gbr,2020,49.19832
geo,2002,25.15045
geo,2012,29.84851
geo,2014,30.93809
geo,2016,33.1683
geo,2017,34.42816
geo,2019,34.79774
gha,2010,1.71774
grc,1981,4.9
grc,2006,15.05183
grc,2007,17.07398
grc,2008,17.4271
grc,2010,18.65939
grc,2014,21.80212
grc,2015,23.00146
grc,2016,20.31527
grc,2020,26.33954
grl,2012,15.23498
grl,2014,15.71855
grl,2015,16.1496
grl,2018,16.91447
grl,2019,17.37987
gtm,1973,0.5
gtm,2002,2.71427
gtm,2006,2.36174
gtm,2012,1.892
gtm,2013,2.71149
gtm,2014,6.91703
gtm,2019,4.26703
guy,2002,0.13143
hkg,2006,13.31776
hkg,2008,13.80871
hkg,2009,14.22128
hkg,2010,15.21609
hkg,2011,16.49356
hkg,2014,18.30093
hkg,2015,19.3469
hkg,2017,20.62906
hkg,2019,21.23393
hnd,1974,0.35951
hnd,2007,7.01958
hnd,2011,7.7505
hnd,2012,7.081
hnd,2014,9.66021
hnd,2015,9.65743
hnd,2016,10.61828
hnd,2018,10.05823
hnd,2019,11.4273
hrv,1991,4.91474
hrv,2001,12.84262
hrv,2011,18.32559
hun,1970,2.84407
hun,1980,5.01446
hun,1990,8.69183
hun,2001,11.64212
hun,2005,14.27425
hun,2009,19.9432
hun,2010,20.314
hun,2011,21.41329
hun,2012,22.74955
hun,2013,23.28845
hun,2014,21.82013
hun,2015,22.74398
hun,2016,22.43175
hun,2020,26.6703
idn,1971,0.17983
idn,1980,0.35812
idn,1990,1.42516
idn,2006,7.90012
idn,2007,3.50447
idn,2008,3.56751
idn,2009,6.90688
idn,2011,7.52993
idn,2014,8.48069
idn,2015,8.89855
idn,2016,9.15912
idn,2018,9.91443
idn,2020,11.12854
ind,2011,7.09276
irl,2007,30.03702
irl,2011,34.48929
irl,2017,39.67813
irn,2006,14.47428
irn,2008,14.28144
irn,2010,17.50903
irn,2012,18.3677
irn,2013,20.58201
irn,2014,21.12225
irn,2016,22.88965
irq,2013,7.98479
isl,2005,31.20675
isl,2019,45.09542
isl,2020,44.50902
isr,1972,12.41621
isr,1982,20.9
isr,1983,9
isr,2004,22.70092
isr,2006,42.54298
isr,2007,43.8132
isr,2009,45.28018
isr,2010,45.82431
isr,2011,46.14152
isr,2012,47.58383
isr,2013,48.39574
isr,2014,49.97951
isr,2015,49.95751
ita,1971,1.47267
ita,1981,2.9
ita,2001,9.09796
ita,2005,9.87815
ita,2006,10.52598
ita,2007,11.21744
ita,2008,11.95473
ita,2009,12.17572
ita,2010,12.47215
ita,2011,12.5752
ita,2012,13.29754
ita,2014,14.4294
ita,2015,15.13146
ita,2020,17.75167
jor,2003,1.31173
jor,2008,12.74217
jor,2010,12.92789
jpn,1970,4.79645
jpn,1980,9.5318
jpn,1990,16.71805
jpn,2010,31.754
kaz,2009,54.88909
kaz,2018,74.92548
ken,2009,1.46148
kgz,1999,15.02539
kgz,2009,18.79489
khm,2007,0.85665
khm,2014,3.30441
khm,2015,2.5038
kor,1970,1.80806
kor,1975,2.6
kor,1980,3.9797
kor,1985,5.73834
kor,1990,7.2
kor,1995,13.43587
kor,2000,17.7778
kor,2005,25.20608
kor,2009,23.18166
kor,2010,30.13205
kor,2015,35.66134
kwt,1970,2.5
kwt,1975,4.1
kwt,1980,7.42387
kwt,1985,11.61723
kwt,1988,15.80181
kwt,2005,18.09389
kwt,2006,18.15597
kwt,2007,17.43613
kwt,2008,18.12441
kwt,2012,20.375
kwt,2013,17.62596
kwt,2015,20.27724
kwt,2017,24.25728
kwt,2018,25.56145
lbn,1970,1.1
lbn,2007,14.27783
lca,1970,0.4
lca,1980,0.7629
lca,1991,2.44882
lca,2010,7.46154
lca,2013,11.88559
lca,2019,10.70985
lka,1971,1.77396
lka,1981,0.76531
lka,2001,14.11205
lka,2008,14.5631
lka,2009,14.82605
lso,1976,0.02932
lso,2006,1.47075
lso,2008,1.86677
ltu,1989,12.32059
ltu,2005,23.46208
ltu,2006,24.86562
ltu,2007,27.12856
ltu,2008,28.43137
ltu,2009,29.2992
ltu,2010,31.14941
ltu,2011,32.3581
ltu,2012,32.54208
ltu,2013,33.14172
lux,2001,11.70657
lux,2003,17.16121
lux,2007,21.67666
lux,2009,29.05318
lux,2010,28.95928
lux,2011,31.57568
lux,2012,32.83582
lux,2013,35.90802
lux,2014,39.93015
lux,2015,33.63454
lva,2004,21.29407
lva,2005,22.72669
lva,2006,23.73789
lva,2007,24.67366
lva,2008,28.15509
lva,2009,29.63391
lva,2010,29.70819
lva,2011,30.74788
lva,2012,32.60354
lva,2013,34.61811
lva,2014,34.40705
lva,2015,36.4699
lva,2016,38.29567
lva,2018,39.695
lva,2019,40.39143
mac,1991,4.73127
mac,2001,9.16772
mac,2006,11.60869
mac,2011,16.52752
mac,2016,23.54787
mda,2007,15.56118
mda,2008,16.36614
mda,2009,17.20742
mda,2010,18.12694
mda,2011,18.88434
mda,2012,20.05188
mda,2013,36.64019
mda,2014,37.26337
mda,2015,37.64163
mda,2018,38.06612
mda,2019,38.51664
mdg,2018,3.9062
mdv,2006,1.19513
mex,1980,2.72136
mex,1990,6.443
mex,2000,7.2211
mex,2004,10.41694
mex,2005,10.62936
mex,2006,12.49733
mex,2007,11.98191
mex,2008,12.19409
mex,2009,13.19778
mex,2010,13.54044
mex,2012,14.34126
mex,2013,13.5118
mex,2014,13.37528
mex,2015,15.39146
mex,2016,14.00814
mex,2017,14.49476
mex,2018,15.34176
mex,2020,18.28479
mkd,2020,22.53001
mli,1976,0.05378
mli,2015,3.53763
mli,2016,0.89346
mli,2018,1.2964
mli,2020,1.22552
mlt,2000,1.51569
mlt,2005,8.84685
mlt,2007,10.41032
mlt,2010,12.09795
mlt,2011,12.11439
mlt,2012,13.53135
mlt,2013,15.8351
mlt,2014,15.69828
mlt,2015,16.17817
mlt,2016,16.8716
mlt,2018,22.15149
mlt,2020,25.76153
mmr,1973,0
mmr,1983,1.5
mmr,2019,10.59283
mne,2003,12.57181
mne,2011,17.8149
mng,2020,39.29033
moz,2009,1.18068
moz,2011,1.26319
moz,2015,1.48071
moz,2017,1.40935
mrt,2013,1.17516
mus,2000,1.51569
mus,2011,4.06179
mwi,1998,0.25429
mys,2000,7.04443
mys,2016,20.36923
mys,2019,21.93572
nam,2001,2.03874
ner,1977,0.1
ner,2012,0.96024
nga,2006,13.83146
nld,2004,23.22902
nld,2005,22.86219
nld,2007,24.59246
nld,2008,24.44173
nld,2009,25.42931
nld,2010,25.81925
nld,2011,25.92211
nld,2012,26.63488
nld,2013,27.27738
nld,2014,28.03312
nld,2015,28.90047
nld,2016,29.80077
nld,2018,31.66475
nld,2020,35.41938
nor,2004,27.14212
nor,2005,28.2284
nor,2006,29.07542
nor,2007,29.97
nor,2008,31.28755
nor,2009,32.03277
nor,2010,33.0184
nor,2011,34.3922
nor,2014,37.52574
nor,2015,38.4861
nor,2016,39.42341
nor,2017,40.4577
nor,2019,42.18271
nzl,2001,25.26209
nzl,2006,32.266
nzl,2011,40.64183
nzl,2012,39.67079
nzl,2014,32.86269
nzl,2015,32.21551
nzl,2016,34.06353
nzl,2020,38.64309
omn,2003,8.60964
omn,2008,11.29434
pak,1972,1.6
pak,1981,0.76026
pak,2005,2.10417
pak,2006,3.5205
pak,2008,3.38158
pak,2009,4.50911
pak,2010,4.73928
pak,2011,4.57596
pak,2012,4.91369
pak,2013,5.22017
pak,2014,6.08884
pak,2016,6.08884
pak,2017,6.16783
pak,2018,2.65594
pak,2019,3.66775
pan,2000,11.45497
pan,2010,24.37506
pan,2019,29.96274
per,2014,20.96669
per,2015,20.84088
per,2018,21.14508
phl,2000,9.72897
phl,2008,25.96123
phl,2010,27.98633
phl,2013,28.40646
phl,2019,30.9643
plw,2013,37.89593
pol,1970,4.2
pol,1978,4.4
pol,1988,6.97296
pol,2002,12.55906
pol,2008,18.79112
pol,2009,20.41859
pol,2010,22.08937
pol,2011,23.20161
pol,2012,23.95127
pol,2013,25.08212
pol,2014,26.24412
pol,2016,27.88434
pol,2020,31.53058
pri,2000,28.04042
pri,2005,23.05893
pri,2006,23.45017
pri,2007,24.36039
pri,2008,24.18189
pri,2011,35.53912
pri,2012,35.71763
pri,2017,30.48002
prt,1970,0.94639
prt,1981,2.22368
prt,1991,7.20784
prt,1998,7.4737
prt,1999,7.55914
prt,2000,7.8287
prt,2001,8.4015
prt,2002,8.90282
prt,2003,10.14062
prt,2004,11.43142
prt,2005,11.62607
prt,2006,12.2734
prt,2007,12.67599
prt,2008,13.15874
prt,2009,13.51721
prt,2010,14.44891
prt,2011,15.61735
prt,2012,16.85516
prt,2013,18.05482
prt,2014,19.89921
prt,2015,20.60311
prt,2016,21.46548
prt,2017,21.93525
prt,2018,21.46539
prt,2019,23.26696
prt,2020,25.44687
pry,1972,1.14923
pry,1982,2.5056
pry,1992,7.33889
pry,2003,8.8457
pry,2005,5.46122
pry,2006,4.61831
pry,2007,9.49795
pry,2008,11.71412
pry,2009,9.27636
pry,2012,12.23994
pry,2013,15.29603
pry,2014,14.93417
pry,2015,16.59024
pry,2016,16.09427
pry,2018,17.21233
pry,2019,18.65988
pry,2020,17.93718
pse,2004,13.06545
pse,2006,14.5064
pse,2007,15.227
pse,2008,16.22755
pse,2009,18.49049
pse,2010,18.84723
pse,2011,20.54069
pse,2012,22.40217
pse,2013,21.34655
pse,2014,21.7824
pse,2015,22.62311
pse,2016,23.16447
pse,2017,24.37035
pse,2018,26.74218
pse,2020,29.95242
pyf,2007,17.88201
qat,2010,31.96738
rou,2002,7.85351
rou,2007,9.48022
rou,2008,10.37521
rou,2009,10.92428
rou,2010,11.32334
rou,2011,12.28459
rou,2012,12.9495
rou,2013,13.49008
rou,2014,13.25645
rou,2015,14.2317
rou,2016,14.46443
rou,2017,14.73721
rou,2019,15.38713
rus,2002,59.16133
rus,2010,61.85154
rwa,2012,2.55263
rwa,2014,2.28038
rwa,2018,3.42399
sau,2000,9.4599
sau,2004,19.41986
sau,2013,23.88894
sau,2017,30.8005
sau,2020,36.44291
sdn,1983,0.3
sen,2006,0.26828
sen,2011,1.6035
sen,2013,2.57515
sen,2017,1.37552
sgp,1980,2
sgp,1990,3.49191
sgp,1995,5.77955
sgp,2005,25.77034
sgp,2006,26.92493
sgp,2007,28.1811
sgp,2008,30.60191
sgp,2009,31.66641
sgp,2010,33.98008
sgp,2011,35.00444
sgp,2012,36.43212
sgp,2013,38.33273
sgp,2014,39.41375
sgp,2015,40.07248
sgp,2016,40.9679
sgp,2017,42.3339
sgp,2018,43.69793
sgp,2019,45.56167
slv,1992,5.36663
slv,2006,5.17338
slv,2007,5.49033
slv,2008,9.84067
slv,2009,10.3901
slv,2010,6.1388
slv,2011,9.52354
slv,2012,10.59766
slv,2013,9.76485
slv,2016,8.21148
slv,2017,7.70563
slv,2019,9.12249
smr,2018,17.44898
srb,2002,11.56173
srb,2008,13.77688
srb,2009,14.42023
srb,2010,15.17153
srb,2011,17.89368
srb,2013,17.58725
srb,2014,19.07961
srb,2015,20.38704
srb,2016,21.29458
srb,2017,21.45124
srb,2019,22.73335
ssd,2008,7.55178
sur,2004,3.36051
svk,1991,7.57576
svk,2001,10.11072
svk,2012,17.95713
svk,2013,18.52912
svk,2014,18.80455
svk,2015,20.13835
svk,2016,21.12063
svk,2017,22.28368
svk,2018,23.71411
svk,2019,24.82699
svn,2005,18.68286
svn,2006,19.97372
svn,2007,20.8605
svn,2008,21.57407
svn,2009,22.6978
svn,2010,23.12479
svn,2011,24.58256
svn,2012,26.40303
svn,2013,27.43363
svn,2014,27.97468
svn,2015,29.44942
svn,2016,30.54217
svn,2017,31.66702
svn,2019,31.91674
swe,2005,31.27184
swe,2006,32.22641
swe,2007,33.14498
swe,2008,30.56297
swe,2009,31.38447
swe,2010,32.19886
swe,2011,32.99469
swe,2012,33.79645
swe,2013,34.56223
swe,2014,35.29229
swe,2015,36.00535
swe,2016,36.74443
swe,2017,37.49066
swe,2019,38.99765
syc,2002,6.03742
syr,1970,0.4
syr,2002,2.68497
syr,2007,3.44177
syr,2008,4.48356
syr,2009,4.46809
tcd,2004,0.93536
tcd,2009,0.64301
tgo,2009,0.96357
tha,1970,0.7
tha,1980,2.3481
tha,2004,13.42325
tha,2006,13.21561
tha,2010,12.63227
tha,2013,17.34297
tha,2016,19.9628
tha,2018,20.12445
tha,2019,21.44545
tjk,1989,8.1
tjk,2000,13.20102
tjk,2017,14.3069
tkm,1995,9.63547
ton,1986,2.00872
ton,1996,6.26228
ton,2006,10.66148
ton,2011,5.36309
tto,1970,0.6
tto,1980,1.9
tto,1990,2.77075
tto,2011,22.80183
tun,1975,0.5
tun,1980,0.7
tun,1984,1.33637
tur,1975,0.63838
tur,1980,1.5
tur,1985,6.69314
tur,2004,5.10431
tur,2005,5.62981
tur,2006,6.20874
tur,2007,6.55738
tur,2008,7.61658
tur,2009,8.40465
tur,2010,9.07619
tur,2011,10.12634
tur,2012,10.79004
tur,2013,12.26822
tur,2014,13.22987
tur,2015,14.7174
tur,2016,15.57999
tur,2017,16.59157
tur,2019,18.50358
tza,2002,0.66512
tza,2012,1.29961
uga,1991,0.18674
uga,2002,3.11383
uga,2008,6.96806
uga,2010,6.41204
uga,2012,5.54121
ukr,1970,4.53252
ukr,2001,39.88568
ury,1975,6.76938
ury,1985,8.9417
ury,1996,11.30563
ury,2003,11.89402
ury,2006,11.34989
ury,2008,11.31747
ury,2009,11.57324
ury,2010,11.1543
ury,2011,12.96718
ury,2012,12.96355
ury,2013,13.94046
ury,2014,14.41558
ury,2015,14.57859
ury,2016,14.79117
ury,2017,15.60204
ury,2018,15.71652
ury,2019,16.07317
usa,1970,18.66327
usa,1975,22.2
usa,1979,26.9
usa,1980,28.10064
usa,1981,27.99427
usa,1994,44.54951
usa,2004,35.37453
usa,2005,36.00504
usa,2006,37.52263
usa,2008,38.44067
usa,2009,39.15297
usa,2010,39.89922
usa,2011,40.53132
usa,2012,41.12231
usa,2013,42.16468
usa,2014,42.87372
usa,2015,43.4329
usa,2016,44.62196
usa,2018,46.44464
usa,2020,49.76645
uzb,2013,46.90372
uzb,2014,50.49682
uzb,2015,50.82583
uzb,2016,58.57193
uzb,2018,60.57237
uzb,2019,66.08528
ven,1971,1.31235
ven,1981,5.45895
ven,1990,11.27084
ven,2006,14.59766
ven,2007,15.90209
ven,2008,16.95954
ven,2009,18.456
ven,2011,28.93623
ven,2015,34.76765
ven,2016,38.73685
vnm,1979,0.57761
vnm,1989,1.72352
vnm,2009,5.86574
vnm,2019,12.96466
wsm,1971,2.50754
wsm,1976,1.3
wsm,1981,2.85772
zaf,1970,3.07953
zaf,1985,1.52128
zaf,2002,3.9271
zaf,2003,4.63716
zaf,2004,4.34209
zaf,2005,3.45562
zaf,2006,3.48701
zaf,2007,3.73634
zaf,2008,4.24749
zaf,2009,5.44746
zaf,2010,5.56365
zaf,2011,5.64529
zaf,2012,5.83339
zaf,2014,6.74451
zaf,2015,7.38945
zaf,2017,11.98435
zaf,2019,8.09189
zmb,1980,0.16971
zmb,1990,0.22844
zwe,2002,0.88529
zwe,2012,2.4011
zwe,2014,10.52328
zwe,2017,7.70652
