geo,time,gc_xpn_othr_cn
blz,2001,0
blz,2002,0
bol,1990,7700000
bol,1991,24800000
bol,1992,293100000
bol,1993,295500000
bol,1994,75200000
bol,1995,136600000
bol,1996,194200000
bol,1997,274400000
bol,1998,227100000
bol,1999,247500000
bol,2000,215400000
bol,2001,215440000
bol,2002,945837077.096
bol,2003,754866261.68
bol,2004,859200000
bol,2005,1088117944.52
bol,2006,1070653221.081
bol,2007,1470875230.296
bra,2010,28699398612.3363
bra,2011,39723769051.5914
bra,2012,46717839202.3478
bra,2013,54067081178.7037
bra,2014,62478035978.71049
bra,2015,60755099467.3886
bra,2016,63710453060.3583
bra,2017,59364036531.7147
bra,2018,66857604542.2837
bra,2019,105166857459.48801
brb,2003,27297000
brb,2004,26300000
brb,2005,64881321.44
brb,2006,0
brb,2007,26094111
brb,2008,45452151
brb,2009,52163598
brb,2010,75926015
brb,2011,62055958
brb,2012,61189756
brb,2013,64151431
brb,2014,62902775
brb,2015,58644011
brb,2016,50682639
btn,1990,10600000
btn,1991,35000000
btn,1992,30600000
btn,1993,31300000
btn,1994,102600000
btn,1995,74400000
btn,1996,648200000
btn,1997,266500000
btn,1998,47200000
btn,1999,86300000
btn,2000,84400000
btn,2001,101800000
btn,2002,359200000
btn,2003,792337000
btn,2004,260024000
btn,2005,618497000
btn,2006,615869000
btn,2007,776746000
btn,2008,2019462000
btn,2009,2533132000
btn,2010,1499761000
btn,2011,1551924000
btn,2012,2368392000
btn,2013,2462362000
btn,2014,3410179086
btn,2015,4792597000
btn,2016,6211838000
btn,2017,6790674274.87
btn,2018,10278246603.3
bwa,1990,21560000
bwa,1991,0
bwa,1992,48900000
bwa,1993,0
bwa,1994,0
bwa,1995,0
bwa,1996,0
bwa,2017,4174323856
bwa,2018,4587270000
bwa,2019,4200370000
caf,2004,7335300000
caf,2008,10121720471.6
caf,2009,18308818601
caf,2010,400000000
caf,2011,3000000000
caf,2012,0
caf,2014,15089000000
caf,2015,16699758262
caf,2016,25257665289
caf,2017,24458000000
caf,2018,30270000000
can,1990,7801000000
can,1991,7797000000
can,1992,7573000000
can,1993,7845000000
can,1994,7905000000
can,1995,7731000000
can,1996,9051000000
can,1997,8249000000
can,1998,9330000000
can,1999,10148000000
can,2000,10705000000
can,2001,11159000000
can,2002,11212000000
can,2003,11030000000
can,2004,11609000000
can,2005,12276000000
can,2006,11917000000
can,2007,13154000000
can,2008,15110000000
can,2009,16175000000
can,2010,16396000000
can,2011,16315000000
can,2012,16359000000
can,2013,15626000000
can,2014,15137000000
can,2015,15792000000
can,2016,16382000000
can,2017,17343000000
can,2018,17927000000
can,2019,20279000000
che,1990,5194823118.84
che,1991,5767114382.16
che,1992,6143255823.24
che,1993,6289955664.76
che,1994,6429806703.23
che,1995,6270347913.7
che,1996,6282291225.73
che,1997,6263083951.32
che,1998,6887253679.7
che,1999,12411187148.01
che,2000,13998008658.42
che,2001,9553888297.42
che,2002,15570648381.47
che,2003,8029414925.11
che,2004,8813418413.36
che,2005,8593651325.23
che,2006,8469968973.78
che,2007,9769192430.24
che,2008,9937377183.28
che,2009,9001024345.7
che,2010,9760453465.93
che,2011,10514709556.01
che,2012,9357559407.02
che,2013,10227760858.52
che,2014,10274421979.56
che,2015,10731912971.44
che,2016,11839891413.47
che,2017,11249866828.68
che,2018,11502364291.91
che,2019,12015201477.65
chl,2000,812930000000
chl,2001,942880000000
chl,2002,1055160000000
chl,2003,1149090000000
chl,2004,1283940000000
chl,2005,1347000000000
chl,2006,1495000000000
chl,2007,1594216000000
chl,2008,2195242000000
chl,2009,3993545000000
chl,2010,5086874092840
chl,2011,5524064504640
chl,2012,5784222065261.23047
chl,2013,5993670000000
chl,2014,6577119000100.24023
chl,2015,7774702655687.61914
chl,2016,8214891267718.87012
chl,2017,12979688000000
chl,2018,13635943966703.40039
