geo,time,sh_sta_traf_p5
arm,2004,18.5
arm,2005,18.3
arm,2006,17.8
arm,2007,17.6
arm,2008,17.3
arm,2009,17.9
arm,2010,18
arm,2011,17.7
arm,2012,17
arm,2013,16.8
arm,2014,16.7
arm,2015,16.7
arm,2016,15.7
arm,2017,16.4
arm,2018,20.4
arm,2019,20
atg,2000,9.2
atg,2001,13
atg,2002,2.6
atg,2003,10.1
atg,2004,2.5
atg,2005,0
atg,2006,2.4
atg,2007,7.2
atg,2008,11.2
atg,2009,6.3
atg,2010,5.4
atg,2011,8.8
atg,2012,0.7
atg,2013,1.7
atg,2014,0.6
atg,2015,0
atg,2016,0
atg,2017,0
atg,2018,0
atg,2019,0
aus,2000,9.9
aus,2001,9.3
aus,2002,9.1
aus,2003,8.5
aus,2004,8.2
aus,2005,8.3
aus,2006,8
aus,2007,7.9
aus,2008,7.1
aus,2009,7.1
aus,2010,6.5
aus,2011,5.9
aus,2012,5.8
aus,2013,5.3
aus,2014,5.4
aus,2015,5.2
aus,2016,5.6
aus,2017,5.2
aus,2018,4.8
aus,2019,4.9
aut,2000,12.5
aut,2001,12.2
aut,2002,12.1
aut,2003,11.7
aut,2004,11
aut,2005,9.6
aut,2006,9.1
aut,2007,8.6
aut,2008,8.4
aut,2009,7.8
aut,2010,6.8
aut,2011,6.4
aut,2012,6.4
aut,2013,5.5
aut,2014,5.1
aut,2015,5.7
aut,2016,5.2
aut,2017,4.9
aut,2018,4.8
aut,2019,4.9
aze,2000,8.2
aze,2001,10
aze,2002,10.1
aze,2003,14.5
aze,2004,10.7
aze,2005,13.9
aze,2006,13.2
aze,2007,13.7
aze,2008,13.3
aze,2009,11.6
aze,2010,11.4
aze,2011,12.4
aze,2012,14
aze,2013,13.8
aze,2014,13.2
aze,2015,10.3
aze,2016,8.7
aze,2017,8.5
aze,2018,8.1
aze,2019,6.7
bdi,2000,30.3
bdi,2001,30.2
bdi,2002,29.3
bdi,2003,29.8
bdi,2004,29.7
bdi,2005,29.9
bdi,2006,33.1
bdi,2007,33.4
bdi,2008,33
bdi,2009,33
bdi,2010,33.2
bdi,2011,33
bdi,2012,33.8
bdi,2013,33.8
bdi,2014,33.6
bdi,2015,34.4
bdi,2016,34.8
bdi,2017,34.9
bdi,2018,35.2
bdi,2019,35.5
bel,2000,16.7
bel,2001,15.8
bel,2002,13.9
bel,2003,12
bel,2004,11.4
bel,2005,10.9
bel,2006,10.5
bel,2007,10.8
bel,2008,9.4
bel,2009,9.4
bel,2010,8.1
bel,2011,8.2
bel,2012,7.2
bel,2013,7
bel,2014,6.7
bel,2015,6.7
bel,2016,5.8
bel,2017,5.5
bel,2018,5.4
bel,2019,5.8
ben,2000,28.4
ben,2001,28.5
ben,2002,28.7
ben,2003,28.2
ben,2004,28
ben,2005,28.9
ben,2006,28.1
ben,2007,27.6
ben,2008,27.6
ben,2009,27.9
ben,2010,28.2
ben,2011,28.1
ben,2012,27.4
ben,2013,27
ben,2014,27
ben,2015,27.3
ben,2016,27.5
ben,2017,27
ben,2018,26.9
ben,2019,26.8
bfa,2000,27.6
bfa,2001,27.7
bfa,2002,28
bfa,2003,28.4
bfa,2004,29.1
bfa,2005,29.2
bfa,2006,29.4
bfa,2007,29.6
bfa,2008,29.7
bfa,2009,29.4
bfa,2010,30.2
bfa,2011,30
bfa,2012,29.6
bfa,2013,29.8
bfa,2014,30.2
bfa,2015,30.4
bfa,2016,30.5
bfa,2017,30.7
bfa,2018,30.8
bfa,2019,31
bgd,2000,10.8
bgd,2001,12
bgd,2002,13.5
bgd,2003,14.9
bgd,2004,16.4
bgd,2005,17.6
bgd,2006,17.6
bgd,2007,16.9
bgd,2008,16.9
bgd,2009,16.9
bgd,2010,16.9
bgd,2011,16.8
bgd,2012,15.9
bgd,2013,15.9
bgd,2014,15.9
bgd,2015,15.8
bgd,2016,15.8
bgd,2017,15.6
bgd,2018,15.5
bgd,2019,15.3
bgr,2000,13
bgr,2001,13.2
bgr,2002,12.6
bgr,2003,12.7
bgr,2004,12.5
bgr,2005,12.8
bgr,2006,14.1
bgr,2007,14.3
bgr,2008,14.5
bgr,2009,12.4
bgr,2010,10.8
bgr,2011,9.2
bgr,2012,8.5
bgr,2013,8.5
bgr,2014,9.4
bgr,2015,10.1
bgr,2016,10.2
bgr,2017,9.9
bgr,2018,8.9
bgr,2019,9.2
bhr,2000,12
bhr,2001,17.3
bhr,2002,18.9
bhr,2003,16.1
bhr,2004,15.7
bhr,2005,15.6
bhr,2006,21.8
bhr,2007,15.8
bhr,2008,13.5
bhr,2009,13.5
bhr,2010,10.8
bhr,2011,9.7
bhr,2012,9.5
bhr,2013,9.7
bhr,2014,7.3
bhr,2015,7.5
bhr,2016,6.9
bhr,2017,6.2
bhr,2018,5.7
bhr,2019,5.2
bhs,2000,25.6
bhs,2001,20.9
bhs,2002,17.7
bhs,2003,13.1
bhs,2004,16
bhs,2005,20.9
bhs,2006,14.8
bhs,2007,15.7
bhs,2008,14.5
bhs,2009,16.3
bhs,2010,12.7
bhs,2011,13.1
bhs,2012,13
bhs,2013,14.1
bhs,2014,8.1
bhs,2015,8.3
bhs,2016,8.2
bhs,2017,8.7
bhs,2018,8.2
bhs,2019,7.7
bih,2000,19
bih,2001,18.9
bih,2002,18.5
bih,2003,18.4
bih,2004,18.1
bih,2005,17.8
bih,2006,17.6
bih,2007,17.5
bih,2008,17.1
bih,2009,17.1
bih,2010,16.9
bih,2011,14.9
bih,2012,15.6
bih,2013,15.4
bih,2014,15.5
bih,2015,15.8
bih,2016,16.3
bih,2017,15.6
bih,2018,14.2
bih,2019,13.5
blr,2000,17.8
blr,2001,17.7
blr,2002,26.1
blr,2003,26.7
blr,2004,23
blr,2005,22.1
blr,2006,22.1
blr,2007,23.5
blr,2008,23.9
blr,2009,19.5
blr,2010,21.9
blr,2011,18.6
blr,2012,15.8
blr,2013,13.6
blr,2014,11.5
blr,2015,10.1
blr,2016,8.9
blr,2017,8.9
blr,2018,8.3
blr,2019,7.6
blz,2000,29.5
blz,2001,37.5
blz,2002,36.1
blz,2003,31.5
blz,2004,23.5
blz,2005,35.9
blz,2006,28.8
blz,2007,32.4
blz,2008,33.8
blz,2009,16.8
blz,2010,14
blz,2011,18.2
blz,2012,21.3
blz,2013,21.7
blz,2014,24.3
blz,2015,25.5
blz,2016,28.2
blz,2017,19.4
blz,2018,22.5
blz,2019,22.6
bol,2000,14.5
bol,2001,14.8
bol,2002,15.2
bol,2003,15.1
bol,2004,15.1
bol,2005,15.2
bol,2006,20.9
bol,2007,15
bol,2008,17.2
bol,2009,16.6
bol,2010,17.3
bol,2011,17.5
bol,2012,23
bol,2013,23.5
bol,2014,19.9
bol,2015,18.8
bol,2016,15.3
bol,2017,20.3
bol,2018,20.7
bol,2019,21.1
bra,2000,19.7
bra,2001,20.1
bra,2002,21.2
bra,2003,21
bra,2004,22.2
bra,2005,22.4
bra,2006,21.8
bra,2007,22.5
bra,2008,22.6
bra,2009,22.2
bra,2010,24.3
bra,2011,24.5
bra,2012,24.8
bra,2013,23.1
bra,2014,23.6
bra,2015,20.8
bra,2016,19.9
bra,2017,18.7
bra,2018,17.1
bra,2019,16
brb,2000,14.6
brb,2001,8.6
brb,2002,11.3
brb,2003,11.7
brb,2004,16.7
brb,2005,8.7
brb,2006,7.9
brb,2007,10.1
brb,2008,6.1
brb,2009,9.2
brb,2010,8.9
brb,2011,11
brb,2012,14.8
brb,2013,14.1
brb,2014,8.4
brb,2015,13.3
brb,2016,5.6
brb,2017,8.5
brb,2018,8.3
brb,2019,8.2
brn,2000,15.9
brn,2001,19.4
brn,2002,15
brn,2003,8.8
brn,2004,12.5
brn,2005,14.4
brn,2006,12.7
brn,2007,17.6
brn,2008,10.5
brn,2009,11.5
brn,2010,7.7
brn,2011,12.2
brn,2012,9
brn,2013,9.6
brn,2014,8.5
brn,2015,8.9
brn,2016,9.1
brn,2017,8.1
brn,2018,7.8
brn,2019,7.5
btn,2000,11.7
btn,2001,11.9
btn,2002,12
btn,2003,12.4
btn,2004,13.1
btn,2005,13.4
btn,2006,13.4
btn,2007,13.2
btn,2008,15.2
btn,2009,13.6
btn,2010,13.6
btn,2011,16.7
btn,2012,15.3
btn,2013,11.8
btn,2014,11.8
btn,2015,15.1
btn,2016,18.9
btn,2017,15.7
btn,2018,15.9
btn,2019,16.2
bwa,2000,31.8
bwa,2001,31.1
bwa,2002,30.2
bwa,2003,31.7
bwa,2004,29.8
bwa,2005,24.8
bwa,2006,24.7
bwa,2007,26.1
bwa,2008,23.9
bwa,2009,24
bwa,2010,24.2
bwa,2011,23.8
bwa,2012,21.2
bwa,2013,20.9
bwa,2014,24.2
bwa,2015,24.8
bwa,2016,24.8
bwa,2017,25
bwa,2018,25.7
bwa,2019,26.4
caf,2000,32.3
caf,2001,31.9
caf,2002,31.6
caf,2003,33.5
caf,2004,33.6
caf,2005,33.4
caf,2006,33
caf,2007,32.7
caf,2008,32.3
caf,2009,32
caf,2010,30.5
caf,2011,30.3
caf,2012,29.6
caf,2013,33.3
caf,2014,33.7
caf,2015,34
caf,2016,34.1
caf,2017,35.3
caf,2018,36
caf,2019,37.7
can,2000,9.8
can,2001,9.2
can,2002,9.7
can,2003,9.1
can,2004,8.9
can,2005,9.5
can,2006,9.1
can,2007,8.9
can,2008,8
can,2009,7.2
can,2010,7.3
can,2011,6.3
can,2012,6.7
can,2013,6.3
can,2014,5.8
can,2015,5.8
can,2016,5.8
can,2017,5.6
can,2018,5.4
can,2019,5.3
che,2000,8.5
che,2001,7.8
che,2002,7.3
che,2003,7.7
che,2004,7.2
che,2005,5.7
che,2006,5.1
che,2007,5.3
che,2008,4.8
che,2009,4.7
che,2010,4.3
che,2011,4.2
che,2012,4.4
che,2013,3.4
che,2014,3.1
che,2015,3.1
che,2016,2.7
che,2017,2.8
che,2018,2.8
che,2019,2.2
chl,2000,17.9
chl,2001,16.2
chl,2002,16
chl,2003,18
chl,2004,17.8
chl,2005,17.7
chl,2006,18.7
chl,2007,13.3
chl,2008,14.3
chl,2009,12.4
chl,2010,12.5
chl,2011,12.2
chl,2012,11.7
chl,2013,12.4
chl,2014,12.3
chl,2015,12.3
chl,2016,12.3
chl,2017,14
chl,2018,14
chl,2019,14.9
chn,2000,21.4
chn,2001,21.9
chn,2002,22.1
chn,2003,21.1
chn,2004,20.5
chn,2005,20.8
chn,2006,20.7
chn,2007,20.9
chn,2008,20.5
chn,2009,20.5
chn,2010,20.3
chn,2011,20.7
chn,2012,20.3
chn,2013,19.6
chn,2014,18.8
chn,2015,18.3
chn,2016,18
chn,2017,17.8
chn,2018,17.6
chn,2019,17.4
civ,2000,25.4
civ,2001,25.3
civ,2002,25.4
civ,2003,25.9
civ,2004,26.5
civ,2005,26.3
civ,2006,25.8
civ,2007,25.4
civ,2008,25.4
civ,2009,25.5
civ,2010,25.8
civ,2011,25.8
civ,2012,24
civ,2013,23.5
civ,2014,23
civ,2015,23.2
civ,2016,23.4
civ,2017,23.6
civ,2018,23.9
civ,2019,24.1
cmr,2000,27.4
cmr,2001,27.5
cmr,2002,27.7
cmr,2003,27.4
cmr,2004,27.8
cmr,2005,28.3
cmr,2006,28.1
cmr,2007,28.1
cmr,2008,28.4
cmr,2009,28.5
cmr,2010,28.9
cmr,2011,29
cmr,2012,28.6
cmr,2013,28.7
cmr,2014,28.9
cmr,2015,29
cmr,2016,29.5
cmr,2017,29.7
cmr,2018,29.9
cmr,2019,30.2
cod,2000,38.1
cod,2001,38
cod,2002,38.5
cod,2003,38
cod,2004,36.5
cod,2005,36.8
cod,2006,36.6
cod,2007,36
cod,2008,35.8
cod,2009,36.3
cod,2010,36
cod,2011,35.6
cod,2012,34
cod,2013,34
cod,2014,33.6
cod,2015,33.5
cod,2016,33.7
cod,2017,33.2
cod,2018,33
cod,2019,34.9
cog,2000,26.3
cog,2001,26.1
cog,2002,25.9
cog,2003,26
cog,2004,25.8
cog,2005,25.5
cog,2006,25.5
cog,2007,26
cog,2008,25.9
cog,2009,26.2
cog,2010,27
cog,2011,27
cog,2012,26.8
cog,2013,27
cog,2014,27.3
cog,2015,27.6
cog,2016,28.2
cog,2017,28.6
cog,2018,29.2
cog,2019,29.7
col,2000,20
col,2001,20
col,2002,19
col,2003,17.2
col,2004,17.5
col,2005,16.9
col,2006,17.4
col,2007,17.9
col,2008,18
col,2009,17.7
col,2010,16.2
col,2011,15.8
col,2012,16.7
col,2013,16.7
col,2014,16.9
col,2015,18
col,2016,18.6
col,2017,17.2
col,2018,16.3
col,2019,15.4
com,2000,26.9
com,2001,26.8
com,2002,26.7
com,2003,26.7
com,2004,27
com,2005,26.8
com,2006,26.5
com,2007,26.5
com,2008,26.8
com,2009,27
com,2010,27.1
com,2011,27
com,2012,26.7
com,2013,26.6
com,2014,26.3
com,2015,26.6
com,2016,26.5
com,2017,26.6
com,2018,26.6
com,2019,26.6
cpv,2000,22.9
cpv,2001,23.4
cpv,2002,23.5
cpv,2003,24
cpv,2004,23.9
cpv,2005,23.8
cpv,2006,23.2
cpv,2007,23.2
cpv,2008,22.7
cpv,2009,23
cpv,2010,23.5
cpv,2011,23.5
cpv,2012,23.6
cpv,2013,24
cpv,2014,24.5
cpv,2015,25
cpv,2016,25.4
cpv,2017,25.9
cpv,2018,26.3
cpv,2019,26.8
cri,2000,17.8
cri,2001,17.3
cri,2002,17
cri,2003,15.4
cri,2004,15.4
cri,2005,14.5
cri,2006,16.4
cri,2007,16.1
cri,2008,16.8
cri,2009,15.9
cri,2010,14
cri,2011,13.3
cri,2012,14.9
cri,2013,13.6
cri,2014,14.2
cri,2015,16.5
cri,2016,16.6
cri,2017,14.7
cri,2018,14.4
cri,2019,14.8
cub,2000,15.8
cub,2001,14.2
cub,2002,13.3
cub,2003,11.5
cub,2004,11.4
cub,2005,11.6
cub,2006,9.7
cub,2007,8.6
cub,2008,9.2
cub,2009,8.8
cub,2010,8.3
cub,2011,7.9
cub,2012,8.3
cub,2013,8
cub,2014,8.5
cub,2015,9
cub,2016,8.6
cub,2017,8.7
cub,2018,8.8
cub,2019,8.9
cyp,2000,12.3
cyp,2001,11.8
cyp,2002,12.1
cyp,2003,11.8
cyp,2004,14.6
cyp,2005,12.6
cyp,2006,9.2
cyp,2007,11.1
cyp,2008,9.8
cyp,2009,9.3
cyp,2010,8.2
cyp,2011,7.8
cyp,2012,6.1
cyp,2013,5
cyp,2014,5.3
cyp,2015,6.7
cyp,2016,5.2
cyp,2017,6
cyp,2018,5.5
cyp,2019,5.8
cze,2000,14.9
cze,2001,13.4
cze,2002,14.4
cze,2003,14.6
cze,2004,13.9
cze,2005,12.9
cze,2006,10.6
cze,2007,12.2
cze,2008,10.6
cze,2009,8.9
cze,2010,7.8
cze,2011,7.5
cze,2012,7.2
cze,2013,6.4
cze,2014,6.7
cze,2015,7.2
cze,2016,5.9
cze,2017,5.6
cze,2018,6.3
cze,2019,5.9
deu,2000,9.6
deu,2001,8.9
deu,2002,8.8
deu,2003,8.4
deu,2004,7.5
deu,2005,6.9
deu,2006,6.6
deu,2007,6.4
deu,2008,5.8
deu,2009,5.3
deu,2010,4.8
deu,2011,5.3
deu,2012,4.7
deu,2013,4.4
deu,2014,4.3
deu,2015,4.4
deu,2016,4
deu,2017,4
deu,2018,4.1
deu,2019,3.8
dji,2000,27.5
dji,2001,27.6
dji,2002,27.4
dji,2003,27.8
dji,2004,27.6
dji,2005,28.1
dji,2006,27.9
dji,2007,27.7
dji,2008,27.4
dji,2009,27.9
dji,2010,28.2
dji,2011,25.2
dji,2012,23.6
dji,2013,23.8
dji,2014,23.8
dji,2015,23.9
dji,2016,23.8
dji,2017,23.7
dji,2018,23.6
dji,2019,23.5
dma,2013,15.3
dma,2016,10.9
dnk,2000,9.6
dnk,2001,8.6
dnk,2002,8.9
dnk,2003,8.3
dnk,2004,7
dnk,2005,6.5
dnk,2006,5.8
dnk,2007,7.7
dnk,2008,7.6
dnk,2009,5.6
dnk,2010,5
dnk,2011,4.1
dnk,2012,3.1
dnk,2013,3.5
dnk,2014,3.5
dnk,2015,3.5
dnk,2016,4
dnk,2017,3.3
dnk,2018,3.2
dnk,2019,3.7
dom,2000,29.4
dom,2001,32.2
dom,2002,36.7
dom,2003,39.2
dom,2004,36
dom,2005,28.9
dom,2006,25.6
dom,2007,24.2
dom,2008,25.9
dom,2009,23.8
dom,2010,27.8
dom,2011,25.7
dom,2012,30.2
dom,2013,40
dom,2014,31.7
dom,2015,32.9
dom,2016,35.4
dom,2017,46.3
dom,2018,53.5
dom,2019,64.6
dza,2000,22.5
dza,2001,22.7
dza,2002,22.8
dza,2003,22.7
dza,2004,22.5
dza,2005,22.1
dza,2006,22.2
dza,2007,22.3
dza,2008,22.4
dza,2009,22.5
dza,2010,22.3
dza,2011,22.3
dza,2012,21.4
dza,2013,21.1
dza,2014,21.2
dza,2015,21.2
dza,2016,21.1
dza,2017,21
dza,2018,21
dza,2019,20.9
ecu,2000,13.5
ecu,2001,14.8
ecu,2002,15
ecu,2003,15.1
ecu,2004,13.8
ecu,2005,17.2
ecu,2006,18.5
ecu,2007,19.1
ecu,2008,19.9
ecu,2009,23
ecu,2010,24.5
ecu,2011,24.7
ecu,2012,22.3
ecu,2013,22.1
ecu,2014,24
ecu,2015,23.5
ecu,2016,21.2
ecu,2017,21.3
ecu,2018,20.7
ecu,2019,20.1
egy,2000,11.2
egy,2001,10.7
egy,2002,11.5
egy,2003,12.3
egy,2004,10.7
egy,2005,10.8
egy,2006,11.1
egy,2007,12.8
egy,2008,13.2
egy,2009,12.9
egy,2010,13.7
egy,2011,13
egy,2012,10.2
egy,2013,10.5
egy,2014,12.3
egy,2015,11.7
egy,2016,9.8
egy,2017,10.6
egy,2018,10.3
egy,2019,10.1
eri,2000,31.3
eri,2001,31.9
eri,2002,32.8
eri,2003,33.3
eri,2004,33.5
eri,2005,33.9
eri,2006,33.7
eri,2007,33.8
eri,2008,33.9
eri,2009,34
eri,2010,34
eri,2011,33.6
eri,2012,33.7
eri,2013,34.5
eri,2014,35
eri,2015,36.9
eri,2016,37.2
eri,2017,36.9
eri,2018,37.4
eri,2019,37.9
esp,2000,15.4
esp,2001,14.4
esp,2002,13.6
esp,2003,13.4
esp,2004,11.7
esp,2005,10.6
esp,2006,9.6
esp,2007,8.7
esp,2008,6.9
esp,2009,6
esp,2010,5.4
esp,2011,4.7
esp,2012,4.3
esp,2013,4
esp,2014,4.2
esp,2015,4.2
esp,2016,4.1
esp,2017,4.2
esp,2018,4.1
esp,2019,3.9
est,2000,17.7
est,2001,16
est,2002,16.7
est,2003,13.6
est,2004,13.9
est,2005,14.7
est,2006,19.3
est,2007,17
est,2008,12.4
est,2009,8.8
est,2010,6.8
est,2011,8.1
est,2012,6.8
est,2013,7.1
est,2014,6.1
est,2015,6.4
est,2016,6.1
est,2017,4.1
est,2018,5.7
est,2019,4.5
eth,2000,24.6
eth,2001,24.5
eth,2002,24.7
eth,2003,25.1
eth,2004,24.8
eth,2005,24.5
eth,2006,23.9
eth,2007,23.5
eth,2008,23.4
eth,2009,23.5
eth,2010,23.3
eth,2011,26
eth,2012,26.2
eth,2013,25.8
eth,2014,25.8
eth,2015,26
eth,2016,26.4
eth,2017,27
eth,2018,27.6
eth,2019,28.2
fin,2000,8.1
fin,2001,8.9
fin,2002,8.5
fin,2003,7.9
fin,2004,7.6
fin,2005,7.4
fin,2006,6.6
fin,2007,7.5
fin,2008,6.7
fin,2009,5.7
fin,2010,5.2
fin,2011,5.6
fin,2012,4.9
fin,2013,4.9
fin,2014,4.4
fin,2015,5.1
fin,2016,4.7
fin,2017,4.4
fin,2018,4.5
fin,2019,3.9
fji,2000,9.7
fji,2001,8
fji,2002,7.5
fji,2003,15.6
fji,2004,13.1
fji,2005,13
fji,2006,15
fji,2007,11
fji,2008,12.5
fji,2009,7.3
fji,2010,9.8
fji,2011,8.8
fji,2012,7.6
fji,2013,6.8
fji,2014,8.1
fji,2015,10.7
fji,2016,9.9
fji,2017,11.1
fji,2018,12.2
fji,2019,13.5
fra,2000,13.4
fra,2001,13.4
fra,2002,12.5
fra,2003,10.1
fra,2004,8.9
fra,2005,9
fra,2006,7.9
fra,2007,7.7
fra,2008,7.1
fra,2009,7
fra,2010,6.5
fra,2011,6.5
fra,2012,5.9
fra,2013,5.3
fra,2014,5.4
fra,2015,5.5
fra,2016,5.5
fra,2017,5.5
fra,2018,5.2
fra,2019,5.1
fsm,2000,14.9
fsm,2001,14.9
fsm,2002,14.9
fsm,2003,15
fsm,2004,4.7
fsm,2005,0
fsm,2006,1.9
fsm,2007,2.9
fsm,2008,1.9
fsm,2009,3.9
fsm,2010,2.9
fsm,2011,0
fsm,2012,0
fsm,2013,1.9
fsm,2014,0.9
fsm,2015,0.9
fsm,2016,1.8
fsm,2017,0.3
fsm,2018,0.2
fsm,2019,0.2
gab,2000,21.2
gab,2001,23.5
gab,2002,23.5
gab,2003,23.1
gab,2004,25.1
gab,2005,22.4
gab,2006,24
gab,2007,24.9
gab,2008,24.2
gab,2009,25.2
gab,2010,24.3
gab,2011,24.3
gab,2012,24.1
gab,2013,23.6
gab,2014,22.8
gab,2015,22.9
gab,2016,23.1
gab,2017,23.9
gab,2018,23.8
gab,2019,23.9
gbr,2000,6.9
gbr,2001,7
gbr,2002,7.1
gbr,2003,7.2
gbr,2004,6.9
gbr,2005,6.6
gbr,2006,6.6
gbr,2007,5.8
gbr,2008,5.2
gbr,2009,4.3
gbr,2010,3.7
gbr,2011,3.4
gbr,2012,3
gbr,2013,2.9
gbr,2014,3.2
gbr,2015,2.9
gbr,2016,3
gbr,2017,3
gbr,2018,3
gbr,2019,3.2
geo,2000,11.8
geo,2001,13.4
geo,2002,12.5
geo,2003,13.9
geo,2004,15.5
geo,2005,14.2
geo,2006,16.6
geo,2007,18.2
geo,2008,21.6
geo,2009,18.5
geo,2010,17.2
geo,2011,13.3
geo,2012,15.4
geo,2013,13.1
geo,2014,14.5
geo,2015,15.8
geo,2016,14.9
geo,2017,13.3
geo,2018,11.8
geo,2019,12.4
gha,2000,25.8
gha,2001,25.8
gha,2002,25.9
gha,2003,25.6
gha,2004,25.4
gha,2005,25.5
gha,2006,24.6
gha,2007,24
gha,2008,23.9
gha,2009,23.9
gha,2010,23.7
gha,2011,23.4
gha,2012,23.3
gha,2013,23.4
gha,2014,24
gha,2015,24.4
gha,2016,24.6
gha,2017,24.9
gha,2018,25.3
gha,2019,25.7
gin,2000,31.1
gin,2001,30.7
gin,2002,30.2
gin,2003,30.3
gin,2004,30.6
gin,2005,30.7
gin,2006,30.7
gin,2007,31.1
gin,2008,30.7
gin,2009,30.6
gin,2010,31
gin,2011,30.6
gin,2012,29.4
gin,2013,29.5
gin,2014,29.8
gin,2015,29.9
gin,2016,29.7
gin,2017,29.8
gin,2018,29.7
gin,2019,29.7
gmb,2000,25.7
gmb,2001,25.5
gmb,2002,25.8
gmb,2003,25.5
gmb,2004,25.9
gmb,2005,26.2
gmb,2006,26.7
gmb,2007,26.5
gmb,2008,26.6
gmb,2009,26.3
gmb,2010,26.5
gmb,2011,26.8
gmb,2012,26.4
gmb,2013,26.7
gmb,2014,27.3
gmb,2015,27.8
gmb,2016,28.2
gmb,2017,28.6
gmb,2018,29.1
gmb,2019,29.6
gnb,2000,30.7
gnb,2001,30.4
gnb,2002,30.6
gnb,2003,31.6
gnb,2004,31.5
gnb,2005,31.5
gnb,2006,31.4
gnb,2007,31.5
gnb,2008,31.1
gnb,2009,31.3
gnb,2010,31.5
gnb,2011,31.2
gnb,2012,31.1
gnb,2013,31.5
gnb,2014,32.2
gnb,2015,32.1
gnb,2016,31.7
gnb,2017,32
gnb,2018,32.1
gnb,2019,32.2
gnq,2000,22.1
gnq,2001,20.4
gnq,2002,20.3
gnq,2003,20.8
gnq,2004,19.8
gnq,2005,20.1
gnq,2006,19.5
gnq,2007,19
gnq,2008,19.2
gnq,2009,19.4
gnq,2010,20.8
gnq,2011,21.3
gnq,2012,22.2
gnq,2013,22.2
gnq,2014,23
gnq,2015,23.8
gnq,2016,24.7
gnq,2017,25.4
gnq,2018,26.3
gnq,2019,27.2
grc,2000,19.9
grc,2001,18.2
grc,2002,16.4
grc,2003,15.8
grc,2004,17.5
grc,2005,16.6
grc,2006,16
grc,2007,16.1
grc,2008,15.5
grc,2009,14.9
grc,2010,13.1
grc,2011,12.3
grc,2012,11.3
grc,2013,10.3
grc,2014,9.3
grc,2015,9.3
grc,2016,9.7
grc,2017,8.6
grc,2018,8.3
grc,2019,8.3
grd,2000,4.9
grd,2001,6.8
grd,2002,7.7
grd,2003,1.9
grd,2004,1.9
grd,2005,12.4
grd,2006,15.2
grd,2007,7.6
grd,2008,11.4
grd,2009,3.8
grd,2010,5.6
grd,2011,8.4
grd,2012,3.7
grd,2013,8.3
grd,2014,4.6
grd,2015,8.2
grd,2016,9.1
grd,2017,7.6
grd,2018,7.8
grd,2019,8
gtm,2000,6.8
gtm,2001,5.6
gtm,2002,4.8
gtm,2003,4.9
gtm,2004,5
gtm,2005,4.4
gtm,2006,4.6
gtm,2007,20.1
gtm,2008,16.6
gtm,2009,15.7
gtm,2010,13.4
gtm,2011,11
gtm,2012,11.5
gtm,2013,13.1
gtm,2014,12.8
gtm,2015,14
gtm,2016,16.6
gtm,2017,18.1
gtm,2018,20.4
gtm,2019,22.9
guy,2000,26.2
guy,2001,24.3
guy,2002,24
guy,2003,28
guy,2004,29.1
guy,2005,28.5
guy,2006,33.2
guy,2007,35.6
guy,2008,23
guy,2009,15.6
guy,2010,18
guy,2011,26.1
guy,2012,20.5
guy,2013,19.8
guy,2014,28.4
guy,2015,24.4
guy,2016,24.6
guy,2017,22.7
guy,2018,22.5
guy,2019,22.3
