geo,time,dt_nfl_mida_cd
cmr,2011,65374000
cmr,2012,85427000
cmr,2013,157569000
cmr,2014,125684000
cmr,2015,92322000
cmr,2016,126755000
cmr,2017,129584000
cmr,2018,126974000
cmr,2019,306978000
cmr,2020,82444000
cod,1970,748000
cod,1971,2101000
cod,1972,5090000
cod,1973,6827000
cod,1974,10050000
cod,1975,11466000
cod,1976,16829000
cod,1977,32398000
cod,1978,26184000
cod,1979,26282000
cod,1980,19589000
cod,1981,17155000
cod,1982,37931000
cod,1983,42109000
cod,1984,50145000
cod,1985,57290000
cod,1986,81287000
cod,1987,213571000
cod,1988,123204000
cod,1989,135493000
cod,1990,87194000
cod,1991,62647000
cod,1992,49089000
cod,1993,45148000
cod,1994,1365000
cod,1996,-7000
cod,1997,-2000
cod,1999,0
cod,2000,0
cod,2001,0
cod,2002,275225000
cod,2003,147356000
cod,2004,166562000
cod,2005,225923000
cod,2006,137766000
cod,2007,97924000
cod,2008,89391000
cod,2009,78145000
cod,2010,17492000
cod,2011,42774000
cod,2012,72980000
cod,2013,2416000
cod,2014,-19361000
cod,2015,-7545000
cod,2016,10833000
cod,2017,65127000
cod,2018,180237000
cod,2019,195428000
cod,2020,178131000
cog,1972,2559000
cog,1973,2618000
cog,1974,4288000
cog,1975,3986000
cog,1976,3640000
cog,1977,1524000
cog,1978,1317000
cog,1979,686000
cog,1980,1078000
cog,1981,14958000
cog,1982,12440000
cog,1983,9133000
cog,1984,4521000
cog,1985,3337000
cog,1986,2149000
cog,1987,1136000
cog,1988,898000
cog,1989,351000
cog,1990,-406000
cog,1991,-118000
cog,1992,-33000
cog,1994,97121000
cog,1995,-1228000
cog,1996,824000
cog,1997,589000
cog,1998,-430000
cog,1999,0
cog,2000,-872000
cog,2001,32399000
cog,2002,-328000
cog,2003,21498000
cog,2004,23624000
cog,2005,29694000
cog,2006,5394000
cog,2007,91000
cog,2008,818000
cog,2009,839000
cog,2010,1547000
cog,2011,2319000
cog,2012,4654000
cog,2013,9993000
cog,2014,9640000
cog,2015,10374000
cog,2016,11738000
cog,2017,18656000
cog,2018,27163000
cog,2019,31169000
cog,2020,53209000
col,1971,-98000
col,1972,1481000
col,1973,2073000
col,1974,-118000
col,1975,-353000
col,1976,-236000
col,1977,-235000
col,1978,-235000
col,1979,-235000
col,1980,-235000
col,1981,-471000
col,1982,-706000
col,1983,-706000
col,1984,-707000
col,1985,-353000
col,1986,-1059000
col,1987,-706000
col,1988,-706000
col,1989,-706000
col,1990,-706000
col,1991,-706000
col,1992,-706000
col,1993,-706000
col,1994,-706000
col,1995,-706000
col,1996,-706000
col,1997,-706000
col,1998,-706000
col,1999,-706000
col,2000,-706000
col,2001,-706000
col,2002,-706000
col,2003,-706000
col,2004,-706000
col,2005,-706000
col,2006,-706000
col,2007,-706000
col,2008,-706000
col,2009,-706000
col,2010,-706000
col,2011,-353000
com,1979,2463000
com,1980,1757000
com,1981,1400000
com,1982,1856000
com,1983,2057000
com,1984,3754000
com,1985,5543000
com,1986,4674000
com,1987,4419000
com,1988,1996000
com,1989,1411000
com,1990,608000
com,1991,1252000
com,1992,2310000
com,1993,4613000
com,1994,7315000
com,1995,9194000
com,1996,6067000
com,1997,4832000
com,1998,2837000
com,1999,-564000
com,2000,1356000
com,2001,10758000
com,2002,11091000
com,2003,7370000
com,2004,1399000
com,2005,640000
com,2006,965000
com,2007,2500000
com,2008,-1184000
com,2009,-2743000
com,2010,-1714000
com,2011,-685000
com,2012,-1047000
com,2013,-4000
com,2014,-174000
com,2015,-288000
com,2016,-285000
com,2017,-282000
com,2018,-313000
com,2019,-317000
com,2020,3542000
cpv,1983,214000
cpv,1984,1056000
cpv,1985,1519000
cpv,1986,1475000
cpv,1987,875000
cpv,1988,1348000
cpv,1989,3464000
cpv,1990,1994000
cpv,1991,2732000
cpv,1992,1210000
cpv,1993,3444000
cpv,1994,4890000
cpv,1995,5906000
cpv,1996,7442000
cpv,1997,8173000
cpv,1998,22497000
cpv,1999,23833000
cpv,2000,10168000
cpv,2001,15734000
cpv,2002,21661000
cpv,2003,18290000
cpv,2004,12687000
cpv,2005,25801000
cpv,2006,20549000
cpv,2007,20946000
cpv,2008,18230000
cpv,2009,488000
cpv,2010,21697000
cpv,2011,-1980000
cpv,2012,11762000
cpv,2013,4255000
cpv,2014,21261000
cpv,2015,11749000
cpv,2016,-3744000
cpv,2017,-5264000
cpv,2018,226000
cpv,2019,58790000
cpv,2020,52315000
cri,1971,-23000
cri,1972,-47000
cri,1973,-53000
cri,1974,-54000
cri,1975,-55000
cri,1976,-54000
cri,1977,-55000
cri,1978,-55000
cri,1979,-55000
cri,1980,-55000
cri,1981,-110000
cri,1982,-82000
cri,1983,-248000
cri,1984,-164000
cri,1985,-165000
cri,1986,-164000
cri,1987,-82000
cri,1988,-165000
cri,1989,-165000
cri,1990,-165000
cri,1991,-247000
cri,1992,-165000
cri,1993,-165000
cri,1994,-165000
cri,1995,-165000
cri,1996,-165000
cri,1997,-165000
cri,1998,-165000
cri,1999,-165000
cri,2000,-165000
cri,2001,-165000
cri,2002,-165000
cri,2003,-165000
cri,2004,-165000
cri,2005,-165000
cri,2006,-165000
cri,2007,-165000
cri,2008,-165000
cri,2009,-165000
cri,2010,-165000
cri,2011,-82000
cze,1970,0
cze,1971,0
cze,1972,0
cze,1973,0
cze,1974,0
cze,1975,0
cze,1976,0
cze,1977,0
cze,1978,0
cze,1979,0
cze,1980,0
cze,1981,0
cze,1982,0
cze,1983,0
cze,1984,0
cze,1985,0
cze,1986,0
cze,1987,0
cze,1988,0
cze,1989,0
cze,1990,0
cze,1991,0
cze,1992,0
cze,1993,0
cze,1994,0
cze,1995,0
cze,1996,0
cze,1997,0
cze,1998,0
cze,1999,0
cze,2000,0
cze,2001,0
cze,2002,0
cze,2003,0
cze,2004,0
cze,2005,0
cze,2006,0
cze,2007,0
cze,2008,0
cze,2009,0
dji,1983,535000
dji,1984,792000
dji,1985,5026000
dji,1986,3665000
dji,1987,6920000
dji,1988,5331000
dji,1989,1870000
dji,1990,2475000
dji,1991,2875000
dji,1992,3188000
dji,1993,3419000
dji,1994,1193000
dji,1995,2432000
dji,1996,1042000
dji,1997,2984000
dji,1998,1659000
dji,1999,655000
dji,2000,3388000
dji,2001,8246000
dji,2002,17141000
dji,2003,24869000
dji,2004,8662000
dji,2005,3370000
dji,2006,7067000
dji,2007,7952000
dji,2008,5583000
dji,2009,5544000
dji,2010,-848000
dji,2011,-1668000
dji,2012,-1992000
dji,2013,-3403000
dji,2014,-2418000
dji,2015,-711000
dji,2016,1961000
dji,2017,7832000
dji,2018,12113000
dji,2019,9977000
dji,2020,22488000
dma,1983,1219000
dma,1984,2124000
dma,1985,984000
dma,1986,69000
dma,1987,1068000
dma,1988,363000
dma,1989,1664000
dma,1990,870000
dma,1991,617000
