geo,time,sn_itk_salt_zs
npl,2016,96.5
npl,2017,94.2
omn,2014,87.7
pak,2011,69.1
per,2000,97
per,2008,92.1
per,2010,90.1
per,2011,92
per,2012,92.3
per,2013,91.5
per,2014,90.2
per,2015,88.2
per,2016,87.1
per,2017,88.2
per,2018,88.7
phl,1999,22.9
phl,2014,52.4
png,2005,59.7
pry,1996,84.1
pry,2011,93.4
pse,2004,83
pse,2007,96.8
pse,2010,91
pse,2013,90.5
pse,2014,88.2
rwa,2000,98
rwa,2005,97.1
rwa,2011,91.1
rwa,2015,90.5
sau,2012,69.8
sdn,2010,14.6
sdn,2014,34.4
sen,2000,29.4
sen,2005,64.1
sen,2011,43.1
sen,2013,50.6
sen,2014,56.7
sen,2015,50.6
sen,2016,56.7
sen,2017,61.9
slb,2015,88.4
sle,2000,40.3
sle,2005,71.3
sle,2007,68.1
sle,2008,75.5
sle,2010,77.2
sle,2013,74.4
sle,2017,85.3
som,2006,7.6
som,2009,6.9
ssd,2010,60
stp,2000,81.7
stp,2009,71.3
stp,2014,90.8
swz,2000,85.1
swz,2007,93.2
swz,2010,85.4
swz,2014,90.4
syr,2009,65.4
tcd,1997,56.4
tcd,2000,64.6
tcd,2004,66.1
tcd,2010,73.6
tcd,2015,76.5
tgo,2006,74.7
tgo,2010,81.4
tgo,2014,77
tha,2006,57.6
tha,2013,82.8
tha,2016,84.7
tjk,2000,35
tjk,2005,68.6
tjk,2007,85
tjk,2009,82.7
tjk,2012,83.8
tjk,2017,91.4
tkm,2006,96.4
tkm,2016,99.7
tls,2008,75.6
tls,2013,94.9
tls,2016,83.5
tto,2000,13.8
tto,2006,52.5
tto,2011,62.6
tur,2004,59.2
tur,2008,85.3
tza,1999,66.8
tza,2005,68.5
tza,2010,77.9
tza,2011,80.2
tza,2013,73.1
tza,2015,80.7
tza,2016,76
uga,1995,68
uga,2001,89
uga,2006,88.1
uga,2011,91.5
uga,2016,91.3
ukr,2005,33.7
ukr,2012,36
uzb,2000,51
uzb,2006,81.5
vnm,2000,58.5
vnm,2011,60.9
vut,2007,32.6
vut,2013,62.6
wsm,2014,96.4
yem,2003,58.2
yem,2013,48.6
zaf,2016,91.1
zmb,1997,80.2
zmb,1999,55.5
zmb,2002,79.7
zmb,2014,88.4
zwe,2011,92.7
