geo,time,sh_sta_smss_ru_zs
eth,2011,2.73741
eth,2012,2.91763
eth,2013,3.0861
eth,2014,3.24833
eth,2015,3.40866
eth,2016,3.56296
eth,2017,3.71125
eth,2018,3.85352
eth,2019,3.98979
eth,2020,4.12008
gbr,2000,93.50986
gbr,2001,93.50986
gbr,2002,93.50986
gbr,2003,93.50986
gbr,2004,93.50986
gbr,2005,93.50986
gbr,2006,93.50986
gbr,2007,93.51999
gbr,2008,93.53012
gbr,2009,93.54025
gbr,2010,93.55038
gbr,2011,93.56051
gbr,2012,93.57065
gbr,2013,93.57627
gbr,2014,93.57627
gbr,2015,93.57627
gbr,2016,93.57627
gbr,2017,93.57627
gbr,2018,93.57627
gbr,2019,93.57627
gbr,2020,93.57627
geo,2000,56.68894
geo,2001,56.10231
geo,2002,55.47629
geo,2003,54.85027
geo,2004,54.24402
geo,2005,53.63732
geo,2006,53.03015
geo,2007,52.42254
geo,2008,51.81446
geo,2009,51.20593
geo,2010,50.59694
geo,2011,49.9875
geo,2012,49.3776
geo,2013,48.76724
geo,2014,48.15642
geo,2015,47.54515
geo,2016,46.93343
geo,2017,46.32124
geo,2018,45.7086
geo,2019,45.09551
geo,2020,44.48195
gha,2000,2.57759
gha,2001,2.6206
gha,2002,3.13701
gha,2003,3.66806
gha,2004,4.21406
gha,2005,4.77502
gha,2006,5.35092
gha,2007,5.94177
gha,2008,6.54757
gha,2009,7.16832
gha,2010,7.80402
gha,2011,8.45467
gha,2012,9.12027
gha,2013,9.80082
gha,2014,10.49633
gha,2015,11.20678
gha,2016,11.93218
gha,2017,12.67253
gha,2018,13.42783
gha,2019,14.19808
gha,2020,14.98328
gmb,2000,57.27721
gmb,2001,55.56507
gmb,2002,53.85292
gmb,2003,52.2774
gmb,2004,50.69291
gmb,2005,49.1039
gmb,2006,47.50594
gmb,2007,45.89902
gmb,2008,44.28316
gmb,2009,42.65835
gmb,2010,41.02459
gmb,2011,39.38188
gmb,2012,37.73022
gmb,2013,36.06961
gmb,2014,34.40005
gmb,2015,32.72154
gmb,2016,31.03408
gmb,2017,29.33767
gmb,2018,27.63231
gmb,2019,25.91801
gmb,2020,24.19427
gnb,2000,0.46398
gnb,2001,0.63965
gnb,2002,0.81532
gnb,2003,0.99099
gnb,2004,1.16666
gnb,2005,1.34711
gnb,2006,1.52882
gnb,2007,1.71179
gnb,2008,1.896
gnb,2009,2.08147
gnb,2010,2.26819
gnb,2011,2.45616
gnb,2012,2.64539
gnb,2013,2.83586
gnb,2014,3.02759
gnb,2015,3.22058
gnb,2016,3.41481
gnb,2017,3.6103
gnb,2018,3.80704
gnb,2019,4.00504
gnb,2020,4.20428
hnd,2000,46.2901
hnd,2001,47.52982
hnd,2002,48.76153
hnd,2003,49.98522
hnd,2004,51.2009
hnd,2005,52.40858
hnd,2006,53.60824
hnd,2007,54.79989
hnd,2008,55.98353
hnd,2009,57.15915
hnd,2010,58.32677
hnd,2011,59.48637
hnd,2012,60.63796
hnd,2013,61.78154
hnd,2014,62.91711
hnd,2015,64.04467
hnd,2016,65.36284
hnd,2017,66.68102
hnd,2018,67.99919
hnd,2019,69.31737
hnd,2020,70.63554
hun,2000,62.47995
hun,2001,62.05953
hun,2002,61.63911
hun,2003,61.21869
hun,2004,62.18418
hun,2005,63.21696
hun,2006,64.31703
hun,2007,65.4844
hun,2008,66.71905
hun,2009,68.02098
hun,2010,69.39021
hun,2011,70.82673
hun,2012,72.33054
hun,2013,73.90163
hun,2014,75.54002
hun,2015,77.24569
hun,2016,78.13267
hun,2017,79.40927
hun,2018,80.68587
hun,2019,80.68587
hun,2020,80.68587
ind,2000,0.92512
ind,2001,2.30272
ind,2002,3.69868
ind,2003,5.87379
ind,2004,8.69782
ind,2005,11.13094
ind,2006,13.58743
ind,2007,16.07429
ind,2008,18.58467
ind,2009,21.11858
ind,2010,23.67601
ind,2011,26.25697
ind,2012,28.86145
ind,2013,31.48946
ind,2014,34.141
ind,2015,36.81607
ind,2016,39.51467
ind,2017,42.23681
ind,2018,44.9746
ind,2019,47.73576
ind,2020,50.52029
irl,2000,62.41277
irl,2001,62.83922
irl,2002,63.27719
irl,2003,63.72668
irl,2004,64.18768
irl,2005,64.66019
irl,2006,65.14422
irl,2007,65.63977
irl,2008,66.14683
irl,2009,66.6654
irl,2010,67.19549
irl,2011,67.73709
irl,2012,68.29021
irl,2013,69.09398
irl,2014,69.90446
irl,2015,70.72165
irl,2016,71.54555
irl,2017,72.23625
irl,2018,72.49793
irl,2019,72.72506
irl,2020,72.95219
irq,2000,32.86758
irq,2001,34.24513
irq,2002,35.62269
irq,2003,37.00024
irq,2004,38.37779
irq,2005,38.80472
irq,2006,39.23157
irq,2007,39.65833
irq,2008,40.08501
irq,2009,40.53077
irq,2010,40.98034
irq,2011,41.43384
irq,2012,41.89138
irq,2013,42.35305
irq,2014,42.81899
irq,2015,43.28928
irq,2016,43.76405
irq,2017,44.24341
irq,2018,44.72745
irq,2019,45.15619
irq,2020,44.39321
isr,2000,78.37458
isr,2001,79.10828
isr,2002,79.84198
isr,2003,80.57567
isr,2004,81.30937
isr,2005,82.04307
isr,2006,82.77677
isr,2007,83.51046
isr,2008,84.24416
isr,2009,84.97786
isr,2010,85.71156
isr,2011,86.41285
isr,2012,87.11389
isr,2013,87.81466
isr,2014,88.51517
isr,2015,89.21542
isr,2016,89.91541
isr,2017,90.61513
isr,2018,91.31459
isr,2019,92.01379
isr,2020,92.71273
ita,2000,94.23277
ita,2001,94.23277
ita,2002,94.23277
ita,2003,94.23277
ita,2004,94.23704
ita,2005,94.2413
ita,2006,94.24556
ita,2007,94.24983
ita,2008,94.25409
ita,2009,94.25836
ita,2010,94.26262
ita,2011,94.26689
ita,2012,94.27115
ita,2013,94.27542
ita,2014,94.27968
ita,2015,94.28394
ita,2016,94.28821
ita,2017,94.29247
ita,2018,94.29247
ita,2019,94.29247
ita,2020,94.29247
ken,2000,27.0261
ken,2001,27.26098
ken,2002,27.39452
ken,2003,27.52633
ken,2004,27.65641
ken,2005,27.78476
ken,2006,27.91137
ken,2007,28.03626
ken,2008,28.15941
ken,2009,28.28084
ken,2010,28.40053
ken,2011,28.51849
ken,2012,28.63472
ken,2013,28.74921
ken,2014,28.86198
ken,2015,28.97301
ken,2016,29.08232
ken,2017,29.18989
ken,2018,29.29573
ken,2019,29.39984
ken,2020,29.47861
kgz,2000,89.25491
kgz,2001,89.28843
kgz,2002,89.71789
kgz,2003,90.14368
kgz,2004,90.5658
kgz,2005,91.07303
kgz,2006,91.5663
kgz,2007,92.04756
kgz,2008,92.5259
kgz,2009,93.0013
kgz,2010,93.47375
kgz,2011,93.94325
kgz,2012,94.40978
kgz,2013,94.87334
