geo,time,ic_isv_durs
cri,2011,3.5
cri,2012,3.5
cri,2013,3
cri,2014,3
cri,2015,3
cri,2016,3
cri,2017,3
cri,2018,3
cri,2019,3
cyp,2008,1.5
cyp,2009,1.5
cyp,2010,1.5
cyp,2011,1.5
cyp,2012,1.5
cyp,2013,1.5
cyp,2014,1.5
cyp,2015,1.5
cyp,2016,1.5
cyp,2017,1.5
cyp,2018,1.5
cyp,2019,1.5
cze,2003,9.2
cze,2004,9.2
cze,2005,9.2
cze,2006,9.2
cze,2007,6.5
cze,2008,6.5
cze,2009,6.5
cze,2010,3.2
cze,2011,3.2
cze,2012,3.2
cze,2013,2.1
cze,2014,2.1
cze,2015,2.1
cze,2016,2.1
cze,2017,2.1
cze,2018,2.1
cze,2019,2.1
deu,2003,1.2
deu,2004,1.2
deu,2005,1.2
deu,2006,1.2
deu,2007,1.2
deu,2008,1.2
deu,2009,1.2
deu,2010,1.2
deu,2011,1.2
deu,2012,1.2
deu,2013,1.2
deu,2014,1.2
deu,2015,1.2
deu,2016,1.2
deu,2017,1.2
deu,2018,1.2
deu,2019,1.2
dji,2005,2.3
dji,2006,2.3
dji,2007,2.3
dji,2008,2.3
dji,2009,2.3
dji,2010,2.3
dji,2011,2.3
dji,2012,2.3
dji,2013,2.3
dji,2014,2.3
dji,2015,2.3
dji,2016,2.3
dji,2017,2.3
dji,2018,2.3
dji,2019,1.5
dma,2005,4
dma,2006,4
dma,2007,4
dma,2008,4
dma,2009,4
dma,2010,4
dma,2011,4
dma,2012,4
dma,2013,4
dma,2014,4
dma,2015,4
dma,2016,4
dma,2017,4
dma,2018,4
dma,2019,4
dnk,2003,3.3
dnk,2004,3.3
dnk,2005,3.3
dnk,2006,3
dnk,2007,1.1
dnk,2008,1.1
dnk,2009,1.1
dnk,2010,1.1
dnk,2011,1
dnk,2012,1
dnk,2013,1
dnk,2014,1
dnk,2015,1
dnk,2016,1
dnk,2017,1
dnk,2018,1
dnk,2019,1
dom,2003,3.5
dom,2004,3.5
dom,2005,3.5
dom,2006,3.5
dom,2007,3.5
dom,2008,3.5
dom,2009,3.5
dom,2010,3.5
dom,2011,3.5
dom,2012,3.5
dom,2013,3.5
dom,2014,3.5
dom,2015,3.5
dom,2016,3.5
dom,2017,3.5
dom,2018,3.5
dom,2019,3.5
dza,2003,1.3
dza,2004,1.3
dza,2005,1.3
dza,2006,1.3
dza,2007,1.3
dza,2008,1.3
dza,2009,1.3
dza,2010,1.3
dza,2011,1.3
dza,2012,1.3
dza,2013,1.3
dza,2014,1.3
dza,2015,1.3
dza,2016,1.3
dza,2017,1.3
dza,2018,1.3
dza,2019,1.3
ecu,2003,5.3
ecu,2004,5.3
ecu,2005,5.3
ecu,2006,5.3
ecu,2007,5.3
ecu,2008,5.3
ecu,2009,5.3
ecu,2010,5.3
ecu,2011,5.3
ecu,2012,5.3
ecu,2013,5.3
ecu,2014,5.3
ecu,2015,5.3
ecu,2016,5.3
ecu,2017,5.3
ecu,2018,5.3
ecu,2019,5.3
egy,2003,4.2
egy,2004,4.2
egy,2005,4.2
egy,2006,4.2
egy,2007,4.2
egy,2008,4.2
egy,2009,4.2
egy,2010,4.2
egy,2011,2.5
egy,2012,2.5
egy,2013,2.5
egy,2014,2.5
egy,2015,2.5
egy,2016,2.5
egy,2017,2.5
egy,2018,2.5
egy,2019,2.5
esp,2003,1.5
esp,2004,1.5
esp,2005,1.5
esp,2006,1.5
esp,2007,1.5
esp,2008,1.5
esp,2009,1.5
esp,2010,1.5
esp,2011,1.5
esp,2012,1.5
esp,2013,1.5
esp,2014,1.5
esp,2015,1.5
esp,2016,1.5
esp,2017,1.5
esp,2018,1.5
esp,2019,1.5
est,2003,3
est,2004,3
est,2005,3
est,2006,3
est,2007,3
est,2008,3
est,2009,3
est,2010,3
est,2011,3
est,2012,3
est,2013,3
est,2014,3
est,2015,3
est,2016,3
est,2017,3
est,2018,3
est,2019,3
eth,2003,3
eth,2004,3
eth,2005,3
eth,2006,3
eth,2007,3
eth,2008,3
eth,2009,3
eth,2010,3
eth,2011,3
eth,2012,3
eth,2013,3
eth,2014,3
eth,2015,3
eth,2016,3
eth,2017,3
eth,2018,3
eth,2019,3
fin,2003,0.9
fin,2004,0.9
fin,2005,0.9
fin,2006,0.9
fin,2007,0.9
fin,2008,0.9
fin,2009,0.9
fin,2010,0.9
fin,2011,0.9
fin,2012,0.9
fin,2013,0.9
fin,2014,0.9
fin,2015,0.9
fin,2016,0.9
fin,2017,0.9
fin,2018,0.9
fin,2019,0.9
fji,2003,1.8
fji,2004,1.8
fji,2005,1.8
fji,2006,1.8
fji,2007,1.8
fji,2008,1.8
fji,2009,1.8
fji,2010,1.8
fji,2011,1.8
fji,2012,1.8
fji,2013,1.8
fji,2014,1.8
fji,2015,1.8
fji,2016,1.8
fji,2017,1.8
fji,2018,1.8
fji,2019,1.8
fra,2003,1.9
fra,2004,1.9
fra,2005,1.9
fra,2006,1.9
fra,2007,1.9
fra,2008,1.9
fra,2009,1.9
fra,2010,1.9
fra,2011,1.9
fra,2012,1.9
fra,2013,1.9
fra,2014,1.9
fra,2015,1.9
fra,2016,1.9
fra,2017,1.9
fra,2018,1.9
fra,2019,1.9
fsm,2003,5.3
fsm,2004,5.3
fsm,2005,5.3
fsm,2006,5.3
fsm,2007,5.3
fsm,2008,5.3
fsm,2009,5.3
fsm,2010,5.3
fsm,2011,5.3
fsm,2012,5.3
fsm,2013,5.3
fsm,2014,5.3
fsm,2015,5.3
fsm,2016,5.3
fsm,2017,5.3
fsm,2018,5.3
fsm,2019,5.3
gab,2005,5
gab,2006,5
gab,2007,5
gab,2008,5
gab,2009,5
gab,2010,5
gab,2011,5
gab,2012,5
gab,2013,5
gab,2014,5
gab,2015,5
gab,2016,5
gab,2017,5
gab,2018,5
gab,2019,5
gbr,2003,1
gbr,2004,1
gbr,2005,1
gbr,2006,1
gbr,2007,1
gbr,2008,1
gbr,2009,1
gbr,2010,1
gbr,2011,1
gbr,2012,1
gbr,2013,1
gbr,2014,1
gbr,2015,1
gbr,2016,1
gbr,2017,1
gbr,2018,1
gbr,2019,1
geo,2003,3.3
geo,2004,3.3
geo,2005,3.3
geo,2006,3.3
geo,2007,3.3
geo,2008,3.3
geo,2009,3.3
geo,2010,2
geo,2011,2
geo,2012,2
geo,2013,2
geo,2014,2
geo,2015,2
geo,2016,2
geo,2017,2
geo,2018,2
geo,2019,2
gha,2003,1.9
gha,2004,1.9
gha,2005,1.9
gha,2006,1.9
gha,2007,1.9
gha,2008,1.9
gha,2009,1.9
gha,2010,1.9
gha,2011,1.9
gha,2012,1.9
gha,2013,1.9
gha,2014,1.9
gha,2015,1.9
gha,2016,1.9
gha,2017,1.9
gha,2018,1.9
gha,2019,1.9
gin,2003,3.8
gin,2004,3.8
gin,2005,3.8
gin,2006,3.8
gin,2007,3.8
gin,2008,3.8
gin,2009,3.8
gin,2010,3.8
gin,2011,3.8
gin,2012,3.8
gin,2013,3.8
gin,2014,3.8
gin,2015,3.8
gin,2016,3.8
gin,2017,3.8
gin,2018,3.8
gin,2019,3.8
gmb,2005,2
gmb,2006,2
gmb,2007,2
gmb,2008,2
gmb,2009,2
gmb,2010,2
gmb,2011,2
gmb,2012,2
gmb,2013,2
gmb,2014,2
gmb,2015,2
gmb,2016,2
gmb,2017,2
gmb,2018,2
gmb,2019,2
grc,2003,2
grc,2004,2
grc,2005,2
grc,2006,2
grc,2007,2
grc,2008,2
grc,2009,2
grc,2010,2
grc,2011,2
grc,2012,2.5
grc,2013,3.5
grc,2014,3.5
grc,2015,3.5
grc,2016,3.5
grc,2017,3.5
grc,2018,3.5
grc,2019,3.5
gtm,2003,3
gtm,2004,3
gtm,2005,3
gtm,2006,3
gtm,2007,3
gtm,2008,3
gtm,2009,3
gtm,2010,3
gtm,2011,3
gtm,2012,3
gtm,2013,3
gtm,2014,3
gtm,2015,3
gtm,2016,3
gtm,2017,3
gtm,2018,3
gtm,2019,3
guy,2004,3
guy,2005,3
guy,2006,3
guy,2007,3
guy,2008,3
guy,2009,3
guy,2010,3
guy,2011,3
guy,2012,3
guy,2013,3
guy,2014,3
guy,2015,3
guy,2016,3
guy,2017,3
guy,2018,3
guy,2019,3
hkg,2003,1.1
hkg,2004,1.1
hkg,2005,1.1
hkg,2006,1.1
hkg,2007,1.1
hkg,2008,1.1
hkg,2009,1.1
hkg,2010,1.1
hkg,2011,1.1
hkg,2012,1.1
hkg,2013,1.1
hkg,2014,0.8
hkg,2015,0.8
hkg,2016,0.8
hkg,2017,0.8
hkg,2018,0.8
hkg,2019,0.8
hnd,2003,3.8
hnd,2004,3.8
hnd,2005,3.8
hnd,2006,3.8
hnd,2007,3.8
hnd,2008,3.8
hnd,2009,3.8
hnd,2010,3.8
hnd,2011,3.8
hnd,2012,3.8
hnd,2013,3.8
hnd,2014,3.8
hnd,2015,3.8
hnd,2016,3.8
hnd,2017,3.8
hnd,2018,3.8
hnd,2019,3.8
hrv,2003,3.1
hrv,2004,3.1
hrv,2005,3.1
hrv,2006,3.1
hrv,2007,3.1
hrv,2008,3.1
hrv,2009,3.1
hrv,2010,3.1
hrv,2011,3.1
hrv,2012,3.1
hrv,2013,3.1
hrv,2014,3.1
hrv,2015,3.1
hrv,2016,3.1
hrv,2017,3.1
hrv,2018,3.1
hrv,2019,3.1
hun,2003,2
hun,2004,2
hun,2005,2
hun,2006,2
hun,2007,2
hun,2008,2
hun,2009,2
hun,2010,2
hun,2011,2
hun,2012,2
hun,2013,2
hun,2014,2
hun,2015,2
hun,2016,2
hun,2017,2
hun,2018,2
hun,2019,2
idn,2013,1.1
idn,2014,1.1
idn,2015,1.1
idn,2016,1.1
idn,2017,1.1
idn,2018,1.1
idn,2019,1.1
ind,2013,4.3
ind,2014,4.3
ind,2015,4.3
ind,2016,4.3
ind,2017,4.3
ind,2018,4.3
ind,2019,1.6
irl,2003,0.4
irl,2004,0.4
irl,2005,0.4
irl,2006,0.4
irl,2007,0.4
irl,2008,0.4
irl,2009,0.4
irl,2010,0.4
irl,2011,0.4
irl,2012,0.4
irl,2013,0.4
irl,2014,0.4
irl,2015,0.4
irl,2016,0.4
irl,2017,0.4
irl,2018,0.4
irl,2019,0.4
irn,2003,1.5
irn,2004,1.5
irn,2005,1.5
irn,2006,1.5
irn,2007,1.5
irn,2008,1.5
irn,2009,1.5
irn,2010,1.5
irn,2011,1.5
irn,2012,1.5
irn,2013,1.5
irn,2014,1.5
irn,2015,1.5
irn,2016,1.5
irn,2017,1.5
irn,2018,1.5
irn,2019,1.5
isl,2004,1
isl,2005,1
isl,2006,1
isl,2007,1
isl,2008,1
isl,2009,1
isl,2010,1
isl,2011,1
isl,2012,1
isl,2013,1
isl,2014,1
isl,2015,1
isl,2016,1
isl,2017,1
isl,2018,1
isl,2019,1
isr,2003,3
isr,2004,3
isr,2005,3
isr,2006,3
isr,2007,3
isr,2008,3
isr,2009,3
isr,2010,3
isr,2011,3
isr,2012,2.5
isr,2013,2
isr,2014,2
isr,2015,2
isr,2016,2
isr,2017,2
isr,2018,2
isr,2019,2
ita,2003,1.8
ita,2004,1.8
ita,2005,1.8
ita,2006,1.8
ita,2007,1.8
ita,2008,1.8
ita,2009,1.8
ita,2010,1.8
ita,2011,1.8
ita,2012,1.8
ita,2013,1.8
ita,2014,1.8
ita,2015,1.8
ita,2016,1.8
ita,2017,1.8
ita,2018,1.8
ita,2019,1.8
jam,2003,1.1
jam,2004,1.1
jam,2005,1.1
jam,2006,1.1
jam,2007,1.1
jam,2008,1.1
jam,2009,1.1
jam,2010,1.1
jam,2011,1.1
jam,2012,1.1
jam,2013,1.1
jam,2014,1.1
jam,2015,1.1
jam,2016,1.1
jam,2017,1.1
jam,2018,1.1
jam,2019,1.1
jor,2003,3
jor,2004,3
jor,2005,3
jor,2006,3
jor,2007,3
jor,2008,3
jor,2009,3
jor,2010,3
jor,2011,3
jor,2012,3
jor,2013,3
jor,2014,3
jor,2015,3
jor,2016,3
jor,2017,3
jor,2018,3
jor,2019,3
jpn,2013,0.6
jpn,2014,0.6
jpn,2015,0.6
jpn,2016,0.6
jpn,2017,0.6
jpn,2018,0.6
jpn,2019,0.6
kaz,2003,1.5
kaz,2004,1.5
kaz,2005,1.5
kaz,2006,1.5
kaz,2007,1.5
kaz,2008,1.5
kaz,2009,1.5
kaz,2010,1.5
kaz,2011,1.5
kaz,2012,1.5
kaz,2013,1.5
kaz,2014,1.5
kaz,2015,1.5
kaz,2016,1.5
kaz,2017,1.5
kaz,2018,1.5
kaz,2019,1.5
ken,2003,4.5
ken,2004,4.5
ken,2005,4.5
ken,2006,4.5
ken,2007,4.5
ken,2008,4.5
ken,2009,4.5
ken,2010,4.5
ken,2011,4.5
ken,2012,4.5
ken,2013,4.5
ken,2014,4.5
ken,2015,4.5
ken,2016,4.5
ken,2017,4.5
ken,2018,4.5
ken,2019,4.5
kgz,2003,1.5
kgz,2004,1.5
kgz,2005,1.5
kgz,2006,1.5
kgz,2007,1.5
kgz,2008,1.5
kgz,2009,1.5
kgz,2010,1.5
kgz,2011,1.5
kgz,2012,1.5
kgz,2013,1.5
kgz,2014,1.5
kgz,2015,1.5
kgz,2016,1.5
kgz,2017,1.5
kgz,2018,1.5
kgz,2019,1.5
khm,2003,6
khm,2004,6
khm,2005,6
khm,2006,6
khm,2007,6
khm,2008,6
khm,2009,6
khm,2010,6
khm,2011,6
khm,2012,6
khm,2013,6
khm,2014,6
khm,2015,6
khm,2016,6
khm,2017,6
khm,2018,6
khm,2019,6
kor,2003,1.5
kor,2004,1.5
kor,2005,1.5
kor,2006,1.5
kor,2007,1.5
kor,2008,1.5
kor,2009,1.5
kor,2010,1.5
kor,2011,1.5
kor,2012,1.5
kor,2013,1.5
kor,2014,1.5
kor,2015,1.5
kor,2016,1.5
kor,2017,1.5
kor,2018,1.5
kor,2019,1.5
kos,2009,2
kos,2010,2
kos,2011,2
kos,2012,2
kos,2013,2
kos,2014,2
kos,2015,2
kos,2016,2
kos,2017,2
kos,2018,2
kos,2019,2
kwt,2003,4.2
kwt,2004,4.2
kwt,2005,4.2
kwt,2006,4.2
kwt,2007,4.2
kwt,2008,4.2
kwt,2009,4.2
kwt,2010,4.2
kwt,2011,4.2
kwt,2012,4.2
kwt,2013,4.2
kwt,2014,4.2
kwt,2015,4.2
kwt,2016,4.2
kwt,2017,4.2
kwt,2018,4.2
kwt,2019,4.2
lbn,2003,3
lbn,2004,3
lbn,2005,3
lbn,2006,3
lbn,2007,3
lbn,2008,3
lbn,2009,3
lbn,2010,3
lbn,2011,3
lbn,2012,3
lbn,2013,3
lbn,2014,3
lbn,2015,3
lbn,2016,3
lbn,2017,3
lbn,2018,3
lbn,2019,3
lbr,2006,3
lbr,2007,3
lbr,2008,3
lbr,2009,3
lbr,2010,3
lbr,2011,3
lbr,2012,3
lbr,2013,3
lbr,2014,3
lbr,2015,3
lbr,2016,3
lbr,2017,3
lbr,2018,3
lbr,2019,3
lca,2005,2
lca,2006,2
lca,2007,2
lca,2008,2
lca,2009,2
lca,2010,2
lca,2011,2
lca,2012,2
lca,2013,2
lca,2014,2
lca,2015,2
lca,2016,2
lca,2017,2
lca,2018,2
lca,2019,2
lie,2018,1.5
lie,2019,1.5
lka,2003,1.7
lka,2004,1.7
lka,2005,1.7
lka,2006,1.7
lka,2007,1.7
lka,2008,1.7
lka,2009,1.7
lka,2010,1.7
lka,2011,1.7
lka,2012,1.7
lka,2013,1.7
lka,2014,1.7
lka,2015,1.7
lka,2016,1.7
lka,2017,1.7
lka,2018,1.7
lka,2019,1.7
lso,2003,2.6
lso,2004,2.6
lso,2005,2.6
lso,2006,2.6
lso,2007,2.6
lso,2008,2.6
lso,2009,2.6
lso,2010,2.6
lso,2011,2.6
lso,2012,2.6
lso,2013,2.6
lso,2014,2.6
lso,2015,2.6
lso,2016,2.6
lso,2017,2.6
lso,2018,2.6
lso,2019,2.6
ltu,2003,2
ltu,2004,1.7
ltu,2005,1.7
ltu,2006,1.7
ltu,2007,1.7
ltu,2008,1.7
ltu,2009,1.5
ltu,2010,1.7
ltu,2011,1.8
ltu,2012,1.8
ltu,2013,1.9
ltu,2014,2.3
ltu,2015,2.3
ltu,2016,2.3
ltu,2017,2.3
ltu,2018,2.3
ltu,2019,2.3
lux,2006,2
lux,2007,2
lux,2008,2
lux,2009,2
lux,2010,2
lux,2011,2
lux,2012,2
lux,2013,2
lux,2014,2
lux,2015,2
lux,2016,2
lux,2017,2
lux,2018,2
lux,2019,2
lva,2003,3
lva,2004,3
lva,2005,3
lva,2006,3
lva,2007,3
lva,2008,3
lva,2009,3
lva,2010,3
lva,2011,1.5
lva,2012,1.5
lva,2013,1.5
lva,2014,1.5
lva,2015,1.5
lva,2016,1.5
lva,2017,1.5
lva,2018,1.5
lva,2019,1.5
mar,2003,1.8
mar,2004,1.8
mar,2005,1.8
mar,2006,1.8
mar,2007,1.8
mar,2008,1.8
mar,2009,1.8
mar,2010,3.5
mar,2011,3.5
mar,2012,3.5
mar,2013,3.5
mar,2014,3.5
mar,2015,3.5
mar,2016,3.5
mar,2017,3.5
mar,2018,3.5
mar,2019,3.5
mda,2003,2.8
mda,2004,2.8
mda,2005,2.8
mda,2006,2.8
mda,2007,2.8
mda,2008,2.8
mda,2009,2.8
mda,2010,2.8
mda,2011,2.8
mda,2012,2.8
mda,2013,2.8
mda,2014,2.8
mda,2015,2.8
mda,2016,2.8
mda,2017,2.8
mda,2018,2.8
mda,2019,2.8
mdg,2003,3
mdg,2004,3
mdg,2005,3
mdg,2006,3
mdg,2007,3
mdg,2008,3
mdg,2009,3
mdg,2010,3
mdg,2011,3
mdg,2012,3
mdg,2013,3
mdg,2014,3
mdg,2015,3
mdg,2016,3
mdg,2017,3
mdg,2018,3
mdg,2019,3
mdv,2003,1.5
mdv,2004,1.5
mdv,2005,1.5
mdv,2006,1.5
mdv,2007,1.5
mdv,2008,1.5
