geo,time,se_prm_oenr_zs
bra,2008,19.85654
bra,2009,19.92514
bra,2010,20.48948
bra,2011,20.74503
bra,2012,20.3251
bra,2013,16.54675
bra,2014,15.69987
bra,2015,14.70214
bra,2016,13.99844
bra,2017,14.46358
brb,1971,15.57196
brb,1972,12.19922
brb,1973,12.44825
brb,1979,2.2643
brb,1981,2.81568
brb,1983,2.02723
brb,1989,1.5887
brb,1999,4.29171
brb,2000,4.89479
brb,2001,4.26832
brb,2002,4.66359
brb,2003,4.91462
brb,2004,4.35795
brb,2005,5.76655
brb,2006,5.90802
brb,2007,4.80871
brb,2008,4.13147
brb,2009,6.16887
brb,2010,4.48387
brb,2011,4.83806
brb,2014,2.22002
brb,2015,2.04697
brb,2016,1.77512
brb,2017,1.8593
brb,2018,1.90424
brn,1977,21.61364
brn,1978,21.4625
brn,1979,24.88809
brn,1980,23.49818
brn,1981,26.75758
brn,1982,26.29253
brn,1983,25.44628
brn,1984,26.2968
brn,1986,27.22602
brn,1991,15.56777
brn,1992,14.96908
brn,1993,13.74532
brn,1994,13.83724
brn,2005,4.31192
brn,2006,3.87536
brn,2007,4.37875
brn,2008,2.90526
brn,2009,2.34328
brn,2010,2.76603
brn,2011,2.47675
brn,2012,2.33668
brn,2013,1.87218
brn,2014,3.09898
brn,2015,3.85425
brn,2016,3.97569
brn,2017,4.19843
brn,2018,4.08391
btn,1978,24.45522
btn,1979,25.02208
btn,1998,24.44781
btn,1999,25.14293
btn,2000,24.36422
btn,2001,23.33001
btn,2005,22.48889
btn,2006,21.54952
btn,2008,19.95193
btn,2009,18.62333
btn,2010,18.30949
btn,2011,18.90577
btn,2012,18.31246
btn,2013,14.8299
btn,2015,14.54311
btn,2016,14.02736
btn,2017,13.06804
btn,2018,11.53997
bwa,1970,21.75851
bwa,1971,20.44823
bwa,1972,17.5308
bwa,1973,24.3239
bwa,1974,21.26293
bwa,1975,18.12147
bwa,1976,15.56279
bwa,1977,14.72139
bwa,1978,15.37547
bwa,1979,16.56603
bwa,1980,16.29187
bwa,1981,8.18497
bwa,1982,0
bwa,1983,10.4181
bwa,1984,12.02687
bwa,1985,12.38149
bwa,1986,12.81592
bwa,1987,13.5297
bwa,1988,13.93599
bwa,1989,14.56268
bwa,1990,14.26516
bwa,1991,14.74372
bwa,1992,13.90995
bwa,1993,13.68703
bwa,1994,13.74626
bwa,1995,24.44364
bwa,1996,24.63743
bwa,1998,23.337
bwa,1999,22.67773
bwa,2000,22.00763
bwa,2001,21.54615
bwa,2002,21.50861
bwa,2003,21.29089
bwa,2004,20.10484
bwa,2005,20.4714
bwa,2006,20.1161
bwa,2007,20.03956
bwa,2008,20.06369
bwa,2009,19.79896
bwa,2012,14.38972
bwa,2013,14.71013
bwa,2014,13.34693
caf,1971,21.90528
caf,1972,17.72624
caf,1973,19.12403
caf,1977,29.14296
caf,1978,29.07483
caf,1981,20.23934
caf,1982,19.62162
caf,1983,18.35665
caf,1986,19.08925
caf,1987,21.79671
caf,1988,26.1223
caf,1989,25.88946
caf,1990,17.89805
caf,1991,18.10875
caf,2005,24.26688
caf,2006,23.4709
caf,2007,20.97882
caf,2008,20.35225
caf,2009,21.45278
caf,2010,22.15347
caf,2011,21.36774
caf,2012,21.01169
can,1982,4.43749
can,1983,4.27976
can,1984,4.21477
can,1985,4.0627
can,1986,3.94964
can,1987,3.74214
can,1988,3.74214
can,1989,3.74208
can,1990,3.73966
can,1991,2.49648
can,1992,2.54332
can,1993,2.57871
can,1994,2.57775
can,1995,2.46954
can,1996,2.46954
can,1998,0.65341
can,1999,0
can,2000,0
can,2013,0
can,2014,0
can,2015,0
can,2016,0
can,2017,0
che,1977,5.2487
che,1978,5.51761
che,1981,2.55266
che,1982,2.63305
che,1983,2.58449
che,1984,2.56536
che,1985,2.52053
che,1986,2.36646
che,1987,2.22428
che,1988,2.13775
che,1989,2.05669
che,1990,2.06136
che,1991,2.06827
che,1992,2.05757
che,1993,1.92351
che,1994,1.95421
che,1995,1.78798
che,1996,1.86039
che,1999,2.20313
che,2000,2.16393
che,2001,2.10509
che,2002,2.17664
che,2003,2.21387
che,2004,2.26014
che,2005,2.24886
che,2006,2.19299
che,2007,2.09219
che,2008,2.00917
che,2009,1.95
che,2010,1.93499
che,2011,1.81685
che,2012,1.62783
che,2013,1.49925
che,2014,1.44451
che,2015,1.51549
che,2016,1.48293
che,2017,1.38649
chl,2007,6.05318
chl,2008,5.9122
chl,2009,5.91481
chl,2010,7.70131
chl,2011,8.02641
chl,2012,8.14936
chl,2013,7.66578
chl,2014,7.42013
chl,2015,7.16327
chl,2016,6.86703
chl,2017,6.55859
chn,1987,22.80683
chn,1988,22.26646
chn,1989,20.81602
chn,1990,19.6692
chn,1991,18.33993
chn,1992,17.66851
chn,1993,16.10864
chn,1994,15.00953
chn,1995,14.52665
chn,1996,12.99222
chn,1997,11.60312
civ,1977,24.2702
civ,1991,29.7063
civ,1992,27.69976
civ,1996,17.63979
civ,1997,16.32877
civ,1999,16.62831
civ,2000,8.04822
civ,2001,5.01964
civ,2002,4.99593
civ,2003,9.02606
civ,2009,18.77439
civ,2013,17.18187
civ,2014,13.31161
civ,2016,10.54454
civ,2017,10.38117
civ,2018,7.97903
cmr,1971,25.11909
cmr,1972,25.65821
cmr,1973,23.82578
cmr,1974,33.3854
cmr,1975,24.56898
cmr,1976,23.96954
cmr,1977,23.59057
cmr,1978,22.82396
cmr,1979,22.78072
cmr,1980,22.75855
cmr,1988,24.0465
cmr,1990,22.43959
cmr,1991,22.43957
cmr,2009,14.1133
cmr,2011,11.51936
cmr,2012,11.51938
cmr,2014,9.98439
cmr,2015,9.85895
cmr,2016,14.14693
cmr,2017,12.00229
cod,1971,27.38067
cod,1972,29.04004
cod,1975,24.80741
cod,1979,20.82992
cod,1983,20.62996
cod,1984,20.62994
cod,1988,21.99283
cod,1991,21.98076
cod,1992,22.0612
cod,1993,24.26141
cod,1994,19.59825
cod,1995,15.84845
cod,1999,28.80079
cog,1972,27.24151
cog,1974,24.30186
cog,1976,23.85107
cog,1978,21.52018
cog,1979,21.25788
cog,1980,32.17394
cog,1981,32.10691
cog,1982,32.14202
cog,1983,32.12352
cog,1984,32.09122
cog,2005,46.39279
cog,2006,47.06261
cog,2010,13.39667
cog,2012,15.17782
col,1982,35.50973
col,1984,35.76974
col,1985,35.7875
col,1986,35.78752
col,1987,35.78752
col,1988,35.78749
col,1989,35.78751
col,1991,33.4
col,1992,27.07998
col,1993,27.06085
col,1994,27.42044
col,1995,23.21148
col,1996,22.90283
col,1998,21.58393
col,1999,19.37578
col,2000,18.93137
col,2001,18.30474
col,2002,18.26971
col,2004,18.90081
col,2005,18.90084
col,2006,20.073
col,2007,21.04556
col,2008,22.10347
col,2009,22.50742
col,2010,20.61998
col,2011,19.0377
col,2012,18.68922
col,2013,18.81235
col,2014,16.96587
col,2015,16.32901
col,2016,16.42866
col,2017,15.25021
col,2018,15.18755
com,1983,22.79035
com,1986,25.12257
com,1987,24.95673
com,1994,27.85565
com,1999,33.27254
com,2000,33.27303
com,2007,21.29968
com,2017,16.61414
