geo,time,sh_sgr_irsk_zs
fin,2006,0
fin,2007,0
fin,2008,0
fin,2009,0
fin,2010,0
fin,2011,0
fin,2012,0
fin,2013,0
fin,2014,0
fin,2015,0
fin,2016,0
fin,2017,0
fin,2018,0
fin,2019,0
fin,2020,0
fra,2003,0
fra,2004,0
fra,2005,0
fra,2006,0
fra,2007,0
fra,2008,0
fra,2009,0
fra,2010,0
fra,2011,0
fra,2012,0
fra,2013,0
fra,2014,0
fra,2015,0
fra,2016,0
fra,2017,0
fra,2018,0
fra,2019,0
fra,2020,0
fsm,2007,36.4
gab,2005,15.2
gab,2006,15
gab,2007,15
gab,2008,14.8
gab,2009,14.2
gab,2010,11.6
gab,2011,11.1
gab,2012,10.8
gab,2013,10.1
gab,2014,9.4
gab,2015,9.4
gab,2016,9.2
gab,2017,6.2
gab,2018,6.9
gab,2019,7
gab,2020,6.9
gbr,2003,0.1
gbr,2004,0
gbr,2005,0
gbr,2006,0
gbr,2007,0
gbr,2008,0
gbr,2009,0
gbr,2010,0
gbr,2011,0
gbr,2012,0
gbr,2013,0
gbr,2014,0
gbr,2015,0
gbr,2016,0
gbr,2017,0
gbr,2018,0
gbr,2019,0
gbr,2020,0
geo,2007,12.4
gha,2007,34.8
gha,2008,31.3
gha,2009,29.4
gha,2010,25.2
gha,2011,25.2
gha,2012,24.3
gha,2013,20
gha,2014,18.2
gha,2015,18.6
gha,2016,20.3
gha,2017,20.3
gha,2018,18.8
gha,2019,18.2
gha,2020,18.1
gin,2003,59.2
gin,2004,59.5
gin,2005,57
gin,2006,55.9
gin,2007,55.2
gin,2008,59.4
gin,2009,59.5
gin,2010,61
gin,2011,60.6
gin,2012,51.8
gin,2013,51.4
gin,2014,50.8
gin,2015,47.9
gin,2016,48.9
gin,2017,50.3
gin,2018,51.4
gin,2019,47.2
gin,2020,46.1
gmb,2003,41.9
gmb,2004,45.7
gmb,2005,48.9
gmb,2006,48.9
gmb,2007,50.9
gmb,2008,49.1
gmb,2009,49.9
gmb,2010,44.2
gmb,2011,51
gmb,2012,42.1
gmb,2013,42.6
gmb,2014,43.1
gmb,2015,39.9
gmb,2016,41.6
gmb,2017,43.5
gmb,2018,37.1
gmb,2019,39
gmb,2020,31.5
gnb,2003,64.3
gnb,2004,68.4
gnb,2005,66.5
gnb,2006,69.1
gnb,2007,67.2
gnb,2008,68.2
gnb,2009,67.6
gnb,2010,67.8
gnb,2011,65.8
gnb,2012,71.4
gnb,2013,70
gnb,2014,72.3
gnb,2015,70.3
gnb,2016,69.4
gnb,2017,64.3
gnb,2018,63.1
gnb,2019,63.8
gnb,2020,61.4
grc,2004,0.2
grc,2005,0.2
grc,2006,0.2
grc,2007,0.1
grc,2008,0.1
grc,2009,0.1
grc,2010,0.1
grc,2011,0.2
grc,2012,0.4
grc,2013,0.4
grc,2014,0.4
grc,2015,0.4
grc,2016,0.3
grc,2017,0.3
grc,2018,0.2
grc,2019,0.3
grc,2020,0.2
gtm,2003,31.6
gtm,2004,31.4
gtm,2005,30.6
gtm,2006,30.6
gtm,2007,28.6
gtm,2008,29.5
gtm,2009,28.7
gtm,2010,29.4
gtm,2011,28.5
gtm,2012,28.1
gtm,2013,28.1
gtm,2014,20.3
gtm,2015,19.2
gtm,2016,19.9
gtm,2017,19.6
gtm,2018,19
gtm,2019,18.2
gtm,2020,17.7
guy,2007,18
hnd,2003,49.7
hnd,2004,49
hnd,2005,48.3
hnd,2006,46
hnd,2007,43.6
hnd,2008,43.5
hnd,2009,39
hnd,2010,40.9
hnd,2011,43
hnd,2012,42.3
hnd,2013,39.1
hnd,2014,36.5
hnd,2015,34.6
hnd,2016,35.2
hnd,2017,34.8
hnd,2018,34.7
hnd,2019,34.2
hnd,2020,32.1
hrv,2009,0.4
hrv,2010,0.4
hrv,2011,0.3
hrv,2012,0.4
hrv,2013,0.3
hrv,2014,0.4
hrv,2015,0.2
hrv,2016,0.2
hrv,2017,0.1
hrv,2018,0.1
hrv,2019,0.1
hrv,2020,0.1
hti,2012,70.2
hti,2013,71.6
hti,2014,70.2
hti,2015,72.6
hti,2016,72.5
hti,2017,72.8
hti,2018,74.1
hti,2019,74.8
hti,2020,73.8
hun,2004,0.9
hun,2005,2.4
hun,2006,0.5
hun,2007,0.5
hun,2008,0.4
hun,2009,0.5
hun,2010,0.8
hun,2011,0.9
hun,2012,1.4
hun,2013,1.7
hun,2014,1.1
hun,2015,1.1
hun,2016,0.9
hun,2017,0.6
hun,2018,0.7
hun,2019,0.6
hun,2020,0.7
idn,2003,21.6
idn,2004,22.6
idn,2005,21.3
idn,2006,20.3
idn,2007,21.7
idn,2008,20.1
idn,2009,18.6
idn,2010,19.3
idn,2011,22.3
idn,2012,20.4
idn,2013,19.6
idn,2014,18
idn,2015,17.3
idn,2016,15.4
idn,2017,13.7
idn,2018,12.7
idn,2019,11.5
idn,2020,10.5
ind,2003,64.8
ind,2004,62.6
ind,2005,60.4
ind,2006,58.2
ind,2007,55.9
ind,2008,53.7
ind,2009,52.2
ind,2010,48.7
ind,2011,44.1
ind,2012,45.1
ind,2013,38.1
ind,2014,35.5
ind,2015,35.3
ind,2016,32.8
ind,2017,30.2
ind,2018,27.2
ind,2019,27.2
ind,2020,24.1
irl,2003,0
irl,2004,0
irl,2005,0
irl,2006,0
irl,2007,0
irl,2008,0
irl,2009,0
irl,2010,0
irl,2011,0
irl,2012,0
irl,2013,0.1
irl,2014,0
irl,2015,0
irl,2016,0
irl,2017,0
irl,2018,0
irl,2019,0
irl,2020,0
irn,2004,24.5
irn,2005,24.5
irn,2006,21.5
irn,2007,20.3
irn,2008,21.6
irn,2009,18.5
irn,2010,17.7
irn,2011,17.5
irn,2012,18
irn,2013,12.9
irn,2014,13.2
irn,2015,15.4
irn,2016,15.3
irn,2017,16.6
irn,2018,16
irn,2019,15.5
irn,2020,15.8
irq,2006,13.8
irq,2007,13.9
irq,2008,12.7
irq,2009,11.3
irq,2010,12.5
irq,2011,13.5
irq,2012,17.6
irq,2013,18.7
irq,2014,19.3
irq,2015,16.4
irq,2016,13.1
irq,2017,13.1
irq,2018,12.6
isl,2003,0.2
isl,2004,0.3
isl,2005,0.3
isl,2006,0.3
isl,2007,0.2
isl,2008,0.5
isl,2009,0.4
isl,2010,0.2
isl,2011,0.3
isl,2012,0.3
isl,2013,0.1
isl,2014,0.3
isl,2015,0.2
isl,2016,0.1
isl,2017,0.1
isl,2018,0.1
isl,2019,0.1
isl,2020,0.1
ita,2003,0.1
ita,2004,0.1
ita,2005,0
ita,2006,0
ita,2007,0
ita,2008,0
ita,2009,0.1
ita,2010,0.1
ita,2011,0.1
ita,2012,0.1
ita,2013,0.1
ita,2014,0.1
ita,2015,0.1
ita,2016,0.1
ita,2017,0.1
ita,2018,0.1
ita,2019,0.1
ita,2020,0.1
jam,2007,10
jam,2008,9.5
jam,2009,11.1
jam,2010,10.8
jam,2011,10.7
jam,2012,10.5
jam,2013,10.7
jam,2014,10.5
jam,2015,10.5
jam,2016,10.7
jam,2017,10.4
jam,2018,10.1
jam,2019,10.6
jam,2020,10.4
jor,2003,11.5
jor,2004,11.3
jor,2005,8.3
jor,2006,6
jor,2007,6.4
jor,2008,3.9
jor,2009,4.8
jor,2010,6.2
jor,2011,6.7
jor,2012,5.6
jor,2013,5.8
jor,2014,6.6
jor,2015,7.4
jor,2016,8.8
jor,2017,8.5
jor,2018,8.5
jor,2019,7.8
jor,2020,7.4
jpn,2008,0.1
jpn,2009,0.1
jpn,2010,0
jpn,2011,0
jpn,2012,0
jpn,2013,0
jpn,2014,0
jpn,2015,0
jpn,2016,0
jpn,2017,0
jpn,2018,0
jpn,2019,0
jpn,2020,0
kaz,2003,9.3
kaz,2004,6.4
kaz,2005,11
kaz,2006,2.5
kaz,2007,2
kaz,2008,0.9
kaz,2009,1
kaz,2010,0.7
kaz,2011,0.6
kaz,2012,0.5
kaz,2013,0.2
kaz,2014,0.2
kaz,2015,0.2
kaz,2016,0.3
kaz,2017,0.3
kaz,2018,0.3
kaz,2019,0.2
kaz,2020,0.1
ken,2003,61.2
ken,2004,60.7
ken,2005,59.5
ken,2006,59
ken,2007,55.6
ken,2008,56.4
ken,2009,55.6
ken,2010,53.8
ken,2011,52.7
ken,2012,51
ken,2013,50.7
ken,2014,49
ken,2015,43.4
ken,2016,41.1
ken,2017,39.3
ken,2018,39.2
ken,2019,36.9
ken,2020,36.4
kgz,2003,77.1
kgz,2004,64.7
kgz,2005,60.9
kgz,2006,57.3
kgz,2007,47.1
kgz,2008,40.8
kgz,2009,47.6
kgz,2010,47.6
kgz,2011,40.7
kgz,2012,34.2
kgz,2013,34.4
kgz,2014,33.3
kgz,2015,38
kgz,2016,34.8
kgz,2017,34.8
kgz,2018,31.9
kgz,2019,33.6
kgz,2020,33.4
kir,2007,89.3
kor,2006,0.1
kor,2007,0.1
kor,2008,0.1
kor,2009,0.1
kor,2010,0.1
kor,2011,0.1
kor,2012,0
kor,2013,0
kor,2014,0
kor,2015,0
kor,2016,0
kor,2017,0
kor,2018,0
kor,2019,0
kor,2020,0
lao,2003,78.6
lao,2004,69.7
lao,2005,66.8
lao,2006,62.9
lao,2007,60.7
lao,2008,54.4
lao,2009,50
lao,2010,46.3
lao,2011,47.4
lao,2012,39.4
lao,2013,38.4
lao,2014,37.3
lao,2015,35.6
lao,2016,33.9
lao,2017,34.1
lao,2018,32.4
lao,2019,31.4
lao,2020,29
lbn,2011,0.9
lbn,2012,0.7
lbn,2013,0.8
lbn,2014,0.9
lbn,2015,0.9
lbn,2016,0.9
lbn,2017,1
lbn,2018,1
lbn,2019,1.1
lbn,2020,0.1
lbr,2007,35.1
lbr,2008,35.7
lbr,2009,16.3
lbr,2010,15.5
lbr,2011,15.9
lbr,2012,19.6
lbr,2013,19.3
lbr,2014,14.1
lbr,2015,13.9
lbr,2016,18.3
lbr,2017,17.2
lbr,2018,15.8
lbr,2019,18.6
lbr,2020,18.5
lka,2003,36
lka,2004,35.1
lka,2005,34.3
lka,2006,32.7
lka,2007,29
lka,2008,29.5
lka,2009,25.5
lka,2010,23.3
lka,2011,19.8
lka,2012,22.4
lka,2013,20
lka,2014,18.6
lka,2015,17.9
lka,2016,17.6
lka,2017,16.2
lka,2018,16
lka,2019,15.8
lka,2020,14.8
lso,2003,57.3
lso,2004,54.2
lso,2005,52.6
lso,2006,50.1
lso,2007,45.9
lso,2008,44.9
lso,2009,44.8
lso,2010,43.8
lso,2011,41.1
lso,2012,41.2
lso,2013,39.1
lso,2014,39.8
lso,2015,41.2
lso,2016,42
lso,2017,36
lso,2018,38.1
lso,2019,38.5
lso,2020,38.6
ltu,2004,6.9
ltu,2005,5.1
ltu,2006,3
ltu,2007,2.3
ltu,2008,2.6
ltu,2009,4
ltu,2010,2.3
ltu,2011,1.6
ltu,2012,2.9
ltu,2013,2.8
ltu,2014,3.7
ltu,2015,3.3
ltu,2016,3.6
ltu,2017,2.6
ltu,2018,2.8
ltu,2019,2.8
ltu,2020,2.7
lux,2003,0
lux,2004,0
lux,2005,0
lux,2006,0
lux,2007,0
lux,2008,0
lux,2009,0
lux,2010,0
lux,2011,0
lux,2012,0.1
lux,2013,0
lux,2014,0
lux,2015,0
lux,2016,0
lux,2017,0.1
lux,2018,0.1
lux,2019,0.1
lux,2020,0
lva,2004,24.1
lva,2005,24.1
lva,2006,14.2
lva,2007,14.7
lva,2008,13.3
lva,2009,19
lva,2010,13.9
lva,2011,12.5
lva,2012,13
lva,2013,11.7
lva,2014,10.6
lva,2015,10.1
lva,2016,11.2
lva,2017,12.5
lva,2018,10.2
lva,2019,9.6
lva,2020,10.2
mar,2003,27
mar,2004,26
mar,2005,24.2
mar,2006,23.9
mar,2007,22.7
mar,2008,20.8
mar,2009,20
mar,2010,19.7
mar,2011,18.6
mar,2012,17.4
mar,2013,16.7
mar,2014,16.6
mar,2015,16.1
mar,2016,15.5
mar,2017,14
mar,2018,13.8
mar,2019,14
mar,2020,12.8
mda,2003,32.8
mda,2004,24.3
mda,2005,25.2
mda,2006,18.5
mda,2007,16.4
mda,2008,15.4
mda,2009,14.4
mda,2010,11.5
mda,2011,9.6
mda,2012,7.4
mda,2013,5.8
mda,2014,3.1
mda,2015,4
mda,2016,3.4
mda,2017,2.4
mda,2018,1.9
mda,2019,1.5
mda,2020,1.5
mdg,2003,84.5
mdg,2004,82.2
mdg,2005,83
mdg,2006,82.5
mdg,2007,82.5
mdg,2008,81.7
mdg,2009,81.9
mdg,2010,82.3
mdg,2011,81.4
mdg,2012,82.9
mdg,2013,80.9
mdg,2014,81.4
mdg,2015,82.2
mdg,2016,82
mdg,2017,83.4
mdg,2018,81.6
mdg,2019,81.8
mdg,2020,80.1
mex,2003,9.9
mex,2004,10
mex,2005,9.3
mex,2006,8
mex,2007,8.2
mex,2008,9.3
mex,2009,9.7
mex,2010,7.2
mex,2011,6.9
mex,2012,8.1
mex,2013,8.2
mex,2014,8.3
mex,2015,8.1
mex,2016,5.9
mex,2017,5.5
mex,2018,5
mex,2019,5
mex,2020,5.2
mli,2003,76.2
mli,2004,74.6
mli,2005,74.6
mli,2006,72.5
mli,2007,71.4
mli,2008,70.7
mli,2009,68.6
mli,2010,64.5
mli,2011,66
mli,2012,65
mli,2013,59.5
mli,2014,58.9
mli,2015,54.8
mli,2016,54.6
mli,2017,52.9
mli,2018,53.9
mli,2019,53.1
mli,2020,53.1
mlt,2006,0
mlt,2007,0.1
mlt,2008,0.1
mlt,2009,0.1
mlt,2010,0.1
mlt,2011,0.1
mlt,2012,0.1
mlt,2013,0
mlt,2014,0.1
mlt,2015,0.1
mlt,2016,0.1
mlt,2017,0.1
mlt,2018,0.1
mlt,2019,0
mlt,2020,0
mng,2007,35.6
moz,2003,77.9
moz,2004,77.2
moz,2005,76.7
moz,2006,74.7
moz,2007,75.5
moz,2008,73.5
moz,2009,73.3
moz,2010,73
moz,2011,70.9
moz,2012,66.6
moz,2013,66.3
moz,2014,66.9
moz,2015,67.4
moz,2016,66.6
moz,2017,66.9
moz,2018,66
moz,2019,65.6
moz,2020,65.6
mrt,2003,44.7
mrt,2004,44.8
mrt,2005,45.2
mrt,2006,43.3
mrt,2007,42.4
