geo,time,sl_tlf_basc_fe_zs
bra,1996,47.1
bra,1997,47.4
bra,1998,48.24
bra,1999,49.24
bra,2001,50.64
bra,2002,51.9
bra,2003,51.85
bra,2004,52.94
bra,2005,53.5
bra,2006,53.08
bra,2007,52.2
bra,2008,51.33
bra,2009,51.72
bra,2011,47.41
bra,2012,55.42
bra,2013,54.83
bra,2014,54.44
bra,2015,50.14
bra,2016,36.79
bra,2017,36.99
bra,2018,36.65
bra,2019,36.15
bra,2020,30.23
brb,2015,53.36
brb,2016,53.51
brb,2017,52.51
brb,2018,49.77
brb,2019,50.15
brn,2014,47.71
brn,2017,41.57
brn,2018,38.61
brn,2019,41.09
btn,2009,49.4
btn,2010,22.63
btn,2014,44.53
btn,2015,43.88
bwa,2006,62.52
bwa,2009,57.65
bwa,2010,52.42
bwa,2019,51.42
bwa,2020,52.72
can,1990,48.08
can,1991,46.8
can,1992,44.83
can,1993,43.54
can,1994,42.98
can,1995,42.42
can,1996,40.78
can,1997,41.51
can,1998,41.52
can,1999,41.92
can,2000,42.89
can,2001,42.46
can,2002,43.09
can,2003,44.17
can,2004,43.27
can,2005,41.81
can,2006,43.68
can,2007,43.53
can,2008,43.9
can,2009,41.19
can,2010,40.88
can,2011,40.05
can,2012,38.08
can,2013,38.18
can,2014,37.86
can,2015,37.18
can,2016,36.77
can,2017,36.62
can,2018,35.92
can,2019,36.47
can,2020,34.1
can,2021,35.09
che,1996,50.14
che,1997,49.37
che,1998,43.68
che,1999,42.91
che,2000,40.29
che,2001,42.57
che,2002,41.99
che,2003,42.47
che,2004,42.12
che,2005,41.34
che,2006,41.34
che,2007,40.7
che,2008,42.22
che,2009,43.59
che,2010,42.54
che,2011,42.9
che,2012,41.98
che,2013,42.2
che,2014,41.87
che,2015,42.88
che,2016,43.27
che,2017,41.32
che,2018,42.75
che,2019,42.45
che,2020,42.13
chl,1998,29.45
chl,2000,31.03
chl,2003,31.33
chl,2006,32.43
chl,2009,30.24
chl,2010,33.83
chl,2011,35.7
chl,2012,35.52
chl,2013,35.26
chl,2014,36.39
chl,2015,35.72
chl,2016,35.29
chl,2017,35.39
chl,2018,34.76
chl,2019,33.47
chl,2020,27.13
civ,2012,61.09
civ,2013,57.21
civ,2016,39.64
civ,2017,54.23
cmr,2007,72.7
cmr,2014,69.97
cod,2005,59.14
cod,2012,68.14
cog,2005,62.52
cog,2009,48.16
col,2002,46.55
col,2003,47.42
col,2004,45.12
col,2005,44.24
col,2007,40.62
col,2008,41.06
col,2009,44.93
col,2010,46.82
col,2011,47.18
col,2012,48.87
col,2013,47.52
col,2014,47.42
col,2015,47.61
col,2016,46.68
col,2017,46.25
col,2018,44.93
col,2019,43.2
com,2004,25.68
com,2014,21.6
cpv,2015,65.45
cpv,2017,57.8
cpv,2018,51.45
cpv,2019,54.57
cri,2001,37.79
cri,2002,37.6
cri,2003,36.99
cri,2004,35.13
cri,2005,39.66
cri,2006,38.85
cri,2007,39.15
cri,2008,42.4
cri,2009,42.16
cri,2010,39.24
cri,2011,37.69
cri,2012,44.18
cri,2013,43.48
cri,2014,43.31
cri,2015,43.2
cri,2016,37.19
cri,2017,38.32
cri,2018,41.16
cri,2019,43.48
cri,2020,40.18
cub,2009,18.51
cub,2010,16.78
cym,2011,60.97
cym,2012,58.79
cym,2014,53.98
cym,2015,52.29
cyp,2000,29.66
cyp,2001,39.52
cyp,2002,39.52
cyp,2003,39.97
cyp,2004,41.12
cyp,2005,36.97
cyp,2006,36.85
cyp,2007,35.57
cyp,2008,35.57
cyp,2009,37.4
cyp,2010,40.25
cyp,2011,37.37
cyp,2012,34.66
cyp,2013,33.43
cyp,2014,33.97
cyp,2015,32.87
cyp,2016,30.99
cyp,2017,29.01
cyp,2018,28.19
cyp,2019,27.52
cyp,2020,27.35
cze,1998,23.34
cze,1999,23.1
cze,2000,23.18
cze,2001,22.22
cze,2002,20.99
cze,2003,20.46
cze,2004,20.39
cze,2005,19.26
cze,2006,19.85
cze,2007,19.17
cze,2008,19.04
cze,2009,19.04
cze,2010,18.58
cze,2011,17.51
cze,2012,17.71
cze,2013,17.19
cze,2014,16.69
cze,2015,16.58
cze,2016,17.4
cze,2017,17.2
cze,2018,16.64
cze,2019,18.04
cze,2020,16.86
deu,1992,34.95
deu,1993,34.92
deu,1994,33.95
deu,1995,33.52
deu,1996,32.69
deu,1997,32.89
deu,1999,32.07
deu,2000,31.73
deu,2001,28.72
deu,2002,28.22
deu,2003,28.08
deu,2004,26.57
deu,2005,28.82
deu,2006,29.84
deu,2007,29.63
deu,2008,29.08
deu,2009,29.06
deu,2010,28.44
deu,2011,30.44
deu,2012,30.43
deu,2013,30.79
deu,2014,28.55
deu,2015,28.76
deu,2016,29.4
deu,2017,30.07
deu,2018,30.08
deu,2019,30.68
deu,2020,31.99
dji,2017,15.82
dnk,1992,52.13
dnk,1993,47.6
dnk,1994,43.53
dnk,1995,42.7
dnk,1996,45.51
dnk,1997,44.77
dnk,1998,35.31
dnk,1999,57.65
dnk,2000,42.26
dnk,2001,38.64
dnk,2002,37.57
dnk,2003,42.29
dnk,2004,43.22
dnk,2005,39.96
dnk,2006,41.34
dnk,2007,45.25
dnk,2008,43.6
dnk,2009,42.97
dnk,2010,40.09
dnk,2011,38.49
dnk,2012,37.04
dnk,2013,35.45
dnk,2014,34.37
dnk,2015,33.15
dnk,2016,34.99
dnk,2017,33.61
dnk,2018,33.09
dnk,2019,33.39
dnk,2020,33.24
dom,2000,38.2
dom,2001,35.36
dom,2002,37.21
dom,2003,34.71
dom,2004,34.76
dom,2005,34.86
dom,2006,34.93
dom,2007,36.05
dom,2008,35.55
dom,2009,33.37
dom,2010,35.72
dom,2011,37.43
dom,2012,37.33
dom,2013,37.62
dom,2014,38.08
dom,2015,41.12
dom,2016,41.53
dom,2017,40.71
dom,2018,42.19
dom,2019,43.98
dom,2020,39.07
dza,2017,11.51
ecu,2000,42.74
ecu,2001,52.79
ecu,2003,45.67
ecu,2004,49.45
ecu,2005,48.4
ecu,2006,49.45
ecu,2007,46.18
ecu,2008,46.31
ecu,2009,43.11
ecu,2010,41.74
ecu,2011,39.91
ecu,2012,40.66
ecu,2013,41.5
ecu,2014,40.97
ecu,2015,45.65
ecu,2016,49.18
ecu,2017,50.35
ecu,2018,48.89
ecu,2019,48.33
egy,2008,4.18
egy,2009,5.94
egy,2010,5.15
egy,2011,4.94
egy,2012,5.25
egy,2013,6.04
egy,2014,5.94
egy,2015,11.51
egy,2016,10.57
egy,2017,9.82
egy,2018,5.6
egy,2019,7.09
egy,2020,4.65
esp,1992,31.19
esp,1993,31.11
esp,1994,32.01
esp,1995,31.88
esp,1996,31.74
esp,1997,32.07
esp,1998,28.81
esp,1999,28.62
esp,2000,29.35
esp,2001,29.61
esp,2002,29.07
esp,2003,31.78
esp,2004,31.89
esp,2005,31.94
esp,2006,33.07
esp,2007,34.1
esp,2008,35.62
esp,2009,36.39
esp,2010,36.99
esp,2011,37.32
esp,2012,37.55
esp,2013,37.36
esp,2014,41.74
esp,2015,41.16
esp,2016,40.26
esp,2017,39.42
esp,2018,38.67
esp,2019,38.15
esp,2020,35.8
est,1997,21.79
est,1998,22.4
est,1999,22.53
est,2000,23.93
est,2001,23.33
est,2002,22.69
est,2003,22.96
est,2004,24.48
est,2005,23.74
est,2006,22.65
est,2007,22.44
est,2008,26.03
est,2009,24.95
est,2010,24.4
est,2011,26.94
est,2012,25.85
est,2013,26.74
est,2014,28.93
est,2015,30.89
est,2016,31.95
est,2017,33.58
est,2018,36.35
est,2019,34.08
est,2020,28.89
eth,1999,48.23
eth,2005,64.65
eth,2013,69.47
fin,1995,40.97
fin,1996,39.26
fin,1997,37.44
fin,1998,39.94
fin,1999,50.07
fin,2000,48.38
fin,2001,32.92
fin,2002,33
fin,2003,32.09
fin,2004,30.48
fin,2005,27.6
fin,2006,27.58
fin,2007,27.41
fin,2008,26.91
fin,2009,25.79
fin,2010,24.57
fin,2011,23.9
fin,2012,24.02
fin,2013,23.03
fin,2014,21.62
fin,2015,20.88
fin,2016,20.46
fin,2017,20.45
fin,2018,19.99
fin,2019,20.01
fin,2020,18.69
fji,2005,30.91
fji,2011,41.47
fji,2014,34.08
fji,2016,28.67
fra,1993,37.9
fra,1994,37.85
fra,1995,37.55
fra,1996,38.3
fra,1997,37.61
fra,1998,31.44
fra,1999,31.34
fra,2000,30.83
fra,2001,30.52
fra,2002,30.18
fra,2003,31.18
fra,2004,31.03
fra,2005,30.81
fra,2006,30.76
fra,2007,30.23
fra,2008,29.17
fra,2009,29.2
fra,2010,29.5
fra,2011,29.32
fra,2012,28.73
fra,2013,27.33
fra,2014,26.13
fra,2015,25.05
fra,2016,24.21
fra,2017,24.18
fra,2018,23.37
fra,2019,22.31
fra,2020,21.31
fsm,2014,42.34
gbr,1992,63.62
gbr,1993,63.13
gbr,1994,62.36
gbr,1995,62.17
gbr,1996,62.52
gbr,1997,62.38
gbr,1999,63.38
gbr,2000,63.47
gbr,2001,63.37
gbr,2002,63.24
gbr,2003,62.63
gbr,2004,62.49
gbr,2005,62.06
gbr,2006,61.65
gbr,2007,61.17
gbr,2008,48.27
gbr,2009,48.46
gbr,2010,46.91
gbr,2011,49.85
gbr,2012,46.8
gbr,2013,46.67
gbr,2014,47.79
gbr,2015,47.58
gbr,2016,49.27
gbr,2017,50.62
gbr,2018,51.59
gbr,2019,51.76
geo,2009,51.46
geo,2010,53.1
geo,2011,28.77
geo,2012,27.8
geo,2013,30.41
geo,2014,30.88
geo,2015,29.67
geo,2016,25.95
geo,2017,38.42
geo,2018,31.08
geo,2019,28.67
geo,2020,12.2
gha,1991,70.91
gha,2000,67.27
gha,2006,64.6
gha,2010,65.55
gha,2013,72.99
gha,2015,65.5
gha,2017,61.11
gin,2002,31.53
gin,2019,31.6
gmb,2012,40.68
gmb,2018,21.9
gnb,2018,40.82
grc,1992,29.83
grc,1993,29.39
grc,1994,29.4
grc,1995,29.03
grc,1996,29.89
grc,1997,29.15
grc,1998,26.71
grc,1999,26.67
grc,2000,26.11
grc,2001,25.21
grc,2002,25.25
grc,2003,26.96
grc,2004,25.67
grc,2005,25.44
grc,2006,25.36
grc,2007,25.2
grc,2008,27.07
grc,2009,28.08
grc,2010,27.84
grc,2011,26.82
grc,2012,25.92
grc,2013,25.62
grc,2014,25.35
grc,2015,24.68
grc,2016,24.04
grc,2017,23.24
grc,2018,22.46
grc,2019,21.41
grc,2020,19.29
gtm,2003,48.54
gtm,2004,50.5
gtm,2006,47.68
gtm,2010,39.72
gtm,2011,45.25
gtm,2012,49.69
gtm,2013,38.45
gtm,2014,40.35
gtm,2015,38.27
gtm,2016,40.25
gtm,2017,39.07
gtm,2018,38.94
gtm,2019,37.14
guy,2018,36.42
guy,2019,32.7
hkg,2009,39.87
hkg,2010,32.19
hkg,2011,32.9
hkg,2012,33.18
hkg,2013,33.89
hkg,2014,33.7
hkg,2015,33.3
hkg,2016,33.17
hkg,2017,32.86
hkg,2018,32.5
hkg,2019,33.05
hkg,2020,31.96
hnd,2005,41.6
hnd,2006,37.49
hnd,2007,36.66
hnd,2008,37.78
hnd,2009,39.06
hnd,2010,40.27
hnd,2011,37.96
hnd,2012,35.34
hnd,2013,41.23
hnd,2014,43.88
hnd,2015,42.04
hnd,2016,44.42
hnd,2017,44.86
hnd,2018,47.89
hnd,2019,41.79
hrv,2002,24.49
hrv,2003,24.59
hrv,2004,23.04
hrv,2005,22.58
hrv,2006,20.98
hrv,2007,22.3
hrv,2008,22.42
hrv,2009,22.92
hrv,2010,22.85
hrv,2011,22.34
hrv,2012,19.72
hrv,2013,17.89
hrv,2014,17.95
hrv,2015,18.05
hrv,2016,15.6
hrv,2017,13.69
hrv,2018,13.03
hrv,2019,12.97
hrv,2020,11.61
hti,2012,43.45
hun,1997,22.47
hun,1998,22.01
hun,1999,21.02
hun,2000,21.2
hun,2001,21.18
hun,2002,21.39
hun,2003,20.92
hun,2004,20.44
hun,2005,21.05
hun,2006,21.15
hun,2007,20.7
hun,2008,21.12
hun,2009,21.2
hun,2010,22.26
hun,2011,22.27
hun,2012,22.38
hun,2013,22.96
hun,2014,18.86
hun,2015,19.98
hun,2016,20.78
hun,2017,21.74
hun,2018,21.37
hun,2019,21.24
hun,2020,21.02
idn,1990,44.47
idn,1991,45.01
idn,1992,45.34
idn,1993,44.34
idn,1994,46.45
idn,1996,45.74
idn,1997,44.33
idn,1998,46.28
idn,1999,46.73
idn,2000,48.49
idn,2001,48.83
idn,2002,44.25
idn,2003,46.78
idn,2004,45.69
idn,2005,42.23
idn,2006,42.48
idn,2007,47.45
idn,2008,47.37
idn,2009,48.21
idn,2010,47.9
idn,2011,47.26
idn,2012,46.29
idn,2013,45.43
idn,2014,45.02
idn,2015,44.93
idn,2016,44.91
idn,2017,46.14
idn,2018,47.59
idn,2019,48.01
idn,2020,47.78
ind,1994,17.94
ind,2000,19.51
ind,2005,22.71
ind,2010,20.62
ind,2012,18.02
ind,2018,16.4
ind,2019,17.65
ind,2020,21.62
irl,1992,24.46
irl,1993,24.95
irl,1994,25.09
irl,1995,25.65
irl,1996,26.14
irl,1997,26.89
irl,1999,33.84
irl,2000,30.77
irl,2001,34.09
irl,2002,25.82
irl,2003,25.58
irl,2004,24.99
irl,2005,26.51
irl,2006,26.49
irl,2007,29.3
irl,2008,28.44
irl,2009,26.18
irl,2010,25.12
irl,2011,24.92
irl,2012,24.01
irl,2013,23.53
irl,2014,20.52
irl,2015,20.36
irl,2016,20.1
irl,2017,19.09
irl,2018,18.94
irl,2019,20.2
irl,2020,17.89
irn,2005,15.37
irn,2006,14.54
irn,2007,13.68
irn,2008,11.33
irn,2009,12.68
irn,2010,10.92
irn,2011,9.3
irn,2012,10.5
irn,2013,8.79
irn,2014,8.33
irn,2015,9.29
irn,2016,10.5
irn,2018,12.06
irn,2019,11.84
irn,2020,9.14
irq,2007,6.89
irq,2012,6.66
isl,1999,73.74
isl,2000,76.4
isl,2001,74.35
isl,2002,73.9
isl,2003,74.11
isl,2004,70.83
isl,2005,71.04
isl,2006,72.92
isl,2007,71.97
isl,2008,71.88
isl,2009,69.19
isl,2010,69.15
isl,2011,65.44
isl,2012,66.14
isl,2013,67.03
isl,2014,66.38
isl,2015,66.58
isl,2016,67.85
isl,2017,64.94
isl,2018,62.7
isl,2019,60.7
isl,2020,57.28
isr,2009,17.25
isr,2010,17.85
isr,2011,17.26
isr,2012,21.64
isr,2013,21.55
isr,2014,21.33
isr,2015,20.61
isr,2016,21.09
isr,2017,20.81
isr,2018,19.5
isr,2019,18.35
isr,2020,17.27
ita,1992,28.03
ita,1993,27.25
ita,1994,26.44
ita,1995,26.08
ita,1996,25.92
ita,1997,25.82
ita,1998,25.26
ita,1999,24.98
ita,2000,24.17
ita,2001,25.19
ita,2002,25.32
ita,2003,24.86
ita,2004,26.21
ita,2005,24.79
ita,2006,24.17
ita,2007,23.61
ita,2008,23.59
ita,2009,22.75
ita,2010,22.19
ita,2011,22.07
ita,2012,23.12
ita,2013,22.95
ita,2014,22.8
ita,2015,22.29
ita,2016,22.63
ita,2017,22.68
ita,2018,22.6
ita,2019,22.38
ita,2020,20.8
jam,2008,45.79
jam,2009,43.72
jam,2010,41.9
jam,2011,40.33
jam,2012,40.34
jam,2013,40.91
jam,2014,41.85
jam,2016,43.72
jam,2017,43.72
jam,2018,42.76
jam,2019,42.72
jam,2020,44.52
jor,2017,8.29
jor,2018,6.5
jor,2019,5.69
jor,2020,6.93
ken,1999,70.21
ken,2006,52.87
ken,2016,77.59
ken,2019,63
kgz,2011,19.98
kgz,2012,19.14
kgz,2013,19.71
kgz,2014,19.97
kgz,2015,18.42
kgz,2016,17.72
kgz,2017,17.02
kgz,2018,12.86
khm,2000,78.09
khm,2001,83.48
khm,2007,73
khm,2008,73.08
khm,2009,76.47
khm,2010,80.03
khm,2011,82.58
khm,2012,75.89
khm,2013,73.21
khm,2014,74.62
khm,2015,75.11
khm,2016,76.36
khm,2017,74.06
khm,2019,67.15
kir,2015,29.48
kir,2019,15.07
kor,2000,57.18
kor,2001,55.82
kor,2002,55.56
kor,2003,51.52
kor,2004,51.15
kor,2005,50.06
kor,2006,49.35
kor,2007,48.49
kor,2008,47.89
kor,2009,47.33
kor,2010,46.58
kor,2011,45.65
kor,2012,45.18
kor,2013,44.61
kor,2014,44.13
kor,2015,43.41
kor,2016,42.44
kor,2017,42.05
kor,2018,41.22
kor,2019,42.03
kor,2020,41.81
kos,2012,6.02
kos,2013,8.22
kos,2014,7.21
kos,2015,5.27
kos,2016,5.77
kos,2017,4.89
kos,2018,2.91
kos,2019,4.3
kos,2020,4.6
kwt,2016,47.99
lao,2010,91.14
lao,2017,39.97
lbn,2019,17.82
lbr,2010,43.1
lbr,2014,78.55
lbr,2016,76.09
lbr,2017,17.22
lca,2017,80.06
lca,2018,81.24
lca,2019,81.58
lka,2010,31.61
lka,2011,31.31
lka,2012,29.12
lka,2013,32.23
lka,2014,31.54
lka,2015,32.55
lka,2016,32.01
lka,2017,32.8
lka,2018,29.68
lka,2019,30.53
lso,2019,42.22
ltu,1998,17.92
ltu,1999,17.63
ltu,2000,16.49
ltu,2001,15.22
ltu,2002,13.51
ltu,2003,15.62
ltu,2004,12.56
ltu,2005,11.65
ltu,2006,11.86
ltu,2007,11.39
ltu,2008,9.44
ltu,2009,10.72
ltu,2010,9.54
ltu,2011,9.17
ltu,2012,9.08
ltu,2013,8.88
ltu,2014,10.44
ltu,2015,9.8
ltu,2016,8.84
ltu,2017,8.88
ltu,2018,10.28
ltu,2019,11.1
ltu,2020,10.7
lux,1992,36.89
lux,1993,30.8
lux,1994,33.51
lux,1995,31.85
lux,1996,30.87
lux,1997,31.94
lux,1999,27.28
lux,2000,29.97
lux,2001,29.98
lux,2002,30.39
lux,2003,29.32
lux,2004,28.01
lux,2005,27.57
lux,2006,29.6
lux,2007,31.39
lux,2008,28.99
lux,2009,30.92
lux,2010,29.93
lux,2011,30.67
lux,2012,30.99
lux,2013,30.36
lux,2014,28.88
lux,2015,33.6
lux,2016,29.46
lux,2017,30.01
lux,2018,30.96
lux,2019,30.98
lux,2020,32.33
lva,1998,18.91
lva,1999,17.91
lva,2000,17.13
lva,2001,23.99
lva,2002,23.89
lva,2003,25.61
lva,2004,24.85
lva,2005,22.77
lva,2006,23.89
lva,2007,25.19
lva,2008,25.42
lva,2009,26.31
lva,2010,24.94
lva,2011,23.82
lva,2012,25.51
lva,2013,25.14
lva,2014,24.41
lva,2015,25.41
lva,2016,27.83
lva,2017,28
lva,2018,27.95
lva,2019,28.39
lva,2020,29.07
mac,2009,62.84
mac,2010,62.37
mac,2011,63.19
mac,2012,61.21
mac,2013,60.5
mac,2015,60.04
mac,2016,59.3
mar,2011,19.52
mar,2012,18.67
mco,2016,15.49
mda,2010,29.92
mda,2011,30.93
mda,2012,28.99
mda,2013,31.44
mda,2014,33.45
mda,2015,34.24
mda,2016,35.37
mda,2017,34.64
mda,2018,38.22
mda,2019,28.93
mda,2020,26.88
mdg,2012,94.31
mdg,2015,87.11
mdv,2009,31.82
mdv,2014,51.18
mdv,2016,38.69
mdv,2019,36.05
mex,2002,37.78
mex,2003,38.16
mex,2004,39.2
mex,2005,37.83
mex,2006,38.87
mex,2007,39.02
mex,2008,38.91
mex,2009,38.87
mex,2010,38.48
mex,2011,38.94
mex,2012,39.91
mex,2013,39.96
mex,2014,38.89
mex,2015,39.34
mex,2016,39.22
mex,2017,38.64
mex,2018,38.59
mex,2019,40.19
mex,2020,35.8
mhl,2019,16.22
mkd,2006,24.04
mkd,2007,23.62
mkd,2008,24.75
mkd,2009,23.35
mkd,2010,22.77
mkd,2011,22.24
mkd,2012,20.65
mkd,2013,22.08
mkd,2014,22.1
mkd,2015,21.51
mkd,2016,17.92
mkd,2017,18.12
mkd,2018,18.35
mkd,2019,20.36
mkd,2020,17.03
mli,2013,72.45
mli,2014,35.34
mli,2015,45.34
mli,2016,33.27
mli,2017,41.16
mli,2018,35.97
mlt,2000,23.03
mlt,2001,23.52
mlt,2002,25.22
mlt,2003,24.74
mlt,2004,20.83
mlt,2005,21.06
mlt,2006,21.54
mlt,2007,22.29
mlt,2008,23.59
mlt,2009,22.08
mlt,2010,21.67
mlt,2011,21.3
mlt,2012,23.5
mlt,2013,24.1
mlt,2014,24.75
mlt,2015,24.32
mlt,2016,25.85
mlt,2017,25.3
mlt,2018,27.87
mlt,2019,31.83
mlt,2020,30.19
mmr,2015,51.69
mmr,2017,51.96
mmr,2018,51.94
mmr,2019,48.54
mne,2011,10.15
mne,2012,11.83
mne,2013,11.45
mne,2014,12.72
mne,2015,16.62
mne,2016,17.18
mne,2017,17.27
mne,2018,17.87
mne,2019,17.94
mne,2020,16.64
mng,2008,48.17
mng,2009,48.21
mng,2010,46.75
mng,2011,45.57
mng,2012,51.39
mng,2013,46.23
mng,2014,43.83
mng,2015,43.32
mng,2016,42.96
mng,2017,41.97
mng,2018,40.57
mng,2019,38.88
mng,2020,36.34
moz,2015,63.96
mrt,2012,22.33
mrt,2017,24.86
mus,2001,33.97
mus,2002,34.96
mus,2003,38.56
mus,2004,35.88
mus,2005,37.52
mus,2006,38.01
mus,2007,35.59
mus,2008,37.35
mus,2009,37.05
mus,2010,39.06
mus,2012,36.8
mus,2013,37.69
mus,2014,37.3
mus,2015,37.63
mus,2016,36.13
mus,2017,35.33
mus,2018,35.46
mus,2019,34.97
mus,2020,46.72
mwi,2005,77.51
mwi,2011,67.35
mwi,2013,68.72
mwi,2017,41.25
mwi,2020,41.87
mys,2011,39.33
mys,2012,42.27
mys,2013,46.28
mys,2014,46.91
mys,2015,46.73
mys,2016,47.5
mys,2017,46.84
mys,2018,46.09
mys,2019,46.97
mys,2020,42.99
nam,2010,48.81
nam,2012,55.02
nam,2013,60.38
nam,2014,58.05
nam,2016,55.34
nam,2018,47.17
ncl,2014,42.84
ner,2011,57.3
ner,2014,51.1
ner,2017,17.9
nga,2016,62.02
nga,2019,49.03
nic,2001,41.49
nic,2005,40.44
nic,2012,65.7
nic,2014,45.57
nld,1996,36.68
nld,1997,37.97
nld,1998,34.01
nld,1999,34.84
nld,2000,35.39
nld,2001,36.43
nld,2002,37.65
nld,2003,38.27
nld,2004,38.15
nld,2005,36.49
nld,2006,35.57
nld,2007,36.45
nld,2008,37.52
nld,2009,37.79
nld,2010,37.61
nld,2011,38.29
nld,2012,37.94
nld,2013,37.3
nld,2014,35.96
nld,2015,35.87
nld,2016,35.43
nld,2017,34.69
nld,2018,34.63
nld,2019,35.13
nld,2020,34.26
nld_curacao,2018,21.81
nor,1996,42.57
nor,1997,42.35
nor,1998,44.3
nor,1999,45.37
nor,2000,44.51
nor,2001,43.08
nor,2002,45.61
nor,2003,44.05
nor,2004,42.62
nor,2005,41.12
nor,2006,51.57
nor,2007,52.1
nor,2008,52.88
nor,2009,53.45
nor,2010,52.02
nor,2011,51.96
nor,2012,51.97
nor,2013,50.75
nor,2014,46.01
nor,2015,46.55
nor,2016,46.04
nor,2017,45.1
nor,2018,44.24
nor,2019,44.97
nor,2020,44.27
npl,2008,80.71
npl,2017,25.67
nru,2013,54.81
nzl,2014,19.43
nzl,2015,18.61
nzl,2016,18.55
nzl,2017,18.82
nzl,2018,18.47
nzl,2019,54.23
nzl,2020,53.08
omn,2018,35.6
pak,2006,12.96
pak,2007,12.5
pak,2008,11.16
pak,2009,12.16
pak,2010,14.05
pak,2011,13.74
pak,2013,15.1
pak,2014,14.75
pak,2015,14.92
pak,2018,14.91
pak,2019,14.5
pan,1997,36.39
pan,2003,37.33
pan,2008,36.3
pan,2010,35.62
pan,2011,32.64
pan,2012,35.46
pan,2013,35.35
pan,2014,36.62
pan,2015,36.81
pan,2016,37.91
pan,2017,37.03
pan,2018,38.79
pan,2019,41.6
pan,2020,39.17
pan,2021,33
per,2002,72.1
per,2003,65.93
per,2004,63.6
per,2005,61.8
per,2006,65
