geo,time,se_prm_tcaq_ma_zs
vnm,2006,93.27098
vnm,2007,94.37392
vnm,2008,94.30779
vnm,2009,99.20528
vnm,2010,97.89933
vnm,2011,99.38765
vnm,2012,99.7303
vnm,2014,100
vnm,2015,99.00695
vnm,2016,99.42474
vnm,2018,99.75226
vnm,2019,99.0599
vnm,2020,99.67783
vut,2019,25.2816
zaf,1999,65.99959
zaf,2000,61.95835
zaf,2001,60.64096
zaf,2002,87.22756
zmb,1998,87.47256
zmb,1999,93.24786
zmb,2010,87.99068
zmb,2012,89.37167
zmb,2013,84.40505
zmb,2014,83.4095
zmb,2015,84.24432
zmb,2016,85.31868
zmb,2017,100
zwe,2012,83.13658
zwe,2013,83.5276
zwe,2014,87.84193
zwe,2015,93.37729
zwe,2016,97.48306
zwe,2017,97.14188
zwe,2018,96.94511
zwe,2019,97.05972
zwe,2020,97.65968
