geo,time,si_pov_umic_gp
esp,2017,1.1
esp,2018,1.2
esp,2019,1.2
est,2003,4.7
est,2004,2.8
est,2005,1.8
est,2006,1.3
est,2007,0.9
est,2008,0.8
est,2009,1
est,2010,1.5
est,2011,1.5
est,2012,1.3
est,2013,1.5
est,2014,1.3
est,2015,0.8
est,2016,0.7
est,2017,0.5
est,2018,0.4
est,2019,0.7
eth,1995,67.8
eth,1999,63.9
eth,2004,55.6
eth,2010,53.4
eth,2015,49.6
fin,1987,0
fin,1991,0.1
fin,1995,0
fin,2000,0
fin,2003,0.1
fin,2004,0.1
fin,2005,0.1
fin,2006,0.1
fin,2007,0.1
fin,2008,0.1
fin,2009,0.1
fin,2010,0.1
fin,2011,0.1
fin,2012,0.1
fin,2013,0.1
fin,2014,0.1
fin,2015,0.1
fin,2016,0.1
fin,2017,0.1
fin,2018,0.1
fin,2019,0.1
fji,2002,13.7
fji,2008,11.1
fji,2013,9.5
fji,2019,15.1
fra,1978,1.3
fra,1984,1.9
fra,1989,1.2
fra,1994,0.1
fra,2000,0.1
fra,2003,0.2
fra,2004,0.1
fra,2005,0.1
fra,2006,0.1
fra,2007,0
fra,2008,0
fra,2009,0.1
fra,2010,0.1
fra,2011,0.1
fra,2012,0.1
fra,2013,0.1
fra,2014,0.1
fra,2015,0.2
fra,2016,0.1
fra,2017,0
fra,2018,0.1
fsm,2005,20.7
fsm,2013,31.6
gab,2005,22.2
gab,2017,10.8
gbr,1969,1.1
gbr,1974,0.3
gbr,1979,0.5
gbr,1986,1.1
gbr,1991,0.5
gbr,1994,0.4
gbr,1995,0.4
gbr,1996,0.2
gbr,1997,0.3
gbr,1998,0.3
gbr,1999,0.3
gbr,2000,0.3
gbr,2001,0.3
gbr,2002,0.3
gbr,2003,0.3
gbr,2004,0.6
gbr,2005,0.6
gbr,2006,0.4
gbr,2007,0.4
gbr,2008,0.5
gbr,2009,0.2
gbr,2010,0.3
gbr,2011,0.5
gbr,2012,0.3
gbr,2013,0.2
gbr,2014,0.3
gbr,2015,0.3
gbr,2016,0.3
gbr,2017,0.4
geo,1996,14.8
geo,1997,29.5
geo,1998,28.6
geo,1999,33.5
geo,2000,35.2
geo,2001,36.5
geo,2002,25.5
geo,2003,25.6
geo,2004,23.9
geo,2005,25.3
geo,2006,25.7
geo,2007,27
geo,2008,24.5
geo,2009,24.6
geo,2010,25.8
geo,2011,24.5
geo,2012,21.7
geo,2013,18.6
geo,2014,16.3
geo,2015,15.3
geo,2016,14.9
geo,2017,15.3
geo,2018,14.8
geo,2019,14.1
geo,2020,16.1
gha,1987,54.5
gha,1988,53.8
gha,1991,57.4
gha,1998,47
gha,2005,37.9
gha,2012,25.2
gha,2016,24.4
gin,1991,100
gin,1994,56.7
gin,2002,65.4
gin,2007,62.1
gin,2012,52.1
gin,2018,44.8
gmb,1998,70
gmb,2003,53.8
gmb,2010,41.3
gmb,2015,30.5
gnb,1993,53.7
gnb,2002,62.5
gnb,2010,67.5
gnb,2018,43.7
grc,1995,2.2
grc,2000,0.9
grc,2003,0.7
grc,2004,0.9
grc,2005,0.6
grc,2006,0.8
grc,2007,0.8
grc,2008,0.5
grc,2009,0.7
grc,2010,1.3
grc,2011,2
grc,2012,2.7
grc,2013,2.5
grc,2014,2.9
grc,2015,2.8
grc,2016,2.1
grc,2017,1.6
grc,2018,0.6
grc,2019,1.3
gtm,1986,55
gtm,1989,44
gtm,1998,23.3
gtm,2000,19.1
gtm,2006,19.9
gtm,2014,20.5
guy,1992,43
guy,1998,22
hnd,1989,49.8
hnd,1990,51.8
hnd,1991,45
hnd,1992,41.5
hnd,1993,36.4
hnd,1994,37.6
hnd,1995,38.6
hnd,1996,41.2
hnd,1997,32.7
hnd,1998,35.7
hnd,1999,36.4
hnd,2001,29.4
hnd,2002,32.9
hnd,2003,36.8
hnd,2004,35.9
hnd,2005,34.8
hnd,2006,30.6
hnd,2007,26.7
hnd,2008,25.3
hnd,2009,22.6
hnd,2010,24.4
hnd,2011,24.8
hnd,2012,28.7
hnd,2013,26
hnd,2014,25.1
hnd,2015,25
hnd,2016,24.6
hnd,2017,24.2
hnd,2018,24.2
hnd,2019,23.6
hrv,2009,1.7
hrv,2010,2.2
hrv,2011,2.1
hrv,2012,2.2
hrv,2013,2.3
hrv,2014,2
hrv,2015,1.5
hrv,2016,1.4
hrv,2017,1.2
hrv,2018,0.9
hrv,2019,0.6
hti,2012,39.4
hun,2004,0.6
hun,2005,1.4
hun,2006,0.4
hun,2007,0.4
hun,2008,0.3
hun,2009,0.3
hun,2010,0.4
hun,2011,0.5
hun,2012,1
hun,2013,0.9
hun,2014,1.2
hun,2015,1.1
hun,2016,1.5
hun,2017,1.2
hun,2018,0.6
hun,2019,0.7
idn,1984,68.1
idn,1987,67.9
idn,1990,61.6
idn,1993,61.3
idn,1996,55.6
idn,1998,65.2
idn,1999,54.4
idn,2000,53.9
idn,2001,52
idn,2002,43.8
idn,2003,42.8
idn,2004,43.3
idn,2005,41.6
idn,2006,45
idn,2007,40.5
idn,2008,39.9
idn,2009,38.1
idn,2010,34
idn,2011,31.8
idn,2012,30.8
idn,2013,28.9
idn,2014,27.1
idn,2015,25
idn,2016,23
idn,2017,21
idn,2018,19.2
idn,2019,18.2
idn,2020,17.5
idn,2021,17
ind,1977,65.6
ind,1983,62.7
ind,1987,59.9
ind,1993,58.5
ind,2004,54.1
ind,2009,50.5
ind,2011,44.4
irl,1987,1.4
irl,1994,0.4
irl,1995,0.4
irl,1996,0.2
irl,2000,0.2
irl,2002,0.3
irl,2003,0.2
irl,2004,0.1
irl,2005,0.1
irl,2006,0.3
irl,2007,0.1
irl,2008,0.3
irl,2009,0.6
irl,2010,0.7
irl,2011,0.7
irl,2012,0.5
irl,2013,0.8
irl,2014,0.5
irl,2015,0.4
irl,2016,0.3
irl,2017,0.3
irl,2018,0.1
irn,1986,17
irn,1990,17.2
irn,1994,12.8
irn,1998,12.2
irn,2005,4.5
irn,2006,4.6
irn,2009,4.6
irn,2013,2.5
irn,2014,3.6
irn,2015,3.6
irn,2016,3.7
irn,2017,3.5
irn,2018,3.8
irn,2019,4.9
irq,2006,17.2
irq,2012,15.8
isl,2003,0.1
isl,2004,0.2
isl,2005,0.1
isl,2006,0.2
isl,2007,0.1
isl,2008,0.1
isl,2009,0.1
isl,2010,0.2
isl,2011,0.2
isl,2012,0.1
isl,2013,0.1
isl,2014,0
isl,2015,0
isl,2016,0
isl,2017,0
isr,1979,1
isr,1986,1.3
isr,1992,0.5
isr,1997,0.9
isr,2001,0.6
isr,2002,1.5
isr,2003,1.6
isr,2004,1.9
isr,2005,1.6
isr,2006,1.4
isr,2007,1.3
isr,2008,1.3
isr,2009,1.7
isr,2010,1.1
isr,2011,1.2
isr,2012,1.4
isr,2013,1
isr,2014,1
isr,2015,0.9
isr,2016,0.8
isr,2017,1
isr,2018,0.7
ita,1986,0.5
ita,1987,1.6
ita,1989,0.1
ita,1991,0.4
ita,1993,1.8
ita,1995,1.2
ita,1998,2.2
ita,2000,1.7
ita,2003,1
ita,2004,0.9
ita,2005,0.9
ita,2006,0.9
ita,2007,0.9
ita,2008,0.9
ita,2009,1.1
ita,2010,1.5
ita,2011,1.4
ita,2012,1.6
ita,2013,1.8
ita,2014,1.6
ita,2015,2.3
ita,2016,2
ita,2017,1.8
ita,2018,1.8
jam,1988,17.7
jam,1990,18.1
jam,1993,26
jam,1996,14.6
jam,1999,10.1
jam,2002,11.2
jam,2004,9.1
jor,1986,5.4
jor,1992,15.2
jor,1997,14
jor,2002,10
jor,2006,5.8
jor,2008,5
jor,2010,3.6
jpn,2008,0.7
jpn,2010,0.2
jpn,2013,0.7
kaz,1996,19.5
kaz,2001,24.7
kaz,2002,21.8
kaz,2003,18.4
kaz,2004,14.8
kaz,2005,18.7
kaz,2006,7.2
kaz,2007,4.3
kaz,2008,3.5
kaz,2009,3.8
kaz,2010,2.8
kaz,2011,1.2
kaz,2012,1.1
kaz,2013,0.7
kaz,2014,0.7
kaz,2015,0.9
kaz,2016,1.6
kaz,2017,1
kaz,2018,0.7
ken,1992,42.4
ken,1994,46.4
ken,1997,45.4
ken,2005,53.3
ken,2015,49.4
kgz,2000,52.4
kgz,2001,49.7
kgz,2002,48.7
kgz,2003,46.2
kgz,2004,31.7
kgz,2005,35.2
kgz,2006,27
kgz,2007,26.3
kgz,2008,19.6
kgz,2009,17.7
kgz,2010,19.6
kgz,2011,18.2
kgz,2012,19.2
kgz,2013,21.1
kgz,2014,17.7
kgz,2015,19.8
kgz,2016,17.6
kgz,2017,17.6
kgz,2018,15.2
kgz,2019,14
kgz,2020,17.7
kir,2006,29.1
kir,2019,18
kor,2006,0.5
kor,2008,0.5
kor,2010,0.6
kor,2012,0.5
kor,2014,0.4
kor,2016,0.3
kos,2003,18.9
kos,2005,19.6
kos,2006,19.4
kos,2009,15.5
kos,2010,15.6
kos,2011,12.6
kos,2012,8.2
kos,2013,6.1
kos,2014,7.2
kos,2015,5.7
kos,2016,5.6
kos,2017,5.6
lao,1992,48.5
lao,1997,59.3
lao,2002,50.5
lao,2007,46.1
lao,2012,35.8
lao,2018,29.9
lbn,2011,0.2
lbr,2007,70.1
lbr,2014,55.8
lbr,2016,55.9
lca,1995,47.8
lca,2016,9.2
lka,1985,36.3
lka,1990,34.6
lka,1995,32.8
lka,2002,29.5
lka,2006,22.5
lka,2009,19.3
lka,2012,16.5
lka,2016,12.3
lso,1986,55.4
lso,1994,53.9
lso,2002,65
lso,2017,38.6
ltu,2004,6.8
ltu,2005,4.4
ltu,2006,2.6
ltu,2007,1.9
ltu,2008,2.1
ltu,2009,3.8
ltu,2010,3.1
ltu,2011,1.7
ltu,2012,2
ltu,2013,1.8
ltu,2014,2.2
ltu,2015,1.5
ltu,2016,1.9
ltu,2017,1.7
ltu,2018,1.2
ltu,2019,0.7
lux,1985,0.1
lux,1991,0
lux,1994,0
lux,1997,0
lux,2000,0
lux,2003,0.1
lux,2004,0
lux,2005,0.1
lux,2006,0
lux,2007,0
lux,2008,0
lux,2009,0.1
lux,2010,0
lux,2011,0.1
lux,2012,0.1
lux,2013,0.1
lux,2014,0.2
lux,2015,0.3
lux,2016,0.1
lux,2017,0.3
lux,2018,0.3
lux,2019,0.1
lva,2004,5.4
lva,2005,5
lva,2006,2.7
lva,2007,1.6
lva,2008,2.2
lva,2009,3.6
lva,2010,3.6
lva,2011,2.9
lva,2012,2.6
lva,2013,2.4
lva,2014,1.9
lva,2015,1.5
lva,2016,1.3
lva,2017,1.3
lva,2018,0.9
lva,2019,0.7
mar,1984,26.9
mar,1990,17.5
mar,1998,22.6
mar,2000,22.6
mar,2006,15.7
mar,2013,8.4
mda,1997,33.8
mda,1998,43.3
mda,1999,51
mda,2000,50.5
mda,2001,44.3
mda,2002,34.1
mda,2003,26.4
mda,2004,27
mda,2005,32.1
mda,2006,12.6
mda,2007,8.9
mda,2008,9.4
mda,2009,8.8
mda,2010,7.2
mda,2011,5.9
mda,2012,5.3
mda,2013,3.9
mda,2014,3.4
mda,2015,2.9
mda,2016,2.9
mda,2017,2.9
mda,2018,2.2
mda,2019,2.3
mdg,1980,54.4
mdg,1993,69
mdg,1997,67.5
mdg,1999,66.4
mdg,2001,68
mdg,2005,69.3
mdg,2010,73.2
mdg,2012,74.2
mdv,2002,23
mdv,2009,15
mdv,2016,0.5
mdv,2019,0.2
mex,1989,20.2
mex,1992,17.4
mex,1994,17.2
mex,1996,29.2
mex,1998,23
mex,2000,18.3
mex,2002,16.2
mex,2004,14.2
mex,2005,14.4
mex,2006,11.9
mex,2008,12.8
mex,2010,12
mex,2012,11.3
mex,2014,11.4
mex,2016,10.1
mex,2018,8.9
mex,2020,9.5
mhl,2019,6.1
mkd,2009,16.4
mkd,2010,16.1
mkd,2011,14.3
mkd,2012,12.9
mkd,2013,11.3
mkd,2014,9.7
mkd,2015,9.4
mkd,2016,8.7
mkd,2017,8
mkd,2018,6.7
mli,1994,79.7
mli,2001,62.5
mli,2006,58.6
mli,2009,58.7
mli,2018,36.7
mlt,2006,0.5
mlt,2007,0.5
mlt,2008,0.2
mlt,2009,0.5
mlt,2010,0.2
mlt,2011,0.3
mlt,2012,0.2
mlt,2013,0.1
mlt,2014,0
mlt,2015,0.1
mlt,2016,0.1
mlt,2017,0.2
mlt,2018,0.2
mlt,2019,0.3
mmr,2015,22.5
mmr,2017,16.2
mne,2012,9.2
mne,2013,7.4
mne,2014,7.3
mne,2015,6.8
mne,2016,5.9
mne,2017,6.4
mne,2018,6.1
mng,1995,29.3
mng,1998,45
mng,2002,27.2
mng,2007,12.1
mng,2010,10.7
mng,2011,8.5
mng,2012,5.8
mng,2014,4.3
mng,2016,7.8
mng,2018,6.8
moz,1996,77.3
moz,2002,74.5
moz,2008,69.4
moz,2014,64.4
mrt,1987,51.4
mrt,1993,51.9
mrt,1995,38.2
mrt,2000,36.4
mrt,2004,36.3
mrt,2008,27.5
mrt,2014,21.6
mus,2006,5.1
mus,2012,4.3
mus,2017,2.9
mwi,1997,63.8
mwi,2004,69.8
mwi,2010,69.9
mwi,2016,68.4
mwi,2019,70.5
mys,1984,11.5
mys,1987,11.2
mys,1989,10.7
mys,1992,10.2
mys,1995,10
mys,1997,6.6
mys,2003,6.9
mys,2006,4.7
mys,2008,4.8
mys,2011,2
mys,2013,0.8
mys,2015,0.6
nam,2003,42.5
nam,2009,36.1
nam,2015,24.3
ner,1992,73.3
ner,1994,76.6
ner,2005,72
ner,2007,69.4
ner,2011,59.7
ner,2014,56.2
ner,2018,54.2
nga,1985,61.5
nga,1992,62.9
nga,1996,66.2
nga,2003,62.1
nga,2010,54.4
nga,2012,53.8
nga,2015,52.6
nga,2018,52.8
nic,1993,45.7
nic,1998,36.9
nic,2001,30.1
nic,2005,22.3
nic,2009,19.7
nic,2014,12.3
nld,1983,1.3
nld,1987,0.4
nld,1990,1.2
nld,1993,1.7
nld,1999,0.3
nld,2004,0.4
nld,2005,0.2
nld,2006,0.1
nld,2007,0.1
nld,2008,0.2
nld,2009,0.2
nld,2010,0.1
nld,2011,0.1
nld,2012,0.1
nld,2013,0.1
nld,2014,0.2
nld,2015,0.1
nld,2016,0.1
nld,2017,0.2
nld,2018,0.2
nld,2019,0.1
nor,1979,0.4
nor,1986,0.2
nor,1991,0.4
nor,1995,0.4
nor,2000,0.3
nor,2003,0.2
nor,2004,0.3
nor,2005,0.3
nor,2006,0.2
nor,2007,0.2
nor,2008,0.2
nor,2009,0.1
nor,2010,0.1
nor,2011,0.1
nor,2012,0.2
nor,2013,0.2
nor,2014,0.1
nor,2015,0.2
nor,2016,0.3
nor,2017,0.3
nor,2018,0.3
nor,2019,0.2
npl,1995,66.3
npl,2003,57.3
npl,2010,38.5
nru,2012,13
pak,1987,65.6
pak,1990,64.9
pak,1996,45.8
pak,1998,47.9
pak,2001,51.1
pak,2004,43.1
pak,2005,43.2
pak,2007,40.2
pak,2010,36
pak,2011,35.4
pak,2013,32.1
pak,2015,29.1
pak,2018,29.2
pan,1979,16.9
pan,1989,30.3
pan,1991,27.8
pan,1995,22.2
pan,1997,20.9
pan,1998,21.1
pan,1999,19.2
pan,2000,17.8
pan,2001,21.2
pan,2002,17.8
pan,2003,17.2
pan,2004,16.3
pan,2005,15.7
pan,2006,16.2
pan,2007,13.6
pan,2008,9.8
pan,2009,8.6
pan,2010,9
pan,2011,7.3
pan,2012,8
pan,2013,7
pan,2014,7.1
pan,2015,5.9
pan,2016,5.8
pan,2017,5.5
pan,2018,4.7
pan,2019,4.3
per,1997,26.1
per,1998,25.7
per,1999,26.2
per,2000,25.5
per,2001,26.9
per,2002,24.4
per,2003,22.7
per,2004,23.2
per,2005,25
per,2006,22
per,2007,18.9
per,2008,16.3
per,2009,14.7
per,2010,12.6
per,2011,11.7
per,2012,10.7
per,2013,10.1
per,2014,9.5
per,2015,9.2
per,2016,9.1
per,2017,8.9
per,2018,7.9
per,2019,7.1
per,2020,12.3
phl,2000,29.2
phl,2003,28.3
phl,2006,29.3
phl,2009,26.6
phl,2012,26
phl,2015,21.3
phl,2018,16
png,1996,57
png,2009,50.2
pol,2004,4.5
pol,2005,2.7
pol,2006,1.9
pol,2007,1.2
pol,2008,0.8
pol,2009,0.9
pol,2010,0.9
pol,2011,0.9
pol,2012,0.8
