geo,time,ne_con_prvt_kd_zg
bgd,1985,1.31995
bgd,1986,2.85773
bgd,1987,2.73707
bgd,1988,3.87997
bgd,1989,0.903
bgd,1990,7.63873
bgd,1991,-0.31691
bgd,1992,3.94569
bgd,1993,3.40502
bgd,1994,3.66232
bgd,1995,3.74624
bgd,1996,-0.09636
bgd,1997,1.05018
bgd,1998,1.68923
bgd,1999,3.99084
bgd,2000,4.97514
bgd,2001,4.13264
bgd,2002,1.05719
bgd,2003,4.0517
bgd,2004,5.96946
bgd,2005,6.7318
bgd,2006,7.04765
bgd,2007,7.4339
bgd,2008,3.98029
bgd,2009,2.29174
bgd,2010,4.60403
bgd,2011,6.49168
bgd,2012,4.11426
bgd,2013,5.12741
bgd,2014,4.00559
bgd,2015,5.81713
bgd,2016,3.00226
bgd,2017,7.42603
bgd,2018,11.02287
bgd,2019,3.9247
bgd,2020,5.22781
bgr,1981,4.52727
bgr,1982,5.27874
bgr,1983,2.30775
bgr,1984,5.15531
bgr,1985,-0.10825
bgr,1986,1.90389
bgr,1987,5.7151
bgr,1988,6.55994
bgr,1989,-3.8165
bgr,1990,5.69632
bgr,1991,-25.04989
bgr,1992,-2.4
bgr,1993,-2.9
bgr,1994,-4.4
bgr,1995,18.56444
bgr,1996,3.42247
bgr,1997,-32.30504
bgr,1998,-2.74985
bgr,1999,7.0961
bgr,2000,8.99853
bgr,2001,7.66989
bgr,2002,5.68428
bgr,2003,6.52115
bgr,2004,9.45918
bgr,2005,7.29317
bgr,2006,8.50635
bgr,2007,11.38239
bgr,2008,3.4627
bgr,2009,-4.15409
bgr,2010,2.37838
bgr,2011,1.99348
bgr,2012,3.74794
bgr,2013,-3.88102
bgr,2014,1.39668
bgr,2015,2.8198
bgr,2016,2.22243
bgr,2017,2.5302
bgr,2018,3.72067
bgr,2019,5.96239
bgr,2020,-0.4036
bhr,2001,7.44379
bhr,2002,0.69253
bhr,2003,3.28465
bhr,2004,1.45423
bhr,2005,2.73958
bhr,2006,1.18052
bhr,2007,4.8215
bhr,2008,25.18136
bhr,2009,10.95652
bhr,2010,14.20327
bhr,2011,6.61825
bhr,2012,1.13044
bhr,2013,9.89278
bhr,2014,-0.6808
bhr,2015,2.5671
bhr,2016,-0.21556
bhr,2017,1.30761
bhr,2018,1.37842
bhr,2019,-1.39642
bhs,1990,-2.04152
bhs,1991,-4.32696
bhs,1992,-4.9931
bhs,1993,-0.30852
bhs,1994,2.19236
bhs,1995,7.30982
bhs,1996,6.43769
bhs,1997,12.79374
bhs,1998,-0.05874
bhs,1999,8.03826
bhs,2000,2.30845
bhs,2001,0.74251
bhs,2002,3.57723
bhs,2003,-0.88059
bhs,2004,-1.58351
bhs,2005,8.06827
bhs,2006,2.94209
bhs,2007,1.21205
bhs,2008,-3.49286
bhs,2009,-9.91193
bhs,2010,1.01349
bhs,2011,-2.04843
bhs,2012,3.82648
bhs,2013,-1.86159
bhs,2014,4.39624
bhs,2015,2.23382
bhs,2016,1.78628
bhs,2017,6.93894
bhs,2018,0.49695
bhs,2019,-5.08058
bhs,2020,-5.60106
bih,2001,4.66434
bih,2002,5.47205
bih,2003,4.49713
bih,2004,3.28523
bih,2005,4.84107
bih,2006,3.70271
bih,2007,5.34485
bih,2008,5.05121
bih,2009,-4.271
bih,2010,0.09176
bih,2011,-0.15862
bih,2012,-0.65288
bih,2013,0.0509
bih,2014,1.92101
bih,2015,1.60808
bih,2016,2.20181
bih,2017,1.09832
bih,2018,1.96539
bih,2019,2.27518
bih,2020,-2.61259
blr,1991,-6.23756
blr,1992,-5.48106
blr,1993,-4.89722
blr,1994,-13.9836
blr,1995,-11.6554
blr,1996,5.33267
blr,1997,10.87112
blr,1998,13.24751
blr,1999,9.09539
blr,2000,7.72811
blr,2001,17.30632
blr,2002,11.04023
blr,2003,7.19254
blr,2004,9.40079
blr,2005,14.64195
blr,2006,12.70434
blr,2007,13.36909
blr,2008,16.33126
blr,2009,0.0002
blr,2010,9.4521
blr,2011,2.20778
blr,2012,10.68694
blr,2013,10.65192
blr,2014,4.28142
blr,2015,-2.31983
blr,2016,-3.1894
blr,2017,4.68151
blr,2018,7.91436
blr,2019,5.04089
blr,2020,-1.50106
blz,1981,-20.81215
blz,1982,13.39475
blz,1983,-7.66781
blz,1984,-14.79577
blz,1985,-6.07518
blz,1986,-7.46582
blz,1987,19.02677
blz,1988,17.3274
blz,1989,11.83673
blz,1990,7.36331
blz,1991,10.77615
blz,1992,75.50605
blz,1993,1.47093
blz,1994,5.58553
blz,1995,4.65024
blz,1996,1.56094
blz,1997,2.28884
blz,1998,6.7598
blz,1999,8.39864
blz,2000,8.44201
blz,2001,9.38816
blz,2002,6.35739
blz,2003,3.67239
blz,2004,-0.13704
blz,2005,-2.62221
blz,2006,-2.30019
blz,2007,2.68526
blz,2008,-1.71231
blz,2009,3.72843
blz,2010,5.23053
blz,2011,4.65331
blz,2012,1.2427
blz,2013,4.98007
blz,2014,0.96898
blz,2015,4.38459
blz,2016,5.4472
blz,2017,-4.13343
blz,2018,-2.69516
blz,2019,-3.32698
blz,2020,-6.29838
bmu,2015,0.84555
bmu,2016,6.85938
bmu,2017,-5.65312
bmu,2018,-3.82859
bmu,2019,-1.64828
bmu,2020,-10.755
bol,1961,7.27273
bol,1962,0.1599
bol,1963,5.61739
bol,1964,0.82332
bol,1965,7.21868
bol,1966,7.58568
bol,1967,6.05975
bol,1968,2.95021
bol,1969,6.5223
bol,1970,6.56117
bol,1971,3.5688
bol,1972,0.99076
bol,1973,8.27078
bol,1974,3.16911
bol,1975,4.11049
bol,1976,7.81934
bol,1977,5.16031
bol,1978,-2.80492
bol,1979,0.85539
bol,1980,1.84857
bol,1981,0.41262
bol,1982,-4.00649
bol,1983,-4.58375
bol,1984,-0.02042
bol,1985,3.97837
bol,1986,4.97522
bol,1987,3.10867
bol,1988,0.89006
bol,1989,1.78477
bol,1990,3.37678
bol,1991,3.32338
bol,1992,3.55554
bol,1993,3.32492
bol,1994,2.93363
bol,1995,2.94703
bol,1996,3.26588
bol,1997,5.429
bol,1998,5.25322
bol,1999,2.7624
bol,2000,2.30315
bol,2001,1.26924
bol,2002,2.04466
bol,2003,1.88392
bol,2004,2.91
bol,2005,3.32936
bol,2006,4.07122
bol,2007,4.16968
bol,2008,5.48292
bol,2009,3.67314
bol,2010,3.97761
bol,2011,5.20341
bol,2012,4.60555
bol,2013,5.92721
bol,2014,5.42012
bol,2015,5.19951
bol,2016,3.39745
bol,2017,4.73078
bol,2018,4.30131
bol,2019,3.67588
bol,2020,-8.10277
bra,1961,9.23725
bra,1962,6.37006
bra,1963,-0.69751
bra,1964,3.4014
bra,1965,1.02299
bra,1966,4.23713
bra,1967,8.78522
bra,1968,11.73232
bra,1969,-4.19574
bra,1970,18.35948
bra,1971,12.9793
bra,1972,11.53254
bra,1973,9.15081
bra,1974,12.00602
bra,1975,-5.27738
bra,1976,17.48954
bra,1977,11.49267
bra,1978,1.89868
bra,1979,10.52893
bra,1980,8.92532
bra,1981,-2.33522
bra,1982,3.24554
bra,1983,5.14064
bra,1984,9.48187
bra,1985,-1.23453
bra,1986,0.85784
bra,1987,-3.92402
bra,1988,1.32682
bra,1989,-3.88906
bra,1990,2.91938
bra,1991,8.2765
bra,1992,-0.64553
bra,1993,4.53832
bra,1994,7.44335
bra,1995,8.6217
bra,1996,3.06393
bra,1997,3.03297
bra,1998,-0.72001
bra,1999,0.37826
bra,2000,4.03263
bra,2001,0.77131
bra,2002,1.31885
bra,2003,-0.54599
bra,2004,3.92349
bra,2005,4.42188
bra,2006,5.2847
bra,2007,6.37627
bra,2008,6.46427
bra,2009,4.4564
bra,2010,6.22937
bra,2011,4.81846
bra,2012,3.49945
bra,2013,3.47104
bra,2014,2.25032
bra,2015,-3.21649
bra,2016,-3.8372
bra,2017,1.97796
bra,2018,2.3659
bra,2019,2.19137
bra,2020,-5.45448
brn,1990,4.81865
brn,1991,-1.68067
brn,1992,22.37305
brn,1993,17.21446
brn,1994,-7.78128
brn,1995,-4.75105
brn,1996,11.37271
brn,1997,12.93443
brn,1998,-9.8033
brn,1999,-2.8491
brn,2000,-6.98893
brn,2001,4.21335
brn,2002,0.70849
brn,2003,15.80986
brn,2004,12.26203
brn,2005,-0.56527
brn,2006,3.72993
brn,2007,2.00249
brn,2008,1.7571
brn,2009,4.98841
brn,2010,1.79216
brn,2011,5.4109
brn,2012,8.66248
brn,2013,6.0326
brn,2014,-3.71042
brn,2015,5.22837
brn,2016,-1.31733
brn,2017,4.72336
brn,2018,2.17755
brn,2019,5.93609
brn,2020,5.31627
btn,1991,17.73888
btn,1992,15.11079
btn,1993,-21.66154
btn,1994,-10.37089
btn,1995,6.65963
btn,1996,16.13636
btn,1997,4.22545
btn,1998,24.01304
btn,1999,-4.68765
btn,2000,-5.28116
btn,2001,-6.9162
btn,2002,20.01336
btn,2003,16.82969
btn,2004,8.7663
btn,2005,22.36016
btn,2006,-35.95811
btn,2007,74.76566
btn,2008,-8.53755
btn,2009,11.07987
btn,2010,5.72814
btn,2011,5.96552
btn,2012,-2.57285
btn,2013,62.26501
btn,2014,-8.10089
btn,2015,9.99462
btn,2016,-1.83462
btn,2017,5.89565
btn,2018,13.40147
