geo,time,ic_frm_metg_zs
swe,2020,6.5
swz,2006,77.6
swz,2016,68.9
tcd,2009,96.2
tcd,2018,82
tgo,2009,67.4
tgo,2016,76.7
tha,2016,41.9
tjk,2008,61
tjk,2013,73.2
tjk,2019,78.7
tls,2009,44.3
tls,2015,50.1
ton,2009,21.9
tto,2010,42.3
tun,2013,23.8
tun,2020,9.3
tur,2008,54.1
tur,2013,55.8
tur,2019,36.5
tza,2006,84.7
tza,2013,65.6
uga,2006,84.9
uga,2013,75.5
ukr,2008,56.7
ukr,2013,59.4
ukr,2019,32.8
ury,2006,35.2
ury,2010,38.2
ury,2017,22.8
uzb,2008,42.8
uzb,2013,34.2
uzb,2019,29.1
vct,2010,44.9
ven,2006,85
ven,2010,78.8
vnm,2009,61.1
vnm,2015,42.7
vut,2009,75.2
wsm,2009,52.1
yem,2010,81.8
yem,2013,89.7
zaf,2007,44.8
zaf,2020,25.2
zmb,2007,81.1
zmb,2013,60.3
zmb,2019,75.8
zwe,2011,81.6
zwe,2016,75.7
