geo,time,en_atm_noxe_eg_kt_ce
deu,1998,5610
deu,1999,5490
deu,2000,5370
deu,2001,5420
deu,2002,5080
deu,2003,5080
deu,2004,5120
deu,2005,4930
deu,2006,5050
deu,2007,5180
deu,2008,5250
deu,2009,5050
deu,2010,5420
deu,2011,5560
deu,2012,5490
deu,2013,5510
deu,2014,5400
deu,2015,5490
deu,2016,5530
deu,2017,5530
deu,2018,5530
dji,1990,10
dji,1991,10
dji,1992,10
dji,1993,10
dji,1994,10
dji,1995,10
dji,1996,10
dji,1997,10
dji,1998,10
dji,1999,10
dji,2000,10
dji,2001,10
dji,2002,10
dji,2003,10
dji,2004,10
dji,2005,10
dji,2006,10
dji,2007,10
dji,2008,10
dji,2009,10
dji,2010,10
dji,2011,10
dji,2012,10
dji,2013,10
dji,2014,10
dji,2015,10
dji,2016,10
dji,2017,10
dji,2018,10
dma,1990,0
dma,1991,0
dma,1992,0
dma,1993,0
dma,1994,0
dma,1995,0
dma,1996,0
dma,1997,0
dma,1998,0
dma,1999,0
dma,2000,0
dma,2001,0
dma,2002,0
dma,2003,0
dma,2004,0
dma,2005,0
dma,2006,0
dma,2007,0
dma,2008,0
dma,2009,0
dma,2010,0
dma,2011,0
dma,2012,0
dma,2013,0
dma,2014,0
dma,2015,0
dma,2016,0
dma,2017,0
dma,2018,0
dnk,1990,370
dnk,1991,460
dnk,1992,450
dnk,1993,450
dnk,1994,460
dnk,1995,450
dnk,1996,500
dnk,1997,510
dnk,1998,470
dnk,1999,570
dnk,2000,490
dnk,2001,510
dnk,2002,490
dnk,2003,500
dnk,2004,500
dnk,2005,450
dnk,2006,480
dnk,2007,470
dnk,2008,440
dnk,2009,410
dnk,2010,440
dnk,2011,400
dnk,2012,390
dnk,2013,400
dnk,2014,390
dnk,2015,400
dnk,2016,410
dnk,2017,410
dnk,2018,410
dom,1990,70
dom,1991,80
dom,1992,90
dom,1993,100
dom,1994,100
dom,1995,110
dom,1996,120
dom,1997,130
dom,1998,130
dom,1999,210
dom,2000,290
dom,2001,290
dom,2002,280
dom,2003,270
dom,2004,260
dom,2005,250
dom,2006,250
dom,2007,250
dom,2008,250
dom,2009,240
dom,2010,240
dom,2011,240
dom,2012,230
dom,2013,230
dom,2014,220
dom,2015,220
dom,2016,220
dom,2017,220
dom,2018,220
dza,1990,210
dza,1991,210
dza,1992,220
dza,1993,220
dza,1994,220
dza,1995,220
dza,1996,230
dza,1997,230
dza,1998,230
dza,1999,240
dza,2000,3060
dza,2001,3070
dza,2002,3080
dza,2003,3090
dza,2004,3100
dza,2005,3110
dza,2006,3130
dza,2007,3140
dza,2008,3160
dza,2009,3170
dza,2010,3190
dza,2011,3210
dza,2012,3230
dza,2013,3250
dza,2014,3270
dza,2015,3280
dza,2016,3290
dza,2017,3300
dza,2018,3300
ecu,1990,130
ecu,1991,130
ecu,1992,130
ecu,1993,140
ecu,1994,140
ecu,1995,140
ecu,1996,150
ecu,1997,150
ecu,1998,150
ecu,1999,150
ecu,2000,160
ecu,2001,160
ecu,2002,160
ecu,2003,170
ecu,2004,170
ecu,2005,180
ecu,2006,180
ecu,2007,190
ecu,2008,190
ecu,2009,200
ecu,2010,200
ecu,2011,210
ecu,2012,210
ecu,2013,210
ecu,2014,210
ecu,2015,220
ecu,2016,220
ecu,2017,220
ecu,2018,220
egy,1990,3480
egy,1991,3170
egy,1992,2860
egy,1993,2560
egy,1994,2250
egy,1995,1940
egy,1996,1630
egy,1997,1320
egy,1998,1010
egy,1999,700
egy,2000,400
egy,2001,410
egy,2002,420
egy,2003,430
egy,2004,440
egy,2005,450
egy,2006,460
egy,2007,470
egy,2008,480
egy,2009,490
egy,2010,500
egy,2011,500
egy,2012,500
egy,2013,510
egy,2014,510
egy,2015,510
egy,2016,510
egy,2017,520
egy,2018,520
eri,1990,0
eri,1991,450
eri,1992,900
eri,1993,1360
eri,1994,1810
eri,1995,2260
eri,1996,2230
eri,1997,2190
eri,1998,2160
eri,1999,2130
eri,2000,2100
eri,2001,1980
eri,2002,1860
eri,2003,1740
eri,2004,1630
eri,2005,1510
eri,2006,1620
eri,2007,1740
eri,2008,1850
eri,2009,1960
eri,2010,2080
eri,2011,1890
eri,2012,1710
eri,2013,1520
eri,2014,1340
eri,2015,1150
eri,2016,1170
eri,2017,1190
eri,2018,1200
esp,1990,1630
esp,1991,1660
esp,1992,1720
esp,1993,1720
esp,1994,1860
esp,1995,2010
esp,1996,2080
esp,1997,2220
esp,1998,2350
esp,1999,2580
esp,2000,2690
esp,2001,2240
esp,2002,2330
esp,2003,2380
esp,2004,2440
esp,2005,2560
esp,2006,2580
esp,2007,2680
esp,2008,2640
esp,2009,2450
esp,2010,2300
esp,2011,2300
esp,2012,2240
esp,2013,2090
esp,2014,2110
esp,2015,2210
esp,2016,2190
esp,2017,2190
esp,2018,2190
est,1990,120
est,1991,110
est,1992,80
est,1993,70
est,1994,70
est,1995,80
est,1996,90
est,1997,90
est,1998,80
est,1999,80
est,2000,80
est,2001,100
est,2002,110
est,2003,90
est,2004,90
est,2005,100
est,2006,90
est,2007,90
est,2008,90
est,2009,90
est,2010,110
est,2011,100
est,2012,110
est,2013,110
est,2014,120
est,2015,120
est,2016,110
est,2017,110
est,2018,110
eth,1990,600
eth,1991,810
eth,1992,1330
eth,1993,1550
eth,1994,1700
eth,1995,1980
eth,1996,2120
eth,1997,2250
eth,1998,2380
eth,1999,2510
eth,2000,2650
eth,2001,2760
eth,2002,2870
eth,2003,2980
eth,2004,3090
eth,2005,3200
eth,2006,3440
eth,2007,3670
eth,2008,3900
eth,2009,4140
eth,2010,4370
eth,2011,4800
eth,2012,5220
eth,2013,5650
eth,2014,6070
eth,2015,6500
