geo,time,sp_pop_65up_fe_in
alb,1980,75505
alb,1981,77403
alb,1982,79423
alb,1983,81501
alb,1984,83633
alb,1985,85799
alb,1986,87912
alb,1987,90086
alb,1988,92322
alb,1989,95745
alb,1990,98976
alb,1991,101169
alb,1992,103977
alb,1993,107189
alb,1994,110352
alb,1995,113104
alb,1996,114084
alb,1997,114231
alb,1998,113915
alb,1999,113673
alb,2000,113835
alb,2001,116078
alb,2002,119721
alb,2003,123757
alb,2004,127872
alb,2005,131762
alb,2006,136752
alb,2007,141715
alb,2008,146892
alb,2009,152517
alb,2010,158776
alb,2011,164037
alb,2012,169565
alb,2013,175330
alb,2014,181613
alb,2015,188520
alb,2016,192992
alb,2017,198481
alb,2018,204463
alb,2019,210750
alb,2020,217330
are,1960,1719
are,1961,1766
are,1962,1819
are,1963,1867
are,1964,1898
are,1965,1889
are,1966,1867
are,1967,1826
are,1968,1782
are,1969,1755
are,1970,1752
are,1971,1727
are,1972,1867
are,1973,2193
are,1974,2710
are,1975,3398
are,1976,3799
are,1977,4275
are,1978,4826
are,1979,5402
are,1980,5940
are,1981,6263
are,1982,6519
are,1983,6772
are,1984,7094
are,1985,7502
are,1986,7886
are,1987,8299
are,1988,8764
are,1989,9271
are,1990,9831
are,1991,10127
are,1992,10353
are,1993,10529
are,1994,10691
are,1995,10855
are,1996,11262
are,1997,11818
are,1998,12452
are,1999,13084
are,2000,13697
are,2001,13989
are,2002,14246
are,2003,14566
are,2004,15068
are,2005,15782
are,2006,16047
are,2007,16526
are,2008,17150
are,2009,17917
are,2010,18839
are,2011,20448
are,2012,22297
are,2013,24255
are,2014,26157
are,2015,27935
are,2016,30389
are,2017,32901
are,2018,35562
are,2019,38532
are,2020,41966
arg,1960,586253
arg,1961,612061
arg,1962,639155
arg,1963,667651
arg,1964,697531
arg,1965,728828
arg,1966,760132
arg,1967,792417
arg,1968,825853
arg,1969,860601
arg,1970,896788
arg,1971,932723
arg,1972,969322
arg,1973,1006756
arg,1974,1045077
arg,1975,1084145
arg,1976,1124768
arg,1977,1165429
arg,1978,1206363
arg,1979,1247976
arg,1980,1290725
arg,1981,1328855
arg,1982,1368922
arg,1983,1410664
arg,1984,1453387
arg,1985,1496761
arg,1986,1542345
arg,1987,1585891
arg,1988,1628664
arg,1989,1672452
arg,1990,1717873
arg,1991,1765290
arg,1992,1813671
arg,1993,1862107
arg,1994,1908912
arg,1995,1953438
arg,1996,1994587
arg,1997,2033641
arg,1998,2070665
arg,1999,2105864
arg,2000,2139536
arg,2001,2173569
arg,2002,2204506
arg,2003,2234086
arg,2004,2264501
arg,2005,2297211
arg,2006,2330086
arg,2007,2364715
arg,2008,2401770
arg,2009,2441844
arg,2010,2479126
arg,2011,2528490
arg,2012,2579594
arg,2013,2632652
arg,2014,2687902
arg,2015,2745553
arg,2016,2804240
arg,2017,2864284
arg,2018,2925564
arg,2019,2987774
arg,2020,3051085
arm,1960,66877
arm,1961,66465
arm,1962,66285
arm,1963,66440
arm,1964,67084
arm,1965,68334
arm,1966,70486
arm,1967,73254
arm,1968,76500
arm,1969,79959
arm,1970,83469
arm,1971,86954
arm,1972,90035
arm,1973,92941
arm,1974,95952
arm,1975,99165
arm,1976,102672
arm,1977,106341
arm,1978,109766
arm,1979,112328
arm,1980,113771
arm,1981,114458
arm,1982,114065
arm,1983,113229
arm,1984,112866
arm,1985,113536
arm,1986,114433
arm,1987,116138
arm,1988,118650
arm,1989,121973
arm,1990,126076
arm,1991,133399
arm,1992,141316
arm,1993,149302
arm,1994,156702
arm,1995,163301
arm,1996,167692
arm,1997,170962
arm,1998,173900
arm,1999,177698
arm,2000,182977
arm,2001,188463
arm,2002,195325
arm,2003,202213
arm,2004,206987
arm,2005,208442
arm,2006,207146
arm,2007,202849
arm,2008,196943
arm,2009,191512
arm,2010,187939
arm,2011,186232
arm,2012,186247
arm,2013,187557
arm,2014,189474
arm,2015,191637
arm,2016,194373
arm,2017,197459
arm,2018,201288
arm,2019,206442
arm,2020,213227
atg,1960,1623
atg,1961,1609
atg,1962,1597
atg,1963,1575
atg,1964,1542
atg,1965,1510
atg,1966,1514
atg,1967,1521
atg,1968,1522
atg,1969,1512
atg,1970,1502
atg,1971,1551
atg,1972,1590
atg,1973,1612
atg,1974,1627
atg,1975,1646
atg,1976,1697
atg,1977,1746
atg,1978,1797
atg,1979,1840
atg,1980,1875
atg,1981,1947
atg,1982,2021
atg,1983,2087
atg,1984,2153
atg,1985,2219
atg,1986,2314
atg,1987,2411
atg,1988,2510
atg,1989,2613
atg,1990,2735
atg,1991,2735
atg,1992,2741
atg,1993,2752
atg,1994,2761
atg,1995,2763
atg,1996,2785
atg,1997,2793
atg,1998,2797
atg,1999,2781
atg,2000,2753
atg,2001,2813
atg,2002,2878
atg,2003,2944
atg,2004,3023
atg,2005,3116
atg,2006,3178
atg,2007,3250
atg,2008,3338
atg,2009,3432
atg,2010,3541
atg,2011,3642
atg,2012,3751
atg,2013,3872
atg,2014,4000
atg,2015,4137
atg,2016,4272
atg,2017,4419
atg,2018,4570
atg,2019,4736
atg,2020,4919
aus,1960,503232
aus,1961,516652
aus,1962,532504
aus,1963,545604
aus,1964,558593
aus,1965,571089
aus,1966,578862
aus,1967,580017
aus,1968,583834
aus,1969,590296
aus,1970,597753
aus,1971,625759
aus,1972,645127
aus,1973,663394
aus,1974,690184
aus,1975,710573
aus,1976,728923
aus,1977,751329
aus,1978,775719
aus,1979,798908
aus,1980,821486
aus,1981,847888
aus,1982,871917
aus,1983,891074
aus,1984,910953
aus,1985,936567
aus,1986,962167
aus,1987,990092
aus,1988,1021321
aus,1989,1053384
aus,1990,1082691
aus,1991,1112855
aus,1992,1141218
aus,1993,1165564
aus,1994,1189657
aus,1995,1214687
aus,1996,1238140
aus,1997,1257952
aus,1998,1276217
aus,1999,1296240
aus,2000,1318543
aus,2001,1340676
aus,2002,1362927
aus,2003,1387214
aus,2004,1411953
aus,2005,1440365
aus,2006,1463009
aus,2007,1473615
aus,2008,1507646
aus,2009,1549425
aus,2010,1592165
aus,2011,1637216
aus,2012,1695712
aus,2013,1759436
aus,2014,1820986
aus,2015,1881281
aus,2016,1945439
aus,2017,2010982
aus,2018,2074185
aus,2019,2140811
aus,2020,2208202
aut,1960,524345
aut,1961,536627
aut,1962,549733
aut,1963,563238
aut,1964,576795
aut,1965,590089
aut,1966,603403
aut,1967,616397
aut,1968,627629
aut,1969,637751
aut,1970,648103
aut,1971,660541
aut,1972,673406
aut,1973,685755
aut,1974,695102
aut,1975,700887
aut,1976,710423
aut,1977,720844
aut,1978,728540
aut,1979,731594
aut,1980,730768
aut,1981,728492
aut,1982,719170
aut,1983,706018
aut,1984,697093
aut,1985,694708
aut,1986,698555
aut,1987,708319
aut,1988,721579
aut,1989,735433
aut,1990,747274
aut,1991,760589
aut,1992,770804
aut,1993,775831
aut,1994,775919
aut,1995,773564
aut,1996,772495
aut,1997,770435
aut,1998,768236
aut,1999,767272
aut,2000,767802
aut,2001,771578
aut,2002,776559
aut,2003,782426
aut,2004,791088
aut,2005,802472
aut,2006,815338
aut,2007,828830
aut,2008,843259
aut,2009,856718
aut,2010,868613
aut,2011,879603
aut,2012,890458
aut,2013,901862
aut,2014,914857
aut,2015,931088
aut,2016,942022
aut,2017,948516
aut,2018,953036
aut,2019,958728
aut,2020,967120
aze,1960,123931
aze,1961,126506
aze,1962,129887
aze,1963,134012
aze,1964,138794
aze,1965,144178
aze,1966,150204
aze,1967,157002
aze,1968,164077
aze,1969,170603
aze,1970,176152
aze,1971,180367
aze,1972,183070
aze,1973,184904
aze,1974,186838
aze,1975,189368
aze,1976,192541
aze,1977,196311
aze,1978,200226
aze,1979,203414
aze,1980,205457
aze,1981,207627
aze,1982,208522
aze,1983,208699
aze,1984,208948
aze,1985,209721
aze,1986,211371
aze,1987,213083
aze,1988,215309
aze,1989,218780
aze,1990,221951
aze,1991,227220
aze,1992,234312
aze,1993,241999
aze,1994,248874
aze,1995,254442
aze,1996,259997
aze,1997,264221
aze,1998,267929
aze,1999,272026
aze,2000,277004
aze,2001,287581
aze,2002,298717
aze,2003,308977
aze,2004,316464
aze,2005,320122
aze,2006,321355
aze,2007,319310
aze,2008,318182
aze,2009,316397
aze,2010,312345
aze,2011,312683
aze,2012,313635
aze,2013,315724
aze,2014,319887
aze,2015,326774
aze,2016,335056
aze,2017,346050
aze,2018,359715
aze,2019,376186
aze,2020,394897
bdi,1960,47282
bdi,1961,48576
bdi,1962,49774
bdi,1963,50891
bdi,1964,51988
bdi,1965,53080
bdi,1966,54662
bdi,1967,56225
bdi,1968,57686
bdi,1969,58931
bdi,1970,59905
bdi,1971,61823
bdi,1972,63441
bdi,1973,64857
bdi,1974,66161
bdi,1975,67394
bdi,1976,68650
bdi,1977,69925
bdi,1978,71209
bdi,1979,72482
bdi,1980,73686
bdi,1981,75360
bdi,1982,76944
bdi,1983,78363
bdi,1984,79573
bdi,1985,80575
bdi,1986,82203
bdi,1987,83648
bdi,1988,84929
bdi,1989,86025
bdi,1990,86914
bdi,1991,88216
bdi,1992,89201
bdi,1993,89817
bdi,1994,90033
bdi,1995,89865
bdi,1996,91285
bdi,1997,92185
bdi,1998,92664
bdi,1999,92811
bdi,2000,92671
bdi,2001,93728
bdi,2002,94817
bdi,2003,95883
bdi,2004,96826
bdi,2005,97575
bdi,2006,99883
bdi,2007,102243
bdi,2008,104559
bdi,2009,106689
bdi,2010,108609
bdi,2011,110764
bdi,2012,112721
bdi,2013,114870
bdi,2014,117791
bdi,2015,121843
bdi,2016,127375
bdi,2017,133819
bdi,2018,141082
bdi,2019,148992
bdi,2020,157463
bel,1960,623486
bel,1961,634782
bel,1962,646973
bel,1963,661904
bel,1964,678421
bel,1965,694929
bel,1966,711248
bel,1967,726712
bel,1968,740723
bel,1969,753282
bel,1970,763594
bel,1971,776327
bel,1972,788759
bel,1973,799320
bel,1974,809457
bel,1975,819294
bel,1976,830598
bel,1977,841594
bel,1978,850785
bel,1979,855644
bel,1980,855047
bel,1981,851960
bel,1982,842763
bel,1983,831526
bel,1984,823635
bel,1985,822472
bel,1986,829224
bel,1987,842140
bel,1988,860467
bel,1989,878932
bel,1990,894360
bel,1991,910357
bel,1992,924204
bel,1993,936220
bel,1994,947168
bel,1995,957742
bel,1996,970137
bel,1997,982886
bel,1998,995007
bel,1999,1006336
bel,2000,1016562
bel,2001,1025901
bel,2002,1034905
bel,2003,1042322
bel,2004,1048599
bel,2005,1054928
bel,2006,1060932
bel,2007,1065541
bel,2008,1070291
bel,2009,1077519
bel,2010,1090157
bel,2011,1107582
bel,2012,1121502
bel,2013,1136217
bel,2014,1150515
bel,2015,1164803
bel,2016,1181221
bel,2017,1194964
bel,2018,1209059
bel,2019,1225378
bel,2020,1243555
ben,1960,66025
ben,1961,66640
ben,1962,67076
ben,1963,67262
ben,1964,67124
ben,1965,66640
ben,1966,68687
ben,1967,70531
ben,1968,72191
ben,1969,73711
ben,1970,75099
ben,1971,77151
ben,1972,79094
ben,1973,80917
ben,1974,82598
ben,1975,84136
ben,1976,86035
ben,1977,87792
ben,1978,89436
ben,1979,91003
ben,1980,92522
ben,1981,94320
ben,1982,96066
ben,1983,97722
ben,1984,99271
ben,1985,100700
ben,1986,102638
ben,1987,104478
ben,1988,106277
ben,1989,108094
ben,1990,109968
ben,1991,112113
ben,1992,114315
ben,1993,116559
ben,1994,118821
ben,1995,121094
ben,1996,123409
ben,1997,125643
ben,1998,127865
ben,1999,130155
ben,2000,132592
ben,2001,135585
ben,2002,138600
ben,2003,141744
ben,2004,145160
ben,2005,148937
ben,2006,153872
ben,2007,159016
ben,2008,164268
ben,2009,169457
ben,2010,174505
ben,2011,179820
ben,2012,184974
ben,2013,190019
ben,2014,194992
ben,2015,199962
ben,2016,205125
ben,2017,210211
ben,2018,215381
ben,2019,220809
ben,2020,226631
bfa,1960,51998
bfa,1961,54554
bfa,1962,56999
bfa,1963,59353
bfa,1964,61673
bfa,1965,63996
bfa,1966,67228
bfa,1967,70404
bfa,1968,73504
bfa,1969,76509
bfa,1970,79435
bfa,1971,83181
bfa,1972,86828
bfa,1973,90399
bfa,1974,93896
bfa,1975,97327
bfa,1976,101793
bfa,1977,106127
bfa,1978,110353
bfa,1979,114512
bfa,1980,118644
bfa,1981,123766
bfa,1982,128948
bfa,1983,134143
bfa,1984,139279
bfa,1985,144319
bfa,1986,149071
bfa,1987,153632
bfa,1988,157993
bfa,1989,162138
bfa,1990,166080
bfa,1991,169839
bfa,1992,173212
bfa,1993,176258
bfa,1994,179017
bfa,1995,181537
bfa,1996,184641
bfa,1997,187407
bfa,1998,189918
bfa,1999,192260
bfa,2000,194522
bfa,2001,198085
bfa,2002,201441
bfa,2003,204677
bfa,2004,207887
bfa,2005,211137
bfa,2006,216303
bfa,2007,221404
bfa,2008,226385
bfa,2009,231142
bfa,2010,235656
bfa,2011,241792
bfa,2012,247704
bfa,2013,253495
bfa,2014,259289
bfa,2015,265218
bfa,2016,273039
bfa,2017,280779
bfa,2018,288624
bfa,2019,296801
bfa,2020,305457
bgd,1960,597938
bgd,1961,615465
bgd,1962,632404
bgd,1963,648485
bgd,1964,663553
bgd,1965,677873
bgd,1966,707631
bgd,1967,736292
bgd,1968,762540
bgd,1969,785195
bgd,1970,804157
bgd,1971,837143
bgd,1972,866549
bgd,1973,894690
bgd,1974,924253
bgd,1975,956980
bgd,1976,990280
bgd,1977,1023072
bgd,1978,1054034
bgd,1979,1082006
bgd,1980,1106642
bgd,1981,1143827
bgd,1982,1177746
bgd,1983,1208529
bgd,1984,1236743
bgd,1985,1263144
bgd,1986,1313189
bgd,1987,1363589
bgd,1988,1413914
bgd,1989,1463691
bgd,1990,1512889
bgd,1991,1580293
bgd,1992,1647667
bgd,1993,1715303
bgd,1994,1783355
bgd,1995,1852379
bgd,1996,1948002
bgd,1997,2044777
bgd,1998,2143924
bgd,1999,2246806
bgd,2000,2354263
bgd,2001,2458667
bgd,2002,2561165
bgd,2003,2662942
bgd,2004,2766137
bgd,2005,2872147
bgd,2006,2992670
bgd,2007,3110843
bgd,2008,3224006
bgd,2009,3329318
bgd,2010,3425640
bgd,2011,3546319
bgd,2012,3661946
bgd,2013,3768163
bgd,2014,3858606
bgd,2015,3931040
bgd,2016,4005673
bgd,2017,4065026
bgd,2018,4119299
bgd,2019,4183280
bgd,2020,4267370
bgr,1960,331931
bgr,1961,340538
bgr,1962,349845
bgr,1963,359846
bgr,1964,370589
bgr,1965,381752
bgr,1966,393088
bgr,1967,404709
bgr,1968,417239
bgr,1969,430905
bgr,1970,445180
bgr,1971,459156
bgr,1972,472791
bgr,1973,486629
bgr,1974,501201
bgr,1975,514977
bgr,1976,529160
bgr,1977,544357
bgr,1978,556485
bgr,1979,565508
bgr,1980,571695
bgr,1981,572511
bgr,1982,568371
bgr,1983,562536
bgr,1984,560184
bgr,1985,563177
bgr,1986,576346
bgr,1987,595891
bgr,1988,618716
bgr,1989,633868
bgr,1990,643248
bgr,1991,658645
bgr,1992,672133
bgr,1993,686633
bgr,1994,704042
bgr,1995,720742
bgr,1996,735897
bgr,1997,749444
bgr,1998,761092
bgr,1999,771366
bgr,2000,779519
bgr,2001,777725
bgr,2002,771703
bgr,2003,774257
bgr,2004,775928
bgr,2005,777125
bgr,2006,778561
bgr,2007,779598
bgr,2008,781320
bgr,2009,785487
bgr,2010,792607
bgr,2011,801784
bgr,2012,814659
bgr,2013,829432
bgr,2014,843548
bgr,2015,855059
bgr,2016,866702
bgr,2017,875052
bgr,2018,881156
bgr,2019,886321
bgr,2020,891956
bhr,1960,2417
bhr,1961,2350
bhr,1962,2246
bhr,1963,2084
bhr,1964,1874
bhr,1965,1613
bhr,1966,1729
bhr,1967,1867
bhr,1968,2035
bhr,1969,2246
bhr,1970,2507
bhr,1971,2579
bhr,1972,2675
bhr,1973,2784
bhr,1974,2888
bhr,1975,2980
bhr,1976,3054
bhr,1977,3105
bhr,1978,3167
bhr,1979,3251
bhr,1980,3382
bhr,1981,3737
bhr,1982,4087
bhr,1983,4419
bhr,1984,4731
bhr,1985,5029
bhr,1986,5059
bhr,1987,5071
bhr,1988,5036
bhr,1989,4973
bhr,1990,4935
bhr,1991,5282
bhr,1992,5625
bhr,1993,5918
bhr,1994,6159
bhr,1995,6392
bhr,1996,6783
bhr,1997,7167
bhr,1998,7481
bhr,1999,7721
bhr,2000,7964
bhr,2001,8216
bhr,2002,8538
bhr,2003,8931
bhr,2004,9386
bhr,2005,9893
bhr,2006,10476
bhr,2007,11159
bhr,2008,11886
bhr,2009,12579
bhr,2010,13192
bhr,2011,13703
bhr,2012,14088
bhr,2013,14419
bhr,2014,14774
bhr,2015,15225
bhr,2016,15861
bhr,2017,16645
bhr,2018,17635
bhr,2019,18892
bhr,2020,20431
bhs,1960,2461
bhs,1961,2530
bhs,1962,2609
bhs,1963,2707
bhs,1964,2811
bhs,1965,2920
bhs,1966,3006
bhs,1967,3097
bhs,1968,3194
bhs,1969,3299
bhs,1970,3411
bhs,1971,3565
bhs,1972,3700
bhs,1973,3826
bhs,1974,3950
bhs,1975,4091
bhs,1976,4241
bhs,1977,4403
bhs,1978,4583
bhs,1979,4761
bhs,1980,4914
bhs,1981,5089
bhs,1982,5229
bhs,1983,5357
bhs,1984,5480
bhs,1985,5616
bhs,1986,5729
bhs,1987,5862
bhs,1988,6014
bhs,1989,6181
bhs,1990,6348
bhs,1991,6573
bhs,1992,6800
bhs,1993,7030
bhs,1994,7289
bhs,1995,7564
bhs,1996,7899
bhs,1997,8250
bhs,1998,8634
bhs,1999,9039
bhs,2000,9467
bhs,2001,9773
bhs,2002,10066
bhs,2003,10345
bhs,2004,10607
bhs,2005,10866
bhs,2006,11151
bhs,2007,11440
bhs,2008,11732
bhs,2009,12015
bhs,2010,12286
bhs,2011,12635
bhs,2012,12978
bhs,2013,13334
bhs,2014,13714
bhs,2015,14134
bhs,2016,14654
bhs,2017,15185
bhs,2018,15764
bhs,2019,16426
bhs,2020,17197
bih,1960,64237
bih,1961,66901
bih,1962,70066
bih,1963,73526
bih,1964,76965
bih,1965,80220
bih,1966,83311
bih,1967,86064
bih,1968,88617
bih,1969,91209
bih,1970,94029
bih,1971,99198
bih,1972,104484
bih,1973,109799
bih,1974,115021
bih,1975,120050
bih,1976,125066
bih,1977,130076
bih,1978,134824
bih,1979,138793
bih,1980,141773
bih,1981,143504
bih,1982,144166
bih,1983,144530
bih,1984,145693
bih,1985,148270
bih,1986,154244
bih,1987,161865
bih,1988,170537
bih,1989,179231
bih,1990,187192
bih,1991,194466
bih,1992,199920
bih,1993,204249
bih,1994,208699
bih,1995,214260
bih,1996,218087
bih,1997,223113
bih,1998,229391
bih,1999,236839
bih,2000,245203
bih,2001,255966
bih,2002,268150
bih,2003,280409
bih,2004,290654
bih,2005,297707
bih,2006,302779
bih,2007,304273
bih,2008,303582
bih,2009,302911
bih,2010,303440
bih,2011,300588
bih,2012,297835
bih,2013,294689
bih,2014,291315
bih,2015,288638
bih,2016,295849
bih,2017,304818
bih,2018,315115
bih,2019,325967
bih,2020,336816
blr,1960,442727
blr,1961,443757
blr,1962,445459
blr,1963,448473
blr,1964,453621
blr,1965,461374
blr,1966,474671
blr,1967,490590
blr,1968,508130
blr,1969,525684
blr,1970,542131
blr,1971,559774
blr,1972,575721
blr,1973,591621
blr,1974,609066
blr,1975,628154
blr,1976,646608
blr,1977,667249
blr,1978,687497
blr,1979,702446
blr,1980,710592
blr,1981,711545
blr,1982,706044
blr,1983,698064
blr,1984,693294
blr,1985,694969
blr,1986,701707
blr,1987,713350
blr,1988,726262
blr,1989,741992
blr,1990,759178
blr,1991,778795
blr,1992,802292
blr,1993,826547
blr,1994,845801
blr,1995,859340
blr,1996,873584
blr,1997,881364
blr,1998,885933
blr,1999,891897
blr,2000,901395
blr,2001,915349
blr,2002,931186
blr,2003,945978
blr,2004,954954
blr,2005,954901
blr,2006,950167
blr,2007,938997
blr,2008,924346
blr,2009,911294
blr,2010,902413
blr,2011,898647
blr,2012,898980
blr,2013,903264
blr,2014,910225
blr,2015,919147
blr,2016,923737
blr,2017,931076
blr,2018,944684
blr,2019,963999
blr,2020,982925
blz,1960,2001
blz,1961,2073
blz,1962,2149
blz,1963,2221
blz,1964,2297
blz,1965,2368
blz,1966,2444
blz,1967,2521
blz,1968,2593
blz,1969,2660
blz,1970,2728
blz,1971,2822
blz,1972,2908
blz,1973,2989
blz,1974,3077
blz,1975,3172
blz,1976,3236
blz,1977,3298
blz,1978,3351
blz,1979,3380
blz,1980,3397
blz,1981,3456
blz,1982,3500
blz,1983,3547
blz,1984,3588
blz,1985,3629
blz,1986,3699
blz,1987,3781
blz,1988,3870
blz,1989,3969
blz,1990,4075
blz,1991,4204
blz,1992,4337
blz,1993,4496
blz,1994,4675
blz,1995,4868
blz,1996,4863
blz,1997,4873
blz,1998,4903
blz,1999,4940
blz,2000,4989
blz,2001,5045
blz,2002,5089
blz,2003,5114
blz,2004,5131
blz,2005,5131
blz,2006,5344
blz,2007,5562
blz,2008,5797
blz,2009,6061
blz,2010,6360
blz,2011,6580
blz,2012,6817
blz,2013,7067
blz,2014,7357
blz,2015,7670
blz,2016,8023
blz,2017,8416
blz,2018,8842
blz,2019,9312
blz,2020,9823
bol,1960,91334
bol,1961,91989
bol,1962,92365
bol,1963,92557
bol,1964,92662
bol,1965,92766
bol,1966,94066
bol,1967,95336
bol,1968,96591
bol,1969,97861
bol,1970,99163
bol,1971,101544
bol,1972,103898
bol,1973,106254
bol,1974,108661
bol,1975,111136
bol,1976,114645
bol,1977,118217
bol,1978,121754
bol,1979,125105
bol,1980,128196
bol,1981,132614
bol,1982,136989
bol,1983,141435
bol,1984,146079
bol,1985,150998
bol,1986,155466
bol,1987,160009
bol,1988,164757
bol,1989,169874
bol,1990,175454
bol,1991,180855
bol,1992,186608
bol,1993,192573
bol,1994,198532
bol,1995,204363
bol,1996,210959
bol,1997,217498
bol,1998,224013
bol,1999,230524
bol,2000,237075
bol,2001,244710
bol,2002,252447
bol,2003,260515
bol,2004,269188
bol,2005,278655
bol,2006,287842
bol,2007,297650
bol,2008,308047
bol,2009,318942
bol,2010,330325
bol,2011,342375
bol,2012,354708
bol,2013,367397
bol,2014,380506
bol,2015,394114
bol,2016,408604
bol,2017,423441
bol,2018,438604
bol,2019,454087
bol,2020,469981
bra,1960,1287198
bra,1961,1343574
bra,1962,1402326
bra,1963,1461594
bra,1964,1518746
bra,1965,1572479
bra,1966,1625596
bra,1967,1676625
bra,1968,1727043
bra,1969,1778879
bra,1970,1833626
bra,1971,1896444
bra,1972,1960267
bra,1973,2025672
bra,1974,2093124
bra,1975,2162821
bra,1976,2239514
bra,1977,2316633
bra,1978,2394134
bra,1979,2471336
bra,1980,2548080
bra,1981,2630132
bra,1982,2711765
bra,1983,2794251
bra,1984,2879454
bra,1985,2969134
bra,1986,3070989
bra,1987,3175959
bra,1988,3285687
bra,1989,3402453
bra,1990,3527911
bra,1991,3679341
bra,1992,3835765
bra,1993,3994842
bra,1994,4152718
bra,1995,4307676
bra,1996,4474874
bra,1997,4638495
bra,1998,4804817
bra,1999,4982591
bra,2000,5177190
bra,2001,5388603
bra,2002,5618088
bra,2003,5858948
bra,2004,6100681
bra,2005,6338558
bra,2006,6578864
bra,2007,6814411
bra,2008,7054188
bra,2009,7310951
bra,2010,7592971
bra,2011,7897822
bra,2012,8221433
bra,2013,8567039
bra,2014,8937504
bra,2015,9335134
bra,2016,9745864
bra,2017,10181156
bra,2018,10639032
bra,2019,11116519
bra,2020,11613483
brb,1960,11282
brb,1961,11452
brb,1962,11530
brb,1963,11570
brb,1964,11620
brb,1965,11723
brb,1966,11870
brb,1967,12089
brb,1968,12336
brb,1969,12575
brb,1970,12783
brb,1971,12939
brb,1972,13168
brb,1973,13516
brb,1974,13971
brb,1975,14436
brb,1976,14771
brb,1977,15073
brb,1978,15384
brb,1979,15725
brb,1980,16089
brb,1981,16267
brb,1982,16340
brb,1983,16344
brb,1984,16307
brb,1985,16264
brb,1986,16272
brb,1987,16274
brb,1988,16289
brb,1989,16328
