geo,time,sl_tlf_cact_ma_zs
bgd,2000,87.031
bgd,2001,86.805
bgd,2002,86.59
bgd,2003,86.389
bgd,2004,86.198
bgd,2005,86.016
bgd,2006,85.863
bgd,2007,85.247
bgd,2008,84.62
bgd,2009,83.973
bgd,2010,83.3
bgd,2011,82.588
bgd,2012,81.853
bgd,2013,81.099
bgd,2014,80.332
bgd,2015,79.557
bgd,2016,78.78
bgd,2017,80.135
bgd,2018,80.075
bgd,2019,80.012
bgd,2020,78.562
bgd,2021,78.782
bgr,1990,60.062
bgr,1991,60.403
bgr,1992,60.704
bgr,1993,60.149
bgr,1994,59.59
bgr,1995,59.027
bgr,1996,58.46
bgr,1997,57.889
bgr,1998,57.313
bgr,1999,56.734
bgr,2000,56.149
bgr,2001,56.692
bgr,2002,55.973
bgr,2003,55.467
bgr,2004,56.061
bgr,2005,55.392
bgr,2006,56.624
bgr,2007,58.14
bgr,2008,59.726
bgr,2009,58.954
bgr,2010,59.425
bgr,2011,58.211
bgr,2012,58.721
bgr,2013,59.641
bgr,2014,60.086
bgr,2015,60.004
bgr,2016,59.447
bgr,2017,61.651
bgr,2018,61.914
bgr,2019,63.393
bgr,2020,62.428
bgr,2021,62.636
bhr,1990,88.868
bhr,1991,88.387
bhr,1992,88.923
bhr,1993,88.549
bhr,1994,88.212
bhr,1995,87.959
bhr,1996,87.847
bhr,1997,87.628
bhr,1998,87.398
bhr,1999,87.011
bhr,2000,86.626
bhr,2001,85.708
bhr,2002,85.872
bhr,2003,85.994
bhr,2004,86.099
bhr,2005,86.203
bhr,2006,86.256
bhr,2007,86.35
bhr,2008,86.528
bhr,2009,86.819
bhr,2010,87.216
bhr,2011,86.347
bhr,2012,86.592
bhr,2013,86.846
bhr,2014,87.005
bhr,2015,87.009
bhr,2016,86.72
bhr,2017,86.336
bhr,2018,86.048
bhr,2019,85.837
bhr,2020,83.235
bhr,2021,83.531
bhs,1990,79.047
bhs,1991,79.545
bhs,1992,80.036
bhs,1993,80.521
bhs,1994,81.002
bhs,1995,78.512
bhs,1996,79.648
bhs,1997,79.491
bhs,1998,81.355
bhs,1999,83.128
bhs,2000,82.434
bhs,2001,81.718
bhs,2002,81.49
bhs,2003,81.107
bhs,2004,80.716
bhs,2005,80.235
bhs,2006,79.748
bhs,2007,79.253
bhs,2008,78.749
bhs,2009,78.235
bhs,2010,76.767
bhs,2011,75.262
bhs,2012,79.683
bhs,2013,75.974
bhs,2014,75.846
bhs,2015,75.746
bhs,2016,75.652
bhs,2017,75.612
bhs,2018,75.564
bhs,2019,75.517
bhs,2020,69.839
bhs,2021,71.486
bih,1990,58.93
bih,1991,59.394
bih,1992,59.636
bih,1993,59.716
bih,1994,59.49
bih,1995,59.176
bih,1996,58.888
bih,1997,58.68
bih,1998,58.379
bih,1999,57.735
bih,2000,57.375
bih,2001,57.09
bih,2002,56.758
bih,2003,56.511
bih,2004,56.154
bih,2005,55.676
bih,2006,55.389
bih,2007,56.785
bih,2008,55.964
bih,2009,55.234
bih,2010,55.941
bih,2011,55.266
bih,2012,55.785
bih,2013,54.909
bih,2014,54.517
bih,2015,54.904
bih,2016,54.67
bih,2017,52.799
bih,2018,53.01
bih,2019,51.253
bih,2020,53.07
bih,2021,52.351
blr,1990,65.035
blr,1991,65.087
blr,1992,65.545
blr,1993,65.925
blr,1994,66.536
blr,1995,67.092
blr,1996,66.922
blr,1997,66.337
blr,1998,65.91
blr,1999,65.725
blr,2000,66.044
blr,2001,66.367
blr,2002,66.691
blr,2003,67.015
blr,2004,67.338
blr,2005,67.66
blr,2006,67.98
blr,2007,68.299
blr,2008,68.615
blr,2009,68.929
blr,2010,69.241
blr,2011,69.55
blr,2012,69.856
blr,2013,70.159
blr,2014,70.461
blr,2015,70.761
blr,2016,71.059
blr,2017,71.412
blr,2018,72.131
blr,2019,71.594
blr,2020,71.586
blr,2021,71.387
blz,1990,77.83
blz,1991,77.724
blz,1992,77.642
blz,1993,77.614
blz,1994,77.624
blz,1995,78.202
blz,1996,78.738
blz,1997,79.248
blz,1998,77.953
blz,1999,79.107
blz,2000,79.084
blz,2001,79.074
blz,2002,79.061
blz,2003,79.045
blz,2004,79.033
blz,2005,79.024
blz,2006,79.019
blz,2007,79.02
blz,2008,79.02
blz,2009,79.014
blz,2010,79
blz,2011,78.983
blz,2012,78.957
blz,2013,78.924
blz,2014,79.753
blz,2015,79.657
blz,2016,79.555
blz,2017,79.542
blz,2018,79.353
blz,2019,79.223
blz,2020,75.91
blz,2021,76.752
bol,1990,81.631
bol,1991,81.732
bol,1992,81.66
bol,1993,81.685
bol,1994,81.723
bol,1995,81.764
bol,1996,81.819
bol,1997,81.894
bol,1998,81.795
bol,1999,81.696
bol,2000,81.596
bol,2001,81.675
bol,2002,81.751
bol,2003,81.825
bol,2004,81.897
bol,2005,81.969
bol,2006,82.04
bol,2007,82.256
bol,2008,81.609
bol,2009,81.638
bol,2010,81.866
bol,2011,82.096
bol,2012,79.597
bol,2013,79.835
bol,2014,81.59
bol,2015,79.586
bol,2016,77.808
bol,2017,78.161
bol,2018,80.055
bol,2019,80.686
bol,2020,74.279
bol,2021,83.765
bra,1990,81.762
bra,1991,81.65
bra,1992,81.203
bra,1993,80.742
bra,1994,80.268
bra,1995,79.784
bra,1996,77.688
bra,1997,78.379
bra,1998,77.915
bra,1999,77.772
bra,2000,77.473
bra,2001,77.168
bra,2002,77.218
bra,2003,76.863
bra,2004,77.203
bra,2005,77.367
bra,2006,76.859
bra,2007,76.458
bra,2008,76.432
bra,2009,76.352
bra,2010,75.451
bra,2011,74.525
bra,2012,74.109
bra,2013,73.978
bra,2014,73.601
bra,2015,73.295
bra,2016,72.985
bra,2017,72.628
bra,2018,72.267
bra,2019,72.298
bra,2020,67.394
bra,2021,68.24
brb,1990,75.478
brb,1991,73.096
brb,1992,73.862
brb,1993,74.212
brb,1994,74.558
brb,1995,74.311
brb,1996,73.302
brb,1997,73.898
brb,1998,74.16
brb,1999,74.815
brb,2000,75.394
brb,2001,75.962
brb,2002,74.806
brb,2003,75.138
brb,2004,75.494
brb,2005,75.221
brb,2006,73.562
brb,2007,74.329
brb,2008,73.322
brb,2009,72.342
brb,2010,71.826
brb,2011,72.671
brb,2012,71.918
brb,2013,71.985
brb,2014,67.656
brb,2015,67.421
brb,2016,69.352
brb,2017,68.605
brb,2018,68.055
brb,2019,65.867
brb,2020,63.444
brb,2021,63.727
brn,1990,82.333
brn,1991,82.25
brn,1992,81.916
brn,1993,81.597
brn,1994,81.301
brn,1995,81.029
brn,1996,80.802
brn,1997,80.582
brn,1998,80.344
brn,1999,80.065
brn,2000,79.734
brn,2001,79.309
brn,2002,78.967
brn,2003,78.607
brn,2004,78.239
brn,2005,77.87
brn,2006,77.513
brn,2007,77.15
brn,2008,76.787
brn,2009,76.426
brn,2010,76.065
brn,2011,75.706
brn,2012,74.555
brn,2013,73.391
brn,2014,72.217
brn,2015,71.035
brn,2016,69.845
brn,2017,68.643
brn,2018,72.786
brn,2019,72.912
brn,2020,72.515
brn,2021,72.339
btn,1990,81.828
btn,1991,81.633
btn,1992,81.416
btn,1993,81.18
btn,1994,80.936
btn,1995,80.692
btn,1996,80.324
btn,1997,79.905
btn,1998,79.442
btn,1999,78.934
btn,2000,78.386
btn,2001,77.688
btn,2002,76.984
btn,2003,76.305
btn,2004,75.665
btn,2005,75.079
btn,2006,74.588
btn,2007,74.109
btn,2008,73.644
btn,2009,73.198
btn,2010,72.291
btn,2011,71.745
btn,2012,65.495
btn,2013,71.389
btn,2014,70.04
btn,2015,70.119
btn,2016,69.963
btn,2017,69.883
btn,2018,69.839
btn,2019,69.78
btn,2020,66.82
btn,2021,67.397
bwa,1990,74.449
bwa,1991,73.954
bwa,1992,73.478
bwa,1993,72.985
bwa,1994,72.423
bwa,1995,71.774
bwa,1996,71.197
bwa,1997,70.518
bwa,1998,69.777
bwa,1999,68.648
bwa,2000,67.511
bwa,2001,67.241
bwa,2002,66.977
bwa,2003,66.715
bwa,2004,66.453
bwa,2005,66.191
bwa,2006,65.927
bwa,2007,67.083
bwa,2008,68.222
bwa,2009,69.35
bwa,2010,66.097
bwa,2011,65.94
bwa,2012,65.787
bwa,2013,65.633
bwa,2014,65.47
bwa,2015,65.295
bwa,2016,65.096
bwa,2017,64.89
bwa,2018,64.682
bwa,2019,64.475
bwa,2020,65.494
bwa,2021,65.148
caf,1990,79.704
caf,1991,79.725
caf,1992,79.705
caf,1993,79.654
caf,1994,79.572
caf,1995,79.461
caf,1996,79.484
caf,1997,79.485
caf,1998,79.459
caf,1999,79.401
caf,2000,79.311
caf,2001,79.413
caf,2002,79.461
caf,2003,79.471
caf,2004,79.462
caf,2005,79.444
caf,2006,79.591
caf,2007,79.717
caf,2008,79.812
caf,2009,79.857
caf,2010,79.839
caf,2011,80.111
caf,2012,80.329
caf,2013,80.49
caf,2014,80.602
caf,2015,80.676
caf,2016,80.491
caf,2017,80.264
caf,2018,80.003
caf,2019,79.724
caf,2020,79.198
caf,2021,79.486
can,1990,76.109
can,1991,75.029
can,1992,73.853
can,1993,73.309
can,1994,73.095
can,1995,72.45
can,1996,72.157
can,1997,72.223
can,1998,72.125
can,1999,72.389
can,2000,72.346
can,2001,72.276
can,2002,73.01
can,2003,73.414
can,2004,73.169
can,2005,72.797
can,2006,72.32
can,2007,72.53
can,2008,72.725
can,2009,71.899
can,2010,71.551
can,2011,71.397
can,2012,71.01
can,2013,70.875
can,2014,70.562
can,2015,70.599
can,2016,70.27
can,2017,70.161
