geo,time,se_ter_enrr_ma
nga,2005,12.25839
nga,2010,10.97869
nga,2011,11.99584
nic,1970,5.9833
nic,1971,5.48043
nic,1972,6.67781
nic,1973,5.63619
nic,1974,5.95948
nic,1975,8.2231
nic,1976,9.47347
nic,1977,8.89043
nic,1982,10.25647
nic,1983,11.29464
nic,1984,9.49094
nic,1985,7.10441
nic,1986,6.38287
nic,1987,6.59685
nic,1990,7.42517
nic,1991,7.74927
nic,1992,8.38468
nic,1995,10.42505
nic,1997,10.17726
nic,2002,16.5147
nld,1971,27.77405
nld,1972,30.18993
nld,1975,31.77873
nld,1976,33.56198
nld,1977,34.47738
nld,1978,35.07334
nld,1979,34.90617
nld,1980,35.26112
nld,1981,34.70556
nld,1982,34.48778
nld,1983,34.36178
nld,1984,34.53738
nld,1985,35.40183
nld,1986,36.83992
nld,1987,35.91597
nld,1988,36.70042
nld,1989,36.84681
nld,1990,39.11883
nld,1991,43.604
nld,1992,45.26957
nld,1993,47.36233
nld,1994,51.23264
nld,1995,49.10113
nld,1996,49.4969
nld,1997,48.13687
nld,1998,48.30901
nld,1999,49.56078
nld,2000,51.37234
nld,2001,52.68066
nld,2002,53.44436
nld,2003,53.61731
nld,2004,54.89919
nld,2005,56.3907
nld,2006,57.10878
nld,2007,57.06119
nld,2008,57.25553
nld,2009,57.8756
nld,2010,60.29188
nld,2011,71.78702
nld,2012,72.99935
nld,2015,75.2451
nld,2016,75.59784
nld,2017,79.30307
nld,2018,81.59804
nld_curacao,2013,12.99603
nor,1971,21.35852
nor,1972,22.77514
nor,1973,24.46822
nor,1974,26.80066
nor,1975,26.62678
nor,1976,26.86743
nor,1977,27.02086
nor,1978,26.15644
nor,1979,26.61218
nor,1980,26.50755
nor,1981,25.99645
nor,1982,26.62052
nor,1983,28.37852
nor,1984,28.81586
nor,1985,29.08669
nor,1986,27.75181
nor,1987,30.44685
nor,1988,29.37056
nor,1989,31.14621
nor,1990,34.72107
nor,1991,38.80613
nor,1992,41.94927
nor,1993,45.65352
nor,1994,49.07252
nor,1995,48.22002
nor,1996,51.01895
nor,1997,52.90503
nor,1998,53.44751
nor,1999,55.57349
nor,2000,56.62333
nor,2001,56.24333
nor,2002,58.18662
nor,2003,62.63495
nor,2004,63.01346
nor,2005,62.44738
nor,2006,61.43359
nor,2007,58.90594
nor,2008,55.78198
nor,2009,55.87506
nor,2010,56.46826
nor,2011,57.22531
nor,2012,57.37921
nor,2013,61.47437
nor,2014,63.65792
nor,2015,63.82996
nor,2016,65.40538
nor,2017,66.30628
nor,2018,67.41017
nor,2019,67.55549
npl,1983,4.93036
npl,1989,9.11024
npl,1990,7.83805
npl,1991,8.8367
npl,2000,6.11814
npl,2002,8.45268
npl,2003,8.20429
npl,2004,9.25282
npl,2005,10.18421
npl,2006,10.97398
npl,2008,13.91676
npl,2009,13.90713
npl,2010,17.59292
npl,2011,17.49712
npl,2013,19.04848
npl,2015,15.45336
npl,2016,11.76624
npl,2017,11.53636
npl,2018,11.96419
npl,2019,12.94218
npl,2020,13.15098
nzl,1970,19.31171
nzl,1971,19.6201
nzl,1972,32.18038
nzl,1973,32.62216
nzl,1974,31.00748
nzl,1975,30.24951
nzl,1976,30.88106
nzl,1979,31.17544
nzl,1980,30.97189
nzl,1981,31.45516
nzl,1982,32.07244
nzl,1983,32.48513
nzl,1984,34.92517
nzl,1985,34.25364
nzl,1986,36.39721
nzl,1987,37.62681
nzl,1988,40.80579
nzl,1989,42.45333
nzl,1990,37.82356
nzl,1991,41.99575
nzl,1992,46.66593
nzl,1993,51.67155
nzl,1994,52.95426
nzl,1995,51.73567
nzl,1996,52.00367
nzl,2013,62.64253
nzl,2014,64.40855
nzl,2015,67.33279
nzl,2016,68.17258
nzl,2017,67.85505
nzl,2018,67.73515
nzl,2019,63.89275
omn,1978,0.04103
omn,1979,0.02277
omn,1980,0.02797
omn,1981,0.03473
omn,1982,0.02362
omn,1983,0.04864
omn,1984,0.10764
omn,1985,0.36253
omn,1986,1.01233
omn,1987,2.02025
omn,1988,2.96342
omn,1989,3.43537
omn,1990,4.22061
omn,1991,4.52615
omn,1992,4.68954
omn,1993,4.73383
omn,1994,4.74307
omn,1995,5.8854
omn,1996,5.99958
omn,1997,6.63556
omn,1998,7.95941
omn,2003,16.95815
omn,2004,15.51185
omn,2005,17.9072
omn,2006,19.8439
omn,2007,18.60882
omn,2009,19.77237
omn,2010,19.77819
omn,2011,22.73279
omn,2013,22.51092
omn,2014,24.59358
omn,2015,28.34674
omn,2016,32.12441
omn,2017,26.85347
omn,2018,26.37033
omn,2019,29.7358
omn,2020,35.56854
pak,1971,3.55523
pak,1972,3.12817
pak,1973,3.15342
pak,1974,3.13001
pak,1975,3.02798
pak,1976,3.24962
pak,1977,3.12229
pak,1978,3.25219
pak,1979,3.23957
