geo,time,sl_uem_neet_zs
bgd,2017,27.39
bgr,2003,28.29
bgr,2004,24.37
bgr,2005,25.05
bgr,2006,22.24
bgr,2007,19.14
bgr,2008,17.4
bgr,2009,19.45
bgr,2010,21.03
bgr,2011,21.81
bgr,2012,21.53
bgr,2013,21.6
bgr,2014,20.24
bgr,2015,19.28
bgr,2016,18.2
bgr,2017,15.31
bgr,2018,15.04
bgr,2019,13.72
bgr,2020,14.44
bih,2006,34.66
bih,2007,31.25
bih,2008,26.37
bih,2009,25.52
bih,2010,28.26
bih,2011,27.77
bih,2012,28.53
bih,2013,26.04
bih,2014,26.25
bih,2015,28.14
bih,2016,26.97
bih,2017,24.54
bih,2018,22.13
bih,2019,21.17
bih,2020,21.81
blr,2009,12.08
blr,2020,9.18
blz,2012,11.95
blz,2013,27.88
blz,2014,27.77
blz,2015,27.4
blz,2016,27.38
blz,2017,27.34
blz,2019,24.88
bmu,2010,6.79
bol,1999,1.64
bol,2000,1.73
bol,2001,22.93
bol,2002,9.22
bol,2004,13.07
bol,2005,12.08
bol,2006,10.79
bol,2007,11.02
bol,2008,9.69
bol,2009,9.18
bol,2011,10.85
bol,2012,10.41
bol,2013,10.45
bol,2014,11.16
bol,2015,14.55
bol,2016,10.79
bol,2017,11.58
bol,2018,10.83
bol,2019,10.24
bol,2020,13.7
bra,1995,20.56
bra,1996,21
bra,1997,20.72
bra,1998,20.47
bra,1999,19.92
bra,2001,19.69
bra,2002,19.27
bra,2003,19.32
bra,2004,19.02
bra,2005,19.09
bra,2006,19.28
bra,2007,19.22
bra,2008,18.35
bra,2009,18.81
bra,2011,19.43
bra,2012,20.54
bra,2013,20.9
bra,2014,20.69
bra,2015,22.13
bra,2016,23.88
bra,2017,24.95
bra,2018,24.69
bra,2019,24.09
bra,2020,26.21
brn,2014,17.2
brn,2017,19.97
brn,2018,20.72
brn,2019,20.09
brn,2020,8.75
bwa,1996,43.35
bwa,2006,42.34
bwa,2009,35.47
bwa,2019,33.2
bwa,2020,39.27
can,1976,19.68
can,1977,20.17
can,1978,19.76
can,1979,18.55
can,1980,18.45
can,1981,18.04
can,1982,21.96
can,1983,21.75
can,1984,20.07
can,1985,18.35
can,1986,17.26
can,1987,15.91
can,1988,14.62
can,1989,14.02
can,1990,15.17
can,1991,16.9
can,1992,17.38
can,1993,17.27
can,1994,16.7
can,1995,16.05
can,1996,16.25
can,1997,15.89
can,1998,15.29
can,1999,14.23
can,2000,13.9
can,2001,13.33
can,2002,13.22
can,2003,13.19
can,2004,13.09
can,2005,12.78
can,2006,12.37
can,2007,12.32
can,2008,12.74
can,2009,14.36
can,2010,14.1
can,2011,13.62
can,2012,13.79
can,2013,13.48
can,2014,13.9
can,2015,13.82
can,2016,13.5
can,2017,12.58
can,2018,12.84
can,2019,12.36
can,2020,17.93
can,2021,12.94
che,2003,7.28
che,2004,6.59
che,2005,7.21
che,2006,7.18
che,2007,6.23
che,2008,6.29
che,2009,8.05
che,2010,6.75
che,2011,6.84
che,2012,6.81
che,2013,7.33
che,2014,7.4
che,2015,7.37
che,2016,7.03
che,2017,6.51
che,2018,6.04
che,2019,6.2
che,2020,6.36
chl,1990,28.14
chl,1992,24.09
chl,1994,24.57
chl,1996,20.83
chl,1998,23.26
chl,2000,24.03
chl,2003,20.54
chl,2006,19.89
chl,2009,23.2
chl,2010,19.19
chl,2011,19.18
chl,2012,17.88
chl,2013,18.32
chl,2014,18.64
chl,2015,19.17
chl,2016,17.1
chl,2017,16.53
chl,2018,15.86
chl,2019,16.51
chl,2020,20.87
civ,2012,12.67
civ,2013,10.18
civ,2016,36
civ,2017,34.83
cmr,2007,11.12
cmr,2010,10.79
cmr,2014,17.01
cod,2005,18.45
cod,2012,21.36
cog,2005,26.46
cog,2009,21.86
col,2002,29.94
col,2003,28.09
col,2004,28.74
col,2005,27.72
col,2007,26.69
col,2008,25.54
col,2009,24.96
col,2010,23.56
col,2011,23.39
col,2012,22.48
col,2013,22.09
col,2014,21.39
col,2015,20.94
col,2016,20.98
col,2017,21.78
col,2018,22.59
col,2019,23.95
com,2004,27.89
com,2014,27.58
cpv,2017,31.4
cpv,2018,30.25
cpv,2019,27.99
cri,2001,21.61
cri,2002,20.56
cri,2003,21.62
cri,2004,20.17
cri,2005,18.66
cri,2006,18.47
cri,2007,17.47
cri,2008,17.32
cri,2009,19.64
cri,2010,19.09
cri,2011,21.38
cri,2012,17.75
cri,2013,18.24
cri,2014,18.61
cri,2015,18.87
cri,2016,20.67
cri,2017,20.1
cri,2018,19.02
cri,2019,17.9
cri,2020,20.16
cyp,2003,8.93
cyp,2004,9.37
cyp,2005,19.52
cyp,2006,10.73
cyp,2007,8.99
cyp,2008,9.65
cyp,2009,9.9
cyp,2010,11.68
cyp,2011,14.64
cyp,2012,15.98
cyp,2013,18.67
cyp,2014,17.01
cyp,2015,15.3
cyp,2016,16.02
cyp,2017,16.09
cyp,2018,13.21
cyp,2019,13.66
cyp,2020,14.36
cze,2003,11.62
cze,2004,12.58
cze,2005,13.25
cze,2006,9.16
cze,2007,6.93
cze,2008,6.7
cze,2009,8.51
cze,2010,8.83
cze,2011,8.28
cze,2012,8.89
cze,2013,9.13
cze,2014,8.11
cze,2015,7.47
cze,2016,7
cze,2017,6.29
cze,2018,5.63
cze,2019,5.66
cze,2020,6.61
deu,2003,10.03
deu,2004,10.08
deu,2005,11.28
deu,2006,10.06
deu,2007,9.3
deu,2008,8.43
deu,2009,8.8
deu,2010,8.3
deu,2011,7.49
deu,2012,7.1
deu,2013,6.25
deu,2014,6.36
deu,2015,6.17
deu,2016,6.69
deu,2017,6.26
deu,2018,5.9
deu,2019,5.66
deu,2020,7.43
dji,2017,19.32
dnk,2003,5.44
dnk,2004,5.45
dnk,2005,4.31
dnk,2006,3.62
dnk,2007,4.3
dnk,2008,5.18
dnk,2009,6.48
dnk,2010,6.86
dnk,2011,7.19
dnk,2012,7.35
dnk,2013,6.63
dnk,2014,6.39
dnk,2015,7.03
dnk,2016,6.72
dnk,2017,7.58
dnk,2018,7.68
dnk,2019,7.72
dnk,2020,7.44
dom,2000,19.68
dom,2001,20.94
dom,2002,20.26
dom,2003,20.93
dom,2004,20.45
dom,2005,20.45
dom,2006,19.44
dom,2007,19.12
dom,2008,19.07
dom,2009,21.47
dom,2010,20.83
dom,2011,19.93
dom,2012,20.17
dom,2013,20.82
dom,2014,19.47
dom,2015,25.23
dom,2016,25.37
dom,2017,24.34
dom,2018,24.5
dom,2019,24.77
dom,2020,37.71
dza,2009,25.45
dza,2010,24.53
dza,2011,26
dza,2012,22.7
dza,2013,21.5
dza,2014,22.8
dza,2015,21.2
dza,2017,20.95
ecu,2000,20.07
ecu,2001,18.03
ecu,2003,21.03
ecu,2004,18.43
ecu,2005,17.46
ecu,2006,17.05
ecu,2007,16.37
ecu,2008,16.14
ecu,2009,16.5
ecu,2010,15.66
ecu,2011,16.43
ecu,2012,16.55
ecu,2013,17.36
ecu,2014,20.23
ecu,2015,19.81
ecu,2016,18.44
ecu,2017,17.56
ecu,2018,17.67
ecu,2019,17.52
egy,2008,29.66
egy,2009,29.9
egy,2010,33.08
egy,2011,32.1
egy,2012,31.55
egy,2013,28.4
egy,2015,27.61
egy,2016,27.61
egy,2017,26.9
egy,2018,27.09
egy,2019,27.96
egy,2020,30.19
esp,2003,11.69
esp,2004,11.76
esp,2005,12.96
esp,2006,11.83
esp,2007,12.04
esp,2008,14.26
esp,2009,18.09
esp,2010,17.81
esp,2011,18.25
esp,2012,18.6
esp,2013,18.63
esp,2014,17.14
esp,2015,15.64
esp,2016,14.61
esp,2017,13.32
esp,2018,12.44
esp,2019,12.13
esp,2020,13.87
est,2003,12.12
est,2004,15.14
est,2005,10.94
est,2006,8.91
est,2007,9.39
est,2008,9.09
est,2009,14.47
est,2010,14.03
est,2011,11.57
est,2012,12.2
est,2013,11.32
est,2014,11.66
est,2015,10.84
est,2016,9.14
est,2017,9.43
est,2018,9.85
est,2019,6.94
est,2020,8.86
eth,2013,10.48
fin,2003,10.96
fin,2004,9.78
fin,2005,8.09
fin,2006,7.86
fin,2007,7.09
fin,2008,7.95
fin,2009,9.84
fin,2010,9.02
fin,2011,8.43
fin,2012,8.56
fin,2013,9.3
fin,2014,10.17
fin,2015,10.56
fin,2016,9.92
fin,2017,9.4
fin,2018,8.52
fin,2019,8.16
fin,2020,9.25
fji,2005,20.55
fji,2011,18.4
fji,2014,19.09
fji,2016,20.09
fra,2003,9.52
fra,2004,10.69
fra,2005,11.19
fra,2006,11.34
fra,2007,10.65
fra,2008,10.55
fra,2009,12.71
fra,2010,12.65
fra,2011,12.28
fra,2012,12.5
fra,2013,11.23
fra,2014,11.18
fra,2015,11.91
fra,2016,11.82
fra,2017,11.38
fra,2018,11.04
fra,2019,10.54
fra,2020,11.38
fsm,2014,23.69
gbr,2004,5.45
gbr,2005,8.42
gbr,2006,8.55
gbr,2007,11.9
gbr,2008,12.09
gbr,2009,13.22
gbr,2010,13.62
gbr,2011,14.24
gbr,2012,13.88
gbr,2013,13.24
gbr,2014,11.86
gbr,2015,11.05
gbr,2016,10.89
gbr,2017,10.31
gbr,2018,10.45
gbr,2019,10.52
geo,2012,32.56
geo,2013,30.95
geo,2014,28.77
geo,2015,27.44
geo,2016,26.82
geo,2017,24.76
geo,2018,26.85
geo,2019,26
geo,2020,28.53
gha,1991,16.4
gha,2000,30.37
gha,2006,23.61
gha,2010,20.25
gha,2013,11.08
gha,2015,25.51
gha,2017,30.46
gin,2002,6.2
gin,2019,10.76
gmb,2012,34
gmb,2018,49.55
gnb,2018,24.3
grc,2003,13.67
grc,2004,14.91
grc,2005,20.78
grc,2006,11.97
grc,2007,11.33
grc,2008,11.44
grc,2009,12.38
grc,2010,14.78
grc,2011,17.38
grc,2012,20.17
grc,2013,20.4
grc,2014,19.15
grc,2015,17.16
grc,2016,15.81
grc,2017,15.29
grc,2018,14.09
grc,2019,12.54
grc,2020,13.21
gtm,2003,22.9
gtm,2004,27.55
gtm,2006,24.2
gtm,2010,24.44
gtm,2011,24.75
gtm,2012,22.46
gtm,2013,26.94
gtm,2014,26.41
gtm,2015,26.45
gtm,2016,27.34
gtm,2017,27.26
gtm,2018,27.79
gtm,2019,28.19
guy,2018,35.84
guy,2019,35.69
hkg,2009,7.41
hkg,2010,6.95
hkg,2011,6.16
hkg,2012,6.14
hkg,2013,6.68
hkg,2014,6.62
hkg,2015,6.6
hkg,2016,6.1
hkg,2017,6.39
hkg,2018,6.46
hkg,2019,6.8
hkg,2020,9.12
hnd,2005,27
hnd,2006,26.84
hnd,2007,27.58
hnd,2008,25.82
hnd,2009,26.53
hnd,2010,26.21
hnd,2011,27.54
hnd,2012,28.67
hnd,2013,26.81
hnd,2015,26.96
hnd,2016,27.82
hnd,2017,27.72
hnd,2018,26.68
hnd,2019,28.11
hrv,2005,16.72
hrv,2006,14.18
hrv,2007,12.87
hrv,2008,11.62
hrv,2009,13.43
hrv,2010,15.67
hrv,2011,16.22
hrv,2012,16.59
hrv,2013,19.63
hrv,2014,19.33
hrv,2015,18.12
hrv,2016,16.9
hrv,2017,15.35
hrv,2018,13.57
hrv,2019,11.78
hrv,2020,12.24
hti,2012,18.19
hun,2004,12.38
hun,2005,18.79
hun,2006,12.43
hun,2007,11.46
hun,2008,11.46
hun,2009,13.6
hun,2010,12.56
hun,2011,13.21
hun,2012,14.78
hun,2013,15.47
hun,2014,13.62
hun,2015,11.58
hun,2016,11.05
hun,2017,11.04
hun,2018,10.73
hun,2019,11
hun,2020,11.71
idn,2000,29.38
idn,2001,29.85
idn,2002,31.06
idn,2003,31.52
idn,2004,31.42
idn,2005,31.86
idn,2006,30.42
idn,2007,30.03
idn,2008,28.15
idn,2009,27.67
idn,2010,26.65
idn,2011,25.9
idn,2012,22.95
idn,2013,22.89
idn,2014,22.35
idn,2015,22.92
idn,2016,22.48
idn,2017,21.45
idn,2018,21.74
idn,2019,20.55
idn,2020,21.8
ind,1994,32.62
ind,2000,32.24
ind,2004,26.13
ind,2005,30.43
ind,2010,27.86
ind,2012,27.5
ind,2018,30.41
ind,2019,29.53
ind,2020,28.23
irl,2003,8.84
irl,2004,10.36
irl,2005,15.13
irl,2006,14.43
irl,2007,10.06
irl,2008,12.52
irl,2009,18.29
irl,2010,19.43
irl,2011,19.14
irl,2012,19.18
irl,2013,16.42
irl,2014,15.24
irl,2015,14.25
irl,2016,12.57
irl,2017,10.93
irl,2018,10.07
irl,2019,10.09
irl,2020,12.02
irn,2005,36.01
irn,2006,35.81
irn,2007,34.46
irn,2008,34.19
irn,2009,34.83
irn,2010,34.43
irn,2011,32.9
irn,2012,32.1
irn,2013,33.45
irn,2014,33.33
irn,2015,32.75
irn,2016,32.38
irn,2017,32.26
irn,2018,32.09
irn,2019,30.4
irn,2020,29.4
irq,2007,46.18
irq,2012,40.64
isl,2003,4.48
isl,2004,6.93
isl,2005,4.66
isl,2006,4.8
isl,2007,4.1
isl,2008,4.32
isl,2009,7.33
isl,2010,7.35
isl,2011,6.69
isl,2012,5.89
isl,2013,5.47
isl,2014,5.72
isl,2015,4.55
isl,2016,4.12
isl,2017,3.87
isl,2018,4.87
isl,2019,4.71
isl,2020,6.03
isr,2012,15.37
isr,2013,14.42
isr,2014,14.46
isr,2015,14.31
isr,2016,13.68
isr,2017,13.57
isr,2018,14.67
isr,2019,15.45
isr,2020,17.26
ita,2004,16.27
ita,2005,17.05
ita,2006,16.77
ita,2007,16.14
ita,2008,16.56
ita,2009,17.55
ita,2010,18.97
ita,2011,19.64
ita,2012,20.94
ita,2013,22.14
ita,2014,22.04
ita,2015,21.33
ita,2016,19.8
ita,2017,19.99
ita,2018,19.19
ita,2019,18.05
ita,2020,18.93
jam,2008,27.41
jam,2009,30.31
jam,2010,31.4
jam,2011,31.25
jam,2012,31.97
jam,2013,33.31
jam,2014,32.68
jam,2016,29.4
jam,2017,27.54
jam,2018,25.64
jam,2019,22.64
jam,2020,29.57
jor,2017,38.07
jor,2018,36.53
jor,2019,36
jor,2020,35.39
jpn,2009,4.43
jpn,2010,4.34
jpn,2012,4.26
jpn,2013,3.96
jpn,2014,3.74
jpn,2015,3.66
jpn,2016,3.55
jpn,2017,3.32
jpn,2018,2.94
jpn,2019,3.11
kaz,2001,18.6
kaz,2002,14.88
kaz,2003,13.53
kaz,2004,13.24
kaz,2005,12.81
kaz,2006,12.5
kaz,2007,10.73
kaz,2008,9.71
kaz,2009,9.55
kaz,2010,8.2
kaz,2011,7.8
kaz,2012,8.03
kaz,2013,8.02
kaz,2014,8.76
kaz,2015,8.46
kaz,2016,9.49
ken,1999,32.43
ken,2006,22.7
ken,2016,13.73
ken,2019,19.67
kgz,2009,17.8
kgz,2010,18.46
kgz,2011,60.54
kgz,2012,62.46
kgz,2013,21.23
kgz,2014,20.72
kgz,2015,21.42
kgz,2016,20.4
kgz,2017,21.02
kgz,2018,20.54
kgz,2019,20.95
kgz,2020,21.67
khm,1998,21.08
khm,2000,10.34
khm,2001,6.13
khm,2007,0.35
khm,2008,0.13
khm,2009,7.13
khm,2010,0.22
khm,2011,0.22
khm,2012,12.72
khm,2013,0.2
khm,2014,0.06
khm,2017,6.09
khm,2019,12.67
kir,2015,46.89
kir,2019,49.78
kos,2012,35.13
kos,2013,35.26
kos,2014,30.17
kos,2015,31.57
kos,2016,29.91
kos,2017,27.22
kos,2018,30.28
kos,2019,32.61
kos,2020,33.68
lao,2010,5.12
lao,2017,42.08
lbn,2007,21.3
lbn,2019,23.54
lbr,2010,24.28
lbr,2014,15.12
lbr,2016,13.15
lbr,2017,44.49
lca,2017,33.66
lca,2018,32.49
lca,2019,29.87
lka,2010,26.68
lka,2011,26.52
lka,2013,27.46
lka,2014,28.8
lka,2015,26.63
lka,2016,27.09
lka,2017,24.72
lka,2018,24.18
lka,2019,21.21
lso,2019,42.3
ltu,2004,9.88
ltu,2005,8.77
ltu,2006,8.32
ltu,2007,7.07
ltu,2008,8.85
ltu,2009,12.12
ltu,2010,13.17
ltu,2011,11.82
ltu,2012,11.17
ltu,2013,11.14
ltu,2014,9.91
ltu,2015,9.2
ltu,2016,9.41
ltu,2017,9.15
ltu,2018,8.04
ltu,2019,8.65
ltu,2020,10.76
lux,2003,5.14
lux,2004,6.25
lux,2005,5.5
lux,2006,6.69
lux,2007,5.66
lux,2008,6.21
lux,2009,5.79
lux,2010,5.12
lux,2011,4.74
lux,2012,5.89
lux,2013,4.99
lux,2014,6.26
lux,2015,6.17
lux,2016,5.37
lux,2017,5.91
lux,2018,5.28
lux,2019,5.6
lux,2020,6.55
lva,2003,12.73
lva,2004,12.34
lva,2005,10.89
lva,2006,11.46
lva,2007,11.94
lva,2008,11.82
lva,2009,17.49
lva,2010,17.81
lva,2011,16.03
lva,2012,14.89
lva,2013,13.03
lva,2014,12.01
lva,2015,10.52
lva,2016,11.21
lva,2017,10.26
lva,2018,7.84
lva,2019,7.86
lva,2020,7.06
mac,2009,7.19
mac,2010,6.19
mac,2011,6.3
mac,2012,5.76
mac,2013,5.27
mac,2014,5
mac,2015,5.31
mac,2016,4.96
mda,2010,28.18
mda,2011,29.19
mda,2012,29.27
mda,2013,28.64
mda,2014,39.01
mda,2015,35.7
mda,2018,28.25
mdg,2012,3.79
mdv,2009,32.54
mdv,2014,17.65
mdv,2016,23.49
mdv,2019,27.6
mex,2005,21.46
mex,2006,21.3
mex,2007,21.09
mex,2008,21.91
mex,2009,22.14
mex,2010,22.18
mex,2011,21.82
mex,2012,21.14
mex,2013,20.47
mex,2014,20.28
mex,2015,19.75
mex,2016,19.55
mex,2017,18.73
mex,2018,18.43
mex,2019,18.3
mex,2020,20.39
mhl,2019,41.17
mkd,2006,41.3
mkd,2007,33.06
mkd,2008,30.7
mkd,2009,27.66
mkd,2010,25.52
mkd,2011,25.18
mkd,2012,24.8
mkd,2013,24.23
mkd,2014,25.15
mkd,2015,24.72
mkd,2016,24.32
mkd,2017,24.86
mkd,2018,24.14
mkd,2019,18.14
mkd,2020,19.81
mli,2010,13.47
mli,2013,18.22
mli,2014,21.31
mli,2015,24.94
mli,2016,33.98
mli,2017,28.56
mli,2018,26.72
mlt,2004,12.22
mlt,2005,11.9
mlt,2006,10.34
mlt,2007,11.54
mlt,2008,8.27
mlt,2009,9.88
mlt,2010,9.53
mlt,2011,10.18
mlt,2012,10.82
mlt,2013,9.91
mlt,2014,10.27
mlt,2015,10.54
mlt,2016,8.76
mlt,2017,8.59
mlt,2018,7.28
mlt,2019,8.56
mlt,2020,9.23
mmr,2015,18.62
mmr,2017,17.38
mmr,2018,13.6
mmr,2019,14.93
mne,2011,16.32
mne,2012,16.94
mne,2013,17.87
mne,2014,17.72
mne,2015,19.15
mne,2016,18.4
mne,2017,16.69
mne,2018,16.3
mne,2019,17.34
mne,2020,21.09
mng,2006,18.51
mng,2008,17.84
mng,2009,18.7
mng,2010,17.63
mng,2011,16.54
mng,2012,17.59
mng,2013,18.39
mng,2014,17.45
mng,2015,16.81
mng,2016,20.45
mng,2017,19.82
mng,2018,18.88
mng,2019,19.66
mng,2020,19.72
mrt,2012,39.49
mrt,2017,35.53
mus,2001,33.84
mus,2002,30.22
mus,2003,27.36
mus,2004,27.99
mus,2005,28.48
mus,2006,22.23
mus,2007,20.61
mus,2008,21.34
mus,2009,21.83
mus,2010,21.52
mus,2011,21.54
mus,2012,21.61
mus,2013,21.17
mus,2014,20.86
mus,2015,20.09
mus,2016,20.32
mus,2017,19.94
mus,2018,20.46
mus,2019,18.08
mus,2020,41.72
mwi,2005,10.35
mwi,2011,15.35
mwi,2017,31.56
mwi,2020,29.59
mys,2011,14.37
mys,2012,13.95
mys,2013,13.65
mys,2014,12.77
mys,2016,11.69
mys,2017,11.8
mys,2018,12.47
mys,2019,11.41
mys,2020,13.63
nam,2010,29.34
nam,2012,31.15
nam,2013,32.01
nam,2014,30.47
nam,2016,33.42
nam,2018,31.76
ncl,2014,11.84
ner,2011,19.43
ner,2014,25.2
ner,2017,68.56
nga,2011,24.82
nga,2013,21.36
nga,2016,21.36
nga,2019,28.13
nic,2001,25.61
nic,2005,22.53
nic,2012,15.02
nic,2014,24.49
nld,2003,4.78
nld,2004,4.86
nld,2005,6.43
nld,2006,4.9
nld,2007,4.27
nld,2008,3.91
nld,2009,4.96
nld,2010,4.83
nld,2011,4.31
nld,2012,4.85
nld,2013,5.65
nld,2014,5.53
nld,2015,4.67
nld,2016,4.57
nld,2017,4
nld,2018,4.18
nld,2019,4.26
nld,2020,4.52
nld_curacao,2018,5.06
nld_curacao,2020,17.46
nor,2003,10.01
nor,2004,9.18
nor,2005,11.3
nor,2006,4.56
nor,2007,4.41
nor,2008,4.13
nor,2009,5
nor,2010,4.9
nor,2011,5.04
nor,2012,5.16
nor,2013,5.63
nor,2014,5.47
nor,2015,5.03
nor,2016,5.37
nor,2017,4.59
nor,2018,4.85
nor,2019,4.75
nor,2020,4.9
npl,2008,23.13
npl,2017,35.35
nru,2013,36.4
nzl,2004,10.79
nzl,2005,11.12
nzl,2006,10.73
nzl,2007,10.98
nzl,2008,11.24
nzl,2009,14.25
nzl,2010,13.64
nzl,2011,13.47
nzl,2012,13.78
nzl,2013,12.21
nzl,2014,11.66
nzl,2015,11.54
nzl,2016,12.18
nzl,2017,11.92
nzl,2018,12.05
nzl,2019,11.62
nzl,2020,12.95
pak,2006,36.17
pak,2007,34.91
pak,2008,33.33
pak,2009,31.47
pak,2010,31.1
pak,2011,32
pak,2013,31.01
pak,2014,30.91
pak,2015,30.41
pak,2018,30.96
pak,2019,29.71
pan,1997,24.31
pan,2003,22.26
pan,2008,21.93
pan,2009,20.08
pan,2010,20.89
pan,2011,21.03
pan,2012,17.59
pan,2013,16.98
pan,2014,18.76
pan,2015,18.45
pan,2016,17.09
pan,2017,17.2
pan,2018,16.38
pan,2019,16.68
pan,2020,18.74
pan,2021,19.3
per,2002,13.73
per,2003,12.42
per,2004,18.92
per,2005,22.51
per,2006,18.15
per,2007,16.84
per,2008,16.51
per,2009,15.9
per,2010,14.99
per,2011,15.57
per,2012,15.11
per,2013,16.25
per,2014,16.54
per,2015,18.16
per,2016,16.57
per,2017,17.34
per,2018,17.68
per,2019,16.82
per,2020,25.88
phl,2006,24.68
phl,2007,25.03
phl,2008,24.75
phl,2009,24.81
phl,2010,25.32
phl,2011,24.42
phl,2012,24.83
phl,2013,24.3
phl,2014,23.35
phl,2015,22.84
phl,2016,22.2
phl,2017,21.7
phl,2018,19.89
phl,2019,18.76
phl,2020,18.62
plw,2000,27.23
plw,2014,12.92
png,2010,27.68
pol,2004,14.48
pol,2005,13.91
pol,2006,12.61
pol,2007,10.59
pol,2008,9.04
pol,2009,10.11
pol,2010,10.77
pol,2011,11.5
pol,2012,11.82
pol,2013,12.21
pol,2014,11.98
pol,2015,10.99
pol,2016,10.52
pol,2017,9.48
pol,2018,8.66
pol,2019,8.13
pol,2020,8.63
prt,2004,10.25
prt,2005,11.09
prt,2006,10.61
prt,2007,11.16
prt,2008,10.23
prt,2009,11.2
prt,2010,11.44
prt,2011,12.55
prt,2012,13.91
prt,2013,14.07
prt,2014,12.28
prt,2015,11.27
prt,2016,10.55
prt,2017,9.34
prt,2018,8.37
prt,2019,8.02
prt,2020,9.06
pry,1998,22.87
pry,1999,23.9
pry,2001,21.45
pry,2002,24.95
pry,2003,21.68
pry,2004,20.55
pry,2005,18.88
pry,2006,19.16
pry,2007,19.56
pry,2008,17.55
pry,2009,17
pry,2010,18.82
pry,2011,16.38
pry,2012,15.34
pry,2013,14.35
pry,2014,16.39
pry,2015,16.84
pry,2016,18.15
pry,2017,18.06
pse,2000,33.03
pse,2001,36.88
pse,2002,36.11
pse,2003,32.2
pse,2004,30.84
pse,2005,29.76
pse,2006,29.14
pse,2007,29.11
pse,2008,28.8
pse,2009,28.22
pse,2010,29.27
pse,2011,27.45
pse,2012,30.01
pse,2013,31.44
pse,2014,32.24
pse,2015,32.24
pse,2016,32.43
pse,2017,33.24
pse,2018,33.45
pse,2019,33.41
pse,2020,34.46
rou,2003,19.33
rou,2004,18.84
rou,2005,16.8
rou,2006,14.77
rou,2007,13.31
rou,2008,11.57
rou,2009,13.94
rou,2010,16.6
rou,2011,17.47
rou,2012,16.81
rou,2013,16.96
rou,2014,17.01
rou,2015,18.08
rou,2016,17.38
rou,2017,15.15
rou,2018,14.52
rou,2019,14.66
rou,2020,14.75
rus,2009,14.08
rus,2010,14.21
rus,2011,12.69
rus,2012,11.99
rus,2013,11.82
rus,2014,12.03
rus,2015,12.03
rus,2016,12.41
rwa,2014,4.65
rwa,2017,30.79
rwa,2018,30.62
rwa,2019,32.78
rwa,2020,31
sau,2009,18.74
sau,2011,20.57
sau,2012,18.79
sau,2013,18.42
sau,2014,18.32
sau,2015,16.1
sau,2019,17.4
sau,2020,22.31
sdn,2011,32.81
sen,2015,36.24
sen,2016,29.52
sen,2017,35.52
sen,2018,39.42
sen,2019,32.71
sgp,2013,3.7
sgp,2014,3.6
sgp,2015,3.6
sgp,2016,4.1
sgp,2017,4.5
sgp,2018,4.3
sgp,2019,4.13
sgp,2020,4.46
slb,2013,7.04
sle,2014,10.09
sle,2018,8.9
slv,2009,28.93
slv,2010,27.21
slv,2011,25.91
slv,2012,26.03
slv,2013,25.35
slv,2014,28.5
slv,2015,28.54
slv,2016,28.22
slv,2017,28.4
slv,2018,27.15
slv,2019,27.94
slv,2020,26.74
som,2019,44.74
srb,2008,20.32
srb,2009,21.61
srb,2010,21.2
srb,2011,21.6
srb,2012,21.65
srb,2013,19.79
srb,2014,21
srb,2015,20.36
srb,2016,18.08
srb,2017,17.58
srb,2018,16.98
srb,2019,15.66
srb,2020,16.18
sur,2016,14.65
svk,2003,16.98
svk,2004,17.08
svk,2005,15.85
