geo,time,dt_nfl_unfp_cd
nga,1983,589999.97377
nga,1984,1059999.94278
nga,1985,1259999.99046
nga,1986,750000
nga,1987,680000.00715
nga,1988,2200000.04768
nga,1989,1730000.01907
nga,1990,2250000
nga,1991,3299999.95232
nga,1992,1009999.99046
nga,1993,870000.00477
nga,1994,4170000.07629
nga,1995,4909999.84741
nga,1996,2720000.02861
nga,1997,2890000.1049
nga,1998,3539999.96185
nga,1999,3430000.06676
nga,2000,3680000.06676
nga,2001,5630000.11444
nga,2002,6400000.09537
nga,2003,6599999.90463
nga,2004,5599999.90463
nga,2005,5150000.09537
nga,2006,5539999.96185
nga,2007,6000000
nga,2008,9270000.45776
nga,2009,5519999.98093
nga,2010,6739999.77112
nga,2011,6219999.79019
nga,2012,7226131.91605
nga,2013,7968478.20282
nga,2014,8045615.19623
nga,2015,7400442.60025
nga,2016,5971483.70743
nga,2017,6102197.17026
nga,2018,5583380.22232
nga,2019,6726762.77161
nic,1977,90000.00358
nic,1980,330000.01311
nic,1981,289999.99166
nic,1982,490000.00954
nic,1983,259999.99046
nic,1984,479999.98927
nic,1985,910000.02623
nic,1986,419999.98689
nic,1987,189999.99762
nic,1988,569999.99285
nic,1989,550000.01192
nic,1990,479999.98927
nic,1991,810000.00238
nic,1992,529999.97139
nic,1993,560000.00238
nic,1994,1519999.98093
nic,1995,1759999.99046
nic,1996,2029999.97139
nic,1997,2710000.03815
nic,1998,2240000.00954
nic,1999,1759999.99046
nic,2000,1200000.04768
nic,2001,2430000.06676
nic,2002,2029999.97139
nic,2003,2119999.88556
nic,2004,1360000.01431
nic,2005,1399999.97616
nic,2006,1480000.01907
nic,2007,1559999.94278
nic,2008,1610000.01431
nic,2009,1549999.95232
nic,2010,1450000.04768
nic,2011,1500000
nic,2012,1579022.0499
nic,2013,1377794.02733
nic,2014,1406065.2256
nic,2015,1269869.92359
nic,2016,951451.18237
nic,2017,805999.10021
nic,2018,769860.02922
nic,2019,1352812.64782
npl,1977,250000
npl,1980,3200000.04768
npl,1981,2740000.00954
npl,1982,1639999.98569
npl,1983,2559999.94278
npl,1984,1620000.00477
npl,1985,2220000.02861
npl,1986,1580000.04292
npl,1987,1889999.98569
npl,1988,289999.99166
npl,1989,1940000.05722
npl,1990,2259999.99046
npl,1991,3140000.1049
npl,1992,2089999.91417
npl,1993,2250000
npl,1994,3859999.8951
npl,1995,3779999.97139
npl,1996,6190000.05722
npl,1997,2029999.97139
npl,1998,6590000.15259
npl,1999,3910000.08583
npl,2000,2480000.01907
npl,2001,4889999.86649
npl,2002,3299999.95232
npl,2003,2829999.92371
npl,2004,3319999.93324
npl,2005,4809999.94278
npl,2006,3930000.06676
npl,2007,4289999.96185
npl,2008,5599999.90463
npl,2009,4360000.13351
npl,2010,3339999.91417
npl,2011,3049999.95232
npl,2012,4257996.08231
npl,2013,3435689.92615
npl,2014,4223662.3764
npl,2015,4376431.46515
npl,2016,3505603.31345
npl,2017,2448466.06255
npl,2018,2298310.04143
npl,2019,3118018.86559
omn,1986,70000.0003
omn,1987,29999.99933
omn,1988,59999.99866
omn,1989,200000.00298
omn,1990,140000.0006
omn,1991,79999.99821
omn,1992,90000.00358
omn,1993,180000.00715
omn,1994,70000.0003
omn,1997,70000.0003
omn,2000,9999.99978
omn,2001,29999.99933
omn,2002,39999.99911
omn,2003,19999.99955
omn,2005,150000.00596
omn,2006,239999.99464
omn,2007,469999.99881
omn,2008,419999.98689
omn,2009,400000.00596
omn,2010,140000.0006
pak,1977,649999.97616
pak,1980,4130000.11444
pak,1981,1000000
pak,1982,2480000.01907
pak,1983,2950000.04768
pak,1984,1860000.01431
pak,1985,1919999.95708
pak,1986,1470000.02861
pak,1987,2359999.8951
pak,1988,1379999.99523
pak,1989,1799999.95232
pak,1990,2470000.02861
pak,1991,889999.98569
pak,1992,1639999.98569
pak,1993,850000.02384
pak,1994,3390000.1049
pak,1995,4590000.15259
pak,1996,6369999.88556
pak,1997,4570000.17166
pak,1998,4260000.22888
pak,1999,5530000.20981
pak,2000,649999.97616
pak,2001,3279999.97139
pak,2002,4150000.09537
pak,2003,4869999.88556
pak,2004,4960000.03815
pak,2005,7780000.20981
pak,2006,6389999.86649
pak,2007,6980000.01907
pak,2008,6750000
pak,2009,7880000.11444
pak,2010,10810000.41962
pak,2011,9640000.34332
pak,2012,6225399.01733
pak,2013,4805322.17026
pak,2014,5757965.56473
pak,2015,6717499.73297
pak,2016,5764987.94556
pak,2017,3798720.59822
pak,2018,3387559.89075
pak,2019,5386211.8721
pan,1980,1210000.03815
pan,1981,629999.99523
pan,1982,430000.00715
pan,1983,419999.98689
pan,1984,270000.01073
pan,1985,360000.01431
pan,1986,209999.99344
pan,1987,219999.99881
pan,1988,100000.00149
pan,1989,469999.99881
pan,1990,319999.99285
pan,1991,239999.99464
pan,1992,270000.01073
pan,1993,310000.00238
pan,1994,469999.99881
pan,1995,319999.99285
pan,1996,289999.99166
pan,1997,349999.99404
pan,1998,340000.00358
pan,1999,239999.99464
pan,2000,209999.99344
pan,2001,400000.00596
pan,2002,479999.98927
pan,2003,419999.98689
pan,2004,569999.99285
pan,2005,500000
pan,2006,519999.98093
pan,2007,540000.02146
pan,2008,740000.00954
pan,2009,660000.02623
pan,2010,769999.98093
pan,2011,720000.02861
pan,2012,693785.01177
pan,2013,573556.00595
pan,2014,701633.63218
pan,2015,533890.06853
pan,2016,382287.80031
pan,2017,388649.85108
pan,2018,427139.99748
pan,2019,687921.94128
per,1977,349999.99404
per,1980,1450000.04768
per,1981,1159999.96662
per,1982,579999.98331
per,1983,1080000.04292
per,1984,980000.01907
per,1985,610000.01431
per,1986,589999.97377
per,1987,1779999.97139
per,1988,1769999.98093
per,1989,1090000.03338
per,1990,1250000
per,1991,779999.97139
per,1992,680000.00715
per,1993,1590000.03338
per,1994,2180000.06676
per,1995,2390000.1049
per,1996,2410000.08583
per,1997,3089999.91417
per,1998,2019999.98093
per,1999,2880000.11444
per,2000,1389999.98569
per,2001,1590000.03338
per,2002,6389999.86649
per,2003,1559999.94278
per,2004,1539999.96185
per,2005,1250000
per,2006,1269999.98093
per,2007,1490000.00954
per,2008,1980000.01907
per,2009,2150000.09537
per,2010,2220000.02861
per,2011,1840000.03338
per,2012,2004669.90471
per,2013,1897531.03256
per,2014,1661913.63335
per,2015,1367958.18806
per,2016,736252.30789
per,2017,955929.81577
per,2018,1043190.00244
per,2019,1706815.83881
phl,1977,1039999.96185
phl,1980,629999.99523
phl,1981,829999.98331
phl,1982,910000.02623
phl,1983,1090000.03338
phl,1984,1250000
phl,1985,2539999.96185
phl,1986,970000.02861
phl,1987,750000
phl,1988,949999.98808
phl,1989,1389999.98569
phl,1990,4420000.07629
phl,1991,3269999.98093
phl,1992,4860000.13351
phl,1993,6570000.17166
phl,1994,4119999.88556
phl,1995,7260000.22888
phl,1996,7630000.11444
phl,1997,6119999.88556
phl,1998,3470000.02861
phl,1999,2559999.94278
phl,2000,1000000
phl,2001,2910000.08583
phl,2002,3329999.92371
phl,2003,3720000.02861
phl,2004,3599999.90463
phl,2005,5139999.86649
phl,2006,4840000.15259
phl,2007,4340000.15259
phl,2008,3720000.02861
phl,2009,4010000.22888
phl,2010,5329999.92371
phl,2011,6099999.90463
phl,2012,5697793.96057
phl,2013,8302348.1369
phl,2014,5658195.49561
phl,2015,3849133.2531
phl,2016,3777757.40623
phl,2017,2404077.05307
phl,2018,2824170.11261
phl,2019,3628283.26225
plw,1997,39999.99911
png,1977,270000.01073
png,1980,340000.00358
png,1981,1029999.97139
png,1982,79999.99821
png,1983,39999.99911
png,1984,59999.99866
png,1985,119999.99732
png,1986,300000.01192
png,1987,180000.00715
png,1988,219999.99881
png,1989,509999.99046
png,1990,200000.00298
png,1991,270000.01073
png,1992,140000.0006
png,1993,170000.00179
png,1994,409999.99642
png,1995,560000.00238
png,1996,990000.00954
png,1997,1870000.00477
png,1998,699999.98808
png,1999,699999.98808
png,2000,689999.99762
png,2001,540000.02146
png,2002,769999.98093
png,2003,409999.99642
png,2004,839999.97377
png,2005,720000.02861
png,2006,930000.00715
png,2007,1000000
png,2008,1370000.00477
png,2009,1559999.94278
png,2010,2119999.88556
png,2011,1710000.03815
png,2012,1976220.01171
png,2013,2376444.10133
png,2014,1937637.44831
png,2015,1890828.84789
png,2016,1408442.25883
png,2017,1576175.21286
png,2018,1594859.9577
png,2019,2427071.80977
pol,1990,29999.99933
pol,1991,50000.00075
pol,1992,9999.99978
pol,1993,9999.99978
pol,1994,79999.99821
pol,1995,189999.99762
pol,1996,140000.0006
pol,1997,230000.00417
pol,1998,140000.0006
pol,1999,159999.99642
pol,2000,109999.9994
pol,2001,109999.9994
pol,2002,79999.99821
pol,2003,79999.99821
prk,1985,19999.99955
prk,1986,209999.99344
prk,1987,720000.02861
prk,1988,379999.99523
prk,1989,419999.98689
prk,1990,759999.99046
prk,1991,1299999.95232
prk,1992,750000
prk,1993,949999.98808
prk,1994,360000.01431
prk,1995,850000.02384
prk,1996,790000.02146
prk,1997,2319999.93324
prk,1998,629999.99523
prk,1999,460000.00834
prk,2000,349999.99404
prk,2001,720000.02861
prk,2002,1049999.95232
prk,2003,600000.02384
prk,2004,699999.98808
prk,2005,939999.99762
prk,2006,1009999.99046
prk,2007,1230000.01907
prk,2008,1269999.98093
prk,2009,1159999.96662
prk,2010,1139999.98569
prk,2011,860000.01431
prk,2012,1196118.95084
prk,2013,642565.01198
prk,2014,1417129.75502
prk,2015,1264655.59006
prk,2016,723439.27622
prk,2017,753350.01945
prk,2018,989880.02539
prk,2019,1382759.69028
pry,1977,9999.99978
pry,1980,769999.98093
pry,1981,889999.98569
pry,1982,769999.98093
pry,1983,560000.00238
pry,1984,509999.99046
pry,1985,409999.99642
pry,1986,310000.00238
pry,1987,479999.98927
pry,1988,400000.00596
pry,1989,660000.02623
pry,1990,889999.98569
pry,1991,479999.98927
pry,1992,449999.98808
pry,1993,209999.99344
pry,1994,839999.97377
pry,1995,1279999.97139
pry,1996,629999.99523
pry,1997,970000.02861
pry,1998,620000.00477
pry,1999,460000.00834
pry,2000,550000.01192
pry,2001,649999.97616
