geo,time,se_ter_tchr_fe_zs
ben,1974,9.2437
ben,1992,14.43075
ben,1993,9.86547
ben,1994,12.3302
ben,1999,8.92308
ben,2000,8.91219
ben,2001,8.90052
ben,2008,9.869
ben,2009,7.58271
ben,2010,7.82609
ben,2011,8.33203
ben,2017,27.20262
ben,2018,20.13473
bfa,1972,33.33333
bfa,1974,20
bfa,1975,18.62745
bfa,1978,21.50538
bfa,1979,18.10345
bfa,1983,13.84083
bfa,1993,2.19378
bfa,2005,5.94758
bfa,2007,8.53659
bfa,2008,8.15145
bfa,2009,7.79324
bfa,2010,8.51506
bfa,2011,8.41121
bfa,2012,8.74421
bfa,2013,8.34654
bfa,2014,8.63868
bfa,2015,9.15076
bfa,2016,9.00791
bfa,2017,9.62498
bfa,2018,9.6366
bfa,2019,8.81941
bfa,2020,8.72241
bgd,1970,8.06832
bgd,1976,10.14589
bgd,1977,9.98474
bgd,1978,10.04815
bgd,1979,10.54425
bgd,1980,10.50048
bgd,1981,12.2818
bgd,1982,10.81009
bgd,1983,11.93054
bgd,1984,12.54193
bgd,1985,18.1689
bgd,1986,18.34578
bgd,1990,12.74558
bgd,1999,14.93675
bgd,2000,15.41075
bgd,2001,15.73045
bgd,2002,15.80971
bgd,2003,15.58461
bgd,2004,15.39696
bgd,2005,15.23797
bgd,2006,16.10096
bgd,2007,18.08422
bgd,2008,19.89313
bgd,2009,20.36245
bgd,2011,17.05505
bgd,2012,17.04066
bgd,2014,17.59343
bgd,2016,22.64372
bgd,2017,23.66028
bgd,2018,24.2318
bgd,2019,27.08136
bgd,2020,28.25473
bgr,1971,26.11979
bgr,1972,27.34041
bgr,1973,29.14377
bgr,1974,29.2852
bgr,1975,31.2633
bgr,1976,32.19133
bgr,1977,31.04561
bgr,1978,34.43406
bgr,1979,35.51162
bgr,1980,36.11912
bgr,1981,38.801
bgr,1982,34.42128
bgr,1983,37.36557
bgr,1984,36.54647
bgr,1985,35.99678
bgr,1986,36.66404
bgr,1987,35.35319
bgr,1988,37.4142
bgr,1989,37.83374
bgr,1990,37.85659
bgr,1991,39.52584
bgr,1992,39.20848
bgr,1993,38.49199
bgr,1994,38.06034
bgr,1995,40.83793
bgr,1996,41.22894
bgr,1997,40.92689
bgr,2000,40.5199
bgr,2001,42.0913
bgr,2002,44.83687
bgr,2003,44.13212
bgr,2004,45.16807
bgr,2005,44.98152
bgr,2006,45.84417
bgr,2007,45.44225
bgr,2008,47.09074
bgr,2009,47.33787
bgr,2010,48.61664
bgr,2011,47.51065
bgr,2012,47.44936
bgr,2013,47.82572
bgr,2014,48.1879
bgr,2016,48.93382
bgr,2017,49.13378
bgr,2018,49.54823
bgr,2019,50.2574
bhr,1971,37.5
bhr,1972,36.36364
bhr,1973,37.83784
bhr,1974,34.88372
bhr,1975,16.41791
bhr,1976,13.92405
bhr,1977,17.82178
bhr,1980,13.6
bhr,1981,13.20755
bhr,1982,20.43478
bhr,1985,28.96996
bhr,1986,36.63594
bhr,1987,32.74162
bhr,1988,27.93834
bhr,1991,29.26391
bhr,1992,27.93388
bhr,1993,28.35052
bhr,1994,28.85496
bhr,2003,36.1727
bhr,2004,36.17788
bhr,2012,35.40644
bhr,2013,37.46674
bhr,2014,36.39116
bhr,2015,32.85714
bhr,2016,39.19739
bhr,2017,41.46231
bhr,2018,40.66148
bhr,2019,40.45677
bhr,2020,41.93548
bhs,1988,47.79116
bhs,1995,56.25
bih,2008,38.2612
bih,2009,40.25749
bih,2010,38.31974
bih,2011,39.801
bih,2012,41.56548
bih,2013,41.86352
bih,2014,43.11985
bih,2015,43.4297
bih,2016,43.72244
bih,2017,43.82728
bih,2018,44.99507
bih,2019,45.01087
bih,2020,46.38371
blr,1999,50.86381
blr,2000,52.5118
blr,2001,53.54089
blr,2002,54.20506
blr,2003,54.08565
blr,2004,54.93562
blr,2005,55.67542
blr,2006,55.98833
blr,2007,55.90798
blr,2008,59.25177
blr,2009,58.44934
blr,2010,58.72272
blr,2011,58.92319
blr,2012,60.53536
blr,2013,58.12979
blr,2014,60.9424
blr,2015,61.19285
blr,2016,60.16442
blr,2017,60.37677
blr,2018,60.61966
blr,2020,61.00818
blz,1971,53.33333
blz,1972,55
blz,1974,54.54545
blz,1975,65.21739
blz,2011,45.58011
blz,2012,50.2381
blz,2013,49.2823
blz,2014,50.58824
blz,2015,50
blz,2016,50.89141
blz,2017,51.62722
blz,2018,52.05279
blz,2019,50.6812
blz,2020,53.43203
bmu,1981,32.83582
bmu,2001,53.27103
bmu,2002,54.54545
bmu,2005,57.97101
bmu,2007,54.54545
bmu,2009,50.60241
bmu,2010,57.83133
bmu,2011,54.92958
bmu,2012,54.09836
bmu,2014,55.17241
bmu,2015,59.61538
bmu,2017,61.40351
bmu,2018,46.93878
bra,1970,20.70843
bra,1971,21.93831
bra,1972,22.67065
bra,1973,23.38855
bra,1974,25.05622
bra,1979,29.29582
bra,1980,30.27471
bra,1983,43.14286
bra,1988,35.80405
bra,1989,36.36442
bra,1990,40.64311
bra,1991,37.55136
bra,1992,37.30869
bra,1993,38.40299
bra,1994,37.82036
bra,1998,42.00894
bra,1999,40.76601
bra,2000,40.83594
bra,2001,42.15067
bra,2002,52.76833
bra,2003,46.47297
bra,2004,43.84069
bra,2005,44.32076
bra,2007,43.73405
bra,2008,43.73591
bra,2009,44.83344
bra,2010,44.87903
bra,2011,45.05509
bra,2012,45.17633
bra,2013,45.11057
bra,2014,45.41168
bra,2015,45.55363
bra,2016,45.52493
bra,2017,45.70721
bra,2018,45.93642
bra,2019,46.21408
brb,1981,28.39117
brb,1984,27.35426
brb,1999,41.4673
brb,2000,46.45551
brb,2001,50.84459
brb,2007,48.72774
brn,1977,27.08333
brn,1979,27.45098
brn,1983,26.5625
brn,1984,25.26316
brn,1986,15.89404
brn,1987,14.36782
brn,1992,16.80672
brn,1993,17.42424
brn,1994,16.37011
brn,1998,27.81457
brn,1999,32.12851
brn,2000,33.74741
brn,2001,32.94574
brn,2002,33.81443
brn,2003,35.36585
brn,2004,36.36364
brn,2005,38.81356
brn,2006,39.34426
brn,2007,42.68105
brn,2008,42.15827
brn,2009,42.31975
brn,2010,45.23121
brn,2011,44.55733
brn,2012,46.1213
brn,2013,46.62669
brn,2014,47.38956
brn,2015,46.92982
brn,2016,46.9697
brn,2017,47.52892
brn,2018,46.74286
brn,2019,48.24859
brn,2020,48.12433
btn,1978,0
btn,1979,41.66667
btn,1980,27.02703
btn,2008,26.35561
btn,2010,22.69939
btn,2011,24.47257
btn,2012,27.43455
btn,2018,30.28721
btn,2020,30.28721
bwa,1972,14.70588
bwa,1973,20
bwa,1974,13.33333
bwa,1975,21.42857
bwa,1976,17.74194
bwa,1996,27.71242
bwa,2016,37.03704
bwa,2017,42.22961
bwa,2019,42.96296
bwa,2020,42.2136
caf,1980,10.75269
caf,1981,15.31532
caf,1982,12.13592
caf,1983,13.42105
caf,1984,15.95745
caf,1986,7.77096
caf,1989,13.98964
caf,1999,5
caf,2000,9.23077
caf,2008,20.8589
caf,2011,9.375
can,1993,33.73892
can,1994,33.80962
can,1995,33.77474
can,2008,49.33634
can,2009,47.72677
can,2010,47.66516
can,2011,49.3634
can,2012,49.36331
can,2013,49.36137
can,2014,49.3624
can,2015,49.36244
can,2016,47.39327
che,1981,8.50023
che,1991,11.38674
che,1996,14.28025
che,1999,15.68871
che,2000,16.15917
che,2001,18.53191
che,2002,21.01001
che,2003,21.90332
che,2004,27.49485
che,2005,32.21916
che,2006,31.39038
che,2007,33.61072
che,2008,34.5149
che,2009,34.86505
che,2010,35.56297
che,2011,37.0323
che,2012,36.95149
che,2014,33.95972
che,2016,34.73936
che,2017,35.50775
che,2018,35.48042
che,2019,35.49899
chl,1983,21.34815
chl,1984,22.13998
chn,1974,21.59345
chn,1975,21.25996
chn,1976,24.3946
chn,1977,24.68923
chn,1978,26.76029
chn,1979,25.39975
chn,1980,26.22172
chn,1987,31.85449
chn,1994,30.19426
chn,2001,45.37299
chn,2002,45.37291
chn,2003,44.39897
chn,2004,43.57642
chn,2005,42.51567
chn,2006,41.61074
chn,2007,42.50775
chn,2008,43.14436
chn,2009,44.41989
chn,2010,44.65954
chn,2011,45.12578
civ,1974,23.36957
civ,2008,32.2131
civ,2010,11.93927
civ,2011,15.01328
civ,2013,27.46211
civ,2014,15.08669
civ,2015,17.78335
civ,2016,11.83978
civ,2017,11.51291
civ,2019,11.21041
cmr,1971,9.54545
cmr,1972,9.35252
cmr,1973,13.41463
cmr,2001,14.31989
cmr,2008,17.86646
cmr,2010,19.00826
cmr,2011,19.37557
cmr,2012,20.91308
cmr,2013,20.92378
cmr,2014,20.08969
cmr,2018,23.4408
cod,1999,5.93981
cod,2008,6.20525
cod,2011,5.2561
cod,2013,8.34228
cog,1971,20.51282
cog,1972,30.59701
cog,1973,23.44828
cog,1974,20.48193
cog,1975,8.44444
cog,1976,15.15152
cog,1978,11.81102
cog,1980,10.59603
cog,1981,9.24658
cog,1982,10.45198
cog,1983,10.87963
cog,1984,8.84956
cog,1991,8.54317
cog,1992,7.8516
cog,1999,4.97738
cog,2000,4.96124
cog,2001,5.01222
cog,2002,5.26919
cog,2009,5.04274
cog,2011,6.62589
cog,2012,7.2656
cog,2017,13.26508
col,1975,13.87037
col,1977,17.90465
col,1978,18.86433
col,1979,18.55594
col,1980,19.86125
col,1981,20.47985
col,1982,21.40183
col,1984,22.73273
col,1985,24.27649
col,1986,23.60729
col,1987,23.32784
col,1988,24.07168
col,1989,25.26051
col,1990,26.6279
col,1991,25.98405
col,1992,26.92873
col,1994,27.78747
col,1997,29.71886
col,1999,33.67802
col,2000,31.75303
col,2001,33.95875
col,2002,33.04216
col,2004,33.20159
col,2005,34.32579
col,2006,35.26895
col,2007,35.26835
col,2009,65.64785
col,2013,35.93442
col,2014,36.4608
col,2015,36.7926
col,2016,37.04506
col,2018,38.27593
col,2019,38.42697
com,1990,31.25
com,1999,10.44776
com,2003,14.4
com,2009,18.99441
com,2010,20.08734
com,2012,9.09091
cpv,2003,45.86207
cpv,2004,45.88235
cpv,2005,41.4433
cpv,2006,42.98893
cpv,2007,38.81356
cpv,2008,42.80303
cpv,2009,40.38031
cpv,2010,42.11663
cpv,2011,38.76092
cpv,2012,37.23404
cpv,2013,37.79698
cpv,2014,39.5053
cpv,2015,40.26354
cpv,2016,39.14373
cpv,2017,40.47955
cpv,2018,39.08282
cri,1986,32.86377
cub,1982,37.81903
cub,1983,39.62527
cub,1984,36.17088
cub,1985,39.75278
cub,1986,42.59411
cub,1987,43.32267
cub,1988,43.42877
cub,1989,44.57285
cub,1990,45.02225
cub,1991,44.46246
cub,1992,45.57495
cub,1993,47.10655
cub,1995,45.4156
cub,1996,45.20399
cub,1997,45.41951
cub,1998,47.63845
cub,1999,47.69597
cub,2000,47.98988
cub,2001,48.51236
cub,2002,47.30774
cub,2003,36.62719
cub,2004,45.63931
cub,2005,58.82618
cub,2006,57.58459
cub,2007,55.84831
cub,2008,58.69262
cub,2009,59.44434
cub,2010,60.22474
cub,2011,52.19288
cub,2012,55.63817
cub,2014,53.80747
cub,2015,55.6763
cub,2016,56.96301
cub,2017,57.89179
cub,2018,58.60181
cub,2019,59.00468
cub,2020,59.13333
cym,1999,42.10526
cym,2000,45.45455
cym,2001,33.33333
cym,2006,24.4898
cym,2007,44
cym,2008,58.82353
cyp,1971,21.875
cyp,1972,18.51852
cyp,1973,18.81188
cyp,1974,18.26087
cyp,1978,30.82707
cyp,1979,29.67033
cyp,1980,26.82927
cyp,1981,25.11013
cyp,1982,23.07692
cyp,1983,26.66667
cyp,1984,24.35424
cyp,1985,26.55172
cyp,1986,31.48688
cyp,1987,30.68783
cyp,1988,34.85194
cyp,1989,38.13953
cyp,1990,42.20374
cyp,1991,41.13372
cyp,1992,37.52577
cyp,1993,36.57143
cyp,1994,38.06897
cyp,1995,38.52761
cyp,1996,38.93709
cyp,1997,35.72102
cyp,1999,33.54958
cyp,2000,33.54898
cyp,2002,38.0035
cyp,2003,41.1236
cyp,2004,41.50685
cyp,2005,41.55755
cyp,2006,39.75624
cyp,2007,39.85746
cyp,2008,39.67507
cyp,2009,39.94083
cyp,2010,39.28711
cyp,2011,40.53953
cyp,2012,39.7786
cyp,2013,38.77261
cyp,2014,38.90772
cyp,2015,41.13041
cyp,2016,41.16039
cyp,2017,42.29942
cyp,2018,42.94872
cyp,2019,43.12139
cze,1993,29.19989
cze,1994,34.68205
cze,1996,51.77298
cze,1999,38.4427
cze,2000,38.44078
cze,2001,39.9258
cze,2003,39.30123
cze,2005,40.14734
cze,2006,37.55377
cze,2011,36.20693
cze,2012,36.95354
deu,1993,27.55802
deu,1994,27.86448
deu,1995,28.96628
deu,1996,28.69257
deu,1997,29.44323
deu,1999,30.47514
deu,2000,30.95802
deu,2001,31.39747
deu,2002,32.22688
deu,2013,37.72477
deu,2014,38.01843
deu,2015,38.22305
deu,2016,39.0582
deu,2017,39.30312
deu,2018,39.76312
deu,2019,39.49831
dji,1999,30
dji,2000,33.33333
dji,2001,15
dji,2002,16.66667
dji,2003,19.60784
dji,2004,17.3913
dji,2005,20.83333
dji,2006,16.36364
dji,2007,16.52893
dma,1981,70.58824
dma,1984,64.70588
dma,1989,75
dma,1991,32.35294
dma,1992,32.5
dma,1993,32.35294
dnk,1993,37.93103
dnk,1994,30
dnk,1995,30.20833
dnk,2014,41.19129
dnk,2015,42.77391
dnk,2018,43.92593
dnk,2019,43.70538
dom,1997,31.66685
dom,2003,41.25641
dom,2012,41.38625
dom,2014,42.57705
dom,2015,43.02727
dom,2016,42.48032
dom,2017,43.71889
dza,2001,31.61873
dza,2002,31.61424
dza,2003,31.61755
dza,2004,31.61666
dza,2005,33.13947
dza,2006,34.24598
dza,2007,35.15134
dza,2009,37.77443
dza,2010,38.4596
dza,2011,39.19792
dza,2012,40.70694
dza,2013,41.84928
dza,2014,41.75067
dza,2015,42.81079
dza,2016,42.98532
dza,2017,43.17941
dza,2018,43.89824
dza,2019,44.39111
dza,2020,44.1846
ecu,1997,19.73684
ecu,2007,27.58211
ecu,2008,31.47529
ecu,2012,34.10632
ecu,2014,37.2408
ecu,2015,38.15519
ecu,2018,40.15305
ecu,2019,40.36078
egy,2013,43.60707
egy,2014,44.40827
egy,2018,47.92331
eri,1995,8.08824
eri,1996,8.08824
eri,1998,12.62626
eri,1999,13.04348
eri,2000,10
eri,2001,12.15686
eri,2002,12.15686
eri,2003,13.41463
eri,2004,14.45221
eri,2015,10.49822
eri,2016,13.7741
esp,1973,14.71499
esp,1974,17.43882
esp,1975,18.98663
esp,1976,18.64584
esp,1977,19.72434
esp,1978,20.38471
esp,1979,19.8783
esp,1980,20.65843
esp,1981,21.00581
esp,1982,23.24767
esp,1983,24.06487
esp,1984,24.69896
esp,1985,24.6303
esp,1986,26.42304
esp,1987,27.85717
esp,1988,28.21323
esp,1989,29.08079
esp,1990,29.03346
esp,1991,29.38725
esp,1992,30.72007
esp,1993,30.82198
esp,1994,31.88909
esp,1995,31.7083
esp,1996,32.32037
esp,1999,35.28915
esp,2000,36.00138
esp,2001,37.99076
esp,2002,37.20516
esp,2003,38.10431
esp,2004,38.35157
esp,2005,38.81688
esp,2006,38.89858
esp,2007,39.13777
esp,2008,38.1972
esp,2009,38.86859
esp,2010,39.45336
esp,2011,39.789
esp,2012,40.20368
esp,2013,40.69349
esp,2014,41.7121
esp,2015,42.46916
esp,2016,42.87959
esp,2017,43.44349
esp,2018,43.86131
esp,2019,44.43414
est,1996,47.7764
est,1997,48.88388
est,1999,49.08797
est,2000,46.38164
est,2001,47.50688
est,2004,48.83861
est,2005,48.47044
est,2006,48.47436
est,2016,49.06625
est,2017,48.89804
est,2018,49.06875
est,2019,49.33233
eth,1971,13.75969
eth,1972,9.50704
eth,1980,8.75576
eth,1983,8.03783
eth,1984,9.26694
eth,1986,8.82801
eth,1987,8.16777
eth,1988,7.59857
eth,1989,7.94585
eth,1990,7.39662
eth,1991,7.51479
eth,1994,5.86907
eth,1995,6.35003
eth,1999,6.14901
eth,2000,6.0873
eth,2001,7.61139
eth,2002,7.54603
eth,2003,6.77083
eth,2004,9.47325
eth,2005,10.31566
eth,2009,10
eth,2014,11.7145
fin,1971,19.05218
fin,1972,19.97562
fin,1973,21.45923
fin,1974,18.46654
fin,1999,44.85015
fin,2001,44.93705
fin,2002,45.97986
fin,2003,45.28019
fin,2004,45.41577
fin,2005,46.06289
fin,2008,50.81898
fin,2009,50.51908
fin,2010,51.13533
fin,2011,50.3034
fin,2012,50.27221
fin,2013,50.68879
fin,2014,50.29365
fin,2016,51.71836
fin,2017,51.87672
fin,2018,51.91645
fin,2019,52.09873
fji,1974,14.42786
fji,1975,17.46988
fji,1985,17.67068
fji,1986,23.125
fji,1991,33.213
fra,1993,32.24235
fra,1994,32.38599
fra,1995,30.64923
fra,1996,33.38278
fra,1997,34.00608
fra,1999,39.79123
fra,2001,45.69777
fra,2002,33.90824
fra,2003,34.25772
fra,2004,39.29652
fra,2012,37.09517
fra,2013,37.23128
fsm,1979,17.41935
fsm,1980,41.77215
fsm,1982,46.55172
fsm,1983,36.50794
gab,1983,13.46801
gab,1984,13.47403
gab,1999,17.09402
gbr,1983,13.78707
gbr,1984,17.21871
gbr,1986,15.14927
gbr,1987,15.34514
gbr,1988,17.28146
gbr,1989,17.9966
gbr,1990,19.56783
gbr,1991,20.88167
gbr,1992,20
gbr,1993,20.93584
gbr,1994,21.40654
gbr,1995,27.62795
gbr,1996,29.55368
gbr,1997,30.70204
gbr,1999,32.37238
gbr,2000,33.13904
gbr,2001,33.88284
gbr,2002,35.01678
gbr,2003,36.22823
gbr,2004,38.45569
gbr,2005,39.93704
gbr,2006,40.79309
gbr,2007,41.39537
gbr,2008,41.68592
gbr,2009,42.5734
gbr,2010,43.22641
gbr,2011,43.50949
gbr,2012,43.75219
gbr,2013,44.14639
gbr,2014,44.33976
gbr,2015,44.39724
gbr,2016,44.77121
gbr,2017,45.15208
gbr,2018,45.47055
gbr,2019,46.25072
geo,1999,47.48121
geo,2000,49.05827
geo,2001,47.54673
geo,2002,49.30102
geo,2003,44.37859
geo,2004,50.34556
geo,2005,50.91787
geo,2006,45.2695
geo,2007,52.49484
geo,2008,54.9035
geo,2009,49.52427
geo,2010,51.85602
geo,2012,53.10172
geo,2013,54.9877
geo,2014,49.54708
geo,2015,54.73532
geo,2016,52.64002
geo,2017,55.16122
geo,2018,58.20046
geo,2019,56.76168
geo,2020,56.88589
gha,1971,9.20177
gha,1972,8.55333
gha,1974,10.60924
gha,2012,18.18636
gha,2013,18.8364
gha,2014,19.46244
gha,2015,20.57642
gha,2016,20.23902
gha,2018,21.57074
gha,2019,22.99352
gha,2020,23.05781
gin,1981,3.10318
gin,1983,3.78733
gin,1985,3.37662
gin,1986,3.61337
gin,1987,2.73973
gin,1988,2.52005
gin,1989,3.35404
gin,1996,3.45794
gin,1998,3.05585
gin,2007,5.74887
gin,2009,3.92237
gin,2010,3.56658
gin,2011,3.52431
gin,2013,3.58807
gin,2014,3.45648
gmb,1995,23.22581
gmb,1999,15.29412
gmb,2004,16.41791
gmb,2012,7.87037
gnq,1982,27.94118
gnq,1991,12.06897
gnq,2000,15.53398
grc,1976,35.37781
grc,1980,34.59405
grc,1981,31.98634
grc,1982,32.6702
grc,1983,33.10351
grc,1984,33.52117
grc,1985,29.57818
grc,1986,29.99663
grc,1987,29.83806
grc,1988,31.39498
grc,1989,31.47536
grc,1990,31.85637
grc,1991,32.34321
grc,1992,31.88905
grc,1993,32.12531
grc,1994,35.40841
grc,1995,32.64874
grc,1996,33.80291
grc,1997,33.39976
grc,1998,31.36398
grc,1999,31.36641
grc,2003,36.45395
grc,2004,36.45243
grc,2005,36.02592
grc,2006,34.84392
grc,2007,35.19208
grc,2013,33.0928
grc,2014,32.70482
grc,2016,33.80313
grc,2017,34.28933
grc,2018,34.67145
grc,2019,35.6981
grd,1979,52.17391
grd,1980,24.67532
grd,1982,26.76056
grd,1983,35
grd,1984,30.18868
grd,2015,47.22992
grd,2016,14.9811
grd,2017,52.74545
grd,2018,53.17705
gum,1987,41.24514
guy,1972,17.64706
guy,1973,17.14286
guy,1979,29.6371
guy,1981,26.69683
guy,1983,28.28508
guy,1984,29.21348
guy,1985,28.84615
guy,1986,22.58065
guy,1988,31.63065
guy,1995,33.51955
guy,1996,30.88235
guy,2004,45.90164
guy,2005,44.46367
guy,2006,48.4375
guy,2007,49.91424
guy,2008,54.90196
guy,2009,44.32678
guy,2010,55.05319
guy,2011,59.09823
guy,2012,52.66272
hkg,1971,15.02683
hkg,1972,16.23439
hkg,1973,16.17294
hkg,1974,16.3579
hkg,1975,14.377
hkg,1976,14.65659
hkg,1977,14.99197
hkg,1979,16.00938
hkg,1980,14.98243
hkg,1982,15.5649
hkg,1983,15.8862
hkg,1984,17.43252
hkg,1992,24.77417
hkg,1993,24.70549
hkg,1994,25.46125
hnd,1977,24.03169
hnd,1981,28.95472
hnd,1985,34.44778
hnd,1989,28.77373
hnd,1994,28.56793
hnd,2000,35.64606
hnd,2003,38.32738
hnd,2004,38.32636
hnd,2010,39.24124
hnd,2012,36.55973
hnd,2013,41.31904
hnd,2014,38.7882
hnd,2015,40.8255
hnd,2016,41.57972
hnd,2017,41.92118
hnd,2018,45.14832
hnd,2019,46.11823
hrv,1993,34.56489
hrv,1994,33.41111
hrv,1995,32.77679
hrv,1996,34.21344
hrv,1997,33.86883
hrv,2007,41.21606
hrv,2008,41.63421
hrv,2009,42.4008
hrv,2010,43.65498
hrv,2011,46.30186
hrv,2012,49.58419
hrv,2013,47.74669
hrv,2014,48.00499
hrv,2015,47.9933
hrv,2016,48.90014
hrv,2018,48.81204
hrv,2019,49.80797
hti,1976,11.76471
hti,1977,11.19221
hti,1978,10.16598
hti,1979,10.14199
hti,1981,10.86957
hti,1983,12.7295
hti,1986,37.15596
hun,1971,22.46961
hun,1972,23.33204
hun,1973,23.84487
hun,1974,25.42614
hun,1975,25.16374
hun,1976,26.73259
hun,1977,27.8509
hun,1978,28.77017
hun,1979,27.80669
hun,1980,28.17533
hun,1981,29.12887
hun,1982,28.98216
hun,1983,30.21911
hun,1984,30.02353
hun,1985,31.2891
hun,1986,30.27609
hun,1987,31.03038
hun,1988,31.47301
hun,1989,31.40973
hun,1990,32.67357
hun,1991,32.31996
hun,1992,32.065
hun,1993,32.82421
hun,1994,33.12998
hun,1996,36.66704
hun,1997,36.76859
hun,1999,37.79956
hun,2000,38.50064
hun,2001,36.68517
hun,2002,40.12867
hun,2003,38.96546
hun,2004,38.62312
hun,2005,38.79904
hun,2006,39.13888
hun,2007,37.08109
hun,2008,38.01303
hun,2009,37.56739
hun,2010,38.0753
hun,2011,38.48967
hun,2012,37.46859
hun,2013,38.78094
