geo,time,sl_fam_work_fe_zs
bfa,1995,73.85
bfa,1996,74.1
bfa,1997,73.36
bfa,1998,74.22
bfa,1999,72.65
bfa,2000,73.15
bfa,2001,73.79
bfa,2002,73.55
bfa,2003,71.56
bfa,2004,71.08
bfa,2005,72.63
bfa,2006,72.57
bfa,2007,69.2
bfa,2008,69.23
bfa,2009,65.33
bfa,2010,60.6
bfa,2011,56.36
bfa,2012,55.61
bfa,2013,55.99
bfa,2014,53.43
bfa,2015,53.59
bfa,2016,52.16
bfa,2017,51.14
bfa,2018,51.08
bfa,2019,50.71
bgd,1991,69.49
bgd,1992,69.38
bgd,1993,69.27
bgd,1994,69.08
bgd,1995,68.8
bgd,1996,68.52
bgd,1997,68.18
bgd,1998,67.77
bgd,1999,67.22
bgd,2000,66.61
bgd,2001,65.97
bgd,2002,65.28
bgd,2003,64.41
bgd,2004,63.68
bgd,2005,62.78
bgd,2006,61.5
bgd,2007,61.66
bgd,2008,61.68
bgd,2009,61.61
bgd,2010,60.84
bgd,2011,57.41
bgd,2012,53.94
bgd,2013,50.52
bgd,2014,46.74
bgd,2015,42.97
bgd,2016,39.28
bgd,2017,29.94
bgd,2018,28.24
bgd,2019,26.79
bgr,1991,1.3
bgr,1992,1.41
bgr,1993,1.5
bgr,1994,1.57
bgr,1995,1.62
bgr,1996,1.62
bgr,1997,1.94
bgr,1998,1.94
bgr,1999,2.37
bgr,2000,2.41
bgr,2001,1.96
bgr,2002,2.29
bgr,2003,2.71
bgr,2004,2.98
bgr,2005,2.27
bgr,2006,1.84
bgr,2007,1.65
bgr,2008,1.52
bgr,2009,1.55
bgr,2010,1.46
bgr,2011,1.29
bgr,2012,1.15
bgr,2013,0.93
bgr,2014,1.02
bgr,2015,0.91
bgr,2016,0.82
bgr,2017,1.07
bgr,2018,1
bgr,2019,0.89
bhr,1991,0.05
bhr,1992,0.05
bhr,1993,0.05
bhr,1994,0.05
bhr,1995,0.05
bhr,1996,0.05
bhr,1997,0.05
bhr,1998,0.05
bhr,1999,0.05
bhr,2000,0.06
bhr,2001,0.06
bhr,2002,0.78
bhr,2003,0.75
bhr,2004,0.07
bhr,2005,0.74
bhr,2006,0.74
bhr,2007,0.71
bhr,2008,0.73
bhr,2009,0.76
bhr,2010,0.73
bhr,2011,0.72
bhr,2012,0.68
bhr,2013,0.64
bhr,2014,0.6
bhr,2015,0.54
bhr,2016,0.51
bhr,2017,0.51
bhr,2018,0.5
bhr,2019,0.48
bhs,1991,0.69
bhs,1992,0.58
bhs,1993,0.57
bhs,1994,0.46
bhs,1995,0.99
bhs,1996,1.15
bhs,1997,0.2
bhs,1998,0.42
bhs,1999,0.38
bhs,2000,0.26
bhs,2001,0.17
bhs,2002,0.69
bhs,2003,0.14
bhs,2004,0.49
bhs,2005,0.43
bhs,2006,0.38
bhs,2007,0.32
bhs,2008,0.27
bhs,2009,0.32
bhs,2010,0.31
bhs,2011,0.29
bhs,2012,0.31
bhs,2013,0.3
bhs,2014,0.29
bhs,2015,0.28
bhs,2016,0.27
bhs,2017,0.27
bhs,2018,0.25
bhs,2019,0.25
bih,1991,40.38
bih,1992,43.85
bih,1993,45.62
bih,1994,43.13
bih,1995,38.74
bih,1996,28.76
bih,1997,22.8
bih,1998,18.79
bih,1999,15.94
bih,2000,14.38
bih,2001,13.46
bih,2002,12.69
bih,2003,12.49
bih,2004,11.91
bih,2005,11.44
bih,2006,10.91
bih,2007,8.8
bih,2008,10.5
bih,2009,12.96
bih,2010,11.18
bih,2011,10.25
bih,2012,8.92
bih,2013,8.23
bih,2014,7.8
bih,2015,7.65
bih,2016,7.64
bih,2017,7.31
bih,2018,6.74
bih,2019,5.63
blr,1991,0.1
blr,1992,0.1
blr,1993,0.1
blr,1994,0.1
blr,1995,0.1
blr,1996,0.1
blr,1997,0.09
blr,1998,0.09
blr,1999,0.09
blr,2000,0.09
blr,2001,0.08
blr,2002,0.08
blr,2003,0.08
blr,2004,0.07
blr,2005,0.07
blr,2006,0.06
blr,2007,0.06
blr,2008,0.06
blr,2009,0.05
blr,2010,0.05
blr,2011,0.05
blr,2012,0.05
blr,2013,0.05
blr,2014,0.04
blr,2015,0.04
blr,2016,0.04
blr,2017,0.04
blr,2018,0.04
blr,2019,0.03
blz,1991,4.59
blz,1992,4.54
blz,1993,4.54
blz,1994,4.46
blz,1995,4.31
blz,1996,4.13
blz,1997,4.15
blz,1998,4.13
blz,1999,4.08
blz,2000,4.03
blz,2001,4.08
blz,2002,4.22
blz,2003,4.27
blz,2004,4.25
blz,2005,4.3
blz,2006,4.22
blz,2007,4.24
blz,2008,4.21
blz,2009,4.21
blz,2010,4.15
blz,2011,4.07
blz,2012,4.02
blz,2013,4.01
blz,2014,2.8
blz,2015,3.85
blz,2016,5.22
blz,2017,4.05
blz,2018,3.97
blz,2019,4
bol,1991,40.73
bol,1992,40.65
bol,1993,40.48
bol,1994,40.3
bol,1995,40.17
bol,1996,39.82
bol,1997,39.36
bol,1998,39.18
bol,1999,38.36
bol,2000,37.42
bol,2001,40.32
bol,2002,38.65
bol,2003,36.3
bol,2004,34.02
bol,2005,36.81
bol,2006,38.65
bol,2007,34.22
bol,2008,31.37
bol,2009,29.89
bol,2010,30.62
bol,2011,31.29
bol,2012,23.65
bol,2013,26.83
bol,2014,29.96
bol,2015,25.41
bol,2016,26.15
bol,2017,29.31
bol,2018,30.68
bol,2019,29.54
bra,1991,12.01
bra,1992,11.97
bra,1993,11.94
bra,1994,12.06
bra,1995,12.05
bra,1996,10.35
bra,1997,10.85
bra,1998,10.25
bra,1999,11.09
bra,2000,9.85
bra,2001,8.66
bra,2002,8.61
bra,2003,8.36
bra,2004,8.18
bra,2005,8.2
bra,2006,7.25
bra,2007,6.87
bra,2008,5.95
bra,2009,5.61
bra,2010,4.84
bra,2011,4.2
bra,2012,4.61
bra,2013,4.62
bra,2014,4.29
bra,2015,4.2
bra,2016,3.53
bra,2017,3.62
bra,2018,3.44
bra,2019,3.29
brb,1991,0.44
brb,1992,0.11
brb,1993,0.22
brb,1994,0.07
brb,1995,0.17
brb,1996,0.37
brb,1997,0.24
brb,1998,0.15
brb,1999,0.09
brb,2000,0.16
brb,2001,0.08
brb,2002,0.09
brb,2003,0.08
brb,2004,0.08
brb,2005,0.08
brb,2006,0.08
brb,2007,0.07
brb,2008,0.07
brb,2009,0.06
brb,2010,0.06
brb,2011,0.05
brb,2012,0.05
brb,2013,0.05
brb,2014,0.04
brb,2015,0.04
brb,2016,0.04
brb,2017,0.03
brb,2018,0.03
brb,2019,0.03
brn,1991,0.63
brn,1992,0.63
brn,1993,0.62
brn,1994,0.59
brn,1995,0.58
brn,1996,0.59
brn,1997,0.61
brn,1998,0.59
brn,1999,0.62
brn,2000,0.69
brn,2001,0.66
brn,2002,0.65
brn,2003,0.68
brn,2004,0.71
brn,2005,0.75
brn,2006,0.75
brn,2007,0.75
brn,2008,0.79
brn,2009,0.74
brn,2010,0.75
brn,2011,0.78
brn,2012,0.78
brn,2013,0.78
brn,2014,0.78
brn,2015,0.59
brn,2016,0.46
brn,2017,0.35
brn,2018,0.54
brn,2019,1.09
btn,1991,55.83
btn,1992,55.81
btn,1993,55.71
btn,1994,55.48
btn,1995,55.34
btn,1996,55.41
btn,1997,55.23
btn,1998,54.82
btn,1999,54.43
btn,2000,54.16
btn,2001,53.64
btn,2002,53.09
btn,2003,52.74
btn,2004,52.2
btn,2005,51.49
btn,2006,50.69
btn,2007,50.49
btn,2008,50.8
btn,2009,50.37
btn,2010,49.43
btn,2011,49.48
btn,2012,58.68
btn,2013,58.73
btn,2014,56.72
btn,2015,51.11
btn,2016,49.07
btn,2017,47.23
btn,2018,44.75
btn,2019,42.69
bwa,1991,5.95
bwa,1992,6.08
bwa,1993,6.59
bwa,1994,7.09
bwa,1995,2.91
bwa,1996,1
bwa,1997,1.1
bwa,1998,1.4
bwa,1999,1.41
bwa,2000,1.47
bwa,2001,1.82
bwa,2002,2.15
bwa,2003,2.78
bwa,2004,3.1
bwa,2005,3
bwa,2006,3.2
bwa,2007,3.67
bwa,2008,5.02
bwa,2009,5.91
bwa,2010,4.69
bwa,2011,3.75
bwa,2012,4.37
bwa,2013,3.56
bwa,2014,3.12
bwa,2015,3.38
bwa,2016,2.84
bwa,2017,2.9
bwa,2018,2.72
bwa,2019,2.63
caf,1991,49.45
caf,1992,49.81
caf,1993,49.59
caf,1994,50.09
caf,1995,50.21
caf,1996,52.03
caf,1997,53.31
caf,1998,53.48
caf,1999,54.05
caf,2000,53.81
caf,2001,53.83
caf,2002,53.98
caf,2003,54.2
caf,2004,53.75
caf,2005,53.44
caf,2006,52
caf,2007,50.85
caf,2008,48.97
caf,2009,48.38
caf,2010,48.01
caf,2011,47.53
caf,2012,47.48
caf,2013,44.75
caf,2014,46.17
caf,2015,47.43
caf,2016,47.79
caf,2017,47.21
caf,2018,46.89
caf,2019,45.95
can,1991,0.89
can,1992,0.89
can,1993,0.95
can,1994,0.76
can,1995,0.71
can,1996,0.7
can,1997,0.73
can,1998,0.66
can,1999,0.45
can,2000,0.42
can,2001,0.32
can,2002,0.31
can,2003,0.3
can,2004,0.26
can,2005,0.21
can,2006,0.24
can,2007,0.22
can,2008,0.19
can,2009,0.17
can,2010,0.15
can,2011,0.15
can,2012,0.15
can,2013,0.13
can,2014,0.15
can,2015,0.15
can,2016,0.16
can,2017,0.16
can,2018,0.16
can,2019,0.12
chanisl,1991,3.97
chanisl,1992,3.87
chanisl,1993,3.76
chanisl,1994,3.63
chanisl,1995,3.51
chanisl,1996,3.39
chanisl,1997,3.24
chanisl,1998,3.09
chanisl,1999,2.93
chanisl,2000,2.77
chanisl,2001,2.64
chanisl,2002,2.52
chanisl,2003,2.4
chanisl,2004,2.27
chanisl,2005,2.14
chanisl,2006,2.01
chanisl,2007,1.88
chanisl,2008,1.8
chanisl,2009,1.73
chanisl,2010,1.63
chanisl,2011,1.55
chanisl,2012,1.46
chanisl,2013,1.38
chanisl,2014,1.31
chanisl,2015,1.24
chanisl,2016,1.17
chanisl,2017,1.11
chanisl,2018,1.06
chanisl,2019,1.01
che,1991,5.58
che,1992,5.42
che,1993,5.27
che,1994,5.07
che,1995,4.88
che,1996,4.63
che,1997,4.48
che,1998,4.1
che,1999,4.07
che,2000,3.58
che,2001,3.43
che,2002,3.38
che,2003,3.09
che,2004,2.79
che,2005,2.9
che,2006,3.23
che,2007,3.18
che,2008,2.56
che,2009,2.72
che,2010,2.48
che,2011,2.79
che,2012,2.67
che,2013,2.66
che,2014,2.61
che,2015,2.54
che,2016,2.46
che,2017,2.55
che,2018,2.52
che,2019,2.35
chl,1991,4.49
chl,1992,4.4
chl,1993,4.28
chl,1994,4.12
chl,1995,4
chl,1996,3.83
chl,1997,4.12
chl,1998,3.84
chl,1999,3.65
chl,2000,3.78
chl,2001,3.45
chl,2002,3.46
chl,2003,3.28
chl,2004,3.39
chl,2005,3.21
chl,2006,2.96
chl,2007,2.8
chl,2008,2.63
chl,2009,2.43
chl,2010,2.26
chl,2011,2.15
chl,2012,2.05
chl,2013,2.16
chl,2014,2.09
chl,2015,1.94
chl,2016,1.92
chl,2017,1.74
chl,2018,1.67
chl,2019,1.5
chn,1991,41.83
chn,1992,40.59
chn,1993,39.39
chn,1994,38.28
chn,1995,37.34
chn,1996,36.5
chn,1997,35.7
chn,1998,35.03
chn,1999,34.29
chn,2000,33.42
chn,2001,32.53
chn,2002,31.55
chn,2003,30.47
chn,2004,29.4
chn,2005,28.21
chn,2006,26.99
chn,2007,25.75
chn,2008,24.74
chn,2009,23.79
chn,2010,22.75
chn,2011,21.79
chn,2012,21
chn,2013,20.25
chn,2014,19.54
chn,2015,18.88
chn,2016,18.26
chn,2017,17.62
chn,2018,16.94
chn,2019,16.17
civ,1991,50.13
civ,1992,49.84
civ,1993,49.6
civ,1994,49.72
civ,1995,48.91
civ,1996,47.94
civ,1997,45.82
civ,1998,46.03
civ,1999,44.67
civ,2000,44.41
civ,2001,46.21
civ,2002,45.09
civ,2003,43.98
civ,2004,41.8
civ,2005,40.72
civ,2006,38.94
civ,2007,37.68
civ,2008,35.8
civ,2009,33.88
civ,2010,34.14
civ,2011,31.83
civ,2012,29.3
civ,2013,24.47
civ,2014,22.64
civ,2015,22.52
civ,2016,21.65
civ,2017,15.62
civ,2018,14.73
civ,2019,13.52
cmr,1991,23.03
cmr,1992,22.85
cmr,1993,22.59
cmr,1994,22.39
cmr,1995,21.99
cmr,1996,21.84
cmr,1997,23.29
cmr,1998,25.81
cmr,1999,26.65
cmr,2000,26.35
cmr,2001,27.93
cmr,2002,29.6
cmr,2003,31.67
cmr,2004,32.59
cmr,2005,33.03
cmr,2006,32.92
cmr,2007,33.83
cmr,2008,31.68
cmr,2009,31.46
cmr,2010,29.41
cmr,2011,27.38
cmr,2012,24.75
cmr,2013,23.04
cmr,2014,21.25
cmr,2015,20.57
cmr,2016,19.48
cmr,2017,17.61
cmr,2018,16.08
cmr,2019,15.09
cod,1991,58.46
cod,1992,59.14
cod,1993,59.42
cod,1994,59.52
cod,1995,59.32
cod,1996,52.04
cod,1997,58.24
cod,1998,58.64
cod,1999,59.84
cod,2000,56.64
cod,2001,49.29
cod,2002,46.69
cod,2003,49.4
cod,2004,45.82
cod,2005,45.4
cod,2006,46.33
cod,2007,45.37
cod,2008,41.77
cod,2009,41.51
cod,2010,35.92
cod,2011,33.23
cod,2012,31.53
cod,2013,29.57
cod,2014,27.48
cod,2015,27.71
cod,2016,28.18
cod,2017,27
cod,2018,24.62
cod,2019,26.21
cog,1991,14.3
cog,1992,14.43
cog,1993,14.48
cog,1994,13.18
cog,1995,13.07
cog,1996,11.87
cog,1997,11.28
cog,1998,12.83
cog,1999,9.74
cog,2000,7.21
cog,2001,8.3
cog,2002,8.59
cog,2003,8.75
cog,2004,7.55
cog,2005,6.18
cog,2006,5.22
cog,2007,5.73
cog,2008,4.36
cog,2009,5.31
cog,2010,3.43
cog,2011,3.12
cog,2012,3.01
cog,2013,3.18
cog,2014,3.16
cog,2015,3.99
cog,2016,4.28
cog,2017,3.89
cog,2018,3.57
cog,2019,2.91
col,1991,9.64
col,1992,9.58
col,1993,9.5
col,1994,9.47
col,1995,9.34
col,1996,9.26
col,1997,9.16
col,1998,9.03
col,1999,8.7
col,2000,8.53
col,2001,8.07
col,2002,8.59
col,2003,8.48
col,2004,8.11
col,2005,7.58
col,2006,7.09
col,2007,6.62
col,2008,6.13
col,2009,7.23
col,2010,7
col,2011,6.95
col,2012,7.38
col,2013,6.91
col,2014,6.64
col,2015,6.37
col,2016,5.72
col,2017,5.92
col,2018,5.72
col,2019,5.35
com,1991,20.4
com,1992,20.04
com,1993,19.92
com,1994,20.01
com,1995,20.12
com,1996,20.16
com,1997,20.1
com,1998,20.03
com,1999,19.91
com,2000,19.64
com,2001,19.36
com,2002,19.08
com,2003,18.86
com,2004,18.69
com,2005,16.91
com,2006,15.28
com,2007,12.69
com,2008,11.5
com,2009,10.16
com,2010,9.04
com,2011,7.96
com,2012,7.06
com,2013,6.01
com,2014,5.2
com,2015,5.17
com,2016,5
com,2017,4.69
com,2018,4.69
com,2019,4.38
cpv,1991,17.92
cpv,1992,17.56
cpv,1993,18.17
cpv,1994,18.01
cpv,1995,18.05
cpv,1996,17.38
cpv,1997,17.53
cpv,1998,17.39
cpv,1999,18.08
cpv,2000,17.55
cpv,2001,19.1
cpv,2002,19.98
cpv,2003,18.88
cpv,2004,18.66
cpv,2005,19.32
cpv,2006,20.22
cpv,2007,20.72
cpv,2008,19.59
cpv,2009,19.5
cpv,2010,19.93
cpv,2011,19.79
cpv,2012,20.1
cpv,2013,19.5
cpv,2014,18.52
cpv,2015,18.22
cpv,2016,7.68
cpv,2017,2.5
cpv,2018,1.2
cpv,2019,1.81
cri,1991,4.92
cri,1992,3.79
cri,1993,4.23
cri,1994,3.74
cri,1995,4.96
cri,1996,3.86
cri,1997,4.09
cri,1998,3.97
cri,1999,4.22
cri,2000,3.34
cri,2001,3.56
cri,2002,4.03
cri,2003,3.62
cri,2004,3.54
cri,2005,3.46
cri,2006,3.22
cri,2007,2.78
cri,2008,2.64
cri,2009,2.34
cri,2010,2.86
cri,2011,2.96
cri,2012,3.29
cri,2013,4.11
cri,2014,3.69
cri,2015,3.99
cri,2016,3.62
cri,2017,3.17
cri,2018,2.76
cri,2019,3.07
cub,1991,0.61
cub,1992,0.5
cub,1993,0.37
cub,1994,0.29
cub,1995,0.25
cub,1996,0.21
cub,1997,0.22
cub,1998,0.25
cub,1999,0.28
cub,2000,0.27
cub,2001,0.29
cub,2002,0.29
cub,2003,0.34
cub,2004,0.36
cub,2005,0.35
cub,2006,0.3
cub,2007,0.29
cub,2008,0.36
cub,2009,0.31
cub,2010,0.28
cub,2011,0.66
cub,2012,0.52
cub,2013,0.62
cub,2014,0.8
cub,2015,0.78
cub,2016,0.77
cub,2017,0.74
cub,2018,0.71
cub,2019,0.68
cyp,1991,9.56
cyp,1992,9.21
cyp,1993,9.08
cyp,1994,8.66
cyp,1995,8.48
cyp,1996,8.19
cyp,1997,7.72
cyp,1998,7.46
cyp,1999,7.17
cyp,2000,6.88
cyp,2001,6.36
cyp,2002,6.35
cyp,2003,6.73
cyp,2004,6.39
cyp,2005,4.9
cyp,2006,3.63
cyp,2007,2.75
cyp,2008,3.04
cyp,2009,3.49
cyp,2010,2.83
cyp,2011,2.35
cyp,2012,2.35
cyp,2013,2.15
cyp,2014,2.17
cyp,2015,1.43
cyp,2016,1.34
cyp,2017,0.86
cyp,2018,0.73
cyp,2019,0.97
cze,1991,0.66
cze,1992,0.67
cze,1993,0.68
cze,1994,0.68
cze,1995,0.68
cze,1996,0.66
cze,1997,0.64
cze,1998,0.81
cze,1999,0.98
cze,2000,0.99
cze,2001,1.17
cze,2002,1.19
cze,2003,1.27
cze,2004,1.1
cze,2005,1.25
cze,2006,1.27
cze,2007,1.07
cze,2008,1.02
cze,2009,0.98
cze,2010,1.05
cze,2011,0.97
cze,2012,1
cze,2013,1.59
cze,2014,1.07
cze,2015,1.05
cze,2016,0.93
cze,2017,0.84
cze,2018,0.89
cze,2019,0.85
deu,1991,2.95
deu,1992,2.88
deu,1993,2.77
deu,1994,2.62
deu,1995,2.65
deu,1996,1.92
deu,1997,1.76
deu,1998,1.84
deu,1999,1.52
deu,2000,1.42
deu,2001,2.13
deu,2002,1.92
deu,2003,1.7
deu,2004,1.91
deu,2005,1.95
deu,2006,1.75
deu,2007,1.78
deu,2008,1.51
deu,2009,1.02
deu,2010,0.89
deu,2011,0.89
deu,2012,0.79
deu,2013,0.71
deu,2014,0.67
deu,2015,0.58
deu,2016,0.55
deu,2017,0.53
deu,2018,0.47
deu,2019,0.4
dji,1991,9.45
dji,1992,9.86
dji,1993,10
dji,1994,10
dji,1995,9.67
dji,1996,9.49
dji,1997,9.28
dji,1998,9.23
dji,1999,8.89
dji,2000,8.5
dji,2001,8.04
dji,2002,7.61
dji,2003,7.29
dji,2004,6.91
dji,2005,6.57
dji,2006,6.14
dji,2007,5.63
dji,2008,5.05
dji,2009,5.14
dji,2010,5.02
dji,2011,5.08
dji,2012,4.87
dji,2013,4.62
dji,2014,4.32
dji,2015,3.97
dji,2016,3.72
dji,2017,3.36
dji,2018,3.15
dji,2019,2.86
dnk,1991,3.81
dnk,1992,3.65
dnk,1993,3.48
dnk,1994,2.93
dnk,1995,2.29
dnk,1996,1.83
dnk,1997,2.18
dnk,1998,2.45
dnk,1999,1.92
dnk,2000,1.83
dnk,2001,1.48
dnk,2002,1.46
dnk,2003,1.3
dnk,2004,1.51
dnk,2005,1.39
dnk,2006,1.2
dnk,2007,0.8
dnk,2008,0.64
dnk,2009,0.67
dnk,2010,0.46
dnk,2011,0.4
dnk,2012,0.42
dnk,2013,0.28
dnk,2014,0.27
dnk,2015,0.36
dnk,2016,0.54
dnk,2017,0.47
dnk,2018,0.47
dnk,2019,0.47
dom,1991,3.67
dom,1992,3.89
dom,1993,4.39
dom,1994,4.49
dom,1995,4
dom,1996,3.52
dom,1997,3.18
dom,1998,2.78
dom,1999,2.43
dom,2000,2.14
dom,2001,2.03
dom,2002,1.79
dom,2003,1.76
dom,2004,1.75
dom,2005,4.23
dom,2006,2.91
dom,2007,2.91
dom,2008,5.55
dom,2009,2.86
dom,2010,2.84
dom,2011,2.69
dom,2012,2.28
dom,2013,2
dom,2014,2.39
dom,2015,3.41
dom,2016,3.45
dom,2017,2.81
dom,2018,3.07
dom,2019,2.57
dza,1991,7.51
dza,1992,7.49
dza,1993,7.5
dza,1994,7.5
dza,1995,7.43
dza,1996,7.32
dza,1997,7.26
dza,1998,7.14
dza,1999,6.99
dza,2000,6.67
dza,2001,6.2
dza,2002,6.74
dza,2003,7.24
dza,2004,6.24
dza,2005,5.31
dza,2006,4.6
