geo,time,ip_ids_nrct
pak,1980,22
pak,1990,26
pak,1991,38
pak,1992,48
pak,1993,55
pak,1994,41
pak,1995,87
pak,1996,63
pak,1997,88
pak,1998,91
pak,1999,56
pak,2000,67
pak,2001,80
pak,2002,73
pak,2003,95
pak,2004,111
pak,2005,188
pak,2006,104
pak,2007,129
pak,2008,198
pak,2010,99
pak,2011,159
pak,2012,99
pak,2013,126
pak,2014,83
pak,2015,125
pak,2016,120
pak,2017,103
pak,2018,135
pak,2019,128
pak,2020,98
pan,2000,20
pan,2008,54
pan,2009,51
pan,2010,70
pan,2011,70
pan,2012,85
pan,2013,104
pan,2014,58
pan,2015,78
pan,2016,43
pan,2017,60
pan,2018,68
pan,2019,92
pan,2020,42
per,1980,19
per,1981,51
per,1982,42
per,1983,41
per,1985,44
per,1986,43
per,1987,22
per,1988,22
per,1990,33
per,1991,26
per,1992,26
per,1993,32
per,1994,35
per,1996,91
