geo,time,sl_uem_1524_fe_zs
aut,1993,4.571
aut,1994,5.254
aut,1995,6.185
aut,1996,6.514
aut,1997,7.33
aut,1998,7.607
aut,1999,6.391
aut,2000,5.579
aut,2001,5.796
aut,2002,6.546
aut,2003,6.748
aut,2004,11.88
aut,2005,10.315
aut,2006,9.746
aut,2007,9.647
aut,2008,8.601
aut,2009,10.098
aut,2010,9.385
aut,2011,9.092
aut,2012,9.255
aut,2013,10.006
aut,2014,9.934
aut,2015,10.03
aut,2016,10.232
aut,2017,8.721
aut,2018,9.378
aut,2019,7.783
aut,2020,9.492
aze,1991,2.007
aze,1992,4.009
aze,1993,9.968
aze,1994,13.899
aze,1995,15.841
aze,1996,17.713
aze,1997,19.79
aze,1998,21.632
aze,1999,23.612
aze,2000,25.37
aze,2001,25.779
aze,2002,24.697
aze,2003,20.916
aze,2004,21.409
aze,2005,16.265
aze,2006,14.331
aze,2007,11.605
aze,2008,11.958
aze,2009,14.747
aze,2010,13.363
aze,2011,15.123
aze,2012,16.177
aze,2013,15.731
aze,2014,15.708
aze,2015,15.592
aze,2016,15.425
aze,2017,15.135
aze,2018,14.443
aze,2019,14.16
aze,2020,17.193
bdi,1991,2.406
bdi,1992,2.402
bdi,1993,2.401
bdi,1994,2.363
bdi,1995,2.338
bdi,1996,2.304
bdi,1997,2.248
bdi,1998,2.19
bdi,1999,2.158
bdi,2000,2.109
bdi,2001,2.061
bdi,2002,2.016
bdi,2003,1.995
bdi,2004,1.947
bdi,2005,1.928
bdi,2006,1.891
bdi,2007,1.872
bdi,2008,1.847
bdi,2009,1.85
bdi,2010,1.849
bdi,2011,1.855
bdi,2012,1.858
bdi,2013,1.86
bdi,2014,1.864
bdi,2015,1.932
bdi,2016,1.978
bdi,2017,2.028
bdi,2018,2.079
bdi,2019,2.13
bdi,2020,2.279
bel,1991,17.231
bel,1992,15.247
bel,1993,19.699
bel,1994,23.436
bel,1995,23.761
bel,1996,24.484
bel,1997,25.839
bel,1998,23.118
bel,1999,22.505
bel,2000,18.24
bel,2001,16.693
bel,2002,15.205
bel,2003,17.511
bel,2004,19.528
bel,2005,22.075
bel,2006,22.564
bel,2007,20.861
bel,2008,18.713
bel,2009,22.48
bel,2010,22.356
bel,2011,18.736
bel,2012,18.867
bel,2013,22.47
bel,2014,22.313
bel,2015,20.053
bel,2016,18.135
bel,2017,18.082
bel,2018,15.287
bel,2019,12.318
bel,2020,15.162
ben,1991,0.749
ben,1992,0.723
ben,1993,0.71
ben,1994,0.705
ben,1995,0.69
ben,1996,0.682
ben,1997,0.67
ben,1998,0.66
ben,1999,0.646
ben,2000,0.632
ben,2001,0.618
ben,2002,0.603
ben,2003,0.855
ben,2004,1.1
ben,2005,1.357
ben,2006,1.603
ben,2007,1.853
ben,2008,2.121
ben,2009,2.405
ben,2010,2.684
ben,2011,5.737
ben,2012,5.509
ben,2013,5.276
ben,2014,5.078
ben,2015,4.92
ben,2016,4.694
ben,2017,4.459
ben,2018,4.237
ben,2019,4.263
ben,2020,4.499
bfa,1991,4.725
bfa,1992,4.748
bfa,1993,4.68
bfa,1994,4.651
bfa,1995,4.544
bfa,1996,4.435
bfa,1997,4.397
bfa,1998,4.322
bfa,1999,4.496
bfa,2000,4.712
bfa,2001,4.858
bfa,2002,5.059
bfa,2003,5.216
bfa,2004,6.462
bfa,2005,7.661
bfa,2006,7.06
bfa,2007,6.454
bfa,2008,6.57
bfa,2009,6.731
bfa,2010,6.812
bfa,2011,6.968
bfa,2012,7.109
bfa,2013,7.257
bfa,2014,7.415
bfa,2015,7.517
bfa,2016,7.595
bfa,2017,7.69
bfa,2018,7.782
bfa,2019,7.835
bfa,2020,8.117
bgd,1991,5.081
bgd,1992,5.25
bgd,1993,5.254
bgd,1994,5.25
bgd,1995,5.368
bgd,1996,5.395
bgd,1997,6.519
bgd,1998,7.736
bgd,1999,8.885
bgd,2000,10.206
bgd,2001,8.923
bgd,2002,7.439
bgd,2003,6.011
bgd,2004,9.436
bgd,2005,12.888
bgd,2006,12.005
bgd,2007,12.56
bgd,2008,12.91
bgd,2009,13.168
bgd,2010,7.661
bgd,2011,8.626
bgd,2012,9.56
bgd,2013,10.481
bgd,2014,11.744
bgd,2015,12.983
bgd,2016,14.167
bgd,2017,16.584
bgd,2018,16.729
bgd,2019,16.868
bgd,2020,19.257
bgr,1991,20.443
bgr,1992,27.989
bgr,1993,29.901
bgr,1994,23.318
bgr,1995,20.252
bgr,1996,22.806
bgr,1997,25.558
bgr,1998,21.97
bgr,1999,26.821
bgr,2000,29.608
bgr,2001,35.322
bgr,2002,31.485
bgr,2003,24.028
bgr,2004,23.822
bgr,2005,21.084
bgr,2006,20.371
bgr,2007,16.017
bgr,2008,11.408
bgr,2009,13.865
bgr,2010,20.117
bgr,2011,23.647
bgr,2012,26.005
bgr,2013,25.661
bgr,2014,23.736
bgr,2015,22.269
bgr,2016,16.91
bgr,2017,12.455
bgr,2018,11.889
bgr,2019,8.293
bgr,2020,13.672
bhr,1991,9.855
bhr,1992,10.05
bhr,1993,9.901
bhr,1994,10.254
bhr,1995,10.175
bhr,1996,10.21
bhr,1997,10.237
bhr,1998,10.179
bhr,1999,10.163
bhr,2000,10.139
bhr,2001,10.315
bhr,2002,10.521
bhr,2003,10.69
bhr,2004,10.928
bhr,2005,11.202
bhr,2006,11.361
bhr,2007,11.486
bhr,2008,11.696
bhr,2009,11.895
bhr,2010,11.91
bhr,2011,13.04
bhr,2012,13.222
bhr,2013,13.044
bhr,2014,12.925
bhr,2015,12.859
bhr,2016,12.959
bhr,2017,13.208
bhr,2018,13.632
bhr,2019,14.012
bhr,2020,16.426
bhs,1991,25.021
bhs,1992,31.389
bhs,1993,26.403
bhs,1994,28.825
bhs,1995,24.101
bhs,1996,30.921
bhs,1997,29.92
bhs,1998,22.679
bhs,1999,22.129
bhs,2000,19.174
bhs,2001,15.965
bhs,2002,23.024
bhs,2003,29.217
bhs,2004,25.95
bhs,2005,24.302
bhs,2006,18.317
bhs,2007,21.847
bhs,2008,20.448
bhs,2009,30.715
bhs,2010,30.277
bhs,2011,29.99
bhs,2012,32.355
bhs,2013,37.348
bhs,2014,33.436
bhs,2015,29.574
bhs,2016,32.83
bhs,2017,28.144
bhs,2018,27.45
bhs,2019,27.766
bhs,2020,33.895
bih,1991,37.499
bih,1992,39.034
bih,1993,41.046
bih,1994,43.74
bih,1995,45.89
bih,1996,47.875
bih,1997,49.609
bih,1998,51.416
bih,1999,52.827
bih,2000,54.322
bih,2001,56.057
bih,2002,57.977
bih,2003,59.701
bih,2004,61.801
bih,2005,64.074
bih,2006,65.776
bih,2007,63.111
bih,2008,51.58
bih,2009,52.296
bih,2010,60.91
bih,2011,59.934
bih,2012,64.145
bih,2013,59.309
bih,2014,65.118
bih,2015,66.939
bih,2016,58.512
bih,2017,50.41
bih,2018,45.088
bih,2019,36.892
bih,2020,42.212
blr,1991,1.098
blr,1992,5.684
blr,1993,15.383
blr,1994,23.033
blr,1995,31.45
blr,1996,42.171
blr,1997,28.931
blr,1998,23.572
blr,1999,21.49
blr,2000,20.293
blr,2001,18.943
blr,2002,17.678
blr,2003,16.504
blr,2004,15.439
blr,2005,14.159
blr,2006,12.991
blr,2007,11.787
blr,2008,10.689
blr,2009,9.339
blr,2010,9.385
blr,2011,9.22
blr,2012,9.036
blr,2013,8.917
blr,2014,8.822
blr,2015,8.595
blr,2016,8.496
blr,2017,7.276
blr,2018,8.365
blr,2019,7.336
blr,2020,8.178
blz,1991,26.384
blz,1992,26.742
blz,1993,27.326
blz,1994,30.146
blz,1995,34.722
blz,1996,35.734
blz,1997,39.525
blz,1998,41.644
blz,1999,39.979
blz,2000,35.105
blz,2001,30.653
blz,2002,30.276
blz,2003,31.714
blz,2004,33.498
blz,2005,35.244
blz,2006,31.025
blz,2007,27.065
blz,2008,26.063
blz,2009,26.259
blz,2010,26.277
blz,2011,26.394
blz,2012,26.471
blz,2013,26.602
blz,2014,29.381
blz,2015,25.97
blz,2016,26.429
blz,2017,25.887
blz,2018,26.189
blz,2019,26.677
blz,2020,31.319
bol,1991,5.551
bol,1992,5.759
bol,1993,5.539
bol,1994,5.472
bol,1995,4.933
bol,1996,4.417
bol,1997,3.858
bol,1998,4.191
bol,1999,4.791
bol,2000,5.037
bol,2001,5.422
bol,2002,5.702
bol,2003,6.017
bol,2004,6.236
bol,2005,6.539
bol,2006,6.828
bol,2007,7.354
bol,2008,7.489
bol,2009,6.572
bol,2010,6.543
bol,2011,6.479
bol,2012,4.726
bol,2013,5.628
bol,2014,7.061
bol,2015,8.595
bol,2016,7.81
bol,2017,7.66
bol,2018,6.942
bol,2019,9.429
bol,2020,16.332
bra,1991,14.511
bra,1992,14.784
bra,1993,13.975
bra,1994,14.326
bra,1995,14.84
bra,1996,16.725
bra,1997,19.16
bra,1998,23.122
bra,1999,23.92
bra,2000,22.697
bra,2001,22.642
bra,2002,22.883
bra,2003,24.566
bra,2004,23.35
bra,2005,24.893
bra,2006,23.112
bra,2007,21.785
bra,2008,20.269
bra,2009,23.04
bra,2010,20.557
bra,2011,19.764
bra,2012,19.72
bra,2013,19.226
bra,2014,18.701
bra,2015,23.446
bra,2016,30.91
bra,2017,33.03
bra,2018,32.019
bra,2019,31.739
bra,2020,35.207
brb,1991,45.103
brb,1992,46.743
brb,1993,47.001
brb,1994,49.433
brb,1995,42.47
brb,1996,31.626
brb,1997,34.671
brb,1998,29.421
brb,1999,27.345
brb,2000,23.968
brb,2001,25.699
brb,2002,25.714
brb,2003,28.1
brb,2004,23.849
brb,2005,24.843
brb,2006,22.794
brb,2007,19.765
brb,2008,22.296
brb,2009,23.563
brb,2010,24.884
brb,2011,31.364
brb,2012,32.475
brb,2013,31.605
brb,2014,37.272
brb,2015,29.593
brb,2016,27.716
brb,2017,25.403
brb,2018,23.944
brb,2019,20.835
brb,2020,24.213
brn,1991,15.706
brn,1992,16.007
brn,1993,15.918
brn,1994,16.48
brn,1995,16.974
brn,1996,17.052
brn,1997,16.915
brn,1998,17.286
brn,1999,17.996
brn,2000,18.465
brn,2001,18.841
brn,2002,19.426
brn,2003,19.803
brn,2004,20.047
brn,2005,20.555
brn,2006,21.51
brn,2007,21.591
brn,2008,21.885
brn,2009,22.42
brn,2010,23.453
brn,2011,24.461
brn,2012,25.014
brn,2013,25.546
brn,2014,26.394
brn,2015,27.774
brn,2016,28.495
brn,2017,29.878
brn,2018,33.035
brn,2019,25.193
brn,2020,26.905
btn,1991,3.841
btn,1992,3.91
btn,1993,3.845
btn,1994,3.883
btn,1995,3.901
btn,1996,3.804
btn,1997,3.722
btn,1998,3.65
btn,1999,4.226
btn,2000,5.698
btn,2001,7.339
btn,2002,6.849
btn,2003,6.225
btn,2004,8.218
btn,2005,8.185
btn,2006,9.39
btn,2007,11.488
btn,2008,12.377
btn,2009,14
btn,2010,10.515
btn,2011,10.921
btn,2012,6.838
btn,2013,9.459
btn,2014,9.543
btn,2015,11.743
btn,2016,12.204
btn,2017,12.433
btn,2018,12.768
btn,2019,13.312
btn,2020,16.655
bwa,1991,31.463
bwa,1992,34.355
bwa,1993,37.157
bwa,1994,39.917
bwa,1995,40.247
bwa,1996,40.65
bwa,1997,41.704
bwa,1998,43.089
bwa,1999,38.732
bwa,2000,34.324
bwa,2001,45.744
bwa,2002,49.318
bwa,2003,52.848
bwa,2004,47.693
bwa,2005,42.569
bwa,2006,37.537
bwa,2007,38.253
bwa,2008,39.012
bwa,2009,39.971
bwa,2010,42.434
bwa,2011,42.036
bwa,2012,41.52
bwa,2013,40.795
bwa,2014,40.256
bwa,2015,39.636
bwa,2016,38.743
bwa,2017,37.924
bwa,2018,37.023
bwa,2019,36.136
bwa,2020,47.015
caf,1991,11.349
caf,1992,11.495
caf,1993,11.554
caf,1994,11.584
caf,1995,11.584
caf,1996,11.696
caf,1997,11.788
caf,1998,11.711
caf,1999,11.659
caf,2000,11.531
caf,2001,11.944
caf,2002,12.166
caf,2003,12.276
caf,2004,12.08
caf,2005,12.061
caf,2006,11.928
caf,2007,11.825
caf,2008,11.446
caf,2009,11.611
caf,2010,12.199
caf,2011,11.968
caf,2012,11.793
caf,2013,11.679
caf,2014,11.44
caf,2015,11.667
caf,2016,11.78
caf,2017,11.652
caf,2018,11.401
caf,2019,11.402
caf,2020,12.482
can,1991,12.904
can,1992,14.494
can,1993,14.427
can,1994,13.696
can,1995,13.191
can,1996,13.8
can,1997,15.3
can,1998,13.609
can,1999,12.68
can,2000,11.405
can,2001,11.106
can,2002,11.713
can,2003,11.797
can,2004,11.848
can,2005,10.618
can,2006,10.413
can,2007,10.063
can,2008,10.108
can,2009,12.223
can,2010,12.519
can,2011,12.385
can,2012,12.74
can,2013,12.236
can,2014,11.911
can,2015,11.241
can,2016,11.298
can,2017,9.894
can,2018,9.608
can,2019,9.679
can,2020,19.475
chanisl,1991,11.954
chanisl,1992,12.927
chanisl,1993,15.515
chanisl,1994,15.882
chanisl,1995,16.786
chanisl,1996,16.967
chanisl,1997,16.553
chanisl,1998,14.854
chanisl,1999,14.179
chanisl,2000,12.185
chanisl,2001,11.676
chanisl,2002,11.729
chanisl,2003,13.434
chanisl,2004,14.205
chanisl,2005,14.211
chanisl,2006,13.278
chanisl,2007,12.281
chanisl,2008,12.567
chanisl,2009,15.521
chanisl,2010,16.395
chanisl,2011,17.735
chanisl,2012,20.005
chanisl,2013,20.674
chanisl,2014,19.934
chanisl,2015,18.685
chanisl,2016,17.697
chanisl,2017,15.996
chanisl,2018,13.983
chanisl,2019,13.776
chanisl,2020,15.694
che,1991,3.449
che,1992,4.247
che,1993,5.866
che,1994,6.546
che,1995,5.541
che,1996,4.349
che,1997,4.221
che,1998,7.62
che,1999,5.778
che,2000,4.12
che,2001,5.489
che,2002,3.92
che,2003,8.722
che,2004,7.364
che,2005,9.084
che,2006,7.456
che,2007,7.374
che,2008,7.381
che,2009,8.983
che,2010,8.664
che,2011,7.885
che,2012,7.975
che,2013,8.774
che,2014,8.55
che,2015,8.401
che,2016,8.394
che,2017,7.976
che,2018,7.437
che,2019,7.153
che,2020,7.991
chl,1991,13.644
chl,1992,12.184
chl,1993,11.533
chl,1994,14.81
chl,1995,12.039
chl,1996,23.53
chl,1997,23.368
chl,1998,22.763
chl,1999,31.426
chl,2000,31.009
chl,2001,29.454
chl,2002,30.603
chl,2003,31.477
chl,2004,31.243
chl,2005,30.287
chl,2006,27.637
chl,2007,26.782
chl,2008,29.395
chl,2009,31.102
chl,2010,21.783
chl,2011,21.107
chl,2012,19.29
chl,2013,19.39
chl,2014,19.805
chl,2015,18.447
chl,2016,17.652
chl,2017,18.41
chl,2018,19.796
chl,2019,20.048
chl,2020,26.625
chn,1991,3.763
chn,1992,3.832
chn,1993,4.437
chn,1994,4.883
chn,1995,5.151
chn,1996,5.458
chn,1997,5.753
chn,1998,5.865
chn,1999,5.96
chn,2000,6.03
chn,2001,7.047
chn,2002,7.852
chn,2003,8.455
chn,2004,8.27
chn,2005,8.328
chn,2006,8.182
chn,2007,8.07
chn,2008,8.572
chn,2009,8.893
chn,2010,8.629
chn,2011,8.801
chn,2012,8.987
chn,2013,9.184
chn,2014,9.371
chn,2015,9.538
chn,2016,9.435
chn,2017,9.328
chn,2018,9.054
chn,2019,9.618
chn,2020,10.713
civ,1991,10.404
civ,1992,10.457
civ,1993,9.061
civ,1994,7.677
civ,1995,6.279
civ,1996,6.211
civ,1997,6.171
civ,1998,6.105
civ,1999,6.411
civ,2000,6.718
civ,2001,6.99
civ,2002,7.28
civ,2003,7.552
civ,2004,7.803
civ,2005,8.058
civ,2006,8.314
civ,2007,8.559
civ,2008,8.793
civ,2009,9.019
civ,2010,9.251
civ,2011,9.516
civ,2012,9.613
civ,2013,7.659
civ,2014,6.796
civ,2015,5.924
civ,2016,5.05
civ,2017,6.322
civ,2018,6.4
civ,2019,6.481
civ,2020,6.747
cmr,1991,9.839
cmr,1992,9.859
cmr,1993,9.939
cmr,1994,9.872
cmr,1995,9.894
cmr,1996,9.918
cmr,1997,9.905
cmr,1998,9.91
cmr,1999,9.91
cmr,2000,9.916
cmr,2001,9.899
cmr,2002,9.072
cmr,2003,8.247
cmr,2004,7.417
cmr,2005,6.642
cmr,2006,5.814
cmr,2007,4.994
cmr,2008,5.814
cmr,2009,6.668
cmr,2010,7.544
cmr,2011,7.302
cmr,2012,7.062
cmr,2013,6.817
cmr,2014,6.572
cmr,2015,6.643
cmr,2016,6.718
cmr,2017,6.794
cmr,2018,6.858
cmr,2019,6.926
cmr,2020,7.223
cod,1991,4.429
cod,1992,4.378
cod,1993,4.33
cod,1994,4.252
cod,1995,4.187
cod,1996,4.13
cod,1997,4.082
cod,1998,4.016
cod,1999,3.965
cod,2000,3.914
cod,2001,3.841
cod,2002,3.768
cod,2003,3.701
cod,2004,3.637
cod,2005,3.576
cod,2006,3.989
cod,2007,4.401
cod,2008,4.817
cod,2009,5.247
cod,2010,5.658
cod,2011,6.085
cod,2012,6.515
cod,2013,6.559
cod,2014,6.607
cod,2015,6.669
cod,2016,6.736
cod,2017,6.785
cod,2018,6.831
cod,2019,6.894
cod,2020,7.97
cog,1991,36.17
cog,1992,36.31
cog,1993,36.519
cog,1994,36.761
cog,1995,36.837
cog,1996,37.011
cog,1997,37.274
cog,1998,37.436
cog,1999,37.758
cog,2000,37.883
cog,2001,38.15
cog,2002,38.381
cog,2003,38.689
cog,2004,38.918
cog,2005,39.118
cog,2006,39.143
cog,2007,39.367
cog,2008,39.225
cog,2009,39.184
cog,2010,39.239
cog,2011,39.286
cog,2012,39.119
cog,2013,39.181
cog,2014,38.993
cog,2015,39.029
cog,2016,39.051
cog,2017,38.9
cog,2018,38.837
cog,2019,38.71
cog,2020,42.021
col,1991,24.935
col,1992,24.019
col,1993,20.684
col,1994,23.188
col,1995,20.912
col,1996,27.012
col,1997,27.472
col,1998,32.687
col,1999,41.904
col,2000,45.079
col,2001,34.842
col,2002,33.709
col,2003,32.315
col,2004,32.161
col,2005,29.768
col,2006,29.727
col,2007,26.63
col,2008,27.925
col,2009,29.188
col,2010,28.772
col,2011,26.889
col,2012,25.603
col,2013,24.434
col,2014,22.967
col,2015,22.756
col,2016,23.042
col,2017,23.449
col,2018,24.292
col,2019,25.637
col,2020,33.359
com,1991,9.594
com,1992,9.401
com,1993,9.367
com,1994,9.363
com,1995,9.22
com,1996,9.186
com,1997,9.071
com,1998,9.021
com,1999,8.948
com,2000,8.811
com,2001,8.802
com,2002,8.733
com,2003,8.668
com,2004,8.603
com,2005,9.533
com,2006,10.484
com,2007,11.465
com,2008,12.412
com,2009,13.41
com,2010,14.406
com,2011,15.418
com,2012,16.458
com,2013,17.479
com,2014,18.563
com,2015,18.577
com,2016,18.538
com,2017,18.528
com,2018,18.533
com,2019,18.556
com,2020,20.349
cpv,1991,20.695
cpv,1992,20.972
cpv,1993,21.306
cpv,1994,21.501
cpv,1995,21.771
cpv,1996,22.001
cpv,1997,22.154
cpv,1998,22.25
cpv,1999,22.342
cpv,2000,22.384
cpv,2001,22.598
cpv,2002,22.682
cpv,2003,22.806
cpv,2004,22.889
cpv,2005,23.085
cpv,2006,23.392
cpv,2007,23.675
cpv,2008,24.114
cpv,2009,24.569
cpv,2010,24.951
cpv,2011,26.136
cpv,2012,27.5
cpv,2013,28.957
cpv,2014,30.507
cpv,2015,32.113
cpv,2016,33.669
cpv,2017,35.362
cpv,2018,31.672
cpv,2019,33.218
cpv,2020,39.007
cri,1991,13.277
cri,1992,9.459
cri,1993,9.679
cri,1994,11.102
cri,1995,13.506
cri,1996,16.473
cri,1997,15.747
cri,1998,16.711
cri,1999,16.325
cri,2000,14.504
cri,2001,16.087
cri,2002,17.527
cri,2003,17.73
cri,2004,18.244
cri,2005,21.163
cri,2006,19.604
cri,2007,15.242
cri,2008,12.521
cri,2009,21.246
cri,2010,20.87
cri,2011,29.166
cri,2012,27.463
cri,2013,25.883
cri,2014,30.012
cri,2015,26.777
cri,2016,28.471
cri,2017,25.981
cri,2018,32.143
cri,2019,36.66
cri,2020,50.231
cub,1991,22.871
cub,1992,23.789
cub,1993,24.909
cub,1994,25.244
cub,1995,25.964
cub,1996,24.732
cub,1997,22.394
cub,1998,18.743
cub,1999,19.392
cub,2000,16.49
cub,2001,11.287
cub,2002,8.961
cub,2003,6.527
cub,2004,4.171
cub,2005,4.152
cub,2006,4.12
cub,2007,3.424
cub,2008,3.536
cub,2009,3.539
cub,2010,5.664
cub,2011,7.447
cub,2012,7.777
cub,2013,7.756
cub,2014,6.951
cub,2015,5.831
cub,2016,4.977
cub,2017,3.786
cub,2018,4.279
cub,2019,4.427
cub,2020,5.963
cyp,1991,9.959
cyp,1992,5.248
cyp,1993,8.966
cyp,1994,7.997
cyp,1995,7.443
cyp,1996,8.318
cyp,1997,8.458
cyp,1998,7.708
cyp,1999,14.421
cyp,2000,13.643
cyp,2001,10.206
cyp,2002,7.346
cyp,2003,8.525
cyp,2004,9.34
cyp,2005,14.225
cyp,2006,10.874
cyp,2007,9.028
cyp,2008,9.041
cyp,2009,13.399
cyp,2010,16.43
cyp,2011,20.353
cyp,2012,25.632
cyp,2013,35.344
cyp,2014,33.44
cyp,2015,30.005
cyp,2016,30.957
cyp,2017,22.185
cyp,2018,15.645
cyp,2019,13.889
cyp,2020,11.711
cze,1991,4.159
cze,1992,5.918
cze,1993,10.527
cze,1994,9.835
cze,1995,8.68
cze,1996,8.304
cze,1997,7.209
cze,1998,12.797
cze,1999,16.978
cze,2000,16.44
cze,2001,16.166
cze,2002,14.975
cze,2003,17.485
cze,2004,17.922
cze,2005,19.092
cze,2006,18.723
cze,2007,10.993
cze,2008,9.924
cze,2009,16.705
cze,2010,18.497
cze,2011,17.914
cze,2012,18.999
cze,2013,19.448
cze,2014,17.097
cze,2015,14.454
cze,2016,11.403
cze,2017,8.765
cze,2018,7.2
cze,2019,6
cze,2020,9.146
deu,1991,5.867
deu,1992,6.555
deu,1993,7.7
deu,1994,8.43
deu,1995,8.196
deu,1996,8.635
deu,1997,9.141
deu,1998,8.532
deu,1999,7.724
deu,2000,7.444
deu,2001,6.394
deu,2002,7.225
deu,2003,8.038
deu,2004,10.211
deu,2005,14.044
deu,2006,12.561
deu,2007,11.093
deu,2008,9.993
deu,2009,9.79
deu,2010,8.793
deu,2011,7.768
deu,2012,7.292
deu,2013,7.093
deu,2014,7.05
deu,2015,6.468
deu,2016,6.1
deu,2017,5.778
deu,2018,5.108
deu,2019,4.761
deu,2020,6.383
dji,1991,50.765
dji,1992,51.02
dji,1993,51.752
dji,1994,52.215
dji,1995,52.752
dji,1996,53.407
dji,1997,53.891
dji,1998,54.36
dji,1999,54.887
dji,2000,55.722
dji,2001,56.334
dji,2002,57.078
dji,2003,57.967
dji,2004,58.903
dji,2005,59.835
dji,2006,61.227
dji,2007,62.831
dji,2008,64.639
dji,2009,66.802
dji,2010,68.895
dji,2011,70.19
dji,2012,71.592
dji,2013,72.889
dji,2014,74.136
dji,2015,75.463
dji,2016,76.659
dji,2017,77.985
dji,2018,78.014
dji,2019,78.107
dji,2020,82.507
dnk,1991,12.347
dnk,1992,12.549
dnk,1993,14.722
dnk,1994,10.188
dnk,1995,12.355
dnk,1996,12.416
dnk,1997,9.822
dnk,1998,7.664
dnk,1999,10.501
dnk,2000,6.991
dnk,2001,9.246
dnk,2002,5.18
dnk,2003,8.976
dnk,2004,7.049
dnk,2005,8.575
dnk,2006,7.464
dnk,2007,7.364
dnk,2008,10.297
dnk,2009,11.535
dnk,2010,13.147
dnk,2011,14.377
dnk,2012,14.786
dnk,2013,13.296
